,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,5.653B,,5.653B,6.956B,6.956B,2.176B,754.00M,5.453B,8.383B,1.682B,,2.801B,,25.48B,0.00,856.00M,6.50B,28.13B,,35.48B,-16.52B,18.97B,56.56B,32.76B,89.32B,4.502B,112.79B,138.26B,,5.171B,,5.171B,8.968B,14.14B,,,,21.94B,21.94B,1.062B,37.14B,19.82B,,19.82B,11.52B,11.52B,,,7.377B,38.71B,75.85B,,5.352B,54.76B,60.79B,54.95B,1.345B,,,,-3.547B,62.41B,,,Restated
2008-09,4.502B,,4.502B,7.111B,7.111B,2.218B,787.00M,5.842B,8.847B,3.062B,,1.547B,,25.07B,0.00,864.00M,6.776B,29.30B,,36.94B,-17.22B,19.72B,57.77B,33.46B,91.24B,4.648B,115.61B,140.68B,,6.006B,,6.006B,9.653B,15.66B,,,,21.14B,21.14B,1.442B,38.24B,18.31B,,18.31B,11.74B,11.74B,,,7.833B,37.88B,76.12B,,5.358B,51.00B,60.65B,51.26B,1.352B,,,,-1.185B,64.56B,,,Restated
2008-06,3.313B,,3.313B,6.761B,6.761B,2.262B,765.00M,5.389B,8.416B,4.013B,,2.012B,,24.52B,0.00,889.00M,7.052B,30.14B,,38.09B,-17.45B,20.64B,59.77B,34.23B,94.00B,4.837B,119.48B,143.99B,,6.775B,,6.775B,11.10B,17.87B,,,,13.08B,13.08B,,30.96B,23.58B,,23.58B,11.80B,11.80B,,,8.154B,43.54B,74.50B,,5.368B,48.99B,60.31B,47.59B,1.366B,,,,3.746B,69.49B,,,Restated
2008-03,3.737B,341.00M,4.078B,6.934B,6.934B,2.272B,675.00M,5.48B,8.427B,4.259B,,2.044B,,25.74B,0.00,901.00M,6.955B,29.31B,,37.17B,-16.83B,20.33B,59.65B,34.30B,93.95B,5.378B,119.66B,145.40B,,5.535B,,5.535B,11.76B,17.29B,,,,13.29B,13.29B,684.00M,31.26B,23.67B,,23.67B,11.63B,11.63B,,,9.251B,44.55B,75.82B,,5.37B,47.24B,59.97B,45.82B,1.371B,,,,2.822B,69.59B,,,Restated
2007-12,5.349B,696.00M,6.045B,7.688B,7.688B,1.86B,619.00M,5.211B,7.69B,3.394B,,2.143B,,26.96B,0.00,865.00M,6.681B,28.51B,,36.06B,-16.17B,19.89B,58.22B,34.17B,92.38B,5.169B,117.44B,144.40B,,4.829B,,4.829B,11.82B,16.65B,,,,13.57B,13.57B,1.263B,31.48B,23.53B,,23.53B,11.58B,11.58B,,,9.572B,44.68B,76.16B,,5.384B,45.65B,59.71B,43.65B,1.386B,,,,1.148B,68.24B,,,
2007-09,4.626B,371.00M,4.997B,7.432B,7.432B,1.711B,482.00M,5.475B,7.668B,3.16B,,1.925B,,25.18B,0.00,874.00M,6.601B,28.25B,,35.73B,-15.91B,19.81B,57.58B,33.99B,91.57B,5.141B,116.52B,141.70B,,5.23B,,5.23B,10.42B,15.65B,,,,13.60B,13.60B,1.627B,30.87B,22.17B,,22.17B,11.65B,11.65B,,,9.445B,43.27B,74.14B,,5.386B,43.51B,59.37B,41.04B,1.392B,,,,337.00M,67.56B,,,
2007-06,5.354B,202.00M,5.556B,6.629B,6.629B,1.59B,444.00M,4.785B,6.819B,3.30B,,1.727B,,24.03B,0.00,849.00M,6.38B,27.49B,,34.72B,-15.18B,19.54B,56.55B,33.63B,90.18B,4.265B,113.98B,138.01B,,5.71B,,5.71B,608.00M,6.318B,,,,12.04B,12.04B,12.36B,30.72B,23.38B,,23.38B,12.02B,12.02B,,,5.147B,40.54B,71.25B,,5.396B,41.80B,59.03B,38.77B,1.406B,,,,-691.00M,66.76B,,,
2007-03,3.994B,236.00M,4.23B,6.757B,6.757B,1.668B,460.00M,4.963B,7.091B,2.938B,,1.698B,,22.71B,0.00,757.00M,6.209B,27.17B,,34.13B,-14.95B,19.18B,56.47B,33.46B,89.93B,3.869B,112.98B,135.70B,,4.371B,,4.371B,10.78B,15.15B,,,,12.17B,12.17B,3.605B,30.92B,21.26B,,21.26B,12.27B,12.27B,,,4.779B,38.31B,69.23B,,5.40B,40.48B,58.91B,37.40B,1.413B,,,,-918.00M,66.47B,,,
2006-12,4.987B,521.00M,5.508B,7.523B,7.523B,1.713B,480.00M,4.69B,6.883B,3.102B,,1.673B,,24.69B,0.00,754.00M,6.086B,26.56B,,33.40B,-14.30B,19.10B,56.22B,33.58B,89.80B,3.71B,112.61B,137.30B,,4.49B,,4.49B,10.63B,15.12B,,,,12.53B,12.53B,3.643B,31.29B,23.65B,,23.65B,12.25B,12.25B,,,4.746B,40.64B,71.94B,,5.416B,39.08B,58.55B,36.49B,1.432B,,,,-1.201B,65.36B,,,
2006-09,6.718B,1.04B,7.758B,6.64B,6.64B,1.603B,477.00M,4.71B,6.79B,2.752B,,1.565B,1.00M,25.51B,0.00,846.00M,5.976B,25.65B,,32.47B,-13.74B,18.74B,55.71B,33.58B,89.29B,3.514B,111.54B,137.05B,,4.507B,,4.507B,9.943B,14.45B,,,,1.986B,1.986B,4.154B,20.59B,35.73B,,35.73B,12.43B,12.43B,,,4.49B,52.65B,73.24B,,5.421B,37.28B,58.28B,35.33B,1.44B,,,,-1.848B,63.81B,,,
2006-06,6.693B,1.133B,7.826B,5.725B,5.725B,1.537B,623.00M,4.131B,6.291B,2.876B,,1.611B,,24.33B,0.00,870.00M,5.871B,25.14B,,31.88B,-13.11B,18.77B,55.31B,33.72B,89.03B,3.569B,111.37B,135.70B,,4.91B,,4.91B,4.964B,9.874B,,,,2.128B,2.128B,7.983B,19.98B,35.98B,,35.98B,12.35B,12.35B,,,4.472B,52.80B,72.79B,,5.427B,35.67B,57.86B,34.24B,1.451B,,,,-1.806B,62.91B,,,
2006-03,8.675B,1.524B,10.20B,5.404B,5.404B,1.675B,656.00M,4.401B,6.732B,2.736B,,1.544B,,26.62B,0.00,866.00M,5.906B,24.71B,,31.49B,-13.01B,18.47B,54.69B,33.16B,87.86B,3.277B,109.61B,136.22B,,4.063B,,4.063B,9.219B,13.28B,,,,3.837B,3.837B,2.924B,20.04B,33.92B,,33.92B,12.74B,12.74B,,,4.50B,51.16B,71.20B,,5.433B,34.85B,57.56B,30.30B,1.46B,,,,-2.518B,65.02B,,,
2005-12,7.816B,1.996B,9.812B,6.056B,6.056B,1.598B,652.00M,4.187B,6.437B,2.78B,,1.34B,,26.42B,0.00,847.00M,5.687B,24.22B,,30.76B,-12.53B,18.22B,,88.49B,88.49B,3.379B,110.10B,136.52B,,3.904B,,3.904B,9.496B,13.40B,,,,4.608B,4.608B,2.497B,20.50B,31.39B,,31.39B,13.91B,13.91B,,,4.298B,49.60B,70.11B,,5.435B,33.75B,57.06B,27.00B,1.469B,,,,-2.83B,66.41B,,,
2005-09,6.31B,1.749B,8.059B,4.69B,4.69B,1.371B,384.00M,3.406B,5.161B,1.805B,,849.00M,,20.56B,0.00,625.00M,5.318B,20.63B,,26.57B,-12.32B,14.26B,,24.23B,24.23B,2.858B,41.34B,61.91B,,3.423B,,3.423B,6.247B,9.67B,,,,8.749B,8.749B,2.635B,21.05B,21.05B,,21.05B,2.007B,2.007B,,,3.266B,26.32B,47.37B,,4.454B,32.25B,3.14B,,1.477B,,,,-2.754B,14.53B,,,
2005-06,6.389B,1.744B,8.133B,4.185B,4.185B,1.424B,350.00M,3.232B,5.006B,1.924B,,1.081B,,20.33B,0.00,636.00M,5.292B,20.40B,,26.32B,-11.99B,14.33B,,24.16B,24.16B,2.703B,41.20B,61.53B,,3.802B,,3.802B,7.531B,11.33B,,,,11.44B,11.44B,2.265B,25.04B,12.89B,,12.89B,1.896B,1.896B,,,3.23B,18.01B,43.05B,,4.46B,31.00B,3.03B,17.19B,1.483B,,,,-2.825B,18.48B,,,
2005-03,7.072B,1.706B,8.778B,4.396B,4.396B,1.541B,361.00M,3.368B,5.27B,1.843B,,1.304B,,21.59B,0.00,650.00M,5.37B,20.37B,,26.39B,-12.11B,14.28B,,24.90B,24.90B,2.302B,41.48B,63.08B,,3.407B,,3.407B,7.979B,11.39B,,,,11.22B,11.22B,2.72B,25.32B,12.94B,,12.94B,2.865B,2.865B,,,3.223B,19.02B,44.35B,,3.987B,13.86B,2.975B,,1.493B,,,,-2.093B,18.73B,,,
2004-12,7.676B,494.00M,8.17B,4.689B,4.689B,1.476B,380.00M,3.32B,5.176B,1.944B,,1.017B,,21.00B,0.00,667.00M,5.433B,20.40B,,26.50B,-11.99B,14.50B,,25.31B,25.31B,2.228B,42.04B,63.03B,,3.264B,,3.264B,8.083B,11.35B,,,,9.861B,9.861B,2.695B,23.90B,13.38B,,13.38B,2.307B,2.307B,,,3.553B,19.24B,43.15B,,4.028B,14.71B,2.779B,,1.505B,,,,-1.637B,19.88B,,,
2004-09,6.262B,456.00M,6.718B,4.485B,4.485B,1.309B,345.00M,3.063B,4.717B,1.835B,,961.00M,,18.72B,0.00,627.00M,5.169B,19.55B,,25.34B,-11.36B,13.98B,,24.41B,24.41B,2.093B,40.49B,59.20B,,3.392B,,3.392B,7.775B,11.17B,,,,7.701B,7.701B,3.034B,21.90B,13.73B,,13.73B,2.298B,2.298B,,,2.913B,18.94B,40.84B,,4.051B,14.32B,2.585B,,1.514B,,,,-2.595B,18.36B,,,
2004-06,4.232B,1.66B,5.892B,4.062B,4.062B,1.191B,340.00M,2.869B,4.40B,1.803B,,958.00M,,17.12B,0.00,642.00M,5.206B,19.46B,,25.30B,-11.20B,14.11B,,23.90B,23.90B,1.925B,39.93B,57.05B,,3.617B,,3.617B,7.689B,11.31B,,,,8.287B,8.287B,2.554B,22.15B,12.55B,,12.55B,2.261B,2.261B,,,2.808B,17.62B,39.77B,,4.07B,13.61B,2.425B,,1.526B,,,,-2.828B,17.28B,,,
2004-03,5.365B,385.00M,5.75B,4.093B,4.093B,1.285B,349.00M,2.987B,4.621B,1.754B,,986.00M,,17.20B,0.00,651.00M,5.221B,19.40B,,25.27B,-11.20B,14.07B,,20.50B,20.50B,2.092B,36.66B,53.87B,,3.048B,,3.048B,6.512B,9.56B,,,,5.065B,5.065B,2.398B,17.02B,13.35B,,13.35B,1.972B,1.972B,,,3.232B,18.55B,35.58B,,2.821B,14.63B,3.492B,,1.536B,,,,-2.652B,18.29B,,,
2003-12,4.943B,351.00M,5.294B,4.447B,4.447B,1.322B,375.00M,2.924B,4.621B,1.926B,,877.00M,,17.16B,0.00,665.00M,5.21B,19.19B,,25.06B,-11.02B,14.04B,,20.71B,20.71B,1.944B,36.70B,53.86B,,2.822B,,2.822B,6.446B,9.268B,,,,5.885B,5.885B,2.454B,17.61B,12.64B,,12.64B,1.898B,1.898B,,,3.149B,17.68B,35.29B,,2.846B,14.99B,3.25B,,1.554B,,,,-2.515B,18.57B,,,
2003-09,4.049B,330.00M,4.379B,4.134B,4.134B,1.275B,358.00M,2.903B,4.536B,1.748B,,876.00M,,15.67B,0.00,611.00M,5.065B,18.64B,,24.32B,-10.66B,13.65B,,19.29B,19.29B,1.881B,34.82B,50.50B,,2.957B,,2.957B,5.986B,8.943B,,,,5.286B,5.286B,2.583B,16.81B,11.99B,,11.99B,1.37B,1.37B,,,2.95B,16.31B,33.12B,,2.864B,14.56B,3.07B,,1.567B,,,,-3.123B,17.37B,,,
2003-06,5.912B,300.00M,6.212B,3.038B,3.038B,1.095B,291.00M,2.254B,3.64B,1.487B,,843.00M,,15.22B,0.00,591.00M,4.729B,18.22B,,23.54B,-10.44B,13.10B,,13.51B,13.51B,1.875B,28.49B,43.71B,,2.795B,,2.795B,5.512B,8.307B,,,,2.172B,2.172B,1.879B,12.36B,11.48B,,11.48B,1.396B,1.396B,,,2.291B,15.16B,27.52B,,4.174B,13.69B,1.634B,,1.58B,,,,-3.314B,16.19B,,,
2003-03,5.513B,312.00M,5.825B,2.96B,2.96B,1.054B,379.00M,2.33B,3.763B,1.452B,,465.00M,,14.46B,0.00,591.00M,4.697B,18.28B,,23.57B,-10.49B,13.08B,,13.46B,13.46B,1.675B,28.22B,42.68B,,2.064B,,2.064B,5.654B,7.718B,,,,2.794B,2.794B,1.818B,12.33B,11.33B,,11.33B,1.278B,1.278B,,,2.217B,14.83B,27.16B,,2.886B,13.29B,2.80B,,1.591B,,,,-3.455B,15.52B,,,
2002-12,5.106B,218.00M,5.324B,3.24B,3.24B,1.098B,336.00M,2.176B,3.61B,1.559B,,458.00M,,14.19B,0.00,580.00M,4.631B,18.15B,,23.36B,-10.24B,13.12B,,13.45B,13.45B,1.68B,28.25B,42.44B,,2.021B,,2.021B,5.352B,7.373B,,,,3.491B,3.491B,1.839B,12.70B,11.53B,,11.53B,1.223B,1.223B,,,2.146B,14.90B,27.61B,,2.895B,12.79B,2.651B,,1.602B,,,,-3.499B,14.84B,,,
2002-09,4.703B,186.00M,4.889B,3.11B,3.11B,1.085B,338.00M,2.136B,3.559B,1.571B,,434.00M,,13.56B,0.00,568.00M,4.532B,17.89B,,22.99B,-9.941B,13.05B,,13.40B,13.40B,1.843B,28.29B,41.85B,,2.015B,,2.015B,4.997B,7.012B,,,,4.199B,4.199B,1.86B,13.07B,11.26B,,11.26B,1.239B,1.239B,,,2.038B,14.54B,27.61B,,2.912B,12.53B,2.586B,,1.613B,,,,-3.786B,14.24B,,,
2002-06,3.427B,196.00M,3.623B,3.09B,3.09B,1.031B,323.00M,2.102B,3.456B,1.476B,,521.00M,,12.17B,0.00,575.00M,4.532B,17.96B,,23.07B,-9.721B,13.35B,,13.43B,13.43B,1.831B,28.61B,40.78B,,2.205B,,2.205B,5.33B,7.535B,,,,3.731B,3.731B,1.438B,12.70B,11.20B,,11.20B,1.077B,1.077B,,,2.088B,14.37B,27.07B,,2.935B,11.98B,2.49B,,1.634B,,,,-3.699B,13.71B,,,
2002-03,3.061B,470.00M,3.531B,3.113B,3.113B,1.101B,379.00M,2.292B,3.772B,1.878B,,290.00M,,12.58B,,,,,,23.22B,-9.982B,13.23B,,13.40B,13.40B,1.596B,28.22B,40.81B,,9.137B,,9.137B,,9.137B,,,,5.993B,5.993B,,15.13B,9.804B,,9.804B,680.00M,680.00M,,,1.805B,12.29B,27.42B,,2.953B,11.88B,2.362B,,1.653B,,,,-3.804B,13.39B,,,
2001-12,3.193B,203.00M,3.396B,3.551B,3.551B,1.123B,401.00M,2.214B,3.738B,2.064B,,402.00M,,13.15B,,,,,,23.12B,-9.899B,13.22B,,13.24B,13.24B,1.756B,28.22B,41.37B,,9.107B,,9.107B,,9.107B,,,,6.763B,6.763B,,15.87B,9.886B,,9.886B,640.00M,640.00M,,,1.897B,12.42B,28.29B,,2.969B,11.45B,2.23B,,1.673B,,,,-3.573B,13.08B,,,
2001-09,2.893B,211.00M,3.104B,3.054B,3.054B,1.122B,412.00M,2.19B,3.724B,1.776B,,310.00M,,11.97B,,,,,,23.00B,-9.794B,13.21B,,8.379B,8.379B,2.055B,23.64B,35.61B,,7.952B,,7.952B,,7.952B,,,,2.534B,2.534B,,10.49B,10.11B,,10.11B,642.00M,642.00M,,,1.935B,12.69B,23.17B,,2.983B,10.86B,2.136B,,1.687B,,,,-3.54B,12.44B,,,
2001-06,2.306B,212.00M,2.518B,2.931B,2.931B,1.096B,373.00M,1.915B,3.384B,1.659B,,397.00M,,10.89B,0.00,508.00M,4.148B,18.16B,,22.82B,-9.726B,13.10B,,8.30B,8.30B,2.103B,23.50B,34.39B,,2.075B,,2.075B,4.631B,6.706B,,,,2.233B,2.233B,907.00M,9.846B,9.792B,,9.792B,894.00M,894.00M,,,1.845B,12.53B,22.38B,,2.997B,10.45B,2.057B,,1.701B,,,,-3.495B,12.01B,,,
2001-03,2.681B,162.00M,2.843B,2.985B,2.985B,1.12B,417.00M,1.995B,3.532B,1.951B,,329.00M,,11.64B,,,,,,23.37B,-9.768B,13.60B,,8.546B,8.546B,2.052B,24.20B,35.84B,,6.61B,,6.61B,,6.61B,,,,3.428B,3.428B,,10.04B,9.889B,,9.889B,1.006B,1.006B,,,1.935B,12.83B,22.87B,,3.006B,11.30B,2.023B,,1.71B,,,,-3.359B,12.97B,,,
2000-12,3.407B,149.00M,3.556B,3.639B,3.639B,1.166B,399.00M,1.958B,3.523B,1.975B,,183.00M,,12.88B,,,,,,23.47B,-9.877B,13.59B,,8.505B,8.505B,1.85B,23.95B,36.82B,,6.78B,,6.78B,,6.78B,,,,4.279B,4.279B,,11.06B,10.06B,,10.06B,620.00M,620.00M,,,2.069B,12.75B,23.81B,,3.021B,11.44B,1.919B,,1.721B,,,,-3.369B,13.02B,,,
2000-09,2.001B,173.00M,2.174B,3.376B,3.376B,1.173B,410.00M,2.009B,3.592B,1.925B,,202.00M,,11.27B,,,,,,23.36B,-9.695B,13.67B,,8.639B,8.639B,1.536B,23.84B,35.11B,,6.936B,,6.936B,,6.936B,,,,2.91B,2.91B,,9.846B,9.751B,,9.751B,709.00M,709.00M,,,2.097B,12.56B,22.40B,,3.032B,11.18B,1.842B,,1.728B,,,,-3.349B,12.71B,,,
2000-06,1.415B,185.00M,1.60B,2.91B,2.91B,1.254B,394.00M,1.842B,3.49B,1.837B,,309.00M,,10.15B,0.00,596.00M,4.259B,18.37B,,23.22B,-9.529B,13.69B,,8.786B,8.786B,1.742B,24.22B,34.37B,,2.209B,,2.209B,3.766B,5.975B,,,,3.241B,3.241B,925.00M,10.14B,9.012B,,9.012B,625.00M,625.00M,,,2.301B,11.94B,22.08B,,3.043B,10.71B,1.794B,,1.737B,,,,-3.26B,12.29B,,,
2000-03,1.964B,193.00M,2.157B,2.983B,2.983B,1.326B,399.00M,2.075B,3.80B,1.965B,,315.00M,,11.22B,,,,,,23.21B,-9.608B,13.60B,,8.907B,8.907B,1.519B,24.03B,35.25B,,6.527B,,6.527B,,6.527B,,,,4.066B,4.066B,,10.59B,9.394B,,9.394B,560.00M,560.00M,,,2.374B,12.33B,22.92B,,3.053B,10.81B,1.628B,,1.745B,,,,-3.162B,12.33B,,,
1999-12,2.044B,230.00M,2.274B,3.576B,3.576B,1.374B,416.00M,1.969B,3.759B,2.064B,,401.00M,,12.07B,,,,,,22.96B,-9.569B,13.39B,,9.015B,9.015B,1.523B,23.93B,36.00B,,6.862B,,6.862B,,6.862B,,,,4.779B,4.779B,,11.64B,8.703B,,8.703B,489.00M,489.00M,,,2.467B,11.66B,23.30B,,3.074B,11.28B,1.529B,,1.758B,,,,-3.186B,12.70B,,,
1999-09,2.123B,348.00M,2.471B,3.221B,3.221B,1.278B,418.00M,1.953B,3.649B,1.909B,,576.00M,,11.83B,,,,,,22.73B,-9.455B,13.28B,,8.837B,8.837B,1.382B,23.50B,35.32B,,7.759B,,7.759B,,7.759B,,,,4.916B,4.916B,,12.68B,7.212B,,7.212B,523.00M,523.00M,,,2.562B,10.30B,22.97B,,3.084B,10.88B,1.432B,,1.768B,,,,-3.044B,12.35B,,,
1999-06,2.294B,506.00M,2.80B,2.94B,2.94B,1.176B,375.00M,1.787B,3.338B,1.659B,,621.00M,,11.36B,0.00,562.00M,3.885B,16.95B,,21.40B,-8.774B,12.63B,,6.822B,6.822B,1.307B,20.76B,32.11B,,2.30B,,2.30B,4.083B,6.383B,,,,3.15B,3.15B,1.228B,10.76B,6.231B,,6.231B,362.00M,362.00M,,,2.701B,9.294B,20.06B,,3.101B,10.78B,1.337B,,1.781B,,,,-3.158B,12.06B,,,
1999-03,2.255B,832.00M,3.087B,2.822B,2.822B,1.20B,399.00M,1.837B,3.436B,1.779B,,631.00M,,11.76B,,,,,,21.59B,-8.645B,12.94B,,6.964B,6.964B,1.21B,21.12B,32.87B,,7.043B,,7.043B,,7.043B,,,,3.082B,3.082B,,10.12B,6.403B,,6.403B,634.00M,634.00M,,,2.786B,9.823B,19.95B,,3.122B,11.68B,1.184B,,1.793B,,,,-3.066B,12.92B,,,
1998-12,2.094B,702.00M,2.796B,3.284B,3.284B,1.237B,391.00M,1.799B,3.427B,1.711B,,768.00M,,11.99B,,,,,,21.54B,-8.705B,12.84B,,7.123B,7.123B,1.203B,21.16B,33.15B,,7.371B,,7.371B,,7.371B,,,,2.965B,2.965B,,10.34B,6.408B,,6.408B,660.00M,660.00M,,,2.922B,9.99B,20.33B,,3.129B,11.36B,1.061B,,1.803B,,,,-2.728B,12.82B,,,
1998-09,2.54B,778.00M,3.318B,2.95B,2.95B,1.21B,373.00M,1.934B,3.517B,1.798B,,733.00M,,12.32B,,,,,,20.66B,-8.317B,12.34B,,7.038B,7.038B,1.171B,20.55B,32.87B,,7.194B,,7.194B,,7.194B,,,,3.277B,3.277B,,10.47B,6.354B,,6.354B,655.00M,655.00M,,,3.315B,10.32B,20.80B,,3.136B,10.84B,980.00M,,1.81B,,,,-2.881B,12.07B,,,
1998-06,1.549B,857.00M,2.406B,2.781B,2.781B,1.225B,343.00M,1.716B,3.284B,1.511B,,595.00M,,10.58B,0.00,539.00M,3.66B,15.95B,,20.15B,-7.972B,12.18B,,7.011B,7.011B,1.198B,20.39B,30.97B,,2.051B,,2.051B,3.942B,5.993B,,,,2.281B,2.281B,976.00M,9.25B,5.765B,,5.765B,428.00M,428.00M,,,3.287B,9.48B,18.73B,,3.158B,11.14B,907.00M,,1.821B,,,,-2.973B,12.24B,,,
1998-03,1.464B,842.00M,2.306B,2.758B,2.758B,1.253B,332.00M,1.885B,3.47B,1.673B,,611.00M,,10.82B,,,,,,19.82B,-8.017B,11.80B,,6.967B,6.967B,1.112B,19.88B,30.70B,,6.879B,,6.879B,,6.879B,,,,2.249B,2.249B,,9.128B,5.438B,,5.438B,482.00M,482.00M,,,3.262B,9.182B,18.31B,,3.172B,11.33B,764.00M,,1.831B,,-1.275B,-1.607B,-2.882B,12.39B,,,
1997-12,1.305B,1.207B,2.512B,3.009B,3.009B,1.20B,302.00M,1.737B,3.239B,1.52B,,573.00M,,10.85B,,,,,,19.34B,-7.833B,11.50B,,6.213B,6.213B,1.145B,18.86B,29.72B,,6.522B,,6.522B,,6.522B,,,,2.918B,2.918B,,9.44B,4.587B,,4.587B,598.00M,598.00M,,,2.972B,8.157B,17.60B,,3.184B,11.18B,667.00M,,1.842B,,-1.303B,-1.613B,-2.916B,12.12B,,,
1997-09,2.059B,599.00M,2.658B,2.917B,2.917B,1.188B,291.00M,1.854B,3.333B,1.369B,,630.00M,,10.91B,,,,,,19.10B,-7.681B,11.42B,,5.777B,5.777B,1.527B,18.72B,29.63B,,7.193B,,7.193B,,7.193B,,,,2.629B,2.629B,,9.822B,4.143B,,4.143B,536.00M,536.00M,,,3.022B,7.701B,17.52B,,3.193B,10.90B,620.00M,,1.848B,,-991.00M,-1.612B,-2.603B,12.11B,,,
1997-06,2.35B,760.00M,3.11B,2.738B,2.738B,1.131B,228.00M,1.728B,3.087B,1.19B,,661.00M,,10.79B,0.00,570.00M,3.409B,14.65B,,18.62B,-7.249B,11.38B,,3.949B,3.949B,1.433B,16.76B,27.54B,,2.203B,,2.203B,3.802B,6.005B,,,,849.00M,849.00M,944.00M,7.798B,4.143B,,4.143B,559.00M,559.00M,,,2.998B,7.70B,15.50B,,3.21B,10.73B,559.00M,,1.859B,,-819.00M,-1.634B,-2.453B,12.05B,,,
1997-03,2.421B,562.00M,2.983B,2.728B,2.728B,1.158B,281.00M,1.649B,3.088B,1.365B,,705.00M,,10.87B,,,,,,18.38B,-7.303B,11.07B,,4.032B,4.032B,1.49B,16.60B,27.46B,,6.392B,,6.392B,,6.392B,,,,1.232B,1.232B,,7.624B,4.001B,,4.001B,712.00M,712.00M,,,2.776B,7.489B,15.11B,,2.545B,11.14B,1.074B,,1.866B,,-771.00M,-1.637B,-2.408B,12.35B,,,
1996-12,2.189B,532.00M,2.721B,2.928B,2.928B,1.257B,279.00M,1.691B,3.227B,1.481B,,764.00M,,11.12B,,,,,,18.64B,-7.371B,11.27B,,4.203B,4.203B,1.526B,17.00B,28.12B,,6.846B,,6.846B,,6.846B,,,,1.118B,1.118B,,7.964B,4.283B,,4.283B,698.00M,698.00M,,,2.864B,7.845B,15.81B,,2.554B,10.87B,968.00M,,1.874B,,-436.00M,-1.645B,-2.081B,12.31B,,,
1996-09,2.595B,462.00M,3.057B,2.848B,2.848B,1.247B,247.00M,1.739B,3.233B,1.348B,,774.00M,,11.26B,,,,,,18.39B,-7.216B,11.18B,,4.231B,4.231B,1.497B,16.90B,28.16B,,6.867B,,6.867B,,6.867B,,,,1.101B,1.101B,,7.968B,4.629B,,4.629B,663.00M,663.00M,,,2.892B,8.184B,16.15B,,2.561B,10.61B,918.00M,,1.879B,,-430.00M,-1.645B,-2.075B,12.01B,,,
1996-06,2.074B,446.00M,2.52B,2.841B,2.841B,1.254B,210.00M,1.666B,3.13B,1.718B,,598.00M,,10.81B,0.00,569.00M,3.369B,14.17B,,18.11B,-6.994B,11.12B,,4.281B,4.281B,1.524B,16.92B,27.73B,,2.236B,,2.236B,3.981B,6.217B,,,,1.116B,1.116B,492.00M,7.825B,4.67B,,4.67B,638.00M,638.00M,,,2.875B,8.183B,16.01B,,3.257B,10.26B,294.00M,,1.886B,,-418.00M,-1.676B,-2.094B,11.72B,,,
1996-03,2.022B,446.00M,2.468B,3.465B,3.465B,1.312B,261.00M,1.864B,3.437B,1.015B,,818.00M,,11.20B,,,,,,18.08B,-7.067B,11.01B,,4.324B,4.324B,1.561B,16.89B,28.10B,,6.658B,,6.658B,,6.658B,,,,991.00M,991.00M,,7.649B,5.169B,,5.169B,690.00M,690.00M,,,2.86B,8.719B,16.37B,,2.577B,10.25B,837.00M,,1.891B,,-258.00M,-1.676B,-1.934B,11.73B,,,
1995-12,1.668B,448.00M,2.116B,3.899B,3.899B,1.417B,271.00M,1.857B,3.545B,1.093B,,790.00M,,11.44B,,,,,,17.91B,-6.953B,10.96B,,4.304B,4.304B,1.508B,16.77B,28.22B,,6.86B,,6.86B,,6.86B,,,,1.418B,1.418B,,8.278B,4.978B,,4.978B,617.00M,617.00M,,,2.958B,8.553B,16.83B,,2.587B,9.92B,763.00M,,1.901B,,-181.00M,-1.705B,-1.886B,11.38B,,,
1995-09,1.589B,404.00M,1.993B,3.977B,3.977B,1.358B,275.00M,1.951B,3.584B,1.047B,,785.00M,,11.39B,,,,,,17.66B,-6.815B,10.85B,,4.448B,4.448B,1.687B,16.98B,28.37B,,7.496B,,7.496B,,7.496B,,,,1.197B,1.197B,,8.693B,5.018B,,5.018B,585.00M,585.00M,,,3.047B,8.65B,17.34B,,2.593B,9.496B,734.00M,,1.906B,,-94.00M,-1.705B,-1.799B,11.02B,,,
