,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-12,161.10M,161.10M,,,-109.30M,,-1.00M,,,,,-105.50M,77.00M,,,,-1.00M,,72.40M,32.00M,40.40M,,,40.40M,41.00M,80.80M,3.80M,77.00M,0.125,0.0,0.1269,0.125,0.125,0.0,0.1269,0.125,322.80M,322.80M,0.0225
2000-09,152.50M,152.50M,,,75.10M,,-0.40M,,,,,79.60M,72.90M,,,,-0.40M,,72.50M,32.00M,40.50M,,,40.50M,40.74M,77.40M,4.50M,72.90M,0.125,0.0,0.1257,0.125,0.125,0.0,0.1257,0.125,324.40M,326.20M,0.0925
2000-06,149.40M,149.40M,,,70.30M,,,,,,,74.60M,74.80M,,,,,,74.80M,33.10M,41.70M,,,41.70M,41.70M,79.10M,4.30M,74.80M,0.13,0.0,0.13,0.13,0.13,0.0,0.13,0.13,323.81M,326.61M,0.0925
2000-03,139.30M,139.30M,,,71.50M,,0.50M,,,,,75.50M,63.80M,,,,0.50M,,64.30M,28.40M,35.90M,,,35.90M,35.60M,67.80M,4.00M,63.80M,0.11,0.0,0.1091,0.11,0.11,0.0,0.1091,0.11,322.41M,325.01M,0.0925
1999-12,140.40M,140.40M,,,-115.40M,,-0.30M,,,,,-112.10M,68.90M,,,,-0.30M,,68.60M,30.40M,38.20M,,,38.20M,38.38M,72.20M,3.30M,68.90M,0.12,0.0,0.1206,0.12,0.12,0.0,0.1206,0.12,322.20M,325.00M,0.0925
1999-09,139.30M,139.30M,,,69.60M,,9.00M,,,,,72.70M,66.60M,,,,9.00M,,75.60M,33.40M,42.20M,,,42.20M,36.80M,69.70M,-55.40M,66.60M,0.13,0.0,0.1132,0.13,0.13,0.0,0.1134,0.13,321.80M,325.40M,0.0925
1999-06,349.80M,349.80M,140.70M,209.10M,134.80M,,-1.20M,,,,,167.80M,41.30M,,,,-1.20M,,33.80M,13.90M,19.90M,46.50M,-5.60M,66.40M,20.62M,74.30M,-288.90M,41.30M,0.205,0.0,0.2072,0.205,0.2,0.0,0.2022,0.2,324.41M,329.61M,0.0925
1999-03,4.909B,4.909B,1.461B,3.448B,2.048B,,-5.00M,,,,,2.402B,1.046B,,,,-5.00M,,982.00M,378.00M,604.00M,,-56.00M,604.00M,607.08M,1.40B,354.00M,1.046B,0.185,0.0,0.1944,0.185,0.18,0.0,0.1894,0.18,328.11M,328.11M,0.0925
1998-12,-900.80M,-900.80M,-242.60M,-658.20M,-491.50M,,43.80M,,,,,-581.30M,-76.90M,,,,43.80M,,-21.30M,-3.50M,-17.80M,,,-51.50M,-54.40M,-166.70M,-89.80M,-76.90M,0.26,0.0,0.1486,0.26,0.26,-0.005,0.1514,0.255,328.50M,337.02M,0.0925
1998-09,459.60M,459.60M,130.20M,329.40M,192.00M,,5.70M,,,,,226.30M,103.10M,,,,5.70M,,108.60M,39.90M,68.70M,,,68.70M,65.09M,137.40M,34.30M,103.10M,0.2,0.0,0.1895,0.2,0.2,0.0,0.1895,0.2,343.50M,343.50M,0.0925
1998-06,484.00M,484.00M,145.60M,338.40M,197.00M,,-31.10M,,,,,232.40M,106.00M,,,,-31.10M,,70.70M,31.00M,39.70M,21.60M,,61.30M,58.36M,141.40M,35.40M,106.00M,0.115,0.065,0.1698,0.18,0.115,0.06,0.1683,0.175,340.56M,350.29M,0.11
