,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-03,103.50M,,,26.20M,8.30M,8.30M,,,,,,-11.10M,,-56.70M,-5.30M,40.10M,1.40M,-31.60M,,106.40M,-6.60M,-6.60M,,,-2.80M,-9.40M,,,-0.30M,42.70M,-30.50M,12.20M,,-11.20M,,,0.70M,269.10M,97.70M,1.30M,368.10M,42.70M,,,-30.50M
2003-12,85.50M,,,13.30M,8.80M,8.80M,,,,,,-62.30M,0.70M,42.10M,-5.60M,54.30M,,29.20M,,136.40M,-5.20M,-5.20M,-1.10M,,0.80M,-5.50M,,,0.90M,20.70M,-58.30M,-37.60M,,-6.70M,,,-43.40M,179.90M,87.50M,1.70M,269.10M,20.70M,,,-58.30M
2003-09,85.60M,,,11.70M,8.10M,8.10M,,,,,,29.40M,0.00,26.70M,0.00,-9.20M,,46.90M,,152.30M,-3.90M,-3.90M,1.10M,,-1.10M,-3.90M,,,-0.30M,21.00M,-64.00M,-43.00M,,-6.80M,,,-50.10M,81.20M,98.30M,0.40M,179.90M,21.00M,,,-64.00M
2003-06,100.90M,,,12.80M,7.90M,7.90M,,,,,,-13.90M,-0.70M,-7.20M,0.00,2.80M,,-19.00M,,102.60M,-4.60M,-4.60M,,,0.00,-4.60M,,,-93.40M,24.00M,0.00,24.00M,,-6.60M,,,-76.00M,57.80M,22.00M,1.40M,81.20M,24.00M,,,0.00
2003-03,91.90M,,,6.90M,7.80M,7.80M,,,,,,-45.00M,,-31.00M,4.10M,42.40M,,-29.50M,,77.10M,-4.20M,-4.20M,,,1.10M,-3.10M,,,-14.30M,13.30M,-50.50M,-37.20M,,-6.70M,,,-58.20M,39.90M,15.80M,2.10M,57.80M,13.30M,,,-50.50M
2002-12,69.80M,,,6.60M,7.20M,7.20M,,,,,,-26.30M,,16.30M,-3.60M,27.30M,,11.60M,,91.60M,-4.80M,-4.80M,0.00,,0.00,-4.80M,,,,9.20M,-226.70M,-217.50M,,-6.70M,,,-117.10M,69.90M,-30.30M,0.30M,39.90M,9.20M,,,-226.70M
2002-09,67.80M,,,22.00M,7.10M,7.10M,,,,,,25.80M,,-9.50M,-4.90M,16.30M,,27.70M,,124.60M,-6.70M,-6.70M,0.40M,,0.20M,-6.10M,,,,-9.60M,-110.30M,-119.90M,,-7.20M,,,-127.10M,78.50M,-8.60M,0.00,69.90M,-9.60M,,,-110.30M
2002-06,78.70M,,,1.30M,6.20M,6.20M,,,,,,-6.20M,,-6.70M,7.40M,0.40M,,-5.10M,,81.10M,-3.70M,-3.70M,-206.10M,,0.10M,-209.70M,,,,35.70M,-1.80M,33.90M,,-6.90M,,,27.00M,177.80M,-101.60M,2.30M,78.50M,35.70M,,,-1.80M
2002-03,72.60M,,,,4.10M,4.10M,,,,,,-9.90M,,-66.90M,-1.50M,39.10M,,-39.20M,,37.50M,-2.90M,-2.90M,,,-0.10M,-3.00M,,,,18.70M,-31.10M,-12.40M,,-7.00M,,,-19.40M,163.20M,15.10M,-0.50M,177.80M,18.70M,,,-31.10M
2001-12,58.80M,,,-7.50M,4.50M,4.50M,,,,,,-36.20M,,33.60M,-2.00M,9.50M,,1.50M,,56.50M,-4.00M,-4.00M,-9.80M,,,-13.80M,,,,23.80M,-72.30M,-48.50M,,-7.00M,,,-55.50M,174.70M,-12.80M,1.30M,163.20M,23.80M,,,-72.30M
2001-09,49.90M,,,11.50M,4.40M,4.40M,,,,,,5.40M,,61.00M,-4.60M,-11.30M,,50.50M,,116.30M,-10.80M,-10.80M,-1.30M,,6.60M,-5.50M,,,,4.50M,-98.80M,-94.30M,,-7.10M,,,-101.40M,164.40M,9.40M,0.90M,174.70M,4.50M,,,-98.80M
2001-06,55.50M,,,,4.00M,4.00M,,,,,,6.00M,,-1.10M,0.50M,-3.20M,,2.20M,,61.70M,3.00M,3.00M,-4.10M,,-6.70M,-7.80M,,,,19.00M,0.00,19.00M,,-7.10M,,,11.90M,99.00M,65.80M,-0.40M,164.40M,19.00M,,,0.00
2001-03,48.00M,,,,4.10M,4.10M,,,,,,-22.80M,,8.10M,-0.50M,34.90M,,19.70M,,71.80M,-3.00M,-3.00M,,,0.10M,-2.90M,,,,15.60M,-96.50M,-80.90M,,-7.10M,,,-88.00M,119.10M,-19.10M,-1.00M,99.00M,15.60M,,,-96.50M
2000-12,40.40M,,,,3.80M,3.80M,-2.20M,,,,,-13.20M,,24.80M,-0.30M,6.40M,,17.70M,,60.00M,-2.10M,-2.10M,0.00,,-2.70M,-4.80M,,,104.50M,,,,,147.30M,,,40.60M,22.60M,95.80M,0.70M,119.10M,,,,
2000-09,40.50M,,,,4.50M,4.50M,-0.10M,,,,,6.60M,,30.30M,-6.10M,1.50M,,32.30M,,77.20M,-10.20M,-10.20M,0.40M,,5.40M,-4.40M,,,195.50M,,,,,-154.50M,,-105.50M,-64.50M,14.60M,8.30M,-0.30M,22.60M,,,,
2000-06,41.70M,,,,4.30M,4.30M,,,,,,2.70M,,-164.40M,32.90M,-4.50M,,-133.30M,,-87.30M,3.00M,3.00M,-0.40M,,-6.60M,-4.00M,,,,,,,,,,96.30M,96.30M,10.30M,5.00M,-0.70M,14.60M,,,,
2000-03,35.90M,,,,4.00M,4.00M,,,,,,-10.70M,,-29.30M,-1.40M,19.20M,,-22.20M,,17.70M,-3.00M,-3.00M,-17.40M,,,-20.40M,,,,,,,,,,9.20M,9.20M,3.40M,6.50M,0.40M,10.30M,,,,
1999-12,38.20M,,,0.00,3.30M,3.30M,7.40M,,,,,10.30M,,16.80M,-7.10M,-7.20M,,12.80M,,61.70M,-5.70M,-5.70M,,,-1.50M,-7.20M,,,,,-186.40M,-186.40M,,130.50M,,,-55.90M,4.80M,-1.40M,0.00,3.40M,,,,-186.40M
1999-09,-9.40M,,,84.80M,-55.40M,-55.40M,5.90M,,,,-9.40M,1.30M,,3.90M,4.30M,2.80M,14.10M,26.40M,-100.40M,-57.50M,12.70M,12.70M,,0.20M,42.20M,55.10M,,,-91.80M,-36.80M,215.60M,178.80M,,-70.00M,,-1.00M,16.00M,72.90M,13.60M,1.00M,4.80M,-36.80M,,,215.60M
1999-06,-477.20M,,,-94.00M,-288.90M,-288.90M,-6.00M,,,,-40.60M,770.10M,,,-403.70M,-51.50M,11.90M,326.80M,100.40M,-479.50M,84.60M,84.60M,,8.80M,46.70M,140.10M,,,-187.20M,-233.20M,695.40M,462.20M,,245.50M,,-2.00M,518.50M,709.00M,179.10M,4.10M,72.90M,-233.20M,,,695.40M
1999-03,604.00M,,,,354.00M,354.00M,,,,,50.00M,-768.00M,,,398.00M,61.00M,-26.00M,-335.00M,,673.00M,-103.00M,-103.00M,,-9.00M,-88.00M,-200.00M,,,279.00M,270.00M,-911.00M,-641.00M,,-306.00M,,3.00M,-665.00M,906.00M,-192.00M,-5.00M,709.00M,270.00M,,,-911.00M
