,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2007-03,-42.89M,,1.89M,138.69M,4.463M,143.16M,143.16M,-22.91M,,,,5.55M,14.18M,,,-1.883M,,8.988M,-57.33M,-36.04M,,,2007-03,-47.18M,2.536M,-44.64M,-489.48M,,,-534.12M,2007-03,,,650.00M,5.576M,-600.71M,-595.13M,,,,,,-33.17M,16.72M,,2007-03,-468.64M,0.46M,124.54M,,2007-03,,5.576M,,-600.71M,,2007-03,,
2006-12,-6.275M,,-5.649M,71.62M,2.53M,74.15M,74.15M,1.738M,,,,13.74M,-8.271M,,-6.461M,1.857M,,32.01M,,19.14M,,,2006-12,-348.50M,0.047M,-348.46M,303.61M,0.00,,-44.85M,2006-12,,,549.42M,1.686M,-0.065M,1.621M,,,,,,-71.12M,474.95M,,2006-12,526.94M,-0.305M,592.72M,,2006-12,,1.686M,,-0.065M,,2006-12,,
2006-09,-15.56M,,2.562M,72.16M,1.987M,74.15M,74.15M,-1.738M,,,,5.677M,1.117M,17.19M,-20.18M,-1.525M,,-3.447M,2.312M,-4.537M,,,2006-09,-30.65M,2.235M,-28.42M,-303.61M,-6.429M,,-338.46M,2006-09,,,-12.11M,5.945M,-177.86M,-171.91M,,,,,,10.52M,-178.47M,,2006-09,-456.38M,-0.136M,66.08M,,2006-09,,5.945M,,-177.86M,,2006-09,,
2006-06,-13.34M,,7.374M,69.37M,1.733M,71.11M,71.11M,,,,,10.75M,-5.548M,-12.14M,,3.67M,,14.20M,-2.312M,-2.133M,-5.657M,,2006-06,-27.21M,-0.611M,-27.82M,,0.079M,1.00M,-26.74M,2006-06,,,705.00M,28.57M,-337.07M,-308.50M,,,,,,-7.955M,383.57M,,2006-06,424.94M,0.226M,522.60M,,2006-06,,28.57M,,-337.07M,,2006-06,,
2006-03,-6.722M,,-0.11M,72.09M,2.35M,74.44M,74.44M,,,,,,-0.365M,-5.044M,,0.766M,,-12.70M,,-17.34M,5.657M,,2006-03,-22.07M,0.611M,-21.46M,,,-1.00M,-22.46M,2006-03,,,,9.34M,-3.03M,6.31M,,,,,,-2.477M,-1.136M,,2006-03,32.33M,-0.308M,97.43M,,2006-03,,9.34M,,-3.03M,,2006-03,,
2005-12,-21.69M,,10.84M,69.99M,2.986M,72.97M,72.97M,,,,,1.568M,-1.763M,11.91M,,1.229M,,36.13M,,30.87M,6.693M,,2005-12,-25.88M,-1.968M,-27.85M,-2.675M,2.827M,,-34.83M,2005-12,,,150.00M,22.01M,-222.17M,-200.16M,,,,,,-15.90M,-74.03M,,2005-12,-5.991M,0.049M,65.41M,,2005-12,,22.01M,,-222.17M,,2005-12,,
2005-09,-25.54M,,-284.77M,70.22M,1.804M,72.02M,72.02M,,,,,299.09M,-2.167M,-8.994M,,0.67M,,-2.786M,-0.362M,-13.64M,0.00,,2005-09,-16.87M,1.968M,-14.90M,-144.58M,-56.64M,,-216.12M,2005-09,,,119.73M,11.96M,-112.84M,-100.88M,,,,,,-28.49M,-18.74M,,2005-09,-187.69M,0.075M,71.35M,,2005-09,,11.96M,,-112.84M,,2005-09,,
2005-06,-223.94M,,190.76M,68.74M,0.876M,69.62M,69.62M,,,,,10.82M,-0.276M,-1.221M,,3.648M,,-14.40M,0.362M,-11.89M,-3.155M,,2005-06,-12.33M,-0.004M,-12.34M,,1.602M,0.045M,-3.628M,2005-06,,,92.73M,21.77M,-175.80M,-154.03M,,,,,,-87.01M,-152.44M,,2005-06,-123.84M,-0.27M,258.96M,,2005-06,,21.77M,,-175.80M,,2005-06,,
2005-03,-128.76M,,94.01M,72.17M,1.494M,73.67M,73.67M,,,,,,15.43M,-1.696M,,-5.398M,,-20.21M,,-11.87M,-0.782M,,2005-03,-9.599M,0.004M,-9.595M,,,-0.045M,-9.64M,2005-03,,,-195.68M,3.319M,-4.074M,-0.755M,,,,,,-3.55M,-199.99M,,2005-03,-183.37M,-0.262M,383.08M,,2005-03,,3.319M,,-4.074M,,2005-03,,
2004-12,-90.13M,,62.36M,73.85M,1.534M,75.38M,75.38M,,,,,-9.86M,14.27M,-2.966M,,3.426M,,19.67M,,34.40M,-2.024B,,2004-12,-14.11M,0.511M,-13.60M,,151.50M,0.00,1.845B,2004-12,,,-86.60M,2.02M,-6.374M,-4.354M,,,,,,0.00,-90.95M,,2004-12,-197.86M,7.557M,566.71M,,2004-12,,2.02M,,-6.374M,,2004-12,,
2004-09,450.66M,,-501.72M,69.92M,2.205M,72.13M,72.13M,,,,,9.86M,4.361M,-3.626M,,-0.249M,,-10.71M,,-10.23M,2.007B,,2004-09,-9.563M,2.726M,-6.837M,,-138.65M,-11.12M,-156.60M,2004-09,,,-1.275B,3.801M,-35.98M,-32.18M,,,,,,-0.032M,-1.308B,,2004-09,563.53M,0.816M,757.00M,,2004-09,,3.801M,,-35.98M,,2004-09,,
2004-06,-50.78M,,-5.355M,70.47M,2.813M,73.29M,73.29M,,,,,,-1.377M,0.094M,,0.955M,,19.97M,,19.64M,20.38M,,2004-06,-12.64M,-0.415M,-13.06M,,-12.85M,14.03M,-11.88M,2004-06,,,-11.62M,22.71M,-12.90M,9.81M,,,,,,0.00,-1.805M,,2004-06,43.49M,-1.185M,192.66M,,2004-06,,22.71M,,-12.90M,,2004-06,,
2004-03,-76.64M,,16.83M,70.74M,2.96M,73.70M,73.70M,,,,,,3.307M,-2.276M,,-1.746M,,-24.51M,,-25.22M,31.51M,,2004-03,-6.601M,0.415M,-6.186M,,26.60M,-14.03M,6.386M,2004-03,,,-285.11M,3.562M,-4.108M,-0.546M,,,,,,-0.412M,-286.07M,,2004-03,-259.50M,0.264M,150.11M,,2004-03,,3.562M,,-4.108M,,2004-03,,
2003-12,-202.09M,,95.75M,97.96M,17.44M,115.39M,115.39M,,,,,,11.24M,-16.69M,,-0.857M,,51.94M,,45.63M,260.86M,,2003-12,-6.653M,1.828M,-4.825M,0.00,36.40M,-0.063M,-60.04M,2003-12,,,502.73M,3.46M,-62.27M,-58.81M,,,,,,-22.09M,37.08M,,2003-12,292.59M,5.485M,409.58M,,2003-12,,3.46M,,-62.27M,,2003-12,,
2003-09,-99.68M,,41.66M,60.85M,20.22M,81.06M,81.06M,,,,,,1.088M,-1.361M,,0.982M,,-24.76M,,-24.05M,38.19M,,2003-09,-6.092M,4.22M,-1.872M,0.00,63.46M,-0.022M,61.56M,2003-09,,,-36.62M,2.581M,-229.22M,-226.64M,,,,,,-7.441M,-270.70M,,2003-09,-171.94M,0.089M,174.51M,,2003-09,,2.581M,,-229.22M,,2003-09,,
2003-06,-80.83M,,7.876M,41.87M,17.02M,58.89M,58.89M,,,,,,15.83M,9.409M,,4.348M,0.464M,9.717M,,39.77M,-37.25M,,2003-06,38.24M,0.00,38.24M,-5.873M,14.81M,-12.97M,34.20M,2003-06,,,-6.855M,0.896M,-38.69M,-37.79M,,,,,,,-44.65M,,2003-06,-21.99M,4.742M,459.70M,,2003-06,,0.896M,,-38.69M,,2003-06,,
2003-03,-69.02M,,7.476M,80.36M,17.49M,97.84M,97.84M,,,,,,2.595M,,,-12.25M,-0.464M,-20.26M,,-30.37M,,,2003-03,-52.85M,7.472M,-45.38M,,37.43M,-0.25M,-8.194M,2003-03,,,-22.90M,1.055M,-13.56M,-12.50M,,,,,,,-35.40M,,2003-03,-37.66M,-1.562M,476.95M,,2003-03,,1.055M,,-13.56M,,2003-03,,
2002-12,-82.30M,,-33.81M,53.44M,18.55M,71.99M,71.99M,,,,,,65.17M,27.97M,,-18.84M,,8.892M,,83.19M,,,2002-12,125.64M,5.502M,131.14M,-3.252M,56.61M,2.806M,187.30M,2002-12,,,-82.28M,0.123M,-49.02M,-48.89M,,,,,,,-131.17M,,2002-12,67.33M,-8.984M,339.84M,,2002-12,,0.123M,,-49.02M,,2002-12,,
2002-09,-65.63M,,13.68M,77.28M,25.66M,102.94M,102.94M,,,,,,15.53M,3.96M,,-2.209M,,-55.89M,,-38.61M,,,2002-09,-38.00M,22.48M,-15.53M,-1.197M,35.66M,7.182M,26.11M,2002-09,,,-95.30M,0.042M,-41.46M,-41.42M,,,,,,,-136.72M,,2002-09,-98.22M,2.162M,605.32M,,2002-09,,0.042M,,-41.46M,,2002-09,,
2002-06,-68.60M,,2.367M,76.17M,24.94M,101.12M,101.12M,,,,,,20.16M,5.695M,,-18.98M,,12.19M,,19.06M,,,2002-06,-126.30M,,-126.30M,,20.00M,-18.18M,-124.47M,2002-06,,,-15.24M,0.329M,-3.996M,-3.667M,,,,,,,-18.91M,,2002-06,-89.43M,10.79M,701.38M,,2002-06,,0.329M,,-3.996M,,2002-06,,
2002-03,-103.39M,,29.56M,71.72M,24.25M,95.97M,95.97M,,,,,,-3.879M,-3.208M,,-9.94M,,10.94M,,-6.092M,,,2002-03,-72.98M,,-72.98M,,37.50M,-2.946M,-38.43M,2002-03,,,,0.538M,,0.538M,,,,,,,0.538M,,2002-03,-21.85M,-2.736M,780.02M,,2002-03,,0.538M,,,,2002-03,,
2001-12,-103.05M,,10.11M,101.12M,23.67M,124.79M,124.79M,,,,,,21.82M,-88.68M,131.35M,3.364M,,-46.47M,,21.38M,,,2001-12,-121.99M,,-121.99M,-3.524M,-63.96M,385.33M,195.85M,2001-12,,,15.00M,21.92M,,21.92M,,,,,,-16.54M,20.38M,,2001-12,269.45M,-1.547M,804.60M,,2001-12,,21.92M,,,,2001-12,,
2001-09,-110.33M,,8.21M,78.52M,23.21M,101.73M,101.73M,,,,,-2.775M,-10.03M,88.01M,-131.35M,5.953M,,76.41M,,28.99M,,,2001-09,-152.42M,,-152.42M,-0.998M,0.00,0.00,-153.42M,2001-09,,,0.00,-16.00M,,-16.00M,,,,,,16.17M,0.162M,,2001-09,-127.42M,5.084M,536.70M,,2001-09,,-16.00M,,,,2001-09,,
2001-06,-84.73M,,10.66M,74.76M,22.72M,97.47M,97.47M,,,,,2.775M,-3.305M,-48.28M,,10.80M,,22.59M,,-18.18M,,,2001-06,-156.83M,,-156.83M,-151.13M,0.00,-404.68M,-712.64M,2001-06,,,285.45M,368.73M,,368.73M,,,,,,-9.119M,645.06M,,2001-06,-59.60M,1.688M,659.03M,,2001-06,,368.73M,,,,2001-06,,
2001-03,-68.06M,,0.751M,74.09M,22.16M,96.25M,96.25M,,,,,,-29.17M,-39.73M,,-15.94M,,100.79M,,15.94M,,,2001-03,-251.86M,,-251.86M,,37.50M,-10.57M,-224.93M,2001-03,,,446.38M,,,,,,,,,-2.672M,443.71M,,2001-03,263.67M,-0.559M,716.94M,,2001-03,,,,,,2001-03,,
2000-12,-59.04M,,0.423M,,,92.63M,92.63M,,,,,,-35.66M,-37.13M,,18.02M,,68.66M,,13.89M,,,2000-12,-199.50M,,-199.50M,-52.27M,-175.00M,-0.51M,-427.28M,2000-12,,,15.00M,1.687M,,1.687M,,,,,,-0.035M,16.65M,,2000-12,-362.72M,-0.385M,453.83M,,2000-12,,1.687M,,,,2000-12,,
2000-09,-52.96M,,0.756M,,,86.28M,86.28M,,,,,,-39.93M,-23.09M,,5.678M,8.593M,52.82M,,4.074M,,,2000-09,-178.40M,,-178.40M,-235.33M,,-1.371M,-415.10M,2000-09,,,139.02M,732.59M,,732.59M,,,,,,-3.305M,868.31M,,2000-09,491.35M,-6.458M,816.94M,,2000-09,,732.59M,,,,2000-09,,
2000-06,-59.23M,,0.667M,,,76.63M,76.63M,,,,,,-6.586M,-17.12M,,33.91M,-8.593M,22.84M,,24.44M,,,2000-06,-148.18M,,-148.18M,-568.72M,1.498M,-0.618M,-716.02M,2000-06,,,520.00M,2.166M,,2.166M,,,,,,-24.95M,497.22M,,2000-06,-176.29M,-1.167M,332.05M,,2000-06,,2.166M,,,,2000-06,,
2000-03,-32.06M,,2.002M,,,64.26M,64.26M,,,,,,-9.842M,-11.77M,,-2.145M,,26.48M,,2.731M,,,2000-03,-110.43M,,-110.43M,-287.36M,-1.498M,,-399.29M,2000-03,,,337.00M,6.845M,,6.845M,,,,,,-18.93M,324.92M,,2000-03,-37.44M,-2.384M,509.50M,,2000-03,,6.845M,,,,2000-03,,
1999-12,-32.90M,,3.70M,,,59.40M,59.40M,,,,,-1.60M,-22.80M,-17.40M,,14.60M,,13.90M,,-11.70M,,,1999-12,-193.00M,,-193.00M,,,0.00,-193.00M,1999-12,,,74.50M,188.50M,,188.50M,,,,,,-28.40M,233.40M,,1999-12,57.30M,-0.20M,549.30M,,1999-12,,188.50M,,,,1999-12,,
1999-09,-27.10M,,-0.50M,,,57.10M,57.10M,,,,,1.60M,-14.40M,-7.80M,,8.30M,,23.40M,,9.50M,,,1999-09,-636.70M,,-636.70M,,,-7.50M,-644.20M,1999-09,,,233.40M,140.20M,,140.20M,,,,,,15.70M,389.30M,,1999-09,-214.30M,0.70M,492.20M,,1999-09,,140.20M,,,,1999-09,,
1999-06,-20.80M,,0.30M,,,38.90M,38.90M,,,,,-0.10M,-4.30M,-7.10M,,-4.30M,,12.00M,,-3.70M,,,1999-06,-391.40M,,-391.40M,,,0.70M,-390.70M,1999-06,,,521.60M,475.30M,,475.30M,,,,,,-15.60M,981.30M,,1999-06,605.20M,-1.20M,0.00,,1999-06,,475.30M,,,,1999-06,,
1999-03,-13.50M,,1.40M,,,24.60M,24.60M,,,,,0.10M,-1.40M,-4.50M,,-17.70M,,31.50M,,7.90M,,,1999-03,-281.20M,,-281.20M,,,,-281.20M,1999-03,,,64.70M,1.80M,,1.80M,,,,,,-0.10M,66.40M,,1999-03,-194.30M,-0.30M,0.00,,1999-03,,1.80M,,,,1999-03,,
