,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2011-06,148.89M,,,,29.85M,29.85M,,7.061M,-0.868M,-19.51M,,,-62.52M,-62.52M,104.61M,-23.14M,0.534M,-22.60M,-51.89M,13.08M,,-61.42M,352.38M,,352.38M,,-172.50M,-172.50M,,-2.608M,9.53M,-217.43M,-30.63M,593.00M,12.57M,5.643M,611.21M,,489.20M,-136.82M,-172.50M,53.04M,18.01M
2011-03,128.88M,,,,27.36M,27.36M,,6.32M,-4.625M,1.695M,,,-50.20M,-50.20M,107.74M,-23.32M,0.143M,-23.18M,,-0.081M,,-23.26M,0.00,,0.00,,-188.50M,-188.50M,,-2.633M,11.92M,153.70M,-25.52M,525.89M,58.96M,8.148M,593.00M,,0.00,,-188.50M,30.45M,2.517M
2010-12,132.47M,,,,26.85M,26.85M,,6.805M,-11.04M,-4.237M,-75.66M,,125.68M,87.61M,160.68M,-36.09M,0.815M,-35.28M,-15.48M,8.904M,,-41.86M,-104.40M,,-104.40M,,0.00,0.00,,-2.612M,25.34M,9.001M,-72.66M,480.53M,46.16M,-0.803M,525.89M,,175.21M,-279.61M,0.00,-232.12M,-63.66M
2010-09,138.80M,,,,26.51M,26.51M,,6.965M,-2.317M,96.93M,0.00,,-123.61M,-123.61M,128.34M,-30.28M,1.036M,-29.24M,-151.30M,-24.53M,,-205.07M,121.00M,,121.00M,,0.00,0.00,,-2.604M,13.87M,-24.78M,107.49M,436.68M,30.76M,13.09M,480.53M,,515.61M,-394.61M,0.00,29.97M,3.431M
2010-06,131.01M,,,,25.15M,25.15M,,6.172M,-0.751M,-86.86M,0.00,,24.45M,24.45M,104.03M,-24.73M,,-24.73M,-10.62M,-36.24M,,-71.60M,-19.82M,,-19.82M,,0.00,0.00,,-2.602M,4.224M,-0.624M,-18.83M,431.72M,13.61M,-8.649M,436.68M,,33.98M,-53.81M,0.00,69.08M,20.10M
2010-03,100.14M,,,,24.34M,24.34M,,5.443M,-0.582M,4.861M,-82.00M,,-15.50M,-97.50M,31.84M,-18.35M,,-18.35M,-3.00M,-8.353M,,-29.71M,48.61M,,48.61M,,0.00,0.00,,-2.595M,3.173M,-0.464M,48.72M,384.61M,50.86M,-3.751M,431.72M,,68.60M,-19.99M,0.00,,
2009-12,89.98M,,,,25.60M,25.60M,,4.981M,,121.96M,6.00M,,-135.32M,-74.72M,151.71M,-17.45M,,-14.23M,-7.321M,-32.67M,,-40.78M,-43.68M,,-43.68M,,,,,-2.573M,20.98M,-7.479M,-32.75M,307.57M,78.19M,-1.142M,384.61M,,685.63M,-729.31M,,,
2009-09,83.36M,,,,25.15M,25.15M,,5.231M,,-118.91M,-3.00M,,144.07M,141.07M,145.94M,-14.78M,,-14.78M,-1.115M,-13.52M,,-29.41M,-29.23M,,-29.23M,,,,,0.00,1.484M,-5.11M,-32.86M,220.76M,83.68M,3.129M,307.57M,,127.70M,-156.93M,,,
2009-06,76.82M,,,,24.78M,24.78M,,5.244M,,5.244M,-12.00M,,47.03M,35.03M,141.88M,-13.96M,,-13.96M,-10.11M,-2.013M,,-26.09M,-50.61M,,-50.61M,,,,,-2.571M,2.791M,0.589M,-49.80M,150.52M,65.99M,4.255M,220.76M,,126.61M,-177.22M,,,
2009-03,77.05M,,,,22.99M,22.99M,,4.784M,,4.784M,6.00M,,31.94M,37.94M,142.76M,-16.87M,,-16.87M,-261.46M,1.42M,,-276.92M,85.89M,,85.89M,,,,,-5.135M,0.224M,0.107M,81.08M,214.99M,-53.07M,-11.40M,150.52M,,268.59M,-182.70M,,,
