,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-12,357.40M,357.40M,0.00,357.40M,634.50M,101.80M,732.00M,,,,,314.30M,27.80M,,60.20M,48.10M,1.552B,0.0,56.30M,570.00M,1.947B,,126.40M,2.40M,2.702B,-1.212B,1.490B,1.061B,148.60M,1.21B,257.40M,,247.10M,54.80M,3.260B,4.811B,567.80M,5.40M,0.00,16.20M,589.40M,196.80M,786.20M,,69.10M,,,,69.10M,,69.10M,4.80M,4.80M,14.60M,1.046B,,773.20M,,773.20M,89.80M,22.70M,112.50M,25.00M,473.70M,54.20M,37.40M,103.90M,1.542B,2.589B,1.20M,1.193B,1.034B,57.90M,,,14.50M,2.185B
2009-09,258.80M,258.80M,,258.80M,,,779.60M,189.50M,71.80M,69.60M,,314.60M,94.00M,,57.90M,,1.505B,0.0,638.90M,,1.965B,,131.30M,2.40M,2.738B,-1.213B,1.525B,1.069B,,1.069B,247.20M,,,445.50M,3.286B,4.791B,973.20M,,4.60M,,977.80M,,977.80M,,76.80M,,,,76.80M,,76.80M,,,,1.055B,,770.90M,,770.90M,,,,,484.40M,,33.50M,310.60M,1.566B,2.620B,1.20M,1.156B,1.035B,76.40M,,,21.50M,2.137B
2009-06,256.90M,256.90M,,256.90M,,,681.10M,190.80M,67.80M,70.80M,,313.50M,81.30M,,62.00M,,1.395B,0.0,624.30M,,1.831B,,150.30M,1.10M,2.607B,-1.104B,1.502B,1.057B,,1.057B,232.80M,,,424.00M,3.216B,4.611B,889.30M,,0.00,,889.30M,,889.30M,,95.80M,,,,95.80M,,95.80M,,,,985.10M,,766.20M,,766.20M,,,,,473.40M,,25.20M,303.50M,1.543B,2.528B,1.20M,1.141B,1.029B,81.80M,,,-31.40M,2.058B
2009-03,90.80M,90.80M,,90.80M,,,622.10M,212.70M,72.70M,82.70M,,352.40M,61.40M,,61.70M,,1.188B,0.0,608.40M,,1.798B,,148.70M,1.10M,2.556B,-1.046B,1.510B,1.038B,,1.038B,243.00M,,,374.10M,3.165B,4.354B,851.40M,,9.20M,,860.60M,,860.60M,,250.40M,,,,250.40M,,250.40M,,,,1.111B,,466.50M,,466.50M,,,,,467.80M,,25.90M,321.50M,1.256B,2.367B,1.20M,1.180B,984.70M,87.00M,,,-117.50M,1.961B
2008-12,103.40M,103.40M,,103.40M,,,607.10M,260.70M,95.70M,111.40M,,451.20M,79.00M,,67.50M,,1.308B,0.0,56.10M,563.70M,1.853B,,160.00M,1.10M,2.634B,-1.047B,1.586B,1.052B,,1.052B,266.50M,,,430.70M,3.336B,4.644B,923.00M,,6.30M,,929.30M,,929.30M,,183.80M,,,136.90M,320.70M,,320.70M,,,,1.25B,,459.60M,,459.60M,,,,,543.80M,,31.50M,353.10M,1.356B,2.606B,1.20M,1.200B,977.60M,87.40M,,,-85.90M,2.006B
2008-09,,135.80M,,135.80M,849.10M,,849.10M,283.20M,105.40M,129.30M,,499.70M,88.50M,,51.90M,,1.625B,0.0,609.70M,,1.933B,1.10M,155.10M,,2.698B,-1.087B,1.611B,1.068B,,1.068B,,,,581.90M,3.261B,4.886B,980.40M,,,,980.40M,,980.40M,,145.60M,,,137.40M,283.00M,,283.00M,,,104.20M,1.368B,,431.30M,,431.30M,,,,,,,30.50M,829.60M,1.261B,2.628B,1.20M,1.295B,970.70M,80.10M,,,40.60M,2.227B
2008-06,,225.90M,,225.90M,951.10M,,951.10M,276.60M,111.60M,126.90M,,498.30M,89.30M,,47.50M,,1.812B,0.0,647.40M,,2.027B,3.30M,154.90M,,2.832B,-1.130B,1.702B,1.271B,,1.271B,,,,656.80M,3.629B,5.441B,1.120B,,,,1.120B,,1.120B,,58.10M,,,137.70M,195.80M,,195.80M,,,32.40M,1.348B,,431.10M,,431.10M,,,,,,,34.10M,1.073B,1.504B,2.852B,1.20M,1.440B,961.10M,64.10M,,,216.90M,2.555B
2008-03,,203.40M,11.80M,215.20M,955.10M,,955.10M,256.00M,107.30M,121.80M,,471.80M,78.20M,,46.80M,,1.767B,0.0,634.80M,,1.976B,2.90M,155.80M,,2.769B,-1.097B,1.672B,1.200B,,1.200B,,,,648.10M,3.520B,5.287B,1.036B,,,,1.036B,,1.036B,,144.30M,,,138.60M,282.90M,,282.90M,,,17.90M,1.336B,,446.70M,,446.70M,,,,,,,122.00M,902.70M,1.349B,2.686B,1.20M,1.370B,951.60M,56.10M,118.90M,94.30M,213.20M,2.479B
2007-12,,188.50M,14.60M,203.10M,802.40M,,802.40M,246.70M,99.80M,114.60M,,447.60M,3.60M,,42.80M,80.80M,1.580B,0.0,46.30M,558.60M,1.898B,1.10M,143.40M,,2.647B,-1.038B,1.609B,1.168B,139.40M,1.308B,,,124.40M,337.10M,3.378B,4.958B,626.30M,,,,626.30M,363.40M,989.70M,,63.70M,,,,63.70M,,63.70M,3.30M,3.30M,27.20M,1.084B,,572.60M,,572.60M,102.10M,,102.10M,,,,117.90M,760.90M,1.436B,2.520B,1.20M,1.296B,943.40M,46.50M,252.40M,-125.30M,127.10M,2.321B
2007-09,,137.40M,38.90M,176.30M,870.10M,,870.10M,235.30M,112.30M,117.40M,,450.90M,98.00M,,40.30M,,1.636B,0.0,586.20M,,1.869B,1.10M,123.50M,,2.580B,-1.055B,1.525B,1.113B,,1.113B,,,,580.60M,3.219B,4.854B,963.20M,,,,963.20M,,963.20M,,37.10M,,,,37.10M,,37.10M,,,33.90M,1.034B,,564.40M,,564.40M,,,,,,,169.20M,891.60M,1.456B,2.490B,0.60M,1.235B,927.70M,37.80M,,,69.10M,2.195B
2007-06,,118.50M,58.40M,176.90M,848.30M,,848.30M,217.10M,102.60M,116.90M,,424.60M,95.60M,,36.70M,,1.582B,0.0,561.20M,,1.804B,1.10M,119.70M,,2.486B,-1.010B,1.477B,1.095B,,1.095B,,,,621.40M,3.194B,4.776B,925.60M,,,,925.60M,,925.60M,,87.80M,,,,87.80M,,87.80M,,,34.90M,1.048B,,557.60M,,557.60M,,,,,,,161.40M,983.40M,1.541B,2.589B,0.60M,1.162B,905.90M,16.30M,,,-27.20M,2.025B
2007-03,,118.10M,58.00M,176.10M,795.40M,,795.40M,215.20M,108.10M,115.30M,,425.00M,101.10M,,36.90M,,1.534B,0.0,551.30M,,1.789B,1.10M,125.80M,,2.467B,-1.006B,1.461B,1.090B,,1.090B,,,,619.70M,3.171B,4.705B,899.50M,,,,899.50M,,899.50M,,113.40M,,,,113.40M,,113.40M,,,39.50M,1.052B,,581.60M,,581.60M,,,,,,,152.40M,967.00M,1.549B,2.601B,0.60M,1.096B,895.60M,0.10M,,,-40.30M,1.952B
2006-12,,123.30M,59.10M,182.40M,744.00M,,744.00M,207.40M,100.00M,91.90M,,386.90M,90.50M,,33.70M,,1.438B,0.0,552.30M,,1.783B,1.10M,112.80M,,2.449B,-988.40M,1.461B,1.086B,,1.086B,,,,599.30M,3.146B,4.584B,843.40M,,,,843.40M,,843.40M,,151.70M,,,,151.70M,,151.70M,,,39.70M,1.035B,,569.40M,,569.40M,,,,,,,162.10M,942.30M,1.512B,2.546B,0.60M,1.064B,871.10M,0.10M,,,-60.30M,1.875B
2006-09,,67.00M,71.30M,138.30M,695.60M,,695.60M,190.60M,103.10M,95.30M,,379.90M,131.00M,,,,1.345B,0.0,520.40M,,1.728B,1.90M,143.50M,,2.394B,-948.50M,1.446B,1.102B,,1.102B,,,,484.00M,3.032B,4.377B,794.40M,,,,794.40M,,794.40M,,111.50M,,,139.00M,250.50M,,250.50M,,,31.00M,1.076B,,512.50M,,512.50M,,,,,,,144.00M,767.40M,1.280B,2.356B,0.60M,1.032B,852.60M,0.10M,,,-8.20M,1.877B
2006-06,,67.20M,61.40M,128.60M,716.70M,,716.70M,173.30M,95.00M,98.10M,,357.30M,53.00M,,35.50M,,1.291B,0.0,516.80M,,1.720B,1.10M,149.90M,,2.388B,-928.50M,1.460B,1.053B,,1.053B,,,,493.80M,3.006B,4.297B,816.40M,,,,816.40M,,816.40M,,95.30M,,,139.00M,234.30M,,234.30M,,,31.90M,1.083B,,451.50M,,451.50M,,,,,,,139.50M,779.50M,1.231B,2.314B,0.60M,1.002B,844.80M,0.10M,,,-3.50M,1.844B
2006-03,,56.80M,65.80M,122.60M,703.60M,,703.60M,160.10M,94.20M,92.70M,,341.30M,48.80M,,36.50M,,1.253B,0.0,495.10M,,1.557B,1.40M,149.10M,,2.203B,-901.10M,1.302B,,1.037B,1.037B,,,,615.10M,2.953B,4.206B,777.00M,,,,777.00M,,777.00M,,123.10M,,,139.00M,262.10M,,262.10M,,,38.00M,1.077B,,510.90M,,510.90M,,,,,,,132.90M,751.30M,1.262B,2.339B,0.60M,941.40M,837.00M,0.10M,,,-44.90M,1.734B
2005-12,,89.70M,40.60M,130.30M,626.10M,,626.10M,163.90M,84.90M,92.30M,,332.00M,80.30M,,,,1.169B,0.0,487.30M,,1.636B,1.10M,141.60M,,2.266B,-864.50M,1.401B,1.030B,,1.030B,,,,489.80M,2.921B,4.089B,786.40M,,,,786.40M,,786.40M,,299.90M,,,,299.90M,,299.90M,,,35.80M,1.122B,,440.60M,,440.60M,,,,,,,136.10M,746.40M,1.187B,2.309B,0.60M,889.20M,828.70M,0.10M,,,-74.20M,1.644B
2005-09,,139.50M,,139.50M,660.80M,,660.80M,152.40M,88.00M,107.40M,,347.80M,90.20M,,,,1.238B,0.0,496.70M,,1.692B,1.20M,131.20M,,2.321B,-1.064B,1.257B,,1.017B,1.017B,,,,647.90M,2.922B,4.160B,740.60M,,,,740.60M,,740.60M,,174.00M,,,,174.00M,,174.00M,,,39.00M,953.60M,,626.60M,,626.60M,,,,,,,129.40M,824.70M,1.451B,2.405B,0.60M,832.70M,824.30M,0.10M,,,-32.00M,1.626B
2005-06,,146.60M,,146.60M,640.60M,,640.60M,146.10M,95.00M,110.10M,,351.20M,83.40M,,,,1.222B,0.0,496.80M,,1.691B,1.10M,131.20M,,2.320B,-1.062B,1.258B,,1.018B,1.018B,,,,639.50M,2.915B,4.137B,742.10M,,,,742.10M,,742.10M,,185.40M,,,,185.40M,,185.40M,,,49.70M,977.20M,,643.60M,,643.60M,,,,,,,130.50M,821.20M,1.465B,2.442B,0.60M,779.20M,802.90M,0.10M,,,-18.20M,1.564B
2005-03,,163.20M,,163.20M,654.70M,,654.70M,137.30M,99.00M,94.70M,,331.00M,78.60M,,,,1.228B,0.0,504.00M,,1.715B,1.10M,130.30M,,2.351B,-1.051B,1.300B,,1.037B,1.037B,,,,641.90M,2.979B,4.206B,677.10M,,,,677.10M,,677.10M,,230.70M,,,,230.70M,,230.70M,,,60.90M,968.70M,,684.70M,,684.70M,,,,,,,123.00M,852.80M,1.538B,2.506B,0.60M,751.10M,801.60M,0.10M,,,24.00M,1.577B
2004-12,,229.70M,,229.70M,499.10M,,499.10M,104.60M,69.80M,49.00M,,223.40M,55.30M,,22.60M,44.20M,1.074B,0.0,45.00M,358.20M,1.352B,1.10M,103.00M,,1.860B,-782.40M,1.077B,,860.80M,860.80M,,,,516.80M,2.455B,3.529B,608.00M,,,,608.00M,,608.00M,,16.50M,,,,16.50M,,16.50M,,,39.30M,663.80M,,568.00M,,568.00M,,,,,,,22.20M,740.90M,1.309B,1.973B,0.60M,681.40M,797.10M,0.10M,,,55.20M,1.534B
2004-09,,189.00M,,189.00M,497.10M,,497.10M,91.00M,88.00M,42.40M,,221.40M,38.70M,,32.90M,40.30M,1.019B,,,,,,,,1.767B,-759.30M,1.007B,,851.90M,851.90M,,,,408.10M,2.267B,3.287B,542.40M,,,,542.40M,,542.40M,,7.30M,,,,7.30M,,7.30M,,,13.20M,562.90M,,583.00M,,583.00M,,,,,,,19.40M,672.60M,1.256B,1.818B,0.60M,620.70M,794.50M,0.10M,,,33.10M,1.449B
2004-06,,144.00M,,144.00M,491.20M,,491.20M,88.60M,86.00M,41.00M,,215.60M,39.60M,,32.90M,39.60M,962.90M,,,,,,,,1.721B,-729.90M,990.90M,,850.60M,850.60M,,,,390.40M,2.232B,3.195B,549.50M,,,,549.50M,,549.50M,,9.00M,,,,9.00M,,9.00M,,,17.30M,575.80M,,573.90M,,573.90M,,,,,,,17.40M,646.10M,1.22B,1.796B,0.60M,582.90M,784.70M,0.10M,,,13.50M,1.382B
2004-03,,78.70M,,78.70M,515.60M,,515.60M,93.50M,70.70M,51.50M,,215.70M,45.90M,,32.90M,39.80M,928.60M,,,,,,,,1.700B,-707.00M,993.40M,,851.70M,851.70M,,,,396.10M,2.241B,3.170B,551.30M,,,,551.30M,,551.30M,,9.10M,,,,9.10M,,9.10M,,,34.70M,595.10M,,603.10M,,603.10M,,,,,,,15.10M,617.10M,1.220B,1.815B,0.30M,535.50M,778.40M,0.10M,,,25.30M,1.339B
2003-12,,113.10M,,113.10M,414.90M,,414.90M,95.50M,65.10M,40.70M,,201.30M,44.20M,,32.80M,32.00M,838.30M,0.0,42.30M,327.40M,1.216B,2.80M,77.20M,,1.666B,-680.40M,985.30M,,852.00M,852.00M,,,,464.90M,2.302B,3.140B,474.00M,,,,474.00M,,474.00M,,10.00M,,,,10.00M,,10.00M,,,,484.00M,,645.50M,,645.50M,,,,,,,17.20M,733.40M,1.379B,1.863B,0.30M,491.30M,756.30M,1.50M,,,14.00M,1.260B
2003-09,,106.80M,,106.80M,381.00M,,381.00M,80.90M,80.40M,37.10M,,198.40M,25.90M,,11.40M,29.70M,753.20M,,,,,,,,1.578B,-650.70M,927.60M,,844.00M,844.00M,,,45.80M,368.90M,2.186B,2.940B,448.80M,,,,448.80M,,448.80M,,12.80M,,,,12.80M,,12.80M,,,25.30M,486.90M,,635.00M,,635.00M,,,,,,,15.00M,623.20M,1.258B,1.745B,0.30M,446.20M,746.60M,6.00M,,,-7.70M,1.179B
2003-06,,73.40M,,73.40M,367.00M,,367.00M,79.60M,79.00M,34.00M,,192.60M,36.80M,,11.40M,15.60M,696.80M,,,,,,,,1.549B,-629.40M,919.90M,,842.90M,842.90M,,,42.90M,353.80M,2.160B,2.856B,452.80M,,,,452.80M,16.70M,469.50M,,11.40M,,,,11.40M,,11.40M,,,,480.90M,,627.60M,,627.60M,,,,,,,12.90M,616.20M,1.244B,1.725B,0.30M,415.20M,742.80M,32.70M,,,-6.90M,1.119B
2003-03,,25.90M,,25.90M,358.80M,,358.80M,82.40M,76.00M,30.80M,,189.20M,28.70M,,11.40M,14.70M,628.70M,,,,,,,,1.498B,-601.40M,897.00M,,828.50M,828.50M,,,47.20M,346.90M,2.120B,2.748B,448.20M,,,,448.20M,,448.20M,,15.20M,,,,15.20M,,15.20M,,,8.00M,471.40M,,633.60M,,633.60M,,,,,,,10.20M,607.70M,1.241B,1.713B,0.30M,375.20M,742.10M,33.30M,,,-58.90M,1.025B
2002-12,,36.60M,,36.60M,292.10M,,292.10M,85.30M,57.60M,37.40M,,180.30M,31.90M,,11.40M,14.20M,566.50M,0.0,40.60M,288.00M,1.06B,2.70M,76.50M,,1.468B,-572.90M,894.90M,,827.00M,827.00M,,,51.20M,343.30M,2.116B,2.683B,435.60M,,,,435.60M,,435.60M,,14.40M,,,,14.40M,,14.40M,,,1.20M,451.20M,,632.30M,,632.30M,,,,,,,14.50M,603.50M,1.236B,1.687B,0.30M,335.80M,737.70M,35.90M,,,-56.50M,981.40M
2002-09,,46.30M,,46.30M,291.60M,,291.60M,,,,,172.10M,40.40M,,23.60M,13.40M,587.40M,,,,,,,,1.437B,-580.30M,856.40M,,822.90M,822.90M,,,52.60M,353.20M,2.085B,2.672B,465.30M,,,,465.30M,,465.30M,,12.60M,,,,12.60M,,12.60M,,,33.30M,511.20M,,648.30M,,648.30M,,,,,,,12.50M,515.60M,1.164B,1.675B,0.00,299.10M,734.40M,17.90M,,,-30.70M,984.90M
2002-06,,30.20M,,30.20M,295.60M,,295.60M,66.00M,65.40M,24.60M,,156.00M,25.60M,,23.60M,13.10M,544.10M,,,,,,,,1.446B,-588.00M,858.30M,,822.40M,822.40M,,,54.90M,336.10M,2.072B,2.616B,457.10M,,,,457.10M,,457.10M,,16.50M,,,,16.50M,,16.50M,,,27.90M,501.50M,,651.10M,,651.10M,,,,,,,10.80M,516.20M,1.167B,1.669B,0.30M,271.10M,724.70M,20.00M,,,-39.90M,936.20M
2002-03,,22.00M,,22.00M,250.00M,,250.00M,65.00M,56.00M,22.00M,1.00M,144.00M,,,24.00M,36.00M,476.00M,,,,,,,,1.383B,-555.00M,828.00M,,814.00M,814.00M,,,64.00M,323.00M,2.029B,2.505B,425.00M,,,,425.00M,,425.00M,,54.00M,,,,54.00M,,54.00M,,,23.00M,502.00M,,643.00M,,643.00M,,,,,,,9.00M,500.00M,1.143B,1.645B,0.00,229.00M,721.00M,23.00M,,,-77.00M,851.00M
2001-12,,33.00M,,33.00M,204.00M,,204.00M,,,,,144.00M,25.00M,,24.00M,11.00M,441.00M,,,,,,,,1.348B,-510.00M,838.00M,,1.161B,1.161B,,,6.00M,325.00M,2.33B,2.771B,411.00M,,,,411.00M,,411.00M,,36.00M,,,,36.00M,,36.00M,,,8.00M,455.00M,,701.00M,,701.00M,,,,,,,11.00M,500.00M,1.201B,1.656B,0.00,471.00M,716.00M,28.00M,,,-55.00M,1.104B
2001-09,,38.60M,,38.60M,200.00M,,200.00M,,,,,146.40M,29.00M,,1.70M,20.30M,436.00M,,,,1.343B,,,,1.343B,-520.80M,822.20M,,1.173B,1.173B,,,30.80M,308.50M,2.334B,2.770B,398.00M,,,,398.00M,,398.00M,,40.50M,,,,40.50M,,40.50M,86.90M,86.90M,,525.40M,,695.60M,,695.60M,,,,,,,10.00M,402.50M,1.098B,1.624B,0.30M,472.70M,715.70M,27.80M,,,-24.10M,1.137B
2001-06,,23.60M,,23.60M,197.00M,,197.00M,59.40M,52.40M,31.50M,,143.30M,26.70M,,1.70M,19.50M,411.80M,,,,1.302B,,,,1.302B,-507.50M,794.60M,1.179B,,1.179B,,,39.20M,296.10M,2.309B,2.721B,377.90M,,,,377.90M,,377.90M,,27.00M,,,,27.00M,,27.00M,,,87.20M,492.10M,,707.10M,,707.10M,,,,,,,9.00M,400.60M,1.108B,1.600B,0.30M,459.30M,715.70M,29.70M,,,-33.50M,1.112B
2001-03,,15.50M,,15.50M,202.80M,,202.80M,60.00M,54.80M,38.70M,,153.50M,28.90M,,1.70M,32.10M,434.50M,,,,1.280B,,,,1.280B,-488.80M,791.60M,1.191B,,1.191B,,,53.90M,296.80M,2.334B,2.768B,368.10M,,,,368.10M,,368.10M,,55.90M,,,,55.90M,,55.90M,,,91.70M,515.70M,,739.20M,,739.20M,,,,,,,,408.70M,1.148B,1.664B,0.30M,439.00M,715.70M,29.90M,,,-20.50M,1.105B
2000-12,,21.40M,,21.40M,168.90M,,168.90M,,,,,161.60M,25.30M,,1.70M,31.70M,410.60M,,,,,,,,1.279B,-472.10M,807.20M,,1.203B,1.203B,,,49.40M,295.60M,2.355B,2.766B,408.20M,,,,408.20M,,408.20M,,,,,,54.40M,,54.40M,,,67.30M,529.90M,,740.40M,,740.40M,,,,,,,10.30M,398.20M,1.139B,1.668B,0.30M,422.90M,715.70M,33.30M,,,-18.50M,1.087B
2000-09,,28.10M,,28.10M,,,231.00M,,,,,184.50M,,,,37.10M,480.70M,,,,,,,,1.268B,-465.40M,803.10M,,1.222B,1.222B,,,,337.70M,2.363B,2.844B,423.20M,,,,423.20M,,423.20M,,,,,,68.10M,,68.10M,,,39.40M,530.70M,,825.80M,,825.80M,,,,,,,,405.40M,1.231B,1.762B,0.30M,420.00M,715.70M,34.40M,,,-19.50M,1.082B
2000-06,,21.30M,,21.30M,,,252.20M,,,,,182.00M,,,,36.40M,491.90M,,,,,,,,1.267B,-457.50M,809.30M,,1.257B,1.257B,,,,333.70M,2.400B,2.892B,441.80M,,,,441.80M,,441.80M,,,,,,76.20M,,76.20M,,,52.10M,570.10M,,821.10M,,821.10M,,,,,,,,405.00M,1.226B,1.796B,0.30M,419.40M,715.70M,31.80M,,,-8.00M,1.096B
2000-03,,13.40M,,13.40M,,,276.30M,,,,,180.00M,,,,36.60M,506.30M,,,,,,,,1.232B,-439.60M,791.90M,,1.272B,1.272B,,,,333.30M,2.398B,2.904B,449.00M,,,,449.00M,,449.00M,,,,,,135.70M,,135.70M,,,69.50M,654.20M,,767.30M,,767.30M,,,,,,,,403.40M,1.171B,1.825B,0.30M,382.70M,715.70M,19.30M,,,-0.30M,1.079B
1999-12,,21.70M,,21.70M,,,216.20M,,,,,164.40M,,,,156.00M,558.30M,,,,,,,,1.204B,-408.10M,796.00M,,1.285B,1.285B,,,,331.70M,2.412B,2.971B,433.70M,,,,433.70M,,433.70M,,,,,,134.00M,,134.00M,,,92.10M,659.80M,,846.30M,,846.30M,,,,,,,8.80M,398.30M,1.245B,1.904B,0.30M,346.40M,715.70M,15.20M,,,10.30M,1.058B
1999-09,,25.20M,,25.20M,,,215.60M,,,,,175.40M,,,,252.20M,668.40M,,,,,,,,1.139B,-414.30M,725.10M,,1.038B,1.038B,,,,315.00M,2.078B,2.746B,389.00M,,,,389.00M,,389.00M,,,,,,118.50M,,118.50M,,,56.00M,563.50M,,777.40M,,777.40M,,,,,,,,384.40M,1.162B,1.725B,0.30M,314.10M,715.70M,15.30M,,,5.90M,1.021B
1999-06,,37.20M,,37.20M,,,224.60M,,,,,169.90M,,,,249.90M,681.60M,,,,,,,,1.145B,-436.10M,709.00M,,1.040B,1.040B,,,,303.80M,2.052B,2.734B,395.20M,,,,395.20M,,395.20M,,,,,,110.10M,,110.10M,,,51.50M,556.80M,,809.00M,,809.00M,,,,,,,,385.20M,1.194B,1.751B,,291.00M,,,,,,983.10M
1999-03,,47.30M,,47.30M,,,230.40M,,,,,165.10M,,,,251.80M,694.60M,,,,,,,,1.088B,-384.90M,703.40M,,1.048B,1.048B,,,,309.40M,2.061B,2.756B,377.10M,,,,377.10M,,377.10M,,,,,,145.10M,,145.10M,,,49.20M,571.40M,,851.10M,,851.10M,,,,,,,,379.30M,1.230B,1.802B,,258.70M,,,,,,953.80M
1998-12,,44.00M,,44.00M,,,185.40M,,,,,115.70M,,,,31.00M,376.10M,,,,,,,,1.005B,-370.40M,634.50M,,560.40M,560.40M,,,,275.10M,1.47B,1.846B,276.90M,,,,276.90M,,276.90M,,,,,,145.00M,,145.00M,,,32.20M,454.10M,,248.50M,,248.50M,,,,,,,8.50M,357.70M,606.20M,1.060B,0.20M,230.20M,566.00M,17.60M,,,-1.50M,777.30M
1998-09,,11.70M,,11.70M,,,192.00M,,,,,130.80M,,,,34.00M,368.50M,,,,,,,,1.005B,-400.90M,603.90M,,527.70M,527.70M,,,,259.40M,1.391B,1.760B,266.60M,,,,266.60M,,266.60M,,,,,,46.20M,,46.20M,,,33.40M,346.20M,,305.50M,,305.50M,,,,,,,,378.50M,684.00M,1.030B,,202.30M,,,,,,729.30M
1998-06,,13.90M,,13.90M,,,155.70M,,,,,124.50M,,,,32.30M,326.40M,,,,,,,,1.022B,-392.20M,629.50M,,534.80M,534.80M,,,,271.50M,1.436B,1.762B,259.20M,,,,259.20M,,259.20M,,,,,,44.60M,,44.60M,,,35.60M,339.40M,,330.00M,,330.00M,,,,,,,,377.20M,707.20M,1.047B,,188.50M,,,,,,715.60M
1998-03,,7.50M,,7.50M,,,183.50M,,,,,108.70M,,,,23.10M,322.80M,,,,,,,,996.50M,-376.20M,620.30M,,541.20M,541.20M,,,,273.20M,1.435B,1.758B,272.90M,,,,272.90M,,272.90M,,,,,,45.20M,,45.20M,,,39.10M,357.20M,,313.30M,,313.30M,,,,,,,,370.10M,683.40M,1.041B,,172.60M,,,,,,716.90M
