,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-09,1.977B,199.90M,2.177B,3.712B,3.712B,7.376B,773.90M,286.80M,14.33B,,,,4.686B,-2.236B,2.450B,,5.068B,5.068B,,1.126B,8.644B,22.97B,,8.083B,8.083B,2.250B,10.33B,,,405.30M,405.30M,,,9.40M,10.75B,2.204B,2.204B,1.139B,1.139B,,,,3.343B,14.09B,,2.813B,9.078B,,3.020B,,,7.50M,8.879B,,,
2005-06,1.40B,99.80M,1.500B,3.102B,3.102B,7.249B,634.90M,1.046B,13.53B,0.00,1.648B,2.935B,4.582B,-2.137B,2.445B,4.842B,,4.842B,,1.018B,8.306B,21.84B,,7.352B,7.352B,1.898B,9.249B,,,307.90M,307.90M,,,345.50M,9.903B,2.320B,2.320B,1.023B,1.023B,,,,3.342B,13.25B,,2.766B,8.874B,,3.044B,,,-3.10M,8.593B,,,
2005-03,1.550B,,1.550B,3.293B,3.293B,7.771B,871.90M,243.50M,13.73B,,,,4.493B,-2.121B,2.372B,,4.998B,4.998B,,1.039B,8.409B,22.14B,,7.613B,7.613B,1.803B,9.416B,81.60M,507.00M,588.60M,588.60M,,,44.60M,10.05B,2.303B,2.303B,1.112B,1.112B,,,,3.415B,13.46B,,2.727B,8.642B,,2.769B,,,73.70M,8.674B,,,
2004-12,1.274B,,1.274B,2.822B,2.822B,8.178B,794.30M,243.60M,13.31B,,,,4.484B,-2.091B,2.393B,,5.04B,5.04B,,1.045B,8.478B,21.79B,,7.232B,7.232B,1.968B,9.200B,79.00M,356.40M,435.40M,435.40M,,,53.50M,9.689B,2.385B,2.385B,1.156B,1.156B,,,,3.540B,13.23B,,2.708B,8.290B,,2.565B,,,126.60M,8.560B,,,
2004-09,1.152B,,1.152B,3.368B,3.368B,8.200B,814.70M,252.20M,13.79B,,,,4.404B,-2.004B,2.400B,,5.019B,5.019B,,1.063B,8.482B,22.27B,,7.688B,7.688B,1.887B,9.574B,4.20M,358.20M,362.40M,362.40M,,,55.40M,9.992B,2.893B,2.893B,1.165B,1.165B,,,,4.058B,14.05B,,2.684B,8.088B,,2.562B,,,8.30M,8.219B,,,
2004-06,1.096B,,1.096B,3.433B,3.433B,7.471B,795.40M,262.50M,13.06B,0.00,1.413B,2.888B,4.300B,-1.936B,2.364B,,4.939B,4.939B,,1.008B,8.311B,21.37B,,6.432B,6.432B,2.021B,8.454B,5.60M,855.00M,860.60M,860.60M,,,55.10M,9.369B,2.835B,2.835B,1.189B,1.189B,,,,4.023B,13.39B,,2.654B,7.888B,,2.588B,,,22.60M,7.976B,,,
2004-03,527.20M,,527.20M,3.498B,3.498B,8.652B,739.60M,395.10M,13.81B,,,,4.031B,-1.797B,2.234B,,3.002B,3.002B,,911.60M,6.148B,19.96B,,6.998B,6.998B,1.704B,8.702B,1.20M,53.20M,54.40M,54.40M,,,60.90M,8.818B,2.477B,2.477B,1.007B,1.007B,,,,3.484B,12.30B,,2.542B,7.610B,,2.548B,,,53.20M,7.657B,,,
2003-12,544.30M,,544.30M,3.369B,3.369B,8.544B,736.80M,344.00M,13.54B,,,,3.945B,-1.768B,2.177B,,2.898B,2.898B,,905.30M,5.980B,19.52B,,6.349B,6.349B,1.791B,8.140B,1.50M,251.70M,253.20M,253.20M,,,72.00M,8.465B,2.472B,2.472B,988.50M,988.50M,,,,3.461B,11.93B,,2.487B,7.195B,,2.113B,,,23.70M,7.592B,,,
2003-09,992.00M,,992.00M,2.996B,2.996B,8.254B,732.20M,359.00M,13.33B,,,,3.781B,-1.701B,2.080B,,2.340B,2.340B,,895.90M,5.316B,18.65B,,6.157B,6.157B,1.620B,7.777B,0.80M,216.30M,217.10M,217.10M,,,62.20M,8.056B,2.507B,2.507B,963.50M,963.50M,,,,3.470B,11.53B,,2.435B,6.833B,,2.113B,,,-32.10M,7.123B,,,
2003-06,1.724B,,1.724B,2.784B,2.784B,7.571B,776.00M,341.90M,13.20B,0.00,1.219B,2.536B,3.755B,-1.666B,2.090B,,2.332B,2.332B,,846.10M,5.268B,18.47B,,5.289B,5.289B,1.728B,7.017B,,,228.70M,228.70M,,,64.30M,7.310B,2.472B,2.472B,1.008B,1.008B,,,,3.480B,10.79B,,2.404B,6.465B,,1.136B,,,-58.60M,7.674B,,,
2003-03,545.20M,,545.20M,2.845B,2.845B,8.776B,710.50M,403.80M,13.28B,,,,3.656B,-1.650B,2.005B,,2.317B,2.317B,,877.60M,5.200B,18.48B,,6.465B,6.465B,1.465B,7.930B,7.50M,19.00M,26.50M,26.50M,,,90.20M,8.047B,2.328B,2.328B,860.80M,860.80M,,,,3.189B,11.24B,,2.308B,6.161B,,1.134B,,,-90.70M,7.245B,,,
2002-12,998.90M,,998.90M,2.612B,2.612B,8.313B,770.00M,175.40M,12.87B,,,,3.512B,-1.588B,1.923B,,1.572B,1.572B,,816.40M,4.312B,17.18B,,6.094B,6.094B,1.462B,7.557B,0.10M,17.10M,17.20M,17.20M,,,,7.574B,2.243B,2.243B,832.80M,832.80M,,,,3.076B,10.65B,,2.193B,5.790B,,1.360B,,,-89.70M,6.532B,,,
2002-09,945.60M,,945.60M,2.555B,2.555B,7.250B,670.30M,190.60M,11.61B,,,,3.481B,-1.593B,1.887B,,1.568B,1.568B,,1.168B,4.624B,16.24B,,5.300B,5.300B,1.321B,6.621B,,,17.40M,17.40M,,,,6.638B,2.238B,2.238B,1.006B,1.006B,,,,3.243B,9.882B,,2.137B,5.433B,,1.110B,,,-106.70M,6.354B,,,
2002-06,1.382B,,1.382B,2.295B,2.295B,7.361B,649.90M,218.30M,11.91B,0.00,1.003B,2.507B,3.509B,-1.615B,1.894B,,1.544B,1.544B,,1.093B,4.531B,16.44B,,5.504B,5.504B,1.288B,6.792B,0.80M,17.40M,18.20M,18.20M,,,,6.810B,2.207B,2.207B,1.028B,1.028B,,,,3.235B,10.04B,,2.105B,5.156B,,737.00M,,,-131.30M,6.393B,,,
2002-03,869.20M,,869.20M,2.536B,2.536B,7.902B,870.80M,204.60M,12.38B,,,,3.412B,-1.588B,1.824B,1.178B,,1.178B,,871.80M,3.874B,16.26B,,5.267B,5.267B,1.487B,6.754B,3.70M,13.50M,17.20M,17.20M,,,,6.771B,2.464B,2.464B,812.80M,812.80M,,,,3.277B,10.05B,,2.039B,4.870B,,544.10M,,,-155.80M,6.209B,,,
2001-12,398.90M,,398.90M,2.568B,2.568B,8.255B,811.50M,199.50M,12.23B,,,,3.408B,-1.569B,1.838B,,1.167B,1.167B,,808.00M,3.813B,16.05B,,5.613B,5.613B,,5.613B,4.90M,15.20M,20.10M,20.10M,,,1.392B,7.025B,2.459B,2.459B,698.80M,698.80M,,,,3.158B,10.18B,,1.989B,4.582B,,560.10M,,,-148.00M,5.863B,,,
2001-09,872.00M,,872.00M,2.252B,2.252B,7.705B,939.10M,182.30M,11.95B,,,,3.380B,-1.532B,1.848B,,1.167B,1.167B,,757.00M,3.772B,15.72B,,5.664B,5.664B,1.368B,7.032B,13.40M,12.50M,25.90M,25.90M,,,,7.058B,2.289B,2.289B,704.90M,704.90M,,,,2.994B,10.05B,,1.931B,4.314B,,444.00M,,,-131.00M,5.670B,,,
2001-06,934.10M,,934.10M,2.409B,2.409B,6.286B,851.10M,236.30M,10.72B,0.00,978.00M,2.368B,3.346B,-1.508B,1.838B,,1.175B,1.175B,,912.40M,3.926B,14.64B,,5.320B,5.320B,1.241B,6.561B,8.30M,5.90M,14.20M,14.20M,,,,6.575B,1.871B,1.871B,759.50M,759.50M,,,,2.630B,9.205B,,1.893B,4.146B,,457.20M,,,-144.80M,5.437B,,,
2001-03,396.20M,,396.20M,2.862B,2.862B,6.128B,765.10M,214.30M,10.37B,0.00,3.361B,,3.361B,-1.502B,1.859B,,1.142B,1.142B,,863.70M,3.865B,14.23B,,5.142B,5.142B,1.186B,6.327B,11.00M,12.10M,23.10M,23.10M,,,,6.350B,2.170B,2.170B,618.00M,618.00M,,,,2.788B,9.138B,,1.767B,3.903B,,456.40M,,,-121.30M,5.092B,,,
2000-12,416.20M,218.40M,634.60M,2.225B,2.225B,5.207B,,707.90M,8.775B,,,,3.084B,-1.396B,1.688B,,1.022B,1.022B,,841.50M,3.552B,12.33B,,4.35B,4.35B,,4.35B,,,28.20M,28.20M,,,976.90M,5.355B,1.980B,1.980B,659.00M,659.00M,,,,2.640B,7.995B,,1.363B,3.538B,,453.60M,,,-115.60M,4.332B,,,
2000-09,491.10M,,491.10M,1.904B,1.904B,4.468B,,876.00M,7.740B,,,,3.025B,-1.371B,1.654B,,1.045B,1.045B,,785.20M,3.485B,11.22B,,3.429B,3.429B,,3.429B,,,21.10M,21.10M,,,1.059B,4.509B,1.973B,1.973B,511.70M,511.70M,,,,2.485B,6.994B,,1.324B,3.338B,,315.80M,,,-116.30M,4.230B,,,
2000-06,539.50M,,539.50M,2.399B,2.399B,4.657B,,851.10M,8.446B,0.00,3.066B,,3.066B,-1.337B,1.728B,,1.044B,1.044B,,805.70M,3.578B,12.02B,,3.895B,3.895B,1.228B,5.123B,9.30M,414.10M,423.40M,423.40M,,,,5.547B,1.524B,1.524B,552.50M,552.50M,,,,2.077B,7.624B,,1.510B,3.332B,,346.60M,,,-94.30M,4.400B,,,
2000-03,345.90M,,345.90M,,1.826B,4.303B,,767.80M,7.243B,,,,2.949B,-1.338B,1.611B,,966.00M,966.00M,,778.90M,3.356B,10.60B,,3.142B,3.142B,,3.142B,,,29.40M,29.40M,,,1.023B,4.194B,2.018B,2.018B,623.90M,623.90M,,,,2.642B,6.836B,,1.168B,2.986B,,329.50M,-55.80M,-5.30M,-61.10M,3.763B,,,
1999-12,290.50M,,290.50M,,1.888B,4.041B,,706.70M,6.926B,,,,2.904B,-1.300B,1.604B,,969.40M,969.40M,,780.00M,3.354B,10.28B,,3.027B,3.027B,,3.027B,,,163.60M,163.60M,,,961.60M,4.152B,1.658B,1.658B,608.20M,608.20M,,,,2.266B,6.419B,,1.125B,2.803B,,17.50M,-43.30M,-5.60M,-48.90M,3.861B,,,
1999-09,185.40M,,185.40M,,1.751B,3.568B,,655.50M,6.160B,,,,2.878B,-1.284B,1.594B,,969.50M,969.50M,,713.70M,3.278B,9.437B,,2.800B,2.800B,,2.800B,,,23.30M,23.30M,,,834.40M,3.657B,1.520B,1.520B,579.30M,579.30M,,,,2.099B,5.756B,,1.109B,2.637B,,17.20M,-42.10M,-5.50M,-47.60M,3.681B,,,
1999-06,185.40M,,185.40M,,1.602B,2.94B,,473.10M,5.201B,,,,2.799B,-1.237B,1.562B,,942.10M,942.10M,,700.30M,3.204B,8.404B,,2.364B,2.364B,,2.364B,,,40.20M,40.20M,,,561.20M,2.965B,1.224B,1.224B,645.70M,645.70M,,,,1.870B,4.835B,,1.092B,2.544B,,17.20M,-44.00M,-5.00M,-49.00M,3.570B,,,
1999-03,175.60M,,175.60M,,1.663B,3.142B,,447.00M,5.427B,,,,2.700B,-1.187B,1.513B,,918.40M,918.40M,,621.00M,3.052B,8.480B,,2.308B,2.308B,,2.308B,,,123.90M,123.90M,,,612.60M,3.045B,1.541B,1.541B,622.40M,622.40M,,,,2.163B,5.208B,,,2.296B,,,,,,3.272B,,,
1998-12,236.50M,,236.50M,,1.106B,2.443B,,251.70M,4.038B,,,,1.169B,-399.00M,769.90M,,277.80M,277.80M,,422.80M,1.470B,5.508B,,1.919B,1.919B,,1.919B,,,116.80M,116.80M,,,239.40M,2.275B,642.80M,642.80M,371.30M,371.30M,,,,1.014B,3.289B,,,1.280B,,,,,,2.219B,,,
1998-09,332.70M,,332.70M,,1.039B,2.062B,,235.90M,3.670B,,,,1.115B,-377.80M,736.90M,,281.30M,281.30M,,354.80M,1.373B,5.043B,,1.697B,1.697B,,1.697B,,,35.90M,35.90M,,,282.10M,2.015B,642.50M,642.50M,285.20M,285.20M,,,-0.10M,927.60M,2.942B,,,1.186B,,,,,,2.101B,,,
1998-06,373.30M,,373.30M,,1.436B,2.608B,,368.40M,4.786B,,,,2.602B,-1.134B,1.468B,,850.50M,850.50M,,373.70M,2.692B,7.478B,,2.143B,2.143B,,2.143B,,,32.00M,32.00M,,,550.70M,2.725B,1.33B,1.33B,467.70M,467.70M,,,,1.798B,4.523B,,1.064B,2.007B,,82.30M,-27.90M,-5.40M,-33.30M,2.955B,,,
1998-03,90.20M,,90.20M,,811.30M,2.158B,,244.10M,3.303B,,,,537.60M,-222.80M,314.80M,,120.70M,120.70M,,234.10M,669.60M,3.973B,,1.613B,1.613B,,1.613B,,,92.80M,92.80M,,,297.20M,2.003B,273.30M,273.30M,149.30M,149.30M,,,-0.10M,422.50M,2.426B,,,861.50M,,,,,,1.547B,,,
1997-12,111.70M,,111.70M,,752.30M,1.938B,,152.10M,2.955B,,,,514.20M,-210.10M,304.10M,,121.20M,121.20M,,222.60M,647.90M,3.602B,,1.434B,1.434B,,1.434B,,,126.10M,126.10M,,,209.70M,1.769B,275.60M,275.60M,86.00M,86.00M,,,,361.60M,2.131B,,,816.70M,,,,,,1.472B,,,
1997-09,180.50M,,180.50M,,691.10M,1.628B,,169.10M,2.668B,,,,491.70M,-206.50M,285.20M,,120.90M,120.90M,,198.50M,604.60M,3.273B,,1.240B,1.240B,,1.240B,,,27.40M,27.40M,,,243.40M,1.510B,277.90M,277.90M,89.60M,89.60M,,,-0.10M,367.40M,1.878B,,,750.80M,,,,,,1.395B,,,
1997-06,243.10M,,243.10M,,672.20M,1.436B,,135.60M,2.487B,,,,477.40M,-199.90M,277.50M,,122.10M,122.10M,,205.10M,604.70M,3.092B,,1.136B,1.136B,,1.136B,,,28.30M,28.30M,,,225.10M,1.389B,277.80M,277.80M,89.80M,89.80M,,,0.10M,367.70M,1.757B,,,701.90M,,,,,,1.335B,,,
1997-03,12.50M,,12.50M,,759.20M,1.570B,,124.20M,2.466B,,,,467.00M,-200.80M,266.20M,,128.50M,128.50M,,190.60M,585.30M,3.052B,,1.034B,1.034B,,1.034B,,,153.40M,153.40M,,,233.80M,1.422B,279.50M,279.50M,91.70M,91.70M,,,0.10M,371.30M,1.793B,,,640.20M,,,,,,1.259B,,,
1996-12,73.30M,,73.30M,,679.30M,1.691B,,152.30M,2.596B,,,,413.80M,-163.90M,249.90M,,110.00M,110.00M,,194.80M,554.70M,3.151B,,1.368B,1.368B,,1.368B,,,112.60M,112.60M,,,153.60M,1.634B,297.90M,297.90M,121.10M,121.10M,,,,419.00M,2.053B,,,559.20M,,,,,,1.098B,,,
1996-09,110.50M,,110.50M,,604.90M,1.549B,,150.10M,2.414B,,,,276.80M,-117.20M,159.60M,,91.90M,91.90M,,178.10M,429.60M,2.844B,,1.236B,1.236B,,1.236B,,,104.60M,104.60M,,,132.80M,1.473B,263.70M,263.70M,114.30M,114.30M,,,-0.20M,377.80M,1.851B,,,493.60M,,,,,,992.60M,,,
1996-06,304.30M,,304.30M,,612.30M,1.273B,,155.10M,2.344B,,,,300.40M,-133.50M,166.90M,,114.90M,114.90M,,199.10M,480.90M,2.825B,,1.138B,1.138B,,1.138B,,,106.00M,106.00M,,,175.50M,1.420B,265.10M,265.10M,104.30M,104.30M,,,0.10M,369.50M,1.789B,,,492.80M,,,,,,1.036B,,,
1996-03,114.50M,,114.50M,,560.50M,1.233B,,45.90M,1.954B,,,,228.80M,-98.50M,130.30M,,87.80M,87.80M,,28.90M,247.00M,2.200B,,1.001B,1.001B,,1.001B,,,102.00M,102.00M,,,118.70M,1.222B,257.90M,257.90M,,,,,17.40M,275.30M,1.497B,,,343.20M,,,,,,703.30M,,,
1995-12,27.10M,,27.10M,,609.40M,1.198B,,38.70M,1.874B,,,,213.90M,-95.20M,118.70M,,,,,109.40M,228.10M,2.102B,,1.072B,1.072B,,1.072B,,,27.00M,27.00M,,,113.80M,1.213B,208.70M,208.70M,,,,,13.20M,221.90M,1.435B,,,307.90M,,,,,,666.80M,,,
1995-09,42.70M,,42.70M,,568.30M,1.121B,,44.40M,1.776B,,,,186.70M,-86.90M,99.80M,,,,,71.60M,171.40M,1.948B,,1.022B,1.022B,,1.022B,,,21.90M,21.90M,,,115.50M,1.159B,208.30M,208.30M,,,,,11.20M,219.50M,1.379B,,,229.10M,,,,,,568.70M,,,
1995-06,40.60M,,40.60M,,516.30M,1.072B,,46.00M,1.675B,,,,177.30M,-82.10M,95.20M,,,,,71.90M,167.10M,1.842B,,950.00M,950.00M,,950.00M,,,5.10M,5.10M,,,118.30M,1.073B,209.30M,209.30M,,,,,10.90M,220.20M,1.294B,,,209.80M,,,,,,548.20M,,,
1995-03,3.90M,,3.90M,,523.50M,1.086B,,64.80M,1.678B,,,,157.30M,-79.20M,78.10M,,,,,71.70M,149.80M,1.828B,,865.20M,865.20M,,865.20M,,,119.20M,119.20M,,,108.30M,1.093B,210.20M,210.20M,,,,,,210.20M,1.303B,,,188.90M,,,,,,525.30M,,,
1994-12,53.60M,,53.60M,,511.30M,1.118B,,68.70M,1.751B,,,,150.40M,-76.10M,74.30M,,,,,74.10M,148.40M,1.900B,,1.009B,1.009B,,1.009B,,,81.30M,81.30M,,,99.10M,1.189B,209.80M,209.80M,,,,,,209.80M,1.399B,,,164.20M,,,,,,500.40M,,,
1994-09,126.80M,,126.80M,,473.10M,962.30M,,26.60M,1.589B,,,,145.30M,-72.80M,72.50M,,,,,65.90M,138.40M,1.727B,,937.20M,937.20M,,937.20M,,,3.50M,3.50M,,,93.80M,1.034B,211.50M,211.50M,,,,,0.20M,211.70M,1.246B,,,144.60M,,,,,,481.00M,,,
1994-06,54.90M,,54.90M,,340.90M,868.20M,,23.10M,1.287B,,,,119.30M,-59.30M,60.00M,,,,,48.50M,108.50M,1.396B,,705.70M,705.70M,,705.70M,,,27.90M,27.90M,,,82.40M,816.00M,210.10M,210.10M,,,,,1.00M,211.10M,1.027B,,,120.40M,,,,,,368.50M,,,
1994-03,0.30M,,0.30M,,326.10M,909.40M,,9.50M,1.245B,,,,115.40M,-55.50M,59.90M,,,,,50.50M,110.40M,1.356B,,624.40M,624.40M,,624.40M,,,95.50M,95.50M,,,75.10M,795.00M,210.30M,210.30M,,,,,2.50M,212.80M,1.008B,,,104.70M,,,,,,347.90M,,,
1993-12,52.10M,,52.10M,,196.70M,449.50M,,56.40M,754.70M,,,,67.50M,-27.00M,40.50M,,,,,45.30M,85.80M,840.50M,,342.30M,342.30M,,342.30M,,,1.40M,1.40M,,,36.00M,379.70M,109.60M,109.60M,2.30M,2.30M,,,,111.90M,491.60M,,,110.20M,,,,,,348.90M,,,
1993-09,47.80M,,47.80M,,163.50M,364.80M,,67.30M,643.40M,,,,65.10M,-24.50M,40.60M,,,,,45.00M,85.60M,729.00M,,239.60M,239.60M,,239.60M,,,1.20M,1.20M,,,38.70M,279.50M,109.50M,109.50M,2.30M,2.30M,,,,111.80M,391.30M,,,99.50M,,,,,,337.70M,,,
1993-06,61.10M,,61.10M,,153.50M,312.20M,,82.70M,609.50M,,,,64.50M,-23.20M,41.30M,,,,,47.80M,89.10M,698.60M,,207.00M,207.00M,,207.00M,,,1.40M,1.40M,,,47.70M,256.10M,184.40M,184.40M,2.30M,2.30M,,,0.10M,186.80M,442.90M,,,90.90M,,,,,,255.70M,,,
1993-03,66.60M,,66.60M,,143.90M,318.70M,,49.40M,578.60M,,,,61.00M,-22.00M,39.00M,,,,,38.90M,77.90M,656.50M,,168.40M,168.40M,,168.40M,,,3.10M,3.10M,,,42.60M,214.10M,185.30M,185.30M,1.40M,1.40M,,,0.10M,186.80M,400.90M,,,93.60M,,,,,,255.60M,,,
1992-12,146.80M,,146.80M,,148.30M,320.70M,,8.20M,624.00M,,,,59.60M,-20.80M,38.80M,,23.60M,23.60M,,14.00M,76.40M,700.40M,,224.80M,224.80M,,224.80M,,,1.90M,1.90M,,,42.40M,269.10M,187.20M,187.20M,0.70M,0.70M,,,,187.90M,457.00M,,,83.40M,,,,,,243.40M,,,
1992-09,150.80M,,150.80M,,136.20M,254.20M,,6.90M,548.10M,,,,58.70M,-19.40M,39.30M,,23.70M,23.70M,,13.70M,76.70M,624.80M,,157.90M,157.90M,,157.90M,,,1.90M,1.90M,,,41.00M,200.80M,187.90M,187.90M,0.70M,0.70M,,,,188.60M,389.40M,,,624.80M,,,,,,235.40M,,,
1992-06,107.00M,,107.00M,,135.30M,287.40M,,6.40M,536.10M,,,,57.30M,-18.40M,38.90M,,23.50M,23.50M,,11.90M,74.30M,610.40M,,156.20M,156.20M,,156.20M,,,3.70M,3.70M,,,35.60M,195.50M,187.70M,187.70M,0.70M,0.70M,,,,188.40M,383.90M,,,67.30M,,,,,,226.50M,,,
1992-03,3.70M,,3.70M,,147.50M,346.50M,,5.50M,503.20M,,,,56.10M,-17.10M,39.00M,,23.70M,23.70M,,10.70M,73.40M,576.60M,,133.00M,133.00M,,133.00M,,,3.70M,3.70M,,,31.80M,168.50M,188.10M,188.10M,0.70M,0.70M,,,,188.80M,357.30M,,,61.50M,,,,,,219.30M,,,
1991-12,30.20M,,30.20M,,147.10M,341.90M,,42.60M,561.80M,,,,53.00M,-15.60M,37.40M,,23.60M,23.60M,,9.90M,70.90M,632.70M,,183.10M,183.10M,,183.10M,,,117.00M,117.00M,,,32.20M,332.30M,90.30M,90.30M,0.40M,0.40M,,,-0.10M,90.60M,422.90M,,,53.40M,,,,,,209.80M,,,
1991-09,35.00M,,35.00M,,124.70M,249.00M,,51.40M,460.10M,,,,48.90M,-14.40M,34.50M,,21.40M,21.40M,,8.70M,64.60M,524.70M,,141.00M,141.00M,,141.00M,,,67.40M,67.40M,,,23.00M,231.40M,89.40M,89.40M,0.40M,0.40M,,,0.10M,89.90M,321.30M,,,47.20M,,,,,,203.40M,,,
1991-06,55.10M,,55.10M,,106.40M,181.40M,,59.60M,402.50M,,,,46.60M,-13.80M,32.80M,,21.40M,21.40M,,9.00M,63.20M,465.70M,,107.80M,107.80M,,107.80M,,,46.70M,46.70M,,,22.80M,177.30M,89.70M,89.70M,0.50M,0.50M,,,,90.20M,267.50M,,,42.30M,,,,,,198.20M,,,
1991-03,57.90M,,57.90M,,116.00M,186.90M,,24.40M,385.20M,,,,43.80M,-12.80M,31.00M,,21.50M,21.50M,,8.70M,61.20M,446.40M,,91.70M,91.70M,,91.70M,,,48.10M,48.10M,,,23.20M,163.00M,89.60M,89.60M,0.50M,0.50M,,,-0.10M,90.00M,253.00M,,,37.70M,,,,,,193.40M,,,
1990-12,22.30M,,22.30M,,117.90M,186.70M,,29.30M,356.20M,,,,41.30M,-11.80M,29.50M,,21.70M,21.70M,,8.70M,59.90M,416.10M,,105.70M,105.70M,,105.70M,,,63.20M,63.20M,,,19.70M,188.60M,90.40M,90.40M,0.80M,0.80M,,,,91.20M,279.80M,,,32.10M,,,,,,136.30M,,,
1990-09,3.00M,,3.00M,,99.10M,187.00M,,21.10M,310.20M,,,,39.90M,-10.80M,29.10M,,21.80M,21.80M,,8.10M,59.00M,369.20M,,94.70M,94.70M,,94.70M,,,30.60M,30.60M,,,20.60M,145.90M,90.70M,90.70M,0.80M,0.80M,,,,91.50M,237.40M,,,27.90M,,,,,,131.80M,,,
1990-06,11.20M,,11.20M,,95.00M,158.90M,,16.70M,281.80M,,,,38.20M,-9.90M,28.30M,,22.00M,22.00M,,6.60M,56.90M,338.70M,,95.60M,95.60M,,95.60M,,,89.00M,89.00M,,,16.30M,200.90M,8.90M,8.90M,0.80M,0.80M,,,,9.70M,210.60M,,,24.40M,,,,,,128.10M,,,
1990-03,7.50M,,7.50M,,82.80M,118.50M,,4.50M,213.30M,,,,28.30M,-9.20M,19.10M,,12.30M,12.30M,,6.50M,37.90M,251.20M,,63.80M,63.80M,,63.80M,,,42.80M,42.80M,,,14.20M,120.80M,4.70M,4.70M,0.80M,0.80M,,,,5.50M,126.30M,,,21.30M,,,,,,124.90M,,,
1989-12,4.40M,,4.40M,,88.70M,131.20M,,5.30M,229.60M,,,,27.30M,-8.30M,19.00M,,12.40M,12.40M,,2.60M,34.00M,263.60M,,72.00M,72.00M,,72.00M,,,44.30M,44.30M,,,22.10M,138.40M,8.20M,8.20M,,,,,,8.20M,146.60M,,,263.60M,,,,,,117.00M,,,
1989-03,9.30M,,9.30M,,75.10M,112.70M,,1.90M,199.00M,,,,24.80M,-7.10M,17.70M,,12.60M,12.60M,,3.40M,33.70M,232.70M,,,,,,,,53.50M,53.50M,,,61.60M,115.10M,49.80M,49.80M,,,,,-0.10M,49.70M,164.80M,,,9.20M,,,,,,67.90M,,,
1988-03,4.00M,,4.00M,,66.90M,75.00M,,16.00M,161.90M,,,,17.50M,-5.30M,12.20M,,13.00M,13.00M,,3.40M,28.60M,190.50M,,,,,,,,33.40M,33.40M,,,52.40M,85.80M,50.30M,50.30M,0.30M,0.30M,,,0.10M,50.70M,136.50M,,,5.30M,,,,,,54.00M,,,
1987-03,10.50M,,10.50M,,57.80M,69.90M,,2.20M,140.40M,,,,29.70M,-6.90M,22.80M,,7.20M,7.20M,,6.60M,36.60M,177.00M,,,,,,,,28.10M,28.10M,,,44.10M,72.20M,55.50M,55.50M,1.20M,1.20M,,,1.40M,58.10M,130.30M,,,7.50M,,,,,,46.70M,,,
1986-03,46.50M,,46.50M,,32.10M,36.50M,,1.20M,116.30M,,,,19.10M,-4.80M,14.30M,,2.30M,2.30M,,4.70M,21.30M,137.60M,,,,,,,,12.20M,12.20M,,,34.10M,46.30M,46.20M,46.20M,0.80M,0.80M,,,2.80M,49.80M,96.10M,,,2.40M,,,,,,41.50M,,,
1985-03,5.90M,,5.90M,,23.10M,34.60M,,0.70M,64.30M,,,,14.00M,-3.70M,10.30M,,1.80M,1.80M,,2.80M,14.90M,79.20M,,,,,,,,11.30M,11.30M,,,27.60M,38.90M,3.80M,3.80M,0.30M,0.30M,,,0.40M,4.50M,43.40M,,,5.60M,,,,,,35.80M,,,
