,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,16.35B,16.35B,15.19B,1.161B,588.00M,,,11.60M,,,-11.60M,576.40M,584.60M,,,11.60M,,567.00M,183.40M,373.60M,-5.10M,,,,368.50M,365.75M,659.10M,74.50M,584.60M,,0.86,-0.01,,0.8419,0.85,,0.85,-0.01,,0.8321,0.84,,433.20M,438.70M,0.03,,,
2003-09,15.39B,15.39B,14.31B,1.083B,547.60M,,,-13.20M,,,13.20M,560.80M,522.40M,,,-13.20M,,494.40M,164.00M,330.40M,-1.80M,,,,328.60M,339.22M,591.10M,68.70M,522.40M,,0.75,0.00,,0.7700,0.75,,0.74,0.00,,0.7597,0.74,,440.50M,446.70M,0.03,,,
2003-06,15.18B,15.18B,13.98B,1.202B,623.30M,,,-58.00M,,,-34.10M,589.20M,612.50M,,,-58.00M,,506.80M,166.30M,340.50M,-4.30M,,,,336.20M,379.47M,683.10M,70.60M,612.50M,,0.33,0.42,,0.4169,0.75,,0.33,0.41,,0.4157,0.74,,448.44M,454.81M,0.03,,,
2003-03,14.37B,14.37B,13.18B,1.194B,576.10M,,,-9.80M,,,9.80M,585.90M,608.20M,,,-9.80M,,577.60M,192.70M,384.90M,-1.80M,,,,383.10M,391.43M,676.90M,68.70M,608.20M,,0.86,-0.01,,0.8745,0.85,,0.85,-0.01,,0.8643,0.84,,449.10M,456.30M,0.025,,,
2002-12,14.09B,14.09B,13.01B,1.080B,526.20M,,,37.60M,,,-37.60M,488.60M,590.90M,,,37.60M,,559.40M,191.90M,367.50M,,,,,367.50M,342.80M,655.20M,64.30M,590.90M,,0.83,0.00,,0.7741,0.83,,0.82,0.00,,0.7651,0.82,,442.00M,450.00M,0.025,,,
2002-09,13.09B,13.09B,12.08B,1.007B,520.70M,,,-18.70M,,,18.70M,539.40M,467.50M,,,-18.70M,,436.90M,148.60M,288.30M,,,,,288.30M,300.64M,529.70M,62.20M,467.50M,,0.65,0.00,,0.6777,0.65,,0.64,0.00,,0.6672,0.64,,446.20M,454.20M,0.025,,,
2002-06,13.03B,13.03B,11.97B,1.062B,521.40M,,,-70.40M,,,-61.50M,459.90M,602.60M,,,-70.40M,,445.20M,148.90M,296.30M,,0.00,,,296.30M,343.15M,664.60M,62.00M,602.60M,,0.71,0.13,0.00,0.8182,0.68,,0.70,0.13,-0.0014,0.8080,0.67,,433.22M,433.82M,0.025,,,
2002-03,13.24B,13.24B,12.17B,1.068B,536.00M,,,-39.10M,,,39.10M,575.10M,493.40M,,,-39.10M,,453.80M,153.50M,300.30M,,,,,300.30M,326.17M,551.80M,58.40M,493.40M,,0.67,0.00,,0.7275,0.67,,0.66,0.00,,0.7164,0.66,,449.90M,459.10M,0.025,,,
2001-12,13.09B,13.09B,12.09B,1.000B,514.00M,,,-16.80M,,,16.80M,530.80M,469.70M,,,-16.80M,,430.90M,147.60M,283.30M,,,,,283.30M,294.35M,531.60M,61.90M,469.70M,,0.63,0.00,,0.6546,0.63,,0.62,0.00,,0.6440,0.62,,449.90M,459.70M,0.025,,,
2001-09,11.77B,11.77B,10.86B,914.70M,502.40M,,,-12.30M,,,12.30M,514.70M,400.00M,,,-12.30M,,371.40M,125.00M,246.40M,,-70.10M,,,176.30M,254.56M,461.20M,61.20M,400.00M,,0.55,-0.16,0.00,0.5682,0.39,,0.53,-0.16,-0.1559,0.5477,0.38,,449.60M,460.60M,0.025,,,
2001-06,19.54B,19.54B,18.57B,975.90M,518.80M,11.80M,,-18.30M,,,19.30M,549.90M,426.00M,,,-18.30M,,389.00M,135.70M,253.30M,,,,,253.30M,265.22M,497.60M,71.60M,426.00M,,0.53,0.00,,0.5548,0.53,,0.52,0.00,,0.5442,0.52,,480.25M,492.14M,0.025,,,
2001-03,10.33B,10.33B,9.388B,946.10M,497.30M,12.60M,,-86.30M,,,86.30M,596.20M,349.90M,,,-86.30M,,306.20M,113.30M,192.90M,,,,,192.90M,247.27M,428.20M,78.30M,349.90M,,0.43,0.00,,0.5524,0.43,,0.42,0.00,,0.5391,0.42,,444.30M,456.50M,0.02,,,
2000-12,9.638B,9.638B,8.829B,809.00M,445.40M,,,-7.00M,,,,445.40M,363.60M,,,-7.00M,,326.10M,116.90M,209.20M,,,,,209.20M,213.69M,430.30M,66.70M,363.60M,,0.50,0.00,,0.5107,0.50,,0.4867,0.00,,0.4971,0.4867,,418.95M,429.60M,0.02,,,
2000-09,11.04B,11.04B,10.24B,804.20M,455.30M,12.10M,,-12.30M,,,12.30M,479.70M,324.50M,,,-12.30M,,290.80M,100.80M,190.00M,,,,,190.00M,198.04M,388.50M,64.00M,324.50M,,0.43,0.00,,0.4483,0.43,,0.42,0.00,,0.4378,0.42,,438.90M,450.90M,0.02,,,
2000-06,10.54B,10.54B,9.703B,832.10M,420.50M,,,-11.70M,,,11.70M,473.70M,358.40M,,,-11.70M,,320.00M,114.00M,206.00M,,,,,206.00M,213.53M,415.90M,57.50M,358.40M,,0.46,0.00,,0.4744,0.46,,0.45,0.00,,0.4641,0.45,,523.08M,533.11M,0.02,,,
2000-03,9.612B,9.612B,8.82B,791.50M,425.90M,,,-10.70M,,,10.70M,436.60M,354.90M,,,-10.70M,,316.00M,117.60M,198.40M,,,,,198.40M,205.12M,429.10M,74.20M,354.90M,,0.45,0.00,,0.4653,0.45,,0.44,0.00,,0.4550,0.44,,440.50M,449.20M,0.0167,,,
1999-12,7.400B,7.400B,6.614B,785.50M,415.30M,,,-5.50M,,,,478.90M,306.60M,,,-5.50M,,274.30M,100.80M,173.50M,,,,,173.50M,176.98M,370.20M,63.60M,306.60M,,0.4133,0.00,,0.4216,0.4133,,0.4067,0.00,,0.4148,0.4067,,420.60M,427.65M,0.0167,,,
1999-09,6.784B,6.784B,6.067B,716.50M,391.30M,,,-38.40M,,,,453.00M,263.50M,,,-38.40M,,201.80M,79.80M,122.00M,,,,,122.00M,145.22M,325.20M,61.70M,263.50M,,0.29,0.00,,0.3453,0.29,,0.29,0.00,,0.3441,0.29,,419.79M,429.08M,0.0167,,,
1999-06,6.569B,6.569B,5.808B,761.20M,408.50M,,,-17.60M,,,,474.40M,286.80M,,,-17.60M,,238.90M,83.30M,155.60M,,,,,155.60M,167.06M,352.70M,65.90M,286.80M,,0.4033,0.00,,0.4348,0.4033,,0.39,0.00,,0.4207,0.39,,364.60M,373.94M,0.0167,,,
1999-03,6.454B,6.454B,5.654B,800.30M,397.10M,,,-87.50M,,,,515.70M,284.60M,,,-87.50M,,166.40M,77.20M,89.20M,,,,,89.20M,141.70M,403.20M,57.90M,284.60M,,0.21,0.00,,0.3336,0.21,,0.21,0.00,,0.3336,0.21,,424.76M,424.76M,0.0167,,,
1998-12,6.289B,6.289B,5.578B,711.80M,401.40M,,,-3.10M,,,,458.60M,253.20M,,,-3.10M,,221.20M,79.70M,141.50M,,,,,141.50M,143.48M,310.40M,54.70M,253.20M,,0.34,0.00,,0.3448,0.34,,0.33,0.00,,0.3346,0.33,,416.18M,428.79M,0.0167,,,
1998-09,5.799B,5.799B,5.148B,651.10M,373.90M,,,-35.30M,,,,433.60M,217.50M,,,-35.30M,,158.80M,64.10M,94.70M,,,,,94.70M,115.88M,277.20M,59.70M,217.50M,,0.23,0.00,,0.3003,0.23,,0.22,0.00,,0.2903,0.22,,301.25M,301.25M,0.0133,,,
1998-06,5.757B,5.757B,5.057B,699.90M,382.10M,,,-12.10M,,,,438.50M,261.40M,,,-12.10M,,210.90M,69.20M,141.70M,,,,,141.70M,149.83M,317.80M,56.40M,261.40M,,0.5678,,,0.6003,0.5678,,0.5678,,,0.6003,0.5678,,249.58M,249.58M,0.0133,,,
1998-03,5.364B,5.364B,4.774B,589.30M,348.20M,,,-35.00M,,,,364.80M,224.50M,,,-35.00M,,164.70M,55.50M,109.20M,,,,,109.20M,132.41M,341.20M,116.70M,224.50M,,0.27,0.00,,0.3646,0.27,,0.26,0.00,,0.3546,0.26,,245.31M,245.31M,0.0133,,,
1997-12,4.028B,4.028B,3.714B,314.70M,160.30M,,,-2.50M,,,,176.00M,138.70M,,,-2.50M,,128.90M,48.50M,80.40M,,,,,80.40M,81.96M,180.90M,42.20M,138.70M,,0.27,0.00,,0.2752,0.27,,0.27,0.00,,0.2752,0.27,,297.78M,297.78M,0.0111,,,
1997-09,3.704B,3.704B,3.423B,280.80M,160.30M,,,0.40M,,,,163.40M,117.40M,,,0.40M,,110.40M,41.10M,69.30M,,,,,69.30M,69.05M,120.50M,3.10M,117.40M,,0.23,0.00,,0.2292,0.23,,0.23,0.00,,0.2292,0.23,,301.30M,301.30M,0.0111,,,
1997-06,10.22B,10.22B,8.691B,1.526B,923.10M,,,-17.10M,,,,1.093B,432.50M,,,-17.10M,,330.60M,115.00M,215.60M,,,,,215.60M,226.75M,602.70M,170.20M,432.50M,,0.33,0.00,,0.3777,0.33,,0.32,0.00,,0.3668,0.32,,233.73M,238.40M,0.0111,,,
1997-03,2.826B,2.826B,2.564B,262.00M,129.70M,,,-38.80M,,,,148.00M,114.00M,,,-38.80M,,66.70M,30.50M,36.20M,,,,,36.20M,59.48M,132.30M,13.60M,114.00M,,0.17,0.00,,0.2793,0.17,,0.17,0.00,,0.2793,0.17,,212.94M,212.94M,0.0111,,,
1996-12,2.816B,2.816B,2.580B,236.00M,127.40M,,,-16.30M,,,,139.50M,96.50M,,,-16.30M,,72.70M,31.40M,41.30M,,,,,41.30M,51.08M,113.30M,16.80M,96.50M,,0.17,0.00,,0.2103,0.17,,0.17,0.00,,0.2103,0.17,,242.94M,242.94M,0.0111,,,
1996-09,2.428B,2.428B,2.238B,190.70M,111.60M,,,2.60M,,,,120.10M,70.60M,,,2.60M,,66.70M,26.90M,39.80M,,,,,39.80M,38.24M,79.10M,8.50M,70.60M,,0.17,0.00,,0.1633,0.17,,0.17,0.00,,0.1633,0.17,,234.12M,234.12M,0.0089,,,
1996-06,2.865B,2.865B,2.489B,376.00M,224.90M,,,-43.10M,,,,245.20M,130.80M,,,-43.10M,,75.10M,36.50M,38.60M,,,,,38.60M,64.46M,151.10M,20.30M,130.80M,,0.1788,,,0.2986,0.1788,,0.1788,,,0.2986,0.1788,,215.86M,215.86M,0.0089,,,
1996-03,2.203B,2.203B,2.045B,157.70M,84.10M,,,1.10M,,,,90.90M,66.80M,,,1.10M,,61.80M,25.00M,36.80M,,,,,36.80M,36.14M,73.60M,6.80M,66.80M,,0.22,0.00,,0.2161,0.22,,0.22,0.00,,0.2161,0.22,,167.27M,167.27M,0.0089,,,
1995-12,2.132B,2.132B,1.989B,143.00M,83.10M,,,-14.20M,,,,89.60M,53.40M,,,-14.20M,,35.10M,16.40M,18.70M,,,,,18.70M,27.22M,59.90M,6.50M,53.40M,,0.11,0.00,,0.1601,0.11,,0.11,0.00,,0.1601,0.11,,170.00M,170.00M,0.0089,,,
1995-09,2.033B,2.033B,1.909B,124.10M,79.80M,,,1.10M,,,,85.70M,38.40M,,,1.10M,,35.40M,14.90M,20.50M,,,,,20.50M,19.84M,44.30M,5.90M,38.40M,,0.14,0.00,,0.1355,0.14,,0.14,0.00,,0.1355,0.14,,146.43M,146.43M,0.0089,,,
1995-06,2.55B,2.55B,2.209B,341.00M,191.10M,,,5.50M,,,,205.20M,135.80M,,,5.50M,,133.80M,54.10M,79.70M,,,,,79.70M,76.40M,149.90M,14.10M,135.80M,,0.18,0.00,,0.1564,0.18,,0.18,0.00,,0.1569,0.18,,139.56M,142.73M,0.0089,,,
1995-03,1.988B,1.988B,1.856B,131.80M,76.50M,,,0.80M,,,,81.60M,50.20M,,,0.80M,,44.50M,18.60M,25.90M,,,,,25.90M,25.42M,55.30M,5.10M,50.20M,,0.18,0.00,,0.1767,0.18,,0.18,0.00,,0.1767,0.18,,143.89M,143.89M,0.0089,,,
1994-12,1.986B,1.986B,1.868B,117.60M,73.80M,,,1.80M,,,,78.90M,38.70M,,,1.80M,,36.10M,15.20M,20.90M,,,,,20.90M,19.82M,43.80M,5.10M,38.70M,,0.15,0.00,,0.1422,0.15,,0.15,0.00,,0.1422,0.15,,139.33M,139.33M,0.0089,,,
1994-09,1.819B,1.819B,1.710B,108.60M,72.20M,,,0.40M,,,,77.40M,31.20M,,,0.40M,,27.70M,11.70M,16.00M,,,,,16.00M,15.76M,36.40M,5.20M,31.20M,,0.11,0.00,,0.1084,0.11,,0.11,0.00,,0.1084,0.11,,145.45M,145.45M,0.0089,,,
1994-06,1.590B,1.590B,1.49B,100.50M,99.30M,,,36.10M,,,,104.00M,-3.50M,,,36.10M,,28.10M,11.50M,16.60M,,,,0.00,16.60M,-5.06M,1.20M,4.70M,-3.50M,,0.1302,,,-0.0397,0.1302,,0.1302,,,-0.0397,0.1302,,127.50M,127.50M,0.0071,,,
1994-03,1.511B,1.511B,1.408B,102.50M,61.50M,,,-35.40M,,,,65.60M,36.90M,,,-35.40M,,-3.80M,5.10M,-8.90M,,,,0.20M,-8.90M,12.34M,41.00M,4.10M,36.90M,,-0.09,0.00,,0.1201,-0.09,,-0.09,0.00,,0.1201,-0.09,,101.11M,101.11M,0.0071,,,
1993-12,657.70M,657.70M,617.50M,40.20M,19.30M,,,1.00M,,,,21.50M,18.70M,,,1.00M,,17.70M,6.80M,10.90M,,,,,10.90M,10.28M,21.00M,2.30M,18.70M,,0.11,0.00,,0.1038,0.11,,0.11,0.00,,0.1038,0.11,,99.09M,99.09M,0.0071,,,
1993-09,597.40M,597.40M,559.70M,37.70M,19.20M,,,1.20M,,,,21.30M,16.40M,,,1.20M,,15.70M,6.50M,9.20M,,,,,9.20M,8.48M,18.60M,2.20M,16.40M,,0.09,0.00,,0.0830,0.09,,0.09,0.00,,0.0830,0.09,,102.22M,102.22M,0.0047,,,
1993-06,550.00M,550.00M,515.20M,34.80M,18.10M,,,1.00M,,,,20.10M,14.70M,,,1.00M,,12.40M,4.60M,7.80M,,,,,7.80M,7.171M,16.70M,2.00M,14.70M,,0.10,0.00,,0.0919,0.10,,0.09,0.00,,0.0827,0.09,,78.00M,86.67M,0.0047,,,
1993-03,498.90M,498.90M,461.40M,37.50M,16.60M,,,1.00M,,,,18.40M,19.10M,,,1.00M,,16.90M,6.30M,10.60M,,,,,10.60M,9.973M,20.90M,1.80M,19.10M,,0.13,0.00,,0.1224,0.13,,0.12,0.00,,0.1130,0.12,,82.07M,89.06M,0.0047,,,
1992-12,511.60M,511.60M,478.60M,33.00M,17.00M,,,1.50M,,,,18.80M,14.20M,,,1.50M,,12.80M,4.80M,8.00M,,,,,8.00M,7.062M,16.00M,1.80M,14.20M,,0.10,0.00,,0.0883,0.10,,0.09,0.00,,0.0795,0.09,,80.00M,88.89M,0.0047,,,
1992-09,481.70M,481.70M,450.70M,31.00M,16.80M,,,15.00M,,,,18.60M,12.40M,,,15.00M,,14.30M,5.40M,8.90M,,,,,8.90M,-0.4357M,14.30M,1.90M,12.40M,,0.11,0.00,,-0.0054,0.11,,0.10,0.00,,-0.0049,0.10,,80.91M,89.00M,0.0047,,,
1992-06,474.30M,474.30M,442.00M,32.30M,17.40M,,,0.70M,,,,19.10M,13.20M,,,0.70M,,10.00M,3.90M,6.10M,,,,,6.10M,5.673M,14.90M,1.70M,13.20M,,0.07,0.00,,0.0651,0.07,,0.07,0.00,,0.0651,0.07,,87.14M,87.14M,0.0047,,,
1992-03,483.10M,483.10M,446.30M,36.80M,18.50M,,,0.70M,,,,20.00M,16.80M,,,0.70M,,14.00M,5.40M,8.60M,,,,,8.60M,8.17M,18.30M,1.50M,16.80M,,0.10,0.00,,0.0951,0.10,,0.10,0.00,,0.0951,0.10,,88.02M,88.02M,0.0047,,,
1991-12,453.40M,453.40M,423.30M,30.10M,16.30M,,,1.20M,,,,17.70M,12.40M,,,1.20M,,10.60M,4.10M,6.50M,,,,,6.50M,5.764M,13.90M,1.50M,12.40M,,0.09,0.00,,0.0798,0.09,,0.07,0.00,,0.0621,0.07,,72.22M,92.86M,0.0047,,,
1991-09,365.70M,365.70M,341.30M,24.40M,13.80M,,,1.80M,,,,15.20M,9.20M,,,1.80M,,8.60M,3.30M,5.30M,,,,,5.30M,4.191M,10.60M,1.40M,9.20M,,0.07,0.00,,0.0553,0.07,,0.07,0.00,,0.0553,0.07,,75.71M,75.71M,0.0038,,,
1991-06,345.30M,345.30M,321.20M,24.10M,14.00M,,,1.70M,,,,15.20M,8.90M,,,1.70M,,7.90M,3.00M,4.90M,,,,,4.90M,3.846M,10.10M,1.20M,8.90M,,0.06,0.00,,0.0471,0.06,,0.06,0.00,,0.0471,0.06,,81.67M,81.67M,0.0038,,,
1991-03,341.20M,341.20M,314.30M,26.90M,14.00M,,,1.40M,,,,15.30M,11.60M,,,1.40M,,9.80M,3.90M,5.90M,,,,,5.90M,5.057M,12.90M,1.30M,11.60M,,0.08,0.00,,0.0688,0.08,,0.08,0.00,,0.0688,0.08,,75.46M,75.46M,0.0038,,,
1990-12,315.70M,315.70M,292.90M,22.80M,12.50M,,,1.40M,,,,13.60M,9.20M,,,1.40M,,7.30M,2.80M,4.50M,,,,,4.50M,3.637M,10.40M,1.20M,9.20M,,0.07,0.00,,0.0566,0.07,,0.06,0.00,,0.0485,0.06,,64.29M,75.00M,0.0038,,,
1990-09,285.30M,285.30M,265.20M,20.10M,11.30M,,,1.00M,,,,12.30M,7.80M,,,1.00M,,6.00M,2.30M,3.70M,,,,,3.70M,3.083M,9.00M,1.20M,7.80M,,0.05,0.00,,0.0417,0.05,,0.05,0.00,,0.0417,0.05,,74.00M,74.00M,0.003,,,
1990-06,242.10M,242.10M,225.10M,17.00M,10.00M,,,0.70M,,,,10.90M,6.10M,,,0.70M,,5.40M,2.10M,3.30M,,,,,3.30M,2.872M,7.00M,0.90M,6.10M,,0.05,0.00,,0.0435,0.05,,0.05,0.00,,0.0435,0.05,,66.00M,66.00M,0.003,,,
1990-03,239.70M,239.70M,220.60M,19.10M,10.10M,,,0.50M,,,,10.90M,8.20M,,,0.50M,,7.40M,3.10M,4.30M,,,,,4.30M,4.00M,9.00M,0.80M,8.20M,,0.06,0.00,,0.0559,0.06,,0.06,0.00,,0.0559,0.06,,73.32M,73.32M,0.003,,,
1989-12,220.70M,220.70M,205.40M,15.30M,8.50M,,,0.60M,,,,9.30M,6.00M,,,0.60M,,5.30M,2.00M,3.30M,,,,,3.30M,2.926M,6.80M,0.80M,6.00M,,0.05,0.00,,0.0443,0.05,,0.05,0.00,,0.0443,0.05,,66.00M,66.00M,0.003,,,
1989-09,210.20M,210.20M,,,,,,,,,,,210.20M,,,,,,,2.80M,,,,,2.80M,,210.20M,,210.20M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,68.11M,68.11M,0.0025,,,
1989-06,203.30M,203.30M,,,,,,,,,,,203.30M,,,,,,,2.40M,,,,,2.40M,,203.30M,,203.30M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,69.84M,69.84M,0.0025,,,
1989-03,198.20M,198.20M,,,,,,,,,,,-484.00M,,,,,,,3.00M,0.00,,,,3.00M,,-484.00M,,-484.00M,,,0.00,,,0.00,,,0.00,,,0.00,,46.17M,46.17M,0.0025,,,
1988-12,182.80M,182.80M,,,,,,,,,,,182.80M,,,,,,,2.20M,,,,,2.20M,,182.80M,,182.80M,,0.05,0.00,,0.05,0.05,,0.04,0.00,,0.04,0.04,,46.15M,46.15M,0.0025,,,
1988-09,164.40M,164.40M,,,,,,,,,,,164.40M,,,,,,,1.80M,,,,,1.80M,,164.40M,,164.40M,,0.04,0.00,,0.04,0.04,,0.03,0.00,,0.03,0.03,,46.15M,46.15M,0.0025,,,
1988-06,155.00M,155.00M,,,,,,,,,,,155.00M,,,,,,,1.50M,0.30M,,,,1.80M,,155.00M,,155.00M,,0.03,0.01,,0.03,0.04,,0.03,0.01,,0.03,0.04,,41.94M,41.94M,0.0006,,,
1988-03,149.90M,149.90M,,,,,,,,,,,-361.70M,,,,,,,1.70M,0.80M,,,,2.50M,,-361.70M,,-361.70M,,,0.0176,,,0.0176,,,0.0176,,,0.0176,,45.43M,45.43M,0.0006,,,
1987-12,134.60M,134.60M,,,,,,,,,,,134.60M,,,,,,,1.40M,0.20M,,,,1.60M,,134.60M,,134.60M,,0.03,0.01,,0.03,0.04,,0.03,0.01,,0.03,0.04,,44.44M,44.44M,0.0006,,,
1987-09,124.40M,124.40M,,,,,,,,,,,124.40M,,,,,,,0.90M,0.40M,,,,1.30M,,124.40M,,124.40M,,0.02,0.01,,0.02,0.03,,0.02,0.01,,0.02,0.03,,44.44M,44.44M,0.0006,,,
1987-06,115.70M,115.70M,,,,,,,,,,,115.70M,,,,,,,0.80M,0.40M,,,,1.20M,,115.70M,,115.70M,,0.02,0.01,,0.02,0.03,,0.02,0.01,,0.02,0.03,,40.32M,40.32M,0.0016,,,
1987-03,169.00M,169.00M,,,,,,,,,,,-470.90M,,,,,,,1.80M,,,,,1.80M,,-470.90M,,-470.90M,,,,,,,,,,,,,,44.39M,44.39M,0.0016,,,
1986-12,173.70M,173.70M,,,,,,,,,,,173.70M,,,,,,,1.10M,,,,,1.10M,,173.70M,,173.70M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,44.39M,44.39M,0.0016,,,
1986-09,165.00M,165.00M,,,,,,,,,,,165.00M,,,,,,,1.40M,,,,,1.40M,,165.00M,,165.00M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,44.34M,44.34M,0.0016,,,
1986-06,145.20M,145.20M,,,,,,,,,,,145.20M,,,,,,,1.20M,,,,,1.20M,,145.20M,,145.20M,,0.03,0.00,,0.03,0.03,,0.02,0.00,,0.02,0.02,,44.30M,44.30M,0.0016,,,
1986-03,112.00M,112.00M,,,,,,,,,,,-308.60M,,,,,,,2.40M,,,,,2.40M,,-308.60M,,-308.60M,,,,,,,,,,,,,,44.30M,44.30M,0.0015,,,
1985-12,113.80M,113.80M,,,,,,,,,,,113.80M,,,,,,,1.40M,,,,,1.40M,,113.80M,,113.80M,,0.03,0.00,,0.03,0.03,,0.02,0.00,,0.02,0.02,,44.31M,44.31M,0.0015,,,
1985-09,102.80M,102.80M,,,,,,,,,,,102.80M,,,,,,,1.20M,,,,,1.20M,,102.80M,,102.80M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,44.31M,44.31M,0.00,,,
1985-06,100.50M,100.50M,,,,,,,,,,,100.50M,,,,,,,1.10M,,,,,1.10M,,100.50M,,100.50M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,44.31M,44.31M,0.0015,,,
1985-03,96.50M,96.50M,,,,,,,,,,,-217.50M,,,,,,,1.10M,,,,,1.10M,,-217.50M,,-217.50M,,,,,,,,,,,,,,44.31M,44.31M,0.0015,,,
1984-12,97.50M,97.50M,,,,,,,,,,,97.50M,,,,,,,1.20M,,,,,1.20M,,97.50M,,97.50M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,44.31M,44.31M,,,,
1984-09,65.70M,65.70M,,,,,,,,,,,65.70M,,,,,,,0.70M,,,,,0.70M,,65.70M,,65.70M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,44.31M,44.31M,,,,
1984-06,60.30M,60.30M,,,,,,,,,,,60.30M,,,,,,,0.70M,,,,,0.70M,,60.30M,,60.30M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,34.47M,34.47M,,,,
