,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,1.203B,1.203B,2.904B,,2.904B,,,,1.897B,6.004B,,,,,,,2.42B,-1.441B,979.00M,7.593B,,7.593B,,2.652B,11.22B,17.23B,,2.483B,,,2.483B,683.00M,3.166B,,,,1.045B,,1.045B,677.00M,4.888B,3.609B,,3.609B,,,,,2.783B,6.392B,11.28B,,561.00M,5.734B,1.071B,174.00M,,,-1.244B,5.948B,,,
2006-12,2.015B,2.015B,2.718B,,2.718B,,,,2.243B,6.976B,,,,,,,2.406B,-1.416B,990.00M,7.595B,,7.595B,,2.576B,11.16B,18.14B,,2.476B,,,2.476B,1.361B,3.837B,,,,1.111B,,1.111B,970.00M,5.918B,3.86B,,3.86B,,,,,2.54B,6.40B,12.32B,,561.00M,5.691B,1.138B,299.00M,,,-1.272B,5.819B,,,
2006-09,1.682B,1.682B,2.472B,328.00M,2.80B,,,,367.00M,4.849B,,,,,,,2.639B,-1.541B,1.098B,463.00M,7.382B,7.845B,,4.023B,12.97B,17.82B,,1.881B,,,1.881B,1.252B,3.133B,,,,1.219B,,1.219B,369.00M,4.721B,3.864B,,3.864B,,,,,3.026B,6.89B,11.61B,,561.00M,5.467B,1.122B,358.00M,,,-588.00M,6.204B,,,
2006-06,1.375B,1.375B,2.56B,361.00M,2.921B,,,,406.00M,4.702B,,,,,,,2.742B,-1.62B,1.122B,7.816B,,7.816B,,3.797B,12.74B,17.44B,,1.704B,,,1.704B,967.00M,2.671B,,,,699.00M,,699.00M,500.00M,3.87B,4.533B,,4.533B,,,,,3.018B,7.551B,11.42B,,561.00M,5.387B,1.088B,395.00M,,,-625.00M,6.016B,,,
2006-03,1.575B,1.575B,2.507B,334.00M,2.841B,,,,407.00M,4.823B,,,,,,,2.703B,-1.552B,1.151B,,7.79B,7.79B,,3.758B,12.70B,17.52B,,1.618B,,,1.618B,943.00M,2.561B,,,,879.00M,,879.00M,588.00M,4.028B,4.534B,,4.534B,,,,,3.221B,7.755B,11.78B,,561.00M,5.31B,1.046B,434.00M,,,-744.00M,5.739B,,,
2005-12,2.02B,2.02B,2.367B,363.00M,2.73B,,,,512.00M,5.262B,0.00,457.00M,888.00M,1.557B,,,2.902B,-1.724B,1.178B,,7.773B,7.773B,,3.679B,12.63B,17.89B,,1.733B,,,1.733B,1.605B,3.338B,,,,498.00M,,498.00M,515.00M,4.351B,5.044B,,5.044B,,,,,3.137B,8.181B,12.53B,,561.00M,4.989B,1.143B,577.00M,,,-756.00M,5.36B,,,
2005-09,1.237B,1.237B,2.981B,,2.981B,,,,263.00M,4.481B,,,,,,,3.027B,-1.792B,1.235B,,8.015B,8.015B,,3.777B,13.03B,17.51B,,1.875B,,,1.875B,1.663B,3.538B,,,,77.00M,,77.00M,404.00M,4.019B,4.929B,,4.929B,,,,,3.201B,8.13B,12.15B,,561.00M,5.043B,1.129B,679.00M,,,-695.00M,5.359B,,,
2005-06,856.00M,856.00M,2.91B,,2.91B,,,,260.00M,4.026B,,,,,,,3.051B,-1.783B,1.268B,,8.069B,8.069B,,3.769B,13.11B,17.13B,,1.798B,,,1.798B,1.34B,3.138B,,,,364.00M,,364.00M,403.00M,3.905B,4.689B,,4.689B,,,,,3.53B,8.219B,12.12B,,561.00M,5.073B,1.186B,1.154B,,,-658.00M,5.008B,,,
2005-03,910.00M,910.00M,3.024B,,3.024B,,,,275.00M,4.209B,,,,,,,3.06B,-1.741B,1.319B,,8.112B,8.112B,,3.907B,13.34B,17.55B,,1.793B,,,1.793B,1.324B,3.117B,,,,547.00M,,547.00M,402.00M,4.066B,4.689B,,4.689B,,,,,3.764B,8.453B,12.52B,,561.00M,4.998B,1.257B,1.323B,,,-465.00M,5.028B,,,
2004-12,1.37B,1.37B,2.859B,,2.859B,,,,770.00M,4.999B,0.00,457.00M,897.00M,1.612B,,,2.966B,-1.603B,1.363B,,8.055B,8.055B,,4.081B,13.50B,18.50B,,1.818B,,,1.818B,1.849B,3.667B,,,,636.00M,,636.00M,440.00M,4.743B,4.691B,,4.691B,,,,,4.008B,8.699B,13.44B,,561.00M,5.044B,1.316B,1.495B,,,-370.00M,5.056B,,,
2004-09,577.00M,577.00M,2.979B,,2.979B,98.00M,,,360.00M,4.014B,,,,,,,3.032B,-1.647B,1.385B,,7.816B,7.816B,,3.86B,13.06B,17.08B,,1.867B,,,1.867B,1.526B,3.393B,,,,1.396B,,1.396B,180.00M,4.969B,3.458B,,3.458B,,,,,2.99B,6.448B,11.42B,,561.00M,5.724B,1.244B,1.535B,,,-336.00M,5.658B,,,
2004-06,399.00M,399.00M,2.867B,,2.867B,110.00M,,,349.00M,3.725B,,,,,,,2.908B,-1.553B,1.355B,,5.938B,5.938B,,3.766B,11.06B,14.78B,,1.50B,,,1.50B,1.583B,3.083B,,,,911.00M,,911.00M,178.00M,4.172B,2.299B,,2.299B,,,,,2.689B,4.988B,9.16B,,561.00M,5.882B,1.295B,1.799B,,,-315.00M,5.624B,,,
2004-03,634.00M,634.00M,3.012B,,3.012B,127.00M,,,531.00M,4.304B,,,,,,,2.889B,-1.512B,1.377B,,5.954B,5.954B,,3.875B,11.21B,15.51B,,1.774B,,,1.774B,1.404B,3.178B,,,,1.045B,,1.045B,163.00M,4.386B,2.908B,,2.908B,,,,,2.634B,5.542B,9.928B,,561.00M,5.669B,1.306B,1.67B,,,-284.00M,5.582B,,,
2003-12,665.00M,665.00M,2.703B,,2.703B,,,,480.00M,3.848B,0.00,445.00M,882.00M,1.51B,,,2.837B,-1.448B,1.389B,,5.797B,5.797B,,4.019B,11.20B,15.05B,,1.501B,,,1.501B,1.535B,3.036B,,,,447.00M,,447.00M,176.00M,3.659B,2.91B,,2.91B,,,,,3.033B,5.943B,9.602B,,561.00M,5.386B,1.301B,1.518B,,,-279.00M,5.451B,,,
2003-09,691.00M,691.00M,2.656B,,2.656B,166.00M,,,276.00M,3.789B,,,,,,,2.751B,-1.373B,1.378B,,5.712B,5.712B,,3.61B,10.70B,14.49B,,1.559B,,,1.559B,1.925B,3.484B,,,,203.00M,,203.00M,166.00M,3.853B,2.919B,,2.919B,,,,,2.245B,5.164B,9.017B,,561.00M,5.174B,1.265B,1.276B,,,-252.00M,5.472B,,,
2003-06,618.00M,618.00M,2.694B,,2.694B,181.00M,,,270.00M,3.763B,,,,,,,2.74B,-1.354B,1.386B,,5.741B,5.741B,,3.567B,10.69B,14.46B,,1.561B,,,1.561B,1.762B,3.323B,,,,369.00M,,369.00M,167.00M,3.859B,2.877B,,2.877B,,,,,2.274B,5.151B,9.01B,,561.00M,4.982B,1.321B,1.153B,,,-264.00M,5.447B,,,
2003-03,566.00M,566.00M,2.55B,,2.55B,201.00M,,,289.00M,3.606B,,,,,,,2.621B,-1.299B,1.322B,,5.412B,5.412B,,3.517B,10.25B,13.86B,,1.512B,,,1.512B,1.256B,2.768B,,,,772.00M,,772.00M,151.00M,3.691B,2.881B,,2.881B,,,,,2.131B,5.012B,8.703B,,561.00M,4.784B,1.341B,1.079B,,,-453.00M,5.154B,,,
2002-12,546.00M,546.00M,2.478B,,2.478B,226.00M,,,414.00M,3.664B,0.00,466.00M,794.00M,1.323B,,,2.583B,-1.275B,1.308B,,5.404B,5.404B,,3.479B,10.19B,13.86B,,1.406B,,,1.406B,1.762B,3.168B,,,,543.00M,,543.00M,152.00M,3.863B,2.891B,,2.891B,,,,,2.083B,4.974B,8.837B,,561.00M,4.49B,1.426B,1.007B,,,-452.00M,5.018B,,,
2002-09,675.00M,675.00M,2.463B,,2.463B,239.00M,,,285.00M,3.662B,,,,,,,2.46B,-1.211B,1.249B,,5.354B,5.354B,,2.753B,9.356B,13.02B,,1.36B,,,1.36B,1.423B,2.783B,,,,490.00M,,490.00M,151.00M,3.424B,2.888B,,2.888B,,,,,1.70B,4.588B,8.012B,,561.00M,4.329B,1.466B,1.087B,,,-263.00M,5.006B,,,
2002-06,471.00M,471.00M,2.717B,,2.717B,258.00M,,,270.00M,3.716B,,,,,,,2.413B,-1.171B,1.242B,,5.349B,5.349B,,2.817B,9.408B,13.12B,,1.392B,,,1.392B,1.211B,2.603B,,,,647.00M,,647.00M,152.00M,3.402B,2.857B,,2.857B,,,,,1.828B,4.685B,8.087B,,561.00M,4.181B,1.55B,1.041B,,,-214.00M,5.037B,,,
2002-03,543.00M,543.00M,2.649B,,2.649B,280.00M,,,254.00M,3.726B,,,,,,,2.345B,-1.106B,1.239B,,5.307B,5.307B,,2.929B,9.475B,13.20B,,1.332B,,,1.332B,,1.332B,,,,794.00M,,794.00M,1.017B,3.143B,2.826B,,2.826B,,,,,1.89B,4.716B,7.859B,,280.00M,3.996B,1.856B,514.00M,,,-276.00M,5.342B,,,
2001-12,537.00M,537.00M,2.692B,,2.692B,308.00M,,,255.00M,3.792B,0.00,447.00M,668.00M,1.142B,,,2.257B,-1.022B,1.235B,,5.327B,5.327B,,3.415B,9.977B,13.77B,,1.347B,,,1.347B,2.164B,3.511B,,,,757.00M,,757.00M,146.00M,4.414B,2.334B,,2.334B,,,,,1.848B,4.182B,8.596B,,561.00M,3.723B,1.62B,504.00M,,,-227.00M,5.173B,,,
2001-09,600.00M,600.00M,,,2.73B,,,,586.00M,3.916B,,,,,,,2.229B,-1.007B,1.222B,,5.363B,5.363B,,2.942B,9.527B,13.44B,,1.559B,,,1.559B,1.336B,2.895B,,,,1.011B,,1.011B,147.00M,4.053B,2.346B,,2.346B,,,,,1.949B,4.295B,8.348B,,280.00M,3.724B,1.987B,491.00M,-405.00M,,-405.00M,5.095B,,,
2001-06,402.00M,402.00M,,,2.702B,,,,601.00M,3.705B,,,,,,,2.341B,-1.07B,1.271B,,5.405B,5.405B,,3.019B,9.695B,13.40B,,1.428B,,,1.428B,1.168B,2.596B,,,,1.145B,,1.145B,148.00M,3.889B,2.346B,,2.346B,,,,,1.939B,4.285B,8.174B,,280.00M,3.702B,2.025B,416.00M,-365.00M,,-365.00M,5.226B,,,
2001-03,333.00M,333.00M,,,2.714B,,,,514.00M,3.561B,,,,,,,2.408B,-1.043B,1.365B,,5.463B,5.463B,,3.102B,9.93B,13.49B,,1.605B,,,1.605B,921.00M,2.526B,,,,1.209B,,1.209B,140.00M,3.875B,2.347B,,2.347B,,,,,2.003B,4.35B,8.225B,,280.00M,3.554B,1.992B,234.00M,-326.00M,,-326.00M,5.266B,,,
2000-12,240.00M,240.00M,2.812B,,2.812B,,,,587.00M,3.639B,,,,,,,2.321B,-961.00M,1.36B,,5.476B,5.476B,,3.294B,10.13B,13.77B,,1.964B,,,1.964B,,1.964B,,,,337.00M,,337.00M,1.818B,4.119B,2.347B,,2.347B,,,,,2.075B,4.422B,8.541B,,278.00M,3.323B,1.918B,142.00M,-389.00M,240.00M,-149.00M,5.228B,,,
2000-09,341.00M,341.00M,2.843B,,2.843B,,,,503.00M,3.687B,,,,,,,2.307B,-982.00M,1.325B,,5.564B,5.564B,,3.04B,9.929B,13.62B,,1.83B,,,1.83B,,1.83B,,,,780.00M,,780.00M,1.452B,4.062B,2.35B,,2.35B,,,,,2.201B,4.551B,8.613B,,276.00M,3.175B,1.797B,83.00M,,,-162.00M,5.003B,,,
2000-06,439.00M,439.00M,2.656B,,2.656B,,,,600.00M,3.695B,,,,,,,2.303B,-964.00M,1.339B,,5.54B,5.54B,,3.062B,9.941B,13.64B,,1.817B,,,1.817B,,1.817B,,,,1.299B,,1.299B,1.21B,4.326B,2.349B,,2.349B,,,,,2.322B,4.671B,8.997B,,272.00M,3.031B,1.596B,103.00M,,,-157.00M,4.639B,,,
2000-03,507.00M,507.00M,,,2.611B,,,,539.00M,3.657B,,,,,,,2.273B,-946.00M,1.327B,,5.48B,5.48B,,2.955B,9.762B,13.42B,,1.80B,,,1.80B,,1.80B,,,,1.534B,,1.534B,1.123B,4.457B,2.351B,,2.351B,,,,,2.162B,4.513B,8.97B,,270.00M,2.89B,1.492B,84.00M,,,-119.00M,4.449B,,,
1999-12,428.00M,428.00M,2.298B,,2.298B,,,,557.00M,3.283B,,,,,,,2.212B,-898.00M,1.314B,,5.542B,5.542B,,3.035B,9.891B,13.17B,,1.762B,,,1.762B,,1.762B,,,,1.131B,,1.131B,1.466B,4.359B,2.357B,,2.357B,,,,,2.288B,4.645B,9.004B,,270.00M,2.674B,1.495B,194.00M,-262.00M,187.00M,-75.00M,4.17B,,,
1999-09,641.00M,641.00M,,,2.153B,,,,609.00M,3.403B,,,,,,,2.16B,-814.00M,1.346B,,5.108B,5.108B,,2.532B,8.986B,12.39B,,1.142B,,,1.142B,,1.142B,,,,1.015B,,1.015B,1.402B,3.559B,2.591B,,2.591B,,,,,1.967B,4.558B,8.117B,,268.00M,2.747B,1.383B,96.00M,,,-30.00M,4.272B,,,
1999-06,599.00M,599.00M,,,2.173B,,,,654.00M,3.426B,,,,,,,3.345B,-2.081B,1.264B,,4.846B,4.846B,,2.441B,8.551B,11.98B,,1.451B,,,1.451B,,1.451B,,,,957.00M,,957.00M,1.196B,3.604B,2.597B,,2.597B,,,,,1.695B,4.292B,7.896B,,,2.644B,,,,,,4.081B,,,
1999-03,590.00M,590.00M,,,2.035B,,,,732.00M,3.357B,,,,,,,2.054B,-814.00M,1.24B,,4.811B,4.811B,,2.461B,8.512B,11.87B,,1.448B,,,1.448B,,1.448B,,,,2.36B,,2.36B,1.032B,4.84B,1.564B,,1.564B,,,,,1.706B,3.27B,8.11B,,,2.586B,,,,,,3.759B,,,
1998-12,610.00M,610.00M,,,1.909B,,,,726.00M,3.245B,,,,,,,2.107B,-820.00M,1.287B,,4.826B,4.826B,,2.513B,8.626B,11.87B,,1.338B,,,1.338B,,1.338B,,,,2.234B,,2.234B,1.33B,4.902B,1.59B,,1.59B,,,,,1.72B,3.31B,8.212B,,259.00M,2.412B,889.00M,107.00M,,,206.00M,3.659B,,,
1998-09,667.00M,667.00M,,,1.636B,,,,543.00M,2.846B,,,,,,,1.776B,-842.00M,934.00M,,2.822B,2.822B,,2.126B,5.882B,8.728B,,1.13B,,,1.13B,,1.13B,,,,480.00M,,480.00M,1.104B,2.714B,1.28B,,1.28B,,,,,1.157B,2.437B,5.151B,,,2.294B,,,,,,3.577B,,,
1998-06,598.00M,598.00M,,,1.686B,,,,579.00M,2.863B,,,,,,,1.711B,-827.00M,884.00M,,2.72B,2.72B,,2.132B,5.736B,8.599B,,1.15B,,,1.15B,,1.15B,,,,648.00M,,648.00M,872.00M,2.67B,1.294B,,1.294B,,,,,1.115B,2.409B,5.079B,,,2.211B,,,,,,3.52B,,,
1998-03,567.00M,567.00M,,,1.606B,,,,606.00M,2.779B,,,,,,,1.748B,-808.00M,940.00M,,2.514B,2.514B,,2.111B,5.565B,8.344B,,1.269B,,,1.269B,,1.269B,,,,503.00M,,503.00M,764.00M,2.536B,1.163B,,1.163B,,,,,1.138B,2.301B,4.837B,,,2.121B,,,,,,3.507B,,,
1997-12,424.00M,424.00M,,,1.498B,,,,645.00M,2.567B,,,,,,,1.755B,-797.60M,957.00M,,2.417B,2.417B,,1.971B,5.345B,7.912B,,1.223B,,,1.223B,,1.223B,,,,237.00M,,237.00M,883.00M,2.343B,1.24B,,1.24B,,,,,1.096B,2.336B,4.679B,,,2.01B,,,,,,3.233B,,,
1997-09,434.90M,434.90M,,,1.422B,,,,480.10M,2.337B,,,,,,,1.734B,-773.00M,960.50M,,2.171B,2.171B,,1.917B,5.048B,7.385B,,679.20M,,,679.20M,,679.20M,,,,297.40M,,297.40M,748.00M,1.725B,1.268B,,1.268B,,,,,1.069B,2.337B,4.062B,,,2.110B,,,,,,3.324B,,,
1997-06,500.40M,500.40M,,,1.415B,,,,460.10M,2.376B,,,,,,,1.712B,-742.60M,969.10M,,2.194B,2.194B,,1.918B,5.081B,7.457B,,767.20M,,,767.20M,,767.20M,,,,609.20M,,609.20M,757.80M,2.134B,1.110B,,1.110B,,,,,1.029B,2.140B,4.274B,,,2.055B,,,,,,3.183B,,,
1997-03,592.40M,592.40M,,,1.364B,,,,440.80M,2.397B,,,,,,,1.675B,-721.30M,954.00M,,2.133B,2.133B,,1.774B,4.861B,7.258B,,933.80M,,,933.80M,,933.80M,,,,618.20M,,618.20M,570.30M,2.122B,1.170B,,1.170B,,,,,963.90M,2.134B,4.256B,,,1.994B,,,,,,3.002B,,,
1996-12,299.60M,299.60M,,,1.086B,,,,363.20M,1.749B,,,,,,,1.466B,-695.70M,770.10M,,545.30M,545.30M,,1.481B,2.797B,4.545B,,447.50M,,,447.50M,,447.50M,,,,392.40M,,392.40M,716.40M,1.556B,458.20M,,458.20M,,,,,642.10M,1.100B,2.657B,,,1.902B,,,,,,1.889B,,,
1996-09,417.40M,417.40M,,,1.020B,,,,279.90M,1.717B,,,,,,,1.415B,-683.70M,731.60M,,552.40M,552.40M,,1.300B,2.584B,4.301B,,406.90M,,,406.90M,,406.90M,,,,467.90M,,467.90M,588.60M,1.463B,408.50M,,408.50M,,,,,689.40M,1.098B,2.561B,,,1.868B,,,,,,1.740B,,,
1996-06,338.80M,338.80M,,,1.077B,,,,254.50M,1.670B,,,,,,,1.387B,-658.10M,729.30M,,553.00M,553.00M,,1.242B,2.524B,4.194B,,432.90M,,,432.90M,,432.90M,,,,336.00M,,336.00M,525.30M,1.294B,409.50M,,409.50M,,,,,678.60M,1.088B,2.382B,,,1.830B,,,,,,1.812B,,,
1996-03,338.70M,338.70M,,,1.112B,,,,228.50M,1.679B,,,,,,,1.416B,-660.10M,755.60M,,715.40M,715.40M,,1.289B,2.760B,4.438B,,453.50M,,,453.50M,,453.50M,,,,655.70M,,655.70M,429.40M,1.539B,409.70M,,409.70M,,,,,714.60M,1.124B,2.663B,,,1.773B,,,,,,1.776B,,,
1995-12,328.10M,328.10M,,,1.132B,,,,218.50M,1.679B,,,,,,,1.396B,-638.50M,757.50M,,729.70M,729.70M,,1.163B,2.650B,4.330B,,485.40M,,,485.40M,,485.40M,,,,571.10M,,571.10M,513.00M,1.570B,410.60M,,410.60M,,,,,683.90M,1.094B,2.664B,,,1.688B,,,,,,1.666B,,,
1995-09,383.20M,383.20M,,,1.046B,,,,181.40M,1.611B,,,,,,,1.398B,-644.10M,754.40M,,733.60M,733.60M,,1.122B,2.610B,4.221B,,437.80M,,,437.80M,,437.80M,,,,539.90M,,539.90M,500.10M,1.478B,411.20M,,411.20M,,,,,652.10M,1.063B,2.541B,,,1.662B,,,,,,1.68B,,,
1995-06,342.80M,342.80M,,,1.074B,,,,196.10M,1.613B,,,,,,,1.384B,-626.80M,756.90M,,748.60M,748.60M,,1.029B,2.535B,4.148B,,466.10M,,,466.10M,,466.10M,,,,573.90M,,573.90M,476.40M,1.516B,411.10M,,411.10M,,,,,603.20M,1.014B,2.531B,,,1.629B,,,,,,1.617B,,,
1995-03,285.10M,285.10M,,,1.003B,,,,210.90M,1.499B,,,,,,,1.356B,-605.80M,749.90M,,744.10M,744.10M,,971.20M,2.465B,3.964B,,485.70M,,,485.70M,,485.70M,,,,473.10M,,473.10M,458.40M,1.417B,409.30M,,409.30M,,,,,575.10M,984.40M,2.402B,,,1.580B,,,,,,1.563B,,,
1994-12,294.90M,294.90M,,,955.00M,,,,196.10M,1.446B,,,,,,,1.315B,-574.50M,740.30M,,701.00M,701.00M,,943.30M,2.385B,3.831B,,496.70M,,,496.70M,,496.70M,,,,403.00M,,403.00M,492.60M,1.392B,409.40M,,409.40M,,,,,568.30M,977.70M,2.37B,,,1.508B,,,,,,1.461B,,,
1994-09,338.90M,338.90M,,,914.90M,,,,179.70M,1.434B,,,,,,,1.290B,-586.90M,703.50M,,691.80M,691.80M,,944.60M,2.340B,3.773B,,438.60M,,,438.60M,,438.60M,,,,379.70M,,379.70M,483.60M,1.302B,408.10M,,408.10M,,,,,568.50M,976.60M,2.278B,,,1.488B,,,,,,1.495B,,,
1994-06,351.30M,351.30M,,,923.30M,,,,166.60M,1.441B,,,,,,,1.234B,-538.80M,695.20M,,675.10M,675.10M,,901.20M,2.272B,3.713B,,398.50M,,,398.50M,,398.50M,,,,378.00M,,378.00M,450.50M,1.227B,408.80M,,408.80M,,,,,651.50M,1.060B,2.287B,,,1.458B,,,,,,1.425B,,,
1994-03,367.70M,367.70M,,,965.20M,,,,153.60M,1.486B,,,,,,,1.224B,-538.80M,685.40M,,655.50M,655.50M,,874.70M,2.216B,3.702B,,496.60M,,,496.60M,,496.60M,,,,359.70M,,359.70M,388.20M,1.244B,408.80M,,408.80M,,,,,673.20M,1.082B,2.326B,,,1.416B,,,,,,1.376B,,,
1993-12,332.00M,332.00M,,,853.00M,,,,127.40M,1.312B,,,,,,,1.227B,-538.80M,688.10M,,660.10M,660.10M,,886.00M,2.234B,3.547B,,375.60M,,,375.60M,,375.60M,,,,273.80M,,273.80M,460.50M,1.110B,409.80M,,409.80M,,,,,661.60M,1.071B,2.181B,,,1.346B,,,,,,1.365B,,,
1993-09,386.90M,386.90M,,,854.80M,,,,89.40M,1.331B,,,,,,,1.184B,-488.90M,695.50M,,664.00M,664.00M,,632.70M,1.992B,3.323B,,351.90M,,,351.90M,,351.90M,,,,297.30M,,297.30M,431.70M,1.081B,409.40M,,409.40M,,,,,591.40M,1.001B,2.082B,,,1.333B,,,,,,1.242B,,,
1993-06,375.80M,375.80M,,,853.00M,,,,75.80M,1.305B,,,,,,,1.187B,-488.90M,698.30M,,643.80M,643.80M,,572.80M,1.915B,3.220B,,341.20M,,,341.20M,,341.20M,,,,295.80M,,295.80M,442.00M,1.079B,410.20M,,410.20M,,,,,568.50M,978.70M,2.058B,,,1.307B,,,,,,1.162B,,,
1993-03,394.90M,394.90M,,,834.90M,,,,67.50M,1.297B,,,,,,,1.189B,-488.90M,700.30M,,655.30M,655.30M,,520.90M,1.876B,3.174B,,356.20M,,,356.20M,,356.20M,,,,315.20M,,315.20M,390.90M,1.062B,411.10M,,411.10M,,,,,560.00M,971.10M,2.033B,,,1.27B,,,,,,1.140B,,,
1992-12,371.10M,371.10M,,,827.00M,,,,62.30M,1.260B,,,,,,,1.197B,-488.90M,707.80M,,687.80M,687.80M,,432.40M,1.828B,3.088B,,393.30M,,,393.30M,,393.30M,,,,207.40M,,207.40M,415.80M,1.016B,411.20M,,411.20M,,,,,557.80M,969.00M,1.986B,,,1.212B,,,,,,1.103B,,,
1992-09,385.00M,385.00M,,,704.20M,,,,,1.089B,,,,,,,1.153B,-443.40M,709.40M,,541.20M,541.20M,,273.10M,1.524B,2.613B,,302.70M,,,302.70M,,302.70M,,,,82.20M,,82.20M,413.90M,798.80M,311.20M,,311.20M,,,,,321.10M,632.30M,1.431B,,,1.250B,,,,,,1.182B,,,
1992-06,393.00M,393.00M,,,736.20M,,,,,1.129B,,,,,,,1.163B,-443.40M,720.00M,,524.00M,524.00M,,213.60M,1.458B,2.587B,,298.20M,,,298.20M,,298.20M,,,,110.70M,,110.70M,421.70M,830.60M,319.90M,,319.90M,,,,,313.90M,633.80M,1.464B,,,1.229B,,,,,,1.122B,,,
1992-03,346.00M,346.00M,,,689.70M,,,,,1.036B,,,,,,,1.155B,-443.40M,711.20M,,499.10M,499.10M,,194.20M,1.404B,2.440B,,302.70M,,,302.70M,,302.70M,,,,109.70M,,109.70M,379.40M,791.80M,316.70M,,316.70M,,,,,283.10M,599.80M,1.392B,,,1.197B,,,,,,1.049B,,,
1991-12,349.00M,349.00M,,,690.00M,,,,,1.039B,,,,,,,1.177B,-443.40M,734.00M,,411.90M,411.90M,,197.30M,1.343B,2.382B,,323.60M,,,323.60M,,323.60M,,,,10.30M,,10.30M,402.10M,736.00M,318.00M,,318.00M,4.80M,4.80M,,,288.40M,611.20M,1.347B,,,1.142B,,,,,,1.035B,,,
1991-09,396.90M,396.90M,,,700.40M,,,,,1.097B,,,,,,,1.104B,-379.80M,724.50M,,396.10M,396.10M,,184.30M,1.305B,2.402B,,249.40M,,,249.40M,,249.40M,,,,80.30M,,80.30M,398.40M,728.10M,318.70M,,318.70M,9.80M,9.80M,,,273.80M,602.30M,1.330B,,,1.135B,,,,,,1.072B,,,
1991-06,387.80M,387.80M,,,705.40M,,,,,1.093B,,,,,,,1.103B,-379.80M,723.40M,,381.40M,381.40M,,170.90M,1.276B,2.369B,,253.50M,,,253.50M,,253.50M,,,,123.40M,,123.40M,373.40M,750.30M,318.50M,,318.50M,2.10M,2.10M,,,268.40M,589.00M,1.339B,,,1.108B,,,,,,1.030B,,,
1991-03,361.90M,361.90M,,,714.60M,,,,,1.076B,,,,,,,1.123B,-379.80M,743.20M,,397.50M,397.50M,,173.30M,1.314B,2.390B,,288.20M,,,288.20M,,288.20M,,,,56.00M,,56.00M,358.50M,702.70M,318.60M,,318.60M,6.00M,6.00M,,,268.70M,593.30M,1.296B,,,1.075B,,,,,,1.094B,,,
1990-12,304.60M,304.60M,,,748.20M,,,,,1.053B,,,,,,,1.139B,-379.80M,759.40M,,425.80M,425.80M,,173.20M,1.358B,2.411B,,282.60M,,,282.60M,,282.60M,,,,66.60M,,66.60M,383.40M,732.60M,319.90M,,319.90M,11.70M,11.70M,,,261.70M,593.30M,1.326B,,,1.026B,,,,,,1.085B,,,
1990-09,361.30M,361.30M,,,762.90M,,,,,1.124B,,,,,,,1.093B,-337.10M,755.90M,,420.90M,420.90M,,160.70M,1.338B,2.462B,,254.70M,,,254.70M,,254.70M,,,,148.10M,,148.10M,416.80M,819.60M,319.10M,,319.10M,11.20M,11.20M,,,251.00M,581.30M,1.401B,,,1.020B,,,,,,1.061B,,,
1990-06,355.30M,355.30M,,,723.50M,,,,,1.079B,,,,,,,1.075B,-337.10M,737.50M,,405.20M,405.20M,,146.10M,1.289B,2.368B,,244.80M,,,244.80M,,244.80M,,,,151.00M,,151.00M,395.90M,791.70M,319.00M,,319.00M,7.00M,7.00M,,,244.40M,570.40M,1.362B,,,992.80M,,,,,,1.006B,,,
1990-03,360.30M,360.30M,,,654.50M,,,,,1.015B,,,,,,,1.050B,-337.10M,712.50M,,398.00M,398.00M,,143.40M,1.254B,2.269B,,245.20M,,,245.20M,,245.20M,,,,130.00M,,130.00M,375.10M,750.30M,319.70M,,319.70M,9.30M,9.30M,,,237.40M,566.40M,1.317B,,,959.80M,,,,,,952.00M,,,
