,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-06,337.00M,,39.00M,-4.00M,35.00M,67.00M,17.00M,84.00M,84.00M,-10.00M,,9.00M,9.00M,-92.00M,,-50.00M,-180.00M,,436.00M,114.00M,,569.00M,,-98.00M,0.00,0.00,-67.00M,-3.00M,0.00,-168.00M,,-2.00M,,-2.00M,18.00M,-100.00M,-82.00M,-121.00M,-121.00M,-10.00M,-215.00M,,1.41B,186.00M,-92.00M,1.504B,,18.00M,0.00,-2.00M,-100.00M,,AOR,Restated
2012-03,354.00M,,-20.00M,-20.00M,-28.00M,66.00M,17.00M,83.00M,83.00M,35.00M,,11.00M,11.00M,-101.00M,,-119.00M,151.00M,,-889.00M,-958.00M,,-503.00M,,-51.00M,1.00M,1.00M,-60.00M,-5.00M,-1.00M,-116.00M,,-4.00M,,-4.00M,77.00M,0.00,77.00M,-121.00M,-121.00M,-97.00M,-145.00M,,2.113B,-764.00M,61.00M,1.41B,,77.00M,248.00M,-252.00M,0.00,,AOR,Restated
2011-12,260.00M,,,4.00M,26.00M,67.00M,15.00M,82.00M,82.00M,87.00M,0.00,5.00M,5.00M,21.00M,,195.00M,-142.00M,,176.00M,250.00M,,710.00M,,-75.00M,-1.00M,-1.00M,-104.00M,-2.00M,-2.00M,-184.00M,,-3.00M,672.00M,669.00M,39.00M,0.00,39.00M,-122.00M,-122.00M,-702.00M,-116.00M,,1.714B,410.00M,-11.00M,2.113B,,39.00M,0.00,669.00M,0.00,,AOR,Restated
2011-09,135.00M,,,1.00M,73.00M,67.00M,18.00M,85.00M,85.00M,18.00M,0.00,4.00M,4.00M,192.00M,,145.00M,-8.00M,,21.00M,350.00M,,665.00M,,-63.00M,3.00M,3.00M,-21.00M,31.00M,-2.00M,-52.00M,,494.00M,-672.00M,-178.00M,11.00M,-126.00M,-115.00M,-123.00M,-123.00M,-4.00M,-420.00M,,1.659B,193.00M,-138.00M,1.714B,,11.00M,496.00M,-674.00M,-126.00M,,AOR,Restated
2011-06,289.00M,,,6.00M,7.00M,66.00M,16.00M,82.00M,82.00M,-37.00M,,5.00M,5.00M,102.00M,,348.00M,-2.00M,,-88.00M,360.00M,,706.00M,,-75.00M,0.00,0.00,-9.00M,33.00M,-2.00M,-53.00M,,-4.00M,,-4.00M,23.00M,-235.00M,-212.00M,-118.00M,-118.00M,-9.00M,-343.00M,,1.33B,310.00M,19.00M,1.659B,,23.00M,0.00,-4.00M,-235.00M,,AOR,Restated
2011-03,331.00M,,,-19.00M,-19.00M,67.00M,16.00M,83.00M,83.00M,110.00M,,7.00M,7.00M,-172.00M,,-579.00M,-73.00M,,-64.00M,-888.00M,,-376.00M,,-67.00M,1.00M,1.00M,-103.00M,0.00,1.00M,-168.00M,,-2.00M,,-2.00M,89.00M,,89.00M,-117.00M,-117.00M,-98.00M,-128.00M,,1.894B,-672.00M,108.00M,1.33B,,89.00M,0.00,-2.00M,,,AOR,Restated
2010-12,206.00M,,,-19.00M,66.00M,69.00M,14.00M,83.00M,83.00M,56.00M,,4.00M,4.00M,32.00M,,302.00M,67.00M,,-144.00M,257.00M,,672.00M,,-78.00M,3.00M,3.00M,-236.00M,33.00M,-4.00M,-282.00M,,-2.00M,,-2.00M,13.00M,-86.00M,-73.00M,-119.00M,-119.00M,-5.00M,-199.00M,,1.695B,191.00M,8.00M,1.894B,,13.00M,0.00,-2.00M,-86.00M,,AOR,Restated
2010-09,171.00M,,,4.00M,-49.00M,68.00M,16.00M,84.00M,84.00M,-62.00M,,3.00M,3.00M,177.00M,,-270.00M,-9.00M,,-267.00M,-369.00M,,-222.00M,,-50.00M,-5.00M,-5.00M,1.025B,1.00M,-1.00M,970.00M,,-553.00M,0.00,-553.00M,10.00M,0.00,10.00M,-112.00M,-112.00M,-11.00M,-666.00M,,1.51B,82.00M,103.00M,1.695B,,10.00M,0.00,-553.00M,0.00,,AOR,
2010-06,242.00M,,,-17.00M,-13.00M,74.00M,19.00M,93.00M,93.00M,-78.00M,,5.00M,5.00M,-352.00M,,600.00M,0.00,,26.00M,274.00M,,523.00M,,-63.00M,7.00M,7.00M,8.00M,38.00M,-1.00M,-11.00M,,-2.00M,,-2.00M,8.00M,0.00,8.00M,-112.00M,-112.00M,-3.00M,-109.00M,,1.167B,403.00M,-60.00M,1.51B,,8.00M,,-2.00M,0.00,,AOR,Restated
2010-03,252.00M,,,-8.00M,18.00M,80.00M,17.00M,97.00M,97.00M,100.00M,,6.00M,6.00M,-73.00M,,-655.00M,-7.00M,,11.00M,-724.00M,,-251.00M,,-80.00M,1.00M,1.00M,-87.00M,19.00M,5.00M,-142.00M,,-2.00M,,-2.00M,10.00M,,10.00M,-109.00M,-109.00M,-55.00M,-156.00M,,1.777B,-549.00M,-61.00M,1.167B,,10.00M,,-2.00M,,,AOR,Restated
