,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2013-06,537.00M,-4.00M,-4.00M,,425.00M,425.00M,-167.00M,,,28.00M,13.00M,,,,,-18.00M,-18.00M,814.00M,,-492.00M,,-492.00M,29.00M,51.00M,-5.00M,-417.00M,,-437.00M,,-437.00M,,0.00,0.00,0.00,0.00,-92.00M,-529.00M,,594.00M,-132.00M,,462.00M,,,-390.00M,-47.00M,0.00,226.00M,376.00M,,AOR,Restated
2013-03,438.00M,16.00M,33.00M,,424.00M,424.00M,350.00M,,,23.00M,12.00M,,,,,-540.00M,-540.00M,740.00M,,-404.00M,,-404.00M,-21.00M,51.00M,1.00M,-373.00M,,-351.00M,,-351.00M,,,,-10.00M,-10.00M,-117.00M,-478.00M,,705.00M,-111.00M,,594.00M,,,390.00M,-741.00M,,,533.00M,,AOR,Restated
2012-12,427.00M,-11.00M,-11.00M,,425.00M,425.00M,-154.00M,,,17.00M,195.00M,,,,,4.027B,364.00M,1.263B,,-594.00M,,-594.00M,-78.00M,-57.00M,6.00M,-723.00M,,1.938B,,1.938B,,,,-2.165B,-2.165B,-80.00M,-307.00M,,472.00M,233.00M,,705.00M,,,3.69B,-1.752B,,190.00M,319.00M,,AOR,Restated
2012-09,455.00M,-7.00M,-7.00M,,417.00M,417.00M,-76.00M,,,16.00M,15.00M,,,,,-165.00M,-165.00M,655.00M,,-484.00M,,-484.00M,-17.00M,38.00M,9.00M,-454.00M,,-136.00M,,-136.00M,,,,-1.00M,-1.00M,-110.00M,-247.00M,,518.00M,-46.00M,,472.00M,,,-875.00M,739.00M,,287.00M,550.00M,,AOR,Restated
2012-06,485.00M,2.00M,2.00M,,420.00M,420.00M,26.00M,,,14.00M,15.00M,,,,,498.00M,498.00M,1.46B,,-449.00M,,-449.00M,-22.00M,29.00M,-7.00M,-449.00M,,-865.00M,,-865.00M,,,,0.00,0.00,-99.00M,-964.00M,,471.00M,47.00M,,518.00M,,,470.00M,-1.335B,,141.00M,337.00M,,AOR,Restated
2012-03,639.00M,1.00M,1.00M,,417.00M,417.00M,300.00M,,,9.00M,21.00M,,,,,-590.00M,-590.00M,797.00M,,-335.00M,,-335.00M,-111.00M,6.00M,3.00M,-437.00M,,787.00M,,787.00M,,,,-982.00M,-982.00M,-67.00M,-262.00M,,373.00M,98.00M,,471.00M,,,880.00M,-93.00M,,,517.00M,,AOR,Restated
2011-12,2.042B,,-1.667B,,387.00M,387.00M,,-56.00M,,2.00M,-250.00M,,,,,,2.207B,1.387B,,-509.00M,,-509.00M,-1.247B,0.00,1.00M,-1.755B,,408.00M,,408.00M,0.00,,-1.503B,,0.00,1.477B,382.00M,,359.00M,14.00M,,373.00M,,0.00,51.00M,357.00M,,-95.00M,352.00M,,AOR,Restated
2011-09,146.00M,,408.00M,,362.00M,362.00M,,17.00M,,8.00M,-41.00M,,,,,,-760.00M,880.00M,,-394.00M,,-394.00M,-40.00M,4.00M,2.00M,-428.00M,,1.035B,,1.035B,0.00,,0.00,,-1.00M,-1.666B,-632.00M,,539.00M,-180.00M,,359.00M,,0.00,5.00B,-3.965B,,59.00M,592.00M,,AOR,Restated
2011-06,320.00M,,75.00M,,358.00M,358.00M,,19.00M,,8.00M,-5.00M,,,,,,-802.00M,748.00M,,-447.00M,,-447.00M,-147.00M,56.00M,-1.00M,-539.00M,,-132.00M,,-132.00M,0.00,,0.00,,0.00,-91.00M,-223.00M,,553.00M,-14.00M,,539.00M,,0.00,0.00,-132.00M,,-124.00M,642.00M,,AOR,Restated
2011-03,334.00M,,1.00M,,358.00M,358.00M,,20.00M,,8.00M,322.00M,,,,,,-774.00M,918.00M,,-329.00M,,-329.00M,33.00M,20.00M,3.00M,-273.00M,,-2.90B,,-2.90B,2.506B,,2.506B,,-30.00M,-79.00M,-503.00M,,411.00M,142.00M,,553.00M,,2.506B,0.00,-2.90B,,160.00M,401.00M,,AOR,Restated
2010-12,394.00M,,-6.00M,,359.00M,359.00M,,-60.00M,4.00M,8.00M,153.00M,,,,,,1.728B,534.00M,,-465.00M,,-465.00M,-187.00M,-1.00M,12.00M,-641.00M,,2.131B,,2.131B,0.00,,0.00,,-2.006B,16.00M,141.00M,,377.00M,34.00M,,411.00M,,0.00,2.379B,-248.00M,,19.00M,595.00M,,AOR,Restated
2010-09,325.00M,,2.00M,,352.00M,352.00M,,20.00M,10.00M,8.00M,47.00M,,,,,,-229.00M,1.256B,,-324.00M,,-324.00M,-3.00M,-29.00M,9.00M,-347.00M,,-785.00M,,-785.00M,0.00,,0.00,,0.00,-97.00M,-882.00M,,350.00M,27.00M,,377.00M,,0.00,-294.00M,-491.00M,,98.00M,426.00M,,AOR,Restated
2010-06,378.00M,,,,355.00M,355.00M,,20.00M,91.00M,8.00M,-344.00M,,,,,,-860.00M,436.00M,,-322.00M,,-322.00M,-9.00M,473.00M,-12.00M,130.00M,,-29.00M,,-29.00M,0.00,,0.00,,-500.00M,-75.00M,-604.00M,,388.00M,-38.00M,,350.00M,,0.00,-10.00M,-19.00M,,329.00M,599.00M,,AOR,Restated
2010-03,476.00M,,,,355.00M,355.00M,,20.00M,18.00M,8.00M,256.00M,,,,,,-838.00M,859.00M,,-214.00M,,-214.00M,3.00M,29.00M,1.00M,-181.00M,,1.216B,,1.216B,0.00,,0.00,,-1.751B,-67.00M,-602.00M,,312.00M,76.00M,,388.00M,,0.00,2.726B,-1.51B,,71.00M,374.00M,,AOR,Restated
2009-12,304.00M,,7.00M,,358.00M,358.00M,,20.00M,27.00M,19.00M,-41.00M,,,,,,-955.00M,432.00M,,-402.00M,,-402.00M,-17.00M,190.00M,1.00M,-228.00M,,-263.00M,,-263.00M,,,,,,-72.00M,-335.00M,,443.00M,-131.00M,,312.00M,,,0.00,-263.00M,,182.00M,597.00M,,AOR,Restated
2009-09,274.00M,,0.00,,354.00M,354.00M,,20.00M,3.00M,7.00M,-45.00M,,,,,,-482.00M,1.041B,,-296.00M,,-296.00M,9.00M,42.00M,-13.00M,-258.00M,,-660.00M,,-660.00M,,,,,,-130.00M,-790.00M,,450.00M,-7.00M,,443.00M,,,1.228B,-1.888B,,200.00M,332.00M,,AOR,Restated
2009-06,365.00M,,3.00M,,360.00M,360.00M,,19.00M,4.00M,7.00M,-422.00M,,,,,,-543.00M,659.00M,,-282.00M,,-282.00M,21.00M,-5.00M,5.00M,-261.00M,,-162.00M,,-162.00M,,,,,,-142.00M,-304.00M,,356.00M,94.00M,,450.00M,,,1.451B,-1.613B,,619.00M,478.00M,,AOR,Restated
2009-03,432.00M,,5.00M,,353.00M,353.00M,,21.00M,9.00M,7.00M,92.00M,,,,,,-1.111B,615.00M,,-337.00M,,-337.00M,-33.00M,76.00M,6.00M,-288.00M,,-374.00M,,-374.00M,,,,,,-62.00M,-436.00M,,465.00M,-109.00M,,356.00M,,,300.00M,-674.00M,,146.00M,344.00M,,AOR,Restated
2008-12,344.00M,,-7.00M,,354.00M,354.00M,,20.00M,11.00M,7.00M,-96.00M,,,,,,-947.00M,575.00M,,-485.00M,,-485.00M,-1.00M,-9.00M,0.00,-495.00M,,-19.00M,,-19.00M,,,,,,-40.00M,-59.00M,,444.00M,21.00M,,465.00M,,,-534.00M,515.00M,,104.00M,599.00M,,AOR,Restated
2008-09,136.00M,,-74.00M,,350.00M,350.00M,376.00M,16.00M,44.00M,6.00M,-2.053B,,,,,,-426.00M,895.00M,,-398.00M,,-398.00M,43.00M,41.00M,-9.00M,-323.00M,,-442.00M,,-442.00M,,,,,,-54.00M,-496.00M,,368.00M,76.00M,,444.00M,,,-370.00M,-72.00M,,79.00M,373.00M,,AOR,Restated
2008-06,197.00M,,65.00M,,355.00M,355.00M,-367.00M,20.00M,9.00M,12.00M,813.00M,,,,,,-811.00M,293.00M,,-409.00M,,-409.00M,-17.00M,0.00,4.00M,-422.00M,,122.00M,,122.00M,,,,,,-96.00M,26.00M,,471.00M,-103.00M,,368.00M,,,250.00M,-128.00M,,406.00M,596.00M,,AOR,Restated
2008-03,225.00M,,-81.00M,,357.00M,357.00M,-9.00M,23.00M,0.00,7.00M,888.00M,,,,,,-1.183B,227.00M,,-308.00M,,-308.00M,83.00M,-11.00M,9.00M,-227.00M,,79.00M,,79.00M,,,,,,-1.00M,78.00M,,393.00M,78.00M,,471.00M,,,654.00M,-575.00M,,127.00M,411.00M,,AOR,Restated
2007-12,-596.00M,-139.00M,-139.00M,,354.00M,354.00M,,,0.00,7.00M,812.00M,,,,,,-1.017B,411.00M,,-447.00M,,-447.00M,272.00M,51.00M,10.00M,-114.00M,,-127.00M,-150.00M,-277.00M,0.00,,0.00,,,26.00M,-251.00M,,347.00M,46.00M,,393.00M,,0.00,,-127.00M,,73.00M,641.00M,,AOR,Restated
2007-09,300.00M,-316.00M,-368.00M,,356.00M,356.00M,21.00M,,0.00,6.00M,-1.456B,,,,,,-498.00M,579.00M,,-322.00M,,-322.00M,408.00M,-36.00M,3.00M,53.00M,,-265.00M,-370.00M,-635.00M,0.00,,0.00,,,-4.00M,-639.00M,,354.00M,-7.00M,,347.00M,,0.00,,-265.00M,,121.00M,430.00M,,AOR,Restated
2007-06,296.00M,-11.00M,41.00M,,361.00M,361.00M,-21.00M,,24.00M,6.00M,935.00M,,,,,,-897.00M,54.00M,,-341.00M,,-341.00M,35.00M,27.00M,4.00M,-275.00M,,-280.00M,450.00M,170.00M,0.00,,0.00,,,-4.00M,166.00M,,409.00M,-55.00M,,354.00M,,0.00,,-280.00M,,227.00M,1.092B,,AOR,Restated
2007-03,,-5.00M,-5.00M,,355.00M,355.00M,,,,5.00M,509.00M,,,,,,-1.203B,352.00M,,-334.00M,,-334.00M,20.00M,165.00M,6.00M,-143.00M,,-78.00M,-450.00M,-528.00M,100.00M,,100.00M,,,-6.00M,-434.00M,,634.00M,-225.00M,,409.00M,,100.00M,,-78.00M,,,,,AOR,Restated
2006-12,,-159.00M,-159.00M,,346.00M,346.00M,,,24.00M,255.00M,6.00M,,,,,,-690.00M,492.00M,,-535.00M,,-535.00M,314.00M,148.00M,-8.00M,-81.00M,,17.85B,-1.10B,16.75B,11.00M,-20.36B,-20.35B,,0.00,3.283B,-318.00M,,541.00M,93.00M,,634.00M,,11.00M,20.36B,-2.506B,-20.36B,,,,AOR,Restated
