,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,830.88M,830.88M,563.69M,267.19M,197.17M,3.448M,,,,197.17M,70.02M,,,,3.448M,,55.55M,9.60M,45.95M,-22.40M,,23.55M,43.10M,118.14M,48.11M,70.02M,0.15,-0.04,,0.1361,0.11,0.15,-0.04,,0.1361,0.11,205.62M,205.62M,0.135
2001-09,1.081B,1.081B,773.31M,307.69M,283.15M,1.206M,,,,283.15M,24.54M,,,,1.206M,,7.86M,2.151M,5.709M,-3.102M,,2.607M,4.833M,80.73M,56.19M,24.54M,0.03,-0.02,,0.0257,0.01,0.03,-0.02,,0.0257,0.01,203.09M,204.21M,0.135
2001-06,1.109B,1.109B,741.70M,367.08M,276.68M,6.975M,,,,276.68M,90.40M,,,,6.975M,,77.15M,28.36M,48.79M,94.51M,,143.30M,44.38M,143.55M,53.16M,90.40M,0.24,-0.46,,0.2183,-0.22,0.24,-0.46,,0.2184,-0.22,203.15M,204.35M,0.125
2001-03,1.210B,1.210B,796.95M,413.22M,284.14M,2.675M,,,,284.14M,129.08M,,,,2.675M,,112.58M,34.64M,77.94M,1.141M,,79.09M,76.09M,179.47M,50.39M,129.08M,0.38,0.01,,0.3709,0.39,0.38,0.01,,0.3709,0.39,203.22M,204.47M,0.125
2000-12,1.044B,1.044B,813.08M,230.69M,213.05M,-3.599M,,,,61.79M,168.90M,,,,-3.599M,,139.57M,24.56M,115.01M,19.68M,,134.69M,117.97M,201.87M,32.96M,168.90M,0.59,0.07,,0.6046,0.66,0.57,0.07,,0.5845,0.66,203.07M,204.50M,0.125
2000-09,1.390B,1.390B,826.08M,564.40M,288.81M,13.90M,,,,338.97M,225.43M,,,,13.90M,,213.97M,69.51M,144.46M,-13.60M,,130.87M,135.08M,275.59M,50.16M,225.43M,0.71,-0.06,,0.6638,0.65,0.71,-0.07,,0.6642,0.64,202.94M,204.74M,0.125
2000-06,1.379B,1.379B,818.75M,560.51M,280.90M,4.482M,,,,333.99M,226.52M,,,,4.482M,,209.41M,72.68M,136.73M,,,136.73M,133.81M,279.61M,53.09M,226.52M,0.67,0.0,,0.6556,0.67,0.67,0.0,,0.6557,0.67,202.90M,204.68M,0.115
2000-03,1.251B,1.251B,746.13M,505.15M,264.08M,1.362M,,,,312.09M,193.06M,,,,1.362M,,178.99M,61.67M,117.32M,,,117.32M,116.43M,241.07M,48.01M,193.06M,0.58,0.0,,0.5756,0.58,0.57,0.0,,0.5656,0.57,202.80M,204.44M,0.115
1999-12,1.030B,1.030B,785.08M,245.29M,220.04M,-4.552M,,,,78.84M,166.45M,,,,-4.552M,,149.25M,47.79M,101.46M,0.038M,,101.50M,104.55M,195.79M,29.34M,166.45M,0.6,-2.49,,0.6152,0.61,0.58,-2.49,,0.5951,0.61,203.35M,204.82M,0.115
1999-09,1.150B,1.150B,683.30M,467.20M,234.30M,15.70M,,,,285.60M,181.60M,,,,15.70M,,188.00M,66.50M,121.50M,,,121.50M,111.35M,232.90M,51.30M,181.60M,0.58,0.0,,0.5316,0.58,0.58,0.0,,0.5316,0.58,209.48M,209.48M,0.115
1999-06,1.078B,1.078B,641.00M,436.85M,241.60M,6.60M,,,,288.30M,148.55M,,,,6.60M,,142.80M,49.50M,93.30M,,,93.30M,88.99M,195.27M,46.72M,148.55M,0.44,0.0,,0.4197,0.44,0.44,0.0,,0.4197,0.44,212.05M,212.05M,0.105
1999-03,969.76M,969.76M,583.70M,386.06M,233.72M,-0.029M,,,,276.90M,109.15M,,,,-0.029M,,104.74M,35.54M,69.20M,523.94M,,593.14M,69.22M,152.34M,43.18M,109.15M,0.32,2.41,,0.3201,2.73,0.32,2.4,,0.3201,2.72,216.93M,218.33M,0.105
1998-12,1.019B,1.019B,607.20M,411.70M,230.50M,1.10M,,,,276.00M,135.70M,,,,1.10M,,120.50M,38.40M,82.10M,12.70M,,94.80M,81.35M,181.20M,45.50M,135.70M,0.37,0.06,,0.3666,0.43,0.36,0.06,,0.3567,0.42,220.31M,226.68M,0.105
1998-09,1.018B,1.018B,606.00M,412.50M,224.80M,0.80M,,,,268.30M,144.20M,,,,0.80M,,128.70M,42.90M,85.80M,8.20M,,94.00M,85.27M,187.70M,43.50M,144.20M,0.39,0.03,,0.3876,0.42,0.38,0.03,,0.3776,0.42,223.81M,223.81M,0.105
1998-06,1.010B,1.010B,609.70M,400.10M,224.50M,7.70M,,,,265.70M,134.40M,,,,7.70M,,128.20M,43.50M,84.70M,15.30M,,100.00M,79.61M,175.60M,41.20M,134.40M,0.38,0.07,,0.3571,0.45,0.38,0.07,,0.3571,0.45,222.22M,222.22M,0.095
