,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-09,4.234B,48.24B,52.47B,10.55B,791.00M,,,11.34B,843.00M,2.114B,2.101B,,5.058B,,,4.679B,231.00M,73.78B,,,,,,,,,13.17B,21.80B,16.12B,37.92B,12.17B,,4.25B,,67.51B,141.29B,,2.481B,1.00M,485.00M,2.967B,1.678B,4.645B,,,6.954B,6.954B,1.816B,1.816B,10.58B,23.99B,39.24B,39.24B,2.419B,2.419B,6.252B,,93.00M,3.136B,51.05B,75.04B,,507.00M,54.84B,70.37B,57.36B,64.00M,,,-1.896B,66.16B,,AOR,Restated
2009-06,2.244B,47.40B,49.65B,10.45B,935.00M,,,11.38B,859.00M,1.897B,2.237B,,4.993B,,,5.31B,219.00M,71.55B,,,,,,,,,13.19B,21.79B,16.61B,38.40B,12.58B,,3.614B,,67.79B,139.34B,,2.595B,1.081B,607.00M,4.283B,1.549B,5.832B,,,7.645B,7.645B,,,12.63B,26.11B,38.89B,38.89B,2.356B,2.356B,5.761B,,194.00M,2.985B,50.00B,76.10B,,509.00M,51.96B,70.31B,57.36B,66.00M,,,-2.079B,63.04B,,AOR,Restated
2009-03,1.247B,32.80B,34.05B,9.596B,793.00M,,,10.39B,824.00M,1.483B,2.151B,,4.458B,,,5.055B,299.00M,54.25B,,,,,,,,,12.94B,21.48B,16.92B,38.40B,13.54B,,3.802B,,68.68B,122.93B,,1.573B,1.00M,542.00M,2.116B,1.565B,3.681B,,,7.613B,7.613B,,,12.05B,23.34B,27.83B,27.83B,2.849B,2.849B,5.642B,,186.00M,2.826B,39.15B,62.49B,,512.00M,51.86B,70.20B,57.36B,69.00M,,,-4.673B,60.26B,,AOR,Restated
2008-12,2.122B,21.61B,23.73B,8.958B,824.00M,,,9.782B,830.00M,1.527B,2.024B,,4.381B,,,5.034B,,43.08B,0.00,616.00M,8.775B,13.93B,,1.804B,25.13B,-11.84B,13.29B,21.46B,17.72B,39.18B,11.48B,,4.122B,,68.07B,111.15B,,1.751B,2.159B,656.00M,4.566B,1.667B,6.233B,,,9.32B,9.32B,11.46B,11.46B,,27.01B,7.963B,7.963B,2.959B,2.959B,5.839B,,184.00M,3.07B,26.40B,53.41B,,516.00M,49.14B,70.28B,57.39B,73.00M,,,-4.569B,57.56B,,,Restated
2008-09,1.265B,24.75B,26.02B,9.901B,849.00M,,,10.75B,847.00M,1.693B,2.248B,,4.788B,,,,6.672B,48.23B,,,,,,,26.70B,-12.37B,14.33B,21.35B,18.98B,40.33B,,,,12.36B,67.02B,115.25B,,1.649B,,,1.649B,1.752B,3.401B,,,9.193B,9.193B,,,8.909B,21.50B,7.152B,7.152B,5.824B,5.824B,,,156.00M,13.28B,26.26B,47.76B,,519.00M,53.18B,70.16B,57.39B,76.00M,,,868.00M,67.34B,,,Restated
2008-06,820.00M,25.36B,26.18B,10.24B,1.041B,,,11.29B,749.00M,2.407B,2.178B,,5.334B,,,,5.852B,48.65B,,,,,,,27.29B,-12.37B,14.92B,21.70B,19.88B,41.58B,,,,11.36B,67.86B,116.52B,,1.928B,,,1.928B,1.64B,3.568B,,,9.448B,9.448B,,,10.18B,23.19B,7.246B,7.246B,5.885B,5.885B,,,149.00M,13.47B,26.60B,49.80B,,524.00M,50.91B,70.00B,57.38B,81.00M,,,2.522B,66.57B,,,Restated
2008-03,2.013B,26.62B,28.63B,10.43B,777.00M,,,11.21B,1.028B,2.045B,2.075B,,5.148B,5.939B,,,87.00M,51.01B,,,,,,,27.75B,-12.37B,15.38B,21.56B,19.90B,41.45B,,,,10.70B,67.54B,118.55B,,1.909B,,,1.909B,1.622B,3.531B,,,8.909B,8.909B,,,9.242B,21.68B,8.143B,8.143B,7.441B,7.441B,,,143.00M,13.72B,29.31B,50.99B,,529.00M,52.44B,70.00B,56.88B,86.00M,,,1.334B,67.42B,,,Restated
2007-12,3.406B,22.07B,25.48B,9.843B,617.00M,,,10.46B,885.00M,2.353B,2.064B,,5.302B,,,,5.612B,46.85B,0.00,718.00M,10.32B,15.31B,,1.758B,28.10B,-12.37B,15.73B,21.38B,20.50B,41.88B,,,,10.80B,68.42B,115.27B,,2.27B,,,2.27B,1.974B,4.244B,,,5.825B,5.825B,,,11.77B,21.84B,7.314B,7.314B,7.696B,7.696B,,,114.00M,13.30B,28.31B,50.14B,,535.00M,49.66B,69.91B,56.85B,93.00M,3.872B,-2.123B,1.749B,65.01B,,,
2007-09,2.611B,19.69B,22.30B,9.942B,526.00M,,,10.47B,1.022B,2.495B,1.693B,,5.21B,3.749B,,,115.00M,41.84B,,,,,,,26.14B,-10.43B,15.71B,21.21B,21.00B,42.21B,,,,9.268B,67.19B,109.03B,,2.298B,,,2.298B,1.628B,3.926B,,,2.645B,2.645B,,,7.757B,14.33B,6.041B,6.041B,7.544B,7.544B,,,,14.51B,28.09B,42.42B,,545.00M,51.06B,69.83B,54.35B,103.00M,,,-484.00M,66.61B,,,
2007-06,2.138B,20.12B,22.25B,9.497B,540.00M,,,10.04B,1.212B,2.624B,1.898B,,5.734B,3.564B,,,34.00M,41.62B,,,,,,,26.73B,-10.43B,16.30B,20.98B,22.90B,43.89B,,,,8.596B,68.78B,110.40B,,1.845B,,,1.845B,1.573B,3.418B,,,2.432B,2.432B,,,9.286B,15.14B,5.777B,5.777B,7.602B,7.602B,,,,13.79B,27.17B,42.31B,,552.00M,50.30B,69.56B,51.83B,110.00M,,,-484.00M,68.09B,,,
2007-03,2.492B,19.98B,22.47B,10.46B,462.00M,,,10.92B,1.135B,2.766B,1.793B,,5.694B,3.231B,,,25.00M,42.34B,,,,,,,26.91B,-10.43B,16.48B,20.91B,23.50B,44.41B,,,,7.253B,68.15B,110.48B,,2.037B,,,2.037B,1.679B,3.716B,,,2.638B,2.638B,,,6.947B,13.30B,4.771B,4.771B,7.363B,7.363B,,,,12.56B,24.69B,38.00B,,565.00M,53.06B,69.21B,49.26B,124.00M,,,-1.094B,72.49B,,,
2006-12,1.827B,25.89B,27.71B,9.392B,514.00M,,,9.906B,1.262B,3.198B,1.651B,,6.111B,3.866B,,,62.00M,47.66B,0.00,641.00M,9.947B,14.61B,,1.862B,27.06B,-10.43B,16.63B,20.88B,24.35B,45.23B,,,,6.03B,67.89B,115.55B,,2.019B,,,2.019B,1.903B,3.922B,,,2.434B,2.434B,,,15.74B,22.10B,5.546B,5.546B,8.015B,8.015B,,,74.00M,8.454B,22.02B,44.11B,,582.00M,49.67B,69.10B,46.74B,141.00M,2.227B,-3.484B,-1.257B,71.36B,,,
2006-09,1.177B,11.65B,12.83B,9.177B,460.00M,,,9.637B,1.014B,2.993B,2.16B,,6.167B,3.281B,,,6.805B,38.72B,,,,,,,25.94B,-9.527B,16.42B,21.05B,25.32B,46.37B,,,,7.073B,69.86B,108.58B,,1.742B,,,1.742B,1.533B,3.275B,,,2.508B,2.508B,,,11.90B,17.69B,5.561B,5.561B,8.838B,8.838B,,,,6.786B,21.18B,38.87B,,587.00M,43.99B,68.86B,44.26B,146.00M,,,525.00M,69.71B,,,
2006-06,1.921B,12.83B,14.75B,9.275B,511.00M,,,9.786B,1.016B,3.153B,2.223B,,6.392B,3.262B,,,6.804B,40.99B,,,,,,,26.01B,-9.527B,16.48B,21.06B,26.13B,47.19B,,,,6.882B,70.56B,111.55B,,1.74B,,,1.74B,1.399B,3.139B,,,3.779B,3.779B,,,13.14B,20.06B,5.45B,5.45B,10.37B,10.37B,,,,7.187B,23.01B,43.06B,,592.00M,40.63B,68.22B,41.76B,152.00M,,,808.00M,68.49B,,,
2006-03,2.869B,12.63B,15.50B,10.35B,445.00M,,,10.80B,1.199B,2.905B,2.559B,,6.663B,4.302B,,,151.00M,37.42B,,,,,,,26.63B,-9.527B,17.10B,23.74B,28.07B,51.81B,,,,6.627B,75.54B,112.96B,,1.892B,,,1.892B,1.504B,3.396B,,,5.059B,5.059B,,,11.22B,19.67B,6.508B,6.508B,10.34B,10.34B,,,,6.831B,23.68B,43.35B,,598.00M,41.72B,67.93B,40.76B,159.00M,,,122.00M,69.61B,,,
2005-12,2.247B,19.98B,22.23B,9.103B,510.00M,,,9.613B,1.357B,2.379B,1.742B,,5.478B,2.903B,,,6.615B,46.84B,,,,,,,25.76B,-9.527B,16.23B,20.98B,26.24B,47.23B,,,,6.673B,70.14B,116.97B,,2.073B,,,2.073B,1.602B,3.675B,,,11.59B,11.59B,,,13.15B,28.41B,6.347B,6.347B,9.707B,9.707B,,,,6.74B,22.79B,51.21B,,608.00M,37.61B,67.76B,39.77B,169.00M,,,-444.00M,65.76B,,,
2005-09,959.00M,12.43B,13.39B,9.348B,611.00M,,,9.959B,1.242B,2.714B,2.60B,,6.556B,2.724B,,,140.00M,32.77B,,,,,,,26.72B,-9.199B,17.52B,,52.78B,52.78B,,,,7.274B,77.58B,110.34B,,1.809B,,,1.809B,1.636B,3.445B,,,6.729B,6.729B,,,10.22B,20.40B,5.414B,5.414B,10.78B,10.78B,,,,6.947B,23.14B,43.54B,,614.00M,38.03B,67.53B,39.38B,175.00M,985.00M,-970.00M,15.00M,66.81B,,,
2005-06,1.276B,13.29B,14.57B,9.316B,513.00M,,,9.829B,1.256B,2.844B,2.38B,,6.48B,2.506B,,,189.00M,33.57B,,,,,,,26.21B,-8.534B,17.67B,,53.41B,53.41B,,,,7.672B,78.75B,112.33B,,2.10B,,,2.10B,1.469B,3.569B,,,7.261B,7.261B,,,11.74B,22.57B,5.517B,5.517B,11.48B,11.48B,,,,7.437B,24.43B,47.00B,,619.00M,36.45B,67.43B,39.27B,180.00M,1.161B,-1.052B,109.00M,65.33B,,,
2005-03,1.476B,20.50B,21.97B,10.07B,587.00M,,,10.66B,1.264B,2.383B,2.904B,,6.551B,2.792B,,,378.00M,42.35B,,,,,,,26.45B,-8.534B,17.91B,,54.67B,54.67B,,,,7.998B,80.58B,122.94B,,2.30B,,,2.30B,1.601B,3.901B,,,13.40B,13.40B,,,11.65B,28.95B,6.432B,6.432B,12.74B,12.74B,,,,7.286B,26.46B,55.40B,,625.00M,35.78B,67.10B,36.88B,187.00M,1.909B,-1.002B,907.00M,67.53B,,,
2004-12,1.808B,18.08B,19.89B,9.367B,653.00M,,,10.02B,1.314B,2.703B,2.643B,,6.66B,2.333B,,,182.00M,39.09B,0.00,688.00M,9.771B,14.06B,,2.395B,26.92B,-8.534B,18.38B,,57.01B,57.01B,,,,8.598B,83.99B,123.08B,,2.672B,,,2.672B,1.939B,4.611B,,,11.27B,11.27B,,,10.58B,26.46B,7.279B,7.279B,12.03B,12.03B,,,,9.037B,28.34B,54.80B,,631.00M,35.49B,67.10B,35.99B,193.00M,,,1.049B,68.28B,,,
2004-09,1.864B,16.81B,18.68B,9.216B,597.00M,,,9.813B,1.306B,2.469B,2.52B,,6.295B,3.958B,,,313.00M,39.06B,,,,,,,25.49B,-8.012B,17.48B,,56.68B,56.68B,,,,9.019B,83.17B,122.23B,,2.329B,,,2.329B,2.114B,4.443B,,,10.86B,10.86B,,,9.938B,25.24B,7.956B,7.956B,11.96B,11.96B,,,,8.689B,28.61B,53.85B,,637.00M,35.35B,67.06B,34.12B,200.00M,,,-539.00M,68.38B,,,
2004-06,652.00M,16.83B,17.48B,9.342B,496.00M,,,9.838B,1.194B,2.508B,2.161B,,5.863B,3.159B,,,342.00M,36.68B,,,,,,,24.60B,-7.302B,17.30B,,57.29B,57.29B,,,,8.688B,83.28B,119.96B,,2.48B,,,2.48B,1.881B,4.361B,,,12.20B,12.20B,,,8.593B,25.16B,6.765B,6.765B,12.77B,12.77B,,,,8.566B,28.10B,53.26B,,642.00M,32.00B,67.05B,31.61B,205.00M,,,-1.386B,66.70B,,,
2004-03,965.00M,12.99B,13.95B,10.42B,,,,10.42B,1.156B,2.445B,2.341B,,5.942B,3.052B,,,2.028B,35.39B,,,,,,,25.07B,-7.366B,17.70B,,59.45B,59.45B,,,,9.743B,86.90B,122.29B,,2.479B,,,2.479B,2.35B,4.829B,,,10.69B,10.69B,,,9.116B,24.64B,7.144B,7.144B,13.05B,13.05B,,,,8.407B,28.60B,53.24B,,647.00M,31.71B,66.77B,30.27B,211.00M,,,197.00M,69.05B,,,
2003-12,1.52B,10.43B,11.95B,8.636B,391.00M,,,9.027B,1.297B,2.204B,2.198B,,5.699B,2.758B,,,1.241B,30.68B,0.00,521.00M,9.201B,12.87B,,2.48B,25.07B,-6.916B,18.16B,,57.86B,57.86B,,,,10.09B,86.10B,116.78B,,2.587B,,,2.587B,3.142B,5.729B,,,8.818B,8.818B,,,9.362B,23.91B,5.755B,5.755B,13.01B,13.01B,,,,8.722B,27.49B,51.40B,,654.00M,29.38B,66.40B,29.35B,219.00M,632.00M,-2.335B,-1.703B,65.38B,,,
2003-09,1.61B,12.81B,14.42B,8.626B,,,,8.626B,1.348B,3.318B,2.035B,,6.701B,2.983B,,,340.00M,33.07B,,,,,,,24.34B,-6.377B,17.96B,,57.15B,57.15B,,,,11.88B,86.99B,120.06B,,1.998B,,,1.998B,1.539B,3.537B,,,9.396B,9.396B,,,8.727B,21.66B,6.439B,6.439B,14.88B,14.88B,,,,8.548B,29.87B,51.53B,,663.00M,31.19B,65.92B,26.18B,229.00M,-845.00M,-2.215B,-3.06B,68.53B,,,
2003-06,2.19B,13.77B,15.96B,8.808B,234.00M,,,9.042B,2.00B,2.992B,1.741B,,6.733B,3.012B,,,,34.74B,,,,,,,24.52B,-6.243B,18.28B,,59.54B,59.54B,,,,11.70B,89.51B,124.26B,,2.121B,,,2.121B,1.42B,3.541B,,,8.214B,8.214B,,,10.40B,22.16B,6.71B,6.71B,15.93B,15.93B,,,,9.176B,31.82B,53.98B,,673.00M,28.92B,65.88B,22.72B,239.00M,-616.00M,-1.862B,-2.478B,70.28B,,,
2003-03,2.068B,13.44B,15.50B,6.759B,,,4.201B,10.96B,449.00M,1.143B,1.007B,,2.599B,1.752B,,,287.00M,31.10B,,,,,,,16.84B,-5.797B,11.04B,,1.23B,1.23B,,,,9.557B,21.82B,52.93B,,1.374B,,,1.374B,947.00M,2.321B,,,9.265B,9.265B,,,7.168B,18.75B,3.713B,3.713B,1.186B,1.186B,,,,4.432B,9.331B,28.08B,,342.00M,34.91B,9.415B,16.89B,,-779.00M,-2.156B,-2.935B,24.84B,,,
2002-12,1.878B,10.67B,12.55B,5.785B,399.00M,,,6.184B,403.00M,1.142B,1.133B,,2.678B,1.797B,,,1.571B,24.78B,0.00,252.00M,5.407B,9.00B,,1.484B,16.14B,-5.431B,10.71B,,1.20B,1.20B,,,,9.663B,21.58B,46.36B,,1.62B,,,1.62B,1.084B,2.704B,,,8.669B,8.669B,,,7.182B,18.56B,3.14B,3.14B,364.00M,364.00M,,,,4.347B,7.851B,26.41B,,341.00M,30.24B,9.368B,16.34B,,-1.438B,-2.223B,-3.661B,19.95B,,,
2002-09,1.774B,10.77B,12.54B,6.099B,,,,6.099B,483.00M,1.263B,1.163B,,2.909B,1.721B,,,397.00M,23.67B,,,,,,,16.90B,-5.82B,11.08B,,1.304B,1.304B,,,,8.826B,21.21B,44.88B,,1.551B,,,1.551B,1.004B,2.555B,,,10.69B,10.69B,,,5.156B,18.40B,3.118B,3.118B,410.00M,410.00M,,,,3.994B,7.522B,25.92B,,341.00M,29.10B,8.902B,16.05B,,-1.409B,-1.926B,-3.335B,18.95B,,,
2002-06,1.196B,10.14B,11.34B,6.273B,,,,6.273B,503.00M,1.086B,1.216B,,2.805B,1.698B,,,274.00M,22.39B,,,,,,,16.34B,-5.558B,10.78B,,1.288B,1.288B,,,,8.11B,20.18B,42.57B,,1.524B,,,1.524B,916.00M,2.44B,,,8.366B,8.366B,,,5.511B,16.32B,3.072B,3.072B,355.00M,355.00M,,,,3.994B,7.421B,23.74B,,340.00M,26.74B,9.048B,13.32B,,-1.659B,-2.326B,-3.985B,18.83B,,,
2002-03,1.332B,8.561B,9.893B,6.453B,,,,6.453B,486.00M,1.165B,1.099B,,2.75B,1.624B,,,250.00M,20.97B,,,,,,,15.80B,-5.303B,10.50B,,1.824B,1.824B,,,,8.026B,20.35B,41.32B,,1.591B,,,1.591B,915.00M,2.506B,,,7.746B,7.746B,,,4.477B,14.73B,2.58B,2.58B,376.00M,376.00M,,,,3.957B,6.913B,21.64B,,340.00M,26.79B,9.117B,12.37B,,-1.651B,-2.553B,-4.204B,19.67B,,,
2001-12,1.036B,7.579B,8.615B,4.798B,269.00M,,,5.067B,412.00M,1.062B,1.011B,,2.485B,1.418B,,,1.627B,19.21B,0.00,201.00M,4.49B,7.785B,,1.896B,14.37B,-4.589B,9.783B,,1.689B,1.689B,,,,8.469B,19.94B,39.15B,,1.411B,,,1.411B,1.026B,2.437B,,,6.263B,6.263B,,,5.029B,13.73B,2.609B,2.609B,398.00M,398.00M,,,,4.124B,7.131B,20.86B,,340.00M,24.43B,9.30B,11.38B,,-1.523B,-2.876B,-4.399B,18.29B,,,
2001-09,1.898B,7.565B,9.463B,5.679B,,,,5.679B,466.00M,1.139B,1.237B,,2.842B,1.774B,,,241.00M,20.00B,,,,,,,15.26B,-5.095B,10.17B,,1.764B,1.764B,,,,6.877B,18.81B,38.81B,,1.632B,,,1.632B,1.01B,2.642B,,,6.362B,6.362B,,,4.035B,13.04B,2.087B,2.087B,433.00M,433.00M,,,,4.351B,6.871B,19.91B,,339.00M,23.97B,8.885B,9.927B,,-1.549B,-2.819B,-4.368B,18.90B,,,
2001-06,1.295B,7.721B,9.016B,5.435B,,,,5.435B,456.00M,1.208B,1.262B,,2.926B,1.936B,,,285.00M,19.60B,,,,,,,14.72B,-4.90B,9.818B,,1.776B,1.776B,,,,5.749B,17.34B,36.94B,,1.542B,,,1.542B,965.00M,2.507B,,,4.638B,4.638B,,,4.839B,11.98B,2.367B,2.367B,635.00M,635.00M,,,,4.139B,7.141B,19.12B,,338.00M,21.90B,8.522B,8.574B,,,,-4.369B,17.82B,,,
2001-03,1.176B,6.633B,7.809B,5.773B,138.00M,,,5.911B,453.00M,1.146B,1.29B,,2.889B,2.089B,,,,18.70B,,,,,,,14.47B,-4.868B,9.601B,,1.797B,1.797B,,,,5.05B,16.45B,35.15B,,1.418B,,,1.418B,928.00M,2.346B,,,3.963B,3.963B,,,4.565B,10.87B,1.888B,1.888B,602.00M,602.00M,,,,4.034B,6.524B,17.40B,,338.00M,21.44B,8.355B,8.193B,,-1.351B,-2.845B,-4.196B,17.75B,,,
2000-12,1.099B,5.764B,6.863B,5.489B,,,,5.489B,433.00M,1.074B,1.195B,,2.702B,1.993B,,,140.00M,17.19B,0.00,200.00M,3.832B,8.236B,,1.866B,14.13B,-4.709B,9.425B,,1.791B,1.791B,,,,5.107B,16.32B,33.51B,,1.719B,,,1.719B,982.00M,2.701B,,,4.289B,4.289B,,,4.991B,11.98B,1.123B,1.123B,380.00M,380.00M,,,,3.95B,5.453B,17.43B,,337.00M,19.60B,8.895B,7.858B,,-1.486B,-3.411B,-4.897B,16.08B,,,
2000-09,1.341B,5.883B,7.224B,,,,,5.411B,,,,,2.723B,,,,1.81B,17.17B,,,,,,,14.01B,-4.836B,9.178B,,1.761B,1.761B,,,,5.381B,16.32B,33.49B,,1.417B,,,1.417B,,1.417B,,,5.934B,5.934B,,,4.993B,12.34B,1.257B,1.257B,578.00M,578.00M,,,,3.137B,4.972B,17.32B,,336.00M,19.45B,8.464B,7.477B,,,,-4.604B,16.17B,,,
2000-06,1.59B,4.402B,5.992B,,,,,5.341B,,,,,2.597B,,,,1.886B,15.82B,,,,,,,13.74B,-4.72B,9.025B,,1.806B,1.806B,,,,5.397B,16.23B,32.04B,,1.44B,,,1.44B,,1.44B,,,5.544B,5.544B,,,5.234B,12.22B,1.266B,1.266B,533.00M,533.00M,,,,3.054B,4.853B,17.07B,,335.00M,18.08B,8.281B,6.852B,,,,-4.876B,14.97B,,,
2000-03,191.00M,3.589B,3.78B,,,,,3.882B,,,,,1.614B,,,,1.157B,10.43B,,,,,,,8.218B,-2.752B,5.466B,,753.00M,753.00M,,,,3.573B,9.792B,20.22B,,855.00M,,,855.00M,,855.00M,,,3.717B,3.717B,,,2.906B,7.478B,524.00M,524.00M,398.00M,398.00M,,,,1.637B,2.559B,10.04B,,213.00M,14.58B,5.636B,6.82B,,,,-3.418B,10.19B,,,
1999-12,2.358B,4.028B,6.386B,5.368B,,,,5.368B,464.00M,977.00M,1.147B,,2.588B,1.696B,,,273.00M,16.31B,0.00,224.00M,3.329B,7.675B,,1.963B,13.19B,-4.506B,8.685B,,1.87B,1.87B,,,,4.506B,15.06B,31.37B,,1.889B,,,1.889B,,1.889B,,,5.299B,5.299B,,,4.708B,11.90B,1.774B,1.774B,485.00M,485.00M,,,,3.267B,5.526B,17.42B,,332.00M,18.46B,5.943B,6.851B,,-1.028B,-2.905B,-3.933B,13.95B,,,
1999-09,942.00M,3.966B,4.908B,,,,,3.618B,,,,,1.638B,,,,1.32B,11.48B,,,,,,,7.667B,-2.608B,5.059B,,776.00M,776.00M,,,,2.92B,8.755B,20.24B,,694.00M,,,694.00M,,694.00M,,,5.486B,5.486B,,,2.912B,9.092B,525.00M,525.00M,272.00M,272.00M,,,,1.564B,2.361B,11.45B,,212.00M,13.08B,5.58B,6.223B,,,,-3.868B,8.786B,,,
1999-06,1.223B,,1.223B,,,,,3.396B,,,,,1.805B,,,,4.727B,11.15B,,,,,,,7.248B,-2.51B,4.738B,,779.00M,779.00M,,,,2.972B,8.489B,19.64B,,770.00M,,,770.00M,,770.00M,,,4.938B,4.938B,,,3.102B,8.81B,530.00M,530.00M,185.00M,185.00M,,,,1.464B,2.179B,10.99B,,,12.37B,,,,,,,8.651B,,,
1999-03,1.166B,,1.166B,,,,,3.47B,,,,,1.704B,,,,4.409B,10.75B,,,,,,,7.024B,-2.493B,4.531B,,788.00M,788.00M,,,,2.957B,8.276B,19.02B,,656.00M,,,656.00M,,656.00M,,,4.296B,4.296B,,,2.80B,7.752B,525.00M,525.00M,164.00M,164.00M,,,,1.539B,2.228B,9.98B,,,12.25B,,,,,,,9.045B,,,
1998-12,1.552B,,1.552B,,,,,2.914B,,,,,1.828B,,,,3.637B,9.931B,,,,,,,6.844B,-2.429B,4.415B,,813.00M,813.00M,,,,3.143B,8.371B,18.30B,,971.00M,,,971.00M,,971.00M,,,2.729B,2.729B,,,3.492B,7.192B,527.00M,527.00M,197.00M,197.00M,,,,1.576B,2.30B,9.492B,,,11.44B,,,,,,,8.81B,,,
1998-09,2.723B,,2.723B,,,,,2.86B,,,,,1.681B,,,,2.61B,9.874B,,,,,,,6.386B,-2.271B,4.115B,,883.00M,883.00M,,,,3.305B,8.303B,18.18B,,817.00M,,,817.00M,,817.00M,,,3.35B,3.35B,,,3.092B,7.259B,528.00M,528.00M,441.00M,441.00M,,,,1.304B,2.273B,9.532B,,,1.132B,,,,,,,8.645B,,,
1998-06,1.089B,,1.089B,,,,,3.11B,,,,,1.842B,,,,2.218B,8.259B,,,,,,,6.548B,-2.382B,4.166B,,1.023B,1.023B,,,,3.06B,8.249B,16.51B,,814.00M,,,814.00M,,814.00M,,,2.583B,2.583B,,,2.741B,6.138B,724.00M,724.00M,98.00M,98.00M,,,,1.243B,2.065B,8.203B,,,9.928B,,,,,,,8.305B,,,
1998-03,1.053B,,1.053B,,,,,2.913B,,,,,1.837B,,,,1.605B,7.408B,,,,,,,6.509B,-2.37B,4.139B,,1.27B,1.27B,,,,3.138B,8.547B,15.96B,,724.00M,,,724.00M,,724.00M,,,2.515B,2.515B,,,2.442B,5.681B,729.00M,729.00M,153.00M,153.00M,,,,1.203B,2.085B,7.766B,,,9.796B,,,,,,,8.189B,,,
1997-12,877.00M,,877.00M,,,,,2.22B,,,,,1.461B,,,,2.884B,7.442B,,,,,,,5.867B,-2.074B,3.793B,,989.00M,989.00M,,,,2.767B,7.549B,14.99B,,660.00M,,,660.00M,,660.00M,,,2.251B,2.251B,,,2.083B,4.994B,725.00M,725.00M,127.00M,127.00M,,,,1.212B,2.064B,7.058B,,,9.349B,,,,,,,7.933B,,,
1997-09,1.19B,,1.19B,,,,,2.636B,,,,,1.82B,,,,1.593B,7.239B,,,,,,,6.314B,-2.316B,3.998B,,1.316B,1.316B,,,,2.794B,8.108B,15.35B,,702.00M,,,702.00M,,702.00M,,,2.851B,2.851B,,,2.227B,5.78B,729.00M,729.00M,278.00M,278.00M,,,42.00M,1.113B,2.12B,7.90B,,,-1.977B,,,,,,,7.405B,,,
1997-06,1.514B,,1.514B,,,,,2.525B,,,,,1.664B,,,,1.64B,7.343B,,,,,,,6.203B,-2.26B,3.943B,,1.344B,1.344B,,,,3.102B,8.389B,15.73B,,971.00M,,,971.00M,,971.00M,,,2.978B,2.978B,,,2.473B,6.422B,731.00M,731.00M,263.00M,263.00M,,,40.00M,1.102B,2.096B,8.518B,,,8.415B,,,,,,,7.174B,,,
1997-03,1.23B,,1.23B,,,,,2.528B,,,,,1.594B,,,,1.574B,6.926B,,,,,,,6.023B,-2.175B,3.848B,,1.375B,1.375B,,,,2.904B,8.127B,15.05B,,819.00M,,,819.00M,,819.00M,,,2.582B,2.582B,,,2.379B,5.78B,732.00M,732.00M,294.00M,294.00M,,,40.00M,1.055B,2.081B,7.861B,,,8.399B,,,,,,,7.152B,,,
1996-12,1.15B,,1.15B,,,,,2.252B,,,,,1.589B,,,,1.477B,6.468B,,,,,,,6.005B,-2.155B,3.85B,,1.424B,1.424B,,,,2.925B,8.199B,14.67B,,913.00M,,,913.00M,,913.00M,,,2.235B,2.235B,,,2.492B,5.64B,687.00M,687.00M,253.00M,253.00M,,,50.00M,1.083B,2.023B,7.663B,,,8.017B,,,,,,,6.954B,,,
1996-09,1.046B,,1.046B,,,,,2.193B,,,,,1.614B,,,,1.953B,6.806B,,,,,,,5.764B,-2.086B,3.678B,,1.478B,1.478B,,,,2.654B,7.81B,14.62B,,750.00M,,,750.00M,,750.00M,,,3.157B,3.157B,,,2.292B,6.199B,553.00M,553.00M,163.00M,163.00M,,,52.00M,1.083B,1.799B,7.998B,,,7.707B,,,,,,,6.566B,,,
