,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-09,127.98M,,-78.70M,21.28M,-41.83M,102.52M,102.52M,,,,,-8.921M,-11.32M,,21.27M,-75.87M,-65.91M,127.60M,,,,-23.14M,-1.241M,91.60M,-256.39M,,389.53M,389.53M,,,9.717M,-45.00M,-35.28M,-113.53M,-14.40M,-127.94M,0.353M,-205.38M,21.28M,,494.39M,-107.51M,386.88M,,9.717M,405.80M,-16.27M,-45.00M,3.822M,104.85M,,AOR,Restated
2006-06,163.17M,,-65.53M,-21.50M,-87.03M,106.17M,106.17M,,,,,-7.075M,-4.166M,,-25.26M,6.551M,-22.87M,168.77M,,,,-66.70M,115.99M,-218.22M,-347.86M,,205.32M,205.32M,,,34.14M,,34.14M,-113.29M,-14.41M,-127.69M,5.848M,-24.08M,93.54M,,579.93M,-85.54M,494.39M,,34.14M,795.99M,-590.67M,,,126.42M,,AOR,Restated
2006-03,149.21M,,-20.66M,-55.22M,-75.88M,94.18M,94.18M,,,,,-1.224M,48.53M,,-44.24M,6.626M,10.92M,190.47M,,,,-22.88M,93.94M,-62.95M,-165.07M,,409.45M,409.45M,,,,,,-113.02M,-14.45M,-127.47M,3.309M,-25.27M,260.02M,,294.50M,285.43M,579.93M,,,605.30M,-195.84M,,,90.40M,,AOR,Restated
2005-12,119.96M,,-13.16M,7.416M,-5.745M,94.22M,94.22M,,,,,-1.667M,4.669M,,16.83M,16.99M,38.49M,259.83M,,,,-26.70M,32.18M,95.17M,-267.22M,,224.24M,224.24M,0.00,0.00,-0.739M,-30.00M,-30.74M,-221.73M,-11.58M,-233.31M,6.637M,-59.39M,-92.56M,,394.46M,-99.96M,294.50M,,-0.739M,420.63M,-196.39M,-30.00M,,107.09M,,AOR,
2005-09,38.74M,,38.07M,-7.871M,30.20M,85.12M,85.12M,,,,,3.461M,-54.22M,,49.93M,1.87M,-2.427M,182.40M,,,,-762.00M,-33.79M,23.24M,-1.123B,,78.12M,78.12M,780.75M,780.75M,362.72M,-587.00M,-224.28M,-99.84M,-8.09M,-107.93M,5.325M,-39.40M,492.57M,,842.10M,-447.64M,394.46M,,1.143B,95.00M,-16.88M,-587.00M,,84.90M,,AOR,Restated
2005-06,181.08M,,-82.22M,-19.63M,-101.84M,86.02M,86.02M,,,,,8.767M,-5.646M,,6.116M,-11.91M,-11.44M,186.43M,,,,-70.59M,-102.19M,-46.71M,-354.60M,,33.66M,33.66M,,,108.96M,0.00,108.96M,-98.84M,-9.678M,-108.52M,32.15M,-30.31M,35.94M,,974.33M,-132.23M,842.10M,,108.96M,80.00M,-46.34M,0.00,,87.66M,,AOR,Restated
2005-03,199.82M,,-87.30M,-34.61M,-121.91M,81.41M,81.41M,,,,,15.16M,10.18M,,-18.06M,-55.11M,-63.00M,134.02M,,,,-112.07M,-22.85M,164.97M,-6.849M,,575.66M,575.66M,,,,-195.00M,-195.00M,-103.75M,-5.206M,-108.95M,8.645M,-32.47M,247.87M,,599.28M,375.05M,974.33M,,,715.00M,-139.34M,-195.00M,,69.68M,,AOR,Restated
2004-12,239.95M,,-154.37M,-13.94M,-168.31M,73.60M,73.60M,,,,,12.94M,-1.418M,,71.70M,-47.84M,22.44M,202.76M,,,,-130.55M,-14.20M,105.08M,-95.27M,,9.571M,9.571M,0.00,0.00,403.78M,0.00,403.78M,-96.75M,-8.326M,-105.08M,7.736M,-36.30M,279.71M,,212.07M,387.21M,599.28M,,403.78M,170.10M,-160.53M,0.00,,140.41M,,AOR,Restated
2004-09,108.52M,,-9.85M,-10.95M,-20.80M,61.70M,61.70M,,,,,-7.234M,-4.536M,,15.65M,-15.47M,20.84M,184.06M,,,,-0.824M,-45.51M,-77.00M,-288.21M,,121.22M,121.22M,0.00,0.00,72.53M,0.00,72.53M,-89.78M,-3.41M,-93.19M,20.12M,-29.88M,90.80M,,225.44M,-13.36M,212.07M,,72.53M,349.56M,-228.34M,0.00,,-2.075M,,AOR,Restated
2004-06,162.00M,,-65.90M,-16.48M,-82.39M,60.06M,60.06M,,,,,4.304M,,,,,-27.36M,141.30M,,,,-0.294M,0.00,-209.71M,-52.60M,,-78.60M,-78.60M,,,34.12M,0.00,34.12M,-89.26M,-3.57M,-92.83M,14.08M,-31.04M,-154.27M,,291.02M,-65.58M,225.44M,,34.12M,75.17M,-153.77M,0.00,,66.47M,,AOR,Restated
2004-03,82.44M,,-0.776M,-10.58M,-11.36M,58.46M,58.46M,,,,,4.323M,,,,,2.157M,153.32M,,,,-5.102M,0.00,34.56M,68.61M,,-9.756M,-9.756M,,,,-112.47M,-112.47M,-103.69M,-6.614M,-110.31M,20.01M,-38.94M,-251.46M,,320.54M,-29.52M,291.02M,,,150.43M,-160.18M,-112.47M,,48.98M,,AOR,Restated
2003-12,205.14M,,-161.33M,-16.97M,-178.30M,60.26M,60.26M,,,,,-17.97M,,,,,-38.51M,110.01M,,,,35.65M,1.015M,-260.82M,-72.38M,,204.86M,204.86M,,,119.97M,-103.24M,16.72M,-100.80M,-4.885M,-105.68M,90.68M,-47.52M,159.05M,,123.86M,196.68M,320.54M,,119.97M,363.50M,-158.64M,-103.24M,,66.57M,,AOR,Restated
2003-09,76.06M,,-1.266M,-11.87M,-13.14M,53.15M,53.15M,,,,,21.44M,,,,,23.62M,161.12M,,,,29.27M,-10.42M,11.40M,-67.05M,,-68.79M,-68.79M,,,0.00,0.00,0.00,-76.90M,-5.079M,-81.98M,29.86M,-22.50M,-143.41M,,173.20M,-49.34M,123.86M,,0.00,231.99M,-300.77M,0.00,,53.23M,,AOR,Restated
2003-06,87.76M,,1.294M,-24.15M,-22.85M,54.19M,54.19M,,,,,25.28M,,,,,-0.137M,144.23M,,,,-51.66M,,123.80M,23.69M,,-63.56M,-63.56M,,,0.00,0.00,0.00,-75.95M,-5.426M,-81.38M,23.83M,-50.51M,-171.62M,,176.89M,-3.692M,173.20M,,0.00,170.00M,-233.56M,0.00,,76.10M,,AOR,Restated
2003-03,91.74M,,-2.832M,-30.49M,-33.32M,52.31M,52.31M,,,,,26.22M,,,,,-16.71M,120.26M,,,,-28.59M,,25.95M,-21.22M,,-12.44M,-12.44M,,,,0.00,0.00,-74.22M,-5.425M,-79.65M,0.79M,-39.04M,-130.34M,,208.20M,-31.31M,176.89M,,,47.00M,-59.44M,0.00,,49.76M,,AOR,Restated
2002-12,45.98M,,18.52M,-21.20M,-2.674M,58.00M,58.00M,,,,6.875M,18.13M,,,,,26.01M,152.32M,,,,-38.03M,15.85M,-13.52M,-79.79M,,-33.54M,-33.54M,-0.055M,-0.055M,,,,-73.62M,-5.445M,-79.06M,0.817M,-41.85M,-178.70M,,314.36M,-106.16M,208.20M,,-0.055M,-22.07M,-11.48M,,,75.92M,,AOR,Restated
2002-09,64.94M,,-4.503M,-19.25M,-23.75M,52.32M,52.32M,,,,6.875M,30.06M,,,,,-30.24M,100.20M,,,,-13.22M,18.54M,114.18M,131.46M,,-488.71M,-488.71M,-0.15M,-0.15M,,,,-70.96M,-5.695M,-76.66M,1.727M,-37.70M,-601.49M,,684.18M,-369.82M,314.36M,,-0.15M,30.44M,-519.15M,,,57.96M,,AOR,Restated
2002-06,70.45M,,4.981M,-14.31M,-9.332M,47.36M,47.36M,,,,6.875M,27.69M,,,,,9.396M,152.44M,,,,-16.63M,53.44M,6.596M,-14.20M,,464.44M,464.44M,0.00,0.00,,,,-70.75M,-5.896M,-76.65M,14.79M,-27.84M,374.74M,,171.20M,512.98M,684.18M,,0.00,619.96M,-155.52M,,,57.17M,,AOR,Restated
2002-03,51.53M,,-1.531M,-19.35M,-20.88M,48.15M,48.15M,,,,6.875M,51.30M,,,,,-42.11M,94.86M,,,,-5.352M,,-61.17M,-61.60M,,-45.09M,-45.09M,56.66M,56.66M,,,,-99.08M,-6.131M,-105.22M,8.941M,-42.94M,-127.65M,,265.58M,-94.38M,171.20M,,56.66M,0.00,-45.09M,,,56.00M,,AOR,Restated
2001-12,64.34M,,-3.719M,-22.83M,-26.55M,32.46M,32.46M,,,,0.00,31.58M,,,,,24.63M,126.45M,,,,-41.19M,-4.378M,4.288M,-97.45M,,-240.68M,-240.68M,377.19M,377.19M,0.00,0.00,0.00,-58.27M,-8.736M,-67.00M,1.727M,-22.54M,48.70M,,187.88M,77.71M,265.58M,,377.19M,206.26M,-446.94M,0.00,,38.12M,,,Restated
2001-09,76.78M,,-6.495M,-23.30M,-29.79M,29.28M,29.28M,,,,0.00,18.82M,,,,,-26.72M,68.37M,,,,-42.92M,0.212M,-17.21M,77.69M,,-47.57M,-47.57M,0.00,0.00,52.67M,17.93M,70.60M,-52.55M,-26.81M,-79.36M,3.975M,-25.74M,-78.10M,,119.92M,67.96M,187.88M,,52.67M,229.00M,-276.57M,17.93M,,40.31M,,AOR,Restated
2001-06,66.11M,,-1.934M,-23.90M,-25.84M,30.09M,30.09M,,,,0.00,21.70M,,,,,16.43M,108.49M,,,,-11.84M,-3.971M,-16.88M,-13.26M,,-10.54M,-10.54M,0.00,0.00,,-17.93M,-17.93M,-45.80M,8.972M,-36.83M,4.422M,-26.42M,-87.30M,,111.98M,7.937M,119.92M,,0.00,44.69M,-55.24M,-17.93M,,42.35M,,AOR,Restated
2001-03,56.51M,,4.723M,-36.29M,-31.57M,31.86M,31.86M,,,,0.00,22.36M,,,,,5.215M,84.38M,,,,-13.38M,-4.258M,20.03M,-46.71M,,17.65M,17.65M,0.00,0.00,,,,-45.19M,-8.972M,-54.16M,1.132M,-27.29M,-62.67M,,136.99M,-25.01M,111.98M,,0.00,74.16M,-56.51M,,,50.38M,,AOR,Restated
2000-12,51.72M,,0.00,-31.04M,-31.04M,26.88M,26.88M,,,,,18.83M,,,,,38.38M,104.77M,,,,-25.28M,-0.67M,-1.383M,-195.95M,,143.31M,143.31M,,,8.903M,,8.903M,-44.19M,-17.91M,-62.10M,0.741M,-26.98M,63.88M,,164.28M,-27.30M,136.99M,,8.903M,147.07M,-3.764M,,,45.28M,,,Restated
2000-09,68.12M,,-8.405M,-19.18M,-27.59M,25.03M,25.03M,,,,,17.85M,,,,,-42.81M,40.60M,,,,-29.24M,-1.449M,-310.17M,-382.57M,,447.59M,447.59M,,,0.208M,,0.208M,-42.45M,0.00,-42.45M,8.499M,-6.727M,407.12M,,99.14M,65.15M,164.28M,,0.208M,458.04M,-10.45M,,,37.66M,,AOR,Restated
2000-06,56.95M,,0.00,-27.14M,-27.14M,24.69M,24.69M,,0.00,,,17.64M,,,,,-12.84M,59.30M,,,,-18.89M,-16.98M,-4.185M,-92.02M,,-71.94M,-71.94M,,,195.64M,,195.64M,-40.59M,-17.91M,-58.49M,0.619M,-38.67M,27.15M,,104.71M,-5.569M,99.14M,,195.64M,25.00M,-96.94M,,,42.84M,,AOR,Restated
2000-03,57.20M,,-2.56M,-26.66M,-29.22M,23.25M,23.25M,,0.00,,,15.85M,,,,,-21.83M,45.25M,,,,-26.56M,-7.427M,-7.055M,-28.83M,,42.49M,42.49M,,,,,,-41.46M,0.00,-41.46M,1.096M,-26.47M,-24.34M,,112.63M,-7.924M,104.71M,,,565.00M,-522.51M,,,39.54M,,AOR,Restated
1999-12,48.74M,,-0.018M,47.28M,47.26M,23.28M,23.28M,,,,,-69.35M,,,,,-0.86M,49.07M,,,,13.08M,-17.66M,-75.70M,-155.96M,,-24.02M,-24.02M,-343.16M,-340.66M,-193.28M,,524.72M,112.39M,21.61M,-49.80M,-2.436M,-29.05M,78.75M,,140.75M,-28.14M,112.60M,,-536.44M,250.00M,-274.02M,,,-108.71M,,,
1999-09,54.16M,,0.00,-6.882M,-6.882M,21.44M,21.44M,,,,,6.058M,,,,,-33.74M,41.04M,,,,-22.64M,5.506M,3.057M,-195.92M,,-48.48M,-48.48M,343.16M,343.16M,0.00,,0.00,-37.96M,-8.953M,-46.91M,2.181M,-15.82M,234.12M,,61.51M,79.24M,140.75M,,343.16M,40.00M,-88.48M,,,39.49M,,,Restated
1999-06,51.14M,,-0.089M,-21.51M,-21.60M,19.58M,19.58M,,,,,3.466M,,,,,13.87M,66.46M,,,,0.00,2.873M,18.26M,-1.228M,,-142.53M,-142.53M,,,110.98M,,110.98M,-37.38M,-7.662M,-45.05M,0.00,-7.256M,-83.85M,,80.14M,-18.62M,61.51M,,110.98M,0.00,-142.53M,,,34.08M,,,Restated
1999-03,48.47M,,-0.293M,-18.88M,-19.18M,19.29M,19.29M,,,,,2.028M,,,,,-30.27M,20.34M,,,,9.569M,0.18M,-34.91M,-141.09M,,1.037M,1.037M,,,82.30M,,82.30M,-37.05M,-4.993M,-42.04M,0.255M,-8.474M,33.08M,,167.81M,-87.67M,80.14M,,82.30M,165.00M,-163.96M,,,35.14M,,,Restated
1998-12,40.02M,,0.03M,9.928M,9.958M,17.60M,17.60M,,,,,10.26M,,,,,11.69M,89.52M,,,,308.80M,11.17M,-299.77M,-75.22M,,-8.01M,-8.01M,-445.28M,0.818M,,,85.30M,94.43M,16.27M,-62.60M,-0.812M,-2.09M,12.60M,,140.85M,27.00M,167.80M,,-445.28M,3.847M,-11.86M,,,-75.30M,,,
1998-09,45.08M,,-0.083M,0.045M,-0.038M,14.77M,14.77M,,,,,-14.51M,,,,,-27.63M,17.67M,,,,-143.17M,-51.35M,-0.41M,-202.50M,,108.31M,108.31M,0.00,0.00,0.00,,0.00,-35.54M,-5.423M,-40.96M,0.743M,0.00,68.10M,,257.58M,-116.73M,140.85M,,0.00,128.10M,-19.78M,,,31.94M,,,
1998-06,36.32M,,-0.056M,-5.933M,-5.989M,15.66M,15.66M,,,,,0.37M,,,,,0.42M,46.78M,,,,-165.63M,-8.804M,58.22M,-435.82M,,4.119M,4.119M,445.28M,445.28M,0.00,,0.00,-30.39M,-6.141M,-36.53M,-0.321M,-2.588M,409.96M,,236.66M,20.93M,257.58M,,445.28M,748.66M,-744.54M,,,23.95M,,,
1998-03,31.49M,,-1.391M,-4.04M,-5.431M,11.17M,11.17M,,,,,0.285M,,,,,-2.081M,35.43M,,,,0.00,1.287M,-2.84M,-543.86M,,428.48M,428.48M,,,0.00,,0.00,-28.50M,-4.704M,-33.21M,0.39M,-6.522M,389.14M,,355.95M,-119.30M,236.66M,,0.00,547.19M,-118.71M,,,19.42M,,,
1997-12,21.90M,,-0.089M,0.056M,-0.033M,31.39M,31.39M,,,,-18.75M,15.55M,,,,,1.432M,51.48M,,,,19.22M,-4.964M,-49.67M,-393.74M,,-14.49M,-14.49M,,689.30M,-276.00M,,0.00,50.09M,10.10M,-32.81M,-0.447M,-1.662M,639.89M,,58.37M,297.63M,356.00M,,-276.00M,247.00M,-261.49M,,,-29.98M,,,
1997-09,15.63M,,-0.332M,-0.081M,-0.413M,7.035M,7.035M,,,,6.249M,-0.96M,,,,,-14.51M,13.03M,,,,-19.22M,0.00,160.20M,-40.94M,,-90.67M,-90.67M,0.00,0.00,0.00,,0.00,-16.70M,-5.241M,-21.94M,0.254M,-1.181M,-113.54M,,199.83M,-141.46M,58.37M,,0.00,60.00M,-150.67M,,,15.98M,,,
1997-06,13.79M,,-0.292M,-0.186M,-0.478M,5.749M,5.749M,,,,6.249M,1.282M,,,,,4.646M,31.24M,,,,0.00,-3.436M,-255.52M,-629.53M,,452.91M,452.91M,0.00,0.00,276.00M,,276.00M,-16.70M,-4.855M,-21.55M,0.193M,-1.857M,705.69M,,92.43M,107.40M,199.83M,,276.00M,462.86M,-9.95M,,,10.18M,,,
1997-03,9.69M,,-0.287M,0.211M,-0.076M,3.228M,3.228M,,,,6.249M,-0.669M,,,,,1.331M,19.75M,,,,,0.00,0.082M,-0.283M,,-0.048M,-0.048M,,,,,,-16.69M,0.00,-16.69M,0.00,,-16.74M,,89.70M,2.731M,92.43M,,,0.142M,-0.19M,,,3.817M,,,
1996-12,15.42M,,-0.246M,-0.776M,-1.022M,5.269M,5.269M,,,,,0.112M,,,,,1.025M,20.80M,,,,,5.21M,0.00,1.869M,,-14.11M,-14.11M,,,,,,,,-15.04M,-5.366M,,45.29M,,21.77M,67.96M,0.00,,,0.00,-14.11M,,,-11.85M,,,
1996-09,14.94M,,-0.18M,0.342M,0.162M,3.189M,3.189M,,,,0.00,-0.635M,2.639M,,-1.188M,0.74M,-1.534M,16.12M,,,,0.00,0.298M,0.00,-0.129M,,-0.498M,-0.498M,,,0.00,,0.00,,,-14.93M,4.459M,,-10.97M,,16.75M,5.021M,21.77M,,0.00,0.00,-0.498M,,,3.948M,,,
1996-06,15.12M,,-0.116M,0.141M,0.025M,3.152M,3.152M,,,,0.00,-0.635M,-0.878M,,0.807M,-2.017M,-2.088M,15.57M,,,,0.00,0.00,0.00,-9.531M,,-0.384M,-0.384M,,,0.00,,0.00,14.81M,,-14.81M,0.231M,,-14.97M,,25.67M,-8.924M,16.75M,,0.00,0.00,-0.384M,,,3.937M,,,
1996-03,15.92M,,-0.358M,0.293M,-0.065M,3.09M,3.09M,,,,0.00,-0.642M,-1.761M,,0.381M,1.277M,-0.103M,18.20M,,,,,41.19M,-17.00M,22.69M,,-20.21M,-20.21M,,,,,,-14.81M,,-14.81M,0.676M,,-34.35M,,19.13M,6.545M,25.67M,,,20.00M,-40.21M,,,3.968M,,,
1995-12,14.41M,,0.23M,-1.92M,-1.69M,3.061M,3.061M,,,,,0.177M,0.68M,,-0.561M,3.167M,3.386M,19.04M,,,,105.25M,-97.88M,,5.227M,,-12.28M,-12.28M,-79.83M,1.369M,,,,39.30M,,-13.60M,-1.216M,,-26.23M,,21.12M,-1.961M,0.00,,-79.83M,8.20M,-20.48M,,,-11.73M,,,
1995-09,13.57M,,-0.079M,0.72M,0.641M,3.002M,3.002M,,,,,-0.69M,0.758M,,-0.822M,-0.24M,-0.304M,16.22M,,,,-5.073M,-1.636M,,-9.757M,,9.641M,9.641M,0.00,0.00,,,,-13.01M,,-13.01M,0.00,,-3.373M,,18.03M,3.086M,21.12M,,0.00,9.908M,-0.267M,,,3.659M,,,
1995-06,13.18M,,-0.293M,1.007M,0.714M,2.936M,2.936M,,,,,-0.692M,-1.183M,,-1.608M,-1.753M,-4.544M,11.60M,,,,-0.073M,0.141M,,-6.961M,,-70.25M,-70.25M,79.83M,79.83M,,,,-14.13M,,-14.13M,0.273M,,-4.28M,,17.68M,0.358M,18.03M,,79.83M,0.00,-70.25M,,,4.497M,,,
1995-03,11.84M,,0.142M,0.193M,0.335M,2.801M,2.801M,,,,,-0.495M,-0.255M,,2.991M,-1.174M,1.562M,16.04M,,,,-100.10M,12.07M,,-92.41M,,81.70M,81.70M,,,,,,-12.15M,,-12.15M,0.943M,,70.49M,,23.56M,-5.883M,17.68M,,,81.89M,-0.197M,,,3.578M,,,
1994-12,10.45M,,0.50M,,0.50M,2.793M,2.793M,,,,,1.60M,0.767M,,4.313M,-0.007M,0.473M,15.22M,,,,,1.684M,,-6.377M,,-0.291M,-0.291M,,0.60M,,,,32.42M,,-10.78M,-0.229M,,-10.70M,,25.38M,-1.858M,0.00,,,-0.177M,-0.114M,,,-8.964M,,,
1994-09,10.53M,,-0.257M,0.00,-0.257M,2.717M,2.717M,,,,,-0.50M,0.534M,,-0.26M,-0.437M,-0.163M,12.33M,,,,0.00,3.99M,,-5.631M,,11.72M,11.72M,0.00,0.00,,,,-10.79M,,-10.79M,0.229M,,1.168M,,17.51M,7.864M,25.38M,,0.00,11.58M,0.148M,,,2.124M,,,
1994-06,10.11M,,-0.05M,0.00,-0.05M,2.675M,2.675M,,,,,-0.50M,-0.172M,,-1.034M,0.128M,-1.078M,11.16M,,,,0.00,2.119M,,-2.574M,,-0.399M,-0.399M,0.00,0.00,,,,-10.77M,,-10.77M,0.00,,-11.17M,,20.10M,-2.584M,17.51M,,0.00,0.00,-0.399M,,,3.41M,,,
1994-03,10.10M,,-0.193M,0.00,-0.193M,2.615M,2.615M,,,,,-0.50M,-1.129M,,-3.019M,0.316M,-3.832M,8.194M,,,,0.00,2.207M,,-0.818M,,-0.535M,-0.535M,,,,,,-10.86M,,-10.86M,0.00,,-11.40M,,24.12M,-4.022M,20.10M,,,0.00,-0.535M,,,3.43M,,,
1993-12,8.20M,,-0.10M,,-0.10M,2.80M,2.80M,0.00,,,,-6.10M,,,10.10M,2.20M,9.90M,14.70M,,-22.40M,-22.40M,,32.20M,,9.80M,,-101.40M,-101.40M,,1.90M,,,,,,-9.60M,,-0.40M,-109.50M,,0.00,-85.00M,0.00,,,,-328.40M,,,,,,
1993-09,7.10M,,0.00,,0.00,2.90M,2.90M,0.00,,,,-1.20M,,,,,-0.70M,8.10M,,-2.00M,-2.00M,,-4.10M,,-6.10M,,-8.30M,-8.30M,,2.00M,,,,,,-9.40M,,-0.10M,-15.80M,,0.00,-13.80M,0.00,,,,-8.30M,,,,,,
1993-06,13.30M,,-0.10M,,-0.10M,2.80M,2.80M,-6.40M,,,,-0.80M,,,-3.90M,0.50M,-0.30M,8.50M,,-1.20M,-1.20M,,1.00M,,-0.20M,,-1.20M,-1.20M,,172.10M,,,,,,-6.50M,,-58.00M,106.40M,,0.00,114.60M,0.00,,,,-1.20M,,,,,,
1993-03,3.20M,,-0.10M,,-0.10M,2.90M,2.90M,,,,,-13.30M,,,3.90M,-0.50M,3.40M,-3.90M,,-1.40M,-1.40M,,-0.50M,,-1.90M,,-31.00M,-31.00M,,,,,,,,-5.00M,,-1.50M,-37.50M,,51.50M,-43.20M,0.00,,,,-31.00M,,,,,,
1992-12,-6.30M,,-1.00M,,-1.00M,3.00M,3.00M,,,,,12.00M,,,-5.80M,-0.90M,-6.70M,1.80M,,-2.50M,-2.50M,,27.00M,,24.40M,,27.30M,27.30M,,4.80M,,,,,,-4.60M,,-7.70M,19.80M,,0.00,45.90M,0.00,,,28.30M,-1.00M,,,,,,
1992-09,2.40M,,0.00,,0.00,2.80M,2.80M,,,,,-0.90M,,,0.00,-0.40M,-0.40M,3.90M,,-3.90M,-3.90M,,-0.90M,,-4.80M,,-0.20M,-0.20M,,-0.10M,,,,,,-4.30M,,0.10M,-4.50M,,0.00,-5.30M,0.00,,,4.40M,-4.60M,,,,,,
1992-06,2.60M,,-0.80M,,-0.80M,2.90M,2.90M,,,,,-0.50M,,,-0.80M,-0.20M,-1.00M,3.20M,,-2.20M,-2.20M,,1.90M,,-0.30M,,-1.30M,-1.30M,,0.10M,,,,,,-4.30M,,-0.10M,-5.60M,,0.00,-2.70M,0.00,,,,-1.30M,,,,,,
1992-03,2.50M,,-1.00M,,-1.00M,2.80M,2.80M,,,,,1.40M,,,1.60M,-0.30M,1.30M,7.00M,,-2.60M,-2.60M,,-0.20M,,-2.80M,,-1.00M,-1.00M,,-0.10M,,,,,,-4.30M,,0.10M,-5.30M,,14.70M,-1.10M,0.00,,,,-1.00M,,,,,,
1991-12,2.00M,,-0.70M,,-0.70M,3.00M,3.00M,,,,,4.90M,,,-3.70M,3.00M,-0.70M,13.30M,,-2.00M,-2.00M,,2.40M,,0.40M,,16.10M,16.10M,,0.10M,,,,,,-4.30M,,-19.50M,-7.60M,,0.00,6.10M,0.00,,,,-3.40M,,,,,,
1991-09,3.50M,,-2.20M,,-2.20M,2.70M,2.70M,,,,,1.10M,,,1.60M,0.30M,1.90M,7.00M,,-1.60M,-1.60M,,0.10M,,-1.50M,,-6.50M,-6.50M,,0.00,,,,,,-4.00M,,-0.10M,-10.60M,,0.00,-5.00M,0.00,,,,-6.50M,,,,,,
1991-06,2.10M,,-0.20M,,-0.20M,2.80M,2.80M,,,,,2.20M,,,-0.80M,-0.80M,-1.60M,5.30M,,-3.00M,-3.00M,,-8.10M,,-11.10M,,-1.00M,-1.00M,,0.00,,,,,,-4.10M,,9.80M,4.70M,,0.00,-1.10M,0.00,,,,-1.00M,,,,,,
1991-03,2.90M,,-1.80M,,-1.80M,2.80M,2.80M,,,,,5.60M,,,2.10M,-1.00M,1.10M,10.60M,,-1.10M,-1.10M,,-3.90M,,-5.00M,,-1.00M,-1.00M,,-1.00M,,,,,,-4.10M,,9.80M,3.70M,,5.50M,9.20M,0.00,,,,-1.00M,,,,,,
