,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2006-03,585.61M,647.34M,331.92M,315.42M,45.86M,45.86M,,,0.548M,,77.84M,,-81.42M,136.17M,179.25M,,77.84M,-81.42M,55.49M,-81.42M,153.32M,,153.32M,16.74M,,-20.85M,14.41M,149.21M,132.15M,325.35M,94.18M,231.17M,,0.8237,0.1177,,0.8214,0.9413,,0.7844,0.1079,,0.7823,0.8923,,143.95M,151.92M,0.7844,,AOR,Restated
2005-12,625.86M,679.67M,364.60M,315.07M,43.28M,43.28M,,,22.11M,,57.21M,,-57.21M,129.54M,185.52M,,57.21M,-57.21M,9.92M,-57.21M,138.23M,,133.24M,5.175M,,-18.45M,14.21M,119.96M,101.52M,289.66M,94.22M,195.44M,,0.6962,0.0392,,0.6192,0.7354,,0.6668,0.0294,,0.5898,0.6962,,172.35M,172.35M,0.7844,,AOR,
2005-09,600.08M,653.46M,351.99M,301.48M,48.05M,48.05M,,,13.45M,,123.88M,,-123.88M,130.08M,171.40M,,123.88M,-123.88M,20.55M,-123.88M,68.07M,,68.07M,1.229M,,-30.56M,11.52M,38.74M,29.44M,277.07M,85.12M,191.95M,,0.1863,0.0098,,0.1283,0.1961,,0.1765,0.0098,,0.1215,0.1863,,139.16M,146.66M,0.7452,,AOR,Restated
2005-06,541.56M,591.48M,282.43M,309.04M,45.80M,45.80M,,,0.00,,13.49M,,-13.49M,129.03M,180.02M,,13.49M,-13.49M,20.76M,-13.49M,187.28M,,187.28M,32.93M,,-39.13M,8.385M,181.08M,148.15M,286.79M,86.02M,200.77M,,1.059,0.2451,,1.059,1.304,,1.000,0.2255,,1.000,1.226,,132.76M,145.65M,0.7452,,AOR,Restated
2005-03,546.38M,596.18M,296.08M,300.10M,40.66M,40.66M,,,3.488M,,-23.50M,,23.50M,118.38M,181.72M,,-23.50M,23.50M,38.70M,23.50M,243.92M,,243.92M,1.635M,,-45.74M,12.39M,199.82M,196.09M,301.83M,81.41M,220.42M,,1.422,0.0098,,1.406,1.432,,1.353,0.0098,,1.338,1.363,,130.86M,138.00M,0.7452,,AOR,Restated
2004-12,445.54M,492.96M,218.46M,274.50M,54.88M,54.88M,,,19.00M,,-102.02M,,102.02M,123.49M,151.01M,,-102.02M,102.02M,32.78M,102.02M,285.81M,,285.81M,4.181M,,-50.04M,6.351M,239.95M,224.37M,257.39M,73.60M,183.79M,,1.785,0.0294,,1.697,1.814,,1.706,0.0196,,1.626,1.726,,129.61M,142.18M,0.7452,,AOR,Restated
2004-09,366.50M,415.30M,160.43M,254.86M,29.65M,29.65M,,,-1.475M,,43.29M,,-43.29M,89.00M,165.86M,,43.29M,-43.29M,9.511M,-43.29M,132.09M,,132.09M,9.885M,,-33.45M,4.022M,108.52M,99.52M,237.08M,61.70M,175.38M,,0.7354,0.0784,,0.7423,0.8139,,0.6962,0.0784,,0.7027,0.7746,,128.90M,135.11M,0.6962,,AOR,Restated
2004-06,354.30M,399.00M,143.43M,255.57M,29.94M,29.94M,,,0.00,,47.45M,,-47.45M,87.70M,167.87M,,47.45M,-47.45M,16.49M,-47.45M,136.91M,,136.91M,67.05M,,-41.96M,3.565M,162.00M,94.95M,244.42M,60.06M,184.36M,,0.7158,0.5197,,0.7158,1.235,,0.6864,0.5001,,0.6864,1.186,,127.96M,133.34M,0.6962,,AOR,Restated
2004-03,343.01M,391.37M,153.29M,238.08M,30.57M,30.57M,,,0.776M,,47.28M,,-49.12M,86.37M,151.71M,,47.28M,-49.12M,11.36M,-49.12M,113.95M,,113.95M,0.247M,,-31.76M,7.982M,82.44M,81.73M,219.69M,58.46M,161.22M,,0.5981,0.00,,0.5944,0.5981,,0.5785,0.00,,0.5749,0.5785,,124.00M,129.53M,0.6962,,AOR,Restated
2003-12,340.99M,386.57M,148.18M,238.39M,35.24M,35.24M,,,2.95M,,44.20M,,-50.09M,94.36M,144.03M,,44.20M,-50.09M,18.83M,-50.09M,112.77M,,112.77M,158.59M,,-66.21M,4.885M,205.14M,44.79M,217.23M,60.26M,156.97M,,0.3530,1.383,,0.3380,1.736,,0.3432,1.334,,0.3284,1.677,,118.02M,119.96M,0.6962,,AOR,Restated
2003-09,333.78M,380.17M,148.84M,231.32M,31.97M,31.97M,,,0.499M,,53.46M,,-53.46M,83.84M,147.48M,,53.46M,-53.46M,12.37M,-53.46M,106.39M,,106.39M,5.534M,,-35.86M,5.079M,76.06M,70.23M,213.00M,53.15M,159.85M,,0.5687,0.0490,,0.5661,0.6177,,0.5393,0.0490,,0.5368,0.5883,,115.27M,119.96M,0.6668,,AOR,Restated
2003-06,327.16M,371.14M,139.64M,231.49M,27.44M,27.44M,,,-1.294M,,54.01M,,-54.01M,80.42M,151.07M,,54.01M,-54.01M,22.85M,-54.01M,119.92M,,119.92M,4.955M,,-37.11M,5.426M,87.76M,83.58M,228.11M,54.19M,173.92M,,0.6864,0.0392,,0.6932,0.7256,,0.6570,0.0392,,0.6635,0.6962,,113.69M,119.20M,0.6668,,AOR,Restated
2003-03,321.72M,364.98M,146.37M,218.60M,27.24M,27.24M,,,0.188M,,47.10M,,-47.10M,77.88M,140.73M,,47.10M,-47.10M,30.68M,-47.10M,124.30M,,124.30M,6.099M,,-38.66M,5.425M,91.74M,85.53M,223.72M,52.31M,171.40M,,0.7256,0.0490,,0.7246,0.7746,,0.6962,0.0490,,0.6952,0.7452,,111.27M,115.42M,0.6668,,AOR,Restated
2002-12,307.44M,347.71M,132.07M,215.65M,33.11M,33.11M,,,-25.40M,,41.68M,,-50.02M,82.99M,132.66M,,41.68M,-50.02M,-4.20M,-50.02M,78.44M,,78.44M,-0.063M,0.00,-32.39M,5.445M,45.98M,61.29M,178.12M,58.00M,120.12M,,0.3530,0.0098,0.00,0.4917,0.3628,,0.3432,0.0098,0.0016,0.4782,0.3530,,109.87M,112.91M,0.6668,,AOR,Restated
2002-09,311.72M,354.55M,141.33M,213.22M,33.95M,33.95M,,,4.503M,,54.44M,,-54.44M,85.14M,128.08M,,54.44M,-54.44M,23.75M,-54.44M,97.40M,,97.40M,3.696M,0.00,-36.15M,5.695M,64.94M,58.54M,204.15M,52.32M,151.83M,,0.5099,0.0294,0.00,0.4851,0.5393,,0.5001,0.0294,0.00,0.4761,0.5295,,108.95M,112.54M,0.6472,,AOR,Restated
2002-06,310.50M,345.70M,121.59M,224.11M,30.38M,30.38M,,,-4.981M,,49.28M,,-49.28M,79.73M,144.39M,,49.28M,-49.28M,9.332M,-49.28M,104.44M,,104.44M,4.046M,0.00,-38.04M,5.896M,70.45M,69.39M,203.07M,47.36M,153.72M,,0.5589,0.0392,0.00,0.5866,0.5981,,0.5295,0.0392,0.00,0.5560,0.5687,,108.00M,112.91M,0.6472,,AOR,Restated
2002-03,311.64M,349.44M,127.45M,222.00M,30.34M,30.34M,,,1.531M,,48.38M,,-48.38M,78.49M,143.50M,,48.38M,-48.38M,20.88M,-48.38M,116.01M,,116.01M,0.00,-30.13M,-34.36M,6.131M,51.53M,80.74M,212.54M,48.15M,164.39M,,0.7158,-0.2844,0.00,0.7071,0.4314,,0.6864,-0.2844,-0.2867,0.6780,0.4118,,105.10M,109.34M,0.6472,,AOR,Restated
2001-12,184.58M,213.21M,86.01M,127.20M,20.01M,20.01M,,,-17.00M,,-23.40M,,-20.53M,49.40M,77.80M,,-23.40M,-20.53M,10.84M,-20.53M,68.10M,,68.10M,,-1.17M,-28.43M,8.736M,64.34M,49.87M,77.16M,32.46M,44.70M,,0.4757,,0.00,0.5822,0.5785,,0.4588,,-0.0123,0.5617,0.5589,,95.77M,99.16M,0.6472,,,Restated
2001-09,211.54M,250.26M,102.22M,148.04M,15.04M,15.04M,,,6.495M,,43.05M,14.58M,-28.47M,44.32M,103.72M,14.58M,43.05M,-28.47M,29.79M,-28.47M,105.05M,,105.05M,,,-28.27M,8.904M,76.78M,72.88M,177.38M,29.28M,148.10M,,0.7452,,,0.7022,0.7452,,0.7256,,,0.6841,0.7256,,90.54M,93.89M,0.5785,,AOR,Restated
2001-06,212.25M,246.08M,96.83M,149.24M,22.42M,22.42M,,,1.934M,,43.99M,15.87M,-28.12M,52.50M,96.74M,15.87M,43.99M,-28.12M,25.84M,-28.12M,94.46M,,94.46M,,,-28.35M,9.192M,66.11M,64.95M,168.54M,30.09M,138.46M,,0.6374,,,0.6243,0.6374,,0.6276,,,0.6149,0.6276,,88.62M,91.38M,0.5197,,AOR,Restated
2001-03,204.72M,242.61M,99.82M,142.79M,14.81M,14.81M,,,-4.723M,,49.40M,13.47M,-35.92M,46.67M,96.11M,13.47M,49.40M,-35.92M,26.57M,-35.92M,86.76M,,86.76M,,-2.94M,-27.31M,9.673M,56.51M,62.28M,168.02M,31.86M,136.16M,,0.5621,,0.00,0.5941,0.5295,,0.5461,,-0.0332,0.5772,0.5099,,88.55M,91.15M,0.5197,,AOR,Restated
2000-12,180.45M,216.73M,84.99M,131.74M,13.64M,13.64M,,,,,35.50M,,-35.50M,40.52M,91.22M,,35.50M,-35.50M,10.70M,-35.50M,66.42M,,66.42M,,,-26.79M,9.673M,51.72M,39.63M,128.81M,26.88M,101.93M,,0.3382,,,0.3382,0.4805,,0.3299,,,0.3299,0.4609,,88.44M,90.66M,0.5197,,,Restated
2000-09,178.62M,215.50M,82.70M,132.80M,13.30M,13.30M,,,8.405M,,34.99M,,-34.99M,38.33M,94.46M,,34.99M,-34.99M,36.68M,-34.99M,96.16M,,96.16M,,0.00,-28.04M,9.672M,68.12M,63.08M,156.17M,25.03M,131.14M,,0.6619,,0.00,0.6048,0.6668,,0.6388,,0.00,0.5837,0.6374,,88.30M,91.49M,0.4707,,AOR,Restated
2000-06,169.11M,198.74M,74.37M,124.38M,10.77M,10.77M,,,,,34.40M,,-34.40M,35.46M,88.92M,,34.40M,-34.40M,27.14M,-34.40M,81.66M,,81.66M,,,-24.71M,9.672M,56.95M,56.95M,140.75M,24.69M,116.06M,,0.5393,,,0.5393,0.5393,,0.5197,,,0.5197,0.5197,,88.11M,90.51M,0.4707,,AOR,Restated
2000-03,166.89M,195.28M,76.30M,118.97M,10.20M,10.20M,,,,,39.35M,5.759M,-33.59M,33.45M,85.52M,5.759M,39.35M,-33.59M,29.22M,-33.59M,81.15M,,81.15M,,-1.125M,-22.83M,9.673M,57.20M,56.78M,143.75M,23.25M,120.50M,,0.5522,,0.00,0.5348,0.5393,,0.5436,,-0.0128,0.5264,0.5295,,88.09M,89.50M,0.4707,,AOR,Restated
1999-12,229.28M,150.19M,,,12.68M,12.68M,,,,,,,,12.68M,,,,,,-29.79M,,,13.53M,,,-19.79M,9.635M,48.74M,48.74M,,23.28M,,,0.4412,,,0.4412,0.4412,,0.4412,,,0.4412,0.4412,,88.40M,88.40M,0.4707,,,
1999-09,153.60M,182.82M,74.64M,108.18M,7.722M,7.722M,,,,,35.08M,4.222M,-30.86M,29.16M,79.02M,4.222M,35.08M,-30.86M,20.33M,-30.86M,68.48M,,68.48M,,,-14.32M,9.672M,54.16M,54.16M,125.00M,21.44M,103.57M,,0.5099,,,0.5099,0.5099,,0.5001,,,0.5001,0.5001,,87.64M,89.22M,0.4314,,,Restated
1999-06,141.72M,166.19M,65.92M,100.26M,10.17M,10.17M,,,,,35.28M,4.90M,-30.38M,29.75M,70.51M,4.90M,35.28M,-30.38M,22.82M,-30.38M,62.94M,,62.94M,,,-11.80M,8.381M,51.14M,51.14M,117.81M,19.58M,98.23M,,0.4903,,,0.4903,0.4903,,0.4805,,,0.4805,0.4805,,87.33M,89.57M,0.4314,,,Restated
1999-03,138.16M,163.56M,65.04M,98.53M,9.628M,9.628M,,,,,35.62M,3.458M,-32.16M,28.92M,69.61M,3.458M,35.62M,-32.16M,20.10M,-32.16M,57.55M,,57.55M,,,-9.084M,5.712M,48.47M,48.47M,112.46M,19.29M,93.17M,,0.4903,,,0.4903,0.4903,,0.4805,,,0.4805,0.4805,,86.77M,88.42M,0.4314,,,Restated
1998-12,154.48M,94.99M,,,9.808M,9.808M,,,-0.049M,,,,,9.759M,,,,,,-28.13M,,,29.25M,,,-5.433M,5.432M,40.02M,40.04M,,17.60M,,,0.3922,,,0.3926,0.3922,,0.3922,,,0.3926,0.3922,,87.43M,87.43M,0.4314,,,
1998-09,118.20M,140.67M,58.61M,82.06M,6.775M,6.775M,,,9.649M,,34.03M,5.23M,-28.80M,22.98M,59.08M,5.23M,34.03M,-28.80M,18.50M,-28.80M,48.78M,,48.78M,,,-3.698M,5.423M,45.08M,39.29M,99.02M,14.77M,82.81M,,0.4609,,,0.3931,0.4609,,0.4511,,,0.3846,0.4511,,85.42M,87.12M,0.3922,,,
1998-06,109.36M,128.52M,51.45M,77.07M,7.07M,7.07M,,,,,26.68M,5.271M,-21.41M,22.10M,54.97M,5.271M,26.68M,-21.41M,7.246M,-21.41M,40.81M,,40.81M,,,-4.492M,5.422M,36.32M,36.32M,83.15M,15.66M,67.49M,,0.3726,,,0.3726,0.3726,,0.3628,,,0.3628,0.3628,,83.79M,85.92M,0.3922,,,
1998-03,72.36M,90.21M,34.15M,56.06M,4.947M,4.947M,,,,,12.26M,,-12.26M,15.31M,40.74M,,12.26M,-12.26M,5.576M,-12.26M,34.06M,,34.06M,,,-2.577M,5.423M,31.49M,31.49M,57.49M,11.17M,46.32M,,0.3530,,,0.3530,0.3530,,0.3432,,,0.3432,0.3432,,73.60M,75.83M,0.3922,,,
1997-12,89.25M,60.77M,,,-13.36M,-13.36M,,,,,,,,-13.36M,,,,,,-5.872M,,,17.30M,,,-2.70M,5.404M,21.90M,21.90M,,31.39M,,,0.2647,,,0.2647,0.2647,,0.2451,,,0.2451,0.2451,,63.94M,70.81M,0.3922,,,
1997-09,49.88M,61.87M,21.90M,39.97M,9.709M,9.709M,,,,,13.62M,6.086M,-7.536M,16.32M,23.65M,6.086M,13.62M,-7.536M,2.013M,-7.536M,18.13M,,18.13M,,,-2.50M,5.241M,15.63M,15.63M,38.78M,7.035M,31.75M,,0.1961,,,0.1961,0.1961,,0.1863,,,0.1863,0.1863,,53.23M,55.03M,0.3138,,,
1997-06,41.00M,50.66M,18.15M,32.51M,9.152M,9.152M,,,,,13.27M,9.241M,-4.031M,14.61M,17.90M,9.241M,13.27M,-4.031M,2.022M,-4.031M,15.89M,,15.89M,,,-2.10M,4.855M,13.79M,13.79M,34.91M,5.749M,29.16M,,0.1667,,,0.1667,0.1667,,0.1667,,,0.1667,0.1667,,53.22M,54.84M,0.3138,,,
1997-03,22.47M,29.30M,8.507M,20.79M,8.094M,8.094M,,,,,4.078M,2.417M,-1.661M,11.06M,9.729M,2.417M,4.078M,-1.661M,1.622M,-1.661M,9.69M,,9.69M,,,,,9.69M,9.69M,17.00M,3.228M,13.77M,,0.1863,,,0.1863,0.1863,,0.1765,,,0.1765,0.1765,,53.21M,54.15M,0.3138,,,
1996-12,51.52M,29.68M,,,1.311M,1.311M,,,,,,,,1.311M,,,,,,-7.056M,,,15.42M,,,,,15.42M,15.42M,,5.269M,,,0.3138,,,0.3138,0.3138,,0.2848,,,0.2848,0.2848,,48.88M,54.15M,0.2991,,,
1996-09,21.93M,29.06M,8.885M,20.18M,1.381M,1.381M,3.086M,,,,4.208M,3.097M,-1.111M,4.467M,15.71M,3.097M,4.208M,-1.111M,0.339M,-1.111M,14.94M,,14.94M,,,,,14.94M,14.83M,22.34M,3.189M,19.15M,,0.3040,,,0.3018,0.3040,,0.3040,,,0.3018,0.3040,,50.08M,50.08M,0.2991,,,
1996-06,21.82M,29.24M,9.145M,20.10M,1.319M,1.319M,3.054M,,,,4.192M,3.215M,-0.977M,4.373M,15.73M,3.215M,4.192M,-0.977M,0.37M,-0.977M,15.12M,,15.12M,,,,,15.12M,15.05M,22.46M,3.152M,19.31M,,0.3040,,,0.3026,0.3040,,0.3040,,,0.3026,0.3040,,49.90M,49.90M,0.2991,,,
1996-03,21.34M,28.61M,8.914M,19.70M,1.189M,1.189M,2.992M,,,,4.223M,3.267M,-0.956M,4.181M,15.52M,3.267M,4.223M,-0.956M,1.363M,-0.956M,15.92M,,15.92M,,,,,15.92M,15.71M,23.24M,3.09M,20.14M,,0.3187,,,0.3144,0.3187,,0.3187,,,0.3144,0.3187,,49.90M,49.90M,0.2991,,,
1995-12,43.41M,22.90M,,,1.682M,1.682M,,,,,,,,1.682M,,,,,0.07M,-0.718M,,,14.41M,,,,,14.41M,14.37M,,3.061M,,,1.392,,,1.391,1.392,,0.2914,,,0.2905,0.2914,,47.45M,49.46M,0.2746,,,
1995-09,20.41M,26.63M,8.095M,18.54M,1.181M,1.181M,2.895M,,,,3.922M,3.177M,-0.745M,4.076M,14.46M,3.177M,3.922M,-0.745M,-0.147M,-0.745M,13.57M,,13.57M,,,,,13.57M,13.52M,20.49M,3.002M,17.49M,,0.2746,,,0.2736,0.2746,,0.2746,,,0.2736,0.2746,,49.81M,49.81M,0.2746,,,
1995-06,20.01M,27.06M,7.427M,19.63M,2.134M,2.134M,2.726M,,,,4.387M,3.465M,-0.922M,4.86M,14.77M,3.465M,4.387M,-0.922M,-0.662M,-0.922M,13.18M,,13.18M,,,,,13.18M,13.01M,20.51M,2.936M,17.57M,,0.2746,,,0.2709,0.2746,,0.2746,,,0.2709,0.2746,,47.95M,47.95M,0.2746,,,
1995-03,18.97M,26.22M,7.56M,18.66M,1.703M,1.703M,2.618M,,,,4.185M,1.97M,-2.215M,4.321M,14.34M,1.97M,4.185M,-2.215M,-0.283M,-2.215M,11.84M,,11.84M,,,,,11.84M,11.92M,18.82M,2.801M,16.02M,,0.2647,,,0.2667,0.2647,,0.2647,,,0.2667,0.2647,,44.60M,44.60M,0.2746,,,
1994-12,35.85M,18.06M,,,1.982M,1.982M,,,,,,,,1.982M,,,,,,-9.032M,,,10.45M,,,,,10.45M,10.45M,,2.793M,,,0.2353,,,0.2353,0.2353,,0.2353,,,0.2353,0.2353,,44.04M,44.04M,0.2451,,,
1994-09,17.52M,22.86M,7.064M,15.79M,1.345M,1.345M,2.498M,,,,3.546M,1.87M,-1.676M,3.843M,11.95M,1.87M,3.546M,-1.676M,0.257M,-1.676M,10.53M,,10.53M,,,,,10.53M,10.38M,16.79M,2.717M,14.08M,,0.2353,,,0.2319,0.2353,,0.2353,,,0.2319,0.2353,,44.60M,44.78M,0.2451,,,
1994-06,17.39M,23.96M,8.084M,15.88M,1.632M,1.632M,2.457M,,,,3.628M,1.905M,-1.723M,4.089M,11.79M,1.905M,3.628M,-1.723M,0.05M,-1.723M,10.11M,,10.11M,,,,,10.11M,10.08M,16.42M,2.675M,13.74M,,0.2255,,,0.2249,0.2255,,0.2255,,,0.2249,0.2255,,44.60M,44.78M,0.2451,,,
1994-03,17.15M,23.03M,7.41M,15.62M,1.541M,1.541M,2.396M,,,,3.649M,1.88M,-1.769M,3.937M,11.68M,1.88M,3.649M,-1.769M,0.193M,-1.769M,10.10M,,10.10M,,,,,10.10M,9.988M,16.37M,2.615M,13.75M,,0.2255,,,0.2229,0.2255,,0.2255,,,0.2229,0.2255,,44.61M,44.61M,0.2451,,,
1993-12,13.40M,13.40M,,,1.20M,1.20M,,,,,,,,1.20M,,,,,,5.60M,8.20M,0.00,8.20M,0.00,,,,5.00M,8.20M,17.10M,2.80M,14.30M,,0.1765,0.00,,0.1765,0.0981,,0.0882,0.00,,0.0882,0.0098,,45.89M,69.97M,0.2157,,,
1993-09,11.90M,11.90M,,,0.70M,0.70M,,,,,,,,0.70M,,,,,,-8.40M,,,7.10M,,,,,7.10M,7.10M,,2.90M,,,0.1667,0.00,,0.1667,0.1667,,0.1667,0.00,,0.1667,0.1667,,42.59M,42.59M,0.2157,,,
1993-06,11.70M,11.70M,,,1.20M,1.20M,,,,,,,,1.20M,,,,,,-8.30M,4.80M,-8.50M,13.30M,-0.20M,,,,13.10M,13.30M,15.90M,2.80M,13.10M,,0.3432,-0.0098,,0.3432,0.3334,,0.3432,-0.0098,,0.3432,0.3334,,39.29M,39.29M,0.1520,,,
1993-03,11.00M,11.00M,,,1.20M,1.20M,,,,,,,,1.20M,,,,,,-8.40M,5.40M,2.20M,3.20M,-0.40M,,,,2.80M,3.20M,16.70M,2.90M,13.80M,,0.0981,-0.0098,,0.0981,0.0882,,0.0981,-0.0098,,0.0981,0.0882,,31.73M,31.73M,0.1503,,,
1992-12,11.20M,11.20M,,,1.00M,1.00M,,,,,,,,1.00M,,,,,,-8.40M,-10.20M,-3.90M,-6.30M,,,,,-6.30M,-6.30M,1.20M,3.00M,-1.80M,,-0.1863,0.00,,-0.1863,-0.1863,,-0.1863,0.00,,-0.1863,-0.1863,,22.61M,22.61M,0.1503,,,
1992-09,9.40M,9.40M,,,1.10M,1.10M,,,,,,,,1.10M,,,,,,-8.50M,4.00M,1.60M,2.40M,,,,,2.40M,2.40M,15.30M,2.80M,12.50M,,0.0784,0.00,,0.0784,0.0784,,0.0784,0.00,,0.0784,0.0784,,30.60M,30.60M,0.1373,,,
1992-06,10.20M,10.20M,,,1.20M,1.20M,,,,,,,,1.20M,,,,,,-8.50M,4.30M,1.70M,2.60M,,,,,2.60M,2.60M,15.70M,2.90M,12.80M,,0.0784,0.00,,0.0784,0.0784,,0.0784,0.00,,0.0784,0.0784,,33.14M,33.14M,0.1373,,,
1992-03,9.90M,9.90M,,,1.00M,1.00M,,,,,,,,1.00M,,,,,,-8.50M,4.20M,1.70M,2.50M,,,,,2.50M,2.50M,15.50M,2.80M,12.70M,,0.0784,0.00,,0.0784,0.0784,,0.0784,0.00,,0.0784,0.0784,,31.87M,31.87M,0.1373,,,
1991-12,9.70M,9.70M,,,1.50M,1.50M,,,,,,,,1.50M,,,,,0.70M,-6.40M,3.80M,1.80M,2.00M,,,,,1.70M,1.58M,15.40M,3.00M,12.40M,,0.0490,-0.0098,,0.0379,0.0392,,0.0490,-0.0098,,0.0379,0.0392,,37.91M,37.91M,0.1373,,,
1991-09,11.30M,11.30M,,,1.20M,1.20M,,,,,,,,1.20M,,,,,2.30M,-6.30M,5.80M,2.30M,3.50M,,,,,3.50M,2.112M,17.30M,2.70M,14.60M,,0.1079,0.00,,0.0651,0.1079,,0.1079,0.00,,0.0651,0.1079,,32.45M,32.45M,0.1307,,,
1991-06,9.10M,9.10M,,,1.20M,1.20M,,,,,,,,1.20M,,,,,0.10M,-6.40M,3.50M,1.40M,2.10M,,,,,2.10M,2.04M,15.10M,2.80M,12.30M,,0.0686,0.00,,0.0667,0.0686,,0.0686,0.00,,0.0667,0.0686,,30.60M,30.60M,0.1307,,,
1991-03,10.40M,10.40M,,,0.90M,0.90M,,,,,,,,0.90M,,,,,1.80M,-6.50M,4.90M,2.00M,2.90M,,,,,2.90M,1.82M,16.50M,2.80M,13.70M,,0.0882,0.00,,0.0554,0.0882,,0.0882,0.00,,0.0554,0.0882,,32.86M,32.86M,0.1307,,,
1990-10,,,,,,,,,,,,,,,,,,,,,,,-2.30M,,,,,-2.30M,-2.30M,,,-2.30M,,-0.0784,0.00,,-0.0784,-0.0784,,-0.0784,0.00,,-0.0784,-0.0784,,29.32M,29.32M,0.1307,,,
1990-07,,,,,,,,,,,,,,,,,,,,,,,3.20M,,,,,3.20M,3.20M,,,,,0.0981,0.00,,0.0981,0.0981,,0.0981,0.00,,0.0981,0.0981,,32.63M,32.63M,,,,
1990-04,,,,,,,,,,,,,,,,,,,,,,,3.40M,,,,,3.40M,3.40M,,,,,0.0981,0.00,,0.0981,0.0981,,0.0981,0.00,,0.0981,0.0981,,34.67M,34.67M,,,,
1990-01,,,,,,,,,,,,,,,,,,,,,,,2.50M,,,,,2.50M,2.50M,,,,,0.0784,0.00,,0.0784,0.0784,,0.0784,0.00,,0.0784,0.0784,,31.77M,31.77M,,,,
1989-10,,,,,,,,,,,,,,,,,,,,,,,3.30M,,,,,3.30M,3.30M,,,,,0.0981,0.00,,0.0981,0.0981,,0.0981,0.00,,0.0981,0.0981,,33.65M,33.65M,,,,
1989-07,,,,,,,,,,,,,,,,,,,,,,,2.80M,,,,,2.80M,,,,,,0.0784,0.00,,0.0784,0.0784,,0.0784,0.00,,0.0784,0.0784,,33.19M,33.19M,,,,
1989-04,,,,,,,,,,,,,,,,,,,,,,,1.70M,,,,,1.70M,,,,,,0.0490,0.00,,0.0490,0.0490,,0.0490,0.00,,0.0490,0.0490,,33.18M,33.18M,,,,
1989-01,,,,,,,,,,,,,,,,,,,,,,,1.70M,,,,,1.70M,,,,,,,,,,,,,,,,,,33.19M,33.19M,,,,
1988-10,,,,,,,,,,,,,,,,,,,,,,,3.00M,,,,,3.00M,,,,,,0.0882,0.00,,0.0882,0.0882,,0.0882,0.00,,0.0882,0.0882,,34.86M,34.86M,,,,
1988-07,,,,,,,,,,,,,,,,,,,,,,,2.50M,,,,,2.50M,,,,,,0.0686,0.00,,0.0686,0.0686,,0.0686,0.00,,0.0686,0.0686,,35.82M,35.82M,,,,
1988-04,,,,,,,,,,,,,,,,,,,,,,,2.80M,,,,,2.80M,,,,,,0.0784,0.00,,0.0784,0.0784,,0.0784,0.00,,0.0784,0.0784,,38.59M,38.59M,,,,
1988-01,,,,,,,,,,,,,,,,,,,,,,,1.30M,,,,,1.30M,,,,,,,,,,,,,,,,,,35.82M,35.82M,,,,
1987-10,,,,,,,,,,,,,,,,,,,,,,,2.80M,,,,,2.80M,,,,,,0.0686,0.00,,0.0686,0.0686,,0.0686,0.00,,0.0686,0.0686,,38.59M,38.59M,,,,
1987-07,,,,,,,,,,,,,,,,,,,,,,,2.40M,,,,,2.40M,,,,,,0.0588,0.00,,0.0588,0.0588,,0.0588,0.00,,0.0588,0.0588,,38.97M,38.97M,,,,
1987-04,,,,,,,,,,,,,,,,,,,,,,,3.40M,,,,,3.40M,,,,,,0.0882,0.00,,0.0882,0.0882,,0.0882,0.00,,0.0882,0.0882,,41.30M,41.30M,,,,
1987-01,,,,,,,,,,,,,,,,,,,,,,,4.60M,,,,,4.60M,,,,,,,,,,,,,,,,,,39.98M,39.98M,,,,
1986-10,,,,,,,,,,,,,,,,,,,,,,,2.10M,,,,,2.10M,,,,,,0.0882,0.00,,0.0882,0.0882,,0.0882,0.00,,0.0882,0.0882,,47.31M,47.31M,,,,
1986-07,,,,,,,,,,,,,,,,,,,,,,,3.30M,,,,,3.30M,,,,,,0.0588,0.00,,0.0588,0.0588,,0.0588,0.00,,0.0588,0.0588,,48.13M,48.13M,,,,
1986-04,,,,,,,,,,,,,,,,,,,,,,,4.00M,,,,,4.00M,,,,,,0.0588,0.00,,0.0588,0.0588,,0.0588,0.00,,0.0588,0.0588,,50.72M,50.72M,,,,
1986-01,,,,,,,,,,,,,,,,,,,,,,,2.90M,,,,,2.90M,,,,,,,,,,,,,,,,,,49.97M,49.97M,,,,
