,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2001-09,976.52M,976.52M,835.38M,141.14M,102.38M,0.55M,,,,,102.38M,38.77M,,,,0.55M,,37.14M,13.56M,23.58M,,,23.58M,23.23M,47.56M,,2001-09,0.22,0.00,0.2167,2001-09,0.215,0.00,0.2118,0.215,107.26M,109.74M,0.00,,
2001-06,1.041B,1.041B,911.96M,129.46M,92.69M,0.601M,,,,,92.69M,36.77M,,,,0.601M,,35.46M,12.94M,22.52M,,,22.52M,22.14M,46.80M,,2001-06,0.21,0.00,0.2064,2001-06,0.205,0.00,0.2015,0.205,107.24M,109.85M,0.00,,
2001-03,1.010B,1.010B,888.46M,121.41M,86.29M,0.664M,,,,,86.29M,35.13M,,,,0.664M,,33.95M,12.39M,21.56M,,,21.56M,21.14M,45.88M,,2001-03,0.2025,0.00,0.1985,2001-03,0.1975,0.00,0.1936,0.1975,106.47M,109.16M,0.00,,
2000-12,929.18M,929.18M,816.53M,112.66M,79.47M,0.526M,,,,,79.47M,33.19M,,,,0.526M,,31.65M,11.55M,20.10M,,,20.10M,19.77M,42.55M,,2000-12,0.19,0.00,0.1868,2000-12,0.1875,0.00,0.1844,0.1875,105.79M,107.20M,0.00,,
2000-09,870.23M,870.23M,748.37M,121.86M,77.91M,0.525M,,,,,89.19M,32.67M,,,,0.525M,,31.03M,11.48M,19.55M,,,19.55M,19.22M,43.94M,,2000-09,0.1875,0.00,0.1843,2000-09,0.185,0.00,0.1819,0.185,104.00M,105.69M,0.00,,
2000-06,857.83M,857.83M,736.36M,121.47M,80.19M,0.473M,,,,,89.76M,31.71M,,,,0.473M,,30.56M,11.46M,19.10M,,,19.10M,18.80M,41.28M,,2000-06,0.1825,0.00,0.1797,2000-06,0.18,0.00,0.1772,0.18,104.66M,106.11M,0.00,,
2000-03,881.80M,881.80M,762.46M,119.34M,79.28M,0.677M,,,,,89.13M,30.21M,,,,0.677M,,28.96M,10.86M,18.10M,,,18.10M,17.68M,40.05M,,2000-03,0.1725,0.00,0.1685,2000-03,0.1725,0.00,0.1685,0.1725,104.93M,104.93M,0.00,,
1999-12,809.00M,809.00M,696.00M,113.00M,73.70M,-37.50M,,,,,83.10M,29.90M,,,,-37.50M,,-9.30M,-3.50M,-5.80M,,,-5.80M,17.59M,39.30M,,1999-12,-0.055,0.00,0.1668,1999-12,-0.055,0.00,0.1668,-0.055,105.45M,105.45M,0.00,,
1999-09,768.00M,768.00M,651.60M,116.40M,79.70M,1.10M,,,,,87.90M,28.50M,,,,1.10M,,27.70M,10.40M,17.30M,,,17.30M,16.61M,36.70M,,1999-09,0.1675,0.00,0.1608,1999-09,0.1625,0.00,0.1560,0.1625,103.31M,106.50M,0.00,,
1999-06,771.90M,771.90M,654.30M,117.60M,79.90M,1.00M,,,,,89.00M,28.60M,,,,1.00M,,26.90M,10.10M,16.80M,,,16.80M,16.18M,37.70M,,1999-06,0.1625,0.00,0.1565,1999-06,0.1575,0.00,0.1516,0.1575,103.38M,106.67M,0.00,,
1999-03,779.87M,779.87M,659.30M,120.57M,84.20M,,,,,,92.50M,28.07M,,,,,,25.90M,9.70M,16.20M,,,16.20M,16.20M,36.37M,,1999-03,0.1575,0.00,0.1575,1999-03,0.1525,0.00,0.1525,0.1525,102.86M,106.23M,0.00,,
1998-12,555.20M,555.20M,480.90M,74.30M,45.20M,1.00M,,,,,51.20M,23.10M,,,,1.00M,,24.10M,8.90M,15.20M,,,15.20M,14.57M,29.10M,,1998-12,0.1475,0.00,0.1414,1998-12,0.145,0.00,0.1390,0.145,103.05M,104.83M,0.00,,
1998-09,544.90M,544.90M,471.30M,73.60M,46.50M,-1.60M,,,,,51.60M,22.00M,,,,-1.60M,,23.20M,8.80M,14.40M,,,14.40M,15.39M,27.10M,,1998-09,0.14,0.00,0.1497,1998-09,0.1375,0.00,0.1470,0.1375,102.87M,104.74M,0.00,,
1998-06,525.00M,525.00M,451.00M,74.00M,44.90M,0.30M,,,,,51.60M,22.40M,,,,0.30M,,22.80M,8.90M,13.90M,,,13.90M,13.72M,29.10M,,1998-06,0.135,0.00,0.1332,1998-06,0.1325,0.00,0.1308,0.1325,102.96M,104.91M,0.00,,
