,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-03,34.00M,,34.00M,1.176B,1.176B,618.00M,,,1.522B,2.14B,,88.00M,3.438B,0.0,312.00M,2.449B,4.322B,,238.00M,7.321B,-3.535B,3.786B,2.511B,128.00M,2.639B,331.00M,6.756B,10.19B,960.00M,,960.00M,238.00M,1.198B,,,187.00M,187.00M,607.00M,1.992B,2.755B,2.755B,435.00M,435.00M,,435.00M,3.625B,5.617B,37.00M,2.878B,1.831B,212.00M,,,43.00M,4.577B
2006-12,45.00M,,45.00M,1.135B,1.135B,319.00M,,,1.727B,2.046B,,139.00M,3.365B,0.0,311.00M,2.465B,4.27B,,256.00M,7.302B,-3.448B,3.854B,2.512B,135.00M,2.647B,331.00M,6.832B,10.20B,1.064B,,1.064B,212.00M,1.276B,,,184.00M,184.00M,558.00M,2.018B,2.777B,2.777B,453.00M,453.00M,,438.00M,3.668B,5.686B,37.00M,2.824B,1.825B,222.00M,,,47.00M,4.511B
2006-09,28.00M,770.00M,798.00M,1.183B,1.183B,294.00M,,,1.763B,2.057B,,149.00M,4.187B,0.0,316.00M,2.453B,4.27B,,279.00M,7.318B,-3.373B,3.945B,2.512B,136.00M,2.648B,341.00M,6.934B,11.12B,942.00M,,942.00M,,942.00M,,,992.00M,992.00M,912.00M,2.846B,2.987B,2.987B,495.00M,495.00M,,353.00M,3.835B,6.681B,37.00M,2.781B,1.835B,230.00M,38.00M,-21.00M,17.00M,4.44B
2006-06,44.00M,760.00M,804.00M,1.209B,1.209B,,1.21B,562.00M,323.00M,2.095B,,113.00M,4.221B,0.0,310.00M,2.39B,4.214B,,435.00M,7.349B,-3.309B,4.04B,2.50B,139.00M,2.639B,346.00M,7.025B,11.25B,954.00M,,954.00M,265.00M,1.219B,,,1.049B,1.049B,649.00M,2.917B,3.063B,3.063B,589.00M,589.00M,,167.00M,3.819B,6.736B,37.00M,2.851B,1.824B,230.00M,,,28.00M,4.51B
2006-03,39.00M,751.00M,790.00M,1.145B,1.145B,327.00M,,,1.791B,2.118B,,118.00M,4.171B,0.0,308.00M,2.356B,4.105B,,491.00M,7.26B,-3.21B,4.05B,2.502B,140.00M,2.642B,409.00M,7.101B,11.27B,990.00M,,990.00M,287.00M,1.277B,,,803.00M,803.00M,691.00M,2.771B,3.183B,3.183B,576.00M,576.00M,,165.00M,3.924B,6.695B,37.00M,2.917B,1.821B,231.00M,,,33.00M,4.577B
2005-12,30.00M,,30.00M,1.254B,1.254B,,,,,2.154B,,182.00M,3.62B,0.0,307.00M,2.848B,4.041B,,,7.196B,-3.127B,4.069B,,2.643B,2.643B,367.00M,7.079B,10.70B,1.155B,,1.155B,,1.155B,,,878.00M,878.00M,1.03B,3.063B,2.11B,2.11B,647.00M,647.00M,,168.00M,2.925B,5.988B,37.00M,3.057B,1.815B,230.00M,,,32.00M,4.711B
2005-09,40.00M,,40.00M,1.214B,1.214B,315.00M,,,1.747B,2.062B,,169.00M,3.485B,0.0,308.00M,2.339B,4.015B,,407.00M,7.069B,-3.062B,4.007B,2.502B,142.00M,2.644B,368.00M,7.019B,10.50B,961.00M,,961.00M,269.00M,1.23B,,,126.00M,126.00M,801.00M,2.157B,2.869B,2.869B,638.00M,638.00M,,169.00M,3.676B,5.833B,37.00M,3.032B,1.867B,238.00M,,,-27.00M,4.671B
2005-06,32.00M,,32.00M,1.19B,1.19B,,,,,2.022B,,115.00M,3.359B,0.0,305.00M,2.326B,4.004B,,363.00M,6.998B,-3.026B,3.972B,,2.673B,2.673B,362.00M,7.007B,10.37B,896.00M,,896.00M,,896.00M,,,302.00M,302.00M,1.182B,2.38B,2.593B,2.593B,691.00M,691.00M,,174.00M,3.458B,5.838B,37.00M,2.928B,1.837B,241.00M,,,-33.00M,4.528B
2005-03,35.00M,,35.00M,1.115B,1.115B,,,,,2.085B,,147.00M,3.382B,0.0,303.00M,2.316B,3.991B,,279.00M,6.889B,-2.953B,3.936B,,2.70B,2.70B,353.00M,6.989B,10.37B,840.00M,,840.00M,283.00M,1.123B,,,499.00M,499.00M,781.00M,2.403B,2.703B,2.703B,694.00M,694.00M,,167.00M,3.564B,5.967B,37.00M,2.825B,1.839B,246.00M,,,-51.00M,4.404B
2004-12,41.00M,,41.00M,1.168B,1.168B,,,,,2.021B,,131.00M,3.361B,0.0,304.00M,2.314B,4.01B,,254.00M,6.882B,-2.925B,3.957B,,2.558B,2.558B,468.00M,6.983B,10.34B,1.006B,,1.006B,,1.006B,,,364.00M,364.00M,1.07B,2.44B,2.706B,2.706B,691.00M,691.00M,,165.00M,3.562B,6.002B,37.00M,2.763B,1.848B,252.00M,,,-54.00M,4.342B
2004-09,33.00M,,33.00M,1.24B,1.24B,,,,,2.063B,,196.00M,3.532B,0.0,305.00M,2.307B,3.981B,,218.00M,6.811B,-2.847B,3.964B,,2.707B,2.707B,261.00M,6.932B,10.46B,945.00M,,945.00M,,945.00M,,,338.00M,338.00M,1.01B,2.293B,3.024B,3.024B,695.00M,695.00M,,160.00M,3.879B,6.172B,37.00M,2.728B,1.849B,264.00M,,,-58.00M,4.292B
2004-06,51.00M,,51.00M,1.247B,1.247B,,,,,2.076B,,166.00M,3.54B,0.0,303.00M,2.311B,3.988B,,225.00M,6.827B,-2.843B,3.984B,,2.737B,2.737B,276.00M,6.997B,10.54B,905.00M,,905.00M,,905.00M,,,538.00M,538.00M,1.188B,2.631B,2.785B,2.785B,682.00M,682.00M,,183.00M,3.65B,6.281B,37.00M,2.676B,1.86B,259.00M,,,-58.00M,4.256B
2004-03,70.00M,,70.00M,1.158B,1.158B,,,,,1.901B,,147.00M,3.276B,0.0,301.00M,2.31B,3.937B,,226.00M,6.774B,-2.781B,3.993B,,2.739B,2.739B,224.00M,6.956B,10.23B,792.00M,,792.00M,,792.00M,,,399.00M,399.00M,1.056B,2.247B,2.986B,2.986B,677.00M,677.00M,,178.00M,3.841B,6.088B,37.00M,2.529B,1.858B,262.00M,,,-18.00M,4.144B
2003-12,40.00M,,40.00M,1.266B,1.266B,,,,,1.977B,,97.00M,3.38B,0.0,305.00M,2.326B,3.874B,,240.00M,6.745B,-2.694B,4.051B,,2.741B,2.741B,247.00M,7.039B,10.42B,991.00M,,991.00M,,991.00M,,,408.00M,408.00M,1.024B,2.423B,3.082B,3.082B,676.00M,676.00M,,225.00M,3.983B,6.406B,37.00M,2.423B,1.86B,253.00M,,,-54.00M,4.013B
2003-09,25.00M,,25.00M,1.28B,1.28B,,,,,1.994B,,72.00M,3.371B,0.0,297.00M,2.293B,3.886B,,177.00M,6.653B,-2.614B,4.039B,,2.834B,2.834B,242.00M,7.115B,10.49B,838.00M,,838.00M,,838.00M,,,490.00M,490.00M,1.147B,2.475B,3.114B,3.114B,722.00M,722.00M,,221.00M,4.057B,6.532B,37.00M,2.38B,1.861B,252.00M,,,-72.00M,3.954B
2003-06,100.00M,,100.00M,1.308B,1.308B,,,,,1.936B,,121.00M,3.465B,0.0,294.00M,2.23B,3.713B,,328.00M,6.565B,-2.534B,4.031B,,2.818B,2.818B,342.00M,7.191B,10.66B,803.00M,,803.00M,,803.00M,,,192.00M,192.00M,1.115B,2.11B,3.798B,3.798B,690.00M,690.00M,,233.00M,4.721B,6.831B,37.00M,2.246B,1.876B,290.00M,,,-44.00M,3.825B
2003-03,71.00M,,71.00M,1.178B,1.178B,,,,,1.866B,,111.00M,3.226B,0.0,293.00M,2.211B,3.624B,,305.00M,6.433B,-2.44B,3.993B,,2.82B,2.82B,324.00M,7.137B,10.36B,749.00M,,749.00M,,749.00M,,,137.00M,137.00M,1.084B,1.97B,3.769B,3.769B,646.00M,646.00M,,240.00M,4.655B,6.625B,37.00M,2.181B,1.876B,287.00M,,,-69.00M,3.738B
2002-12,76.00M,,76.00M,1.257B,1.257B,,,,,1.876B,,137.00M,3.346B,0.0,299.00M,2.517B,3.552B,,,6.368B,-2.348B,4.02B,,2.633B,2.633B,544.00M,7.197B,10.54B,806.00M,,806.00M,,806.00M,,,276.00M,276.00M,1.10B,2.182B,3.797B,3.797B,641.00M,641.00M,,246.00M,4.684B,6.866B,37.00M,2.123B,1.878B,279.00M,,,-82.00M,3.677B
2002-09,51.00M,,51.00M,1.101B,1.101B,,,,,1.885B,,107.00M,3.144B,0.0,296.00M,2.568B,3.419B,,,6.283B,-2.245B,4.038B,,2.633B,2.633B,557.00M,7.228B,10.37B,755.00M,,755.00M,,755.00M,,,254.00M,254.00M,1.084B,2.093B,3.733B,3.733B,643.00M,643.00M,,241.00M,4.617B,6.71B,37.00M,2.097B,1.879B,265.00M,,,-86.00M,3.662B
2002-06,48.00M,,48.00M,1.232B,1.232B,764.00M,,1.114B,,1.878B,,72.00M,3.23B,0.0,289.00M,2.149B,3.405B,,478.00M,6.321B,-2.17B,4.151B,,2.633B,2.633B,580.00M,7.364B,10.59B,790.00M,,790.00M,,790.00M,,,493.00M,493.00M,1.065B,2.348B,3.765B,3.765B,638.00M,638.00M,,231.00M,4.634B,6.982B,37.00M,2.027B,1.88B,263.00M,,,-69.00M,3.612B
2002-03,50.00M,,50.00M,1.112B,1.112B,,,,,1.945B,,57.00M,3.164B,0.0,290.00M,2.149B,3.374B,-1.00M,392.00M,6.204B,-2.089B,4.115B,2.619B,,2.619B,576.00M,7.31B,10.47B,743.00M,,743.00M,,743.00M,,,526.00M,526.00M,1.051B,2.32B,3.775B,3.775B,618.00M,618.00M,,236.00M,4.629B,6.949B,37.00M,1.934B,1.881B,259.00M,,,-68.00M,3.525B
2001-12,92.00M,,92.00M,1.121B,1.121B,,,,,1.907B,,56.00M,3.176B,,,,,,,5.732B,-1.644B,4.088B,,2.756B,2.756B,423.00M,7.267B,10.44B,820.00M,,820.00M,940.00M,1.76B,,,453.00M,453.00M,,2.213B,3.895B,3.895B,625.00M,625.00M,,237.00M,4.757B,6.97B,37.00M,1.884B,1.884B,254.00M,,,-78.00M,3.473B
2001-09,70.00M,,70.00M,1.199B,1.199B,,,,,1.911B,,110.00M,3.29B,0.0,288.00M,2.464B,3.218B,,,5.97B,-1.885B,4.085B,,2.618B,2.618B,639.00M,7.342B,10.63B,799.00M,,799.00M,,799.00M,,,760.00M,760.00M,857.00M,2.416B,4.016B,4.016B,609.00M,609.00M,,237.00M,4.862B,7.278B,37.00M,1.77B,1.92B,333.00M,,,-40.00M,3.354B
2001-06,71.20M,,71.20M,527.80M,527.80M,,,,,972.40M,,48.90M,1.620B,0.0,177.90M,1.320B,2.310B,,119.70M,3.928B,-1.80B,2.128B,930.20M,,930.20M,311.20M,3.369B,4.989B,331.40M,,331.40M,144.10M,475.50M,29.50M,16.40M,45.90M,45.90M,263.10M,784.50M,1.614B,1.614B,367.80M,367.80M,,78.60M,2.060B,2.845B,24.10M,1.730B,734.80M,330.30M,,,-14.60M,2.144B
2001-03,83.50M,,83.50M,502.50M,502.50M,,,,,958.50M,,58.60M,1.603B,0.0,174.70M,1.298B,2.269B,,92.30M,3.834B,-1.741B,2.092B,,921.60M,921.60M,254.00M,3.268B,4.871B,327.40M,,327.40M,121.60M,449.00M,81.80M,73.10M,154.90M,154.90M,266.00M,869.90M,1.448B,1.448B,366.70M,366.70M,,48.10M,1.862B,2.732B,24.10M,1.720B,734.60M,314.60M,,,-25.00M,2.139B
2000-12,33.00M,,33.00M,506.00M,506.00M,,,,,984.00M,,43.00M,1.566B,,,,,,,3.522B,-1.421B,2.101B,,929.00M,929.00M,203.00M,3.233B,4.799B,326.00M,,326.00M,,326.00M,,,123.00M,123.00M,392.00M,841.00M,1.342B,1.342B,389.00M,389.00M,,51.00M,1.782B,2.623B,24.00M,1.734B,735.00M,311.00M,,,-6.00M,2.176B
2000-09,43.00M,,43.00M,508.00M,508.00M,,,,,965.00M,,47.00M,1.563B,,,,,,,3.785B,-1.644B,2.141B,,937.00M,937.00M,200.00M,3.278B,4.841B,333.00M,,333.00M,355.00M,688.00M,62.00M,123.00M,185.00M,185.00M,,873.00M,1.357B,1.357B,385.00M,385.00M,,50.00M,1.792B,2.665B,24.00M,1.716B,735.00M,285.00M,,,-14.00M,2.176B
2000-06,22.90M,,22.90M,,543.00M,,,,,1.014B,,16.10M,1.596B,,,,,,,3.571B,-1.421B,2.150B,,944.40M,944.40M,206.60M,3.301B,4.898B,320.10M,,320.10M,,320.10M,,,149.10M,149.10M,319.10M,788.30M,1.459B,1.459B,430.60M,430.60M,,50.20M,1.940B,2.728B,24.10M,1.706B,734.70M,276.90M,,,-18.70M,2.169B
2000-03,31.30M,,31.30M,,506.20M,,,,,1.046B,,15.50M,1.599B,,,,,,,3.583B,-1.421B,2.162B,,947.40M,947.40M,208.80M,3.318B,4.917B,309.50M,,309.50M,,309.50M,,,144.40M,144.40M,346.70M,800.60M,1.526B,1.526B,379.60M,379.60M,,58.20M,1.964B,2.764B,24.10M,1.674B,739.90M,281.30M,,,-4.50M,2.152B
1999-12,59.00M,,59.00M,,579.80M,,,,,1.029B,,16.20M,1.684B,,,,,,,3.601B,-1.421B,2.18B,,954.90M,954.90M,212.50M,3.347B,5.031B,347.60M,,347.60M,,347.60M,,,336.10M,336.10M,367.60M,1.051B,1.387B,1.387B,394.90M,394.90M,,55.60M,1.838B,2.889B,24.10M,1.647B,739.90M,263.80M,,,-5.30M,2.142B
1999-09,30.30M,,30.30M,,602.50M,,,,,989.40M,,104.70M,1.727B,,,,,,,3.606B,-1.421B,2.184B,,962.50M,962.50M,208.80M,3.356B,5.083B,351.90M,,351.90M,,351.90M,,,288.60M,288.60M,346.50M,987.00M,1.515B,1.515B,398.00M,398.00M,,54.50M,1.968B,2.955B,24.10M,1.599B,740.00M,232.00M,,,-3.10M,2.128B
1999-06,55.00M,,55.00M,,612.00M,,,,,1.027B,,231.60M,1.926B,,,,,,,3.639B,-1.428B,2.211B,,1.014B,1.014B,209.40M,3.435B,5.361B,365.40M,,365.40M,,365.40M,,,309.00M,309.00M,527.30M,1.202B,1.640B,1.640B,357.70M,357.70M,,52.80M,2.051B,3.252B,24.10M,1.567B,740.20M,-218.50M,,,-4.10M,2.108B
1999-03,48.10M,,48.10M,,634.90M,,,,,1.056B,,42.80M,1.781B,,,,,,,3.727B,-1.428B,2.300B,,1.036B,1.036B,215.50M,3.551B,5.333B,377.30M,,377.30M,,377.30M,,,291.20M,291.20M,460.30M,1.129B,1.724B,1.724B,362.50M,362.50M,,50.70M,2.138B,3.266B,,1.504B,,,,,,2.066B
1998-12,53.60M,,53.60M,,633.60M,,,,,1.009B,,40.50M,1.737B,,,,,,,3.704B,-1.428B,2.276B,,1.046B,1.046B,189.80M,3.512B,5.248B,385.60M,,385.60M,,385.60M,,,193.80M,193.80M,375.90M,955.30M,1.824B,1.824B,411.10M,411.10M,,42.40M,2.277B,3.232B,,1.444B,,,,,,2.016B
1998-09,47.00M,,47.00M,,631.00M,,,,,984.00M,,103.00M,1.765B,,,,,,,3.685B,-1.428B,2.257B,,1.036B,1.036B,185.00M,3.478B,5.243B,331.00M,,331.00M,,331.00M,,,162.00M,162.00M,338.00M,831.00M,1.967B,1.967B,434.00M,434.00M,,41.00M,2.442B,3.273B,24.00M,1.394B,741.00M,-187.00M,,,-1.00M,1.97B
1998-06,29.60M,,29.60M,,701.30M,,,,,1.080B,,61.70M,1.873B,,,,,,,3.775B,-1.395B,2.380B,,989.70M,989.70M,224.80M,3.595B,5.468B,348.80M,,348.80M,,348.80M,,,102.60M,102.60M,432.60M,884.00M,1.994B,1.994B,489.20M,489.20M,,31.60M,2.514B,3.398B,,1.489B,,,,,,2.069B
