,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2000-09,838.51M,838.51M,604.70M,233.81M,127.15M,,-7.846M,,,146.74M,87.07M,,,-7.846M,,69.05M,26.91M,42.14M,,,,42.14M,46.92M,106.66M,19.59M,87.07M,0.79,0.0,,0.8802,0.79,0.79,0.0,,0.8793,0.79,53.10M,53.63M
2000-06,852.81M,852.81M,615.98M,236.83M,126.97M,,-1.215M,,,147.92M,88.91M,,,-1.215M,,78.02M,30.82M,47.20M,,,,47.20M,47.94M,109.86M,20.94M,88.91M,0.88,0.0,,0.8937,0.88,0.87,0.0,,0.8835,0.87,53.84M,54.34M
2000-03,765.08M,765.08M,553.64M,211.44M,124.86M,,-0.773M,,,145.73M,65.71M,,,-0.773M,,56.19M,22.20M,34.00M,,,,34.00M,34.46M,86.58M,20.88M,65.71M,0.61,0.0,,0.6184,0.61,0.61,0.0,,0.6184,0.61,55.61M,55.61M
1999-12,775.60M,775.60M,552.00M,223.60M,120.20M,,0.80M,,,149.40M,74.20M,,,0.80M,,66.40M,26.30M,40.10M,,,,40.10M,39.62M,103.40M,29.20M,74.20M,0.7,0.0,,0.6915,0.7,0.7,0.0,,0.6916,0.7,56.90M,57.47M
1999-09,809.90M,809.90M,581.90M,228.00M,119.30M,,-1.10M,,,144.10M,83.90M,,,-1.10M,,74.50M,29.40M,45.10M,,,,45.10M,45.77M,108.75M,24.85M,83.90M,0.74,0.0,,0.7509,0.74,0.74,0.0,,0.7509,0.74,60.95M,60.95M
1999-06,790.62M,790.62M,560.70M,229.92M,121.40M,,-0.20M,,,149.20M,80.72M,,,-0.20M,,72.90M,28.80M,44.10M,,,,44.10M,44.22M,108.52M,27.78M,80.72M,0.73,0.0,,0.732,0.73,0.72,0.0,,0.722,0.72,60.41M,61.25M
1999-03,707.17M,707.17M,505.36M,201.80M,122.66M,,-1.708M,,,146.14M,55.66M,,,-1.708M,,46.10M,18.21M,27.89M,,,,27.89M,28.93M,79.14M,23.47M,55.66M,0.46,0.0,,0.477,0.46,0.46,0.0,,0.477,0.46,60.63M,60.63M
1998-12,746.90M,746.90M,543.90M,203.00M,119.00M,,-18.80M,,,132.40M,70.60M,,,-18.80M,,44.20M,19.00M,25.20M,,,,25.20M,36.48M,84.00M,13.40M,70.60M,0.42,0.0,,0.6075,0.42,0.42,0.0,,0.606,0.42,60.16M,60.66M
1998-09,718.80M,718.80M,525.00M,193.80M,108.30M,,-0.80M,,,124.30M,69.50M,,,-0.80M,,61.50M,24.40M,37.10M,,,,37.10M,37.58M,89.00M,19.50M,69.50M,0.62,0.0,,0.6281,0.62,0.61,0.0,,0.6179,0.61,59.84M,60.82M
1998-06,689.40M,689.40M,494.70M,194.70M,110.00M,,-0.90M,,,126.70M,68.00M,,,-0.90M,,58.90M,23.00M,35.90M,,,,35.90M,36.45M,88.20M,20.20M,68.00M,0.6,0.0,,0.6092,0.6,0.59,0.0,,0.599,0.59,59.83M,60.85M
