,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-03,136.55M,,136.55M,,,784.68M,261.77M,93.38M,630.32M,985.46M,128.41M,,191.52M,,2.227B,,,,,,,,3.392B,-1.525B,1.867B,1.369B,799.93M,2.168B,25.46M,,4.061B,6.288B,288.92M,42.42M,,331.34M,495.03M,826.37M,,,,,137.50M,,137.50M,2.026M,2.026M,,965.90M,1.844B,,1.844B,381.99M,381.99M,32.11M,,104.71M,2.330B,3.296B,0.795M,1.898B,1.220B,323.36M,,,,163.42M,2.959B
2008-12,93.52M,,93.52M,,,696.28M,296.74M,104.39M,767.14M,1.168B,125.60M,,149.20M,13.37M,2.246B,0.0,191.52M,719.81M,2.306B,,148.89M,47.52M,3.414B,-1.488B,1.926B,1.399B,847.85M,2.247B,26.90M,,4.200B,6.446B,315.05M,40.80M,,355.85M,366.79M,722.64M,,,,,94.78M,,94.78M,3.03M,3.03M,56.46M,876.92M,1.860B,,1.860B,419.98M,419.98M,31.13M,,104.34M,2.384B,3.261B,0.795M,2.004B,1.218B,323.54M,,,,254.54M,3.154B
2008-09,62.02M,,62.02M,933.74M,,933.74M,366.61M,114.72M,753.37M,1.235B,122.46M,,151.16M,,2.504B,,,,,,,,3.425B,-1.461B,1.964B,1.529B,954.83M,2.484B,20.26M,,4.468B,6.972B,980.92M,,,980.92M,,980.92M,,,,,131.66M,,131.66M,,,,1.113B,1.925B,,1.925B,469.53M,469.53M,,,119.48M,2.514B,3.626B,0.795M,2.132B,1.215B,323.54M,,,,322.45M,3.346B
2008-06,64.04M,,64.04M,982.38M,,982.38M,376.00M,113.86M,760.44M,1.250B,131.22M,,138.33M,,2.566B,,,,,,,,3.441B,-1.423B,2.019B,2.877B,1.190B,4.067B,307.57M,,6.393B,8.960B,965.74M,,,965.74M,,965.74M,,,,,290.39M,,290.39M,,,,1.256B,1.897B,,1.897B,638.68M,638.68M,,,125.17M,2.660B,3.917B,0.794M,3.617B,1.212B,323.54M,,,,537.11M,5.043B
2008-03,73.29M,,73.29M,955.32M,,955.32M,385.45M,115.65M,795.33M,1.296B,135.43M,,135.41M,,2.596B,,,,,,,,3.408B,-1.382B,2.026B,2.878B,1.212B,4.089B,306.30M,,6.422B,9.017B,369.64M,,,369.64M,513.85M,883.49M,,,,,367.78M,,367.78M,5.143M,5.143M,44.22M,1.301B,2.003B,,2.003B,639.21M,639.21M,,,125.58M,2.768B,4.068B,0.794M,3.528B,1.207B,323.54M,,,,536.78M,4.949B
2007-12,89.60M,,89.60M,,,821.11M,371.58M,100.58M,804.41M,1.277B,123.40M,,139.04M,,2.450B,0.0,193.87M,747.54M,2.178B,,151.74M,42.31M,3.314B,-1.338B,1.976B,2.797B,1.172B,3.969B,285.40M,,6.230B,8.680B,399.14M,42.09M,,441.23M,497.94M,939.17M,,,,,260.44M,,260.44M,11.89M,11.89M,,1.212B,2.021B,,2.021B,614.62M,614.62M,,,125.18M,2.761B,3.973B,0.794M,3.462B,1.204B,323.72M,,,,363.98M,4.707B
2007-09,81.66M,,81.66M,958.95M,,958.95M,364.95M,109.43M,823.22M,1.298B,111.49M,,157.66M,,2.607B,,,,,,,,3.222B,-1.286B,1.937B,2.785B,1.171B,3.956B,,26.97M,5.920B,8.527B,465.75M,,,465.75M,468.02M,933.77M,,,,,337.35M,,337.35M,5.386M,5.386M,82.95M,1.359B,2.127B,,2.127B,641.16M,641.16M,,,151.87M,2.920B,4.279B,0.793M,3.083B,1.198B,323.72M,,,,289.25M,4.248B
2007-06,57.76M,,57.76M,968.10M,,968.10M,331.77M,95.32M,802.24M,1.229B,121.62M,,173.25M,,2.550B,,,,,,,,3.121B,-1.263B,1.858B,2.720B,1.154B,3.873B,,27.97M,5.760B,8.310B,451.38M,,,451.38M,446.52M,897.91M,,,,,426.43M,,426.43M,6.756M,6.756M,64.26M,1.395B,2.137B,,2.137B,619.49M,619.49M,,,148.79M,2.906B,4.301B,0.793M,2.961B,1.191B,323.72M,,,,179.09M,4.009B
2007-03,53.60M,,53.60M,948.77M,,948.77M,330.50M,103.44M,811.13M,1.245B,119.82M,,176.44M,,2.544B,,,,,,,,3.090B,-1.225B,1.865B,2.711B,1.167B,3.877B,,29.14M,5.772B,8.315B,421.04M,,,421.04M,428.82M,849.87M,,,,,514.77M,,514.77M,4.115M,4.115M,128.55M,1.497B,2.190B,,2.190B,624.71M,624.71M,,,150.81M,2.965B,4.463B,0.791M,2.846B,1.175B,323.72M,,,,154.55M,3.853B
2006-12,63.49M,,63.49M,910.02M,,910.02M,323.66M,95.75M,806.46M,1.226B,114.09M,,99.25M,,2.413B,0.0,178.55M,732.58M,2.061B,,96.58M,,3.069B,-1.180B,1.888B,2.700B,1.180B,3.880B,,31.66M,5.799B,8.212B,371.54M,,,371.54M,677.34M,1.049B,,,,,576.13M,,576.13M,4.565M,4.565M,,1.630B,2.208B,,2.208B,628.31M,628.31M,,,31.51M,2.867B,4.497B,0.788M,2.756B,1.152B,323.85M,,132.72M,-2.351M,130.37M,3.715B
2006-09,69.73M,,69.73M,958.42M,,958.42M,349.66M,95.04M,830.73M,1.275B,126.90M,,55.13M,,2.486B,,,,,,,,3.005B,-1.136B,1.869B,2.685B,1.169B,3.854B,,25.93M,5.749B,8.235B,1.125B,,,1.125B,,1.125B,,,,,509.15M,,509.15M,,,,1.634B,2.439B,,2.439B,591.27M,591.27M,,,40.01M,3.070B,4.704B,0.787M,2.626B,1.146B,323.85M,,,,81.72M,3.531B
2006-06,73.40M,,73.40M,987.63M,,987.63M,354.50M,103.72M,825.71M,1.284B,134.09M,,41.43M,,2.520B,,,,,,,,3.004B,-1.099B,1.905B,2.692B,1.196B,3.888B,,34.32M,5.827B,8.348B,451.21M,,,451.21M,472.50M,923.70M,,,,,530.63M,,530.63M,,,223.20M,1.678B,2.596B,,2.596B,617.78M,617.78M,,,36.55M,3.251B,4.928B,0.787M,2.498B,1.140B,318.67M,,,,98.72M,3.420B
2006-03,82.17M,,82.17M,948.23M,,948.23M,319.44M,104.70M,762.49M,1.187B,140.19M,,34.86M,,2.392B,,,,,,,,2.877B,-1.055B,1.822B,2.642B,1.173B,3.816B,,30.70M,5.669B,8.061B,398.42M,,,398.42M,416.63M,815.05M,,,,,100.16M,,100.16M,,,218.68M,1.134B,3.148B,,3.148B,594.49M,594.49M,,,33.53M,3.776B,4.910B,0.786M,2.340B,1.135B,318.67M,,,,-6.019M,3.151B
2005-12,134.58M,,134.58M,848.67M,,848.67M,334.12M,93.27M,788.04M,1.215B,140.79M,,49.53M,,2.389B,0.0,155.67M,588.51M,1.847B,,233.52M,,2.825B,-1.014B,1.811B,2.622B,1.174B,3.796B,,44.25M,5.651B,8.040B,401.54M,,,401.54M,377.64M,779.18M,,,,,113.81M,,113.81M,,,218.92M,1.112B,3.195B,,3.195B,643.28M,643.28M,,,32.04M,3.870B,4.982B,0.785M,2.300B,1.124B,318.80M,,,,-47.43M,3.058B
2005-09,,,,811.63M,,811.63M,289.48M,96.25M,704.24M,1.090B,44.16M,,55.31M,,2.001B,,,,,,,,1.980B,-984.61M,995.20M,,1.698B,1.698B,,13.01M,2.707B,4.708B,348.86M,,,348.86M,391.12M,739.97M,,,,,104.90M,,104.90M,,,,844.88M,700.00M,,700.00M,191.76M,191.76M,,,29.37M,921.13M,1.766B,0.779M,2.183B,1.075B,318.80M,,,,1.94M,2.942B
2005-06,,,,775.99M,,775.99M,294.09M,104.47M,726.59M,1.125B,49.12M,,55.31M,,2.006B,,,,,,,,1.933B,-959.47M,973.63M,,1.698B,1.698B,,13.06M,2.685B,4.690B,757.81M,,,757.81M,,757.81M,,,,,183.84M,,183.84M,,,,941.65M,700.00M,,700.00M,191.76M,191.76M,,,29.48M,921.24M,1.863B,0.778M,2.074B,1.072B,317.87M,,,,-1.322M,2.827B
2005-03,,,,739.79M,,739.79M,289.72M,100.66M,755.36M,1.146B,46.43M,,55.31M,,1.987B,,,,,,,,1.882B,-942.03M,940.09M,,1.699B,1.699B,,14.67M,2.654B,4.641B,756.90M,,,756.90M,,756.90M,,,,,218.50M,,218.50M,,,,975.40M,700.00M,,700.00M,191.76M,191.76M,,,29.77M,921.53M,1.897B,0.776M,1.980B,1.065B,300.78M,,,,-1.436M,2.744B
2004-12,,,,660.65M,,660.65M,265.54M,86.88M,665.56M,1.018B,49.38M,,55.31M,,1.783B,0.0,59.64M,402.51M,1.278B,,78.16M,,1.818B,-912.49M,905.33M,,1.700B,1.700B,,14.47M,2.620B,4.403B,623.06M,,,623.06M,,623.06M,,,,,191.34M,,191.34M,,,,814.40M,700.00M,,700.00M,191.76M,191.76M,,,30.62M,922.38M,1.737B,0.775M,1.910B,1.059B,300.92M,,,,-2.441M,2.666B
2004-09,,,,718.01M,,718.01M,256.08M,99.35M,645.37M,1.001B,40.99M,,84.26M,,1.844B,,,,,,,,1.794B,-895.21M,898.82M,,1.702B,1.702B,,14.76M,2.615B,4.459B,779.08M,,,779.08M,,779.08M,,,,,207.32M,,207.32M,,,,986.40M,700.01M,,700.01M,183.67M,183.67M,,,30.00M,913.68M,1.900B,0.774M,1.808B,1.052B,300.92M,,,,-0.751M,2.559B
2004-06,,,,698.85M,,698.85M,239.09M,88.76M,598.55M,926.40M,43.44M,,84.26M,,1.753B,,,,,,,,1.771B,-871.88M,899.46M,,1.701B,1.701B,,14.64M,2.615B,4.368B,715.07M,,,715.07M,,715.07M,,,,,274.46M,,274.46M,,,,989.53M,709.42M,,709.42M,183.67M,183.67M,,,30.24M,923.34M,1.913B,0.773M,1.695B,1.049B,289.69M,,,,0.069M,2.455B
2004-03,,,,664.04M,,664.04M,232.08M,85.62M,579.77M,897.47M,46.71M,,84.26M,,1.692B,,,,,,,,1.747B,-844.86M,902.44M,,1.693B,1.693B,,14.15M,2.610B,4.302B,713.24M,,,713.24M,,713.24M,,,,,236.09M,,236.09M,,,,949.33M,763.60M,,763.60M,183.67M,183.67M,,,31.86M,979.13M,1.928B,0.772M,1.608B,1.047B,282.50M,,,,0.499M,2.374B
2003-12,,,,573.50M,,573.50M,223.79M,72.98M,535.64M,832.42M,43.04M,,84.26M,,1.533B,0.0,59.62M,386.92M,1.200B,,88.88M,,1.735B,-816.40M,919.08M,,1.694B,1.694B,,17.23M,2.630B,4.164B,637.94M,,,637.94M,,637.94M,,,,,302.97M,,302.97M,,,,940.91M,709.44M,,709.44M,183.67M,183.67M,,,31.75M,924.87M,1.866B,0.77M,1.542B,1.036B,282.78M,,,,2.313M,2.298B
2003-09,16.36M,,16.36M,602.87M,,602.87M,203.04M,83.24M,544.00M,830.29M,29.79M,,82.07M,,1.561B,,,,1.647B,,,,1.647B,-788.39M,859.07M,,1.438B,1.438B,,20.39M,2.317B,3.878B,308.95M,,,308.95M,339.53M,648.49M,,,,,26.00M,,26.00M,,,40.51M,714.99M,762.80M,,762.80M,187.00M,187.00M,,,23.05M,972.85M,1.688B,0.769M,1.440B,1.032B,282.78M,,,,0.791M,2.191B
2003-06,,,,580.12M,,580.12M,202.88M,76.23M,524.04M,803.15M,31.63M,,82.07M,,1.497B,,,,1.618B,,,,1.618B,-763.21M,855.01M,1.283B,146.99M,1.430B,,15.62M,2.300B,3.797B,664.88M,,,664.88M,,664.88M,,,,,110.90M,,110.90M,,,,775.78M,733.84M,,733.84M,187.00M,187.00M,,,21.34M,942.18M,1.718B,0.765M,1.348B,1.013B,284.70M,,,,2.249M,2.079B
2003-03,,,,540.72M,,540.72M,199.52M,83.92M,478.21M,761.65M,37.24M,,82.07M,,1.422B,,,,,,,,1.592B,-740.51M,851.47M,,1.424B,1.424B,,15.35M,2.291B,3.713B,324.71M,,,324.71M,359.96M,684.66M,,,,,27.43M,,27.43M,,,,712.09M,789.43M,,789.43M,188.31M,188.31M,,,18.52M,996.26M,1.708B,0.764M,1.273B,1.008B,279.83M,,,,1.742M,2.004B
2002-12,,,,501.13M,,501.13M,174.02M,67.91M,436.08M,678.01M,37.37M,,82.07M,,1.299B,0.0,56.67M,355.98M,1.095B,,77.47M,,1.585B,-729.79M,855.32M,,1.424B,1.424B,,18.69M,2.298B,3.597B,630.31M,,,630.31M,,630.31M,,,,,27.43M,,27.43M,,,,657.73M,793.00M,,793.00M,145.97M,145.97M,,,17.16M,956.13M,1.614B,0.763M,1.232B,1.007B,257.17M,,,,1.126M,1.983B
2002-09,,,,569.57M,,569.57M,202.92M,79.80M,459.93M,742.65M,22.73M,,83.06M,,1.418B,,,,,,,,1.550B,-706.11M,843.78M,,1.424B,1.424B,,19.22M,2.287B,3.705B,681.30M,,,681.30M,,681.30M,,,,,42.37M,,42.37M,,,,723.66M,903.10M,,903.10M,164.57M,164.57M,,,16.32M,1.084B,1.808B,0.763M,1.147B,1.001B,245.44M,,,,-5.855M,1.897B
2002-06,,,,580.92M,,580.92M,185.38M,78.86M,462.84M,727.09M,22.26M,,83.06M,,1.413B,,,,1.525B,,,,1.525B,-683.27M,841.65M,,1.424B,1.424B,,19.50M,2.285B,3.699B,634.21M,,,634.21M,,634.21M,,,,,108.37M,,108.37M,,,,742.57M,912.38M,,912.38M,164.57M,164.57M,,,10.75M,1.088B,1.830B,0.763M,1.066B,999.68M,193.58M,,,,-4.381M,1.868B
2002-03,,,,619.27M,,619.27M,179.13M,78.23M,442.43M,699.79M,31.66M,,70.06M,,1.421B,,,,,,,,1.495B,-657.72M,837.17M,1.277B,147.00M,1.424B,,14.65M,2.276B,3.697B,585.84M,,,585.84M,,585.84M,,,,,253.37M,,253.37M,,,,839.21M,897.83M,,897.83M,165.61M,165.61M,,,6.649M,1.070B,1.909B,0.761M,990.33M,992.38M,193.60M,,,,-2.135M,1.788B
2001-12,,,,404.88M,,404.88M,175.79M,68.09M,287.52M,531.40M,24.88M,,70.06M,,1.031B,0.0,24.36M,281.58M,945.13M,,26.65M,,1.278B,-658.02M,619.70M,,109.17M,109.17M,,8.393M,737.26M,1.768B,423.50M,,,423.50M,,423.50M,,,,,158.37M,,158.37M,,,,581.86M,150.07M,,150.07M,84.96M,84.96M,,,3.051M,238.07M,819.93M,0.614M,947.12M,197.25M,193.60M,,,,-2.837M,948.55M
2001-09,,,,432.65M,,432.65M,190.78M,79.06M,306.37M,576.22M,13.34M,,66.47M,,1.089B,,,,,,,,1.274B,-644.28M,630.05M,,,,,115.80M,745.85M,1.835B,412.08M,,,412.08M,,412.08M,,,,,238.22M,,238.22M,,,,650.29M,219.57M,,219.57M,75.81M,75.81M,,,4.806M,300.18M,950.48M,0.613M,887.93M,193.72M,193.59M,,,,-4.617M,884.05M
2001-06,,,,392.55M,,392.55M,,,,619.18M,17.87M,,66.47M,,1.096B,,,,,,,,1.262B,-626.61M,635.56M,,,,,116.79M,752.35M,1.848B,392.56M,,,392.56M,,392.56M,,,,,236.35M,,236.35M,,,,628.91M,319.46M,,319.46M,75.81M,75.81M,,,0.781M,396.04M,1.025B,0.61M,832.20M,187.37M,196.10M,,,,-0.617M,823.47M
2001-03,,,,389.04M,,389.04M,,,,621.31M,21.82M,,66.47M,,1.099B,0.0,1.250B,,,,,,1.250B,-607.98M,641.67M,,,,,117.97M,759.64M,1.858B,422.76M,,,422.76M,,422.76M,,,,,203.64M,,203.64M,,,,626.39M,378.31M,,378.31M,75.81M,75.81M,,,0.138M,454.26M,1.081B,0.61M,785.74M,185.74M,193.05M,,,,-1.398M,777.63M
2000-12,,,,358.81M,,358.81M,,,,574.60M,26.97M,,66.47M,,1.027B,0.0,1.238B,,,,,,1.238B,-588.15M,650.05M,,,,,118.47M,768.53M,1.795B,375.27M,,,375.27M,,375.27M,,,,,224.39M,,224.39M,,,,599.66M,365.44M,,365.44M,75.81M,75.81M,,,0.114M,441.36M,1.041B,0.608M,758.53M,183.30M,188.08M,,,,,754.36M
2000-09,,,,,,394.90M,,,,592.83M,,,,92.72M,1.080B,,,,,,,,1.192B,-569.28M,622.87M,,,,,119.54M,742.42M,1.823B,411.54M,,,411.54M,,411.54M,,,,,33.87M,,33.87M,,,,445.41M,592.75M,,592.75M,53.78M,53.78M,,,0.592M,647.12M,1.093B,0.608M,719.27M,182.25M,171.80M,,,,,730.32M
2000-06,,,,,,396.22M,,,,576.65M,,,,89.45M,1.062B,,,,,,,,1.176B,-553.07M,622.90M,,,,,118.33M,741.23M,1.804B,444.37M,,,444.37M,,444.37M,,,,,33.89M,,33.89M,,,,478.26M,579.60M,,579.60M,53.78M,53.78M,,,0.392M,633.78M,1.112B,0.607M,677.13M,181.20M,167.42M,,,,,691.51M
2000-03,,,,,,371.33M,,,,553.27M,,,,91.61M,1.016B,,,,,,,,1.160B,-533.72M,626.28M,,,,,119.22M,745.49M,1.762B,420.40M,,,420.40M,,420.40M,,,,,33.92M,,33.92M,,,,454.32M,572.07M,,572.07M,53.78M,53.78M,,,0.192M,626.05M,1.080B,0.607M,629.93M,180.63M,129.84M,,,,,681.33M
1999-12,,,,,,337.80M,,,,494.80M,,,,101.80M,934.40M,,,,,,,,1.140B,-514.80M,624.80M,,,,,123.70M,748.50M,1.683B,340.40M,,,340.40M,,340.40M,,,,,34.00M,,34.00M,,,,374.40M,562.10M,,562.10M,53.80M,53.80M,,,0.10M,616.00M,990.40M,0.60M,595.90M,180.00M,84.00M,,,,,692.50M
1999-09,,,,,,385.30M,,,,537.60M,,,,66.00M,988.90M,,,,,,,,1.111B,-491.40M,620.00M,,,,,107.30M,727.30M,1.716B,401.90M,,,401.90M,,401.90M,,,,,197.00M,,197.00M,,,,598.90M,363.30M,,363.30M,31.00M,31.00M,,,0.80M,395.10M,994.00M,0.60M,555.80M,179.70M,13.90M,,,,,722.20M
1999-06,,,,,,372.70M,,,,528.60M,,,,63.20M,964.50M,,,,,,,,1.070B,-464.70M,605.60M,,,,,108.70M,714.30M,1.679B,393.20M,,,393.20M,,393.20M,,,,,197.00M,,197.00M,,,,590.20M,366.00M,,366.00M,31.00M,31.00M,,,0.90M,397.90M,988.10M,,510.70M,,,,,,,690.70M
1999-03,,,,,,360.70M,,,,499.00M,,,,60.90M,920.60M,,,,,,,,1.043B,-451.50M,591.60M,,,,,111.50M,703.10M,1.624B,381.60M,,,381.60M,,381.60M,,,,,197.10M,,197.10M,,,-0.10M,578.60M,363.40M,,363.40M,31.00M,31.00M,,,5.00M,399.40M,978.00M,,466.70M,,,,,,,645.70M
1998-12,2.40M,,2.40M,,,331.90M,,,,423.80M,,,,88.80M,846.90M,,,,,,,,883.70M,-428.80M,454.90M,,,,,103.70M,558.60M,1.406B,364.00M,,,364.00M,,364.00M,,,,,44.40M,,44.40M,,,0.10M,408.50M,332.70M,,332.70M,47.90M,47.90M,,,5.30M,385.90M,794.40M,0.60M,438.40M,172.00M,,,,,,611.10M
1998-09,,,,,,307.10M,,,,356.30M,,,,32.40M,695.80M,,,,,,,,645.10M,-304.20M,340.90M,,,,,90.40M,431.30M,1.127B,305.50M,,,305.50M,,305.50M,,,,,32.20M,,32.20M,,,,337.70M,268.40M,,268.40M,28.40M,28.40M,,,5.30M,302.10M,639.80M,,347.20M,,,,,,,487.30M
1998-06,,,,,,276.10M,,,,329.20M,,,,32.60M,637.90M,,,,,,,,606.00M,-290.10M,315.90M,,,,,67.40M,383.30M,1.021B,284.20M,,,284.20M,,284.20M,,,,,32.20M,,32.20M,,,,316.40M,216.80M,,216.80M,28.40M,28.40M,,,5.50M,250.70M,567.10M,,314.70M,,,,,,,454.10M
