,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-03,41.64M,,0.624M,25.05M,25.05M,1.315M,,,,,-39.59M,-83.64M,,76.96M,3.005M,1.367M,,-41.90M,26.73M,-24.66M,,-24.66M,,,,-24.66M,,,-3.401M,1.274M,-22.96M,-21.69M,,23.02M,-2.064M,0.00,,,0.00,1.274M,,,-22.96M
2002-12,84.20M,,1.221M,26.44M,26.44M,,,,,,68.44M,64.64M,,-54.20M,-13.11M,-5.25M,,60.52M,194.52M,-37.86M,,-37.86M,0.00,,,-37.86M,,,-192.05M,6.514M,-12.13M,-5.62M,,41.01M,-156.66M,0.00,,,0.00,6.514M,,,-12.13M
2002-09,81.56M,,0.435M,25.02M,25.02M,,,,,,12.36M,-14.22M,,53.77M,-6.561M,10.70M,,56.05M,163.06M,690.81M,,690.81M,-717.64M,,,-26.83M,,,-8.277M,0.445M,-51.90M,-51.46M,,-76.50M,-136.24M,0.00,,,0.00,0.445M,,,-51.90M
2002-06,75.52M,,2.934M,28.87M,28.87M,,,,,,-8.025M,-28.63M,,49.21M,5.288M,5.055M,,22.89M,130.21M,-748.85M,,-748.85M,717.64M,,,-31.21M,,,24.17M,1.849M,,1.849M,,-125.02M,-99.00M,0.00,,,0.00,1.849M,,,
2002-03,43.21M,,3.635M,21.61M,21.61M,,,,,,-38.11M,-37.00M,,68.26M,1.273M,-1.162M,,-6.743M,61.71M,-16.03M,,-16.03M,-717.64M,,,-733.67M,,,610.58M,41.38M,,41.38M,,20.00M,671.96M,0.00,,,0.00,41.38M,,,
2001-12,59.19M,,6.593M,21.47M,21.47M,,,,,,27.78M,44.81M,,4.846M,-14.22M,-4.591M,,58.63M,151.45M,-11.96M,,-11.96M,,,,-11.96M,,,-69.16M,-1.321M,-0.002M,-1.323M,,-69.01M,-139.49M,0.00,,,0.00,-1.321M,,,-0.002M
2001-09,55.73M,,-1.131M,20.68M,20.68M,,,,,,-40.10M,42.96M,,14.91M,4.552M,4.025M,,26.35M,101.62M,-14.31M,,-14.31M,,,,-14.31M,,,-98.99M,7.597M,-0.143M,7.454M,,4.222M,-87.32M,0.00,,,0.00,7.597M,,,-0.143M
2001-06,46.47M,,1.428M,21.08M,21.08M,,,,,,-3.51M,2.131M,,-26.40M,4.147M,0.642M,,-22.99M,45.98M,-14.95M,,-14.95M,,,,-14.95M,,,-28.84M,1.171M,-3.046M,-1.875M,,-0.317M,-31.03M,0.00,,,0.00,1.171M,,,-3.046M
2001-03,27.21M,,0.867M,20.94M,20.94M,,,,,,-30.23M,-46.71M,,55.40M,4.708M,0.025M,,-16.82M,32.20M,-11.70M,,-11.70M,,,,-11.70M,,,-17.19M,1.656M,-4.968M,-3.312M,,,-20.50M,0.00,,,0.00,1.656M,,,-4.968M
2000-12,39.26M,,3.647M,20.94M,20.94M,,,,,,35.28M,27.84M,,-47.41M,-3.257M,-7.645M,,4.811M,100.83M,-19.94M,,-19.94M,,,,-56.78M,,,-224.60M,1.053M,-16.28M,-15.22M,,195.77M,-44.05M,0.00,,,0.00,1.053M,,,-16.28M
2000-09,42.14M,,3.765M,19.59M,19.59M,,,,,,-2.401M,-16.18M,,-7.253M,-12.55M,7.367M,,-31.02M,34.48M,-18.70M,,-18.70M,,,,-18.70M,,,11.76M,1.052M,-4.38M,-3.328M,,-24.21M,-15.78M,0.00,,,0.00,1.052M,,,-4.38M
2000-06,47.20M,,4.351M,20.94M,20.94M,,,,,,-29.14M,-23.39M,,-3.66M,2.154M,0.20M,,-53.83M,18.67M,-16.78M,,-16.78M,,,,-16.78M,,,17.47M,0.569M,-37.59M,-37.02M,,17.66M,-1.886M,0.00,,,0.00,0.569M,,,-37.59M
2000-03,34.00M,,4.159M,20.88M,20.88M,,,,,,-37.71M,-58.49M,,89.50M,10.40M,0.105M,,3.807M,62.84M,-18.06M,,-18.06M,,,,-18.06M,,,-1.972M,0.637M,-45.85M,-45.21M,,2.405M,-44.78M,0.00,,,0.00,0.637M,,,-45.85M
1999-12,40.10M,,4.50M,29.20M,29.20M,,,,,0.20M,43.30M,42.80M,,-35.50M,-32.00M,-0.80M,,17.80M,90.50M,132.10M,,132.10M,,,,-30.40M,,,30.70M,0.20M,,-83.80M,13.90M,-20.90M,-60.10M,0.00,0.00,,0.00,0.20M,,,
1999-09,45.10M,,3.20M,24.85M,24.85M,,,,,-0.147M,-15.40M,-7.70M,,-11.50M,2.80M,0.00,,-31.80M,41.20M,-44.40M,,-44.40M,,,,-44.40M,,,30.70M,0.40M,,0.40M,-13.90M,-14.00M,3.20M,0.00,0.00,,0.00,0.40M,,,
1999-06,44.11M,,7.10M,27.78M,27.78M,,,,,0.012M,-16.10M,-29.60M,,3.40M,-0.40M,-4.00M,,-46.70M,32.30M,-44.10M,,-44.10M,,,,-44.10M,,,-8.10M,0.80M,,0.80M,,19.00M,11.70M,0.00,-0.10M,,0.00,0.80M,,,
1999-03,27.89M,,3.50M,23.47M,23.47M,,,,,0.035M,-8.90M,-37.90M,,-13.70M,13.50M,-0.50M,,-47.50M,7.40M,-189.20M,,-189.20M,,,,-189.20M,,,177.70M,6.80M,,6.80M,,-5.00M,179.50M,2.40M,-2.30M,,0.00,6.80M,,,
1998-12,25.20M,,10.10M,13.40M,13.40M,-20.20M,,,,0.10M,30.40M,21.60M,,-7.70M,-15.10M,-0.30M,,28.90M,57.50M,17.20M,,17.20M,,,,-19.40M,,,68.00M,-1.50M,,-1.50M,,-102.30M,-35.80M,0.10M,2.30M,,2.40M,-1.50M,,,
1998-09,37.00M,,2.70M,19.50M,19.50M,2.50M,,,,-0.10M,-23.60M,-11.80M,,7.00M,-2.20M,-0.50M,,-31.10M,30.50M,-62.00M,,-62.00M,,,,-62.00M,,,38.90M,0.70M,,0.70M,,-8.20M,31.40M,0.00,-0.10M,,0.10M,0.70M,,,
1998-06,36.00M,,3.20M,20.20M,20.20M,1.60M,,,,-0.10M,-14.20M,-8.40M,,15.90M,3.20M,-0.20M,,-3.70M,57.20M,-24.00M,,-24.00M,,,,-24.00M,,,-42.20M,1.00M,,1.00M,,8.00M,-33.20M,0.00,0.00,,0.00,1.00M,,,
