,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,27.73M,1.064M,28.79M,114.50M,,114.50M,,43.34M,3.12M,,189.75M,,,,,,,,345.61M,-99.41M,246.20M,249.07M,123.51M,372.58M,,26.11M,644.90M,834.65M,,4.48M,,4.48M,27.16M,31.64M,50.49M,,,50.49M,,50.49M,79.74M,79.74M,,,161.88M,,,,61.72M,,61.72M,19.03M,80.74M,242.62M,,0.957M,461.57M,252.64M,123.14M,592.03M,,,
2006-12,27.62M,1.13M,28.76M,113.26M,,113.26M,,42.36M,3.375M,,187.74M,,,,,,,,348.72M,-99.41M,249.32M,245.66M,122.36M,368.01M,,25.25M,642.58M,830.32M,,8.161M,,8.161M,32.68M,40.84M,25.28M,,,25.28M,,25.28M,111.40M,111.40M,,,177.52M,,,,54.97M,,54.97M,18.96M,73.93M,251.45M,,0.947M,441.06M,236.66M,99.80M,578.87M,,,
2006-09,49.84M,1.723M,51.56M,118.77M,,118.77M,,44.15M,3.31M,,217.80M,,,,,,,,350.09M,-99.41M,250.68M,214.51M,112.92M,327.44M,,25.19M,603.31M,821.10M,,5.351M,,5.351M,33.70M,39.05M,0.222M,,,0.222M,,0.222M,136.47M,136.47M,,,175.74M,,,,49.57M,,49.57M,20.02M,69.60M,245.34M,,0.942M,418.25M,228.18M,71.60M,575.77M,,,
2006-06,74.14M,2.181M,76.32M,180.30M,,180.30M,,46.63M,3.165M,,306.41M,0.00,36.34M,109.90M,192.16M,,12.64M,,351.04M,-99.41M,251.63M,212.54M,111.01M,323.55M,,24.48M,599.66M,906.07M,,14.52M,,14.52M,32.32M,46.85M,50.24M,,,50.24M,,50.24M,166.40M,166.40M,,,263.49M,,,,47.43M,,47.43M,19.93M,67.36M,330.86M,,0.939M,401.85M,224.20M,51.77M,575.21M,,,
2006-03,38.80M,2.109M,40.91M,99.72M,,99.72M,,30.24M,2.65M,,173.52M,,,,,,,,342.22M,-91.34M,250.88M,212.44M,109.33M,321.77M,,23.20M,595.85M,769.37M,,6.255M,,6.255M,21.82M,28.07M,25.00M,,,25.00M,,25.00M,72.66M,72.66M,,,125.74M,,,,44.72M,,44.72M,19.02M,63.74M,189.48M,,0.937M,381.54M,219.95M,22.53M,579.90M,,,
2005-12,38.25M,2.661M,40.91M,102.84M,,102.84M,,33.37M,2.54M,,179.66M,,,,,,,,337.51M,-91.34M,246.17M,,214.96M,214.96M,,125.08M,586.22M,765.88M,,7.673M,,7.673M,21.39M,29.07M,25.00M,,,25.00M,,25.00M,106.32M,106.32M,,,160.38M,,,,41.64M,,41.64M,16.49M,58.13M,218.52M,,0.927M,363.14M,205.82M,22.53M,547.36M,,,
2005-09,55.56M,0.992M,56.55M,88.91M,,88.91M,,35.92M,2.365M,,183.74M,,,,,,,,334.51M,-91.34M,243.17M,,262.23M,262.23M,,49.17M,554.57M,738.31M,,5.731M,,5.731M,25.69M,31.42M,,,,,,,125.48M,125.48M,,,156.90M,,,,38.66M,,38.66M,11.82M,50.49M,207.39M,,0.924M,345.61M,200.67M,16.29M,530.91M,,,
2005-06,11.61M,0.993M,12.60M,209.92M,,209.92M,,35.42M,2.345M,,260.29M,0.00,33.47M,96.93M,184.45M,,19.68M,,334.54M,-91.34M,243.19M,,263.90M,263.90M,,46.77M,553.86M,814.15M,,15.90M,,15.90M,28.08M,43.98M,45.00M,,,45.00M,,45.00M,157.60M,157.60M,,,246.58M,,,,37.08M,,37.08M,13.33M,50.42M,297.00M,,0.92M,330.31M,195.88M,9.952M,517.15M,,,
2005-03,15.95M,0.993M,16.94M,80.03M,,80.03M,,30.32M,2.375M,,129.67M,,,,,,,,300.80M,-74.26M,226.54M,,191.23M,191.23M,,112.66M,530.43M,660.10M,,7.919M,,7.919M,20.36M,28.28M,14.00M,,,14.00M,,14.00M,71.19M,71.19M,,,113.47M,,,,32.58M,,32.58M,11.18M,43.76M,157.23M,,0.914M,312.71M,189.25M,,502.87M,,,
2004-12,22.52M,0.997M,23.51M,87.92M,,87.92M,,31.45M,1.87M,,144.75M,,,,,,,,298.33M,-74.26M,224.07M,,252.17M,252.17M,,40.59M,516.84M,661.59M,,8.531M,,8.531M,21.00M,29.53M,10.00M,,,10.00M,,10.00M,99.34M,99.34M,,,138.87M,,,,29.96M,,29.96M,10.40M,40.36M,179.23M,,0.909M,297.39M,184.06M,,482.36M,,,
2004-09,119.84M,0.998M,120.84M,75.29M,,75.29M,,29.33M,1.57M,,227.04M,,,,,,,,294.75M,-74.26M,220.49M,,93.71M,93.71M,,92.06M,406.26M,633.29M,,5.154M,,5.154M,23.62M,28.78M,,,,,,,106.88M,106.88M,,,135.66M,,,,30.06M,,30.06M,8.348M,38.40M,174.06M,,0.905M,283.54M,176.30M,1.513M,459.23M,,,
2004-06,53.76M,0.998M,54.76M,169.87M,,169.87M,,33.11M,1.32M,,259.06M,0.00,25.88M,73.09M,158.18M,,32.22M,,289.36M,-74.26M,215.10M,,87.16M,87.16M,,92.30M,394.56M,653.61M,,9.171M,,9.171M,27.77M,36.94M,,,,,,,136.30M,136.30M,,,173.24M,,,,28.76M,,28.76M,8.694M,37.46M,210.70M,,0.905M,271.43M,175.71M,5.126M,442.92M,,,
2004-03,88.90M,0.999M,89.90M,66.98M,,66.98M,,30.64M,0.95M,,188.48M,,,,,,,,269.32M,-61.32M,208.01M,,67.55M,67.55M,,83.62M,359.18M,547.65M,,6.309M,,6.309M,14.64M,20.94M,,,,,,,64.54M,64.54M,,,85.49M,,,,29.64M,,29.64M,9.834M,39.47M,124.96M,,0.905M,259.74M,174.22M,12.17M,422.69M,,,
2003-12,108.54M,0.999M,109.54M,67.83M,0.611M,68.44M,,31.76M,0.85M,,210.59M,,,,,,,,267.74M,-61.32M,206.42M,,48.24M,48.24M,,83.12M,337.78M,548.38M,,5.703M,,5.703M,10.38M,16.08M,,,,,,,86.34M,86.34M,,,102.42M,,,,27.61M,,27.61M,11.54M,39.15M,141.57M,,0.905M,247.79M,173.71M,15.61M,406.80M,,,
2003-09,103.03M,0.998M,104.03M,65.59M,,65.59M,,31.26M,1.015M,,201.90M,,,,,,,,268.62M,-61.32M,207.30M,,48.24M,48.24M,,85.91M,341.45M,543.35M,,7.692M,,7.692M,13.49M,21.18M,,,,,,,99.11M,99.11M,,,120.29M,,,,25.95M,,25.95M,11.63M,37.58M,157.87M,,0.905M,240.30M,171.28M,27.01M,385.48M,,,
2003-06,32.01M,0.998M,33.01M,150.95M,,150.95M,,32.30M,1.00M,,217.26M,0.00,22.57M,76.89M,153.07M,,4.834M,,257.36M,-61.32M,196.05M,,48.24M,48.24M,,87.02M,331.31M,548.58M,,9.617M,,9.617M,17.67M,27.29M,,,,,,,119.49M,119.49M,,,146.78M,,,,23.84M,,23.84M,12.73M,36.57M,183.35M,,0.905M,233.40M,169.30M,38.38M,365.22M,,,
2003-03,33.30M,0.998M,34.30M,62.76M,,62.76M,,29.80M,0.85M,,127.71M,,,,,,,,248.96M,-58.12M,190.84M,,48.24M,48.24M,,89.02M,328.09M,455.80M,,7.946M,,7.946M,9.701M,17.65M,,,,,,,51.89M,51.89M,,,69.54M,,,,20.80M,,20.80M,14.29M,35.09M,104.62M,,0.905M,224.93M,168.45M,43.10M,351.18M,,,
2002-12,30.21M,0.998M,31.21M,74.09M,,74.09M,,28.83M,0.80M,,134.93M,,,,,,,,246.32M,-58.12M,188.20M,,118.67M,118.67M,,17.78M,324.65M,459.58M,,9.929M,,9.929M,11.82M,21.75M,,,,,,,61.74M,61.74M,,,83.48M,,,,19.30M,,19.30M,16.42M,35.72M,119.20M,,0.905M,217.42M,168.17M,46.11M,340.38M,,,
2002-09,41.67M,0.997M,42.66M,71.97M,,71.97M,,29.51M,1.00M,,145.14M,,,,,,,,242.59M,-58.12M,184.47M,,106.00M,106.00M,,25.34M,315.81M,460.95M,,9.969M,,9.969M,11.56M,21.53M,,,,,,,71.78M,71.78M,,,93.31M,,,,17.80M,,17.80M,16.06M,33.86M,127.16M,,0.905M,208.93M,168.14M,44.19M,333.78M,,,
2002-06,17.76M,0.997M,18.76M,131.43M,,131.43M,,28.88M,0.90M,,179.98M,0.00,15.29M,57.64M,141.94M,,17.03M,,231.90M,-58.12M,173.78M,,107.16M,107.16M,,25.23M,306.16M,486.14M,,9.051M,,9.051M,11.58M,20.63M,,,,,,,92.03M,92.03M,,,112.66M,,,,15.80M,,15.80M,16.95M,32.75M,145.40M,,0.905M,201.16M,168.06M,29.39M,340.74M,,,
2002-03,47.81M,0.998M,48.81M,76.95M,0.934M,77.88M,,29.48M,1.415M,,157.59M,,,,,,,,220.49M,-52.82M,167.67M,,108.36M,108.36M,,25.22M,301.25M,458.84M,,9.886M,,9.886M,7.54M,17.43M,,,,,,,60.40M,60.40M,,,77.82M,,,,14.71M,,14.71M,17.15M,31.85M,109.68M,,0.904M,189.14M,165.82M,6.708M,349.16M,,,
2001-12,36.83M,0.997M,37.83M,91.34M,,91.34M,,11.76M,0.75M,17.64M,159.31M,,,,,,,,205.63M,-47.44M,158.20M,,99.95M,99.95M,,25.06M,283.20M,442.51M,,9.236M,,9.236M,10.81M,20.04M,0.087M,,,0.087M,,0.087M,66.61M,66.61M,,,86.74M,0.184M,,0.184M,7.372M,,7.372M,19.26M,26.82M,113.55M,,0.896M,178.72M,156.05M,6.708M,328.96M,,,
2001-09,45.01M,0.994M,46.00M,78.06M,,78.06M,,32.62M,0.75M,,157.44M,,,,,,,,187.14M,-42.26M,144.88M,,98.53M,98.53M,,22.39M,265.80M,423.24M,,12.51M,,12.51M,6.255M,18.77M,0.087M,,,0.087M,,0.087M,62.47M,62.47M,,7.113M,88.44M,0.206M,,0.206M,7.413M,,7.413M,16.74M,24.35M,112.79M,,0.891M,168.35M,147.17M,5.965M,310.45M,,,
2001-06,18.59M,0.985M,19.57M,116.57M,0.537M,117.11M,,34.62M,0.75M,,172.05M,0.00,6.519M,44.02M,79.89M,31.74M,14.02M,,176.19M,-37.75M,138.44M,,101.39M,101.39M,,21.24M,261.07M,433.12M,,17.85M,,17.85M,9.595M,27.44M,0.087M,,,0.087M,,0.087M,79.49M,79.49M,,,107.02M,0.228M,,0.228M,7.857M,,7.857M,15.51M,23.60M,130.62M,,0.888M,156.40M,145.21M,,302.50M,,,
2001-03,25.14M,0.99M,26.14M,62.35M,,62.35M,,9.581M,0.72M,15.66M,114.44M,,,,,,,,161.01M,-34.02M,126.98M,,103.37M,103.37M,,19.20M,249.56M,364.00M,,9.474M,,9.474M,20.13M,29.60M,0.085M,,,0.085M,,0.085M,49.03M,49.03M,,,78.72M,0.251M,,0.251M,7.677M,,7.677M,16.26M,24.18M,102.90M,,0.882M,143.53M,116.69M,,261.10M,,,
2000-12,15.83M,0.976M,16.81M,,,59.73M,,,,23.12M,99.66M,,,,,,,,147.29M,-30.59M,116.70M,,105.35M,105.35M,,17.40M,239.45M,339.10M,,7.303M,,7.303M,,7.303M,,,,0.123M,,0.123M,,,,65.74M,73.16M,0.24M,,0.24M,6.253M,,6.253M,13.66M,20.16M,93.32M,,0.437M,130.84M,114.51M,,245.78M,,,
2000-09,20.45M,0.961M,21.42M,,,44.96M,,,,20.60M,86.97M,,,,,,,,129.83M,-27.66M,102.16M,,107.32M,107.32M,,15.92M,225.40M,312.38M,,6.47M,,6.47M,,6.47M,,,,0.123M,,0.123M,,,,62.71M,69.31M,0.279M,,0.279M,5.132M,,5.132M,11.84M,17.26M,86.56M,,0.43M,120.12M,105.27M,,225.81M,,,
2000-06,5.186M,0.946M,6.132M,77.42M,,77.42M,,,,20.45M,104.00M,,,,,,,,118.75M,-25.46M,93.28M,,109.28M,109.28M,,14.52M,217.08M,321.08M,,9.255M,,9.255M,,9.255M,,,,70.62M,,70.62M,,,,71.26M,151.14M,0.32M,,0.32M,5.132M,,5.132M,9.945M,15.40M,166.54M,,0.414M,110.38M,43.75M,,154.54M,,,
2000-03,12.98M,1.034M,14.01M,,,36.02M,,,,22.35M,72.37M,,,,,,,,103.46M,-23.57M,79.89M,,65.55M,65.55M,,4.898M,150.34M,222.71M,,6.476M,,6.476M,,6.476M,,,,29.50M,,29.50M,,,,49.00M,84.97M,,,,1.907M,,1.907M,,1.907M,86.88M,,0.407M,99.61M,35.82M,,135.83M,,,
1999-12,3.30M,6.70M,10.00M,,,55.70M,,,,20.80M,86.50M,,,,,,,,96.90M,-22.80M,74.10M,,66.90M,66.90M,,5.60M,146.60M,233.10M,,9.50M,,9.50M,,9.50M,,,,37.50M,,37.50M,,,,59.10M,106.10M,,,,1.90M,,1.90M,,1.90M,108.00M,,0.20M,91.50M,33.40M,,125.10M,,,
1999-09,2.40M,6.60M,9.00M,,,33.70M,,,,18.30M,61.00M,,,,,,,,89.60M,-18.90M,70.70M,,69.30M,69.30M,,4.10M,144.10M,205.10M,,4.50M,,4.50M,,4.50M,,,,25.00M,,25.00M,,,,51.00M,80.50M,,,,2.60M,,2.60M,,2.60M,83.10M,,0.20M,89.10M,32.70M,,122.00M,,,
1999-06,3.376M,6.702M,10.08M,,,52.78M,,,,15.34M,78.20M,,,,,,,,85.14M,-18.94M,66.19M,,25.18M,25.18M,,8.254M,99.63M,177.82M,,5.036M,,5.036M,,5.036M,,,,0.415M,,0.415M,,,,48.61M,54.06M,0.211M,,0.211M,3.215M,,3.215M,4.536M,7.962M,62.02M,,0.205M,83.38M,32.21M,,115.80M,,,
1999-03,14.10M,,14.10M,,,20.10M,,,,17.60M,51.80M,,,,,,,,70.50M,-11.40M,59.10M,,21.90M,21.90M,,6.50M,87.50M,139.30M,,0.40M,,0.40M,,0.40M,,,,,,,,,,31.20M,31.60M,,,,2.50M,,2.50M,,2.50M,34.10M,,,75.60M,,,105.20M,,,
1998-12,34.70M,,34.70M,,,29.10M,,,,11.80M,75.60M,,,,,,,,55.40M,-11.40M,44.00M,,22.10M,22.10M,,7.10M,73.20M,148.80M,,5.90M,,5.90M,,5.90M,,,,,,,,,,42.00M,47.90M,,,,2.50M,,2.50M,0.10M,2.60M,50.50M,,,69.40M,,,98.30M,,,
1998-09,39.10M,,39.10M,,,22.30M,,,,10.60M,72.00M,,,,,,,,46.60M,-12.70M,33.90M,,19.70M,19.70M,,4.10M,57.70M,129.70M,,5.20M,,5.20M,,5.20M,,,,,,,,,,40.00M,45.20M,,,,2.50M,,2.50M,,2.50M,47.70M,,,61.80M,,,82.00M,,,
1998-06,24.70M,3.20M,27.90M,,,42.60M,,,,11.60M,82.10M,,,,,,,,42.30M,-11.40M,30.90M,,15.30M,15.30M,,3.70M,49.90M,132.00M,,8.10M,,8.10M,,8.10M,,,,,,,,,,38.90M,47.00M,,,,2.50M,,2.50M,-0.10M,2.40M,49.40M,,0.20M,56.20M,26.20M,,82.60M,,,
1998-03,20.30M,,20.30M,,,14.10M,,,,8.10M,42.50M,,,,,,,,35.30M,-10.70M,24.60M,,15.60M,15.60M,,4.00M,44.20M,86.70M,,1.90M,,1.90M,,1.90M,,,,,,,,,,16.30M,18.20M,,,,2.00M,,2.00M,,2.00M,20.20M,,,48.90M,,,66.50M,,,
1997-12,20.70M,,20.70M,,,16.90M,,,,8.00M,45.60M,,,,,,,,36.60M,-13.20M,23.40M,,16.70M,16.70M,,3.30M,43.40M,89.00M,,4.60M,,4.60M,,4.60M,,,,,,,,,,20.60M,25.20M,,,,2.00M,,2.00M,,2.00M,27.20M,,,44.90M,,,61.80M,,,
1997-09,21.80M,,21.80M,,,11.80M,,,,8.20M,41.80M,,,,,,,,30.80M,-7.90M,22.90M,,15.10M,15.10M,,2.10M,40.10M,81.90M,,2.30M,,2.30M,,2.30M,,,,,,,,,,21.80M,24.10M,,,,2.00M,,2.00M,0.10M,2.10M,26.20M,,,40.80M,,,55.70M,,,
1997-06,7.90M,,7.90M,,,22.70M,,,,12.10M,42.70M,,,,,,,,29.80M,-7.90M,21.90M,,15.50M,15.50M,,2.00M,39.40M,82.10M,,2.90M,,2.90M,,2.90M,,,,,,,,,,24.30M,27.20M,,,,2.00M,,2.00M,0.10M,2.10M,29.30M,,,38.10M,,,52.80M,,,
1997-03,6.50M,,6.50M,,,8.80M,,,,9.20M,24.50M,,,,,,,,24.80M,-5.90M,18.90M,,15.90M,15.90M,,2.00M,36.80M,61.30M,,2.10M,,2.10M,,2.10M,,,,,,,,,,12.30M,14.40M,,,,1.70M,,1.70M,,1.70M,16.10M,,,33.00M,,,45.20M,,,
1996-12,5.60M,,5.60M,,,9.30M,,,,10.60M,25.50M,,,,,,,,23.50M,-5.90M,17.60M,,16.30M,16.30M,,2.00M,35.90M,61.40M,,2.10M,,2.10M,,2.10M,,,,,,,,,,14.90M,17.00M,,,,1.70M,,1.70M,0.10M,1.80M,18.80M,,,30.30M,,,42.60M,,,
1996-09,10.70M,,10.70M,,,8.40M,,,,6.30M,25.40M,,,,,,,,22.60M,-5.90M,16.70M,,16.70M,16.70M,,2.00M,35.40M,60.80M,,1.60M,,1.60M,,1.60M,,,,,,,,,,17.20M,18.80M,,,,1.70M,,1.70M,,1.70M,20.50M,,,27.60M,,,40.30M,,,
1996-06,5.00M,,5.00M,,,16.00M,,,,7.10M,28.10M,,,,,,,,19.50M,-5.90M,13.60M,,16.80M,16.80M,,1.90M,32.30M,60.40M,,2.20M,,2.20M,,2.20M,,,,,,,,,,19.10M,21.30M,,,,1.70M,,1.70M,,1.70M,23.00M,,,26.60M,,,37.40M,,,
1996-03,4.60M,,4.60M,,,8.40M,,,,5.70M,18.70M,,,,,,,,19.70M,-6.00M,13.70M,,17.40M,17.40M,,2.80M,33.90M,52.60M,,2.40M,,2.40M,,2.40M,,,,,,,,,,13.50M,15.90M,,,,1.00M,,1.00M,,1.00M,16.90M,,,26.40M,,,35.70M,,,
1995-12,5.40M,,5.40M,,,6.20M,,,,5.60M,17.20M,,,,,,,,17.60M,-4.80M,12.80M,,17.80M,17.80M,,2.80M,33.40M,50.60M,,1.20M,,1.20M,,1.20M,,,,,,,,,,14.80M,16.00M,,,,1.00M,,1.00M,-0.10M,0.90M,16.90M,,,24.40M,,,33.70M,,,
1995-09,5.00M,,5.00M,,,6.80M,,,,6.50M,18.30M,,,,,,,,16.70M,-4.80M,11.90M,,17.80M,17.80M,,3.40M,33.10M,51.40M,,1.80M,,1.80M,,1.80M,,,,,,,,,,16.90M,18.70M,,,,1.10M,,1.10M,,1.10M,19.80M,,,22.40M,,,31.60M,,,
1995-06,3.40M,,3.40M,,,16.70M,,,,7.40M,27.50M,,,,,,,,15.10M,-4.80M,10.30M,,17.80M,17.80M,,3.10M,31.20M,58.70M,,5.10M,,5.10M,,5.10M,,,,,,,,,,23.00M,28.10M,,,,1.10M,,1.10M,,1.10M,29.20M,,,19.90M,,,29.50M,,,
1995-03,3.20M,,3.20M,,,5.70M,,,,13.40M,22.30M,,,,,,,,12.10M,-3.90M,8.20M,,4.60M,4.60M,,2.60M,15.40M,37.70M,,2.00M,,2.00M,,2.00M,,,,,,,,,,7.50M,9.50M,,,,0.70M,,0.70M,-0.10M,0.60M,10.10M,,,18.20M,,,27.60M,,,
1994-12,2.80M,,2.80M,,,11.20M,,,,9.40M,23.40M,,,,,,,,12.10M,-3.90M,8.20M,,4.80M,4.80M,,2.50M,15.50M,38.90M,,2.20M,,2.20M,,2.20M,,,,,,,,,,9.60M,11.80M,,,,0.70M,,0.70M,,0.70M,12.50M,,,17.10M,,,26.40M,,,
1994-09,3.50M,,3.50M,,,5.10M,,,,14.10M,22.70M,,,,,,,,11.40M,-3.90M,7.50M,,5.00M,5.00M,,2.50M,15.00M,37.70M,,1.30M,,1.30M,,1.30M,,,,,,,,,,10.70M,12.00M,,,,0.70M,,0.70M,,0.70M,12.70M,,,15.70M,,,25.00M,,,
1994-06,1.90M,,1.90M,,,11.40M,,,,11.90M,25.20M,,,,,,,,10.90M,-3.90M,7.00M,,,,,6.10M,13.10M,38.30M,,3.60M,,3.60M,,3.60M,,,,,,,,,,10.40M,14.00M,,,,0.70M,,0.70M,-0.10M,0.60M,14.60M,,,14.50M,,,23.70M,,,
1994-03,2.60M,,2.60M,,,4.80M,,,,11.90M,19.30M,,,,,,,,7.40M,-1.90M,5.50M,,4.20M,4.20M,,3.20M,12.90M,32.20M,,2.10M,,2.10M,,2.10M,,,,,,,,,,6.80M,8.90M,,,,0.30M,,0.30M,,0.30M,9.20M,,,13.20M,,,23.00M,,,
1993-12,3.00M,,3.00M,,,5.90M,,,,11.50M,20.40M,,,,,,,,7.10M,-1.90M,5.20M,,4.40M,4.40M,,3.40M,13.00M,33.40M,,3.20M,,3.20M,,3.20M,,,,,,,,,,8.00M,11.20M,,,,,,,,0.30M,11.50M,,,12.50M,,,21.90M,,,
1993-09,2.50M,,2.50M,,,4.20M,,,,11.10M,17.80M,,,,,,,,7.30M,-1.90M,5.40M,,4.60M,4.60M,,3.40M,13.40M,31.20M,,2.30M,,2.30M,,2.30M,,,,,,,,,,7.90M,10.20M,,,,0.30M,,0.30M,,0.30M,10.50M,,,11.30M,,,20.70M,,,
1993-06,4.80M,,4.80M,,,8.20M,,,,6.40M,19.40M,,,,,,,,6.90M,-1.90M,5.00M,,,,,5.50M,10.50M,29.90M,,3.90M,,3.90M,,3.90M,,,,,,,,,,8.10M,12.00M,,,,,,,,0.30M,12.30M,,,10.40M,,,17.60M,,,
1993-03,3.90M,,3.90M,,,2.80M,,,,6.10M,12.80M,,,,,,,,6.90M,-1.90M,5.00M,,3.10M,3.10M,,2.50M,10.60M,23.40M,,1.60M,,1.60M,,1.60M,,,,,,,,,,5.30M,6.90M,,,,0.30M,,0.30M,0.10M,0.40M,7.30M,,,9.30M,,,16.10M,,,
1992-12,5.90M,,5.90M,,,5.20M,,,,5.80M,16.90M,,,,,,,,6.60M,-1.90M,4.70M,,3.20M,3.20M,,1.30M,9.20M,26.10M,,4.10M,,4.10M,,4.10M,,,,,,,,,,6.80M,10.90M,,,,0.30M,,0.30M,-0.10M,0.20M,11.10M,,,8.50M,,,15.00M,,,
1992-09,4.10M,,4.10M,,,7.30M,,,,1.00M,12.40M,,,,,,,,6.40M,-1.90M,4.50M,,1.40M,1.40M,,3.10M,9.00M,21.40M,,1.40M,,1.40M,,1.40M,,,,,,,,,,6.50M,7.90M,,,,0.30M,,0.30M,,0.30M,8.20M,,,6.70M,,,13.20M,,,
1992-06,1.50M,,1.50M,,,6.00M,,,,8.10M,15.60M,,,,,,,,4.00M,-1.90M,2.10M,,,,,4.40M,6.50M,22.10M,,,,,,,,,,,,,,,,,9.40M,,,,0.30M,,0.30M,,0.30M,9.70M,,,6.00M,,,12.40M,,,
1992-03,0.60M,,0.60M,,,2.00M,,,,6.90M,9.50M,,,,,,,,4.10M,-1.90M,2.20M,,1.70M,1.70M,,4.20M,8.10M,17.60M,,1.20M,,1.20M,,1.20M,,,,,,,,,,4.80M,6.00M,,,,0.30M,,0.30M,,0.30M,6.30M,,,5.30M,,,11.30M,,,
1991-12,3.70M,,3.70M,,,1.80M,,,,4.80M,10.30M,,,,,,,,4.00M,-1.90M,2.10M,,1.40M,1.40M,,3.90M,7.40M,17.70M,,1.30M,,1.30M,,1.30M,,,,,,,,,,5.80M,7.10M,,,,0.30M,,0.30M,,0.30M,7.40M,,,4.70M,,,10.30M,,,
1991-09,2.50M,,2.50M,,,1.70M,,,,5.10M,9.30M,,,,,,,,4.00M,-1.90M,2.10M,,1.50M,1.50M,,3.80M,7.40M,16.70M,,0.70M,,0.70M,,0.70M,,,,,,,,,,6.00M,6.70M,,,,0.30M,,0.30M,,0.30M,7.00M,,,4.00M,,,9.70M,,,
1991-06,1.10M,,1.10M,,,5.50M,,,,5.00M,11.60M,,,,,,,,4.00M,-1.90M,2.10M,,,,,3.90M,6.00M,17.60M,,3.20M,,3.20M,,3.20M,,,,,,,,,,5.00M,8.20M,,,,0.30M,,0.30M,-0.10M,0.20M,8.40M,,,3.50M,,,9.20M,,,
1991-03,0.80M,,0.80M,,,1.50M,,,,4.80M,7.10M,,,,,,,,4.30M,-2.10M,2.20M,,1.80M,1.80M,,2.30M,6.30M,13.40M,,0.20M,,0.20M,,0.20M,,,,0.10M,,0.10M,,,,3.50M,3.80M,,,,0.60M,,0.60M,,0.60M,4.40M,,,3.40M,,,9.00M,,,
1990-12,1.10M,,1.10M,,,2.40M,,,,4.60M,8.10M,,,,,,,,4.40M,-2.10M,2.30M,,1.90M,1.90M,,2.40M,6.60M,14.70M,,1.40M,,1.40M,,1.40M,,,,0.10M,,0.10M,,,,3.90M,5.40M,,,,0.60M,,0.60M,-0.10M,0.50M,5.90M,,,3.10M,,,8.80M,,,
1990-09,3.50M,,3.50M,,,2.00M,,,,2.80M,8.30M,,,,,,,,4.50M,-2.10M,2.40M,,2.00M,2.00M,,2.60M,7.00M,15.30M,,1.50M,,1.50M,,1.50M,,,,0.10M,,0.10M,,,,4.50M,6.10M,0.10M,,0.10M,0.60M,,0.60M,0.10M,0.80M,6.90M,,,2.80M,,,8.40M,,,
1990-06,1.60M,,1.60M,,,3.50M,,,,2.00M,7.10M,,,,,,,,4.60M,-2.10M,2.50M,,2.10M,2.10M,,2.70M,7.30M,14.40M,,0.40M,,0.40M,,0.40M,,,,0.10M,,0.10M,,,,4.60M,5.10M,0.10M,,0.10M,0.60M,,0.60M,0.10M,0.80M,5.90M,,,2.90M,,,8.50M,,,
1990-03,2.20M,,2.20M,,,4.10M,,,,1.80M,8.10M,,,,,,,,4.20M,-1.60M,2.60M,,2.20M,2.20M,,1.70M,6.50M,14.60M,,1.30M,,1.30M,,1.30M,,,,0.10M,,0.10M,,,,3.10M,4.50M,0.10M,,0.10M,0.30M,,0.30M,0.10M,0.50M,5.00M,,,4.00M,,,9.60M,,,
1989-12,2.50M,,2.50M,,,4.00M,,,,1.70M,8.20M,,,,,,,,4.20M,-1.60M,2.60M,,2.40M,2.40M,,2.00M,7.00M,15.20M,,1.40M,,1.40M,,1.40M,,,,0.10M,,0.10M,,,,3.80M,5.30M,0.10M,,0.10M,0.30M,,0.30M,0.10M,0.50M,5.80M,,,3.70M,,,9.40M,,,
1989-09,1.10M,,1.10M,,,4.70M,,,,1.90M,7.70M,,,,,,,,4.20M,-1.60M,2.60M,,2.50M,2.50M,,2.10M,7.20M,14.90M,,1.20M,,1.20M,,1.20M,,,,0.10M,,0.10M,,,,3.60M,4.90M,0.30M,,0.30M,0.30M,,0.30M,,0.60M,5.50M,,,3.60M,,,9.40M,,,
