,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2006-09,-337.00M,,,,,,,,,,,,,,,,1.20B,1.20B,,863.00M,,-493.00M,3.00M,-490.00M,574.00M,-115.00M,95.00M,64.00M,,2006-09,-64.00M,31.00M,,31.00M,,,,,-135.00M,-168.00M,,2006-09,759.00M,-13.00M,1.989B,,,31.00M,,,,102.00M,346.00M,2006-09,,
2006-06,169.00M,,,,,,,,,,,,,,,,273.00M,273.00M,,442.00M,,-310.00M,3.00M,-307.00M,111.00M,-15.00M,-169.00M,-380.00M,,2006-06,-30.00M,20.00M,,20.00M,,,,,-51.00M,-61.00M,,2006-06,1.00M,-9.00M,1.032B,,,20.00M,,,,85.00M,512.00M,2006-06,,
2006-03,348.00M,,,,,,,,,,,,,,,,161.00M,161.00M,,509.00M,,-242.00M,4.00M,-238.00M,110.00M,-172.00M,1.00M,-299.00M,,2006-03,-358.00M,8.00M,,8.00M,,,,,-32.00M,-382.00M,,2006-03,-172.00M,36.00M,1.04B,,,8.00M,,,,173.00M,344.00M,2006-03,,
2005-12,96.00M,,,,,,,,,,,,,,,,-827.00M,-886.00M,,754.00M,,-25.00M,-21.00M,780.00M,22.00M,106.00M,-38.00M,44.00M,,2005-12,-335.00M,6.00M,,6.00M,,,,126.00M,-218.00M,-421.00M,,2005-12,377.00M,-19.00M,1.169B,,,6.00M,,,,-133.00M,-1.203B,2005-12,,Restated
2005-09,244.00M,,,,,,,,,,,,,,,,377.00M,377.00M,,621.00M,,-270.00M,15.00M,-255.00M,0.00,-143.00M,35.00M,-363.00M,,2005-09,-401.00M,4.00M,,4.00M,,,,-126.00M,45.00M,-478.00M,,2005-09,-220.00M,5.00M,1.164B,,,4.00M,,,,32.00M,354.00M,2005-09,,
2005-06,85.00M,,,,,,,,,,,,,,,,242.00M,242.00M,,327.00M,,-260.00M,3.00M,-257.00M,0.00,33.00M,-4.00M,-228.00M,,2005-06,-246.00M,8.00M,,8.00M,,,,21.00M,-47.00M,-264.00M,,2005-06,-165.00M,45.00M,1.37B,,,8.00M,,,,28.00M,475.00M,2005-06,,
2005-03,124.00M,,,,,,,,,,,,,,,,394.00M,394.00M,,518.00M,,-271.00M,3.00M,-268.00M,-85.00M,158.00M,89.00M,-106.00M,,2005-03,-160.00M,8.00M,,8.00M,,,,-21.00M,-3.00M,-176.00M,,2005-03,236.00M,-18.00M,1.499B,,,8.00M,,,,73.00M,374.00M,2005-03,,
2004-12,115.00M,,,,,,799.00M,,,,,,,,,,-1.042B,-1.118B,,454.00M,,-295.00M,-1.00M,-296.00M,,75.00M,-181.00M,-402.00M,,2004-12,-149.00M,9.00M,,9.00M,,,,,-55.00M,-195.00M,,2004-12,-143.00M,20.00M,1.281B,,,9.00M,,,,70.00M,520.00M,2004-12,,
2004-09,93.00M,,,,,,,,,,,,,,,,411.00M,411.00M,,504.00M,,-220.00M,28.00M,-192.00M,,-27.00M,-29.00M,-248.00M,,2004-09,41.00M,3.00M,,3.00M,,,,,-44.00M,0.00,,2004-09,256.00M,16.00M,1.404B,,,3.00M,,,,49.00M,381.00M,2004-09,,
2004-06,42.00M,,,,,,-200.00M,,,-226.00M,,,,,,,595.00M,595.00M,1.00M,212.00M,,-187.00M,9.00M,-178.00M,,4.00M,430.00M,256.00M,,2004-06,-286.00M,2.00M,,2.00M,,,,8.00M,-78.00M,-354.00M,,2004-06,114.00M,-13.00M,1.132B,,,2.00M,,,,33.00M,485.00M,2004-06,,
2004-03,48.00M,,,,,,200.00M,,,226.00M,,,,,,,-72.00M,-72.00M,-1.00M,401.00M,,-190.00M,27.00M,-163.00M,,-36.00M,-432.00M,-631.00M,,2004-03,-340.00M,2.00M,,2.00M,,,,-8.00M,-41.00M,-387.00M,,2004-03,-617.00M,-15.00M,1.095B,,,2.00M,,,,45.00M,373.00M,2004-03,,
2003-12,-454.00M,,,,,,200.00M,,,-165.00M,,,,,,,-565.00M,139.00M,4.00M,494.00M,,-350.00M,379.00M,29.00M,,38.00M,-24.00M,43.00M,,2003-12,-222.00M,2.00M,,2.00M,,,,19.00M,-78.00M,-279.00M,,2003-12,258.00M,5.00M,1.737B,,,2.00M,,,,33.00M,547.00M,2003-12,,
2003-09,75.00M,,,,,,581.00M,,,165.00M,,,,,,,-472.00M,-472.00M,62.00M,411.00M,,-305.00M,19.00M,-286.00M,,-12.00M,-6.00M,-304.00M,,2003-09,-217.00M,0.00,,0.00,,,,-19.00M,-18.00M,-254.00M,,2003-09,-147.00M,1.00M,1.474B,,,0.00,,,,35.00M,350.00M,2003-09,,
2003-06,-128.00M,,,,,,,,,-353.00M,,,,,,,772.00M,772.00M,18.00M,309.00M,,-308.00M,103.00M,-205.00M,,19.00M,-122.00M,-308.00M,,2003-06,125.00M,335.00M,,335.00M,,,,,-55.00M,405.00M,,2003-06,406.00M,34.00M,1.653B,,,335.00M,,,,30.00M,549.00M,2003-06,,
2003-03,93.00M,,,,,,,,,353.00M,,,,,,,,,-18.00M,428.00M,,-265.00M,585.00M,320.00M,,-32.00M,-102.00M,186.00M,,2003-03,-216.00M,,,,,,,,-9.00M,-225.00M,,2003-03,389.00M,-1.00M,1.18B,,,,,,,23.00M,381.00M,2003-03,,
2002-12,-3.112B,,,,,,,,,,,,,,,,-1.481B,-1.285B,85.00M,347.00M,,-374.00M,90.00M,-284.00M,35.00M,-21.00M,-7.00M,-277.00M,,2002-12,-120.00M,,,,,,,,-51.00M,-171.00M,,2002-12,-101.00M,8.00M,792.00M,,,,,,,-6.00M,579.00M,2002-12,,
2002-09,-397.00M,,,,,,,,,,,,,,,,519.00M,519.00M,,122.00M,,-451.00M,256.00M,-195.00M,-35.00M,36.00M,59.00M,-135.00M,,2002-09,33.00M,,,,,,,,0.00,33.00M,,2002-09,20.00M,-13.00M,975.00M,,,,,,,3.00M,542.00M,2002-09,,
2002-06,313.00M,,,,,,,,,-940.00M,,,,,,,1.06B,1.06B,174.00M,607.00M,,-638.00M,29.00M,-609.00M,-35.00M,131.00M,-54.00M,-567.00M,,2002-06,-35.00M,,,,,,,,-65.00M,-100.00M,,2002-06,-60.00M,-51.00M,1.028B,,,,,,,4.00M,521.00M,2002-06,,
2002-03,-313.00M,,,,,,,,,940.00M,,,,,,,,,-174.00M,453.00M,,-653.00M,,-653.00M,35.00M,-129.00M,126.00M,-621.00M,,2002-03,372.00M,,,,,,,,38.00M,410.00M,,2002-03,242.00M,-25.00M,988.00M,,,,,,,2.00M,365.00M,2002-03,,
2001-12,52.00M,,,,,,,,,,,,,,,,-1.238B,-685.00M,,487.00M,,-906.00M,521.00M,-385.00M,0.00,-16.00M,-243.00M,-644.00M,,2001-12,6.00M,-17.00M,,-17.00M,,,,0.00,-69.00M,-80.00M,,2001-12,-237.00M,-31.00M,802.00M,,,-17.00M,,,,53.00M,702.00M,2001-12,,
2001-09,-39.00M,,,,,,,,,,,,,,,,224.00M,224.00M,,185.00M,,-1.044B,43.00M,-1.001B,-47.00M,-53.00M,134.00M,-967.00M,,2001-09,915.00M,6.00M,,6.00M,,,,0.00,-45.00M,876.00M,,2001-09,94.00M,13.00M,1.297B,,,6.00M,,,,81.00M,445.00M,2001-09,,
2001-06,154.00M,,,,,,,,,,,,,,,,96.00M,96.00M,,250.00M,,-456.00M,,-456.00M,-305.00M,21.00M,-32.00M,-772.00M,,2001-06,-120.00M,7.00M,,7.00M,,,,0.00,8.00M,-105.00M,,2001-06,-627.00M,-13.00M,1.19B,,,7.00M,,,,60.00M,299.00M,2001-06,,
2001-03,106.00M,,,,,,,,,,,,,,,,770.00M,770.00M,,876.00M,,-767.00M,,-767.00M,-1.013B,-64.00M,913.00M,-931.00M,,2001-03,1.049B,18.00M,,18.00M,,,,-15.00M,-117.00M,935.00M,,2001-03,880.00M,,1.83B,,,18.00M,,,,60.00M,400.00M,2001-03,,
2000-12,375.00M,,,,,,,,,,,,,,,,111.00M,-505.00M,,197.00M,,-871.00M,221.00M,-650.00M,-301.00M,-441.00M,-696.00M,-2.088B,,2000-12,1.067B,587.00M,,587.00M,,,,-55.00M,146.00M,1.745B,,2000-12,-146.00M,,950.00M,,,587.00M,,,,179.00M,443.00M,2000-12,,
2000-09,13.00M,,,,,,,,,-227.00M,,,,,,,-111.00M,-111.00M,,-325.00M,,-424.00M,13.00M,-411.00M,0.00,-108.00M,-186.00M,-705.00M,,2000-09,1.154B,5.00M,,5.00M,,,,27.00M,-247.00M,939.00M,,2000-09,-91.00M,,1.106B,,,5.00M,,,,-39.00M,199.00M,2000-09,,
2000-06,133.00M,,,,,,,,,227.00M,,,,,,,-67.00M,-67.00M,,293.00M,,-624.00M,,-624.00M,-1.517B,22.00M,145.00M,-1.974B,,2000-06,1.189B,908.00M,,908.00M,,,,-14.00M,-47.00M,2.036B,,2000-06,355.00M,,1.221B,,,908.00M,,,,74.00M,362.00M,2000-06,,
2000-03,274.00M,,,,,,,,,,,,,,,,67.00M,67.00M,,341.00M,,-307.00M,,-307.00M,,111.00M,-570.00M,-766.00M,,2000-03,645.00M,8.00M,,8.00M,,,,-13.00M,-42.00M,598.00M,,2000-03,173.00M,,866.00M,,,8.00M,,,,2.00M,187.00M,2000-03,,
1999-12,129.00M,,,,80.00M,,278.00M,-195.00M,,,,,,,,,-141.00M,-438.00M,,-146.00M,,-193.00M,-16.00M,-209.00M,-4.274B,-35.00M,-133.00M,-4.651B,,1999-12,4.045B,791.00M,,791.00M,,,,,-72.00M,4.764B,,1999-12,-33.00M,,669.00M,,,791.00M,,,,-8.00M,222.00M,1999-12,,
1999-09,58.00M,,,,,,,,,,,,,,,,126.00M,126.00M,,184.00M,,-343.00M,0.00,-343.00M,-65.00M,-18.00M,54.00M,-372.00M,,1999-09,468.00M,0.00,,0.00,,,,,31.00M,499.00M,,1999-09,311.00M,,702.00M,,,0.00,,,,29.00M,105.00M,1999-09,,
1999-06,71.00M,,,,51.00M,,-60.00M,21.00M,,,,,,,,,68.00M,68.00M,,151.00M,,-235.00M,666.00M,431.00M,-1.259B,11.00M,-378.00M,-1.195B,,1999-06,531.00M,507.00M,,507.00M,,,,,-40.00M,998.00M,,1999-06,-46.00M,,391.00M,,,507.00M,,,,22.00M,123.00M,1999-06,,
1999-03,-13.00M,,,,-51.00M,,60.00M,-21.00M,,,,,,,,,33.00M,33.00M,,8.00M,,-63.00M,,-63.00M,-115.00M,-7.00M,15.00M,-170.00M,,1999-03,151.00M,7.00M,,7.00M,,,,,-50.00M,108.00M,,1999-03,-54.00M,,437.00M,,,7.00M,,,,2.00M,98.00M,1999-03,,
1998-12,96.00M,,,,31.00M,,48.00M,4.00M,,,,,,,,,247.00M,212.00M,,391.00M,,-261.00M,47.00M,-214.00M,-267.00M,60.00M,-61.00M,-482.00M,,1998-12,197.00M,5.00M,,5.00M,,,,,-3.00M,199.00M,,1998-12,108.00M,,491.00M,,,5.00M,,,,-13.00M,114.00M,1998-12,,
1998-09,79.00M,,,,-82.00M,,73.00M,28.00M,,,,,,,,,-159.00M,-159.00M,,-61.00M,,-114.00M,0.00,-114.00M,0.00,-15.00M,100.00M,-29.00M,,1998-09,-179.00M,185.00M,,185.00M,,,,,100.00M,106.00M,,1998-09,16.00M,,383.00M,,,185.00M,,,,0.00,145.00M,1998-09,,
1998-06,71.00M,,,,28.00M,,30.00M,15.00M,,,,,,,,,46.00M,46.00M,,190.00M,,14.00M,254.00M,268.00M,-1.28B,-235.00M,-184.00M,-1.431B,,1998-06,1.443B,3.00M,,3.00M,,,,,-155.00M,1.291B,,1998-06,50.00M,,367.00M,,,3.00M,,,,24.00M,59.00M,1998-06,,
