,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-10,77.90M,,,38.23M,38.23M,3.255M,,7.641M,7.641M,,-188.49M,,118.90M,-7.807M,,5.589M,-71.80M,55.22M,-29.06M,0.054M,-29.00M,,,0.00,-29.00M,-3.829M,,-3.829M,,0.00,0.00,,-11.76M,25.45M,0.116M,9.971M,102.28M,36.19M,138.47M,,0.00,-3.829M,0.00,,
2003-07,59.94M,,,38.13M,38.13M,9.157M,,2.915M,2.915M,,15.99M,,18.73M,-5.414M,,-27.36M,1.943M,112.08M,-33.85M,0.075M,-33.78M,,,-49.58M,-83.36M,-3.893M,,-3.893M,,0.00,0.00,,-11.70M,13.52M,-0.317M,-2.391M,75.95M,26.33M,102.28M,,,-3.893M,0.00,,
2003-04,60.33M,,,36.76M,36.76M,8.50M,,0.224M,0.224M,,-77.67M,,6.723M,-6.381M,,-28.79M,-106.12M,-0.308M,-30.13M,0.066M,-30.06M,,,,-30.06M,-4.086M,,-4.086M,,0.00,0.00,,-11.67M,0.694M,0.064M,-15.00M,121.32M,-45.37M,75.95M,,,-4.086M,0.00,,
2003-01,105.49M,,,36.29M,36.29M,12.75M,,0.094M,-0.20M,,126.09M,,-4.784M,2.774M,,14.55M,139.87M,294.29M,-29.17M,0.102M,-29.07M,,,,-29.07M,-172.12M,,-172.12M,,,,,-10.67M,0.177M,-9.732M,-192.34M,37.10M,72.89M,131.78M,,-168.40M,-3.716M,,,
2002-10,68.57M,,,36.28M,36.28M,-18.87M,,0.158M,0.20M,,-190.92M,,141.28M,10.90M,,-0.21M,-38.95M,47.39M,-34.28M,0.252M,-34.03M,,,,-34.03M,-5.417M,,-5.417M,,,,,-10.66M,0.335M,-0.027M,-15.77M,39.52M,-2.416M,37.10M,,-1.60M,-3.817M,,,
2002-07,42.36M,,,34.02M,34.02M,47.44M,,1.431M,-162.69M,,76.25M,,-5.779M,-15.18M,,-12.75M,42.55M,5.792M,-35.63M,0.069M,-35.56M,,,,-35.56M,-216.36M,,-216.36M,,,,,-10.66M,3.135M,5.756M,-218.14M,287.42M,-247.91M,39.52M,,170.00M,-386.36M,,,
2002-04,45.93M,,,32.00M,32.00M,39.86M,,0.689M,0.689M,,-3.426M,,-40.57M,1.50M,,-1.166M,-43.66M,74.82M,-34.81M,0.058M,-34.75M,,,,-34.75M,-3.196M,,-3.196M,,,,,-10.65M,1.374M,-1.699M,-14.17M,261.52M,25.90M,287.42M,,,-3.196M,,,
2002-01,97.44M,,,30.86M,30.86M,13.54M,,0.576M,0.576M,,118.19M,,-32.28M,-9.808M,,5.355M,81.46M,223.88M,-25.18M,1.063M,-24.12M,,,,-24.12M,-2.898M,,-2.898M,,,,,-10.61M,0.711M,-0.263M,-13.06M,74.82M,186.71M,261.52M,,,-2.898M,,,
2001-10,46.74M,,,31.12M,31.12M,1.34M,,0.587M,0.587M,,-152.36M,,85.92M,-6.001M,,24.58M,-47.86M,31.93M,-26.24M,0.086M,-26.16M,,,,-26.16M,-2.902M,,-2.902M,,,,,-10.64M,0.934M,0.027M,-12.58M,81.63M,-6.811M,74.82M,,0.00,-2.902M,,,
2001-07,27.10M,,,31.09M,31.09M,-7.399M,,1.398M,1.398M,,-75.32M,,27.42M,-4.703M,,-29.80M,-82.41M,-30.22M,-38.22M,0.03M,-38.19M,,,,-38.19M,-2.975M,,-2.975M,,,,,-10.64M,2.627M,0.126M,-10.86M,160.89M,-79.26M,81.63M,,0.00,-2.975M,,,
2001-04,36.23M,,,29.89M,29.89M,0.264M,,3.258M,3.258M,,-9.299M,,-29.95M,6.972M,,2.674M,-29.61M,40.04M,-35.73M,0.114M,-35.61M,,,,-35.61M,-3.048M,,-3.048M,,,,,-10.63M,7.996M,-0.159M,-5.842M,162.31M,-1.416M,160.89M,,,-3.048M,,,
2001-01,-32.16M,,,27.66M,27.66M,-65.15M,,3.997M,146.98M,,96.01M,,35.17M,2.133M,,2.494M,135.80M,232.16M,-23.27M,0.077M,-23.19M,,,,-23.19M,-2.793M,-61.37M,-64.16M,,2.561M,2.561M,,-12.72M,4.891M,,-74.61M,27.96M,134.35M,162.31M,,-221.36M,157.20M,2.561M,,
2000-10,45.68M,,,28.14M,28.14M,-2.943M,,7.379M,7.379M,,-86.97M,,23.00M,-2.816M,,-0.409M,-67.19M,11.06M,-40.12M,0.043M,-40.08M,,,,-40.08M,-5.158M,39.38M,34.22M,,0.00,0.00,,-10.54M,12.22M,,35.90M,21.08M,6.877M,27.96M,,39.39M,-5.169M,0.00,,
2000-07,27.79M,,,28.75M,28.75M,-5.52M,,2.689M,2.689M,,-61.24M,,26.85M,-5.489M,,-4.599M,-44.47M,9.239M,-49.50M,97.41M,47.91M,,,,47.91M,96.12M,-159.41M,-63.28M,,0.00,0.00,,-10.51M,7.997M,,-65.80M,29.74M,-8.655M,21.08M,,200.16M,-263.45M,0.00,,
2000-04,29.34M,,,26.85M,26.85M,-4.329M,,4.953M,4.953M,,-7.61M,,-102.51M,10.82M,,5.545M,-93.76M,-36.95M,-103.69M,0.084M,-103.61M,,,,-103.61M,-0.854M,181.40M,180.55M,,-65.55M,-65.55M,,-8.47M,9.027M,,115.55M,54.74M,-25.01M,29.74M,,181.40M,-0.854M,-65.55M,,
2000-01,57.87M,,46.80M,126.51M,126.51M,18.64M,,,-63.31M,,134.96M,,-13.94M,9.449M,52.10M,0.645M,183.22M,322.92M,-29.67M,-60.15M,-89.82M,,,0.10M,-89.72M,,,,,,,,-8.191M,,-214.40M,-219.40M,35.70M,13.80M,54.74M,,,,,,
1999-10,50.80M,,-16.50M,-16.50M,-16.50M,-8.70M,,,32.90M,,-154.40M,,137.70M,-17.40M,19.00M,-0.80M,-15.90M,42.60M,-39.00M,1.30M,-37.70M,,,-0.10M,-37.80M,,,,,,,,-8.60M,,14.10M,5.50M,25.30M,10.30M,35.70M,,,,,,
1999-07,41.70M,,-15.50M,-15.50M,-15.50M,-6.60M,,,31.10M,,-12.00M,,-36.80M,-18.00M,-27.10M,0.80M,-93.10M,-42.40M,-42.80M,40.30M,-2.50M,,,,-2.50M,,,,,,,,-8.70M,,53.30M,44.60M,25.60M,-0.30M,25.30M,,,,,,
1999-04,36.30M,,-14.80M,-14.80M,-14.80M,-5.60M,,,29.60M,,-127.40M,,-11.10M,10.60M,-44.00M,,-171.90M,-126.40M,-30.60M,21.60M,-9.00M,,,,-9.00M,,,,,,,,-8.30M,,147.00M,138.70M,22.30M,3.30M,25.60M,,,,,,
1999-01,46.93M,,38.80M,96.21M,96.21M,6.311M,,,-47.15M,,141.06M,,21.39M,1.57M,10.90M,,172.18M,274.49M,-39.28M,-15.88M,-55.16M,,,,-55.16M,,,,,,,,-5.661M,,-220.14M,-220.66M,18.30M,-1.327M,27.64M,,,,,,
1998-10,40.30M,,-13.50M,-13.50M,-13.50M,-9.50M,,,28.90M,,-147.00M,,66.30M,-12.80M,-1.50M,,-95.00M,-48.80M,-45.90M,13.30M,-32.60M,,,,-32.60M,,,,,,,,-6.10M,,72.60M,66.50M,33.20M,-14.90M,18.30M,,,,,,
1998-07,33.30M,,-12.90M,-12.90M,-12.90M,0.10M,,,25.70M,,-104.60M,,35.30M,,-5.00M,,-74.30M,-28.10M,-33.80M,2.80M,-31.00M,,,,-31.00M,,,,,,,,-6.80M,,61.80M,55.00M,37.20M,-4.10M,33.20M,,,,,,
