,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-06,,10.02B,,10.02B,331.00M,,331.00M,,17.54B,1.05B,,,4.277B,40.68B,562.00M,40.12B,32.41B,85.40B,103.06B,,123.00M,4.442B,8.647B,13.21B,,13.21B,,1.058B,1.058B,1.058B,15.68B,7.586B,7.586B,64.00B,,,71.58B,93.59B,,7.858B,6.618B,1.82B,6.791B,,,,-34.00M,9.471B,,,
2005-03,,11.40B,,11.40B,313.00M,,313.00M,,15.80B,1.07B,,,4.28B,38.76B,583.00M,38.18B,29.03B,80.60B,96.54B,,114.00M,4.192B,8.684B,12.99B,,12.99B,,906.00M,906.00M,906.00M,14.78B,7.389B,7.389B,58.96B,,,66.35B,87.20B,,7.847B,6.374B,1.79B,6.579B,,,,-97.00M,9.335B,,,
2004-12,,12.08B,,12.08B,285.00M,,285.00M,,18.07B,1.097B,,,4.27B,35.78B,591.00M,35.19B,28.43B,76.32B,94.53B,,113.00M,4.452B,8.664B,13.23B,,13.23B,,533.00M,533.00M,533.00M,14.97B,6.121B,6.121B,58.72B,,,64.84B,85.24B,,7.836B,6.162B,1.79B,6.492B,,,,-6.00M,9.29B,,,
2004-09,,11.91B,,11.91B,356.00M,,356.00M,,17.35B,1.426B,,,4.17B,37.12B,598.00M,36.52B,27.27B,75.59B,93.18B,,174.00M,4.222B,7.732B,12.13B,,12.13B,,851.00M,851.00M,851.00M,14.15B,6.137B,6.137B,58.44B,,,64.58B,84.12B,,7.831B,5.964B,1.736B,6.504B,,,,27.00M,9.054B,,,
2004-06,,12.95B,,12.95B,277.00M,,277.00M,,21.32B,1.404B,,,4.165B,38.20B,598.00M,37.61B,26.45B,75.91B,97.54B,,136.00M,4.037B,9.439B,13.61B,,13.61B,,1.10B,1.10B,1.10B,16.03B,6.025B,6.025B,61.06B,,,67.08B,88.75B,,7.825B,5.764B,1.696B,6.446B,,,,-54.00M,8.785B,,,
2004-03,,12.52B,,12.52B,309.00M,,309.00M,,16.60B,1.388B,,,4.142B,36.07B,632.00M,35.44B,28.39B,75.79B,92.65B,,158.00M,4.116B,9.934B,14.21B,,14.21B,,855.00M,855.00M,855.00M,15.93B,6.276B,6.276B,56.08B,,,62.36B,83.89B,,7.818B,5.548B,1.668B,6.431B,,,,157.00M,8.76B,,,
2003-12,,12.13B,,12.13B,214.00M,,214.00M,,17.17B,1.398B,,,4.092B,35.28B,668.00M,34.62B,28.31B,75.06B,92.40B,,82.00M,4.256B,10.19B,14.53B,,14.53B,,834.00M,834.00M,834.00M,16.40B,6.121B,6.121B,56.41B,,,62.53B,83.97B,,7.80B,5.33B,1.647B,6.42B,,,,71.00M,8.428B,,,
2003-09,,9.051B,,9.051B,279.00M,,279.00M,,16.01B,1.088B,,,3.972B,37.54B,817.00M,36.72B,29.75B,78.95B,95.19B,,125.00M,4.099B,10.17B,14.39B,,14.39B,,987.00M,987.00M,987.00M,16.34B,6.298B,6.298B,58.94B,,,65.24B,86.97B,,7.793B,5.168B,1.594B,6.434B,,,,102.00M,8.223B,,,
2003-06,,11.07B,,11.07B,244.00M,,244.00M,,23.39B,1.108B,,,3.973B,37.80B,824.00M,36.97B,26.64B,76.03B,99.60B,,142.00M,4.033B,9.407B,13.58B,,13.58B,,916.00M,916.00M,916.00M,15.53B,6.515B,6.515B,64.66B,,,71.17B,91.49B,,7.791B,5.053B,1.564B,6.45B,,,,155.00M,8.113B,,,
2003-03,,8.513B,,8.513B,244.00M,,244.00M,,11.52B,977.00M,,,2.62B,31.74B,830.00M,30.90B,27.37B,67.77B,79.55B,,115.00M,3.911B,,4.026B,,4.026B,,998.00M,998.00M,998.00M,5.476B,5.685B,5.685B,56.94B,,,62.63B,72.67B,,7.481B,4.894B,848.00M,6.468B,,,,119.00M,6.874B,,,
2002-12,,9.852B,,9.852B,204.00M,,204.00M,,11.44B,1.192B,,,2.575B,31.34B,656.00M,30.68B,25.61B,65.95B,77.74B,,101.00M,4.066B,870.00M,5.037B,,5.037B,,475.00M,475.00M,475.00M,6.148B,5.44B,5.44B,55.39B,,,60.83B,71.06B,,7.453B,4.736B,847.00M,6.483B,,,,131.00M,6.684B,,,
2002-09,,8.199B,,8.199B,267.00M,,267.00M,,10.88B,976.00M,,,2.403B,34.24B,681.00M,33.56B,27.45B,69.81B,80.99B,,123.00M,4.098B,,4.221B,,4.221B,,,,,5.477B,7.215B,7.215B,56.97B,,,64.18B,74.35B,,7.451B,4.773B,831.00M,6.539B,,,,117.00M,6.633B,,,
2002-06,,10.65B,,10.65B,248.00M,,248.00M,,13.54B,1.013B,,,2.372B,36.00B,616.00M,35.38B,22.95B,66.76B,80.80B,,53.00M,3.998B,,4.051B,,4.051B,,2.052B,2.052B,2.052B,7.79B,5.668B,5.668B,55.29B,,,60.96B,74.20B,,7.449B,4.831B,809.00M,6.505B,,,,26.00M,6.61B,,,
2002-03,,8.32B,,8.32B,256.00M,,256.00M,,10.60B,1.053B,,,2.248B,35.43B,616.00M,34.82B,22.03B,65.58B,76.78B,,71.00M,3.84B,,3.911B,,3.911B,,1.577B,1.577B,1.577B,7.175B,5.271B,5.271B,53.68B,,,58.95B,70.42B,,7.447B,4.608B,784.00M,6.485B,,,,,6.354B,,,
2001-12,,9.841B,,9.841B,236.00M,,236.00M,,14.87B,992.00M,,,2.084B,35.75B,616.00M,35.13B,21.13B,65.84B,81.02B,,92.00M,3.766B,,3.858B,,3.858B,,2.363B,2.363B,2.363B,7.977B,4.976B,4.976B,55.71B,,,60.69B,74.71B,,7.431B,4.383B,741.00M,6.312B,,,,74.00M,6.317B,,,
2001-09,,9.25B,,9.25B,334.00M,,334.00M,,9.922B,940.00M,,,,45.54B,616.00M,44.92B,22.67B,79.42B,89.68B,,124.00M,3.913B,,4.037B,,4.037B,,2.074B,2.074B,2.074B,11.83B,3.127B,3.127B,60.26B,1.50B,,63.39B,81.71B,,7.43B,4.181B,703.00M,5.991B,1.00M,,,144.00M,6.467B,,,
2001-06,,10.01B,,10.01B,277.00M,,277.00M,,12.92B,935.00M,,,,36.70B,616.00M,36.09B,19.61B,63.19B,76.83B,,90.00M,3.388B,,3.478B,,3.478B,,2.044B,2.044B,2.044B,7.723B,3.055B,3.055B,53.71B,1.50B,,56.76B,69.04B,,7.429B,4.071B,674.00M,6.006B,1.00M,,,118.00M,6.287B,,,
2001-03,,6.415B,,6.415B,297.00M,,297.00M,,10.18B,928.00M,,,,37.12B,616.00M,36.51B,18.80B,62.27B,73.07B,,122.00M,3.289B,,3.411B,,3.411B,,1.961B,1.961B,1.961B,6.452B,3.008B,3.008B,50.91B,1.50B,,53.92B,65.52B,,7.411B,3.819B,586.00M,5.883B,1.00M,,,122.00M,6.055B,,,
2000-12,,8.462B,,8.462B,354.00M,,354.00M,,14.61B,924.00M,,,,36.26B,616.00M,35.64B,19.45B,62.06B,77.11B,,127.00M,3.283B,,3.41B,,3.41B,,1.687B,1.687B,1.687B,6.205B,3.036B,3.036B,56.38B,1.50B,,59.41B,69.46B,,7.392B,3.566B,521.00M,5.526B,1.00M,,,199.00M,6.152B,,,
2000-09,,9.269B,,9.269B,374.00M,,374.00M,,12.83B,901.00M,,,,37.40B,617.00M,36.78B,16.93B,61.67B,75.41B,,148.00M,3.135B,,3.283B,,3.283B,,4.199B,4.199B,4.199B,8.96B,2.957B,2.957B,53.30B,1.50B,,56.26B,67.99B,,7.378B,3.326B,454.00M,5.418B,1.00M,,,179.00M,5.919B,,,
2000-06,,8.896B,,8.896B,331.00M,,331.00M,,13.78B,885.00M,,,,38.12B,610.00M,37.51B,17.86B,61.69B,76.66B,,111.00M,2.887B,,2.998B,,2.998B,,4.626B,4.626B,4.626B,9.079B,2.829B,2.829B,55.34B,1.50B,,58.17B,69.65B,,7.367B,3.079B,395.00M,5.381B,1.00M,,,47.00M,5.507B,,,
2000-03,,10.10B,,10.10B,356.00M,,356.00M,,13.08B,894.00M,,,,40.66B,600.00M,40.06B,15.74B,61.99B,76.04B,,137.00M,2.696B,,2.833B,,2.833B,,4.71B,4.71B,4.71B,8.983B,2.829B,2.829B,55.44B,1.50B,,58.26B,69.32B,,7.355B,2.841B,355.00M,5.348B,1.00M,,,21.00M,5.224B,,,
1999-12,,10.13B,,10.13B,319.00M,,319.00M,,15.83B,893.00M,,,,37.55B,595.00M,36.95B,15.61B,58.19B,74.76B,,131.00M,2.644B,,2.775B,,2.775B,,3.825B,3.825B,3.825B,7.918B,2.811B,2.811B,55.75B,1.50B,,58.56B,68.11B,,7.336B,2.62B,315.00M,5.148B,1.00M,,,20.00M,5.143B,,,
1999-09,,10.97B,,10.97B,284.00M,,284.00M,,12.87B,848.00M,,,,37.76B,594.00M,37.16B,7.698B,49.89B,63.16B,,116.00M,2.711B,,2.827B,,2.827B,,3.834B,3.834B,3.834B,8.716B,2.416B,2.416B,44.80B,1.50B,,47.21B,56.76B,,1.00M,2.411B,,,1.00M,,,,4.896B,,,
1999-06,,10.12B,,10.12B,295.00M,,295.00M,,13.00B,854.00M,,,,38.39B,595.00M,37.79B,7.721B,53.92B,67.77B,,126.00M,2.165B,,2.291B,,2.291B,,3.703B,3.703B,3.703B,9.633B,2.277B,2.277B,47.48B,1.50B,,49.75B,60.99B,,7.312B,1.744B,242.00M,4.222B,1.00M,-29.00M,233.00M,204.00M,5.28B,,,
1999-03,,9.331B,,9.331B,331.00M,,331.00M,,11.60B,856.00M,,,,39.75B,632.00M,39.12B,7.628B,52.11B,64.92B,,160.00M,2.19B,,2.35B,,2.35B,,3.632B,3.632B,3.632B,9.171B,2.189B,2.189B,44.84B,1.50B,,47.03B,58.11B,,1.00M,1.528B,,,1.00M,,,254.00M,5.306B,,,
1998-12,,8.503B,,8.503B,355.00M,,355.00M,,12.14B,856.00M,,,,38.39B,636.00M,37.75B,8.052B,50.42B,63.50B,,188.00M,2.183B,,2.371B,,2.371B,,4.536B,4.536B,4.536B,8.478B,2.086B,2.086B,44.63B,1.30B,,46.72B,56.76B,,1.00M,1.318B,,,1.00M,,,312.00M,5.448B,,,
1998-09,,10.36B,,10.36B,340.00M,,340.00M,,11.84B,850.00M,,,,38.51B,638.00M,37.87B,8.371B,50.85B,63.81B,,173.00M,2.163B,,2.336B,,2.336B,,5.23B,5.23B,5.23B,9.373B,2.022B,2.022B,44.49B,1.30B,,46.51B,57.50B,,1.00M,1.11B,,,1.00M,,,221.00M,5.014B,,,
1998-06,,9.229B,,9.229B,364.00M,,364.00M,,10.76B,843.00M,,,,39.05B,646.00M,38.40B,8.239B,51.27B,63.00B,,152.00M,2.087B,,2.239B,,2.239B,,5.626B,5.626B,5.626B,9.861B,2.003B,2.003B,43.41B,1.30B,,45.41B,56.74B,,1.00M,3.912B,,,1.00M,,,354.00M,4.968B,,,
1998-03,,8.057B,,8.057B,351.00M,,351.00M,,8.915B,838.00M,,,,37.03B,645.00M,36.39B,9.084B,49.70B,59.61B,,170.00M,2.052B,,2.222B,,2.222B,,5.066B,5.066B,5.066B,9.184B,1.959B,1.959B,40.59B,1.30B,,42.55B,53.50B,,1.00M,3.716B,,,1.00M,,,332.00M,4.812B,,,
1997-12,,7.895B,,7.895B,356.00M,,356.00M,,11.07B,835.00M,,,,35.13B,641.00M,34.49B,9.244B,47.70B,59.96B,,182.00M,1.91B,,2.092B,,2.092B,,4.673B,4.673B,4.673B,9.094B,1.809B,1.809B,41.36B,1.00B,,43.17B,53.96B,,1.00M,3.493B,,,1.00M,,,,5.002B,,,
1997-09,,7.035B,,7.035B,298.00M,,298.00M,,10.49B,851.00M,,,,38.40B,771.00M,37.62B,7.496B,49.27B,61.22B,,177.00M,1.672B,,1.849B,,1.849B,,4.945B,4.945B,4.945B,8.73B,1.827B,1.827B,42.48B,1.00B,,44.30B,55.23B,,112.00M,3.314B,,,112.00M,,,,4.992B,,,
1997-06,,10.01B,,10.01B,295.00M,,295.00M,,10.95B,857.00M,,,,39.02B,832.00M,38.19B,6.656B,48.93B,61.24B,,144.00M,1.477B,,1.621B,,1.621B,,4.694B,4.694B,4.694B,7.888B,1.801B,1.801B,43.81B,1.00B,,45.62B,55.30B,,112.00M,3.139B,,,112.00M,,,,4.937B,,,
1997-03,,9.949B,,9.949B,272.00M,,272.00M,,10.70B,865.00M,,,,36.77B,869.00M,35.90B,6.727B,46.53B,58.38B,,154.00M,1.404B,,1.558B,,1.558B,,4.342B,4.342B,4.342B,7.983B,1.817B,1.817B,41.26B,600.00M,,43.08B,52.76B,,112.00M,2.964B,,,112.00M,,,,5.02B,,,
1996-12,,7.419B,,7.419B,315.00M,,315.00M,,8.296B,875.00M,,,,37.01B,901.00M,36.10B,6.60B,46.48B,55.76B,,167.00M,1.417B,,1.584B,,1.584B,,4.144B,4.144B,4.144B,7.465B,1.816B,1.816B,39.34B,600.00M,,41.16B,50.04B,,112.00M,2.798B,,,112.00M,,,,5.127B,,,
1996-09,,5.785B,,5.785B,301.00M,,301.00M,,6.589B,883.00M,,,,36.03B,957.00M,35.07B,6.002B,44.83B,52.39B,,195.00M,1.347B,,1.542B,,1.542B,,4.189B,4.189B,4.189B,7.647B,1.816B,1.816B,36.56B,,,38.38B,47.27B,,113.00M,2.637B,,,113.00M,,,,5.117B,,,
1996-06,,4.837B,,4.837B,296.00M,,296.00M,,6.451B,888.00M,,,,35.52B,982.00M,34.54B,5.771B,44.09B,51.47B,,177.00M,1.443B,,1.62B,,1.62B,,4.385B,4.385B,4.385B,7.761B,1.913B,1.913B,35.46B,,,37.38B,46.40B,,113.00M,2.478B,,,113.00M,,,,5.067B,,,
1996-03,,3.786B,,3.786B,257.00M,,257.00M,,5.028B,898.00M,,,,38.56B,742.00M,37.81B,5.905B,47.47B,53.32B,,180.00M,1.393B,,1.573B,,1.573B,,4.387B,4.387B,4.387B,9.049B,1.93B,1.93B,35.90B,,,37.82B,48.07B,,113.00M,2.851B,,,113.00M,,,,5.244B,,,
1995-12,,5.693B,,5.693B,270.00M,,270.00M,,6.899B,902.00M,,,,37.69B,756.00M,36.93B,5.632B,45.90B,53.72B,,190.00M,1.378B,,1.568B,,1.568B,,3.706B,3.706B,3.706B,9.207B,1.848B,1.848B,35.92B,,,37.77B,48.49B,,113.00M,2.689B,,,113.00M,,,,5.232B,,,
1995-09,,3.001B,,3.001B,245.00M,,245.00M,,4.09B,906.00M,,,,37.56B,747.00M,36.82B,6.113B,46.08B,51.09B,,228.00M,1.312B,,1.54B,,1.54B,,3.709B,3.709B,3.709B,9.098B,1.836B,1.836B,33.74B,,,35.58B,45.99B,,113.00M,2.523B,,,113.00M,,,,5.10B,,,
1995-06,,4.298B,,4.298B,280.00M,,280.00M,,7.557B,900.00M,,,,36.19B,713.00M,35.47B,6.193B,44.78B,53.46B,,241.00M,1.167B,,1.408B,,1.408B,,4.414B,4.414B,4.414B,8.531B,1.71B,1.71B,36.88B,,,38.59B,48.70B,,117.00M,2.361B,,,117.00M,,,,4.765B,,,
1995-03,,4.677B,,4.677B,274.00M,,274.00M,,8.363B,906.00M,,,,34.24B,749.00M,33.49B,6.332B,42.88B,52.28B,,247.00M,1.135B,,1.382B,,1.382B,,6.337B,6.337B,6.337B,9.668B,1.732B,1.732B,34.90B,,,36.64B,47.73B,,117.00M,2.196B,,,117.00M,,,,4.547B,,,
1994-12,,3.895B,,3.895B,290.00M,,290.00M,,7.204B,914.00M,,,,33.08B,792.00M,32.29B,5.591B,40.86B,48.88B,,213.00M,1.049B,,1.262B,,1.262B,,4.738B,4.738B,4.738B,7.502B,1.774B,1.774B,34.09B,,,35.86B,44.58B,,119.00M,2.048B,,,119.00M,,,,4.296B,,,
1994-09,,3.759B,,3.759B,240.00M,,240.00M,,7.956B,918.00M,,,,32.57B,834.00M,31.74B,6.232B,41.34B,50.31B,,179.00M,970.00M,,1.149B,,1.149B,,,,,2.622B,7.729B,7.729B,34.26B,,,41.99B,46.08B,,126.00M,1.91B,,,126.00M,,,,4.221B,,,
1994-06,,8.086B,,8.086B,234.00M,,234.00M,,8.573B,926.00M,,,,33.05B,885.00M,32.17B,7.107B,42.55B,52.35B,,180.00M,863.00M,,1.043B,,1.043B,,7.323B,7.323B,7.323B,10.60B,1.526B,1.526B,34.44B,,,35.97B,48.22B,,135.00M,1.77B,,,135.00M,,,,4.122B,,,
1994-03,,3.463B,,3.463B,221.00M,,221.00M,,3.984B,934.00M,,,,32.56B,934.00M,31.63B,8.098B,42.95B,48.01B,,130.00M,819.00M,,949.00M,,949.00M,,4.382B,4.382B,4.382B,8.057B,1.54B,1.54B,32.76B,,,34.30B,43.98B,,138.00M,1.65B,,,138.00M,,,,4.029B,,,
1993-12,,4.78B,,4.78B,222.00M,,222.00M,,5.038B,945.00M,,,,30.57B,970.00M,29.60B,6.922B,39.62B,45.55B,,111.00M,763.00M,,874.00M,,874.00M,,2.781B,2.781B,2.781B,6.366B,1.59B,1.59B,32.16B,,,33.75B,41.47B,,294.00M,1.536B,,,294.00M,,,,4.072B,,,
1993-09,,4.688B,,4.688B,217.00M,,217.00M,,5.011B,953.00M,,,,30.37B,1.004B,29.36B,6.786B,39.62B,45.54B,,120.00M,781.00M,,901.00M,,901.00M,,3.039B,3.039B,3.039B,6.531B,1.74B,1.74B,31.72B,,,33.46B,41.58B,,296.00M,1.43B,,,296.00M,,,,3.963B,,,
1993-06,,4.369B,,4.369B,189.00M,,189.00M,,4.743B,853.00M,,,,28.22B,966.00M,27.25B,4.957B,35.29B,41.04B,,123.00M,718.00M,,841.00M,,841.00M,,3.161B,3.161B,3.161B,6.154B,1.981B,1.981B,27.84B,,,29.82B,37.45B,,267.00M,1.143B,,,267.00M,,,,3.595B,,,
1993-03,,4.764B,,4.764B,230.00M,,230.00M,,5.006B,862.00M,,,,27.18B,993.00M,26.18B,4.67B,34.19B,40.05B,,119.00M,651.00M,,770.00M,,770.00M,,2.801B,2.801B,2.801B,6.197B,1.695B,1.695B,27.19B,,,28.88B,36.48B,,342.00M,1.052B,,,342.00M,,,,3.571B,,,
1992-12,,5.317B,,5.317B,201.00M,,201.00M,,5.548B,718.00M,,,,27.39B,1.003B,26.39B,5.384B,34.75B,40.91B,,146.00M,381.00M,,527.00M,,527.00M,,3.029B,3.029B,3.029B,5.241B,1.701B,1.701B,29.45B,,,31.15B,37.39B,,400.00M,1.01B,,,400.00M,,,,3.515B,,,
1992-09,,2.296B,,2.296B,245.00M,,245.00M,,4.582B,706.00M,,,,28.24B,960.00M,27.28B,6.429B,36.98B,42.38B,,139.00M,361.00M,,500.00M,,500.00M,,2.807B,2.807B,2.807B,7.806B,1.554B,1.554B,28.02B,,,29.58B,38.96B,,387.00M,942.00M,,,387.00M,,,,3.416B,,,
1992-06,,3.254B,,3.254B,233.00M,,233.00M,,6.169B,715.00M,,,,27.49B,970.00M,26.52B,4.564B,34.59B,41.34B,,188.00M,277.00M,,465.00M,,465.00M,,2.671B,2.671B,2.671B,6.178B,1.227B,1.227B,29.58B,,,30.81B,37.99B,,387.00M,882.00M,,,387.00M,,,,3.351B,,,
1992-03,,2.529B,,2.529B,253.00M,,253.00M,,4.516B,724.00M,,,,27.77B,984.00M,26.79B,4.615B,34.91B,40.15B,,182.00M,245.00M,,427.00M,,427.00M,,1.117B,1.117B,1.117B,5.345B,1.232B,1.232B,29.24B,,,30.48B,37.19B,,394.00M,831.00M,,,394.00M,,,,2.955B,,,
1991-12,,2.255B,,2.255B,268.00M,,268.00M,,4.10B,734.00M,,,,28.00B,1.008B,26.99B,4.258B,34.66B,39.43B,,225.00M,234.00M,,459.00M,,459.00M,,1.128B,1.128B,1.128B,5.184B,1.232B,1.232B,28.97B,,,30.21B,36.52B,,395.00M,785.00M,,,395.00M,,,,2.902B,,,
1991-09,,2.238B,,2.238B,260.30M,,260.30M,,4.351B,748.90M,,,,29.04B,1.095B,27.94B,4.084B,35.26B,40.32B,,228.50M,271.30M,,499.80M,,499.80M,,1.315B,1.315B,1.315B,4.543B,1.234B,1.234B,30.44B,,,31.68B,37.45B,,394.80M,756.10M,,,394.80M,,,,2.873B,,,
1991-06,,2.016B,,2.016B,313.50M,,313.50M,,4.738B,764.30M,,,,30.44B,1.213B,29.22B,3.620B,35.94B,41.36B,,245.60M,215.40M,,461.00M,,461.00M,,1.597B,1.597B,1.597B,4.618B,853.80M,853.80M,31.83B,,,32.69B,38.51B,,394.80M,729.50M,,,394.80M,,,,2.845B,,,
1991-03,,2.379B,,2.379B,331.50M,,331.50M,,4.120B,792.10M,,,,29.49B,1.234B,28.25B,3.047B,34.52B,39.44B,,268.80M,214.30M,,483.10M,,483.10M,,1.481B,1.481B,1.481B,2.791B,862.20M,862.20M,31.66B,,,32.53B,36.63B,,394.80M,695.30M,,,394.80M,,,,2.810B,,,
1990-12,,3.713B,,3.713B,375.90M,,375.90M,,5.678B,822.20M,,,,33.01B,1.037B,31.97B,3.506B,38.46B,45.39B,,280.00M,335.20M,,615.20M,,615.20M,,1.831B,1.831B,1.831B,5.888B,864.80M,864.80M,34.02B,,,34.89B,42.50B,,394.80M,781.20M,,,394.80M,,,,2.886B,,,
1990-09,,3.953B,,3.953B,407.70M,,407.70M,,5.858B,832.00M,,,,34.65B,955.20M,33.69B,3.999B,40.68B,47.81B,,296.00M,341.00M,,637.00M,,637.00M,,1.960B,1.960B,1.960B,6.816B,867.80M,867.80M,35.19B,,,36.06B,44.95B,,394.80M,756.80M,,,394.80M,,,,2.861B,,,
1990-06,,3.563B,,3.563B,410.90M,,410.90M,,5.764B,836.90M,,,,35.91B,939.50M,34.97B,4.116B,42.06B,48.95B,,320.50M,304.50M,,625.00M,,625.00M,,1.811B,1.811B,1.811B,10.07B,872.40M,872.40M,33.24B,,,34.11B,46.09B,,394.80M,754.50M,,,394.80M,,,,2.862B,,,
1990-03,,3.746B,,3.746B,390.30M,,390.30M,,5.088B,846.80M,,,,35.42B,933.00M,34.48B,3.955B,41.48B,47.85B,,323.90M,386.20M,,710.10M,,710.10M,,1.944B,1.944B,1.944B,9.270B,873.90M,873.90M,32.89B,,,33.76B,45.03B,,394.80M,739.10M,,,394.80M,,,,2.816B,,,
1989-12,,3.530B,,3.530B,513.00M,,513.00M,,6.089B,851.80M,,,,35.75B,1.122B,34.63B,3.920B,41.38B,48.86B,,392.80M,97.30M,,490.10M,,490.10M,,1.556B,1.556B,1.556B,8.122B,950.70M,950.70M,34.93B,,,35.88B,46.09B,,396.50M,687.70M,,,396.50M,,,,2.764B,,,
