,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1998-12,1.031B,1.031B,,315.00M,315.00M,,,315.00M,50.00M,433.00M,493.00M,180.00M,313.00M,,,-25.00M,,313.00M,313.00M,49.00M,960.00M,,0.41,0.00,,0.41,0.41,,0.40,0.00,,0.40,0.40,,766.00M,781.00M,0.14,,,
1998-09,987.00M,987.00M,,294.00M,294.00M,,,294.00M,51.00M,415.00M,476.00M,175.00M,301.00M,,,-25.00M,,301.00M,301.00M,48.00M,967.00M,,0.40,0.00,,0.40,0.40,,0.39,0.00,,0.39,0.39,,751.00M,779.00M,0.14,,,
1998-06,969.00M,969.00M,,287.00M,287.00M,,,287.00M,46.00M,408.00M,467.00M,172.00M,295.00M,,,-25.00M,,295.00M,295.00M,46.00M,929.00M,,0.40,0.00,,0.40,0.40,,0.38,0.00,,0.38,0.38,,748.00M,784.00M,0.13,,,
1998-03,948.00M,948.00M,,283.00M,283.00M,,,283.00M,28.00M,395.00M,456.00M,172.00M,284.00M,,,-20.00M,,284.00M,284.00M,44.00M,895.00M,,0.39,0.00,,0.39,0.39,,0.37,0.00,,0.37,0.37,,738.00M,780.00M,0.13,,,
1997-12,1.089B,1.089B,,277.00M,277.00M,,,277.00M,45.00M,400.00M,479.00M,181.00M,298.00M,,,-20.00M,2.00M,298.00M,298.00M,46.00M,918.00M,,0.39,0.00,,0.39,0.39,,0.365,0.00,,0.365,0.365,,757.14M,810.79M,0.13,,,
1997-09,990.00M,990.00M,,269.00M,269.00M,,,269.00M,51.00M,486.00M,438.00M,165.00M,273.00M,,,-19.00M,3.00M,273.00M,273.00M,52.00M,873.00M,,0.36,0.00,,0.36,0.36,,0.34,0.00,,0.34,0.34,,750.00M,794.12M,0.12,,,
1997-06,970.00M,970.00M,,263.00M,263.00M,,,263.00M,33.00M,481.00M,431.00M,162.00M,269.00M,,,-14.00M,3.00M,269.00M,269.00M,50.00M,862.00M,,0.35,0.00,,0.35,0.35,,0.33,0.00,,0.33,0.33,,760.00M,806.06M,0.12,,,
1997-03,943.00M,943.00M,,257.00M,257.00M,,,257.00M,7.00M,488.00M,425.00M,160.00M,265.00M,,,-12.00M,2.00M,265.00M,265.00M,52.00M,824.00M,,0.34,0.00,,0.34,0.34,,0.32,0.00,,0.32,0.32,,773.53M,821.88M,0.12,,,
1996-12,931.00M,931.00M,,264.00M,264.00M,,,264.00M,19.00M,490.00M,404.00M,154.00M,250.00M,,,,2.00M,250.00M,250.00M,59.00M,796.00M,,0.255,0.00,,0.255,0.255,,0.255,0.00,,0.255,0.255,,938.60M,938.60M,0.11,,,
1996-09,899.00M,899.00M,,253.00M,253.00M,,,253.00M,15.00M,467.00M,404.00M,155.00M,249.00M,,,,3.00M,249.00M,249.00M,62.00M,793.00M,,0.32,0.00,,0.32,0.32,,0.30,0.00,,0.30,0.30,,768.75M,820.00M,0.11,,,
1996-06,1.334B,1.334B,,249.00M,249.00M,,,249.00M,30.00M,488.00M,452.00M,174.00M,278.00M,,,,3.00M,278.00M,278.00M,59.00M,874.00M,,0.36,0.00,,0.36,0.36,,0.33,0.00,,0.33,0.33,,763.89M,833.33M,0.10,,,
1996-03,928.00M,928.00M,,247.00M,247.00M,,,247.00M,33.00M,513.00M,395.00M,152.00M,243.00M,,,,2.00M,243.00M,243.00M,57.00M,814.00M,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,831.03M,831.03M,0.10,,,
1995-12,944.00M,944.00M,,237.00M,237.00M,,,237.00M,78.00M,521.00M,391.00M,150.00M,241.00M,,,,3.00M,241.00M,241.00M,53.00M,836.00M,,0.2825,0.00,,0.2825,0.2825,,0.275,0.00,,0.275,0.275,,841.72M,898.25M,0.09,,,
1995-09,917.00M,917.00M,,232.00M,232.00M,,,232.00M,17.00M,512.00M,380.00M,146.00M,234.00M,,,,2.00M,234.00M,234.00M,47.00M,815.00M,,0.29,0.00,,0.29,0.29,,0.28,0.00,,0.28,0.28,,800.00M,828.57M,0.09,,,
1995-06,854.00M,854.00M,,223.00M,223.00M,,,223.00M,13.00M,504.00M,367.00M,141.00M,226.00M,,,,3.00M,226.00M,226.00M,50.00M,844.00M,,0.29,0.00,,0.29,0.29,,0.28,0.00,,0.28,0.28,,768.97M,796.43M,0.08,,,
1995-03,810.00M,810.00M,,222.00M,222.00M,,,222.00M,7.00M,491.00M,344.00M,131.00M,213.00M,,,,3.00M,213.00M,213.00M,48.00M,789.00M,,0.28,0.00,,0.28,0.28,,0.27,0.00,,0.27,0.27,,750.00M,777.78M,0.08,,,
1994-12,775.00M,775.00M,,210.00M,210.00M,,,210.00M,0.00,477.00M,322.00M,121.00M,201.00M,,,,3.00M,201.00M,201.00M,54.00M,700.00M,,0.26,0.00,,0.26,0.26,,0.245,0.00,,0.245,0.245,,768.72M,809.26M,0.08,,,
1994-09,769.00M,769.00M,,219.00M,219.00M,,,219.00M,-1.00M,448.00M,310.00M,116.00M,194.00M,,,,3.00M,194.00M,194.00M,48.00M,645.00M,,0.26,0.00,,0.26,0.26,,0.24,0.00,,0.24,0.24,,734.62M,795.83M,0.0688,,,
1994-06,730.00M,730.00M,,212.00M,212.00M,,,212.00M,4.00M,409.00M,281.00M,105.00M,176.00M,,,,3.00M,176.00M,176.00M,50.00M,570.00M,,0.23,0.00,,0.23,0.23,,0.22,0.00,,0.22,0.22,,752.17M,786.36M,0.0688,,,
1994-03,733.00M,733.00M,,211.00M,211.00M,,,211.00M,12.00M,383.00M,285.00M,107.00M,178.00M,,,,5.00M,178.00M,178.00M,48.00M,528.00M,,0.24,0.00,,0.24,0.24,,0.22,0.00,,0.22,0.22,,720.83M,786.36M,0.0563,,,
1993-12,688.00M,688.00M,,199.00M,199.00M,,,199.00M,4.00M,380.00M,230.00M,73.00M,157.00M,,,,6.00M,157.00M,157.00M,49.00M,476.00M,,0.20,0.00,,0.20,0.20,,0.19,0.00,,0.19,0.19,,757.48M,796.76M,0.0563,,,
1993-09,711.00M,711.00M,,202.00M,202.00M,,,202.00M,12.00M,376.00M,251.00M,100.00M,151.00M,,,,6.00M,151.00M,151.00M,57.00M,503.00M,,0.20,0.00,,0.20,0.20,,0.19,0.00,,0.19,0.19,,725.00M,763.16M,0.0563,,,
1993-06,655.00M,655.00M,,183.00M,183.00M,,,183.00M,13.00M,329.00M,211.00M,81.00M,130.00M,,,,7.00M,130.00M,130.00M,39.00M,443.00M,,0.19,0.00,,0.19,0.19,,0.18,0.00,,0.18,0.18,,647.37M,683.33M,0.0475,,,
1993-03,641.00M,641.00M,,183.00M,183.00M,,,183.00M,26.00M,321.00M,199.00M,74.00M,125.00M,,,,8.00M,125.00M,125.00M,42.00M,439.00M,,0.19,0.00,,0.19,0.19,,0.18,0.00,,0.18,0.18,,615.79M,650.00M,0.0475,,,
1992-12,605.00M,605.00M,,176.00M,176.00M,,,176.00M,-14.00M,327.00M,159.00M,54.00M,105.00M,,,,8.00M,105.00M,105.00M,46.00M,428.00M,,0.15,0.00,,0.15,0.15,,0.14,0.00,,0.14,0.14,,651.05M,697.24M,0.0475,,,
1992-09,604.00M,604.00M,,168.00M,168.00M,,,168.00M,27.00M,307.00M,148.00M,50.00M,98.00M,,,,,98.00M,98.00M,42.00M,444.00M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,700.00M,700.00M,0.0475,,,
1992-06,564.00M,564.00M,,163.00M,163.00M,,,163.00M,14.00M,292.00M,132.00M,45.00M,87.00M,,,,,87.00M,87.00M,41.00M,452.00M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,621.43M,621.43M,0.0475,,,
1992-03,585.00M,585.00M,,161.00M,161.00M,,,161.00M,15.00M,299.00M,121.00M,41.00M,80.00M,,,,8.00M,80.00M,80.00M,36.00M,462.00M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,553.85M,553.85M,0.0475,,,
1991-12,575.80M,575.80M,,145.60M,145.60M,,,145.60M,37.40M,280.70M,107.60M,41.70M,65.90M,,,,,65.90M,65.90M,40.30M,519.00M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,486.92M,486.92M,0.0475,,,
1991-09,567.70M,567.70M,,146.30M,146.30M,,,146.30M,26.60M,297.30M,93.60M,34.80M,58.80M,,,,,58.80M,58.80M,39.90M,558.10M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,653.33M,653.33M,0.0475,,,
1991-06,531.30M,531.30M,,148.30M,148.30M,,,148.30M,1.10M,289.00M,95.30M,34.70M,60.60M,,,,,60.60M,60.60M,37.80M,599.90M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,606.00M,606.00M,0.0475,,,
1991-03,559.10M,559.10M,,153.70M,153.70M,,,153.70M,14.90M,331.00M,-119.50M,-56.20M,-63.30M,,,,,-63.30M,-63.30M,37.00M,490.10M,,-0.13,0.00,,-0.13,-0.13,,-0.13,0.00,,-0.13,-0.13,,486.92M,486.92M,0.0663,,,
1990-12,566.60M,566.60M,,158.30M,158.30M,,,158.30M,17.50M,327.30M,62.80M,-2.20M,65.00M,,,,,65.00M,65.00M,37.30M,797.50M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,641.65M,641.65M,0.0663,,,
1990-09,551.70M,551.70M,,175.10M,175.10M,,,175.10M,14.70M,330.90M,96.20M,25.60M,70.60M,,,,,70.60M,70.60M,38.60M,891.10M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,588.33M,588.33M,0.0663,,,
1990-06,570.80M,570.80M,,173.80M,173.80M,,,173.80M,4.30M,327.90M,106.80M,36.40M,70.40M,,,,,70.40M,70.40M,38.30M,898.30M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,586.67M,586.67M,0.0663,,,
1990-03,565.50M,565.50M,,172.30M,172.30M,,,172.30M,5.10M,332.90M,166.40M,64.10M,102.30M,,,,,102.30M,102.30M,34.40M,923.80M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,568.33M,568.33M,0.0663,,,
1989-12,,,,,,,,,,,,,106.60M,,,,,106.60M,,,,,,,,,,,,,,,,,543.17M,543.17M,0.0663,,,
1989-09,,,,,,,,,,,,,-271.30M,,,,,-271.30M,,,-271.30M,,-0.52,0.00,,-0.52,-0.52,,-0.52,0.00,,-0.52,-0.52,,543.17M,543.17M,0.06,,,
1989-06,,,,,,,,,,,,,114.30M,,,,,114.30M,,,,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,516.48M,516.48M,,,,
1989-03,,,,,,,,,,,,,101.10M,,,,,101.10M,,,,,0.19,0.00,,0.19,0.19,,0.18,0.00,,0.18,0.18,,516.48M,516.48M,0.06,,,
1988-12,,,,,,,,,,,,,54.70M,,,,,54.70M,,,,,,,,,,,,,,,,,506.46M,506.46M,0.06,,,
1988-09,,,,,,,,,,,,,54.20M,,,,,54.20M,,,,,0.19,0.00,,0.19,0.19,,0.18,0.00,,0.18,0.18,,506.46M,506.46M,0.0563,,,
1988-06,,,,,,,,,,,,,49.70M,,,,,49.70M,,,,,0.18,0.00,,0.18,0.18,,0.17,0.00,,0.17,0.17,,506.46M,506.46M,,,,
1988-03,,,,,,,,,,,,,54.40M,,,,,54.40M,,,,,0.20,0.00,,0.20,0.20,,0.19,0.00,,0.19,0.19,,264.89M,264.89M,0.0563,,,
1987-12,,,,,,,,,,,,,45.80M,,,,,45.80M,,,,,,,,,,,,,,,,,264.74M,264.74M,0.0563,,,
1987-09,,,,,,,,,,,,,45.20M,,,,,45.20M,,,,,0.17,0.00,,0.17,0.17,,0.16,0.00,,0.16,0.16,,264.81M,264.81M,0.0525,,,
1987-06,,,,,,,,,,,,,-34.90M,,,,,-34.90M,,,-34.90M,,-0.15,0.00,,-0.15,-0.15,,-0.15,0.00,,-0.15,-0.15,,262.35M,262.35M,,,,
1987-03,,,,,,,,,,,,,47.30M,,,,,47.30M,,,,,0.18,0.00,,0.18,0.18,,0.17,0.00,,0.17,0.17,,262.35M,262.35M,0.0525,,,
1986-12,,,,,,,,,,,,,38.40M,,,,,38.40M,,,,,,,,,,,,,,,,,239.95M,239.95M,0.0526,,,
1986-09,,,,,,,,,,,,,37.90M,,,,,37.90M,,,,,0.16,0.00,,0.16,0.16,,0.14,0.00,,0.14,0.14,,259.95M,259.95M,0.0476,,,
1986-06,,,,,,,,,,,,,37.80M,,,,,37.80M,,,,,0.15,0.00,,0.15,0.15,,0.14,0.00,,0.14,0.14,,238.50M,238.50M,,,,
1986-03,,,,,,,,,,,,,41.10M,,,,,41.10M,,,,,0.17,0.00,,0.17,0.17,,0.15,0.00,,0.15,0.15,,239.95M,239.95M,0.0476,,,
1985-12,,,,,,,,,,,,,33.60M,,,,,33.60M,,,,,,,,,,,,,,,,,231.40M,231.40M,0.0476,,,
1985-09,,,,,,,,,,,,,32.70M,,,,,32.70M,,,,,0.14,0.00,,0.14,0.14,,0.13,0.00,,0.13,0.13,,233.71M,233.71M,0.0426,,,
1985-06,,,,,,,,,,,,,31.10M,,,,,31.10M,,,,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,239.26M,239.26M,,,,
1985-03,,,,,,,,,,,,,32.80M,,,,,32.80M,,,,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,232.06M,232.06M,0.0426,,,
1984-12,,,,,,,,,,,,,28.40M,,,,,28.40M,,,,,,,,,,,,,,,,,189.34M,189.34M,,,,
1984-09,,,,,,,,,,,,,26.90M,,,,,26.90M,,,,,0.14,0.00,,0.14,0.14,,0.11,0.00,,0.11,0.11,,189.34M,189.34M,,,,
1984-06,,,,,,,,,,,,,26.30M,,,,,26.30M,,,,,0.14,0.00,,0.14,0.14,,0.11,0.00,,0.11,0.11,,189.34M,189.34M,,,,
1984-03,,,,,,,,,,,,,25.90M,,,,,25.90M,,,,,0.14,0.00,,0.14,0.14,,0.11,0.00,,0.11,0.11,,189.34M,189.34M,,,,
