,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-06,442.00M,-15.00M,,-15.00M,99.00M,99.00M,56.00M,,-30.00M,154.00M,,-1.608B,-1.57B,,-1.003B,,-60.00M,,-60.00M,-10.00M,-10.47B,-10.75B,-23.46B,,346.00M,1.184B,1.53B,-53.00M,16.00M,163.00M,,,,,,-168.00M,-67.00M,1.921B,25.56B,,2.159B,1.103B,3.00M,3.265B,,-53.00M,357.00M,149.00M,16.00M,-643.00M,-626.00M,,,
2007-03,437.00M,-18.00M,,-18.00M,127.00M,127.00M,62.00M,,,-154.00M,,1.608B,1.454B,,2.047B,,-57.00M,,-57.00M,-58.00M,-2.647B,858.00M,258.00M,,1.026B,-160.00M,866.00M,53.00M,-16.00M,37.00M,,,,,,-168.00M,67.00M,-511.00M,-3.012B,,2.84B,-707.00M,26.00M,2.159B,,53.00M,1.037B,-171.00M,-16.00M,643.00M,626.00M,,,Restated
2006-12,1.789B,-27.00M,,-1.408B,148.00M,148.00M,211.00M,,777.00M,,,,-3.052B,,-1.535B,,52.00M,,52.00M,219.00M,-566.00M,706.00M,411.00M,,1.035B,-505.00M,530.00M,,,-247.00M,,,,,,-165.00M,,592.00M,1.346B,,2.072B,222.00M,-87.00M,2.84B,,,1.046B,-11.00M,,,,,,
2006-09,352.00M,58.00M,,58.00M,127.00M,127.00M,89.00M,,-12.00M,,,,1.597B,,2.211B,,-41.00M,,-41.00M,-10.00M,2.811B,-3.262B,-502.00M,,83.00M,125.00M,208.00M,,,62.00M,,,,,,-168.00M,,-307.00M,-2.672B,,3.01B,-963.00M,49.00M,2.072B,,,94.00M,-11.00M,,,,,,
2006-06,448.00M,-23.00M,,-23.00M,102.00M,102.00M,135.00M,,1.074B,,,,338.00M,,2.074B,,-42.00M,,-42.00M,-10.00M,2.432B,-7.681B,-5.301B,,-19.00M,-34.00M,-53.00M,,,-292.00M,,,,,,-159.00M,,-585.00M,3.409B,,3.408B,182.00M,29.00M,3.01B,,,514.00M,-533.00M,,,,,,
2006-03,422.00M,-17.00M,,-17.00M,117.00M,117.00M,-37.00M,,-1.069B,,,,1.117B,,533.00M,,-41.00M,,-41.00M,-339.00M,-2.295B,1.715B,-960.00M,,588.00M,371.00M,959.00M,,,22.00M,,,,,,-164.00M,,-1.058B,396.00M,,3.515B,-31.00M,-76.00M,3.408B,,,600.00M,-12.00M,,,,,,
2005-12,405.00M,-18.00M,,-18.00M,156.00M,156.00M,-291.00M,,-3.091B,,,,1.934B,,-905.00M,,-60.00M,,-60.00M,-8.00M,-43.00M,-532.00M,-643.00M,,331.00M,-740.00M,-409.00M,,,92.00M,,,,,,-162.00M,,-1.623B,1.578B,,3.493B,30.00M,-8.00M,3.515B,,,444.00M,-113.00M,,,,,,
2005-09,389.00M,-15.00M,,-15.00M,89.00M,89.00M,105.00M,,10.00M,,,,-67.00M,,511.00M,,-29.00M,,-29.00M,-187.00M,3.025B,-1.44B,1.369B,,51.00M,-52.00M,-1.00M,,,-9.00M,,,,,,-161.00M,,1.601B,-1.354B,,2.341B,526.00M,10.00M,3.493B,,,51.00M,0.00,,,,,,
2005-06,398.00M,-23.00M,,-23.00M,103.00M,103.00M,42.00M,,5.00M,,,,-813.00M,,-288.00M,,-26.00M,,-26.00M,-39.00M,-4.973B,-825.00M,-5.863B,,82.00M,719.00M,801.00M,,,-171.00M,,,,,,-154.00M,,-37.00M,6.122B,,2.597B,-29.00M,389.00M,2.341B,,,85.00M,-3.00M,,,,,,
2005-03,379.00M,-12.00M,,-12.00M,178.00M,178.00M,89.00M,,-10.00M,,,,-1.054B,,-430.00M,,-16.00M,,-16.00M,-31.00M,1.341B,-3.779B,-2.485B,,1.354B,27.00M,1.381B,,,-86.00M,,,,,,-167.00M,,20.00M,1.708B,,3.886B,-1.207B,-82.00M,2.597B,,,1.453B,-99.00M,,,,,,
2004-12,351.00M,-19.00M,,-19.00M,113.00M,113.00M,145.00M,,1.111B,,,,-1.758B,,-57.00M,,-29.00M,,-29.00M,-37.00M,-1.303B,2.66B,1.291B,,-527.00M,-106.00M,-633.00M,,,72.00M,,,,,,-153.00M,,932.00M,-318.00M,,3.057B,916.00M,-87.00M,3.886B,,,61.00M,-588.00M,,,,,,
2004-09,354.00M,-14.00M,,-14.00M,133.00M,133.00M,197.00M,,0.00,,,,-702.00M,,-32.00M,,-92.00M,,-92.00M,-13.00M,2.872B,2.131B,4.898B,,16.00M,-369.00M,-353.00M,,,-12.00M,,,,,,-154.00M,,-1.707B,-4.898B,,3.102B,-32.00M,-13.00M,3.057B,,,41.00M,-25.00M,,,,,,
2004-06,371.00M,-12.00M,,-12.00M,115.00M,115.00M,104.00M,,10.00M,,,,728.00M,,1.316B,,-84.00M,,-84.00M,-41.00M,-3.614B,-2.208B,-5.947B,,-57.00M,606.00M,549.00M,,,20.00M,,,,,,-155.00M,,-307.00M,5.276B,,2.615B,645.00M,-158.00M,3.102B,,,44.00M,-101.00M,,,,,,
2004-03,364.00M,-33.00M,,-33.00M,119.00M,119.00M,-63.00M,,12.00M,,,,1.732B,,2.131B,,-46.00M,,-46.00M,-46.00M,60.00M,-2.455B,-2.487B,,63.00M,35.00M,98.00M,,,28.00M,,,,,,-146.00M,,-446.00M,-865.00M,,3.843B,-1.221B,-7.00M,2.615B,,,63.00M,,,,,,,
2003-12,307.00M,-9.00M,,-9.00M,123.00M,123.00M,114.00M,,35.00M,,,,2.262B,,2.832B,,-31.00M,,-31.00M,-71.00M,1.726B,-714.00M,910.00M,,-144.00M,969.00M,825.00M,,,76.00M,,,,,,-145.00M,,-1.159B,-3.565B,,3.73B,177.00M,-64.00M,3.843B,,,361.00M,-505.00M,,,,,,
2003-09,260.00M,-10.00M,,-10.00M,113.00M,113.00M,104.00M,,40.00M,,,,-497.00M,,10.00M,,-29.00M,,-29.00M,-4.00M,2.817B,1.916B,4.70B,,-121.00M,493.00M,372.00M,,,46.00M,,,,,,-145.00M,,451.00M,-5.171B,,4.323B,-461.00M,-132.00M,3.73B,,,104.00M,-225.00M,,,,,,
2003-06,295.00M,-9.00M,,-9.00M,105.00M,105.00M,104.00M,,40.00M,,,,959.00M,,1.494B,,-38.00M,,-38.00M,-1.716B,-5.843B,-2.811B,-10.41B,,781.00M,-1.168B,-387.00M,,,1.046B,,,,,,-136.00M,,892.00M,8.669B,,4.453B,-245.00M,115.00M,4.323B,,,1.391B,-610.00M,,,,,,
2003-03,295.00M,-7.00M,,-7.00M,89.00M,89.00M,106.00M,,40.00M,,,,-1.047B,,-524.00M,,-31.00M,,-31.00M,-53.00M,-2.707B,1.086B,-1.705B,,226.00M,365.00M,591.00M,,,44.00M,,,,,,-137.00M,,-184.00M,1.916B,,4.748B,-313.00M,18.00M,4.453B,,,420.00M,-194.00M,,,,,,
2002-12,100.00M,-13.00M,,-13.00M,85.00M,85.00M,-99.00M,,390.00M,,,,1.992B,,2.455B,,-43.00M,,-43.00M,-163.00M,-1.831B,4.51B,2.473B,,414.00M,-2.404B,-1.99B,,,77.00M,,,,,,-137.00M,,,-3.929B,,3.753B,999.00M,-4.00M,4.748B,,,550.00M,-136.00M,,,,,,
2002-09,79.00M,187.00M,,187.00M,56.00M,56.00M,-134.00M,,225.00M,,,,-3.354B,,-2.941B,,-39.00M,,-39.00M,-25.00M,1.166B,2.461B,3.563B,,-804.00M,-220.00M,-1.024B,,,-10.00M,,,,,,-137.00M,,,319.00M,,2.885B,941.00M,-73.00M,3.753B,,,650.00M,-1.454B,,,,,,
2002-06,361.00M,-25.00M,,-25.00M,39.00M,39.00M,207.00M,,35.00M,,,,3.595B,,4.212B,,-34.00M,,-34.00M,-111.00M,-4.232B,-2.197B,-6.574B,,275.00M,576.00M,851.00M,,,7.00M,,,,,,-138.00M,,,1.507B,,3.788B,-855.00M,-48.00M,2.885B,,,300.00M,-25.00M,,,,,,
2002-03,362.00M,-31.00M,,-31.00M,52.00M,52.00M,122.00M,,35.00M,,,,-1.109B,,-569.00M,,-92.00M,,-92.00M,-212.00M,2.905B,1.129B,3.73B,,340.00M,-856.00M,-516.00M,,,-114.00M,,,,,,-137.00M,,,-2.627B,,3.222B,534.00M,32.00M,3.788B,,,375.00M,-35.00M,,,,,,
2001-12,331.00M,-41.00M,,-41.00M,82.00M,82.00M,68.00M,,275.00M,,,,2.468B,,3.183B,,-79.00M,,-79.00M,-67.00M,-4.007B,8.811B,4.658B,,450.00M,-3.69B,-3.24B,,,-281.00M,,,,,,-129.00M,,,-7.934B,,3.289B,-93.00M,26.00M,3.222B,,,460.00M,-10.00M,,,,,,
2001-09,243.00M,-21.00M,,-21.00M,75.00M,75.00M,66.00M,,40.00M,,,,-453.00M,,-50.00M,,-27.00M,,-27.00M,-27.00M,-1.314B,-8.644B,-10.01B,,-95.00M,3.559B,3.464B,,,45.00M,,,,,,-133.00M,,,9.451B,,3.995B,-611.00M,-95.00M,3.289B,,,0.00,-95.00M,,,,,,
2001-06,385.00M,-47.00M,,-47.00M,63.00M,63.00M,191.00M,,30.00M,,,,806.00M,,1.428B,,-30.00M,,-30.00M,-280.00M,-2.021B,-2.111B,-4.442B,,100.00M,1.177B,1.277B,,,-17.00M,,,,,,-133.00M,,,4.079B,,2.847B,1.065B,83.00M,3.995B,,,100.00M,0.00,,,,,,
2001-03,384.00M,-45.00M,,-45.00M,64.00M,64.00M,128.00M,,32.00M,,,,842.00M,,1.405B,,-29.00M,,-29.00M,-240.00M,2.642B,957.00M,3.33B,,-60.00M,277.00M,217.00M,,,-273.00M,,,,,,-131.00M,,,-5.174B,,3.125B,-439.00M,161.00M,2.847B,,,,-60.00M,,,,,,
2000-12,372.00M,-45.00M,,-45.00M,63.00M,63.00M,148.00M,,36.00M,,,,-732.00M,,-158.00M,,-42.00M,,-42.00M,-128.00M,-1.558B,-815.00M,-2.543B,,75.00M,-1.179B,-1.104B,,,-24.00M,,,,,,-133.00M,,,1.665B,,4.222B,-1.036B,-61.00M,3.125B,,,75.00M,0.00,,,,,,
2000-09,363.00M,-20.00M,,-20.00M,62.00M,62.00M,126.00M,,27.00M,,,,-350.00M,,208.00M,,-36.00M,,-36.00M,-54.00M,-347.00M,2.304B,1.867B,,125.00M,-548.00M,-423.00M,,,33.00M,,,,,,-116.00M,,,-2.054B,,4.167B,21.00M,34.00M,4.222B,,,150.00M,-25.00M,,,,,,
2000-06,356.00M,-45.00M,,-45.00M,61.00M,61.00M,134.00M,,25.00M,,,,-2.426B,,-1.895B,,-9.00M,,-9.00M,-11.00M,79.00M,2.343B,2.402B,,-3.00M,-459.00M,-462.00M,,,19.00M,,,,,,-118.00M,,,-117.00M,,3.873B,390.00M,-96.00M,4.167B,,,25.00M,-28.00M,,,,,,
2000-03,338.00M,-40.00M,,-40.00M,61.00M,61.00M,122.00M,,21.00M,,,,-823.00M,,-321.00M,,-19.00M,,-19.00M,-93.00M,3.069B,-3.273B,-316.00M,,15.00M,1.469B,1.484B,,,-141.00M,,,,,,-117.00M,,,1.154B,,3.276B,517.00M,80.00M,3.873B,,,15.00M,,,,,,,
1999-12,328.00M,-50.00M,,970.00M,59.00M,59.00M,149.00M,,-1.005B,,,,-1.146B,,-645.00M,,-458.00M,,-458.00M,,-4.325B,343.00M,-4.44B,,388.00M,-390.00M,-2.00M,,,71.00M,,,,,,-117.00M,,0.00,1.876B,,6.43B,-3.209B,55.00M,3.276B,,,388.00M,0.00,,,,,,
1999-09,772.00M,-49.00M,,-1.069B,50.00M,50.00M,84.00M,,623.00M,,,,-1.286B,,-826.00M,,-96.00M,,-96.00M,56.00M,864.00M,5.89B,6.714B,,-63.00M,-1.348B,-1.411B,,,-898.00M,,,,,,-105.00M,,200.00M,-5.094B,,5.619B,794.00M,17.00M,6.43B,,,-63.00M,0.00,,,,,,
1999-06,323.00M,-50.00M,,-50.00M,57.00M,57.00M,99.00M,,-234.00M,,,,,,195.00M,,1.00M,,1.00M,-29.00M,-816.00M,-1.753B,-2.597B,,85.00M,974.00M,1.059B,,,-204.00M,,,,,,-107.00M,,,3.513B,,4.546B,1.111B,-38.00M,5.619B,,,106.00M,-21.00M,,,,,,
1999-03,316.00M,-50.00M,,-50.00M,49.00M,49.00M,122.00M,,-145.00M,,,,,,292.00M,,-34.00M,,-34.00M,-27.00M,1.122B,-1.804B,-743.00M,,300.00M,713.00M,1.013B,,,-294.00M,,,,,,-106.00M,,,1.019B,,3.999B,568.00M,-21.00M,4.546B,,,300.00M,,,,,,,
1998-12,313.00M,-50.00M,,-50.00M,49.00M,49.00M,51.00M,,978.00M,,,,,,1.341B,,-22.00M,,-22.00M,279.00M,-2.502B,-1.848B,-4.093B,,35.00M,-1.103B,-1.068B,,,135.00M,,,,,,-105.00M,,-10.00M,-884.00M,,7.693B,-3.636B,-58.00M,3.999B,,,45.00M,-10.00M,,,,,,
1998-09,301.00M,-51.00M,,-51.00M,48.00M,48.00M,107.00M,,-504.00M,,,,,,-99.00M,,-28.00M,,-28.00M,-26.00M,805.00M,-88.00M,663.00M,,42.00M,-1.086B,-1.044B,,,3.00M,,,,,,-104.00M,,10.00M,-192.00M,,7.329B,372.00M,-8.00M,7.693B,,,60.00M,-18.00M,,,,,,
1998-06,294.00M,-46.00M,,-46.00M,46.00M,46.00M,15.00M,,-122.00M,,,,,,187.00M,,-21.00M,,-21.00M,-65.00M,-581.00M,-2.358B,-3.025B,,44.00M,1.041B,1.085B,,,-83.00M,,,,,,-98.00M,,,3.744B,,6.442B,906.00M,-19.00M,7.329B,,,60.00M,-16.00M,,,,,,
1998-03,284.00M,-28.00M,,-28.00M,44.00M,44.00M,87.00M,,-250.00M,,,,,,137.00M,,-17.00M,,-17.00M,-354.00M,2.135B,-483.00M,1.281B,,450.00M,67.00M,517.00M,,,-425.00M,,,,,,-96.00M,,,-752.00M,,5.769B,666.00M,7.00M,6.442B,,,450.00M,,,,,,,
1997-12,298.00M,-45.00M,,-45.00M,46.00M,46.00M,67.00M,,-66.00M,,,,-573.00M,,-273.00M,,-15.00M,,-15.00M,,-775.00M,3.072B,2.282B,,-32.00M,91.00M,59.00M,,,-229.00M,,,,,,-99.00M,,0.00,-1.367B,,5.049B,642.00M,78.00M,5.769B,,,0.00,-32.00M,,,,,,
1997-09,272.00M,-51.00M,,-51.00M,52.00M,52.00M,82.00M,,60.00M,,,,217.00M,,632.00M,,-13.00M,,-13.00M,,-2.657B,610.00M,-2.06B,,25.00M,251.00M,276.00M,,,-232.00M,,,,,,-93.00M,,0.00,-1.306B,,7.782B,-2.734B,1.00M,5.049B,,,25.00M,0.00,,,,,,
1997-06,269.00M,-33.00M,,-33.00M,50.00M,50.00M,58.00M,,43.00M,,,,-358.00M,,29.00M,,-8.00M,,-8.00M,,-19.00M,-2.941B,-2.968B,,-16.00M,-65.00M,-81.00M,,,-351.00M,,,,,,-95.00M,,400.00M,2.411B,,0.00,-528.00M,9.00M,7.782B,,,,-16.00M,,,,,,
1997-03,265.00M,-7.00M,,-7.00M,52.00M,52.00M,50.00M,,78.00M,,,,,,438.00M,,-9.00M,,-9.00M,,98.00M,-494.00M,-405.00M,,,574.00M,574.00M,,,-249.00M,,,,,,-96.00M,,,2.25B,,6.032B,2.283B,-14.00M,0.00,,,,,,,,,,
1996-12,250.00M,-19.00M,,-19.00M,59.00M,59.00M,89.00M,,-78.00M,,,,59.00M,,360.00M,,-9.00M,,-9.00M,,89.00M,-1.118B,-1.038B,,1.00M,-1.007B,-1.006B,,,-193.00M,,,,,,-88.00M,,,2.133B,,0.00,1.455B,-40.00M,0.00,,,0.00,1.00M,,,,,,
1996-09,249.00M,-15.00M,,-15.00M,62.00M,62.00M,-5.00M,,-72.00M,,,,-235.00M,,-16.00M,,-15.00M,,-15.00M,,931.00M,-841.00M,75.00M,,-679.00M,612.00M,-67.00M,,,-238.00M,,,,,,-88.00M,,,717.00M,,0.00,776.00M,-4.00M,0.00,,,-679.00M,0.00,,,,,,
1996-06,278.00M,-30.00M,,-30.00M,59.00M,59.00M,-38.00M,,110.00M,,,,142.00M,,521.00M,,-9.00M,,-9.00M,,-370.00M,3.312B,2.933B,,662.00M,-2.078B,-1.416B,,,-351.00M,,,,,,-81.00M,,,-2.256B,,0.00,1.198B,13.00M,0.00,,,679.00M,-17.00M,,,,,,
1996-03,243.00M,-33.00M,,-33.00M,57.00M,57.00M,54.00M,,-308.00M,,,,34.00M,,47.00M,,-14.00M,,-14.00M,,-391.00M,-1.498B,-1.903B,,100.00M,-99.00M,1.00M,,,-140.00M,,,,,,-81.00M,,,-220.00M,,4.711B,-2.076B,-1.00M,0.00,,,100.00M,,,,,,,
1995-12,241.00M,-78.00M,,-78.00M,53.00M,53.00M,101.00M,,166.00M,,,,175.00M,,658.00M,,-20.00M,,-20.00M,,371.00M,-389.00M,-38.00M,,-950.00M,1.092B,142.00M,,,-85.00M,,,,,,-74.00M,,,2.181B,,0.00,2.801B,1.00M,0.00,,,61.00M,-1.011B,,,,,,
1995-09,235.00M,-17.00M,,-17.00M,47.00M,47.00M,42.00M,,107.00M,,,,417.00M,,831.00M,,-11.00M,,-11.00M,,2.124B,-1.054B,1.059B,,142.00M,435.00M,577.00M,,,-4.00M,,,,,,-72.00M,,,-3.138B,,0.00,-1.248B,-32.00M,0.00,,,142.00M,0.00,,,,,,
1995-06,225.00M,-13.00M,,-13.00M,50.00M,50.00M,30.00M,,37.00M,,,,280.00M,,609.00M,,-14.00M,,-14.00M,,276.00M,-2.155B,-1.893B,,-14.00M,-1.163B,-1.177B,,,9.00M,,,,,,-63.00M,,,764.00M,,0.00,-520.00M,-14.00M,0.00,,,,-14.00M,,,,,,
1995-03,213.00M,-7.00M,,-7.00M,48.00M,48.00M,64.00M,,106.00M,,,,-695.00M,,-271.00M,,-9.00M,,-9.00M,,-327.00M,-1.196B,-1.532B,,-2.00M,2.067B,2.065B,,,-13.00M,,,,,,-63.00M,,,2.583B,,2.903B,780.00M,40.00M,0.00,,,,-2.00M,,,,,,
1994-12,201.00M,-830.00M,,-830.00M,54.00M,54.00M,91.00M,,261.00M,,,,1.309B,,1.086B,,-10.00M,,-10.00M,,1.491B,-1.15B,331.00M,,-2.29B,1.019B,-1.271B,,,137.00M,,,,,,-63.00M,,-177.00M,-1.534B,,0.00,-117.00M,-1.00M,0.00,,,-2.29B,0.00,,,,,,
1994-09,193.00M,830.00M,,830.00M,48.00M,48.00M,39.00M,,115.00M,,,,248.00M,,1.473B,,-10.00M,,-10.00M,,-4.373B,824.00M,-3.559B,,2.537B,-4.895B,-2.358B,,,-202.00M,,,175.00M,,,-54.00M,,480.00M,-2.175B,,0.00,-4.261B,14.00M,0.00,,,2.587B,-50.00M,,,,,,
1994-06,177.00M,-3.00M,,-3.00M,50.00M,50.00M,88.00M,,-247.00M,,,,-18.00M,,47.00M,,-17.00M,,-17.00M,,1.05B,-1.006B,27.00M,,-15.00M,2.94B,2.925B,,,-7.00M,,,-2.00M,,,-56.00M,,-495.00M,3.995B,,0.00,4.069B,34.00M,0.00,,,,-15.00M,,,,,,
1994-03,178.00M,-12.00M,,-12.00M,48.00M,48.00M,53.00M,,-192.00M,,,,-230.00M,,-155.00M,,-6.00M,,-6.00M,,-18.00M,-2.205B,-2.229B,,-50.00M,717.00M,667.00M,,,2.00M,,,-173.00M,,,-46.00M,,15.00M,1.025B,,4.511B,-1.359B,13.00M,0.00,,,,-50.00M,,,,,,
1993-12,157.00M,-4.00M,,-4.00M,49.00M,49.00M,93.00M,,416.00M,,,,,,120.00M,,-11.00M,,-11.00M,,-81.00M,-104.00M,-196.00M,,-151.00M,-258.00M,-409.00M,,,3.00M,,,0.00,,,-52.00M,,120.00M,153.00M,,0.00,77.00M,-36.00M,0.00,,,249.00M,-400.00M,,,,,,
1993-09,146.00M,-21.00M,,-21.00M,57.00M,57.00M,40.00M,,348.00M,,,,,,570.00M,,-21.00M,,-21.00M,,-364.00M,-360.00M,-745.00M,,-241.00M,-123.00M,-364.00M,,,8.00M,,,1.00M,,,-50.00M,,350.00M,-1.00M,,0.00,-176.00M,22.00M,0.00,,,0.00,-241.00M,,,,,,
1993-06,131.00M,-990.00M,,-990.00M,39.00M,39.00M,18.00M,,928.00M,,,,,,126.00M,,-8.00M,,-8.00M,,-258.00M,-927.00M,-1.193B,,254.00M,361.00M,615.00M,,,39.00M,,,-78.00M,,,-39.00M,,-473.00M,741.00M,,0.00,-326.00M,-20.00M,0.00,,,268.00M,-14.00M,,,,,,
1993-03,125.00M,951.00M,,951.00M,42.00M,42.00M,44.00M,,126.00M,,,,,,1.288B,,-7.00M,,-7.00M,,-216.00M,-23.00M,-246.00M,,29.00M,-228.00M,-199.00M,,,-1.00M,,,-13.00M,,,-38.00M,,941.00M,-1.58B,,5.084B,-538.00M,2.00M,0.00,,,29.00M,,,,,,,
1992-12,105.00M,1.312B,,1.312B,46.00M,46.00M,27.00M,,-441.00M,,,,388.00M,,1.437B,,-13.00M,,-13.00M,,2.199B,2.692B,4.878B,,143.00M,220.00M,363.00M,,,15.00M,,,114.00M,,,-39.00M,,-2.916B,-2.734B,,0.00,3.581B,-42.00M,0.00,,,249.00M,-106.00M,,,,,,
1992-09,97.00M,-1.748B,,-1.748B,42.00M,42.00M,60.00M,,845.00M,,,,-246.00M,,-950.00M,,-7.00M,,-7.00M,,978.00M,-1.062B,-91.00M,,327.00M,136.00M,463.00M,,,5.00M,,,0.00,,,-38.00M,,1.457B,295.00M,,0.00,-746.00M,13.00M,0.00,,,346.00M,-19.00M,,,,,,
1992-06,87.00M,409.00M,,409.00M,41.00M,41.00M,33.00M,,185.00M,,,,-393.00M,,362.00M,,-8.00M,,-8.00M,,-1.567B,666.00M,-909.00M,,-21.00M,1.554B,1.533B,,,362.00M,,,-3.00M,,,-34.00M,,-759.00M,677.00M,,0.00,130.00M,10.00M,0.00,,,-15.00M,-6.00M,,,,,,
1992-03,80.00M,-15.00M,,-15.00M,36.00M,36.00M,38.00M,,-39.00M,,,,,,100.00M,,-8.00M,,-8.00M,,-461.00M,86.00M,-383.00M,,15.00M,-11.00M,4.00M,,,-7.00M,,,,,,-35.00M,,204.00M,520.00M,,1.915B,237.00M,-14.00M,0.00,,,15.00M,,,,,,,
1991-12,65.90M,-37.40M,,-37.40M,40.30M,40.30M,-15.30M,,387.40M,,,,,,440.90M,,-7.20M,,-7.20M,,28.70M,472.40M,493.90M,,-1.60M,-186.30M,-187.90M,,,2.50M,,,0.20M,,,-35.00M,,865.50M,-892.20M,,0.00,42.60M,20.90M,0.00,,,0.20M,-1.80M,,,,,,
1991-09,58.80M,-26.60M,,-26.60M,39.90M,39.90M,74.10M,,-139.40M,,,,,,6.80M,,-4.10M,,-4.10M,,517.50M,1.193B,1.707B,,376.90M,-282.80M,94.10M,,,-1.10M,,,0.00,,,-34.50M,,168.60M,-1.351B,,0.00,362.20M,8.00M,0.00,,,396.80M,-19.90M,,,,,,
1991-06,60.60M,-1.10M,,-1.10M,37.80M,37.80M,37.10M,,384.70M,,,,,,519.10M,,-6.00M,,-6.00M,,-1.511B,-1.248B,-2.764B,,-8.50M,116.60M,108.10M,,,3.70M,,,0.00,,,-34.60M,,1.733B,2.029B,,0.00,-215.80M,1.10M,0.00,,,,-8.50M,,,,,,
1991-03,-63.30M,-14.90M,,-14.90M,37.00M,37.00M,-101.90M,,16.30M,,,,,,-126.80M,,-11.70M,,-11.70M,,827.40M,1.816B,2.632B,,-2.80M,-350.50M,-353.30M,,,9.90M,,,-0.20M,,,-44.90M,,-2.614B,-3.627B,,2.86B,-1.122B,-42.00M,0.00,,,,-2.80M,,,,,,
1990-12,65.00M,-17.50M,,-17.50M,37.30M,37.30M,11.20M,,906.90M,,,,-410.50M,,592.40M,,-13.20M,,-13.20M,,117.40M,1.105B,1.209B,,-3.20M,-128.20M,-131.40M,,,0.60M,,,0.10M,,,-44.80M,,-778.50M,-2.120B,,0.00,-318.50M,90.90M,0.00,,,,-3.20M,,,,,,
1990-09,70.60M,-14.70M,,-14.70M,38.60M,38.60M,19.00M,,12.10M,,,,64.00M,,189.60M,,-15.90M,,-15.90M,,507.30M,1.350B,1.841B,,-4.70M,134.20M,129.50M,,,-1.40M,,,-2.00M,,,-45.40M,,-3.411B,-1.543B,,0.00,487.50M,-18.80M,0.00,,,,-4.70M,,,,,,
1990-06,70.40M,-4.30M,,-4.30M,38.30M,38.30M,40.80M,,-93.90M,,,,-20.00M,,31.30M,,-15.70M,,-15.70M,,-794.60M,-412.40M,-1.223B,,-1.60M,-140.70M,-142.30M,,,32.30M,,,-1.90M,,,-44.90M,,1.014B,1.11B,,0.00,-81.30M,-24.60M,0.00,,,,-1.60M,,,,,,
1990-03,102.30M,-5.10M,,-5.10M,34.40M,34.40M,25.60M,,-78.70M,,,,366.50M,,445.00M,,-15.70M,,-15.70M,,1.187B,155.40M,1.327B,,-75.50M,175.50M,100.00M,,,-0.30M,,,-9.40M,,,-44.20M,,108.20M,-1.725B,,2.685B,46.30M,-6.80M,0.00,,,,-75.50M,,,,,,
