,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-09,40.10M,,,,0.10M,,,14.70M,14.70M,1.50M,,,7.80M,7.60M,-3.00M,-59.10M,,-0.50M,,-55.00M,9.20M,-22.40M,,-22.40M,,-63.60M,0.50M,,-85.50M,,,-3.90M,8.50M,,8.50M,,-8.00M,,,-3.40M,627.50M,-79.70M,0.50M,548.30M,8.50M,,,
2004-06,38.20M,,,,-18.70M,,,19.70M,19.70M,28.90M,,,,-21.90M,46.70M,12.80M,,-29.00M,25.20M,33.80M,101.90M,-33.70M,,11.00M,,,-72.20M,1.30M,-59.90M,,,2.20M,-0.90M,-13.30M,-14.20M,,-6.70M,,,-18.70M,534.90M,23.30M,-0.60M,431.50M,-0.90M,,,-13.30M
2004-03,35.50M,,,,-0.40M,,,13.30M,13.30M,-10.70M,,,-0.60M,-11.10M,-18.60M,41.00M,,5.40M,6.10M,22.80M,59.90M,-14.50M,,-14.50M,,,4.30M,-1.30M,-11.50M,,,-0.60M,21.70M,-24.10M,-2.40M,,-6.60M,,,-9.60M,493.90M,38.80M,2.20M,534.90M,21.70M,,,-24.10M
2003-12,33.10M,,,,-1.30M,,,13.70M,13.70M,4.90M,,,1.20M,10.60M,-0.10M,-9.70M,,-6.50M,,-5.70M,45.90M,-14.60M,,-14.60M,,,1.70M,,-12.90M,,,-23.80M,4.60M,-19.10M,-14.50M,,-6.70M,,,-45.00M,506.60M,-12.00M,-0.70M,493.90M,4.60M,,,-19.10M
2003-09,26.00M,,,,-0.80M,,,13.40M,13.40M,0.10M,,,-0.60M,-5.00M,18.70M,2.70M,,27.00M,,43.40M,81.50M,-14.30M,,-14.30M,,,1.40M,,-12.90M,,,-1.40M,3.40M,,3.40M,,-6.60M,,,-4.60M,442.60M,64.00M,,506.60M,3.40M,,,
2003-06,0.70M,,,,-5.50M,,,15.60M,15.60M,0.30M,,,8.20M,-17.50M,33.10M,24.80M,,-7.70M,,32.70M,52.00M,-25.40M,0.00,-25.40M,,,10.80M,-1.00M,-15.60M,,,17.40M,0.60M,-3.10M,-2.50M,,-5.30M,,,9.60M,396.50M,46.00M,0.10M,442.60M,0.60M,,,-3.10M
2003-03,22.60M,,,,-6.30M,,,14.60M,14.60M,1.90M,,,4.70M,-28.70M,7.30M,17.10M,,4.10M,,-0.20M,37.30M,-18.00M,0.00,-18.00M,,,6.90M,-2.10M,-13.20M,,,0.50M,0.80M,-0.50M,0.30M,,-5.30M,,,-4.50M,379.90M,19.60M,-3.00M,396.50M,0.80M,,,-0.50M
2002-12,16.30M,,,,-5.00M,,,12.70M,12.70M,1.20M,,,4.80M,-2.40M,-11.60M,11.70M,,10.00M,,7.70M,37.70M,-19.80M,0.00,-19.80M,,,7.10M,-0.10M,-12.80M,,,-1.50M,0.50M,2.90M,3.40M,,-10.60M,,,-8.70M,363.30M,16.20M,0.40M,379.90M,0.50M,,,2.90M
2002-09,19.90M,,,,-23.20M,,,13.50M,13.50M,2.20M,,,-3.60M,11.60M,4.30M,-14.10M,,15.20M,,17.00M,25.80M,-9.80M,19.00M,9.20M,,,5.30M,-2.20M,12.30M,,,103.50M,0.40M,-5.30M,-4.90M,,,,,98.60M,226.20M,136.70M,0.40M,363.30M,0.40M,,,-5.30M
2002-06,26.60M,,,,-13.90M,,,14.90M,14.90M,-28.50M,,,11.20M,41.50M,,23.80M,,23.10M,,88.40M,98.70M,-16.10M,23.00M,6.90M,,-0.80M,14.60M,-23.30M,-2.60M,,,-1.60M,3.80M,,3.80M,,-3.30M,,,-1.10M,130.90M,95.00M,0.30M,226.20M,3.80M,,,
2002-03,22.50M,,,,-15.80M,,,13.80M,13.80M,9.30M,,,-9.00M,77.50M,-13.10M,22.00M,,15.40M,,101.80M,122.60M,-10.40M,-23.00M,-33.40M,,0.00,19.20M,15.80M,1.60M,,,-76.40M,1.60M,,1.60M,,-3.30M,,,-78.10M,84.40M,46.10M,0.40M,130.90M,1.60M,,,
2001-12,16.40M,,,,-14.10M,,,12.80M,12.80M,9.70M,,,18.80M,-44.50M,13.10M,-19.80M,16.30M,-28.90M,,-63.80M,-20.20M,-9.90M,0.00,-9.90M,,0.00,17.80M,2.10M,10.00M,,,1.30M,3.20M,,3.20M,,-3.30M,,,1.20M,92.80M,-9.00M,0.60M,84.40M,3.20M,,,
2001-09,17.10M,,,,-27.00M,,,13.60M,13.60M,3.10M,,,16.40M,43.70M,,-50.40M,-16.30M,5.30M,,-17.70M,5.50M,-9.50M,23.00M,13.50M,,-8.60M,17.50M,-2.10M,20.30M,,,-33.80M,0.80M,,0.80M,,-3.30M,,,-36.30M,103.00M,-10.50M,0.30M,92.80M,0.80M,,,
2001-06,29.10M,,,,-31.70M,,,21.20M,21.20M,10.90M,,,25.90M,66.20M,,24.10M,,-16.30M,,-28.00M,27.40M,-14.40M,,-14.40M,,-21.70M,19.30M,38.80M,22.00M,,,-56.70M,0.20M,0.00,0.20M,,-3.30M,,,-59.80M,115.50M,-10.40M,-2.10M,103.00M,0.20M,,,0.00
2001-03,11.10M,,,,-18.30M,,,21.00M,21.00M,-3.10M,,,11.30M,-26.10M,,7.30M,,-5.80M,,-24.60M,-2.60M,-14.40M,,-14.40M,,0.00,40.20M,-23.00M,2.80M,,,8.90M,0.00,-0.10M,-0.10M,,-3.30M,,,5.50M,109.00M,5.70M,0.80M,115.50M,0.00,,,-0.10M
2000-12,16.00M,,,,-13.80M,,,20.10M,20.10M,-26.30M,,,8.30M,-11.50M,,-29.10M,,16.50M,,-24.10M,-19.80M,-12.50M,,-12.50M,,0.20M,14.20M,,1.90M,,,11.70M,0.60M,-40.50M,-39.90M,,-3.30M,,,-31.50M,157.50M,-49.40M,0.90M,109.00M,0.60M,,,-40.50M
2000-09,-34.80M,,,,21.50M,,,17.40M,17.40M,9.90M,,,-17.90M,-40.80M,,-1.50M,,13.90M,,-28.40M,-32.30M,-13.90M,,-13.90M,,-126.10M,53.70M,,-86.30M,,,-47.60M,1.10M,-51.60M,-50.50M,,-3.40M,,,-101.50M,378.20M,-220.10M,-0.60M,157.50M,1.10M,,,-51.60M
2000-06,16.40M,,,,-15.10M,,,18.10M,18.10M,-14.00M,,,31.00M,0.50M,-55.50M,7.20M,,-37.80M,,-33.00M,3.40M,-10.80M,,-10.80M,,-31.10M,15.80M,-9.50M,-35.60M,,,4.20M,0.10M,-5.50M,-5.40M,,-3.50M,,,-4.70M,411.90M,-36.90M,3.20M,378.20M,0.10M,,,-5.50M
2000-03,-7.30M,,,,-30.80M,,,18.80M,18.80M,-5.00M,,,,79.20M,23.00M,8.00M,,55.20M,,165.40M,141.10M,-25.60M,,-25.60M,,-92.80M,36.80M,-11.90M,-93.50M,,,2.10M,1.20M,0.20M,1.40M,,-3.50M,,,0.00,365.50M,47.60M,-1.20M,411.90M,1.20M,,,0.20M
1999-12,14.60M,,,,-66.70M,,,15.80M,15.80M,-21.20M,,,27.30M,-58.60M,32.50M,20.80M,,-16.50M,,-21.80M,-52.00M,-15.00M,,-15.00M,,,,576.20M,561.20M,,,-178.40M,0.30M,-213.00M,-212.70M,,-3.80M,,,-394.90M,251.70M,114.30M,-0.50M,365.50M,0.30M,,,-213.00M
1999-09,1.30M,,,,32.10M,,,15.90M,15.90M,7.00M,,,-27.30M,20.30M,,-74.80M,,-22.30M,,-76.80M,-47.80M,-29.90M,,-29.90M,,,,451.90M,422.00M,,,-175.80M,1.00M,-14.50M,-13.50M,,-19.10M,,,-208.40M,85.70M,165.80M,0.20M,251.70M,1.00M,,,-14.50M
1999-06,-72.70M,,,,-47.70M,,,15.70M,15.70M,-8.00M,,,31.40M,-6.20M,-49.20M,43.20M,,-6.60M,134.90M,203.10M,121.80M,-18.00M,,-18.00M,,-0.10M,,128.20M,120.00M,,,-187.60M,1.70M,-6.80M,-5.10M,,-19.10M,,,-211.80M,53.30M,30.00M,2.40M,85.70M,1.70M,,,-6.80M
1999-03,41.40M,,,,118.50M,,,16.20M,16.20M,5.60M,,,,-14.60M,7.40M,6.90M,,2.40M,-134.90M,-132.80M,48.90M,0.10M,,0.10M,,-35.60M,,67.60M,32.10M,,,-79.50M,1.10M,-3.40M,-2.30M,,-19.10M,,,-100.90M,74.10M,-19.90M,-0.90M,53.30M,1.10M,,,-3.40M
1998-12,52.80M,,,,73.10M,,,16.40M,16.40M,-2.60M,,,20.20M,-57.10M,41.80M,9.10M,,-19.80M,,-26.00M,133.90M,-29.10M,,-29.10M,,,,-111.70M,-140.80M,,,64.40M,0.80M,-5.50M,-4.70M,,-19.10M,,,40.60M,40.70M,33.70M,-0.30M,74.10M,0.80M,,,-5.50M
1998-09,28.40M,,,,22.00M,,,15.20M,15.20M,4.90M,,,-20.20M,22.80M,,-53.80M,,-61.80M,,-92.80M,-42.50M,-13.40M,,-13.40M,,,,-34.40M,-47.80M,,,46.20M,0.80M,,0.80M,,-19.20M,,,27.80M,101.50M,-62.50M,1.70M,40.70M,0.80M,,,
1998-06,-23.20M,,,,,,,-93.10M,-93.10M,31.90M,,,-3.00M,39.90M,,74.00M,71.10M,-26.70M,,158.30M,250.70M,149.10M,,149.10M,,,,-324.20M,-175.10M,,,-0.90M,0.60M,,0.60M,,-17.60M,,,-17.90M,0.00,57.70M,6.00M,101.50M,0.60M,,,
1998-03,59.90M,,,,,,,57.70M,57.70M,0.00,,,5.90M,-33.50M,3.00M,3.40M,-27.50M,5.10M,,-49.50M,74.00M,-95.70M,,-95.70M,,,,9.90M,-85.80M,,,40.70M,5.20M,,5.20M,,-17.50M,,,28.40M,0.00,16.60M,-6.10M,0.00,5.20M,,,
1997-12,52.70M,,,,,,,50.00M,50.00M,-3.00M,,,18.00M,4.40M,-3.00M,21.30M,-23.20M,-17.50M,,-18.00M,99.70M,-68.10M,,-68.10M,,,,-1.00M,-69.10M,,,-52.10M,2.30M,,2.30M,,-17.40M,,,-67.20M,0.00,-36.60M,1.00M,0.00,2.30M,,,
