,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-12,352.70M,5.20M,357.90M,914.30M,,,,914.30M,170.20M,54.90M,165.80M,310.20M,701.10M,120.10M,64.30M,2.158B,0.00,12.10M,353.50M,811.10M,83.80M,1.260B,-778.50M,482.00M,1.215B,309.20M,1.524B,,106.10M,2.112B,4.270B,386.30M,,386.30M,263.50M,649.80M,,,19.10M,19.10M,,,,325.00M,993.90M,827.70M,,827.70M,29.60M,,29.60M,,192.80M,86.60M,943.90M,1.938B,132.60M,1.629B,454.70M,,,-77.30M,2.139B
2008-09,342.20M,6.30M,348.50M,981.50M,,,,981.50M,174.20M,60.70M,143.90M,298.40M,677.20M,121.00M,73.10M,2.201B,0.00,12.60M,351.50M,810.70M,80.20M,1.255B,-772.10M,482.90M,1.538B,351.80M,1.89B,,109.30M,2.482B,4.684B,409.80M,,409.80M,263.40M,673.20M,,,88.90M,88.90M,,,,365.60M,1.128B,827.90M,,827.90M,27.20M,,27.20M,,330.70M,96.50M,951.60M,2.079B,132.40M,1.695B,444.30M,,,2.10M,2.274B
2008-06,274.50M,19.30M,293.80M,561.30M,,0.70M,123.60M,679.90M,100.70M,46.50M,113.30M,215.50M,476.00M,103.90M,498.90M,2.052B,66.40M,11.30M,321.70M,692.70M,,1.092B,-684.90M,407.20M,1.262B,236.90M,1.499B,0.00,668.40M,2.575B,4.628B,309.30M,22.40M,331.70M,192.30M,524.00M,,,1.00M,1.00M,100.20M,100.20M,,366.00M,991.20M,828.00M,,828.00M,42.50M,,42.50M,,,491.80M,1.362B,2.354B,133.60M,1.661B,453.60M,,,,2.274B
2008-03,291.90M,34.50M,326.40M,848.90M,,,,848.90M,172.60M,83.40M,155.60M,237.70M,649.30M,119.70M,64.80M,2.009B,0.00,12.60M,345.80M,811.30M,73.60M,1.243B,-762.00M,481.30M,1.539B,380.80M,1.920B,,114.80M,2.516B,4.525B,395.90M,,395.90M,241.60M,637.50M,,,60.30M,60.30M,,,,332.40M,1.030B,833.50M,,833.50M,35.60M,,35.60M,,337.80M,105.80M,974.90M,2.005B,133.70M,1.579B,440.10M,49.10M,-19.10M,30.00M,2.182B
2007-12,371.60M,63.30M,434.90M,808.40M,,,,808.40M,167.20M,83.50M,131.40M,231.00M,613.10M,103.60M,,1.96B,0.00,12.70M,340.20M,784.90M,79.30M,1.217B,-749.70M,467.40M,1.544B,396.70M,1.941B,,182.70M,2.591B,4.551B,374.30M,,374.30M,191.90M,566.20M,,,160.60M,160.60M,,,,294.60M,1.021B,832.50M,,832.50M,39.10M,,39.10M,,332.40M,116.90M,988.50M,2.010B,135.40M,1.567B,451.60M,59.60M,-4.60M,55.00M,2.209B
2007-09,343.60M,50.30M,393.90M,751.70M,6.40M,,,758.10M,176.80M,74.20M,126.20M,235.00M,612.20M,105.90M,,1.870B,0.00,12.70M,336.50M,766.00M,74.60M,1.190B,-729.10M,460.70M,1.533B,406.90M,1.940B,,180.30M,2.581B,4.451B,329.00M,,329.00M,185.60M,514.60M,,,567.90M,567.90M,,,,327.30M,1.410B,408.10M,,408.10M,43.00M,,43.00M,,329.50M,117.30M,568.40M,1.978B,135.90M,1.512B,450.00M,52.40M,-6.70M,45.70M,2.143B
2007-06,368.30M,60.90M,429.20M,748.50M,,,,748.50M,172.30M,54.90M,119.90M,209.70M,556.80M,94.30M,,1.829B,0.00,12.50M,335.80M,776.30M,68.40M,1.193B,-733.80M,459.20M,1.525B,417.90M,1.943B,,174.90M,2.577B,4.406B,350.00M,,350.00M,187.50M,537.50M,,,719.80M,719.80M,,,,380.80M,1.638B,408.90M,,408.90M,61.80M,,61.80M,,326.90M,66.50M,537.20M,2.175B,129.60M,1.472B,283.10M,24.30M,-5.70M,18.60M,1.904B
2007-03,481.80M,40.80M,522.60M,630.30M,,,,630.30M,168.10M,60.10M,135.20M,159.60M,523.00M,112.00M,,1.788B,0.00,11.50M,341.90M,760.50M,64.70M,1.179B,-727.40M,451.20M,1.207B,313.70M,1.521B,,180.90M,2.153B,3.941B,279.10M,,279.10M,183.30M,462.40M,,,319.30M,319.30M,,,,404.30M,1.186B,411.00M,,411.00M,24.50M,,24.50M,,323.90M,,435.50M,1.622B,133.20M,1.563B,301.20M,-1.70M,-0.60M,-2.30M,1.995B
2006-12,367.90M,,367.90M,534.20M,,,,534.20M,167.30M,72.60M,89.00M,172.20M,501.10M,111.00M,,1.514B,0.00,11.60M,332.30M,707.90M,61.30M,1.113B,-709.10M,404.00M,951.80M,177.50M,1.129B,,186.30M,1.720B,3.234B,220.60M,,220.60M,158.30M,378.90M,,,149.20M,149.20M,154.30M,154.30M,,182.50M,864.90M,550.00M,,550.00M,21.20M,,21.20M,,,,571.20M,1.436B,132.90M,1.38B,279.20M,6.50M,-0.90M,5.60M,1.798B
2006-09,296.10M,,296.10M,560.40M,,,,560.40M,178.70M,70.20M,87.10M,162.90M,498.90M,107.50M,,1.463B,0.00,11.60M,329.30M,705.30M,58.10M,1.104B,-701.10M,403.20M,953.30M,186.70M,1.14B,,184.30M,1.728B,3.190B,231.30M,,231.30M,153.60M,384.90M,,,149.90M,149.90M,125.00M,125.00M,,220.50M,880.30M,550.00M,,550.00M,21.40M,,21.40M,,,,571.40M,1.452B,133.10M,1.316B,272.10M,,,17.10M,1.739B
2006-06,181.30M,123.10M,304.40M,560.60M,,,,560.60M,172.20M,69.40M,90.00M,137.30M,468.90M,105.00M,,1.439B,0.00,11.60M,326.10M,699.40M,52.30M,1.089B,-696.00M,393.40M,951.10M,193.40M,1.144B,,165.50M,1.703B,3.142B,235.60M,,235.60M,130.70M,366.30M,,,1.60M,1.60M,129.30M,129.30M,,220.70M,717.90M,699.50M,,699.50M,28.60M,,28.60M,,,34.20M,762.30M,1.480B,132.80M,1.253B,264.80M,,,11.70M,1.662B
2006-03,335.50M,,335.50M,538.70M,,,,538.70M,168.50M,58.80M,105.90M,135.00M,468.20M,106.50M,,1.449B,0.00,9.40M,320.20M,691.20M,,1.021B,-677.00M,343.80M,907.30M,173.80M,1.081B,,172.60M,1.598B,3.046B,173.80M,,173.80M,153.50M,327.30M,,,9.80M,9.80M,,,,380.30M,717.40M,699.60M,,699.60M,36.90M,,36.90M,,,,736.50M,1.454B,133.30M,1.201B,258.40M,,,-0.60M,1.592B
2005-12,278.10M,,278.10M,490.60M,,,,490.60M,168.40M,30.40M,97.30M,115.20M,411.30M,113.60M,,1.294B,0.00,9.40M,317.20M,672.50M,,999.10M,-667.40M,331.70M,,1.087B,1.087B,,173.60M,1.592B,2.886B,155.60M,,155.60M,155.90M,311.50M,,,9.00M,9.00M,,,,299.50M,620.00M,699.80M,,699.80M,42.40M,,42.40M,,,,742.20M,1.362B,133.00M,1.148B,243.20M,,,-0.40M,1.524B
2005-09,729.10M,,729.10M,458.30M,,,141.10M,599.40M,168.30M,25.70M,46.50M,,240.50M,96.90M,,1.666B,0.00,8.60M,306.50M,652.50M,,967.60M,-661.20M,306.40M,,667.70M,667.70M,,166.50M,1.141B,2.806B,162.10M,,162.10M,246.30M,408.40M,,,3.80M,3.80M,,,,172.00M,584.20M,700.00M,,700.00M,27.10M,,27.10M,,,,727.10M,1.311B,132.80M,1.128B,231.60M,,,2.30M,1.495B
2005-06,377.60M,,377.60M,494.00M,,,,494.00M,174.70M,25.30M,60.60M,87.20M,347.80M,96.00M,,1.315B,0.00,9.60M,307.20M,640.80M,,957.60M,-649.80M,307.80M,569.90M,99.10M,669.00M,,165.20M,1.142B,2.457B,163.70M,,163.70M,114.10M,277.80M,,,4.20M,4.20M,139.00M,139.00M,,169.20M,590.20M,401.40M,,401.40M,26.70M,,26.70M,,,,428.10M,1.018B,132.90M,1.094B,219.10M,,,-6.60M,1.439B
2005-03,275.60M,,275.60M,488.60M,,,134.40M,623.00M,168.20M,26.70M,41.30M,,236.20M,114.00M,,1.249B,0.00,9.60M,302.70M,647.10M,,959.40M,-656.40M,303.00M,,672.70M,672.70M,,149.20M,1.125B,2.374B,132.60M,,132.60M,264.00M,396.60M,,,2.30M,2.30M,,,,149.20M,548.10M,401.40M,,401.40M,15.00M,,15.00M,,,,416.40M,964.50M,133.50M,1.057B,219.70M,,,-0.60M,1.409B
2004-12,230.40M,,230.40M,485.00M,,,133.00M,618.00M,160.60M,22.30M,46.80M,,229.70M,118.30M,,1.196B,0.00,9.60M,298.90M,643.10M,,951.60M,-652.30M,299.30M,,673.60M,673.60M,,156.20M,1.129B,2.326B,149.80M,,149.80M,125.30M,275.10M,,,4.10M,4.10M,,,,273.60M,552.80M,401.40M,,401.40M,14.70M,,14.70M,,,,416.10M,968.90M,66.60M,1.009B,279.20M,,,2.00M,1.357B
2004-09,548.30M,14.50M,562.80M,469.50M,,,103.40M,572.90M,171.30M,19.50M,40.60M,,231.40M,115.50M,,1.483B,0.00,9.60M,294.20M,613.90M,,917.70M,-627.30M,290.40M,,278.40M,278.40M,,173.10M,741.90M,2.224B,114.20M,,114.20M,247.10M,361.30M,,,7.50M,7.50M,,,,123.60M,492.40M,401.40M,,401.40M,4.10M,,4.10M,,,,405.50M,897.90M,66.70M,999.70M,271.80M,,,-11.60M,1.327B
2004-06,627.50M,,627.50M,457.50M,,,117.70M,575.20M,153.10M,22.20M,45.60M,,220.90M,114.10M,,1.538B,0.00,9.60M,290.80M,596.20M,,896.60M,-613.30M,283.30M,,233.40M,233.40M,,171.40M,688.10M,2.226B,128.80M,,128.80M,275.00M,403.80M,,,9.90M,9.90M,,,,129.10M,542.80M,401.40M,,401.40M,2.80M,,2.80M,,,,404.20M,947.00M,132.70M,967.60M,190.60M,,,-12.10M,1.279B
2004-03,534.90M,18.50M,553.40M,443.20M,,,125.40M,568.60M,170.00M,30.70M,43.70M,,244.40M,103.90M,,1.470B,0.00,13.90M,295.10M,611.60M,,920.60M,-631.30M,289.30M,,238.20M,238.20M,26.10M,171.70M,725.30M,2.196B,117.00M,,117.00M,132.80M,249.80M,,,7.80M,7.80M,,,,282.60M,540.20M,401.40M,,401.40M,,,,,,,401.40M,941.60M,66.40M,946.30M,252.30M,,,-11.00M,1.254B
2003-12,493.90M,21.60M,515.50M,418.50M,,,138.20M,556.70M,162.60M,24.20M,45.00M,,231.80M,96.90M,,1.401B,0.00,13.90M,290.50M,620.10M,,924.50M,-632.40M,292.10M,,236.80M,236.80M,15.40M,177.30M,721.60M,2.122B,106.90M,,106.90M,122.40M,229.30M,,,8.40M,8.40M,,,,259.80M,497.50M,401.40M,,401.40M,,,,,,,401.40M,898.90M,66.30M,936.20M,236.70M,,,-15.60M,1.224B
2003-09,506.60M,22.10M,528.70M,426.10M,,,143.90M,570.00M,147.90M,20.70M,47.50M,,216.10M,91.90M,,1.407B,0.00,13.90M,288.60M,608.90M,,911.40M,-621.50M,289.90M,,227.30M,227.30M,20.30M,184.40M,721.90M,2.129B,126.20M,,126.20M,103.50M,229.70M,,,30.60M,30.60M,,,,261.80M,522.10M,401.60M,,401.60M,,,,,,,401.60M,923.70M,66.60M,924.70M,235.90M,,,-22.30M,1.205B
2003-06,442.60M,23.10M,465.70M,415.70M,,,170.00M,585.70M,143.90M,16.90M,42.30M,,203.10M,83.10M,,1.338B,0.00,11.90M,282.80M,588.20M,,882.90M,-601.30M,281.60M,,214.30M,214.30M,21.10M,220.70M,737.70M,2.075B,112.70M,,112.70M,102.60M,215.30M,,,32.00M,32.00M,,,,243.20M,490.50M,401.60M,,401.60M,,,,,,,401.60M,892.10M,66.40M,905.30M,229.70M,,,-18.20M,1.183B
2003-03,396.50M,24.90M,421.40M,381.70M,,,193.40M,575.10M,168.70M,26.60M,41.60M,,236.90M,92.20M,,1.326B,0.00,12.30M,280.60M,593.50M,,886.40M,-606.40M,280.00M,,224.70M,224.70M,20.60M,192.40M,717.70M,2.043B,120.90M,,120.90M,100.90M,221.80M,,,14.20M,14.20M,,,,221.80M,457.80M,402.10M,,402.10M,,,,,,,402.10M,859.90M,66.50M,912.30M,229.80M,,,-25.20M,1.183B
2002-12,379.90M,30.50M,410.40M,372.70M,,,189.70M,562.40M,159.10M,27.00M,43.30M,,229.40M,98.70M,,1.301B,0.00,12.30M,277.40M,579.60M,,869.30M,-594.70M,274.60M,222.60M,,222.60M,22.60M,187.90M,707.70M,2.009B,106.10M,,106.10M,103.20M,209.30M,,,13.70M,13.70M,,,,220.90M,443.90M,401.90M,,401.90M,,,,,,,401.90M,845.80M,66.30M,895.40M,225.50M,,,-24.40M,1.163B
2002-09,363.30M,34.50M,397.80M,366.80M,,,175.60M,542.40M,156.00M,26.80M,49.10M,,231.90M,92.60M,,1.265B,0.00,12.30M,275.50M,561.70M,,849.50M,-582.40M,267.10M,221.50M,,221.50M,23.80M,195.00M,707.40M,1.972B,99.80M,,99.80M,,99.80M,,,14.80M,14.80M,,,,303.80M,418.40M,402.30M,,402.30M,,,,,,,402.30M,820.70M,66.40M,886.20M,225.40M,,,-26.60M,1.151B
2002-06,226.20M,52.20M,278.40M,380.30M,,,179.30M,559.60M,162.10M,28.20M,42.90M,,233.20M,82.30M,,1.154B,0.00,12.30M,274.20M,563.20M,,849.70M,-579.10M,270.60M,215.20M,,215.20M,26.00M,193.20M,705.00M,1.858B,99.20M,,99.20M,106.60M,205.80M,,,25.90M,25.90M,,,,193.90M,425.60M,283.00M,,283.00M,,,,,,,283.00M,708.60M,66.30M,871.70M,223.90M,,,-12.00M,1.150B
2002-03,130.90M,78.20M,209.10M,418.60M,,,,418.60M,,,,,250.60M,93.40M,182.10M,1.154B,,,,,,,,269.60M,,211.90M,211.90M,,198.60M,680.10M,1.834B,89.70M,,89.70M,,89.70M,,,,,,,,296.90M,386.60M,310.50M,,310.50M,,,,,,2.60M,313.10M,699.70M,66.20M,848.30M,220.30M,,,-0.60M,1.134B
2001-12,84.40M,100.80M,185.20M,453.50M,,,191.40M,644.90M,182.00M,26.20M,49.30M,,257.50M,94.60M,,1.182B,0.00,12.30M,274.20M,560.50M,,847.00M,-573.90M,273.10M,,209.00M,209.00M,6.70M,194.40M,683.20M,1.865B,77.20M,,77.20M,,77.20M,,,3.40M,3.40M,,,,277.20M,357.80M,383.50M,,383.50M,,,,,,,383.50M,741.30M,66.10M,829.10M,218.80M,,,10.10M,1.124B
2001-09,92.80M,93.40M,186.20M,404.00M,,,,404.00M,182.50M,23.60M,57.00M,,263.10M,91.90M,205.80M,1.151B,0.00,12.30M,273.30M,562.70M,,848.30M,-572.30M,276.00M,,209.40M,209.40M,16.40M,218.10M,719.90M,1.871B,98.20M,,98.20M,193.40M,291.60M,,,1.90M,1.90M,,,,94.90M,388.40M,383.70M,,383.70M,,,,,,,383.70M,772.10M,66.00M,816.10M,215.70M,,,1.00M,1.099B
2001-06,103.00M,146.80M,249.80M,451.60M,,,,451.60M,,,,,267.70M,70.30M,182.60M,1.222B,0.00,12.30M,273.10M,566.40M,,851.80M,-569.90M,281.90M,,215.10M,215.10M,19.50M,221.40M,737.90M,1.960B,125.50M,,125.50M,,125.50M,,,35.00M,35.00M,,,,299.80M,460.30M,384.40M,,384.40M,,,,,,,384.40M,844.70M,65.80M,802.30M,214.00M,,,33.10M,1.115B
2001-03,115.50M,107.00M,222.50M,617.70M,,,,617.70M,176.40M,20.60M,50.50M,,247.50M,85.10M,,1.173B,0.00,12.60M,271.10M,561.50M,,845.20M,-560.70M,284.50M,,183.60M,183.60M,30.50M,253.70M,752.30M,1.925B,123.60M,,123.60M,92.40M,216.00M,,,90.40M,90.40M,,,,183.70M,490.10M,384.60M,,384.60M,,,,,,,384.60M,874.70M,65.80M,776.50M,213.90M,,,-5.80M,1.050B
2000-12,109.00M,182.00M,291.00M,615.00M,,,,615.00M,,,,,220.50M,,76.10M,1.203B,,,,,,841.80M,-554.30M,287.50M,,189.40M,189.40M,,282.70M,759.60M,1.962B,102.10M,,102.10M,,102.10M,,,181.00M,181.00M,,,,306.80M,589.90M,285.10M,,285.10M,,,,,,,285.10M,875.00M,65.80M,768.80M,213.90M,,,38.70M,1.087B
2000-09,157.50M,340.10M,497.60M,627.00M,,,,627.00M,,,,,215.30M,,42.20M,1.382B,,,,,,843.50M,-546.20M,297.30M,,217.30M,217.30M,,253.20M,767.80M,2.150B,115.50M,,115.50M,,115.50M,,,63.60M,63.60M,,,,357.60M,536.70M,385.80M,,385.80M,,,,,,,385.80M,922.50M,67.20M,786.60M,223.00M,,,150.60M,1.227B
2000-06,378.20M,432.50M,810.70M,466.50M,,,,466.50M,,,,,197.20M,,154.60M,1.629B,,,,,,832.30M,-536.90M,295.40M,,166.20M,166.20M,,236.30M,697.90M,2.327B,109.50M,,109.50M,,109.50M,,,108.40M,108.40M,,,,338.00M,555.90M,382.60M,,382.60M,14.10M,,14.10M,,,,396.70M,952.60M,69.00M,864.10M,228.40M,,,212.80M,1.374B
2000-03,411.90M,482.00M,893.90M,,,,,596.10M,,,,,197.80M,,,1.688B,,,,,,843.80M,-545.60M,298.20M,,148.30M,148.30M,,249.00M,695.50M,2.383B,119.50M,,119.50M,,119.50M,,,70.90M,70.90M,,,,346.00M,536.40M,415.60M,,415.60M,28.10M,,28.10M,,,,443.70M,980.10M,69.20M,857.80M,230.40M,,,245.80M,1.403B
1999-12,365.50M,216.00M,581.50M,,,,,613.10M,,,,,194.30M,,61.60M,1.450B,,,,,,852.50M,-547.80M,304.70M,,79.00M,79.00M,,344.00M,727.70M,2.178B,97.60M,,97.60M,,97.60M,,,68.80M,68.80M,,,,320.30M,486.70M,415.60M,,415.60M,33.10M,,33.10M,,,,448.70M,935.40M,69.10M,864.40M,229.60M,,,79.70M,1.243B
1999-09,251.70M,31.80M,283.50M,,,,,574.80M,,,,,210.10M,,144.80M,1.213B,,,,,,841.00M,-538.30M,302.70M,,82.20M,82.20M,,1.083B,1.468B,2.681B,120.10M,,120.10M,,120.10M,,,247.80M,247.80M,,,,289.00M,656.90M,415.00M,,415.00M,54.30M,,54.30M,,,,469.30M,1.126B,79.10M,1.217B,267.60M,,,-9.50M,1.555B
1999-06,85.70M,15.50M,101.20M,,,,,596.10M,,,,,205.70M,,128.40M,1.031B,,,,,,815.90M,-524.30M,291.60M,,72.80M,72.80M,,1.563B,1.927B,2.959B,154.30M,,154.30M,,154.30M,,,324.20M,324.20M,,,,328.80M,807.30M,514.50M,,514.50M,47.30M,,47.30M,,,,561.80M,1.369B,79.70M,1.247B,271.50M,,,-8.40M,1.590B
1999-03,116.10M,,116.10M,,,,,891.00M,,,,,579.00M,,416.10M,2.002B,,,,,,2.409B,-1.446B,962.90M,,276.90M,276.90M,,618.30M,1.858B,3.860B,197.80M,,197.80M,,197.80M,,,424.60M,424.60M,,,,690.70M,1.313B,774.80M,,774.80M,132.70M,,132.70M,,,,907.50M,2.221B,,1.341B,,,,,1.640B
1998-12,127.80M,,127.80M,,,,,879.00M,,,,,586.00M,,431.90M,2.025B,,,,,,5.115B,-4.134B,981.20M,,283.10M,283.10M,,607.30M,1.872B,3.896B,192.70M,,192.70M,,192.70M,,,425.30M,425.30M,,,,732.60M,1.351B,770.50M,,770.50M,134.10M,,134.10M,,,,904.60M,2.255B,,1.321B,,,,,1.641B
1998-09,111.20M,,111.20M,,,,,853.00M,,,,,626.90M,,440.50M,2.032B,,,,,,2.397B,-1.392B,1.005B,,289.80M,289.80M,,576.80M,1.872B,3.904B,217.00M,,217.00M,,217.00M,,,417.60M,417.60M,,,,748.60M,1.383B,783.40M,,783.40M,133.10M,,133.10M,,,,916.50M,2.300B,,1.292B,,,,,1.604B
1998-06,101.50M,30.00M,131.50M,,,,,594.00M,,,,,216.40M,,111.30M,1.053B,,,,,,837.10M,-522.30M,314.80M,,69.80M,69.80M,,1.793B,2.177B,3.230B,121.70M,,121.70M,,121.70M,,,234.20M,234.20M,,,,428.70M,784.60M,761.00M,,761.00M,47.40M,,47.40M,,,,808.40M,1.593B,80.00M,1.283B,271.30M,,,3.30M,1.637B
1998-03,41.30M,,41.30M,,,,,1.073B,,,,,664.70M,,203.40M,1.983B,,,,,,2.295B,-1.347B,947.90M,,216.20M,216.20M,,561.70M,1.726B,3.709B,181.10M,,181.10M,,181.10M,,,205.80M,205.80M,,,,725.60M,1.112B,836.40M,,836.40M,81.00M,,81.00M,,,,917.40M,2.030B,,1.324B,,,,,1.679B
