,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2003-08,51.31M,,,-6.18M,15.96M,15.96M,,,,,,,,,,-54.84M,-54.84M,3.13M,9.382M,,-16.18M,145.46M,129.27M,-180.00M,,0.00,-50.73M,,,,50.62M,6.546M,-5.495M,1.051M,,-16.74M,,,34.92M,,24.99M,-6.423M,-6.387M,12.18M,,6.546M,,,-5.495M,,,
2003-05,39.96M,,,0.06M,16.09M,16.09M,,,,,,,,,,-18.48M,-18.48M,-0.512M,37.12M,,-22.13M,1.517M,-20.61M,0.00,,50.01M,29.39M,,,,-55.18M,11.36M,-14.07M,-2.711M,,-15.31M,,,-73.20M,,22.88M,-6.696M,8.808M,24.99M,,11.36M,,,-14.07M,,,
2003-02,35.14M,,,-1.421M,14.90M,14.90M,,,,,,,,,,-73.63M,-73.63M,-7.103M,-32.11M,,-18.01M,0.53M,-17.48M,-19.52M,,,-36.99M,,,,70.38M,6.741M,-21.01M,-14.27M,,-15.42M,,,40.70M,,47.33M,-28.41M,3.956M,22.88M,,6.741M,,,-21.01M,,,
2002-11,71.17M,,,-23.40M,15.41M,15.41M,,,,19.10M,,,,,,101.32M,63.62M,3.299M,170.30M,,-15.31M,4.106M,-11.20M,-0.90M,,,-12.10M,,,,-123.54M,0.566M,1.471M,2.037M,,-14.67M,,,-136.17M,,23.33M,22.02M,1.98M,47.30M,,0.566M,,,1.471M,,,
2002-08,35.18M,,,-6.973M,5.708M,5.708M,,,,-2.188M,,,,,,-24.09M,-24.09M,4.801M,12.44M,,-10.01M,2.394M,-7.615M,-0.50M,,-1.503M,-9.618M,,,,-11.46M,1.307M,-0.704M,0.603M,,-14.72M,,,-25.58M,,40.16M,-22.76M,5.935M,23.33M,,1.307M,,,-0.704M,,,
2002-05,33.61M,,,13.75M,17.37M,17.37M,,,,-0.167M,,,,,,-19.10M,-19.10M,,45.48M,,-39.26M,,-39.26M,,,0.916M,-38.35M,,,,-24.77M,11.36M,-2.31M,9.051M,,-14.67M,,,-30.39M,,62.18M,-23.26M,1.24M,40.16M,,11.36M,,,-2.31M,,,
2002-02,33.84M,,,-5.678M,14.91M,14.91M,,,,2.355M,,,,,,-60.24M,-60.24M,,-14.81M,,-35.82M,,-35.82M,,,0.587M,-35.23M,,,,85.38M,14.97M,-5.257M,9.709M,,-14.54M,,,80.55M,,31.33M,30.50M,0.345M,62.18M,,14.97M,,,-5.257M,,,
2001-11,49.57M,,,13.04M,5.843M,5.843M,,,,,,,,,,77.43M,57.53M,,147.08M,,-16.69M,,-15.99M,,,-1.499M,-17.49M,,,,-118.74M,3.017M,-1.023M,1.994M,,-13.81M,,,-130.55M,,32.13M,-0.961M,0.117M,31.30M,,3.017M,,,-1.023M,,,
2001-08,34.31M,,,-31.07M,18.25M,18.25M,,,,,,,,,,-26.21M,-26.21M,,-4.717M,,-28.48M,,-28.48M,,,0.473M,-28.00M,,,,25.84M,6.971M,-1.272M,5.699M,,-13.82M,,,17.72M,,47.48M,-15.00M,-0.348M,32.13M,,6.971M,,,-1.272M,,,
2001-05,26.64M,,,6.977M,19.32M,19.32M,,,,,,,,,,33.15M,33.15M,,86.09M,,-30.49M,,-30.49M,,,0.127M,-30.36M,,,,-32.52M,9.818M,-3.437M,6.381M,,-13.78M,,,-39.91M,,31.29M,15.81M,0.378M,47.48M,,9.818M,,,-3.437M,,,
2001-02,26.59M,,,1.25M,17.28M,17.28M,,,,,,,,,,-84.37M,-84.37M,,-39.25M,,-21.15M,,-21.15M,,,0.399M,-20.75M,,,,77.81M,9.394M,-6.168M,3.226M,,-13.69M,,,67.34M,,23.89M,7.349M,0.053M,31.29M,,9.394M,,,-6.168M,,,
2000-11,57.62M,,,-5.126M,18.55M,18.55M,,,,9.98M,,,,,35.90M,62.18M,77.38M,,153.30M,,-18.04M,,-16.44M,-1.976M,,-1.566M,-19.99M,,,,-128.38M,4.562M,-5.903M,-1.341M,,-13.03M,,,-142.74M,,35.92M,-9.43M,-2.631M,23.90M,,4.562M,,,-5.903M,,,
2000-08,31.26M,,,-4.175M,14.38M,14.38M,,,,0.72M,,,,,30.57M,-62.18M,-31.61M,,10.58M,,-12.48M,,-12.48M,-380.51M,,-2.557M,-395.55M,,,,403.74M,0.408M,-0.254M,0.154M,,-13.01M,,,390.88M,,28.45M,5.915M,1.556M,35.92M,,0.408M,,,-0.254M,,,
2000-05,24.20M,,,-2.889M,13.91M,13.91M,,,,,,,,,5.466M,,5.466M,,40.69M,,-10.74M,,-10.74M,-1.05M,,-0.016M,-11.81M,,,,11.21M,3.926M,-25.74M,-21.82M,,-13.06M,,,-23.67M,,24.01M,5.213M,-0.771M,28.45M,,3.926M,,,-25.74M,,,
2000-02,24.42M,,,-5.41M,14.46M,14.46M,,,,,,,,,-36.04M,,-36.04M,,-2.568M,,-12.33M,,-12.33M,-3.065M,,0.139M,-15.26M,,,,83.63M,0.104M,-40.40M,-40.29M,,-13.20M,,,30.13M,,11.96M,12.30M,-0.254M,24.01M,,0.104M,,,-40.40M,,,
1999-11,54.00M,,,-4.30M,15.40M,15.40M,,,,8.00M,-29.90M,38.00M,13.60M,27.40M,35.10M,,76.60M,,159.00M,,-15.10M,2.90M,-12.20M,,,0.10M,-12.10M,,,,-113.60M,0.20M,-22.10M,-21.90M,,-12.50M,,0.10M,-147.90M,,13.90M,-1.00M,-0.70M,12.00M,,0.20M,,,-22.10M,,,
1999-08,25.30M,,,-1.20M,13.50M,13.50M,,,,0.10M,-1.00M,-9.80M,-11.30M,13.50M,-0.90M,,-9.50M,,28.20M,,-12.10M,0.00,-12.10M,,,0.10M,-12.00M,,,,5.20M,3.10M,-12.60M,-9.50M,,-11.70M,,-0.10M,-16.10M,,0.00,0.10M,0.10M,13.90M,,3.10M,,,-12.60M,,,
1999-05,5.80M,,,14.30M,14.90M,14.90M,,,,37.70M,-6.00M,-15.40M,5.70M,3.60M,-34.20M,,-46.30M,,26.40M,,-12.30M,0.10M,-12.20M,,,0.00,-12.20M,,,,11.90M,5.70M,-22.00M,-16.30M,,-12.20M,,,-16.60M,,16.10M,-2.40M,-0.20M,0.00,,5.70M,,,-22.00M,,,
1999-02,18.20M,,,-1.60M,13.60M,13.60M,,,,-37.80M,34.80M,3.20M,-4.80M,-9.90M,,,23.30M,,15.70M,,-9.80M,,-9.80M,,,0.20M,-9.60M,,,,26.10M,2.60M,-24.30M,-21.70M,,-12.30M,,,-7.90M,,17.70M,-1.80M,0.20M,16.10M,,2.60M,,,-24.30M,,,
1998-11,50.00M,,,-0.60M,15.20M,15.20M,,,,9.70M,-31.90M,28.50M,7.40M,19.20M,42.70M,,65.90M,,142.20M,,-10.30M,1.20M,-9.10M,,,-0.80M,-9.90M,,,,-103.60M,-0.70M,-9.20M,-9.90M,,-11.60M,,0.10M,-125.00M,,8.90M,7.30M,1.50M,0.00,,-0.70M,,,-9.20M,,,
1998-08,21.50M,,,-0.60M,13.50M,13.50M,,,,0.10M,-6.70M,-4.20M,16.90M,-4.70M,-9.20M,,-7.90M,,26.60M,,-26.10M,1.30M,-24.80M,,0.20M,-0.50M,-25.10M,,,,25.90M,1.30M,-19.00M,-17.70M,,-11.70M,,-0.20M,-3.70M,,0.00,-2.20M,-1.60M,8.90M,,1.30M,,,-19.00M,,,
1998-05,16.10M,,,-1.50M,13.10M,13.10M,,,,-0.10M,-4.30M,-7.60M,-6.50M,-8.30M,3.50M,,-23.20M,,4.40M,,-13.70M,0.00,-13.70M,,-0.20M,-0.60M,-14.50M,,,,32.30M,5.90M,-11.80M,-5.90M,,-11.80M,,0.20M,14.80M,,0.00,4.70M,-0.40M,0.00,,5.90M,,,-11.80M,,,
1998-02,16.20M,,,-1.50M,13.00M,13.00M,,,,0.10M,44.50M,-18.40M,-20.20M,-19.30M,-43.60M,,-57.00M,,-29.20M,,-13.60M,0.50M,-13.10M,,,,-13.10M,,,,64.20M,7.60M,-23.00M,-15.40M,,-11.80M,,-0.10M,36.90M,,13.50M,-5.40M,0.30M,0.00,,7.60M,,,-23.00M,,,
1997-11,48.20M,,,1.00M,11.90M,11.90M,,,,0.00,-26.60M,11.30M,22.50M,9.30M,47.60M,,64.10M,,144.10M,,-7.00M,3.80M,-3.20M,,,-2.50M,-5.70M,,,,-103.60M,0.70M,-20.80M,-20.10M,,-11.20M,,,-134.90M,,10.60M,3.50M,-0.50M,13.50M,,0.70M,,,-20.80M,,,
1997-08,20.20M,,,-7.50M,12.80M,12.80M,,,,0.00,-9.90M,-12.10M,-1.20M,5.70M,-8.40M,,-25.90M,,-0.40M,,-9.90M,-2.80M,-12.70M,,2.50M,-0.50M,-10.70M,,,,35.70M,2.50M,-18.30M,-15.80M,,-11.30M,,,8.60M,,0.00,-2.50M,2.10M,10.60M,,2.50M,,,-18.30M,,,
1997-05,14.80M,,,0.10M,11.80M,11.80M,,,,0.00,14.20M,-5.50M,6.30M,3.50M,-4.60M,,13.90M,,40.60M,,-11.50M,2.00M,-9.50M,,-2.50M,-3.30M,-15.30M,,,,-7.00M,3.50M,-23.70M,-20.20M,,-11.40M,,-0.10M,-38.70M,,0.00,-13.40M,0.90M,0.00,,3.50M,,,-23.70M,,,
1997-02,15.20M,,,-1.70M,12.80M,12.80M,,,,0.10M,18.10M,-7.40M,-28.20M,-0.40M,-11.60M,,-29.50M,,-3.10M,,-15.50M,0.80M,-14.70M,,,-0.30M,-15.00M,,,,79.40M,0.30M,-48.40M,-48.10M,,-11.60M,,0.10M,19.80M,,22.40M,1.70M,-0.60M,0.00,,0.30M,,,-48.40M,,,
1996-11,45.90M,,,2.80M,15.70M,15.70M,-26.40M,,,-0.10M,-18.90M,23.40M,23.00M,14.00M,36.30M,,77.80M,,115.70M,,-12.70M,0.10M,-12.60M,,,-1.20M,-13.80M,,,,-50.30M,-3.40M,-53.80M,-57.20M,,-11.20M,,-0.10M,-118.80M,,0.00,-16.90M,2.50M,0.00,,-3.40M,,,-53.80M,,,
1996-08,-16.50M,,,54.70M,15.10M,15.10M,,,,0.10M,-22.50M,-25.70M,12.50M,4.50M,-11.60M,,-42.80M,,10.60M,,-21.90M,15.20M,-6.70M,,1.10M,233.50M,227.90M,,,,-200.30M,0.00,-11.30M,-11.30M,,-11.30M,,-0.10M,-223.00M,,0.00,15.50M,0.60M,0.00,,0.00,,,-11.30M,,,
1996-05,10.90M,,,-2.30M,16.90M,16.90M,-0.50M,,,1.50M,36.00M,24.10M,-11.10M,5.20M,-26.10M,,28.10M,,54.60M,,-18.60M,-4.30M,-22.90M,,-1.10M,17.20M,-6.80M,,,,-34.30M,3.00M,-6.00M,-3.00M,,-11.40M,,0.10M,-48.60M,,0.00,-0.80M,-0.90M,0.00,,3.00M,,,-6.00M,,,
1996-02,9.40M,,,-0.30M,16.10M,16.10M,0.50M,,,-1.40M,,,,,-3.50M,,-3.50M,,20.80M,,-21.50M,4.30M,-17.20M,,,-2.20M,-19.40M,,,,19.70M,4.90M,-3.60M,1.30M,,-11.40M,,,9.60M,,12.50M,11.00M,-1.10M,0.00,,4.90M,,,-3.60M,,,
1995-11,42.30M,,,-3.00M,18.00M,18.00M,13.40M,,,-2.50M,,,,,135.90M,,29.80M,,98.00M,,-23.40M,-0.10M,-23.50M,,,1.30M,-22.20M,,,,-85.10M,3.80M,-1.50M,2.30M,,-10.50M,,-0.10M,-93.40M,,0.00,-17.60M,-0.60M,12.50M,,3.80M,,,-1.50M,,,
1995-08,19.90M,,,-0.70M,14.00M,14.00M,1.20M,,,0.20M,,,,,-27.80M,,-27.80M,,6.80M,,-23.30M,1.60M,-21.70M,,,0.00,-21.70M,,,,39.70M,2.20M,-2.20M,0.00,,-10.60M,,-0.60M,28.50M,,0.00,13.60M,-1.50M,0.00,,2.20M,,,-2.20M,,,
1995-05,16.10M,,,0.30M,15.60M,15.60M,-0.10M,,,-0.70M,,,,,17.60M,,17.60M,,48.80M,,-18.60M,0.30M,-18.30M,,,3.90M,-14.40M,,,,-10.10M,0.20M,-5.30M,-5.10M,,-10.60M,,0.30M,-25.50M,,0.00,8.90M,-1.80M,0.00,,0.20M,,,-5.30M,,,
1995-02,19.30M,,,,16.10M,16.10M,1.20M,,,0.80M,,,,,-131.60M,,-131.60M,,-94.20M,,-16.80M,0.10M,-16.70M,,,-3.50M,-20.20M,,,,120.40M,5.10M,-7.30M,-2.20M,,-10.50M,,0.40M,108.10M,,15.60M,-6.30M,2.20M,0.00,,5.10M,,,-7.30M,,,
1994-11,-2.80M,,,,18.00M,18.00M,-30.70M,,,-5.40M,,,,,120.30M,,44.70M,,94.20M,,-22.70M,0.00,-22.70M,,,-9.00M,-31.70M,,,,-51.90M,1.10M,-2.30M,-1.20M,,-9.80M,,,-62.80M,,0.00,-0.30M,1.80M,15.50M,,1.10M,,,-2.30M,,,
1994-08,26.50M,,,,16.90M,16.90M,1.60M,,,-1.20M,,,,,-63.60M,,-63.60M,,-19.80M,,-23.10M,0.10M,-23.00M,,,-57.90M,-80.90M,,,,108.80M,0.80M,-3.50M,-2.70M,,-9.80M,,,96.30M,,0.00,-4.40M,-0.50M,0.00,,0.80M,,,-3.50M,,,
1994-05,19.10M,,,,14.50M,14.50M,1.10M,,,1.20M,,,,,-3.70M,,-3.70M,,32.20M,,-20.60M,0.10M,-20.50M,,,-6.50M,-27.00M,,,,7.80M,0.60M,-2.60M,-2.00M,,-9.70M,,,-3.90M,,0.00,1.30M,-0.50M,0.00,,0.60M,,,-2.60M,,,
1994-02,18.30M,,,,13.10M,13.10M,0.90M,,,-1.10M,,,,,-65.30M,,-65.30M,,-34.10M,,-21.30M,,-21.30M,,,-23.10M,-44.40M,,,,93.00M,3.60M,-2.60M,1.00M,,-9.70M,,,84.30M,,12.80M,5.80M,-0.40M,0.00,,3.60M,,,-2.60M,,,
1993-11,38.90M,,,,13.20M,13.20M,-4.70M,,,-15.90M,,,,,134.80M,,82.80M,,114.30M,,-19.20M,1.20M,-18.00M,,,-4.70M,-22.70M,,,,-76.90M,3.80M,-3.10M,0.70M,,-8.90M,,-1.20M,-86.30M,,0.00,5.30M,-3.30M,0.00,,3.80M,,,-3.10M,,,
1993-08,24.90M,,,88.40M,12.30M,12.30M,1.70M,,,5.90M,,,,,-141.30M,,-141.30M,,-8.10M,,57.90M,0.30M,58.20M,,,-74.40M,-16.20M,,,,38.10M,6.70M,-6.30M,0.40M,,-9.00M,,0.10M,29.60M,,0.00,5.30M,-0.40M,0.00,,6.70M,,,-6.30M,,,
1993-05,18.10M,,,3.10M,13.00M,13.00M,1.00M,,,-1.20M,,,,,,,,,34.00M,,-93.90M,,-93.90M,,,42.30M,-51.60M,,,,24.50M,7.40M,-5.20M,2.20M,,-8.90M,,-0.10M,17.70M,,0.00,0.10M,0.20M,0.00,,7.40M,,,-5.20M,,,
1993-02,17.80M,,,-91.50M,12.00M,12.00M,0.90M,,,1.20M,,,,,,,,,-59.60M,,-20.90M,,-20.90M,,,-33.70M,-54.60M,,,,128.00M,9.50M,-11.80M,-2.30M,,-8.80M,,1.20M,118.10M,,1.80M,3.90M,-0.10M,0.00,,9.50M,,,-11.80M,,,
1992-11,35.00M,,,112.40M,12.20M,12.20M,-4.00M,,,-5.80M,,,,,,,,,134.60M,,23.00M,,28.70M,,1.90M,-53.60M,-23.00M,,,,-104.20M,7.50M,-5.50M,2.00M,,-8.00M,,,-110.20M,,0.00,1.40M,-4.30M,0.00,,7.50M,,,-5.50M,,,
1992-08,23.90M,,,-47.70M,10.70M,10.70M,1.30M,,,0.10M,,,,,,,,,-11.70M,,-18.20M,,-18.20M,,2.00M,0.80M,-15.40M,,,,27.30M,6.10M,-5.40M,0.70M,,-8.00M,,0.10M,20.10M,,0.00,-7.00M,-0.50M,0.00,,6.10M,,,-5.40M,,,
1992-05,18.90M,,,-5.20M,10.80M,10.80M,1.10M,,,0.00,,,,,,,,,25.60M,,-59.10M,,-59.10M,,-2.00M,43.90M,-17.20M,,,,10.00M,2.20M,-8.20M,-6.00M,,-7.20M,,-0.10M,-3.30M,,0.00,5.10M,0.10M,0.00,,2.20M,,,-8.20M,,,
1992-02,17.40M,,,-59.50M,10.10M,10.10M,0.90M,,,-0.10M,,,,,,,,,-31.20M,,-25.00M,,-25.00M,,-1.90M,-38.80M,-65.70M,,,,105.70M,11.30M,-12.20M,-0.90M,,-7.20M,,,97.60M,,6.00M,0.70M,0.20M,0.00,,11.30M,,,-12.20M,,,
1991-11,30.00M,,,,11.00M,11.00M,3.50M,,,2.60M,,,,,106.20M,,39.90M,,79.60M,,-19.30M,-0.70M,-20.00M,,,12.20M,-7.80M,,,,-55.10M,5.70M,-18.00M,-12.30M,,-6.00M,,,-73.40M,,0.00,-1.60M,0.00,0.00,,5.70M,,,-18.00M,,,
1991-08,20.80M,,,,10.50M,10.50M,1.10M,,,-0.10M,,,,,-38.80M,,-38.80M,,-6.50M,,-18.90M,0.60M,-18.30M,,,-0.10M,-18.40M,,,,32.80M,8.00M,-9.20M,-1.20M,,-6.00M,,0.20M,25.80M,,0.00,0.90M,-0.10M,0.00,,8.00M,,,-9.20M,,,
1991-05,14.90M,,,,9.70M,9.70M,0.70M,,,-1.20M,,,,,12.40M,,12.40M,,36.50M,,-19.80M,0.10M,-19.70M,,,-1.00M,-20.70M,,,,10.70M,6.90M,-22.90M,-16.00M,,-5.20M,,-0.30M,-10.80M,,0.00,5.00M,-0.40M,0.00,,6.90M,,,-22.90M,,,
1991-02,15.20M,,,,9.30M,9.30M,0.80M,,,-1.30M,,,,,-59.20M,,-59.20M,,-35.20M,,-15.20M,,-15.20M,,,0.60M,-14.60M,,,,55.20M,4.30M,-7.60M,-3.30M,,-5.20M,,0.10M,46.80M,,5.30M,-3.00M,-0.10M,0.00,,4.30M,,,-7.60M,,,
1990-11,25.50M,,,,9.70M,9.70M,-1.30M,,,5.30M,,,,,97.40M,,44.80M,,84.00M,,-5.60M,1.80M,-3.80M,,,-18.10M,-21.90M,,,,-57.20M,7.00M,-10.30M,-3.30M,,-4.80M,,0.00,-65.30M,,0.00,-3.20M,1.00M,0.00,,7.00M,,,-10.30M,,,
1990-08,17.90M,,,,8.90M,8.90M,1.10M,,,0.20M,,,,,-22.10M,,-22.10M,,6.00M,,-30.60M,0.20M,-30.40M,,,-0.40M,-30.80M,,,,36.50M,4.60M,-13.80M,-9.20M,,-4.90M,,0.20M,22.60M,,0.00,-2.20M,0.60M,0.00,,4.60M,,,-13.80M,,,
1990-05,16.10M,,,,9.30M,9.30M,-0.10M,,,-7.90M,,,,,15.00M,,15.00M,,32.40M,,-14.50M,8.60M,-5.90M,,,0.90M,-5.00M,,,,-5.40M,2.40M,-12.70M,-10.30M,,-4.40M,,0.00,-20.10M,,0.00,7.30M,-0.30M,0.00,,2.40M,,,-12.70M,,,
1990-02,9.90M,,,,8.70M,8.70M,0.70M,,,,,,,,-69.50M,,-69.50M,,-50.20M,,-7.70M,1.60M,-6.10M,,,-0.50M,-6.60M,,,,32.80M,2.40M,-23.20M,-20.80M,,-4.60M,,-0.10M,7.30M,,51.60M,-49.50M,,0.00,,2.40M,,,-23.20M,,,
