,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-03,1.723B,1.723B,1.286B,437.00M,310.00M,55.00M,3.00M,,,365.00M,72.00M,,,3.00M,,48.00M,15.00M,33.00M,,,33.00M,30.94M,167.00M,95.00M,72.00M,,0.12,0.00,0.1126,0.12,,0.1175,0.00,0.1103,0.1175,,280.40M,284.80M,0.11,,,
2001-12,1.695B,1.695B,1.28B,415.00M,296.00M,51.00M,0.00,,,347.00M,68.00M,,,0.00,,39.00M,9.00M,30.00M,,,30.00M,30.00M,178.00M,110.00M,68.00M,,0.105,0.00,0.105,0.105,,0.105,0.00,0.105,0.105,,278.80M,282.00M,0.11,,,
2001-09,1.75B,1.75B,1.326B,424.00M,300.00M,56.00M,26.00M,,,356.00M,68.00M,,,26.00M,,61.00M,21.00M,40.00M,,,40.00M,22.95M,180.00M,112.00M,68.00M,,0.145,0.00,0.0838,0.145,,0.1425,0.00,0.0824,0.1425,,278.40M,283.60M,0.11,,,
2001-06,1.871B,1.871B,1.311B,560.00M,303.00M,53.00M,-3.00M,,,445.00M,115.00M,,,-3.00M,,74.00M,25.00M,49.00M,,,49.00M,50.99M,227.00M,112.00M,115.00M,,0.175,0.00,0.1821,0.175,,0.1725,0.00,0.1795,0.1725,,278.00M,282.80M,0.11,,,
2001-03,1.983B,1.983B,1.407B,576.00M,321.00M,68.00M,49.00M,,,479.00M,97.00M,,,49.00M,,104.00M,54.00M,50.00M,,,50.00M,20.60M,212.00M,115.00M,97.00M,,0.1825,0.00,0.0760,0.1825,,0.18,0.00,0.0752,0.18,,276.00M,280.40M,0.11,,,
2000-12,1.948B,1.948B,993.00M,955.00M,320.00M,63.00M,21.00M,,,845.00M,110.00M,,,21.00M,,85.00M,27.00M,58.00M,26.00M,,84.00M,43.67M,233.00M,123.00M,110.00M,,0.215,0.0925,0.1634,0.3075,,0.2125,0.0925,0.1612,0.305,,277.60M,279.60M,0.11,,,
2000-09,2.008B,2.008B,1.492B,516.00M,305.00M,68.00M,4.00M,,,373.00M,143.00M,,,4.00M,,105.00M,36.00M,69.00M,24.00M,,93.00M,66.37M,255.00M,112.00M,143.00M,,0.24,0.0825,0.2309,0.3225,,0.2375,0.0825,0.2285,0.32,,288.00M,291.20M,0.11,,,
2000-06,2.169B,2.169B,1.478B,691.00M,334.00M,70.00M,30.00M,,,490.00M,201.00M,,,30.00M,,186.00M,63.00M,123.00M,22.00M,,145.00M,103.16M,311.00M,110.00M,201.00M,,0.4225,0.075,0.3547,0.4975,,0.415,0.075,0.3481,0.49,,292.80M,296.40M,0.11,,,
2000-03,2.184B,2.184B,1.488B,696.00M,340.00M,68.00M,25.00M,,,501.00M,195.00M,,,25.00M,,176.00M,63.00M,113.00M,18.00M,,131.00M,96.95M,312.00M,117.00M,195.00M,,0.3875,0.0625,0.3325,0.45,,0.38,0.0625,0.3256,0.4425,,291.60M,295.20M,0.11,,,
1999-12,1.817B,1.817B,1.267B,550.00M,270.00M,32.00M,238.00M,,,400.00M,150.00M,,,238.00M,,348.00M,138.00M,210.00M,,,224.00M,66.38M,248.00M,98.00M,150.00M,,0.7175,0.05,0.2584,0.7675,,0.705,0.0475,0.2459,0.7525,,312.80M,312.80M,0.11,,,
1999-09,2.227B,2.227B,1.49B,737.00M,349.00M,82.00M,149.00M,,,553.00M,184.00M,,,149.00M,,286.00M,102.00M,184.00M,,,184.00M,88.14M,306.00M,122.00M,184.00M,,0.63,0.00,0.3026,0.63,,0.615,0.00,0.2950,0.615,,292.80M,299.60M,0.11,,,
1999-06,2.30B,2.30B,1.528B,772.00M,354.00M,77.00M,4.00M,,,546.00M,226.00M,,,4.00M,,186.00M,61.00M,125.00M,,,125.00M,122.31M,341.00M,115.00M,226.00M,,0.435,0.00,0.4256,0.435,,0.4275,0.00,0.4183,0.4275,,286.80M,291.20M,0.11,,,
1999-03,1.661B,1.661B,1.086B,575.00M,275.00M,71.00M,1.00M,,,432.00M,143.00M,,,1.00M,,123.00M,39.00M,84.00M,,,84.00M,83.32M,229.00M,86.00M,143.00M,,0.295,0.00,0.2926,0.295,,0.2925,0.00,0.2901,0.2925,,284.80M,288.80M,0.11,,,
1998-12,1.339B,1.339B,862.00M,477.00M,200.00M,3.00M,35.00M,,,270.00M,207.00M,,,35.00M,,221.00M,68.00M,153.00M,,,72.00M,128.77M,274.00M,67.00M,207.00M,,0.5375,-0.2825,0.4523,0.255,,0.53,-0.2825,0.4456,0.2525,,284.40M,287.20M,0.11,,,
1998-09,1.62B,1.62B,1.11B,510.00M,247.00M,85.00M,6.00M,,,414.00M,96.00M,,,6.00M,,79.00M,21.00M,58.00M,,,58.00M,53.59M,178.00M,82.00M,96.00M,,0.205,0.00,0.1895,0.205,,0.20,0.00,0.1848,0.20,,284.40M,289.20M,0.11,,,
1998-06,1.712B,1.712B,1.118B,594.00M,264.00M,82.00M,18.00M,,,428.00M,166.00M,,,18.00M,,161.00M,47.00M,114.00M,,,114.00M,101.25M,248.00M,82.00M,166.00M,,0.40,0.00,0.3553,0.40,,0.3925,0.00,0.3486,0.3925,,285.00M,290.45M,0.11,,,
1998-03,1.687B,1.687B,1.133B,554.00M,263.00M,82.00M,48.00M,,,426.00M,128.00M,,,48.00M,,155.00M,50.00M,105.00M,,,105.00M,72.48M,209.00M,81.00M,128.00M,,0.3625,0.00,0.2496,0.3625,,0.355,0.00,0.2447,0.355,,288.00M,294.80M,0.11,,,
1997-12,1.934B,1.934B,1.296B,638.00M,287.00M,84.00M,100.00M,,,463.00M,175.00M,,,100.00M,,246.00M,63.00M,183.00M,,,129.00M,108.61M,267.00M,92.00M,175.00M,,0.60,-0.1775,0.3561,0.4225,,0.585,-0.1775,0.3465,0.4125,,304.96M,311.92M,0.11,,,
1997-09,1.931B,1.931B,1.305B,626.00M,272.00M,81.00M,-73.00M,,,438.00M,188.00M,,,-73.00M,,95.00M,41.00M,54.00M,,,54.00M,97.80M,273.00M,85.00M,188.00M,,0.175,0.00,0.3169,0.175,,0.1725,0.00,0.3124,0.1725,,308.57M,313.04M,0.11,,,
1997-06,1.909B,1.909B,1.288B,621.00M,272.00M,79.00M,14.00M,,,434.00M,187.00M,,,14.00M,,182.00M,56.00M,126.00M,,,126.00M,116.31M,270.00M,83.00M,187.00M,,0.41,0.00,0.3786,0.41,,0.4025,0.00,0.3716,0.4025,,308.40M,313.20M,0.11,,,
1997-03,1.789B,1.789B,1.225B,564.00M,257.00M,75.00M,13.00M,,,414.00M,150.00M,,,13.00M,,145.00M,44.00M,101.00M,,,101.00M,91.94M,232.00M,82.00M,150.00M,,0.3275,0.00,0.2981,0.3275,,0.3225,0.00,0.2936,0.3225,,308.40M,312.80M,0.10,,,
1996-12,1.724B,1.724B,1.216B,508.00M,267.00M,67.00M,10.00M,,,418.00M,90.00M,,,10.00M,,80.00M,14.00M,66.00M,,,66.00M,57.75M,174.00M,84.00M,90.00M,,0.21,0.00,0.1832,0.21,,0.21,0.00,0.1834,0.21,,308.40M,310.00M,0.10,,,
1996-09,1.719B,1.719B,1.199B,520.00M,244.00M,67.00M,7.00M,,,393.00M,127.00M,,,7.00M,,115.00M,30.00M,85.00M,,,85.00M,79.83M,209.00M,82.00M,127.00M,,0.2775,0.00,0.2608,0.2775,,0.2725,0.00,0.2558,0.2725,,309.20M,309.20M,0.10,,,
1996-06,1.782B,1.782B,1.227B,555.00M,245.00M,68.00M,7.00M,,,392.00M,163.00M,,,7.00M,,149.00M,46.00M,103.00M,,,103.00M,98.16M,242.00M,79.00M,163.00M,,0.33,0.00,0.3144,0.33,,0.3275,0.00,0.3119,0.3275,,310.80M,310.80M,0.10,,,
1996-03,1.736B,1.736B,1.203B,533.00M,239.00M,65.00M,6.00M,,,379.00M,154.00M,,,6.00M,,141.00M,46.00M,95.00M,,,95.00M,90.96M,229.00M,75.00M,154.00M,,0.3075,0.00,0.2945,0.3075,,0.305,0.00,0.2920,0.305,,310.80M,310.80M,0.10,,,
1995-12,1.661B,1.661B,1.157B,504.00M,231.00M,59.00M,6.00M,,,364.00M,140.00M,,,6.00M,,127.00M,37.00M,90.00M,,,90.00M,85.75M,214.00M,74.00M,140.00M,,0.29,0.00,0.2763,0.29,,0.29,0.00,0.2763,0.29,,311.20M,311.20M,0.10,,,
1995-09,1.672B,1.672B,1.173B,499.00M,226.00M,53.00M,9.00M,,,349.00M,150.00M,,,9.00M,,138.00M,47.00M,91.00M,,,91.00M,85.07M,220.00M,70.00M,150.00M,,0.295,0.00,0.2759,0.295,,0.295,0.00,0.2759,0.295,,310.80M,310.80M,0.10,,,
1995-06,1.758B,1.758B,1.218B,540.00M,238.00M,58.00M,12.00M,,,367.00M,173.00M,,,12.00M,,164.00M,54.00M,110.00M,,,110.00M,101.95M,244.00M,71.00M,173.00M,,0.3525,0.00,0.3267,0.3525,,0.3525,0.00,0.3267,0.3525,,311.60M,311.60M,0.10,,,
1995-03,1.731B,1.731B,1.199B,532.00M,229.00M,57.00M,5.00M,,,352.00M,180.00M,,,5.00M,,163.00M,55.00M,108.00M,,,108.00M,104.69M,246.00M,66.00M,180.00M,,0.3475,0.00,0.3369,0.3475,,0.3475,0.00,0.3369,0.3475,,311.60M,311.60M,0.075,,,
1994-12,1.605B,1.605B,1.099B,506.00M,237.00M,56.00M,-1.00M,,,357.00M,149.00M,,,-1.00M,,130.00M,41.00M,89.00M,,,89.00M,89.68M,213.00M,64.00M,149.00M,,0.2875,0.00,0.2897,0.2875,,0.2875,0.00,0.2897,0.2875,,309.60M,309.60M,0.075,,,
1994-09,1.531B,1.531B,1.058B,473.00M,221.00M,52.00M,11.00M,,,335.00M,138.00M,,,11.00M,,126.00M,42.00M,84.00M,,,84.00M,76.67M,200.00M,62.00M,138.00M,,0.275,0.00,0.2510,0.275,,0.275,0.00,0.2510,0.275,,305.20M,305.20M,0.075,,,
1994-06,1.545B,1.545B,1.053B,492.00M,227.00M,55.00M,,,,345.00M,147.00M,,,,,125.00M,39.00M,86.00M,,,86.00M,86.00M,210.00M,63.00M,147.00M,,0.2825,0.00,0.2825,0.2825,,0.2825,0.00,0.2825,0.2825,,305.20M,305.20M,0.075,,,
1994-03,1.371B,1.371B,936.00M,435.00M,197.00M,50.00M,2.00M,,,309.00M,126.00M,,,2.00M,,107.00M,33.00M,74.00M,,,74.00M,72.62M,188.00M,62.00M,126.00M,,0.2525,0.00,0.2478,0.2525,,0.2525,0.00,0.2478,0.2525,,292.40M,292.40M,0.075,,,
1993-12,1.115B,1.115B,769.00M,346.00M,246.00M,,5.00M,,,295.00M,51.00M,,,5.00M,,42.00M,9.00M,33.00M,,,40.00M,29.07M,100.00M,49.00M,51.00M,,0.1125,-0.025,0.1021,0.0875,,0.1075,-0.025,0.0974,0.0825,,379.26M,389.15M,0.075,,,
1993-09,1.053B,1.053B,738.00M,315.00M,185.00M,,4.00M,,,234.00M,81.00M,,,4.00M,,65.00M,21.00M,44.00M,,,44.00M,41.29M,130.00M,49.00M,81.00M,,0.1575,0.00,0.1478,0.1575,,0.1575,0.00,0.1478,0.1575,,279.37M,279.37M,0.075,,,
1993-06,1.147B,1.147B,819.00M,328.00M,189.00M,,9.00M,,,238.00M,90.00M,,,9.00M,,80.00M,27.00M,53.00M,,,53.00M,47.04M,143.00M,53.00M,90.00M,,0.1925,0.00,0.1708,0.1925,,0.1925,0.00,0.1708,0.1925,,275.32M,275.32M,0.0688,,,
1993-03,1.034B,1.034B,723.00M,311.00M,171.00M,,1.00M,,,216.00M,95.00M,,,1.00M,,75.00M,25.00M,50.00M,,,50.00M,49.33M,140.00M,45.00M,95.00M,,0.18,0.00,0.1776,0.18,,0.18,0.00,0.1776,0.18,,277.78M,277.78M,0.0688,,,
1992-12,964.00M,964.00M,695.00M,269.00M,180.00M,,4.00M,,,226.00M,43.00M,,,4.00M,,27.00M,-7.00M,34.00M,2.00M,,-232.00M,31.60M,89.00M,46.00M,43.00M,,0.12,0.0075,0.1114,-0.845,,0.12,0.0075,0.1114,-0.845,,280.02M,280.02M,0.0688,,,
1992-09,945.00M,945.00M,682.00M,263.00M,174.00M,,20.00M,,,220.00M,43.00M,,,20.00M,,42.00M,14.00M,28.00M,1.00M,,29.00M,14.67M,89.00M,46.00M,43.00M,,0.105,0.00,0.0567,0.105,,0.105,0.00,0.0567,0.105,,276.19M,276.19M,0.0688,,,
1992-06,1.011B,1.011B,718.00M,293.00M,168.00M,,3.00M,,,215.00M,78.00M,,,3.00M,,61.00M,19.00M,42.00M,,,42.00M,39.93M,125.00M,47.00M,78.00M,,0.1525,0.0025,0.1449,0.155,,0.1525,0.0025,0.1449,0.155,,270.97M,270.97M,0.0688,,,
1992-03,949.00M,949.00M,678.00M,271.00M,161.00M,,5.00M,,,206.00M,65.00M,,,5.00M,,48.00M,15.00M,33.00M,,,33.00M,29.56M,110.00M,45.00M,65.00M,,0.12,0.0025,0.1072,0.1225,,0.12,0.0025,0.1072,0.1225,,269.39M,269.39M,0.0688,,,
1991-12,866.00M,866.00M,618.00M,248.00M,191.00M,,45.00M,,,235.00M,13.00M,,,45.00M,,37.00M,9.00M,28.00M,5.00M,,33.00M,-6.054M,57.00M,44.00M,13.00M,,0.1025,0.02,-0.0237,0.1225,,0.1025,0.02,-0.0237,0.1225,,269.81M,269.81M,0.0688,,,
1991-09,842.00M,842.00M,609.00M,233.00M,150.00M,,6.00M,,,189.00M,44.00M,,,6.00M,,30.00M,9.00M,21.00M,2.00M,,23.00M,16.80M,83.00M,39.00M,44.00M,,0.08,0.005,0.0645,0.085,,0.08,0.005,0.0645,0.085,,270.59M,270.59M,0.0688,,,
1991-06,855.00M,855.00M,733.00M,122.00M,30.00M,,8.00M,,,73.00M,49.00M,,,8.00M,,38.00M,11.00M,27.00M,3.00M,,30.00M,21.32M,92.00M,43.00M,49.00M,,0.10,0.0125,0.0787,0.1125,,0.10,0.0125,0.0787,0.1125,,266.67M,266.67M,0.0688,,,
1991-03,818.00M,818.00M,715.00M,103.00M,70.00M,,7.00M,,,113.00M,-10.00M,,,7.00M,,-23.00M,-9.00M,-14.00M,2.00M,,-12.00M,-18.26M,33.00M,43.00M,-10.00M,,-0.0525,0.01,-0.0676,-0.0425,,-0.0525,0.01,-0.0676,-0.0425,,282.35M,282.35M,0.0688,,,
1990-12,875.50M,875.50M,626.10M,249.40M,151.20M,,5.90M,,,199.30M,50.10M,,,5.90M,,38.10M,3.40M,34.70M,1.20M,,35.90M,29.33M,98.20M,48.10M,50.10M,,0.13,0.0025,0.1103,0.1325,,0.13,0.0025,0.1103,0.1325,,273.42M,273.42M,0.0688,,,
1990-09,869.10M,869.10M,628.50M,240.60M,146.60M,,14.60M,,,182.60M,58.00M,,,14.60M,,52.50M,18.60M,33.90M,1.90M,,35.80M,24.47M,94.00M,36.00M,58.00M,,0.12,0.0075,0.0864,0.1275,,0.12,0.0075,0.0864,0.1275,,280.78M,280.78M,0.0688,,,
1990-06,952.80M,952.80M,653.60M,299.20M,149.90M,,4.40M,,,205.50M,93.70M,,,4.40M,,79.70M,29.50M,50.20M,3.40M,,53.60M,47.43M,149.30M,55.60M,93.70M,,0.175,0.0125,0.1653,0.1875,,0.175,0.0125,0.1653,0.1875,,285.87M,285.87M,0.0625,,,
1990-03,941.60M,941.60M,679.80M,261.80M,147.30M,,11.10M,,,170.60M,91.20M,,,11.10M,,79.70M,29.50M,50.20M,3.50M,,53.70M,43.21M,114.50M,23.30M,91.20M,,0.1725,0.0125,0.1484,0.185,,0.1725,0.0125,0.1484,0.185,,290.27M,290.27M,0.0625,,,
1989-12,879.80M,879.80M,603.50M,276.30M,144.70M,,10.10M,,,194.90M,81.40M,,,10.10M,,71.30M,26.70M,44.60M,9.70M,,54.30M,38.28M,131.60M,50.20M,81.40M,,0.15,0.035,0.1285,0.185,,0.15,0.035,0.1285,0.185,,293.63M,293.63M,0.0625,,,
1989-09,864.10M,864.10M,593.60M,270.50M,140.90M,,10.10M,,,197.70M,72.80M,,,10.10M,,63.90M,24.00M,39.90M,0.10M,,40.00M,33.59M,129.60M,41.10M,72.80M,,0.13,0.00,0.1095,0.13,,0.13,0.00,0.1095,0.13,,307.69M,307.69M,0.0625,,,
1989-06,969.40M,969.40M,787.10M,182.30M,30.10M,,4.90M,,,72.10M,110.20M,,,4.90M,,97.00M,35.10M,61.90M,1.50M,,63.40M,58.77M,152.20M,42.00M,110.20M,,0.21,0.005,0.1994,0.215,,0.21,0.005,0.1994,0.215,,294.88M,294.88M,0.0625,,,
1989-03,957.70M,957.70M,,,,,,,,,957.70M,,,,,,,63.30M,3.90M,,67.20M,,957.70M,,957.70M,,0.215,0.0125,0.215,0.2275,,0.215,0.0125,0.215,0.2275,,296.82M,296.82M,0.0625,,,
1988-12,890.90M,890.90M,,,,,,,,,-2.177B,,,,,,,50.20M,0.80M,,51.00M,,-2.177B,,-2.177B,,,0.0027,,0.0027,,,0.0027,,0.0027,,296.66M,296.66M,0.0625,,,
1988-09,840.40M,840.40M,,,,,,,,,840.40M,,,,,,,53.80M,0.60M,,54.40M,,840.40M,,840.40M,,0.1825,0.0025,0.1825,0.185,,0.1825,0.0025,0.1825,0.185,,297.92M,297.92M,0.0625,,,
1988-06,880.10M,880.10M,,,,,,,,,880.10M,,,,,,,63.60M,0.70M,,64.30M,,880.10M,,880.10M,,0.2125,0.0025,0.2125,0.215,,0.2125,0.0025,0.2125,0.215,,298.28M,298.28M,0.0417,,,
1988-03,857.10M,857.10M,,,,,,,,,857.10M,,,,,,,60.10M,0.20M,,60.30M,,857.10M,,857.10M,,0.20,0.0025,0.20,0.2025,,0.20,0.0025,0.20,0.2025,,299.02M,299.02M,0.0417,,,
1987-12,805.10M,805.10M,,,,,,,,,-1.957B,,,,,,,43.90M,-18.10M,,25.80M,,-1.957B,,-1.957B,,,-0.0600,,-0.0600,,,-0.0600,,-0.0600,,301.74M,301.74M,0.0417,,,
1987-09,753.50M,753.50M,,,,,,,,,753.50M,,,,,,,46.40M,2.70M,,49.10M,,753.50M,,753.50M,,0.14,0.01,0.14,0.15,,0.1375,0.01,0.1375,0.1475,,342.56M,342.56M,0.0417,,,
1987-06,807.70M,807.70M,,,,,,,,,807.70M,,,,,,,61.80M,4.30M,,66.10M,,807.70M,,807.70M,,0.18,0.0125,0.18,0.1925,,0.1775,0.0125,0.1775,0.19,,375.79M,375.79M,0.0417,,,
1987-03,771.60M,771.60M,,,,,,,,,771.60M,,,,,,,54.10M,6.10M,,60.20M,,771.60M,,771.60M,,0.1525,0.0175,0.1525,0.17,,0.15,0.0175,0.15,0.1675,,375.79M,375.79M,0.0333,,,
1986-12,1.028B,1.028B,,,,,,,,,-2.474B,,,,,,,46.80M,,,46.80M,,-2.474B,,-2.474B,,,,,,,,,,,,350.56M,350.56M,0.0333,,,
1986-09,897.60M,897.60M,,,,,,,,,897.60M,,,,,,,-11.80M,,,-11.80M,,897.60M,,897.60M,,-0.0325,0.00,-0.0325,-0.0325,,-0.0325,0.00,-0.0325,-0.0325,,393.06M,393.06M,0.0333,,,
1986-06,1.003B,1.003B,,,,,,,,,1.003B,,,,,,,52.50M,,,52.50M,,1.003B,,1.003B,,0.135,0.00,0.135,0.135,,0.13,0.00,0.13,0.13,,393.75M,393.75M,0.0333,,,
1986-03,882.40M,882.40M,,,,,,,,,882.40M,,,,,,,50.10M,,,50.10M,,882.40M,,882.40M,,0.1275,0.00,0.1275,0.1275,,0.1225,0.00,0.1225,0.1225,,393.75M,393.75M,0.0333,,,
1985-12,983.60M,983.60M,,,,,,,,,-2.325B,,,,,,,55.20M,,,55.20M,,-2.325B,,-2.325B,,,,,,,,,,,,393.75M,393.75M,,,,
1985-09,869.10M,869.10M,,,,,,,,,869.10M,,,,,,,50.20M,,,50.20M,,869.10M,,869.10M,,0.1275,0.00,0.1275,0.1275,,0.1225,0.00,0.1225,0.1225,,393.71M,393.71M,,,,
1985-06,912.60M,912.60M,,,,,,,,,912.60M,,,,,,,59.60M,,,59.60M,,912.60M,,912.60M,,0.1525,0.00,0.1525,0.1525,,0.145,0.00,0.145,0.145,,390.76M,390.76M,,,,
1985-03,909.20M,909.20M,,,,,,,,,909.20M,,,,,,,65.90M,,,65.90M,,909.20M,,909.20M,,0.1675,0.00,0.1675,0.1675,,0.16,0.00,0.16,0.16,,390.76M,390.76M,,,,
1984-12,930.70M,930.70M,,,,,,,,,-2.173B,,,,,,,65.00M,,,65.00M,,-2.173B,,-2.173B,,,,,,,,,,,,390.76M,390.76M,,,,
1984-09,866.50M,866.50M,,,,,,,,,866.50M,,,,,,,58.00M,,,58.00M,,866.50M,,866.50M,,0.15,0.00,0.15,0.15,,0.1425,0.00,0.1425,0.1425,,387.00M,387.00M,,,,
1984-06,897.50M,897.50M,,,,,,,,,897.50M,,,,,,,71.60M,,,71.60M,,897.50M,,897.50M,,0.185,0.00,0.185,0.185,,0.1775,0.00,0.1775,0.1775,,385.54M,385.54M,,,,
1984-03,815.10M,815.10M,,,,,,,,,815.10M,,,,,,,59.80M,,,59.80M,,815.10M,,815.10M,,0.155,0.00,0.155,0.155,,0.1475,0.00,0.1475,0.1475,,385.54M,385.54M,,,,
