,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,,106.00M,313.00M,419.00M,2.139B,2.139B,630.00M,867.00M,,,1.389B,,458.00M,,4.405B,,,,,4.95B,-2.675B,2.275B,3.425B,1.385B,4.81B,750.00M,,7.835B,12.24B,,1.06B,1.06B,256.00M,1.316B,,737.00M,,737.00M,1.082B,3.135B,2.553B,,2.553B,,,,,2.274B,4.827B,7.962B,,,,,,,4.278B,4.278B,,,
2006-12,,114.00M,671.00M,785.00M,1.928B,1.928B,570.00M,321.00M,504.00M,,1.293B,,267.00M,135.00M,4.408B,0.00,1.083B,3.863B,,4.946B,-2.675B,2.271B,3.034B,969.00M,4.003B,735.00M,,7.009B,11.42B,,1.05B,1.05B,305.00M,1.355B,,812.00M,,812.00M,1.123B,3.29B,1.774B,,1.774B,,,,,2.247B,4.021B,7.311B,,73.00M,2.796B,2.114B,-22.00M,-855.00M,-877.00M,4.106B,,,
2006-09,,129.00M,572.00M,701.00M,2.025B,2.025B,507.00M,824.00M,,,1.239B,,436.00M,,4.401B,,,,,4.682B,-2.48B,2.202B,3.156B,833.00M,3.989B,662.00M,,6.853B,11.25B,,1.022B,1.022B,549.00M,1.571B,,704.00M,,704.00M,1.13B,3.405B,1.77B,,1.77B,,,,,1.691B,3.461B,6.866B,,,,,,,4.388B,4.388B,,,
2006-06,,125.00M,354.00M,479.00M,2.035B,2.035B,486.00M,787.00M,,,1.186B,,419.00M,,4.119B,,,,,4.70B,-2.48B,2.22B,3.152B,764.00M,3.916B,630.00M,,6.766B,10.88B,,1.012B,1.012B,549.00M,1.561B,,908.00M,,908.00M,1.01B,3.479B,1.514B,,1.514B,,,,,1.643B,3.157B,6.636B,,,,,,,4.249B,4.249B,,,
2006-03,,108.00M,334.00M,442.00M,1.971B,1.971B,496.00M,742.00M,,,1.157B,,395.00M,,3.965B,,,,,4.684B,-2.48B,2.204B,3.124B,772.00M,3.896B,626.00M,,6.726B,10.69B,,878.00M,878.00M,523.00M,1.401B,,1.074B,,1.074B,1.036B,3.511B,1.561B,,1.561B,,,,,1.572B,3.133B,6.644B,,,,,,,4.047B,4.047B,,,
2005-12,,110.00M,226.00M,336.00M,1.785B,1.785B,469.00M,265.00M,442.00M,,1.099B,,243.00M,115.00M,3.578B,0.00,1.003B,3.652B,,4.655B,-2.48B,2.175B,3.139B,626.00M,3.765B,700.00M,,6.64B,10.22B,,810.00M,810.00M,582.00M,1.392B,,634.00M,,634.00M,942.00M,2.968B,1.83B,,1.83B,,,,,1.642B,3.472B,6.44B,,74.00M,2.376B,2.013B,,,-685.00M,3.778B,,,
2005-09,,92.00M,247.00M,339.00M,1.861B,1.861B,441.00M,691.00M,,,1.065B,,361.00M,,3.626B,,,,,4.438B,-2.338B,2.10B,,3.358B,3.358B,665.00M,,6.123B,9.749B,,799.00M,799.00M,615.00M,1.414B,,417.00M,,417.00M,992.00M,2.823B,1.725B,,1.725B,,,,,1.506B,3.231B,6.054B,,,2.569B,,,,1.126B,3.695B,,,
2005-06,,130.00M,315.00M,445.00M,1.759B,1.759B,426.00M,667.00M,,,1.031B,,328.00M,,3.563B,,,,,4.413B,-2.338B,2.075B,,3.185B,3.185B,684.00M,,5.944B,9.507B,,768.00M,768.00M,512.00M,1.28B,,272.00M,,272.00M,1.025B,2.577B,1.941B,,1.941B,,,,,1.50B,3.441B,6.018B,,,2.508B,,,,981.00M,3.489B,,,
2005-03,,90.00M,253.00M,343.00M,1.709B,1.709B,424.00M,648.00M,,,1.018B,,333.00M,,3.403B,,,,,4.443B,-2.338B,2.105B,,3.068B,3.068B,698.00M,,5.871B,9.274B,,751.00M,751.00M,455.00M,1.206B,,366.00M,,366.00M,953.00M,2.525B,1.734B,,1.734B,,,,,1.487B,3.221B,5.746B,,,,,,,3.528B,3.528B,,,
2004-12,,85.00M,211.00M,296.00M,1.612B,1.612B,398.00M,206.00M,412.00M,,966.00M,,216.00M,92.00M,3.182B,0.00,959.00M,3.526B,,4.485B,-2.338B,2.147B,,3.077B,3.077B,669.00M,,5.893B,9.075B,,776.00M,776.00M,553.00M,1.329B,,39.00M,,39.00M,894.00M,2.262B,1.734B,,1.734B,,,,,1.473B,3.207B,5.469B,,77.00M,2.112B,1.993B,,,-576.00M,3.606B,,,
2004-09,,83.00M,267.00M,350.00M,1.649B,1.649B,356.00M,611.00M,,,930.00M,,296.00M,,3.225B,,,,,4.204B,-2.147B,2.057B,,3.064B,3.064B,537.00M,,5.658B,8.883B,,761.00M,761.00M,552.00M,1.313B,,294.00M,,294.00M,917.00M,2.524B,1.647B,,1.647B,,,,,1.342B,2.989B,5.513B,,,,,,,3.37B,3.37B,,,
2004-06,,86.00M,203.00M,289.00M,1.579B,1.579B,340.00M,572.00M,,,877.00M,,328.00M,,3.073B,,,,,4.206B,-2.147B,2.059B,,3.035B,3.035B,388.00M,,5.482B,8.555B,,821.00M,821.00M,493.00M,1.314B,,293.00M,,293.00M,849.00M,2.456B,1.614B,,1.614B,,,,,1.301B,2.915B,5.371B,,,,,,,3.184B,3.184B,,,
2004-03,,65.00M,514.00M,579.00M,1.399B,1.399B,345.00M,440.00M,,,751.00M,,330.00M,,3.059B,,,,,4.177B,-2.147B,2.03B,,2.627B,2.627B,477.00M,,5.134B,8.193B,,630.00M,630.00M,471.00M,1.101B,,300.00M,,300.00M,811.00M,2.212B,1.662B,,1.662B,,,,,1.276B,2.938B,5.15B,,,,,,,3.043B,3.043B,,,
2003-12,,61.00M,804.00M,865.00M,1.19B,1.19B,301.00M,173.00M,279.00M,,721.00M,,192.00M,125.00M,3.093B,0.00,897.00M,3.326B,,4.223B,-2.147B,2.076B,2.095B,541.00M,2.636B,418.00M,,5.13B,8.223B,,526.00M,526.00M,502.00M,1.028B,,302.00M,,302.00M,796.00M,2.126B,1.651B,,1.651B,,,,,1.329B,2.98B,5.106B,,76.00M,1.816B,1.856B,,,-631.00M,3.117B,,,
2003-09,,72.00M,522.00M,594.00M,1.314B,1.314B,313.00M,459.00M,,,735.00M,,306.00M,,2.949B,,,,,3.938B,-1.879B,2.059B,,2.506B,2.506B,,389.00M,4.954B,7.903B,,504.00M,504.00M,486.00M,990.00M,,41.00M,,41.00M,761.00M,1.792B,1.901B,,1.901B,628.00M,628.00M,,,639.00M,3.168B,4.96B,,,,,,,2.943B,2.943B,,,
2003-06,,87.00M,342.00M,429.00M,1.269B,1.269B,322.00M,467.00M,,,753.00M,,295.00M,,2.746B,,,,,3.95B,-1.879B,2.071B,,2.462B,2.462B,,377.00M,4.91B,7.656B,,473.00M,473.00M,426.00M,899.00M,,53.00M,,53.00M,731.00M,1.683B,1.913B,,1.913B,607.00M,607.00M,,,647.00M,3.167B,4.85B,,,1.706B,,,,1.10B,2.806B,,,
2003-03,,59.00M,43.00M,102.00M,1.231B,1.231B,323.00M,489.00M,,,777.00M,,299.00M,,2.409B,,,,,3.926B,-1.879B,2.047B,,2.44B,2.44B,,366.00M,4.853B,7.262B,,473.00M,473.00M,403.00M,876.00M,,205.00M,,205.00M,711.00M,1.792B,1.874B,,1.874B,565.00M,565.00M,,,651.00M,3.09B,4.882B,,,1.644B,,,,736.00M,2.38B,,,
2002-12,,75.00M,353.00M,428.00M,1.032B,1.032B,283.00M,160.00M,289.00M,,698.00M,,181.00M,118.00M,2.457B,0.00,790.00M,3.044B,,3.834B,-1.879B,1.955B,,2.42B,2.42B,,306.00M,4.681B,7.138B,,488.00M,488.00M,424.00M,912.00M,,201.00M,,201.00M,621.00M,1.734B,1.887B,,1.887B,563.00M,563.00M,,,652.00M,3.102B,4.836B,,35.00M,1.603B,1.413B,,,-749.00M,2.302B,,,
2002-09,,379.00M,,379.00M,1.139B,1.139B,185.00M,482.00M,,,634.00M,,311.00M,,2.463B,,,,,3.664B,-1.766B,1.898B,,2.398B,2.398B,,711.00M,5.007B,7.47B,,368.00M,368.00M,493.00M,861.00M,,199.00M,,199.00M,764.00M,1.824B,1.833B,,1.833B,551.00M,551.00M,,,657.00M,3.041B,4.865B,,,,,,,2.605B,2.605B,,,
2002-06,,322.00M,,322.00M,1.171B,1.171B,205.00M,498.00M,,,669.00M,,338.00M,,2.50B,,,,,3.74B,-1.766B,1.974B,1.935B,509.00M,2.444B,,737.00M,5.155B,7.655B,,374.00M,374.00M,441.00M,815.00M,,344.00M,,344.00M,731.00M,1.89B,1.935B,,1.935B,584.00M,584.00M,,,665.00M,3.184B,5.074B,,,,,,,2.581B,2.581B,,,
2002-03,,262.00M,,262.00M,1.096B,1.096B,272.00M,430.00M,,,668.00M,,345.00M,,2.371B,,,,,3.765B,-1.766B,1.999B,1.918B,515.00M,2.433B,,747.00M,5.179B,7.55B,,356.00M,356.00M,402.00M,758.00M,,197.00M,,197.00M,714.00M,1.669B,2.144B,,2.144B,561.00M,561.00M,,,669.00M,3.374B,5.043B,,,,,,,2.507B,2.507B,,,
2001-12,,112.00M,199.00M,311.00M,1.07B,1.07B,260.00M,217.00M,238.00M,,681.00M,,153.00M,172.00M,2.387B,0.00,763.00M,3.053B,,3.816B,-1.766B,2.05B,,2.435B,2.435B,,774.00M,5.259B,7.646B,,418.00M,418.00M,416.00M,834.00M,,188.00M,,188.00M,647.00M,1.669B,2.252B,,2.252B,580.00M,580.00M,,,670.00M,3.502B,5.171B,,35.00M,1.447B,1.348B,,,-355.00M,2.475B,,,
2001-09,,211.00M,,211.00M,1.171B,1.171B,376.00M,400.00M,,,739.00M,,466.00M,,2.587B,,,,,3.828B,-1.773B,2.055B,1.902B,544.00M,2.446B,805.00M,,5.306B,7.893B,,329.00M,329.00M,548.00M,877.00M,,189.00M,,189.00M,814.00M,1.88B,2.327B,,2.327B,558.00M,558.00M,,,674.00M,3.559B,5.439B,,,,,,,2.454B,2.454B,,,
2001-06,,105.00M,102.00M,207.00M,1.215B,1.215B,344.00M,476.00M,,,781.00M,,336.00M,,2.539B,,,,,3.878B,-1.773B,2.105B,,2.474B,2.474B,749.00M,,5.328B,7.867B,,332.00M,332.00M,445.00M,777.00M,,105.00M,,105.00M,786.00M,1.668B,2.544B,,2.544B,520.00M,520.00M,,,677.00M,3.741B,5.409B,,,1.449B,,,,,2.458B,,,
2001-03,,120.00M,257.00M,377.00M,1.272B,1.272B,358.00M,520.00M,,,840.00M,,339.00M,,2.828B,,,,,3.903B,-1.773B,2.13B,,2.495B,2.495B,740.00M,,5.365B,8.193B,,460.00M,460.00M,436.00M,896.00M,,482.00M,,482.00M,696.00M,2.074B,2.498B,,2.498B,515.00M,515.00M,,,679.00M,3.692B,5.766B,,,1.43B,,,,,2.427B,,,
2000-12,,82.00M,44.00M,126.00M,1.219B,1.219B,,,,,872.00M,,,354.00M,2.571B,,,,,4.047B,-1.773B,2.274B,,2.582B,2.582B,,753.00M,5.609B,8.18B,,485.00M,485.00M,,485.00M,,557.00M,,557.00M,1.065B,2.107B,2.447B,,2.447B,537.00M,537.00M,,,679.00M,3.663B,5.77B,,34.00M,1.41B,1.266B,-263.00M,-37.00M,-300.00M,2.41B,,,
2000-09,,32.00M,169.00M,201.00M,,1.356B,,,,,981.00M,,,438.00M,2.976B,,,,,4.02B,-1.744B,2.276B,,2.631B,2.631B,,801.00M,5.708B,8.684B,,452.00M,452.00M,,452.00M,,371.00M,,371.00M,1.225B,2.048B,2.447B,,2.447B,642.00M,642.00M,,,675.00M,3.764B,5.812B,,35.00M,2.077B,,,,760.00M,2.872B,,,
2000-06,,78.00M,67.00M,145.00M,,1.426B,,,,,965.00M,,,430.00M,2.966B,,,,,4.029B,-1.744B,2.285B,,2.607B,2.607B,,756.00M,5.648B,8.614B,,526.00M,526.00M,,526.00M,,425.00M,,425.00M,1.184B,2.135B,2.49B,,2.49B,550.00M,550.00M,,,671.00M,3.711B,5.846B,,36.00M,2.016B,,,,716.00M,2.768B,,,
2000-03,,67.00M,34.00M,101.00M,,1.406B,,,,,975.00M,,,438.00M,2.92B,,,,,4.008B,-1.688B,2.32B,,2.63B,2.63B,,732.00M,5.682B,8.602B,,1.697B,1.697B,,1.697B,,927.00M,,927.00M,,2.624B,2.104B,,2.104B,540.00M,540.00M,,,671.00M,3.315B,5.939B,,36.00M,1.903B,,,,724.00M,2.663B,,,
1999-12,,79.00M,83.00M,162.00M,,1.165B,,,,,876.00M,,,349.00M,2.552B,,,,,3.844B,-1.55B,2.294B,,2.451B,2.451B,,1.045B,5.79B,8.342B,,487.00M,487.00M,,487.00M,,970.00M,,970.00M,1.111B,2.568B,1.915B,,1.915B,569.00M,569.00M,,,666.00M,3.15B,5.718B,,37.00M,1.804B,1.041B,-220.00M,-38.00M,-258.00M,2.624B,,,
1999-09,,35.00M,36.00M,71.00M,,1.40B,,,,,950.00M,,,352.00M,2.773B,,,,,4.006B,-1.601B,2.405B,,2.446B,2.446B,,745.00M,5.596B,8.369B,,1.616B,1.616B,,1.616B,,1.201B,,1.201B,,2.817B,1.946B,,1.946B,493.00M,493.00M,,,663.00M,3.102B,5.919B,,37.00M,1.618B,,,,795.00M,2.45B,,,
1999-06,,26.00M,18.00M,44.00M,,1.429B,,,,,982.00M,,,323.00M,2.778B,,,,,3.967B,-1.574B,2.393B,,2.463B,2.463B,,707.00M,5.563B,8.341B,,1.483B,1.483B,,1.483B,,1.578B,,1.578B,,3.061B,2.008B,,2.008B,,,,,1.147B,3.155B,6.216B,,36.00M,1.467B,,,,622.00M,2.125B,,,
1999-03,,20.00M,,20.00M,,1.018B,,,,,714.00M,,,310.00M,2.062B,,,,,3.333B,-1.552B,1.781B,,1.015B,1.015B,,806.00M,3.602B,5.664B,,1.181B,1.181B,,1.181B,,398.00M,,398.00M,,1.579B,1.188B,,1.188B,,,,,879.00M,2.067B,3.646B,,,1.373B,,,,,2.018B,,,
1998-12,,44.00M,,44.00M,,885.00M,,,,,707.00M,,,346.00M,1.982B,,,,,3.387B,-1.55B,1.837B,,1.239B,1.239B,,607.00M,3.683B,5.665B,,445.00M,445.00M,,445.00M,,333.00M,,333.00M,738.00M,1.516B,1.191B,,1.191B,344.00M,344.00M,,,557.00M,2.092B,3.608B,,,1.321B,,,,,2.057B,,,
1998-09,,47.00M,,47.00M,,1.001B,,,,,687.00M,,,326.00M,2.061B,,,,,3.238B,-1.526B,1.712B,,1.052B,1.052B,,668.00M,3.432B,5.493B,,1.186B,1.186B,,1.186B,,396.00M,,396.00M,,1.582B,1.194B,,1.194B,,,,,709.00M,1.903B,3.485B,,,1.559B,,,,,2.008B,,,
1998-06,,44.00M,,44.00M,,999.00M,,,,,684.00M,,,293.00M,2.02B,,,,,3.092B,-1.476B,1.616B,,1.017B,1.017B,,649.00M,3.282B,5.302B,,1.071B,1.071B,,1.071B,,379.00M,,379.00M,,1.45B,1.192B,,1.192B,,,,,708.00M,1.90B,3.35B,,,1.532B,,,,,1.952B,,,
1998-03,,46.00M,,46.00M,,991.00M,,,,,693.00M,,,304.00M,2.034B,,,,,3.076B,-1.464B,1.612B,,1.03B,1.03B,,647.00M,3.289B,5.323B,,1.162B,1.162B,,1.162B,,288.00M,,288.00M,,1.45B,1.291B,,1.291B,,,,,706.00M,1.997B,3.447B,,,1.449B,,,,,1.876B,,,
1997-12,,53.00M,,53.00M,,958.00M,,,,,734.00M,,,310.00M,2.055B,,,,,3.36B,-1.601B,1.759B,,966.00M,966.00M,,826.00M,3.551B,5.606B,,519.00M,519.00M,,519.00M,,104.00M,,104.00M,734.00M,1.357B,1.272B,,1.272B,,,,,906.00M,2.178B,3.535B,,,1.376B,,,,,2.071B,,,
1997-09,,24.00M,,24.00M,,1.144B,,,,,785.00M,,,357.00M,2.31B,,,,,3.638B,-1.801B,1.837B,,1.15B,1.15B,,548.00M,3.535B,5.845B,,1.313B,1.313B,,1.313B,,30.00M,,30.00M,,1.343B,1.387B,,1.387B,,,,,880.00M,2.267B,3.61B,,,1.584B,,,,,2.235B,,,
1997-06,,23.00M,,23.00M,,1.12B,,,,,744.00M,,,278.00M,2.165B,,,,,3.517B,-1.755B,1.762B,,949.00M,949.00M,,524.00M,3.235B,5.40B,,1.198B,1.198B,,1.198B,,30.00M,,30.00M,,1.228B,1.055B,,1.055B,,,,,843.00M,1.898B,3.126B,,,1.564B,,,,,2.274B,,,
1997-03,,25.00M,,25.00M,,1.081B,,,,,723.00M,,,304.00M,2.133B,,,,,3.475B,-1.732B,1.743B,,957.00M,957.00M,,526.00M,3.226B,5.359B,,1.178B,1.178B,,1.178B,,30.00M,,30.00M,,1.208B,1.121B,,1.121B,,,,,840.00M,1.961B,3.169B,,,1.472B,,,,,2.19B,,,
1996-12,,22.00M,,22.00M,,985.00M,,,,,729.00M,,,281.00M,2.017B,,,,,3.496B,-1.704B,1.792B,,968.00M,968.00M,,530.00M,3.29B,5.307B,,512.00M,512.00M,,512.00M,,30.00M,,30.00M,688.00M,1.23B,1.062B,,1.062B,,,,,855.00M,1.917B,3.147B,,,1.402B,,,,,2.16B,,,
1996-09,,25.00M,,25.00M,,1.056B,,,,,736.00M,,,271.00M,2.088B,,,,,3.398B,-1.69B,1.708B,,953.00M,953.00M,,528.00M,3.189B,5.277B,,1.131B,1.131B,,1.131B,,31.00M,,31.00M,,1.162B,1.125B,,1.125B,,,,,859.00M,1.984B,3.146B,,,1.422B,,,,,2.131B,,,
1996-06,,8.00M,,8.00M,,1.093B,,,,,735.00M,,,266.00M,2.102B,,,,,3.319B,-1.633B,1.686B,,950.00M,950.00M,,517.00M,3.153B,5.255B,,1.113B,1.113B,,1.113B,,41.00M,,41.00M,,1.154B,1.143B,,1.143B,,,,,854.00M,1.997B,3.151B,,,1.368B,,,,,2.104B,,,
1996-03,,3.00M,,3.00M,,1.086B,,,,,739.00M,,,251.00M,2.079B,,,,,3.231B,-1.594B,1.637B,,889.00M,889.00M,,525.00M,3.051B,5.13B,,1.119B,1.119B,,1.119B,,42.00M,,42.00M,,1.161B,1.071B,,1.071B,,,,,852.00M,1.923B,3.084B,,,1.296B,,,,,2.046B,,,
1995-12,,56.00M,,56.00M,,932.00M,,,,,735.00M,,,244.00M,1.967B,,,,,3.214B,-1.561B,1.653B,,895.00M,895.00M,,538.00M,3.086B,5.053B,,486.00M,486.00M,,486.00M,,50.00M,,50.00M,609.00M,1.145B,1.084B,,1.084B,,,,,849.00M,1.933B,3.078B,,,1.232B,,,,,1.975B,,,
1995-09,,14.00M,,14.00M,,1.032B,,,,,756.00M,,,265.00M,2.067B,,,,,3.092B,-1.531B,1.561B,,905.00M,905.00M,,532.00M,2.998B,5.065B,,1.072B,1.072B,,1.072B,,39.00M,,39.00M,,1.111B,1.147B,,1.147B,,,,,896.00M,2.043B,3.154B,,,1.211B,,,,,1.911B,,,
1995-06,,9.00M,,9.00M,,1.053B,,,,,773.00M,,,255.00M,2.09B,,,,,3.049B,-1.507B,1.542B,,923.00M,923.00M,,526.00M,2.991B,5.081B,,1.109B,1.109B,,1.109B,,40.00M,,40.00M,,1.149B,1.181B,,1.181B,,,,,893.00M,2.074B,3.223B,,,1.151B,,,,,1.858B,,,
1995-03,,22.00M,,22.00M,,1.052B,,,,,735.00M,,,268.00M,2.077B,,,,,2.931B,-1.456B,1.475B,,844.00M,844.00M,,530.00M,2.849B,4.926B,,1.133B,1.133B,,1.133B,,53.00M,,53.00M,,1.186B,1.102B,,1.102B,,,,,872.00M,1.974B,3.16B,,,1.073B,,,,,1.766B,,,
1994-12,,18.00M,,18.00M,,889.00M,,,,,698.00M,,,241.00M,1.846B,,,,,2.91B,-1.441B,1.469B,,850.00M,850.00M,,517.00M,2.836B,4.682B,,449.00M,449.00M,,449.00M,,36.00M,,36.00M,617.00M,1.102B,1.053B,,1.053B,,,,,847.00M,1.90B,3.002B,,,988.00M,,,,,1.68B,,,
1994-09,,16.00M,,16.00M,,934.00M,,,,,677.00M,,,267.00M,1.894B,,,,,2.847B,-1.424B,1.423B,,817.00M,817.00M,,561.00M,2.801B,4.695B,,1.029B,1.029B,,1.029B,,28.00M,,28.00M,,1.057B,1.113B,,1.113B,,,,,919.00M,2.032B,3.089B,,,884.00M,,,,,1.606B,,,
1994-06,,13.00M,,13.00M,,901.00M,,,,,665.00M,,,249.00M,1.828B,,,,,2.719B,-1.298B,1.421B,,873.00M,873.00M,,560.00M,2.854B,4.682B,,992.00M,992.00M,,992.00M,,41.00M,,41.00M,,1.033B,1.208B,,1.208B,,,,,913.00M,2.121B,3.154B,,,823.00M,,,,,1.528B,,,
1994-03,,22.00M,,22.00M,,879.00M,,,,,656.00M,,,228.00M,1.785B,,,,,2.823B,-1.298B,1.525B,,849.00M,849.00M,,429.00M,2.803B,4.588B,,,,,,,159.00M,,159.00M,898.00M,1.057B,1.199B,,1.199B,,,,,892.00M,2.091B,3.148B,,,760.00M,,,,,1.44B,,,
1993-12,,32.00M,,32.00M,,550.00M,,,,,434.00M,,,450.00M,1.466B,,,,,2.486B,-1.298B,1.188B,,265.00M,265.00M,,349.00M,1.802B,3.268B,,266.00M,266.00M,,266.00M,,124.00M,,124.00M,397.00M,787.00M,649.00M,,649.00M,,,,,727.00M,1.376B,2.163B,,,708.00M,,,,,1.105B,,,
1993-09,,18.00M,,18.00M,,599.00M,,,,,439.00M,,,425.00M,1.481B,,,,,2.309B,-1.136B,1.173B,,267.00M,267.00M,,298.00M,1.738B,3.219B,,,,,,,42.00M,,42.00M,690.00M,732.00M,746.00M,,746.00M,,,,,699.00M,1.445B,2.177B,,,721.00M,,,,,1.042B,,,
1993-06,,20.00M,,20.00M,,610.00M,,,,,430.00M,,,415.00M,1.475B,,,,,2.307B,-1.136B,1.171B,,270.00M,270.00M,,296.00M,1.737B,3.212B,,,,,,,28.00M,,28.00M,738.00M,766.00M,749.00M,,749.00M,,,,,700.00M,1.449B,2.215B,,,698.00M,,,,,997.00M,,,
1993-03,,17.00M,,17.00M,,595.00M,,,,,440.00M,,,376.00M,1.428B,,,,,2.227B,-1.136B,1.091B,,265.00M,265.00M,,349.00M,1.705B,3.133B,,,,,,,107.00M,,107.00M,630.00M,737.00M,755.00M,,755.00M,,,,,656.00M,1.411B,2.148B,,,667.00M,,,,,985.00M,,,
1992-12,,30.00M,,30.00M,,500.00M,,,,,437.00M,,,351.00M,1.318B,,,,,2.236B,-1.136B,1.10B,,266.00M,266.00M,,412.00M,1.778B,3.096B,,244.00M,244.00M,,244.00M,,49.00M,,49.00M,362.00M,655.00M,833.00M,,833.00M,14.00M,14.00M,,,646.00M,1.493B,2.148B,,,636.00M,,,,,948.00M,,,
1992-09,,26.00M,,26.00M,,569.00M,,,,,445.00M,,,295.00M,1.335B,,,,,2.149B,-1.025B,1.124B,,278.00M,278.00M,,444.00M,1.846B,3.181B,,,,,,,71.00M,,71.00M,582.00M,653.00M,860.00M,,860.00M,133.00M,133.00M,,,307.00M,1.30B,1.953B,,,885.00M,,,,,1.228B,,,
1992-06,,22.00M,,22.00M,,577.00M,,,,,435.00M,,,175.00M,1.209B,,,,,2.154B,-1.025B,1.129B,,281.00M,281.00M,,490.00M,1.90B,3.109B,,,,,,,67.00M,,67.00M,610.00M,677.00M,778.00M,,778.00M,132.00M,132.00M,,,301.00M,1.211B,1.888B,,,875.00M,,,,,1.221B,,,
1992-03,,18.00M,,18.00M,,562.00M,,,,,437.00M,,,178.00M,1.195B,,,,,2.136B,-1.025B,1.111B,,281.00M,281.00M,,477.00M,1.869B,3.064B,,,,,,,74.00M,,74.00M,617.00M,691.00M,780.00M,,780.00M,135.00M,135.00M,,,294.00M,1.209B,1.90B,,,852.00M,,,,,1.164B,,,
1991-12,,21.00M,,21.00M,,484.00M,,,,,440.00M,,,241.00M,1.186B,,,,,2.136B,-1.025B,1.111B,,285.00M,285.00M,,505.00M,1.901B,3.087B,,246.00M,246.00M,,246.00M,,132.00M,,132.00M,321.00M,699.00M,795.00M,,795.00M,136.00M,136.00M,,,304.00M,1.235B,1.934B,,,838.00M,,,,,1.153B,,,
1991-09,,8.00M,,8.00M,,527.00M,,,,,422.00M,,,243.00M,1.20B,,,,,2.011B,-944.00M,1.067B,,285.00M,285.00M,,495.00M,1.847B,3.047B,,,,,,,55.00M,,55.00M,565.00M,620.00M,860.00M,,860.00M,142.00M,142.00M,,,306.00M,1.308B,1.928B,,,822.00M,,,,,1.119B,,,
1991-06,,11.00M,,11.00M,,526.00M,,,,,414.00M,,,201.00M,1.152B,,,,,1.977B,-944.00M,1.033B,,286.00M,286.00M,,463.00M,1.782B,2.934B,,,,,,,60.00M,,60.00M,568.00M,628.00M,761.00M,,761.00M,153.00M,153.00M,,,302.00M,1.216B,1.844B,,,818.00M,,,,,1.09B,,,
1991-03,,11.00M,,11.00M,,508.00M,,,,,429.00M,,,271.00M,1.219B,,,,,1.999B,-944.00M,1.055B,,278.00M,278.00M,,417.00M,1.75B,2.969B,,,,,,,79.00M,,79.00M,568.00M,647.00M,769.00M,,769.00M,155.00M,155.00M,,,308.00M,1.232B,1.879B,,,806.00M,,,,,1.09B,,,
1990-12,,30.00M,,30.00M,,498.00M,,,,,430.00M,,,338.00M,1.296B,,,,,2.03B,-944.00M,1.086B,,282.00M,282.00M,,349.00M,1.717B,3.013B,,241.00M,241.00M,,241.00M,,60.00M,,60.00M,332.00M,633.00M,755.00M,,755.00M,165.00M,165.00M,,,320.00M,1.24B,1.873B,,,837.00M,,,,,1.14B,,,
1990-09,,7.30M,,7.30M,,534.70M,,,,,421.60M,,,330.60M,1.294B,,,,,1.892B,-836.00M,1.056B,,282.00M,282.00M,,411.20M,1.750B,3.044B,,,,,,,61.00M,,61.00M,607.90M,668.90M,756.70M,,756.70M,162.70M,162.70M,,,308.80M,1.228B,1.897B,,,930.00M,,,,,1.147B,,,
1990-06,,8.50M,,8.50M,,544.70M,,,,,402.90M,,,370.90M,1.327B,,,,,1.852B,-836.00M,1.016B,,283.90M,283.90M,,459.20M,1.759B,3.086B,,,,,,,60.40M,,60.40M,595.40M,655.80M,815.70M,,815.70M,163.30M,163.30M,,,284.90M,1.264B,1.920B,,,913.70M,,,,,1.166B,,,
1990-03,,8.60M,,8.60M,,552.90M,,,,,405.80M,,,259.80M,1.227B,,,,,1.836B,-836.00M,999.80M,,281.80M,281.80M,,475.30M,1.757B,2.984B,,,,,,,54.60M,,54.60M,571.90M,626.50M,773.70M,,773.70M,162.70M,162.70M,,,286.40M,1.223B,1.849B,,,878.10M,,,,,1.135B,,,
