,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2002-04,17.64M,,8.098M,12.64M,12.64M,,,,,,,,,,-23.17M,-23.17M,15.20M,,-9.901M,,-9.901M,,-133.53M,66.81M,-0.635M,-77.26M,,,,,58.11M,-9.996M,48.11M,-3.423M,,44.69M,,136.78M,-17.36M,2.749M,122.17M,,58.11M,,,-9.996M,,,
2002-01,21.77M,,35.60M,15.68M,15.68M,,,,,,,,,,-10.52M,-0.168M,80.67M,,-8.362M,,-8.362M,,0.00,-51.04M,-4.793M,-64.20M,,,,-0.21M,26.89M,-10.01M,16.88M,-3.339M,0.00,13.34M,,110.59M,29.81M,-3.621M,136.78M,,26.89M,,,-10.01M,,,
2001-10,21.47M,,-4.954M,15.54M,15.54M,,,,,,,,,,1.131M,1.131M,33.19M,,-10.41M,,-10.41M,,-34.27M,-2.099M,-0.641M,-47.42M,,,,0.00,21.65M,-12.32M,9.331M,-3.276M,-1.241M,4.814M,,119.03M,-9.415M,0.981M,110.59M,,21.65M,,,-12.32M,,,
2001-07,19.17M,,2.766M,15.82M,15.82M,,,,,,,,,,15.46M,15.46M,53.22M,,-13.12M,,-13.12M,,,-42.22M,-1.973M,-57.32M,,,,-0.272M,11.58M,-6.676M,4.901M,-3.247M,-0.661M,0.721M,,122.99M,-3.377M,-0.583M,119.03M,,11.58M,,,-6.676M,,,
2001-04,27.90M,,5.386M,15.86M,15.86M,,,,,,,,,,-6.074M,-6.074M,43.08M,,-13.18M,,-13.18M,,,33.53M,-1.988M,18.37M,,,,-0.004M,20.38M,-68.29M,-47.91M,-3.23M,-0.754M,-51.90M,,116.39M,9.542M,-2.945M,122.99M,,20.38M,,,-68.29M,,,
2001-01,28.36M,,23.84M,16.35M,16.35M,,,,,,,,,,3.854M,-0.967M,67.58M,,-7.501M,,-7.501M,,,33.69M,-11.86M,14.33M,,,,-0.206M,7.007M,-66.55M,-59.54M,-3.247M,0.00,-63.00M,,95.90M,18.92M,1.575M,116.39M,,7.007M,,,-66.55M,,,
2000-10,18.51M,,6.085M,16.20M,16.20M,,,,,,,,,,-4.458M,-4.458M,36.33M,,-6.646M,,-6.646M,,,15.40M,2.153M,10.90M,,,,-92.25M,107.03M,-59.22M,47.81M,-3.381M,13.96M,-33.86M,,89.60M,13.38M,-7.076M,95.90M,,107.03M,,,-59.22M,,,
2000-07,20.75M,,-10.06M,17.30M,17.30M,,,,,,,,,,25.71M,25.71M,53.70M,,-7.784M,,-7.784M,,,-22.93M,-2.244M,-32.96M,,,,92.03M,-83.62M,-40.57M,-124.18M,-3.452M,,-35.60M,,105.36M,-14.86M,-0.904M,89.60M,,-83.62M,,,-40.57M,,,
2000-04,25.61M,,19.00M,19.01M,19.01M,,,,,,,,,,-25.10M,-25.10M,38.50M,,-10.48M,,-10.48M,,,103.74M,-16.94M,76.32M,,,,-0.002M,83.62M,-192.96M,-109.35M,-3.50M,,-112.85M,,108.64M,1.974M,-5.252M,105.36M,,83.62M,,,-192.96M,,,
2000-01,25.21M,,6.71M,18.55M,18.55M,,,,,0.32M,,,,,25.70M,47.48M,77.00M,,27.07M,-0.013M,27.06M,,,-65.56M,-31.45M,-69.95M,,,,-2.025M,15.92M,,-74.15M,-3.581M,,-79.76M,,183.20M,-72.70M,-1.795M,108.64M,,15.92M,,,,,,
1999-10,1.40M,,2.40M,18.10M,18.10M,,,,,,,,,,3.80M,3.80M,25.70M,,-2.60M,0.00,-2.60M,,,-19.30M,2.60M,-19.30M,,,,0.00,9.00M,,9.00M,-3.90M,,5.10M,,172.50M,11.50M,-0.80M,183.20M,,9.00M,,,,,,
1999-07,0.30M,,0.40M,26.30M,26.30M,,,,,15.10M,,,,,-29.50M,-29.50M,12.60M,,-10.20M,5.40M,-4.80M,,,-28.10M,-1.80M,-34.70M,,,,1.00M,6.30M,,6.30M,-3.50M,-0.30M,3.50M,,193.30M,-18.60M,-2.30M,172.50M,,6.30M,,,,,,
1999-04,-17.10M,,3.70M,16.80M,16.80M,,,,,-15.10M,,,,,,,-11.70M,,-29.20M,0.20M,-29.00M,,,-150.30M,-1.10M,-180.40M,,,,-1.60M,134.00M,,134.00M,-3.60M,0.30M,129.10M,,258.90M,-63.00M,-2.60M,193.30M,,134.00M,,,,,,
1999-01,23.23M,,1.321M,27.48M,27.48M,,,,,-33.83M,,,,,8.60M,0.378M,30.52M,,43.99M,2.756M,46.75M,,,89.51M,-65.16M,63.56M,,,,-4.90M,20.70M,0.034M,20.74M,-3.322M,,12.51M,,123.50M,106.60M,-4.925M,258.94M,,20.70M,,,0.034M,,,
1998-10,17.60M,,0.00,15.80M,15.80M,,,,,,,,,,-4.20M,-4.20M,29.20M,,-2.50M,0.00,-2.50M,,,-8.50M,-10.30M,-21.30M,,,,2.20M,9.60M,0.00,9.60M,-2.80M,-0.10M,8.90M,,89.90M,16.80M,16.80M,123.50M,,9.60M,,,0.00,,,
1998-07,27.60M,,-10.40M,19.00M,19.00M,,,,,3.90M,,,,,-4.40M,-4.40M,35.70M,,-76.00M,5.10M,-70.90M,,,-7.20M,-1.10M,-79.20M,,,,2.70M,23.60M,-48.90M,-25.30M,-2.80M,0.10M,-25.30M,,0.00,-68.80M,-1.50M,89.90M,,23.60M,,,-48.90M,,,
1998-04,28.70M,,,18.50M,18.50M,,,,,-3.90M,,,,,,,43.30M,,-8.30M,,-8.30M,,,-37.60M,3.80M,-42.10M,,,,,57.00M,,57.00M,-2.80M,,54.20M,,108.70M,55.40M,-4.00M,0.00,,57.00M,,,,,,
1998-01,70.22M,,-32.39M,34.83M,34.83M,,,,,-26.40M,,,,,,,73.72M,,-14.04M,,-13.22M,,,69.76M,-16.14M,40.40M,,,,,23.66M,-58.81M,-35.15M,-2.69M,,-37.84M,,0.00,76.28M,,142.55M,,23.66M,,,-58.81M,,,
1997-10,20.90M,,0.00,11.40M,11.40M,,,,,14.80M,,,,,,,47.10M,,-2.60M,,-2.60M,,,15.40M,-18.40M,-5.60M,,,,,45.00M,-77.90M,-32.90M,-2.90M,0.10M,-35.70M,,0.00,5.80M,,0.00,,45.00M,,,-77.90M,,,
1997-07,17.80M,,0.00,12.00M,12.00M,,,,,5.10M,,,,,,,34.90M,,-5.30M,,-5.30M,,,-39.90M,5.50M,-39.70M,,,,,21.20M,-25.50M,-4.30M,-2.80M,-0.10M,-7.20M,,0.00,-12.00M,,0.00,,21.20M,,,-25.50M,,,
1997-04,-52.70M,,58.10M,8.10M,8.10M,,,,,6.50M,,,,,,,20.00M,,-2.60M,,-2.60M,,,-21.10M,-4.40M,-28.10M,,,,,8.10M,-12.70M,-4.60M,-2.90M,,-7.50M,,64.80M,-15.60M,,0.00,,8.10M,,,-12.70M,,,
1997-01,6.00M,,0.00,9.80M,9.80M,,,,,-6.90M,,,,,,,41.90M,,-2.10M,,-2.10M,,,-55.90M,-9.50M,-67.50M,,,,,5.70M,-0.30M,5.40M,-2.80M,0.10M,2.70M,,0.00,-22.90M,,0.00,,5.70M,,,-0.30M,,,
1996-10,5.90M,,1.50M,9.00M,9.00M,,,,,-4.70M,,,,,,,11.70M,,-6.50M,,-6.50M,,,-9.30M,-1.40M,-17.20M,,,,,4.50M,-25.50M,-21.00M,-2.50M,,-23.50M,,0.00,-29.00M,,0.00,,4.50M,,,-25.50M,,,
1996-07,10.60M,,3.20M,8.50M,8.50M,,,,,24.70M,,,,,,,47.00M,,-5.00M,,-5.00M,,,2.30M,-11.00M,-13.70M,,,,,2.90M,-19.50M,-16.60M,-2.70M,-0.10M,-19.40M,,0.00,13.90M,,0.00,,2.90M,,,-19.50M,,,
1996-04,19.10M,,,7.50M,7.50M,,,,,-13.00M,,,,,,,13.60M,,-3.80M,,-3.80M,,,-16.00M,-5.60M,-25.40M,,,,,10.20M,-22.00M,-11.80M,-2.90M,0.10M,-14.60M,,129.30M,-26.40M,,0.00,,10.20M,,,-22.00M,,,
1996-01,16.30M,,,5.00M,5.00M,,,,,9.80M,,,,12.30M,,-1.90M,24.60M,,-2.30M,,-2.30M,,,-27.70M,-10.20M,-40.20M,,,,,2.00M,-26.70M,-24.70M,-2.70M,,-27.30M,,0.00,-42.90M,,0.00,,2.00M,,,-26.70M,,,
1995-10,19.20M,,,6.60M,6.60M,,,,,9.30M,,,,,,,35.10M,,-4.40M,,-4.40M,,,-5.90M,-3.70M,-14.00M,,,,,9.30M,-32.50M,-23.20M,-2.80M,,-26.00M,,0.00,-4.90M,,0.00,,9.30M,,,-32.50M,,,
1995-07,26.30M,,,6.90M,6.90M,,,,,-19.00M,,,,17.00M,,17.00M,31.20M,,-3.30M,,-3.30M,,,-1.40M,0.80M,-3.90M,,,,,12.50M,-27.40M,-14.90M,-2.80M,,-17.70M,,0.00,9.60M,,0.00,,12.50M,,,-27.40M,,,
1995-04,26.00M,,,6.70M,6.70M,,,,,,,,,-17.00M,,-17.00M,15.70M,,-6.30M,,-6.30M,,,-47.80M,12.60M,-41.50M,,,,,22.60M,-21.40M,1.20M,-2.90M,,-1.70M,,195.00M,-27.50M,,0.00,,22.60M,,,-21.40M,,,
1995-01,7.70M,,,5.70M,5.70M,,,,,-0.10M,,,,7.50M,,40.50M,35.50M,,-6.80M,,-6.80M,,,-2.40M,0.40M,-8.80M,,,,,17.30M,-21.70M,-4.40M,-2.80M,,-7.10M,,0.00,19.60M,,0.00,,17.30M,,,-21.70M,,,
1994-10,15.90M,,,6.50M,6.50M,,,,,0.10M,,,,6.90M,,6.90M,29.40M,,-4.30M,,-4.30M,,,32.80M,-2.80M,25.70M,,,,,15.20M,-16.00M,-0.80M,-2.80M,,-3.60M,,0.00,51.50M,,0.00,,15.20M,,,-16.00M,,,
1994-07,16.60M,,,7.10M,7.10M,,,,,,,,,2.40M,,2.40M,26.10M,,-5.70M,,-5.70M,,,16.60M,-4.60M,6.30M,,,,,6.40M,-21.50M,-15.10M,-2.80M,,-17.90M,,0.00,14.50M,,0.00,,6.40M,,,-21.50M,,,
1994-04,16.40M,,,5.70M,5.70M,,,,,,,,,-8.70M,,-8.70M,13.40M,,-3.20M,,-3.20M,,,24.10M,2.20M,23.10M,,,,,21.00M,-30.70M,-9.70M,-2.90M,,-12.60M,,85.60M,23.90M,,0.00,,21.00M,,,-30.70M,,,
1994-01,15.40M,,,4.60M,4.60M,,,,,0.00,,,,12.60M,,18.20M,29.10M,,-8.90M,,-8.90M,,,-12.90M,-4.70M,-26.50M,,,,,11.70M,-14.80M,-3.10M,-2.70M,,-5.80M,,0.00,-3.20M,,0.00,,11.70M,,,-14.80M,,,
1993-10,14.90M,,,5.30M,5.30M,,,,,0.00,,,,1.50M,,1.50M,21.70M,,-5.00M,,-5.00M,,,1.80M,-1.30M,-4.50M,,,,,5.10M,-14.80M,-9.70M,-2.90M,-0.10M,-12.70M,,0.00,4.50M,,0.00,,5.10M,,,-14.80M,,,
1993-07,16.50M,,,5.30M,5.30M,,,,,0.10M,,,,4.70M,,4.70M,26.60M,,-3.20M,,-3.20M,,,15.00M,-4.60M,7.20M,,,,,25.30M,-18.50M,6.80M,-3.00M,0.10M,3.90M,,0.00,37.70M,,0.00,,25.30M,,,-18.50M,,,
1993-04,15.40M,,,5.40M,5.40M,,,,,,,,,-9.30M,,-9.30M,11.50M,,-4.40M,,-4.40M,,,-16.10M,3.00M,-17.50M,,,,,5.80M,-23.50M,-17.70M,-2.80M,,-20.50M,,73.10M,-26.50M,,0.00,,5.80M,,,-23.50M,,,
1993-01,11.20M,,,3.20M,3.20M,,,,,,,,,14.10M,,19.00M,30.30M,,-1.10M,,-1.10M,,,-2.40M,-8.90M,-12.40M,,,,0.80M,4.90M,-21.80M,-16.90M,-2.90M,,-19.10M,,0.00,-1.20M,,0.00,,4.90M,,,-21.80M,,,
1992-10,12.80M,,,4.30M,4.30M,,,,,,,,,-15.80M,,-15.80M,1.30M,,-2.80M,,-2.80M,,,-3.70M,-21.00M,-27.50M,,,,-0.80M,13.80M,0.00,13.80M,-2.90M,,10.10M,,0.00,-16.10M,,0.00,,13.80M,,,0.00,,,
1992-07,10.60M,,,4.70M,4.70M,,,,,,,,,9.50M,,9.50M,24.80M,,-3.60M,,-3.60M,,,-4.20M,11.10M,3.30M,,,,,0.80M,0.00,0.80M,-2.80M,,-2.00M,,0.00,26.10M,,0.00,,0.80M,,,0.00,,,
1992-04,9.30M,,,4.20M,4.20M,,,,,,,,,-1.30M,,-1.30M,12.20M,,-3.50M,,-3.50M,,,9.40M,-4.00M,1.90M,,,,,1.30M,-21.30M,-20.00M,-2.90M,,-22.90M,,73.10M,-8.80M,,0.00,,1.30M,,,-21.30M,,,
1992-01,9.50M,,,3.70M,3.70M,,,,,0.10M,,,,18.50M,,12.90M,25.70M,,-2.30M,,-2.30M,,,-1.80M,-10.70M,-14.80M,,,,,1.80M,,-4.80M,-2.90M,-0.20M,-7.90M,,0.00,3.00M,,0.00,,1.80M,,,,,,
1991-10,16.30M,,,3.70M,3.70M,,,,,-0.20M,,,,-3.20M,,-3.20M,16.60M,,-2.90M,,-2.90M,,,-9.60M,1.10M,-11.40M,,,,,4.20M,,4.20M,-3.00M,0.10M,1.30M,,0.00,6.50M,,0.00,,4.20M,,,,,,
1991-07,16.30M,,,3.90M,3.90M,,,,,0.10M,,,,2.10M,,2.10M,22.40M,,-3.20M,,-3.20M,,,-5.60M,-2.40M,-11.20M,,,,,5.20M,,5.20M,-3.00M,0.10M,2.30M,,0.00,13.50M,,0.00,,5.20M,,,,,,
1991-04,15.70M,,,3.50M,3.50M,,,,,,,,,-11.00M,,-11.00M,8.20M,,-1.50M,,-1.50M,,,-3.70M,-5.50M,-10.70M,,,,,2.90M,,2.90M,-2.40M,-0.10M,0.40M,,52.20M,-2.10M,,0.00,,2.90M,,,,,,
1991-01,13.20M,,,3.90M,3.90M,,,,,,,,,8.70M,,-9.60M,7.20M,,11.90M,,11.90M,,,-22.50M,,-10.60M,,,,,2.00M,,2.00M,-2.40M,,-0.40M,,0.00,-3.80M,,0.00,,2.00M,,,,,,
1990-10,15.60M,,,4.10M,4.10M,,,,,,,,,-3.70M,,-3.70M,16.00M,,-21.40M,,-21.40M,,,4.00M,-0.70M,-18.10M,,,,,1.00M,,1.00M,-2.40M,,-1.40M,,0.00,-3.50M,,0.00,,1.00M,,,,,,
1990-07,14.60M,,,3.00M,3.00M,,,,,-0.10M,,,,4.40M,,4.40M,21.90M,,-6.80M,,-6.80M,,,-27.20M,3.30M,-30.70M,,,,,0.30M,,0.30M,-2.50M,,-2.20M,,0.00,-11.00M,,0.00,,0.30M,,,,,,
1990-04,13.40M,,,2.50M,2.50M,,,,,0.10M,,,,-2.70M,,-2.70M,13.30M,,-4.80M,,-4.80M,,,6.30M,-2.60M,-1.10M,,,,,1.20M,,1.20M,-2.40M,,-1.20M,,59.50M,11.00M,,0.00,,1.20M,,,,,,
