,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1999-06,823.25M,823.25M,178.20M,194.50M,372.70M,,,372.70M,,251.20M,141.10M,53.60M,87.50M,,,,87.50M,87.50M,40.40M,267.70M,,0.44,0.00,,0.44,0.44,,0.41,0.00,,0.41,0.41,,198.86M,213.41M,0.0267,,,
1999-03,757.43M,757.43M,176.10M,179.20M,355.30M,,,355.30M,,232.80M,132.90M,50.50M,82.40M,,,,82.40M,82.40M,35.90M,253.20M,,0.42,0.00,,0.42,0.42,,0.39,0.00,,0.39,0.39,,197.05M,197.05M,0.0267,,,
1998-12,639.70M,639.70M,159.00M,138.90M,297.90M,,,297.90M,,183.20M,117.10M,44.50M,72.60M,,,,72.60M,72.60M,38.40M,232.90M,,0.37,0.00,,0.37,0.37,,0.35,0.00,,0.35,0.35,,196.19M,207.34M,0.0267,,,
1998-09,564.10M,564.10M,126.50M,116.10M,242.60M,,,242.60M,,177.10M,112.90M,42.90M,70.00M,,,,70.00M,70.00M,34.20M,219.00M,,0.36,0.00,,0.36,0.36,,0.33,0.00,,0.33,0.33,,194.44M,212.12M,0.0267,,,
1998-06,498.70M,498.70M,85.80M,113.40M,199.20M,,,199.20M,,169.70M,107.90M,41.00M,66.90M,,,,66.90M,66.90M,19.30M,209.60M,,0.34,0.00,,0.34,0.34,,0.32,0.00,,0.32,0.32,,196.76M,209.06M,0.0267,,,
1998-03,480.70M,480.70M,75.00M,108.00M,183.00M,,,183.00M,,164.80M,106.00M,40.30M,65.70M,,,,65.70M,65.70M,16.30M,199.20M,,0.33,0.00,,0.33,0.33,,0.32,0.00,,0.32,0.32,,199.09M,205.31M,0.0267,,,
1997-12,430.60M,430.60M,,76.20M,76.20M,,,76.20M,,114.50M,93.90M,35.70M,58.20M,,,,58.20M,58.20M,19.40M,183.00M,,0.2967,0.00,,0.2967,0.2967,,0.2833,0.00,,0.2833,0.2833,,195.55M,206.18M,0.0267,,,
1997-09,378.10M,378.10M,,73.20M,73.20M,,,73.20M,,97.20M,79.50M,30.20M,49.30M,,,,49.30M,49.30M,3.30M,161.30M,,0.25,0.00,,0.25,0.25,,0.24,0.00,,0.24,0.24,,197.20M,205.42M,0.0267,,,
1997-06,312.30M,312.30M,,69.30M,69.30M,,,69.30M,,83.30M,63.50M,24.10M,39.40M,,,,39.40M,39.40M,12.80M,147.10M,,0.20,0.00,,0.20,0.20,,0.19,0.00,,0.19,0.19,,197.00M,207.37M,0.0267,,,
1997-03,331.30M,331.30M,,70.60M,70.60M,,,70.60M,,88.20M,68.50M,26.00M,42.50M,,,,42.50M,42.50M,11.10M,148.90M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,202.38M,202.38M,0.0267,,,
1996-12,328.50M,328.50M,,63.70M,63.70M,,,63.70M,,113.60M,65.00M,24.70M,40.30M,,,,40.30M,40.30M,10.70M,152.80M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,201.49M,201.49M,0.0267,,,
1996-09,313.40M,313.40M,,57.60M,57.60M,,,57.60M,,106.70M,62.60M,23.80M,38.80M,,,,38.80M,38.80M,9.60M,144.20M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,204.21M,204.21M,0.0267,,,
1996-06,245.10M,245.10M,,49.70M,49.70M,,,49.70M,,74.50M,60.60M,22.40M,38.20M,,,,38.20M,38.20M,11.30M,123.90M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,201.05M,201.05M,0.0267,,,
1996-03,241.90M,241.90M,,44.30M,44.30M,,,44.30M,,70.80M,60.30M,22.30M,38.00M,,,,38.00M,38.00M,10.30M,122.60M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,200.00M,200.00M,0.0267,,,
1995-12,216.20M,216.20M,,37.70M,37.70M,,,37.70M,,65.00M,59.10M,21.30M,37.80M,,,,37.80M,37.80M,10.70M,129.00M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,185.85M,185.85M,0.0267,,,
1995-09,196.60M,196.60M,,36.60M,36.60M,,,36.60M,,59.70M,53.00M,19.10M,33.90M,,,,33.90M,33.90M,9.80M,122.30M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,199.41M,199.41M,0.0267,,,
1995-06,180.00M,180.00M,,31.30M,31.30M,,,31.30M,,45.20M,46.30M,16.70M,29.60M,,,,29.60M,29.60M,8.50M,105.50M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,197.33M,197.33M,0.0267,,,
1995-03,168.20M,168.20M,,30.10M,30.10M,,,30.10M,,38.10M,39.20M,14.10M,25.10M,,,,25.10M,25.10M,8.40M,90.20M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,193.08M,193.08M,,,,
1994-12,,,,,,,,,,,,,26.50M,,,,26.50M,26.50M,,,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,187.16M,187.16M,,,,
1994-09,,,,,,,,,,,,,-1.00M,,,,-1.00M,-1.00M,,-1.00M,,-0.01,0.00,,-0.01,-0.01,,-0.01,0.00,,-0.01,-0.01,,199.14M,199.14M,,,,
1994-06,,,,,,,,,,,,,34.60M,,,,34.60M,34.60M,,,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,203.53M,203.53M,,,,
1994-03,,,,,,,,,,,,,35.10M,,,,35.10M,35.10M,,,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,195.00M,195.00M,,,,
