,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,103.24M,103.24M,361.88M,46.63M,408.51M,181.02M,74.85M,205.30M,420.36M,28.88M,50.72M,3.204M,1.015B,,,,,,782.32M,-353.36M,428.96M,1.509B,1.184B,2.692B,,6.364M,28.45M,3.156B,4.171B,,150.22M,,,150.22M,175.21M,325.43M,,,172.49M,172.49M,18.04M,18.04M,100.67M,616.63M,1.474B,,1.474B,402.52M,402.52M,,34.06M,249.88M,2.126B,2.743B,,,,,,,,1.394B,1.394B,,,
2008-03,154.11M,154.11M,383.27M,,383.27M,182.22M,69.58M,196.58M,411.52M,30.63M,40.36M,4.294M,1.024B,,,,,,783.94M,-353.36M,430.58M,1.516B,1.204B,2.719B,,6.743M,27.93M,3.185B,4.209B,,143.70M,,,143.70M,181.26M,324.96M,,,182.69M,182.69M,15.84M,15.84M,131.87M,655.35M,1.499B,,1.499B,390.71M,390.71M,,37.34M,269.89M,2.160B,2.815B,,,,,,,,1.356B,1.356B,,,Restated
2007-12,201.34M,201.34M,341.96M,,341.96M,179.56M,61.91M,213.63M,419.19M,31.05M,12.02M,4.241M,1.010B,0.00,260.94M,468.95M,,54.45M,784.33M,-353.36M,430.98M,1.502B,1.211B,2.713B,,7.189M,26.59M,3.178B,4.188B,,133.65M,,,133.65M,180.11M,313.76M,47.57M,137.56M,185.13M,185.13M,21.73M,21.73M,170.06M,690.68M,1.499B,,1.499B,379.47M,379.47M,,42.18M,247.69M,2.126B,2.817B,,41.79M,1.118B,252.11M,140.03M,95.96M,-39.04M,56.92M,1.329B,,,
2007-09,497.72M,497.72M,396.48M,,396.48M,217.89M,50.34M,201.90M,420.81M,23.21M,66.84M,2.76M,1.408B,,,,,,1.009B,-620.44M,388.58M,534.21M,285.51M,819.72M,,4.608M,28.07M,1.241B,2.649B,,214.71M,,,214.71M,112.15M,326.86M,,,80.56M,80.56M,1.099M,1.099M,135.97M,544.49M,455.88M,,455.88M,130.00M,130.00M,,44.94M,183.43M,769.31M,1.314B,,,,,,,,1.290B,1.290B,,,
2007-06,444.67M,444.67M,403.16M,,403.16M,213.00M,48.42M,205.43M,416.87M,23.41M,58.72M,2.766M,1.350B,,,,,,1.009B,-620.44M,388.14M,531.11M,286.76M,817.87M,,5.37M,28.47M,1.240B,2.589B,,230.57M,,,230.57M,121.03M,351.60M,,,25.87M,25.87M,0.738M,0.738M,119.04M,497.24M,486.08M,,486.08M,33.15M,33.15M,,56.80M,185.38M,704.62M,1.202B,,,,,,,,1.331B,1.331B,,,
2007-03,254.68M,254.68M,404.42M,,404.42M,205.67M,51.42M,192.81M,402.13M,27.46M,60.74M,82.41M,1.232B,,,,,,1.012B,-620.44M,391.69M,511.61M,267.64M,779.26M,,5.317M,23.34M,1.200B,2.431B,,207.61M,,,207.61M,111.00M,318.61M,,,21.90M,21.90M,0.578M,0.578M,114.16M,455.24M,487.98M,,487.98M,30.08M,30.08M,,49.68M,189.00M,707.06M,1.162B,,,,,,,,1.219B,1.219B,,,
2006-12,248.41M,248.41M,376.40M,,376.40M,214.44M,65.06M,182.95M,415.88M,27.69M,60.96M,10.18M,1.140B,0.00,244.10M,756.60M,,41.92M,1.043B,-620.44M,422.18M,514.01M,259.23M,773.24M,,3.419M,23.08M,1.222B,2.361B,,210.89M,,,210.89M,115.66M,326.55M,,,31.02M,31.02M,0.164M,0.164M,90.53M,448.26M,487.37M,,487.37M,25.27M,25.27M,,42.06M,169.05M,681.69M,1.130B,,41.36M,1.035B,223.61M,140.26M,73.66M,-43.62M,30.04M,1.189B,,,
2006-09,202.42M,202.42M,408.91M,,408.91M,212.52M,73.96M,180.50M,422.29M,31.61M,66.25M,14.86M,1.146B,,,,,,945.22M,-521.13M,424.08M,495.34M,247.72M,743.06M,,5.304M,24.10M,1.197B,2.343B,,211.50M,,,211.50M,189.43M,400.94M,,,59.32M,59.32M,0.296M,0.296M,38.28M,498.83M,486.00M,,486.00M,49.95M,49.95M,,35.06M,106.08M,642.02M,1.141B,,,,,,,,1.167B,1.167B,,,
2006-06,240.94M,240.94M,431.02M,,431.02M,207.53M,72.75M,182.48M,418.12M,23.38M,64.25M,17.16M,1.195B,,,,,,955.12M,-521.13M,433.99M,495.62M,250.64M,746.26M,,5.698M,24.26M,1.210B,2.405B,,215.03M,,,215.03M,190.62M,405.65M,,,82.16M,82.16M,0.234M,0.234M,28.33M,516.37M,491.38M,,491.38M,56.17M,56.17M,,28.50M,104.47M,652.02M,1.168B,,41.28M,,,,,,1.167B,1.208B,,,
2006-03,188.86M,188.86M,442.28M,,442.28M,207.54M,72.23M,183.32M,416.90M,23.24M,50.71M,14.85M,1.137B,,,,,,957.73M,-521.13M,436.60M,502.92M,252.36M,755.28M,,19.73M,28.01M,1.240B,2.376B,,215.42M,,,215.42M,177.50M,392.93M,,,90.26M,90.26M,0.342M,0.342M,65.74M,549.26M,500.18M,,500.18M,40.47M,40.47M,,23.14M,103.78M,644.43M,1.194B,,41.21M,,,,,,1.118B,1.160B,,,
2005-12,239.54M,239.54M,421.24M,,421.24M,199.96M,70.87M,178.02M,404.27M,20.57M,57.92M,16.90M,1.160B,0.00,180.28M,746.57M,,42.10M,968.95M,-521.13M,447.82M,504.67M,259.22M,763.88M,,6.254M,24.67M,1.243B,2.403B,,206.55M,,,206.55M,206.23M,412.78M,,,125.51M,125.51M,0.408M,0.408M,46.29M,584.98M,505.27M,,505.27M,50.54M,50.54M,,17.40M,102.78M,658.59M,1.244B,,41.12M,939.34M,204.55M,49.55M,,,6.614M,1.142B,,,
2005-09,246.08M,246.08M,402.18M,,402.18M,182.64M,74.39M,165.57M,422.60M,33.16M,39.38M,4.171M,1.148B,,,,,,1.093B,-613.46M,479.16M,,748.22M,748.22M,,127.00M,24.19M,1.379B,2.526B,,193.70M,,,193.70M,176.56M,370.26M,,,22.77M,22.77M,6.152M,6.152M,37.47M,436.65M,635.88M,,635.88M,157.98M,157.98M,,61.42M,100.78M,894.64M,1.331B,,,941.14M,,,,,192.30M,1.133B,,,
2005-06,212.46M,212.46M,434.58M,,434.58M,180.64M,71.70M,159.80M,412.13M,34.94M,,60.34M,1.154B,,,,,,1.090B,-613.46M,476.14M,,750.90M,750.90M,,105.89M,23.52M,1.356B,2.511B,,193.06M,,,193.06M,183.84M,376.90M,,,46.68M,46.68M,,,41.81M,465.40M,615.14M,,615.14M,134.56M,134.56M,,61.52M,99.27M,848.98M,1.314B,,,907.54M,,,,,227.46M,1.135B,,,
2005-03,165.41M,165.41M,488.19M,,488.19M,185.70M,75.32M,161.89M,422.91M,39.28M,,48.13M,1.164B,,,,,,1.141B,-613.46M,527.11M,,752.36M,752.36M,,102.86M,23.76M,1.406B,2.570B,,191.36M,,,191.36M,196.83M,388.19M,,,57.61M,57.61M,,,39.99M,485.79M,654.09M,,654.09M,136.44M,136.44M,,62.10M,100.30M,890.83M,1.377B,,,,,,,,1.131B,1.131B,,,
2004-12,115.96M,115.96M,514.18M,,514.18M,185.28M,74.76M,171.36M,431.40M,32.52M,40.81M,54.38M,1.189B,0.00,248.44M,949.26M,,,1.198B,-613.46M,584.25M,,768.99M,768.99M,,103.35M,24.19M,1.481B,2.670B,,183.70M,,,183.70M,210.03M,393.73M,,,101.86M,101.86M,2.134M,2.134M,50.74M,548.45M,685.91M,,685.91M,159.75M,159.75M,,65.48M,100.72M,946.38M,1.495B,,40.42M,839.84M,171.86M,,,,57.61M,1.110B,,,
2004-09,102.58M,102.58M,489.73M,,489.73M,192.90M,84.88M,174.96M,452.74M,28.31M,,,1.073B,,,,,,1.236B,-571.06M,665.39M,,751.84M,751.84M,,,22.70M,1.440B,2.513B,,375.11M,,,375.11M,,375.11M,,,112.89M,112.89M,,,50.30M,538.29M,688.18M,,688.18M,154.96M,154.96M,,,,843.13M,1.381B,,39.80M,946.03M,125.38M,,,,20.65M,1.132B,,,
2004-06,81.52M,81.52M,505.84M,,505.84M,188.34M,80.86M,155.95M,425.14M,22.72M,,,1.035B,,,,,,1.201B,-571.06M,629.53M,,400.66M,400.66M,,,32.36M,1.063B,2.098B,,337.91M,,,337.91M,,337.91M,,,172.33M,172.33M,,,48.58M,558.82M,205.69M,,205.69M,218.38M,218.38M,,,,424.08M,982.90M,,,,,,,,1.115B,1.115B,,,
2004-03,62.90M,62.90M,517.74M,,517.74M,204.78M,82.15M,161.16M,448.09M,24.64M,,,1.053B,,,,,,1.227B,-571.06M,655.50M,,397.23M,397.23M,,,35.34M,1.088B,2.141B,,340.23M,,,340.23M,,340.23M,,,233.27M,233.27M,,,44.86M,618.36M,222.87M,,222.87M,212.47M,212.47M,,,,435.34M,1.054B,,40.12M,894.37M,153.24M,,,,,1.088B,,,
2003-12,56.58M,56.58M,453.92M,,453.92M,183.19M,82.47M,162.94M,428.60M,20.86M,,105.99M,1.066B,0.00,243.85M,916.63M,,,1.160B,-548.17M,612.32M,,397.06M,397.06M,,34.13M,35.28M,1.079B,2.145B,,166.74M,,,166.74M,150.68M,317.43M,199.57M,26.16M,225.73M,225.73M,,,75.33M,618.50M,229.63M,,229.63M,113.81M,113.81M,,63.44M,57.06M,400.50M,1.019B,,39.80M,864.90M,125.38M,,,,32.23M,1.062B,,,
2003-09,46.55M,46.55M,452.34M,,452.34M,188.67M,84.33M,157.36M,430.36M,23.46M,,,952.71M,,,,,,1.119B,-482.81M,635.70M,,383.52M,383.52M,,,35.96M,1.055B,2.008B,,317.60M,,,317.60M,,317.60M,,,234.95M,234.95M,,,48.78M,601.33M,216.99M,,216.99M,178.64M,178.64M,,,,395.63M,996.96M,,,843.04M,,,,,167.88M,1.011B,,,
2003-06,59.59M,59.59M,449.83M,,449.83M,172.76M,73.06M,149.70M,395.52M,24.57M,,,929.51M,,,,,,1.105B,-482.81M,622.62M,,357.03M,357.03M,,,38.42M,1.018B,1.948B,,293.64M,,,293.64M,,293.64M,,,207.03M,207.03M,,,46.71M,547.38M,226.05M,,226.05M,177.00M,177.00M,,,,403.05M,950.43M,,,,,,,,997.15M,997.15M,,,
2003-03,43.10M,43.10M,444.58M,,444.58M,167.45M,71.24M,155.35M,394.04M,27.33M,,,909.04M,,,,,,1.094B,-482.81M,611.60M,,353.46M,353.46M,,,37.67M,1.003B,1.912B,,293.64M,,,293.64M,,293.64M,,,220.82M,220.82M,,,49.09M,563.54M,226.81M,,226.81M,171.76M,171.76M,,,,398.57M,962.11M,,,,,,,,949.68M,949.68M,,,
2002-12,44.49M,44.49M,401.89M,,401.89M,154.55M,59.60M,151.39M,365.54M,25.98M,,,837.90M,0.00,230.26M,856.79M,,,1.087B,-482.81M,604.24M,,326.81M,326.81M,,,44.44M,975.49M,1.813B,,141.79M,,,141.79M,135.15M,276.94M,148.25M,34.52M,182.78M,182.78M,,,38.77M,498.48M,240.12M,,240.12M,162.50M,162.50M,,,,402.62M,901.10M,,39.40M,786.67M,112.24M,,,,-26.03M,912.28M,,,
2002-09,54.43M,54.43M,398.41M,,398.41M,164.46M,63.64M,134.91M,363.01M,25.12M,,,840.97M,,,,,,1.005B,-414.02M,591.46M,,318.51M,318.51M,,,44.76M,954.73M,1.796B,,274.83M,,,274.83M,,274.83M,,,232.86M,232.86M,,,45.92M,553.60M,220.41M,,220.41M,145.74M,145.74M,,,,366.15M,919.75M,,,,,,,,875.95M,875.95M,,,
2002-06,45.76M,45.76M,418.16M,,418.16M,161.96M,64.53M,127.46M,353.96M,28.58M,,,846.46M,,,,,,999.31M,-414.02M,585.29M,,300.26M,300.26M,,,43.86M,929.41M,1.776B,,279.84M,,,279.84M,,279.84M,,,222.23M,222.23M,,,40.65M,542.72M,226.52M,,226.52M,145.62M,145.62M,,,,372.14M,914.86M,,,739.53M,,,,,121.47M,861.00M,,,
2002-03,51.82M,51.82M,394.77M,,394.77M,144.48M,55.13M,122.30M,321.91M,29.16M,,,797.65M,,,977.63M,,,977.63M,-414.02M,563.62M,,296.51M,296.51M,,,42.08M,902.21M,1.700B,,270.66M,,,270.66M,,270.66M,,,231.02M,231.02M,,,36.91M,538.59M,217.29M,,217.29M,137.33M,137.33M,,,,354.62M,893.22M,,,,,,,,,806.64M,,,
2001-12,46.90M,46.90M,363.67M,,363.67M,133.36M,44.53M,130.88M,308.78M,28.13M,,,747.48M,0.00,204.92M,774.80M,,,979.71M,-414.02M,565.70M,,280.36M,280.36M,,,41.49M,887.54M,1.635B,,122.52M,,,122.52M,129.29M,251.80M,170.26M,41.86M,212.12M,212.12M,,,31.50M,495.43M,228.18M,,228.18M,133.27M,133.27M,,,,361.45M,856.88M,,38.93M,689.27M,96.14M,,,,-46.20M,778.14M,,,
2001-09,44.58M,44.58M,386.36M,,386.36M,,,,315.55M,31.32M,,,777.80M,,,,,,895.72M,-341.56M,554.16M,,283.97M,283.97M,,,41.04M,879.17M,1.657B,,258.28M,,,258.28M,,258.28M,,,218.60M,218.60M,,,37.97M,514.85M,261.62M,,261.62M,121.83M,121.83M,,,,383.45M,898.30M,,,,,,,,758.68M,758.68M,,,
2001-06,47.27M,47.27M,378.34M,,378.34M,,,,304.10M,31.07M,,,760.77M,,,,,,857.72M,-341.56M,516.16M,,285.96M,285.96M,,,40.46M,842.58M,1.603B,,236.54M,,,236.54M,,236.54M,,,190.93M,190.93M,,,34.21M,461.68M,284.97M,,284.97M,117.48M,117.48M,,,,402.45M,864.13M,,,,,,,,739.22M,739.22M,,,
2001-03,42.38M,42.38M,387.82M,,387.82M,132.91M,45.43M,124.52M,302.87M,25.23M,,,758.31M,,,,,,851.59M,-341.56M,510.03M,,290.98M,290.98M,,,39.89M,840.90M,1.599B,,255.46M,,,255.46M,,255.46M,,,175.95M,175.95M,,,35.09M,466.50M,308.85M,,308.85M,114.50M,114.50M,,,,423.35M,889.85M,,,626.75M,,,,,82.61M,709.36M,,,
2000-12,45.14M,45.14M,334.35M,,334.35M,,,,259.84M,,,22.71M,662.04M,,,,,,831.06M,-341.56M,489.50M,,210.23M,210.23M,,,39.52M,739.25M,1.401B,,235.70M,,,235.70M,,235.70M,,,118.04M,118.04M,,,30.13M,383.87M,220.56M,,220.56M,106.44M,106.44M,,,,326.99M,710.87M,,38.34M,602.54M,79.55M,,,,-30.01M,690.42M,,,
2000-09,41.66M,41.66M,,,328.81M,,,,256.55M,,,26.08M,653.10M,,,,,,811.89M,-330.50M,481.39M,,186.49M,186.49M,,,44.61M,712.48M,1.366B,,223.90M,,,223.90M,,223.90M,,,110.25M,110.25M,,,38.52M,372.67M,235.72M,,235.72M,98.62M,98.62M,,,,334.34M,707.01M,,,,,,,,658.57M,658.57M,,,
2000-06,21.00M,21.00M,,,341.88M,,,,253.20M,,,25.46M,641.54M,,,,,,802.88M,-319.24M,483.64M,,194.02M,194.02M,,,48.04M,725.70M,1.367B,,238.55M,,,238.55M,,238.55M,,,92.70M,92.70M,,,34.76M,366.01M,261.18M,,261.18M,95.54M,95.54M,,,,356.73M,722.73M,,,,,,,,,644.50M,,,
2000-03,35.53M,35.53M,,,353.26M,,,,238.06M,,,22.19M,649.04M,,,,,,783.07M,-309.94M,473.12M,,171.10M,171.10M,,,51.72M,695.95M,1.345B,,225.32M,,,225.32M,,225.32M,,,110.45M,110.45M,,,31.57M,367.34M,267.99M,,267.99M,87.18M,87.18M,,,,355.17M,722.51M,,,,,,,,,622.48M,,,
1999-12,29.00M,29.00M,324.60M,,324.60M,,,,227.50M,,,23.80M,604.90M,,,,,,766.50M,-300.60M,465.90M,,136.90M,136.90M,,,55.70M,658.50M,1.263B,,100.00M,,,100.00M,,100.00M,,,98.50M,98.50M,,,130.90M,329.40M,246.20M,,246.20M,85.30M,85.30M,,,-0.10M,331.40M,660.80M,,38.00M,515.50M,73.80M,,,,-24.70M,602.60M,,,
1999-09,46.20M,46.20M,,,321.80M,,,,240.00M,,,21.00M,629.00M,,,,,,750.10M,-296.10M,454.00M,,136.60M,136.60M,,,50.60M,641.20M,1.270B,,199.70M,,,199.70M,,199.70M,,,94.60M,94.60M,,,21.90M,316.20M,280.30M,,280.30M,87.60M,87.60M,,,-0.10M,367.80M,684.00M,,,507.30M,,,,,78.90M,586.20M,,,
1999-06,32.40M,32.40M,,,329.40M,,,,234.80M,,,21.50M,618.10M,,,,,,723.70M,-278.20M,445.50M,,138.30M,138.30M,,,50.60M,634.40M,1.252B,,201.50M,,,201.50M,,201.50M,,,91.00M,91.00M,,,25.10M,317.60M,275.70M,,275.70M,86.20M,86.20M,,,,361.90M,679.50M,,,,,,,,,573.00M,,,
1999-03,48.40M,48.40M,,,328.20M,,,,232.90M,,,20.90M,630.40M,,,,,,710.00M,-264.90M,445.10M,,122.50M,122.50M,,,50.00M,617.60M,1.248B,,206.00M,,,206.00M,,206.00M,,,93.00M,93.00M,,,30.00M,329.00M,270.70M,,270.70M,98.00M,98.00M,,,-0.10M,368.60M,697.60M,,,458.20M,,,,,,550.40M,,,
1998-12,66.70M,66.70M,,,295.40M,,,,235.90M,,,18.90M,616.90M,,,,,,689.50M,-257.70M,431.80M,,116.30M,116.30M,,,50.90M,599.00M,1.216B,,99.20M,,,99.20M,,99.20M,,,91.70M,91.70M,,,120.60M,311.50M,275.60M,,275.60M,94.40M,94.40M,,,-0.10M,369.90M,681.40M,,37.60M,439.40M,72.10M,,,,-14.60M,534.50M,,,
1998-09,76.00M,76.00M,,,303.10M,,,,233.80M,,,16.10M,629.00M,,,,,,631.30M,-229.30M,402.00M,,113.90M,113.90M,,,32.20M,548.10M,1.177B,,181.10M,,,181.10M,,181.10M,,,112.20M,112.20M,,,29.20M,322.50M,256.30M,,256.30M,86.30M,86.30M,,,,342.60M,665.10M,,,451.60M,,,,,,512.00M,,,
1998-06,65.90M,65.90M,,,294.30M,,,,220.20M,,,18.50M,598.90M,,,,,,610.70M,-229.30M,381.40M,,113.70M,113.70M,,,32.60M,527.70M,1.127B,,175.30M,,,175.30M,,175.30M,,,94.70M,94.70M,,,24.20M,294.20M,248.00M,,248.00M,82.80M,82.80M,,,,330.80M,625.00M,,,406.60M,,,,,,501.60M,,,
1998-03,47.20M,47.20M,,,286.80M,,,,215.30M,,,20.10M,569.40M,,,,,,,,370.40M,,112.10M,112.10M,,,38.00M,520.50M,1.090B,,161.60M,,,161.60M,,161.60M,,,86.00M,86.00M,,,31.30M,278.90M,243.00M,,243.00M,82.50M,82.50M,,,,325.50M,604.40M,,,389.70M,,,,,,485.50M,,,
1997-12,30.70M,30.70M,,,260.20M,,,,218.50M,,,57.10M,566.50M,,,,,,593.30M,-229.30M,364.00M,,111.20M,111.20M,,,37.50M,512.70M,1.079B,,80.40M,,,80.40M,,80.40M,,,115.70M,115.70M,,,98.80M,294.90M,237.60M,,237.60M,82.90M,82.90M,,,,320.50M,615.40M,,,373.50M,,,,,,463.80M,,,
1997-09,32.90M,32.90M,,,233.60M,,,,204.00M,,,6.00M,476.50M,,,,,,511.40M,-193.90M,317.50M,,96.70M,96.70M,,,24.20M,438.40M,914.90M,,106.40M,,,106.40M,,106.40M,,,70.60M,70.60M,,,22.60M,199.60M,194.80M,,194.80M,69.60M,69.60M,,,,264.40M,464.00M,,,364.60M,,,,,,450.90M,,,
1997-06,60.70M,60.70M,,,214.60M,,,,196.80M,,,11.00M,483.10M,,,,,,498.70M,-193.90M,304.80M,,89.50M,89.50M,,,24.00M,418.30M,901.40M,,108.30M,,,108.30M,,108.30M,,,68.70M,68.70M,,,19.70M,196.70M,195.70M,,195.70M,69.30M,69.30M,,,-0.10M,264.90M,461.60M,,,350.80M,,,,,,439.80M,,,
1997-03,67.90M,67.90M,,,214.40M,,,,191.90M,,,12.20M,486.40M,,,,,,484.90M,-193.90M,291.00M,,89.50M,89.50M,,,23.90M,404.40M,890.80M,,112.70M,,,112.70M,,112.70M,,,68.90M,68.90M,,,23.80M,205.40M,190.00M,,190.00M,71.80M,71.80M,,,0.10M,261.90M,467.30M,,,336.20M,,,,,,423.50M,,,
1996-12,68.60M,68.60M,,,193.60M,,,,190.70M,,,13.10M,466.00M,,,,,,485.70M,-193.90M,291.80M,,82.70M,82.70M,,,17.40M,391.90M,857.90M,,53.70M,,,53.70M,,53.70M,,,70.60M,70.60M,,,72.40M,196.70M,195.90M,,195.90M,56.10M,56.10M,,,,252.00M,448.70M,,,336.20M,,,,,,409.20M,,,
1996-09,115.00M,115.00M,,,182.80M,,,,184.90M,,,8.30M,491.00M,,,,,,437.50M,-176.70M,260.80M,,57.10M,57.10M,,,14.60M,332.50M,823.50M,,97.70M,,,97.70M,,97.70M,,,72.00M,72.00M,,,17.00M,186.70M,192.80M,,192.80M,53.30M,53.30M,,,,246.10M,432.80M,,,291.10M,,,,,,390.70M,,,
1996-06,115.50M,115.50M,,,184.60M,,,,183.50M,,,8.30M,491.90M,,,,,,439.60M,-176.70M,262.90M,,58.10M,58.10M,,,14.00M,335.00M,826.90M,,102.90M,,,102.90M,,102.90M,,,78.80M,78.80M,,,18.00M,199.70M,195.00M,,195.00M,49.50M,49.50M,,,,244.50M,444.20M,,,291.10M,,,,,,382.70M,,,
1996-03,94.50M,94.50M,,,193.30M,,,,176.60M,,,8.80M,473.20M,,,,,,441.90M,-176.70M,265.20M,,58.80M,58.80M,,,14.70M,338.70M,811.90M,,99.40M,,,99.40M,,99.40M,,,77.50M,77.50M,,,20.00M,196.90M,192.30M,,192.30M,53.50M,53.50M,,,-0.10M,245.70M,442.60M,,,291.10M,,,,,,369.30M,,,
1995-12,55.70M,55.70M,,,186.10M,,,,192.50M,,,11.50M,445.80M,,,,,,448.50M,-176.70M,271.80M,,54.00M,54.00M,,,13.60M,339.40M,785.20M,,47.60M,,,47.60M,,47.60M,,,74.20M,74.20M,,,71.40M,193.20M,196.80M,,196.80M,39.80M,39.80M,,,,236.60M,429.80M,,,291.10M,,,,,,355.40M,,,
1995-09,43.20M,43.20M,,,186.10M,,,,198.50M,,,5.20M,433.00M,,,,,,419.90M,-148.40M,271.50M,,47.60M,47.60M,,,8.00M,327.10M,760.10M,,93.70M,,,93.70M,,93.70M,,,78.30M,78.30M,,,18.20M,190.20M,186.10M,,186.10M,40.40M,40.40M,,,-0.10M,226.40M,416.60M,,,252.60M,,,,,,343.50M,,,
1995-06,33.80M,33.80M,,,189.50M,,,,194.10M,,,5.60M,423.00M,,,,,,416.90M,-148.40M,268.50M,,46.70M,46.70M,,,7.50M,322.70M,745.70M,,94.10M,,,94.10M,,94.10M,,,70.40M,70.40M,,,15.00M,179.50M,190.70M,,190.70M,39.90M,39.90M,,,,230.60M,410.10M,,,252.60M,,,,,,335.60M,,,
1995-03,12.80M,12.80M,,,199.80M,,,,189.80M,,,5.80M,408.20M,,,,,,414.20M,-148.40M,265.80M,,47.50M,47.50M,,,7.30M,320.60M,728.80M,,92.10M,,,92.10M,,92.10M,,,69.40M,69.40M,,,15.40M,176.90M,189.20M,,189.20M,40.90M,40.90M,,,,230.10M,407.00M,,,252.60M,,,,,,321.80M,,,
1994-12,24.10M,24.10M,,,183.70M,,,,173.10M,,,9.30M,390.20M,,,,,,412.70M,-148.40M,264.30M,,48.30M,48.30M,,,8.00M,320.60M,710.80M,,50.60M,,,50.60M,,50.60M,,,11.40M,11.40M,,,107.70M,169.70M,190.50M,,190.50M,41.60M,41.60M,,,,232.10M,401.80M,,,252.60M,,,,,,309.00M,,,
1994-09,36.00M,36.00M,,,176.80M,,,,165.00M,,,7.30M,385.10M,,,,,,377.90M,-121.40M,256.50M,,49.20M,49.20M,,,8.20M,313.90M,699.00M,,92.40M,,,92.40M,,92.40M,,,72.70M,72.70M,,,8.20M,173.30M,191.10M,,191.10M,37.30M,37.30M,,,,228.40M,401.70M,,,220.40M,,,,,,297.30M,,,
1994-06,17.00M,17.00M,,,175.30M,,,,158.00M,,,7.70M,358.00M,,,,,,384.90M,-121.40M,263.50M,,50.10M,50.10M,,,7.10M,320.70M,678.70M,,86.30M,,,86.30M,,86.30M,,,70.10M,70.10M,,,4.50M,160.90M,189.20M,,189.20M,37.00M,37.00M,,,,226.20M,387.10M,,,220.40M,,,,,,291.60M,,,
1994-03,4.40M,4.40M,,,167.60M,,,,157.00M,,,7.80M,336.80M,,,,,,379.80M,-121.40M,258.40M,,50.90M,50.90M,,,6.50M,315.80M,652.60M,,78.10M,,,78.10M,,78.10M,,,70.10M,70.10M,,,6.00M,154.20M,182.30M,,182.30M,36.50M,36.50M,,,,218.80M,373.00M,,,220.40M,,,,,,279.60M,,,
1993-12,11.30M,11.30M,,,143.50M,,,,159.30M,,,8.10M,322.20M,,,,,,382.80M,-121.40M,261.40M,,51.60M,51.60M,,,5.40M,318.40M,640.60M,,44.70M,,,44.70M,,44.70M,,,15.00M,15.00M,,,91.20M,150.90M,183.50M,,183.50M,36.40M,36.40M,,,,219.90M,370.80M,,,220.40M,,,,,,269.80M,,,
1993-09,16.50M,16.50M,,,126.60M,,,,144.80M,,,8.20M,296.10M,,,,,,325.80M,-101.30M,224.50M,,36.30M,36.30M,,,7.70M,268.50M,564.60M,,67.80M,,,67.80M,,67.80M,,,60.80M,60.80M,,,2.40M,131.00M,134.80M,,134.80M,36.60M,36.60M,,,,171.40M,302.40M,,,208.40M,,,,,,262.20M,,,
1993-06,25.00M,25.00M,,,128.60M,,,,136.50M,,,8.40M,298.50M,,,,,,327.50M,-101.30M,226.20M,,37.50M,37.50M,,,8.40M,272.10M,570.60M,,71.40M,,,71.40M,,71.40M,,,60.20M,60.20M,,,2.30M,133.90M,142.40M,,142.40M,37.20M,37.20M,,,0.10M,179.70M,313.60M,,,208.40M,,,,,,257.00M,,,
1993-03,15.80M,15.80M,,,130.90M,,,,137.10M,,,8.30M,292.10M,,,,,,327.10M,-101.30M,225.80M,,38.10M,38.10M,,,7.20M,271.10M,563.20M,,64.70M,,,64.70M,,64.70M,,,67.40M,67.40M,,,7.30M,139.40M,139.90M,,139.90M,36.70M,36.70M,,,,176.60M,316.00M,,,201.10M,,,,,,247.20M,,,
1992-12,36.30M,36.30M,,,116.80M,,,,129.00M,,,7.70M,289.80M,,,,,,300.90M,-101.30M,199.60M,,38.80M,38.80M,,,6.70M,245.10M,534.90M,,37.00M,,,37.00M,,37.00M,,,15.00M,15.00M,,,71.00M,123.00M,134.60M,,134.60M,36.80M,36.80M,,,,171.40M,294.40M,,,194.30M,,,,,,240.50M,,,
