,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-03,269.10M,,,,-33.03M,,,170.51M,170.51M,-17.97M,,,,147.34M,251.73M,,-32.36M,41.44M,-95.89M,312.26M,700.87M,-166.94M,6.899M,-160.04M,2.127M,171.07M,131.81M,144.97M,,,-468.27M,9.25M,-3.469M,5.781M,,-55.79M,,-518.28M,334.32M,327.56M,661.88M,9.25M,,,-3.469M
2004-12,313.51M,,,,-77.22M,,,169.64M,169.64M,85.30M,,,,4.307M,-301.42M,,199.26M,-49.71M,,-147.56M,343.66M,-142.29M,7.132M,-135.16M,0.00,66.11M,-25.60M,-94.65M,,,-384.36M,11.61M,-0.029M,11.58M,,-49.15M,,-421.92M,507.22M,-172.90M,334.32M,11.61M,,,-0.029M
2004-09,266.30M,,,,-29.96M,,,167.45M,167.45M,106.51M,,,,-201.72M,812.66M,,-8.767M,-113.25M,,488.92M,999.22M,-141.99M,15.04M,-126.95M,-6.797M,-58.95M,37.71M,-155.00M,,,-833.51M,5.345M,-0.016M,5.329M,,-49.03M,,-877.21M,540.21M,-32.98M,507.22M,5.345M,,,-0.016M
2004-06,-103.06M,,,,-7.936M,,,176.56M,176.56M,-229.26M,,,,227.09M,1.035B,,-194.00M,27.88M,,1.096B,931.98M,-143.48M,8.386M,-135.10M,-39.41M,19.57M,23.58M,-131.36M,,,-1.031B,38.82M,-0.03M,38.79M,,-47.49M,-26.02M,-1.065B,805.02M,-264.81M,540.21M,38.82M,,,-0.03M
2004-03,226.77M,,,,-94.47M,,,172.42M,172.42M,92.20M,,,0.18M,21.01M,-623.73M,,-68.89M,-148.02M,,-819.63M,-422.54M,-115.06M,4.807M,-110.25M,0.00,226.20M,-84.93M,31.02M,,,692.69M,,-0.103M,-0.103M,,-48.82M,15.64M,659.41M,537.12M,267.89M,805.02M,,,,-0.103M
2003-12,220.82M,,,,52.25M,,,174.74M,174.74M,61.97M,,,-0.18M,-441.51M,-1.130B,,534.37M,-105.05M,,-1.142B,-632.25M,-142.10M,13.89M,-128.20M,-0.601M,-389.96M,55.02M,-463.74M,,,897.59M,-1.872M,-0.011M,-1.883M,,-38.96M,10.39M,867.14M,765.98M,-228.86M,537.12M,-1.872M,,,-0.011M
2003-09,150.18M,,,,-48.27M,,,166.13M,166.13M,7.591M,,,,-185.09M,-232.09M,,395.66M,-97.96M,,-119.49M,156.14M,-108.60M,30.14M,-78.46M,-53.02M,72.90M,48.23M,-10.34M,,,-103.84M,1.872M,-3.969M,-2.097M,,-38.84M,,-144.77M,764.96M,1.023M,765.98M,1.872M,,,-3.969M
2003-06,95.02M,,,,84.15M,172.02M,0.977M,173.00M,173.00M,66.26M,,,,107.32M,492.45M,58.45M,-321.65M,-173.50M,,163.08M,581.49M,-122.81M,40.06M,-82.75M,-43.45M,67.51M,-39.25M,-97.94M,,,-609.86M,,-4.432M,-2.461M,,-38.81M,,-651.13M,1.251B,-167.58M,764.96M,,,,-4.432M
2003-03,116.80M,,,,-19.63M,471.60M,4.134M,166.71M,166.71M,-26.82M,,,,253.89M,351.05M,-29.91M,-253.51M,123.37M,,444.89M,681.96M,-110.36M,-5.774M,-116.13M,-101.93M,13.09M,-59.15M,-264.12M,,,-59.40M,,-15.54M,-15.54M,,-38.88M,-0.842M,-114.66M,629.36M,303.19M,1.251B,,,,-15.54M
2002-12,131.24M,,,,58.00M,-147.40M,-1.505M,160.12M,160.12M,39.89M,,,,-221.63M,-743.81M,-28.54M,283.46M,55.32M,,-655.20M,-265.95M,-102.13M,5.774M,-96.36M,0.00,-122.29M,31.68M,-186.97M,,,496.77M,,-27.06M,-27.06M,,-38.85M,0.842M,431.70M,650.57M,-21.22M,629.36M,,,,-27.06M
2002-09,108.08M,,,,25.84M,147.40M,1.505M,148.90M,148.90M,25.76M,,,,-252.04M,-300.08M,,493.91M,-178.69M,,-236.90M,71.67M,-100.65M,,-100.65M,-381.59M,-15.82M,-12.01M,-510.07M,,,656.06M,,-54.18M,-54.18M,,-39.02M,,562.85M,526.12M,124.46M,650.57M,,,,-54.18M
2002-06,112.27M,,,,175.84M,143.75M,5.763M,149.51M,149.51M,7.193M,,,,-207.84M,251.41M,39.40M,-245.55M,,,-341.09M,103.71M,-118.87M,,-102.32M,-10.80M,-63.15M,-14.84M,-191.12M,,,-159.36M,,-27.56M,-18.90M,,-32.66M,,-210.93M,911.38M,-298.33M,526.12M,,,,-27.56M
2002-03,117.18M,,,,-41.15M,140.39M,14.32M,154.72M,154.72M,-14.74M,,,,30.53M,149.10M,-25.39M,-34.62M,,,119.62M,335.63M,-20.36M,,-20.36M,-29.21M,31.42M,19.77M,1.612M,,,-244.22M,,-27.46M,-27.46M,,-32.71M,,-304.38M,878.51M,32.86M,911.38M,,,,-27.46M
2001-12,150.02M,,,,36.68M,141.52M,14.00M,155.53M,155.53M,9.923M,,,,263.91M,-408.06M,5.577M,441.52M,,,302.95M,655.11M,-158.59M,,-158.59M,51.27M,-121.04M,-8.91M,-237.28M,,,84.53M,,-118.69M,-118.69M,,-33.08M,,-67.23M,527.91M,350.60M,878.51M,,,,-118.69M
2001-09,131.62M,,,,-6.82M,140.91M,13.40M,154.32M,154.32M,-7.349M,,,,-205.78M,-64.96M,-19.59M,227.26M,,,-63.07M,208.70M,-65.15M,,-65.15M,-51.27M,113.63M,-4.164M,-6.943M,,,-307.56M,,-10.82M,-10.82M,,-31.55M,,-349.93M,676.09M,-148.17M,527.91M,,,,-10.82M
2001-06,56.10M,,,,113.56M,139.52M,13.10M,152.62M,152.62M,-4.10M,,,,-18.75M,103.24M,104.63M,-150.72M,,,38.40M,356.58M,-60.03M,,-60.03M,-121.51M,140.87M,-26.63M,-67.29M,,,-117.09M,,-45.43M,-45.43M,,-31.27M,,-193.78M,580.58M,95.50M,676.09M,,,,-45.43M
2001-03,93.15M,,,,-113.42M,139.90M,12.53M,152.43M,152.43M,-3.094M,,,,159.28M,437.74M,-32.73M,-583.81M,,,-19.52M,109.55M,-65.60M,,-65.60M,0.00,143.75M,-32.15M,46.00M,,,-85.01M,,0.00,0.00,,-31.68M,,-116.69M,541.73M,38.86M,580.58M,,,,0.00
2000-12,124.61M,,,,68.86M,145.54M,12.24M,157.78M,157.78M,17.67M,,,,-47.96M,-403.76M,-41.53M,135.28M,,,-357.96M,10.96M,-70.80M,,-70.80M,0.00,16.46M,-75.97M,-130.31M,,,169.60M,,0.00,0.00,,-31.69M,,137.91M,523.17M,18.56M,541.73M,,,,0.00
2000-09,109.43M,,,,3.245M,147.43M,11.72M,159.15M,159.15M,-6.558M,,,,-164.59M,92.07M,-28.82M,223.17M,,,121.83M,387.09M,-76.74M,,-76.74M,-3.129M,77.58M,-36.51M,-38.80M,,,-254.42M,,-17.50M,-17.50M,,-30.42M,,-302.35M,477.23M,45.94M,523.17M,,,,-17.50M
2000-06,59.59M,,,,124.75M,-455.13M,-31.96M,160.56M,160.56M,-25.12M,,,,-67.51M,218.28M,-16.62M,-24.85M,,,105.96M,425.74M,-86.18M,,-86.18M,-7.696M,-53.65M,-41.53M,-189.06M,,,-209.43M,,-14.84M,-14.84M,,-30.13M,,-254.40M,494.95M,-17.73M,477.23M,,,,-14.84M
2000-03,103.03M,,,,-35.31M,152.45M,10.98M,163.43M,163.43M,-8.112M,,,,114.66M,-40.55M,-10.57M,-286.60M,,,-223.06M,-0.03M,-80.75M,,-80.75M,-22.73M,64.17M,-78.64M,-117.95M,,,142.95M,,-71.17M,-71.17M,,-30.42M,,41.36M,571.60M,-76.62M,494.95M,,,,-71.17M
1999-12,101.92M,,,,23.52M,154.10M,10.72M,164.82M,164.82M,6.284M,,,,-150.84M,-262.88M,52.43M,159.55M,,,-201.74M,94.80M,-113.06M,,-113.06M,,-18.64M,-202.35M,-334.06M,,,185.99M,,-61.48M,-61.48M,,-30.40M,,94.11M,716.71M,-145.14M,571.60M,,,,-61.48M
1999-09,36.37M,,,,28.78M,148.58M,10.26M,158.84M,158.84M,3.132M,,,,-174.70M,-75.28M,-25.24M,342.98M,,,67.77M,294.89M,-148.74M,,-148.74M,,-180.06M,-89.55M,-418.34M,,,251.71M,,-63.42M,-63.42M,,-29.50M,,158.79M,681.38M,35.33M,716.71M,,,,-63.42M
1999-06,42.30M,,,,-35.30M,,,160.20M,160.20M,22.60M,,,-0.20M,-76.70M,262.70M,,172.90M,-78.90M,,280.00M,469.60M,-194.00M,,-194.00M,,48.40M,4.00M,-141.60M,,,-118.60M,,-79.80M,-79.80M,,-22.30M,,-220.70M,574.00M,107.30M,681.40M,,,,-79.80M
1999-03,11.70M,,,,31.20M,,,159.00M,159.00M,1.30M,,,0.00,-0.40M,105.80M,,-108.20M,23.70M,,20.90M,224.10M,-193.40M,,-193.40M,,59.30M,-30.00M,-164.10M,,,161.70M,,-96.60M,-96.60M,,-27.60M,0.10M,37.60M,0.00,97.60M,574.00M,,,,-96.60M
1998-12,110.40M,,,,34.80M,,,154.60M,154.60M,22.70M,,,0.20M,225.50M,-371.50M,,-86.70M,-15.40M,,-248.10M,74.60M,-200.40M,,-200.40M,,98.40M,-26.10M,-128.10M,,,214.40M,,-39.90M,-39.90M,,-28.50M,-0.10M,145.90M,0.00,92.40M,0.00,,,,-39.90M
1998-09,116.90M,,,,-37.00M,,,148.40M,148.40M,3.10M,,,-0.10M,-91.50M,-76.80M,,381.20M,7.30M,,220.20M,451.50M,-219.70M,,-219.70M,,297.80M,-65.30M,12.80M,,,-300.70M,,-97.50M,-97.50M,,-28.40M,,-426.60M,346.30M,37.70M,0.00,,,,-97.50M
1998-06,62.70M,,,,38.50M,,,161.80M,161.80M,11.30M,,,,-47.30M,-36.70M,,124.90M,53.30M,,94.20M,368.50M,-196.10M,,-196.10M,,-378.60M,308.00M,-266.70M,,,27.00M,,-39.10M,-39.10M,,-26.90M,0.20M,-38.80M,283.50M,63.00M,346.30M,,,,-39.10M
1998-03,70.30M,,,,9.00M,,,140.70M,140.70M,5.70M,,,0.20M,55.00M,21.70M,,-178.90M,-34.10M,,-136.30M,89.60M,-557.10M,,-557.10M,,23.20M,313.50M,-220.40M,,,-4.90M,,0.00,0.00,,-28.30M,-0.10M,-33.30M,0.00,-164.10M,283.50M,,,,0.00
