,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2005-12,823.87M,,823.87M,4.225B,,,4.225B,4.363B,,993.13M,628.50M,11.03B,0.0,209.71M,2.722B,10.94B,347.47M,14.22B,-9.054B,5.171B,,323.84M,323.84M,,3.570B,9.065B,20.10B,3.947B,,,3.947B,1.446B,5.393B,,588.70M,,588.70M,,,,5.982B,4.025B,4.025B,679.95M,679.95M,,,546.56M,5.252B,11.23B,5.487B,3.414B,,,,,-36.39M,8.865B
2005-09,1.155B,,1.155B,4.309B,,,4.309B,4.159B,,891.73M,304.16M,10.82B,0.0,211.81M,2.733B,11.05B,295.68M,14.30B,-9.082B,5.214B,,345.02M,345.02M,,3.475B,9.034B,19.85B,3.643B,,,3.643B,1.565B,5.208B,,649.69M,,649.69M,,,,5.858B,4.072B,4.072B,771.19M,771.19M,,,501.81M,5.345B,11.20B,5.431B,3.141B,,,,,78.29M,8.650B
2005-06,522.00M,,522.00M,4.102B,,,4.102B,3.907B,,908.00M,272.00M,9.711B,0.0,209.00M,2.66B,10.96B,299.00M,14.13B,-8.946B,5.184B,325.00M,,325.00M,,3.378B,8.887B,18.60B,3.399B,,,3.399B,1.319B,4.718B,,649.00M,,649.00M,,,,5.367B,3.53B,3.53B,779.00M,779.00M,,,489.00M,4.798B,10.16B,5.386B,3.011B,,,,,37.00M,8.433B
2005-03,661.88M,1.001B,1.663B,3.991B,,,3.991B,3.967B,,,423.57M,10.04B,0.0,209.86M,2.664B,10.97B,324.59M,14.17B,-8.923B,5.249B,,344.62M,344.62M,,3.344B,8.937B,18.98B,3.652B,,,3.652B,1.356B,5.008B,,452.97M,,452.97M,,,,5.461B,3.575B,3.575B,756.71M,756.71M,,,615.63M,4.948B,10.41B,5.493B,2.879B,,,,,201.61M,8.573B
2004-12,334.32M,914.32M,1.249B,4.199B,,,4.199B,4.203B,,,433.41M,10.08B,0.0,199.29M,2.670B,11.01B,255.13M,14.14B,-8.864B,5.272B,,343.99M,343.99M,,3.675B,9.291B,19.38B,3.890B,,,3.890B,1.092B,4.982B,,811.84M,,811.84M,,,,5.794B,3.695B,3.695B,762.52M,762.52M,,,592.97M,5.051B,10.84B,5.474B,2.665B,,,,,391.55M,8.531B
2004-09,507.22M,910.91M,1.418B,4.339B,,,4.339B,3.734B,,,362.43M,9.854B,0.0,192.29M,2.594B,10.78B,273.97M,13.84B,-8.604B,5.240B,,337.92M,337.92M,,3.461B,9.039B,18.89B,3.591B,,,3.591B,1.391B,4.982B,,1.157B,,1.157B,,,,6.139B,3.690B,3.690B,609.67M,609.67M,,,551.41M,4.851B,10.99B,5.448B,2.401B,,,,,54.15M,7.903B
2004-06,540.21M,871.44M,1.412B,4.041B,,,4.041B,4.592B,,,294.94M,10.34B,0.0,190.14M,2.568B,10.66B,263.33M,13.68B,-8.425B,5.255B,,337.47M,337.47M,,3.438B,9.030B,19.37B,3.238B,,,3.238B,1.581B,4.819B,,1.931B,,1.931B,,,,6.750B,3.740B,3.740B,653.83M,653.83M,,,526.66M,4.920B,11.67B,5.432B,2.184B,,,-23.96M,106.91M,82.96M,7.698B
2004-03,805.02M,881.22M,1.686B,4.943B,,,4.943B,5.294B,,,224.54M,12.15B,0.0,181.33M,2.571B,10.50B,234.45M,13.49B,-8.242B,5.246B,,338.10M,338.10M,,3.381B,8.964B,21.11B,3.712B,,,3.712B,1.495B,5.207B,,2.829B,,2.829B,,,,8.036B,3.858B,3.858B,729.85M,729.85M,,,604.60M,5.193B,13.23B,5.411B,2.334B,,,,,138.19M,7.884B
2003-12,537.12M,710.83M,1.248B,4.380B,,,4.380B,5.013B,,,387.54M,11.03B,0.0,184.56M,2.582B,10.42B,266.45M,13.45B,-8.119B,5.333B,,342.67M,342.67M,,3.235B,8.911B,19.94B,3.771B,,,3.771B,1.339B,5.109B,,2.133B,,2.133B,,,,7.242B,3.865B,3.865B,644.02M,644.02M,,,581.29M,5.090B,12.33B,5.387B,2.156B,,,,,62.07M,7.606B
2003-09,765.98M,599.01M,1.365B,3.673B,,,3.673B,3.761B,,,296.54M,9.095B,0.0,179.94M,2.513B,10.26B,257.03M,13.21B,-7.864B,5.343B,,338.43M,338.43M,,2.910B,8.591B,17.69B,3.096B,,,3.096B,1.166B,4.262B,,1.220B,,1.220B,,,,5.481B,3.855B,3.855B,587.55M,587.55M,,,545.24M,4.988B,10.47B,5.379B,1.974B,,,,,-136.05M,7.217B
