,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,146.00M,146.00M,2.103B,2.103B,515.00M,49.00M,2.213B,2.591B,110.00M,580.00M,514.00M,6.044B,0.00,74.00M,1.186B,7.549B,,8.809B,-5.824B,2.985B,1.728B,1.821B,3.549B,,954.00M,7.488B,13.53B,,2.805B,2.805B,970.00M,3.775B,393.00M,,,202.00M,595.00M,595.00M,,,887.00M,5.563B,2.002B,,2.002B,,,2.327B,67.00M,567.00M,4.896B,10.46B,,104.00M,3.993B,2.033B,1.865B,,,-1.259B,3.006B,,AOR,Restated
2008-09,425.00M,425.00M,2.603B,2.603B,741.00M,,2.456B,3.053B,,340.00M,746.00M,7.167B,0.00,76.00M,1.224B,7.884B,,9.184B,-6.095B,3.089B,1.743B,1.838B,3.581B,,633.00M,7.303B,14.47B,,3.282B,3.282B,1.015B,4.297B,853.00M,,,203.00M,1.056B,1.056B,,,1.048B,6.401B,1.964B,,1.964B,,,,89.00M,2.044B,4.008B,10.41B,,104.00M,3.979B,2.029B,1.865B,,,-275.00M,3.972B,,,Restated
2008-06,461.00M,461.00M,2.628B,2.628B,737.00M,,2.403B,2.996B,,307.00M,934.00M,7.326B,0.00,82.00M,1.286B,8.316B,,9.684B,-6.397B,3.287B,1.745B,1.853B,3.598B,,628.00M,7.513B,14.84B,,3.399B,3.399B,1.028B,4.427B,562.00M,,,203.00M,765.00M,765.00M,,,987.00M,6.179B,1.967B,,1.967B,,,,98.00M,2.382B,4.349B,10.53B,,104.00M,3.849B,2.008B,1.769B,,,21.00M,4.213B,,,Restated
2008-03,321.00M,321.00M,2.564B,2.564B,690.00M,,2.366B,2.912B,,306.00M,899.00M,7.002B,0.00,85.00M,1.282B,8.141B,,9.508B,-6.236B,3.272B,1.744B,1.859B,3.603B,,626.00M,7.501B,14.50B,,3.165B,3.165B,980.00M,4.145B,638.00M,,,4.00M,642.00M,642.00M,,,924.00M,5.711B,2.166B,,2.166B,,,,79.00M,2.476B,4.642B,10.35B,,104.00M,3.764B,1.999B,1.715B,,,-81.00M,4.071B,,,Restated
2007-12,201.00M,201.00M,2.604B,2.604B,525.00M,52.00M,2.232B,2.665B,89.00M,324.00M,672.00M,6.555B,0.00,84.00M,1.226B,7.861B,,9.171B,-5.959B,3.212B,1.76B,1.854B,3.614B,,628.00M,7.454B,14.01B,,3.26B,3.26B,1.574B,4.834B,298.00M,,,127.00M,425.00M,425.00M,,,634.00M,5.893B,1.668B,,1.668B,,,1.786B,69.00M,682.00M,4.136B,10.03B,,103.00M,3.703B,1.993B,1.618B,,,-270.00M,3.911B,,,Restated
2007-09,258.00M,258.00M,2.755B,2.755B,517.00M,,2.552B,2.934B,,326.00M,737.00M,7.01B,0.00,88.00M,1.19B,7.648B,,8.926B,-5.827B,3.099B,1.777B,1.858B,3.635B,522.00M,212.00M,7.468B,14.48B,,3.217B,3.217B,1.186B,4.403B,776.00M,,,135.00M,911.00M,911.00M,64.00M,64.00M,969.00M,6.347B,1.668B,,1.668B,316.00M,316.00M,,68.00M,2.309B,4.293B,10.64B,,103.00M,3.549B,1.966B,1.501B,,,-347.00M,3.77B,,,
2007-06,343.00M,343.00M,2.683B,2.683B,540.00M,,2.405B,2.81B,,374.00M,656.00M,6.866B,0.00,90.00M,1.17B,7.433B,,8.693B,-5.613B,3.08B,1.76B,1.855B,3.615B,534.00M,194.00M,7.423B,14.29B,,3.191B,3.191B,1.071B,4.262B,788.00M,,,137.00M,925.00M,925.00M,63.00M,63.00M,972.00M,6.222B,1.677B,,1.677B,313.00M,313.00M,,57.00M,2.453B,4.443B,10.66B,,103.00M,3.407B,1.951B,1.351B,,,-543.00M,3.567B,,,
2007-03,241.00M,241.00M,2.525B,2.525B,497.00M,,2.294B,2.656B,107.00M,381.00M,543.00M,6.453B,0.00,93.00M,1.147B,7.297B,,8.537B,-5.448B,3.089B,1.76B,1.861B,3.621B,514.00M,193.00M,7.417B,13.87B,,3.005B,3.005B,1.126B,4.131B,667.00M,,,137.00M,804.00M,804.00M,58.00M,58.00M,904.00M,5.897B,1.674B,,1.674B,320.00M,320.00M,,57.00M,2.477B,4.471B,10.37B,,103.00M,3.28B,1.905B,1.25B,,,-593.00M,3.445B,,,
2006-12,262.00M,262.00M,2.676B,2.676B,503.00M,,1.98B,2.348B,95.00M,372.00M,764.00M,6.517B,0.00,94.00M,1.174B,7.186B,,8.454B,-5.297B,3.157B,1.663B,1.871B,3.534B,,551.00M,7.242B,13.76B,,2.945B,2.945B,1.248B,4.193B,521.00M,,,17.00M,538.00M,538.00M,,,1.312B,6.043B,1.798B,,1.798B,,,,48.00M,2.587B,4.385B,10.43B,,102.00M,3.205B,1.869B,1.25B,-376.00M,-267.00M,-643.00M,3.283B,,,
2006-09,109.00M,109.00M,2.669B,2.669B,546.00M,,2.164B,2.585B,178.00M,270.00M,1.00B,6.811B,0.00,89.00M,1.181B,6.919B,,8.189B,-5.061B,3.128B,1.678B,1.601B,3.279B,480.00M,248.00M,7.135B,13.95B,,2.913B,2.913B,1.11B,4.023B,628.00M,,,210.00M,838.00M,838.00M,47.00M,47.00M,1.41B,6.318B,1.799B,,1.799B,426.00M,426.00M,,53.00M,2.242B,4.467B,10.78B,,102.00M,3.13B,1.839B,1.25B,,,-713.00M,3.108B,,,
2006-06,301.00M,301.00M,2.571B,2.571B,535.00M,,2.134B,2.544B,183.00M,233.00M,1.109B,6.941B,0.00,89.00M,1.319B,7.685B,,9.093B,-5.966B,3.127B,1.801B,1.61B,3.411B,446.00M,253.00M,7.237B,14.18B,,2.887B,2.887B,1.061B,3.948B,332.00M,,,864.00M,1.196B,1.196B,49.00M,49.00M,1.434B,6.627B,1.802B,,1.802B,373.00M,373.00M,,44.00M,2.337B,4.512B,11.14B,,102.00M,3.049B,1.821B,1.25B,,,-727.00M,2.995B,,,
2006-03,244.00M,244.00M,2.692B,2.692B,508.00M,,2.173B,2.548B,121.00M,288.00M,357.00M,6.25B,0.00,113.00M,1.146B,6.791B,,8.05B,-4.842B,3.208B,1.667B,1.873B,3.54B,486.00M,250.00M,7.484B,13.73B,,2.837B,2.837B,1.037B,3.874B,1.097B,,,595.00M,1.692B,1.692B,48.00M,48.00M,812.00M,6.426B,1.308B,,1.308B,279.00M,279.00M,,104.00M,2.758B,4.345B,10.77B,,102.00M,2.991B,1.78B,1.25B,,,-764.00M,2.859B,,,
2005-12,524.00M,524.00M,2.081B,2.081B,299.00M,64.00M,1.361B,1.591B,148.00M,134.00M,285.00M,4.763B,0.00,80.00M,1.033B,6.108B,,7.221B,-4.71B,2.511B,169.00M,115.00M,284.00M,472.00M,271.00M,3.538B,8.301B,,2.33B,2.33B,933.00M,3.263B,131.00M,,,365.00M,496.00M,496.00M,61.00M,61.00M,534.00M,4.354B,745.00M,,745.00M,167.00M,167.00M,,92.00M,1.198B,2.11B,6.464B,,92.00M,2.902B,863.00M,1.25B,,,-862.00M,1.745B,,,
2005-09,228.00M,228.00M,2.065B,2.065B,360.00M,,1.517B,1.758B,81.00M,152.00M,343.00M,4.627B,0.00,84.00M,1.064B,5.987B,,7.135B,-4.669B,2.466B,,271.00M,271.00M,326.00M,579.00M,3.642B,8.269B,,2.108B,2.108B,849.00M,2.957B,287.00M,,,368.00M,655.00M,655.00M,47.00M,47.00M,535.00M,4.194B,746.00M,,746.00M,212.00M,212.00M,,97.00M,1.127B,2.085B,6.279B,,91.00M,2.806B,812.00M,1.25B,,,-566.00M,1.893B,,,
2005-06,188.00M,188.00M,2.123B,2.123B,362.00M,,1.529B,1.772B,84.00M,160.00M,299.00M,4.626B,0.00,88.00M,1.073B,5.919B,,7.08B,-4.607B,2.473B,,272.00M,272.00M,319.00M,508.00M,3.572B,8.198B,,2.047B,2.047B,809.00M,2.856B,515.00M,,,8.00M,523.00M,523.00M,49.00M,49.00M,516.00M,3.944B,1.113B,,1.113B,215.00M,215.00M,,91.00M,1.116B,2.444B,6.388B,,90.00M,2.721B,777.00M,1.25B,,,-619.00M,1.719B,,,
2005-03,184.00M,184.00M,1.992B,1.992B,414.00M,,1.616B,1.911B,85.00M,185.00M,263.00M,4.62B,0.00,89.00M,1.065B,5.864B,,7.018B,-4.533B,2.485B,,273.00M,273.00M,313.00M,492.00M,3.563B,8.183B,,2.094B,2.094B,766.00M,2.86B,550.00M,,,9.00M,559.00M,559.00M,55.00M,55.00M,530.00M,4.004B,1.135B,,1.135B,224.00M,224.00M,,69.00M,1.123B,2.482B,6.486B,,90.00M,2.653B,759.00M,1.216B,,,-658.00M,1.628B,,,
2004-12,243.00M,243.00M,2.032B,2.032B,353.00M,57.00M,1.41B,1.701B,74.00M,189.00M,275.00M,4.514B,0.00,91.00M,1.073B,5.933B,,7.097B,-4.514B,2.583B,,276.00M,276.00M,323.00M,485.00M,3.667B,8.181B,,2.297B,2.297B,811.00M,3.108B,244.00M,,,7.00M,251.00M,251.00M,57.00M,57.00M,569.00M,3.985B,1.16B,,1.16B,240.00M,240.00M,,68.00M,1.122B,2.522B,6.507B,,90.00M,2.596B,737.00M,1.216B,,,-601.00M,1.606B,,,
2004-09,219.00M,219.00M,2.06B,2.06B,369.00M,,1.444B,1.688B,74.00M,144.00M,216.00M,4.401B,0.00,90.00M,1.022B,5.483B,,6.595B,-4.269B,2.326B,,269.00M,269.00M,293.00M,558.00M,3.446B,7.847B,,2.09B,2.09B,755.00M,2.845B,416.00M,,,10.00M,426.00M,426.00M,41.00M,41.00M,621.00M,3.933B,1.127B,,1.127B,213.00M,213.00M,,65.00M,1.129B,2.469B,6.402B,,90.00M,2.527B,726.00M,1.216B,,,-747.00M,1.38B,,,
2004-06,193.00M,193.00M,2.059B,2.059B,349.00M,,1.327B,1.554B,56.00M,137.00M,195.00M,4.194B,0.00,82.00M,989.00M,5.36B,,6.431B,-4.122B,2.309B,,273.00M,273.00M,281.00M,512.00M,3.375B,7.569B,,1.963B,1.963B,660.00M,2.623B,512.00M,,,10.00M,522.00M,522.00M,47.00M,47.00M,636.00M,3.828B,1.124B,,1.124B,200.00M,200.00M,,57.00M,1.106B,2.43B,6.258B,,90.00M,2.454B,722.00M,1.215B,,,-797.00M,1.254B,,,
2004-03,188.00M,188.00M,1.866B,1.866B,348.00M,,1.283B,1.506B,67.00M,121.00M,186.00M,3.934B,0.00,82.00M,988.00M,5.383B,,6.453B,-4.089B,2.364B,,275.00M,275.00M,290.00M,535.00M,3.464B,7.398B,,1.846B,1.846B,604.00M,2.45B,452.00M,,,10.00M,462.00M,462.00M,53.00M,53.00M,569.00M,3.534B,1.125B,,1.125B,225.00M,225.00M,,62.00M,1.096B,2.446B,5.98B,,90.00M,2.377B,718.00M,1.04B,,,-789.00M,1.356B,,,
2003-12,249.00M,249.00M,1.913B,1.913B,284.00M,64.00M,1.118B,1.34B,62.00M,129.00M,172.00M,3.865B,0.00,84.00M,1.004B,5.391B,,6.479B,-4.023B,2.456B,,250.00M,250.00M,268.00M,522.00M,3.496B,7.361B,,1.944B,1.944B,701.00M,2.645B,260.00M,,,19.00M,279.00M,279.00M,48.00M,48.00M,617.00M,3.589B,1.134B,,1.134B,236.00M,236.00M,,63.00M,1.038B,2.408B,5.997B,,88.00M,2.276B,659.00M,965.00M,,,-757.00M,1.301B,,,
2003-09,231.00M,231.00M,1.876B,1.876B,312.00M,,1.197B,1.368B,69.00M,150.00M,181.00M,3.875B,0.00,89.00M,983.00M,5.118B,,6.19B,-3.874B,2.316B,,346.00M,346.00M,278.00M,361.00M,3.301B,7.176B,,1.709B,1.709B,702.00M,2.411B,485.00M,,,13.00M,498.00M,498.00M,75.00M,75.00M,608.00M,3.592B,1.113B,,1.113B,123.00M,123.00M,,62.00M,1.163B,2.399B,5.991B,,88.00M,2.204B,644.00M,900.00M,,,-913.00M,1.123B,,,
2003-06,190.00M,190.00M,1.951B,1.951B,326.00M,,1.167B,1.352B,72.00M,155.00M,186.00M,3.906B,0.00,90.00M,980.00M,5.146B,,6.216B,-3.845B,2.371B,,342.00M,342.00M,358.00M,201.00M,3.272B,7.178B,,1.653B,1.653B,675.00M,2.328B,630.00M,,,15.00M,645.00M,645.00M,73.00M,73.00M,654.00M,3.70B,1.117B,,1.117B,122.00M,122.00M,,93.00M,1.152B,2.391B,6.091B,,87.00M,2.123B,599.00M,900.00M,,,-915.00M,994.00M,,,
2003-03,157.00M,157.00M,1.813B,1.813B,312.00M,,1.131B,1.302B,74.00M,139.00M,126.00M,3.611B,0.00,88.00M,973.00M,4.883B,,5.944B,-3.632B,2.312B,,342.00M,342.00M,341.00M,188.00M,3.183B,6.794B,,1.60B,1.60B,591.00M,2.191B,696.00M,,,14.00M,710.00M,710.00M,68.00M,68.00M,553.00M,3.522B,1.091B,,1.091B,135.00M,135.00M,,82.00M,1.123B,2.349B,5.871B,,87.00M,2.053B,587.00M,900.00M,,,-986.00M,841.00M,,,
2002-12,192.00M,192.00M,1.781B,1.781B,226.00M,71.00M,928.00M,1.089B,64.00M,83.00M,118.00M,3.327B,0.00,87.00M,954.00M,4.793B,,5.834B,-3.496B,2.338B,,343.00M,343.00M,437.00M,186.00M,3.304B,6.631B,,1.631B,1.631B,664.00M,2.295B,221.00M,,,211.00M,432.00M,432.00M,100.00M,100.00M,678.00M,3.505B,1.092B,,1.092B,117.00M,117.00M,,78.00M,1.10B,2.309B,5.814B,,87.00M,1.985B,582.00M,916.00M,,,-999.00M,739.00M,,,
2002-09,183.00M,183.00M,1.772B,1.772B,259.00M,,1.014B,1.137B,86.00M,58.00M,132.00M,3.368B,0.00,74.00M,910.00M,4.626B,,5.61B,-3.425B,2.185B,129.00M,,129.00M,314.00M,492.00M,3.12B,6.488B,,1.391B,1.391B,656.00M,2.047B,518.00M,,,209.00M,727.00M,727.00M,125.00M,125.00M,429.00M,3.328B,1.085B,,1.085B,198.00M,198.00M,,76.00M,926.00M,2.209B,5.537B,,87.00M,2.037B,565.00M,916.00M,,,-898.00M,875.00M,,,
2002-06,139.00M,139.00M,1.76B,1.76B,266.00M,,1.036B,1.166B,80.00M,90.00M,150.00M,3.385B,0.00,64.00M,931.00M,4.426B,,5.421B,-3.406B,2.015B,72.00M,,72.00M,347.00M,542.00M,2.976B,6.361B,,1.382B,1.382B,668.00M,2.05B,419.00M,,,215.00M,634.00M,634.00M,126.00M,126.00M,417.00M,3.227B,1.087B,,1.087B,180.00M,180.00M,,89.00M,901.00M,2.168B,5.395B,,87.00M,1.959B,563.00M,916.00M,,,-816.00M,877.00M,,,
2002-03,138.00M,138.00M,1.62B,1.62B,289.00M,,1.052B,1.205B,72.00M,117.00M,151.00M,3.303B,0.00,62.00M,885.00M,4.38B,,5.327B,-3.327B,2.00B,,678.00M,678.00M,354.00M,566.00M,3.598B,6.901B,,1.351B,1.351B,670.00M,2.021B,469.00M,,,214.00M,683.00M,683.00M,111.00M,111.00M,370.00M,3.185B,1.055B,,1.055B,177.00M,177.00M,,101.00M,864.00M,2.096B,5.281B,,87.00M,2.531B,547.00M,916.00M,,,-730.00M,1.519B,,,
2001-12,316.00M,316.00M,1.515B,1.515B,239.00M,58.00M,949.00M,1.11B,59.00M,176.00M,135.00M,3.311B,0.00,56.00M,886.00M,4.372B,,5.314B,-3.262B,2.052B,685.00M,,685.00M,354.00M,565.00M,3.656B,6.967B,,1.427B,1.427B,862.00M,2.289B,148.00M,,,19.00M,167.00M,167.00M,102.00M,102.00M,524.00M,3.082B,1.295B,,1.295B,177.00M,177.00M,,127.00M,828.00M,2.30B,5.382B,,86.00M,2.47B,480.00M,881.00M,,,-697.00M,1.458B,,,
2001-09,157.00M,157.00M,1.70B,1.70B,284.00M,,941.00M,1.081B,236.00M,144.00M,,3.318B,0.00,58.00M,798.00M,4.253B,,5.109B,-3.199B,1.91B,,729.00M,729.00M,226.00M,738.00M,3.603B,6.921B,,1.276B,1.276B,915.00M,2.191B,378.00M,,,17.00M,395.00M,395.00M,,,571.00M,3.157B,1.27B,,1.27B,157.00M,157.00M,,130.00M,764.00M,2.191B,5.348B,,85.00M,2.471B,467.00M,882.00M,,,-698.00M,1.443B,,,
2001-06,153.00M,153.00M,1.648B,1.648B,268.00M,,975.00M,1.099B,225.00M,31.00M,,3.156B,0.00,58.00M,789.00M,4.221B,,5.068B,-3.128B,1.94B,,710.00M,710.00M,219.00M,736.00M,3.605B,6.761B,,1.174B,1.174B,841.00M,2.015B,828.00M,,,17.00M,845.00M,845.00M,,,265.00M,3.125B,1.00B,,1.00B,156.00M,156.00M,,135.00M,777.00M,1.933B,5.058B,,84.00M,2.588B,414.00M,828.00M,,,-690.00M,1.568B,,,
2001-03,177.00M,177.00M,1.64B,1.64B,292.00M,,1.003B,1.127B,201.00M,27.00M,,3.172B,0.00,59.00M,784.00M,4.261B,,5.104B,-3.099B,2.005B,,731.00M,731.00M,226.00M,763.00M,3.725B,6.897B,,1.121B,1.121B,768.00M,1.889B,1.05B,,,18.00M,1.068B,1.068B,,,282.00M,3.239B,1.005B,,1.005B,157.00M,157.00M,,138.00M,772.00M,1.934B,5.173B,,84.00M,2.558B,398.00M,828.00M,,,-626.00M,1.586B,,,
2000-12,114.00M,114.00M,,1.748B,,,,1.119B,,,256.00M,3.237B,,,,,,5.276B,-3.142B,2.134B,,762.00M,762.00M,,769.00M,3.665B,6.902B,,1.257B,1.257B,,1.257B,,,,,990.00M,990.00M,,,1.056B,3.303B,795.00M,,795.00M,175.00M,175.00M,,147.00M,798.00M,1.768B,5.071B,,84.00M,2.539B,393.00M,826.00M,-495.00M,-11.00M,-506.00M,1.684B,,,
2000-09,266.00M,266.00M,,1.59B,,,,1.147B,,,311.00M,3.314B,,,,,,5.129B,-3.077B,2.052B,,776.00M,776.00M,,746.00M,3.574B,6.888B,,1.045B,1.045B,,1.045B,,,,,1.185B,1.185B,,,1.123B,3.353B,785.00M,,785.00M,142.00M,142.00M,,153.00M,791.00M,1.718B,5.071B,,84.00M,2.495B,391.00M,826.00M,-470.00M,-10.00M,-480.00M,1.664B,,,
2000-06,159.00M,159.00M,,1.62B,,,,1.297B,,,337.00M,3.413B,,,,,,5.191B,-3.08B,2.111B,,787.00M,787.00M,,721.00M,3.619B,7.032B,,1.11B,1.11B,,1.11B,,,,,1.121B,1.121B,,,1.079B,3.31B,781.00M,,781.00M,147.00M,147.00M,,154.00M,787.00M,1.715B,5.025B,,84.00M,2.451B,389.00M,626.00M,-437.00M,-8.00M,-445.00M,1.853B,,,
2000-03,175.00M,175.00M,,1.598B,,,,1.237B,,,311.00M,3.321B,,,,,,5.183B,-3.035B,2.148B,,797.00M,797.00M,,698.00M,3.643B,6.964B,,1.174B,1.174B,,1.174B,,,,,1.204B,1.204B,,,1.084B,3.462B,520.00M,,520.00M,148.00M,148.00M,,154.00M,781.00M,1.449B,4.911B,,84.00M,2.354B,383.00M,497.00M,,,-425.00M,1.899B,,,
1999-12,261.00M,261.00M,,1.477B,,,,1.065B,,,374.00M,3.177B,,,,,,5.182B,-3.004B,2.178B,,795.00M,795.00M,,676.00M,3.649B,6.826B,,1.081B,1.081B,,1.081B,,,,,669.00M,669.00M,,,1.142B,2.892B,714.00M,,714.00M,157.00M,157.00M,,416.00M,780.00M,1.651B,4.543B,,84.00M,2.268B,374.00M,410.00M,-443.00M,-6.00M,-449.00M,1.867B,,,
1999-09,230.00M,230.00M,,1.708B,,,,1.079B,,,372.00M,3.389B,,,,,,5.169B,-3.056B,2.113B,,820.00M,820.00M,,677.00M,3.61B,6.999B,,1.017B,1.017B,,1.017B,,,,,927.00M,927.00M,,,1.186B,3.13B,772.00M,,772.00M,154.00M,154.00M,,393.00M,785.00M,1.711B,4.841B,,84.00M,2.18B,370.00M,408.00M,,,-461.00M,1.765B,,,
1999-06,265.00M,265.00M,,1.71B,,,,1.172B,,,367.00M,3.514B,,,,,,5.122B,-3.001B,2.121B,,811.00M,811.00M,,646.00M,3.578B,7.092B,,994.00M,994.00M,,994.00M,,,,,1.077B,1.077B,,,1.119B,3.19B,765.00M,,765.00M,155.00M,155.00M,,419.00M,779.00M,1.699B,4.889B,,,2.098B,,,,,,1.784B,,,
1999-03,410.00M,410.00M,,1.614B,,,,1.171B,,,371.00M,3.566B,,,,,,5.105B,-2.958B,2.147B,,884.00M,884.00M,,639.00M,3.67B,7.236B,,964.00M,964.00M,,964.00M,,,,,1.01B,1.01B,,,1.104B,3.078B,1.031B,,1.031B,146.00M,146.00M,,437.00M,782.00M,1.959B,5.037B,,,2.025B,,,,,,1.762B,,,
1998-12,636.00M,636.00M,,1.711B,,,,1.10B,,,435.00M,3.882B,,,,,,5.511B,-3.093B,2.418B,,936.00M,936.00M,,699.00M,4.053B,7.935B,,1.079B,1.079B,,1.079B,,,,,930.00M,930.00M,,,1.258B,3.267B,1.087B,,1.087B,152.00M,152.00M,,614.00M,814.00M,2.053B,5.32B,,83.00M,2.024B,321.00M,241.00M,-183.00M,-3.00M,-186.00M,2.001B,,,
1998-09,601.00M,601.00M,,1.77B,,,,1.217B,,,449.00M,4.037B,,,,,,5.508B,-3.126B,2.382B,,999.00M,999.00M,,688.00M,4.069B,8.106B,,1.007B,1.007B,,1.007B,,,,,965.00M,965.00M,,,1.247B,3.219B,1.218B,,1.218B,197.00M,197.00M,,686.00M,834.00M,2.249B,5.468B,,,1.966B,,,,,,1.952B,,,
1998-06,606.00M,606.00M,,1.831B,,,,1.224B,,,477.00M,4.138B,,,,,,5.367B,-3.024B,2.343B,,916.00M,916.00M,,675.00M,3.934B,8.072B,,970.00M,970.00M,,970.00M,,,,,1.061B,1.061B,,,1.228B,3.259B,1.152B,,1.152B,192.00M,192.00M,,762.00M,812.00M,2.156B,5.415B,,,1.913B,,,,,,1.895B,,,
1998-03,618.00M,618.00M,,1.662B,,,,1.174B,,,483.00M,3.937B,,,,,,5.317B,-2.947B,2.37B,,919.00M,919.00M,,667.00M,3.956B,7.893B,,931.00M,931.00M,,931.00M,,,,,981.00M,981.00M,,,1.218B,3.13B,1.151B,,1.151B,194.00M,194.00M,,787.00M,803.00M,2.148B,5.278B,,,1.855B,,,,,,1.828B,,,
1997-12,578.00M,578.00M,,1.565B,,,,1.17B,,,968.00M,4.281B,,,,,,5.262B,-2.887B,2.375B,,916.00M,916.00M,,698.00M,3.989B,8.27B,,987.00M,987.00M,,987.00M,,,,,1.354B,1.354B,,,1.335B,3.676B,1.074B,,1.074B,190.00M,190.00M,,773.00M,786.00M,2.05B,5.726B,,,1.801B,,,,,,1.771B,,,
1997-09,90.00M,90.00M,,1.312B,,,,911.00M,,,1.974B,4.287B,,,,,,3.683B,-2.119B,1.564B,,757.00M,757.00M,,1.026B,3.347B,7.634B,,810.00M,810.00M,,810.00M,,,,,2.055B,2.055B,,,1.128B,3.993B,900.00M,,900.00M,,,,131.00M,899.00M,1.799B,5.792B,,,1.735B,,,,,,1.711B,,,
1997-06,172.00M,172.00M,,2.406B,,,,1.097B,,,275.00M,3.95B,,,,,,3.757B,-2.075B,1.682B,,795.00M,795.00M,,1.532B,4.009B,7.959B,,863.00M,863.00M,,863.00M,,,,,2.299B,2.299B,,,853.00M,4.015B,900.00M,,900.00M,,,,174.00M,923.00M,1.823B,5.838B,,,1.978B,,,,,,1.947B,,,
1997-03,152.00M,152.00M,,2.398B,,,,1.044B,,,256.00M,3.85B,,,,,,3.737B,-2.027B,1.71B,,814.00M,814.00M,,1.50B,4.024B,7.874B,,869.00M,869.00M,,869.00M,,,,,2.292B,2.292B,,,819.00M,3.98B,881.00M,,881.00M,,,,180.00M,921.00M,1.802B,5.782B,,,1.939B,,,,,,1.912B,,,
1996-12,129.00M,129.00M,,2.366B,,,,1.034B,,,283.00M,3.812B,,,,,,3.839B,-2.041B,1.798B,,870.00M,870.00M,,1.535B,4.203B,8.015B,,983.00M,983.00M,,983.00M,,,,,2.157B,2.157B,,,882.00M,4.022B,955.00M,,955.00M,206.00M,206.00M,,182.00M,724.00M,1.885B,5.907B,,,1.918B,,,,,,1.926B,,,
1996-09,172.00M,172.00M,,2.456B,,,,1.027B,,,298.00M,3.953B,,,,,,3.802B,-2.052B,1.75B,,882.00M,882.00M,,1.544B,4.176B,8.129B,,1.004B,1.004B,,1.004B,,,,,2.085B,2.085B,,,843.00M,3.932B,1.108B,,1.108B,,,,171.00M,1.013B,2.121B,6.053B,,,1.898B,,,,,,1.905B,,,
1996-06,141.00M,141.00M,,2.285B,,,,1.074B,,,297.00M,3.797B,,,,,,3.743B,-1.988B,1.755B,,894.00M,894.00M,,1.543B,4.192B,7.989B,,937.00M,937.00M,,937.00M,,,,,2.232B,2.232B,,,795.00M,3.964B,932.00M,,932.00M,,,,176.00M,1.006B,1.938B,5.902B,,,1.903B,,,,,,1.911B,,,
1996-03,147.00M,147.00M,,2.194B,,,,1.156B,,,269.00M,3.766B,,,,,,3.702B,-1.941B,1.761B,,908.00M,908.00M,,1.555B,4.224B,7.99B,,943.00M,943.00M,,943.00M,,,,,2.222B,2.222B,,,801.00M,3.966B,957.00M,,957.00M,,,,178.00M,996.00M,1.953B,5.919B,,,1.875B,,,,,,1.893B,,,
1995-12,149.00M,149.00M,,2.117B,,,,1.029B,,,246.00M,3.541B,,,,,,3.662B,-1.883B,1.779B,,931.00M,931.00M,,1.549B,4.259B,7.80B,,977.00M,977.00M,,977.00M,,,,,1.939B,1.939B,,,913.00M,3.829B,983.00M,,983.00M,234.00M,234.00M,,179.00M,698.00M,1.915B,5.744B,,,1.863B,,,,,,1.877B,,,
1995-09,144.00M,144.00M,,2.13B,,,,995.00M,,,282.00M,3.551B,,,,,,3.447B,-1.861B,1.586B,,931.00M,931.00M,,1.546B,4.063B,7.614B,,846.00M,846.00M,,846.00M,,,,,1.923B,1.923B,,,839.00M,3.608B,978.00M,,978.00M,,,,140.00M,983.00M,1.961B,5.569B,,,1.87B,,,,,,1.905B,,,
1995-06,128.00M,128.00M,,2.167B,,,,1.131B,,,306.00M,3.732B,,,,,,3.361B,-1.803B,1.558B,,930.00M,930.00M,,1.482B,3.97B,7.702B,,871.00M,871.00M,,871.00M,,,,,1.977B,1.977B,,,840.00M,3.688B,1.016B,,1.016B,,,,166.00M,971.00M,1.987B,5.675B,,,1.831B,,,,,,1.861B,,,
