,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-09,845.70M,845.70M,,,45.90M,-15.10M,30.80M,36.30M,1.20M,,,,625.50M,692.60M,153.10M,,,,1.20M,,146.80M,56.60M,90.20M,0.00,,90.20M,89.46M,189.40M,36.30M,153.10M,0.82,0.0,0.0,0.8133,0.82,0.6775,0.0,0.0,0.6721,0.6775,110.01M,135.43M,0.0
2005-06,756.50M,756.50M,500.90M,255.60M,39.20M,132.30M,171.50M,35.30M,-13.40M,,,,595.90M,802.70M,-547.10M,,,,-13.40M,,29.70M,12.30M,17.40M,,,17.40M,25.44M,-511.80M,35.30M,-547.10M,0.16,0.0,,0.2339,0.16,0.14,0.0,,0.2004,0.14,108.80M,133.09M,0.0
2005-03,642.50M,642.50M,,,37.40M,30.60M,68.00M,34.20M,-2.10M,,,,513.00M,615.20M,27.30M,,,,-2.10M,,17.00M,7.10M,9.90M,-90.40M,,-80.50M,11.16M,61.50M,34.20M,27.30M,0.09,-0.8325,-0.0,0.1016,-0.7425,0.085,-0.8325,-0.8325,0.0945,-0.7425,108.59M,132.63M,0.0
2004-12,656.30M,656.30M,478.20M,178.10M,,121.80M,10.30M,36.80M,-34.80M,,,,732.70M,779.80M,-601.70M,,,,-34.80M,,-72.90M,-28.00M,-44.90M,0.00,,-44.90M,-23.47M,-550.60M,51.10M,-601.70M,-0.4175,0.0,0.0,-0.2189,-0.4175,-0.4175,0.0,0.0,-0.22,-0.4175,107.90M,108.50M,0.0
2004-09,768.20M,768.20M,457.80M,310.40M,37.50M,115.70M,153.20M,35.70M,40.60M,,,,591.00M,779.90M,-469.50M,,,,40.60M,,119.20M,45.20M,74.00M,,,74.00M,48.80M,-420.60M,48.90M,-469.50M,0.6875,0.0,,0.4529,0.6875,0.5725,0.0,,0.3794,0.5725,107.45M,130.52M,0.0
2004-06,701.30M,701.30M,462.30M,239.00M,,125.50M,125.50M,34.00M,-10.80M,,,,618.80M,778.30M,-539.30M,,,,-10.80M,,-0.70M,1.00M,-1.70M,,,-1.70M,4.78M,-488.90M,50.40M,-539.30M,-0.015,0.0,,0.0454,-0.015,-0.015,0.0,,0.0454,-0.015,107.27M,107.27M,0.0
2004-03,598.00M,598.00M,428.20M,169.80M,,117.90M,117.90M,36.10M,-2.00M,,,,590.50M,744.50M,-574.70M,,,,-2.00M,,-66.20M,-23.50M,-42.70M,0.00,,-42.70M,-41.41M,-519.90M,54.80M,-574.70M,-0.3975,0.0,0.0,-0.3855,-0.3975,-0.3975,0.0,0.0,-0.3855,-0.3975,107.11M,107.11M,0.0
2003-12,613.30M,613.30M,,,,,-241.10M,,1.90M,,,,768.20M,561.90M,588.60M,,,,1.90M,,-24.10M,-8.00M,-16.10M,,,-16.10M,-17.37M,644.80M,56.20M,588.60M,-0.15,0.0,,-0.1619,-0.15,-0.15,0.0,,-0.1618,-0.15,106.92M,107.52M,0.0
2003-09,702.20M,702.20M,189.30M,512.90M,,116.90M,116.90M,32.70M,-1.10M,,,,471.60M,621.20M,-108.30M,,,,-1.10M,,68.20M,27.50M,40.70M,,,40.70M,41.36M,-60.60M,47.70M,-108.30M,0.3825,0.0,,0.3887,0.3825,0.38,0.0,,0.3862,0.38,106.64M,107.18M,0.0
2003-06,610.60M,610.60M,,,,,24.40M,,81.00M,,,,552.50M,610.00M,0.60M,,,,81.00M,,72.80M,27.60M,45.20M,,,45.20M,-5.091M,51.30M,50.70M,0.60M,0.425,0.0,,-0.0473,0.425,0.4245,0.0,,-0.0478,0.4245,106.47M,106.48M,0.0
