,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-06,782.14M,256.24M,1.038B,128.69M,,128.69M,,,,2.073B,3.240B,,,,,,,476.80M,-318.97M,157.82M,,,,,54.21M,212.03M,3.452B,,23.36M,,23.36M,,23.36M,,,,,,,2.091B,2.114B,,,,,,,,26.15M,2.140B,,0.347M,953.68M,360.99M,,,-3.184M,1.312B,,,
2006-03,715.68M,3.323B,4.039B,115.98M,,115.98M,,,,33.52M,4.188B,,,,,,,186.08M,-33.52M,152.56M,,,,,50.28M,202.84M,4.391B,,16.40M,,16.40M,,16.40M,,,,,,,3.147B,3.163B,,,,,,,,22.81M,3.186B,,0.346M,866.00M,342.04M,,,-3.202M,1.205B,,,
2005-12,610.89M,3.046B,3.657B,86.98M,,86.98M,,,,39.67M,3.783B,0.00,,135.73M,197.12M,114.02M,,446.87M,-293.54M,153.33M,,,,,32.64M,185.97M,3.969B,,23.55M,,23.55M,,23.55M,,,,,,,2.806B,2.830B,,,,,,,,20.78M,2.851B,,0.345M,796.40M,324.85M,,,-2.907M,1.119B,,,
2005-09,585.66M,301.63M,887.29M,107.19M,,107.19M,,536.57M,,1.244B,2.775B,,,,,,,424.65M,-279.79M,144.86M,,,,,30.32M,175.18M,2.950B,,17.56M,,17.56M,,17.56M,,,,,,,1.874B,1.892B,,,,,,,,19.34M,1.911B,,0.344M,736.00M,305.59M,,,-2.861M,1.039B,,,
2005-06,498.97M,356.40M,855.36M,96.88M,,96.88M,,,,2.274B,3.226B,,,,,,,409.42M,-266.17M,143.25M,,,,,28.06M,171.31M,3.398B,,26.49M,,26.49M,,26.49M,,,,,,,2.391B,2.417B,,,,,,,,19.75M,2.437B,,0.343M,674.38M,287.86M,,,-2.151M,960.43M,,,
2005-03,430.62M,380.65M,811.27M,98.97M,,98.97M,,,,2.215B,3.125B,,,,,,,386.80M,-254.58M,132.22M,,,,,27.28M,159.50M,3.285B,,21.48M,,21.48M,,21.48M,,,,,,,2.365B,2.387B,,,,,,,,20.42M,2.407B,,0.342M,607.93M,272.87M,,,-3.23M,877.91M,,,
2004-12,357.56M,389.95M,747.51M,78.82M,,78.82M,,,,1.869B,2.695B,0.00,,129.71M,176.33M,91.96M,,398.00M,-266.64M,131.36M,,,,,31.24M,162.60M,2.857B,,23.04M,,23.04M,,23.04M,,,,,,,2.003B,2.026B,,,,,,,,19.25M,2.045B,,0.341M,552.80M,261.05M,,,-1.595M,812.60M,,,
2004-09,282.78M,432.19M,714.97M,83.88M,,83.88M,,,,3.339B,4.138B,,,,,,,353.38M,-226.02M,127.35M,,,,,30.06M,157.42M,4.296B,,16.68M,,16.68M,,16.68M,,,,,,,3.511B,3.528B,,,,,,,,18.44M,3.546B,,0.339M,504.88M,247.09M,,,-2.658M,749.65M,,,
2004-06,222.34M,1.192B,1.415B,81.65M,,81.65M,,,,2.080B,3.576B,,,,,,,349.92M,-226.02M,123.89M,,,,,33.42M,157.31M,3.733B,,17.25M,,17.25M,,17.25M,,,,,,,3.003B,3.020B,,,,,,,,20.27M,3.041B,,0.339M,454.28M,242.68M,,,-4.66M,692.64M,,,
2004-03,187.99M,446.27M,634.25M,78.34M,,78.34M,,,,4.121B,4.834B,,,,,,,340.45M,-226.02M,114.43M,,,,,34.79M,149.22M,4.983B,,1.483B,,1.483B,,1.483B,,,,,,,2.876B,4.359B,,,,,,,,21.15M,4.380B,,0.329M,405.79M,196.59M,,,0.33M,603.04M,,,
2003-12,185.12M,627.04M,812.17M,52.97M,2.265M,55.24M,14.59M,,,3.841B,4.723B,,,,151.34M,192.89M,,344.23M,-226.02M,118.20M,,,,,31.05M,149.26M,4.873B,,24.69M,,24.69M,52.60M,77.28M,,,1.515M,1.515M,1.98M,1.98M,4.207B,4.288B,,,,,,,,21.67M,4.310B,,0.329M,368.31M,195.22M,,,-0.868M,563.00M,,,
2003-09,391.53M,3.197B,3.589B,58.20M,,58.20M,,,,7.898M,3.655B,,,,,,,331.11M,-224.20M,106.91M,,,,,34.08M,140.99M,3.796B,,17.82M,,17.82M,,17.82M,,,,,,,3.222B,3.240B,0.165M,0.165M,,,,,18.07M,18.24M,3.259B,,0.328M,345.62M,192.21M,,,-1.097M,537.07M,,,
2003-06,392.84M,3.026B,3.419B,69.32M,,69.32M,,,,8.35M,3.497B,,,,,,,331.30M,-224.20M,107.10M,,,,,36.36M,143.46M,3.640B,,29.17M,,29.17M,,29.17M,,,,,,,3.086B,3.115B,0.648M,0.648M,,,,,19.41M,20.06M,3.135B,,0.327M,318.82M,187.12M,,,-1.234M,505.03M,,,
2003-03,356.95M,1.814B,2.171B,63.71M,,63.71M,,,,11.23M,2.246B,,,,,,,331.64M,-224.20M,107.44M,,,,,33.19M,140.63M,2.387B,,27.22M,,27.22M,,27.22M,,,,,,,1.871B,1.898B,1.469M,1.469M,,,,,18.40M,19.87M,1.918B,,0.325M,288.37M,180.22M,,,-0.565M,468.35M,,,
2002-12,339.26M,2.813B,3.153B,50.86M,,50.86M,,,,11.52M,3.215B,0.00,,95.63M,169.56M,68.58M,,333.76M,-224.20M,109.56M,,,,,30.32M,139.88M,3.355B,,27.61M,,27.61M,,27.61M,,,,,,,2.862B,2.889B,2.328M,2.328M,,,,,17.06M,19.38M,2.909B,,0.325M,266.81M,179.67M,,,-0.665M,446.14M,,,
2002-09,197.16M,2.475B,2.672B,46.69M,,46.69M,,,,4.889M,2.724B,,,,,,,281.11M,-172.27M,108.84M,,,,,31.24M,140.08M,2.864B,,16.22M,,16.22M,,16.22M,,,,,,,2.528B,2.544B,3.232M,3.232M,,,,,17.04M,20.27M,2.564B,,0.288M,231.54M,68.52M,,,-0.775M,299.57M,,,
2002-06,48.11M,2.848B,2.896B,48.60M,,48.60M,,,,10.68M,2.955B,,,,,,,283.60M,-172.27M,111.33M,,,,,25.92M,137.26M,3.092B,,18.45M,,18.45M,,18.45M,,,,,,,2.783B,2.802B,4.558M,4.558M,,,,,11.35M,15.91M,2.818B,,0.288M,212.14M,62.09M,,,0.212M,274.73M,,,
2002-03,65.90M,1.843B,1.908B,43.40M,,43.40M,,,,6.559M,1.958B,,,,,,,248.72M,-172.27M,76.45M,,,,,55.18M,131.63M,2.090B,,16.02M,,16.02M,,16.02M,,,,,,,1.786B,1.802B,5.741M,5.741M,,,,,10.74M,16.48M,1.819B,,0.288M,204.92M,67.21M,,,-1.208M,271.21M,,,
2001-12,69.10M,1.829B,1.898B,40.99M,,40.99M,,,,6.671M,1.946B,0.00,,90.17M,158.00M,49.69M,,297.86M,-196.87M,100.99M,,,,,19.78M,120.77M,2.067B,,23.83M,,23.83M,,23.83M,,,,,,,1.778B,1.802B,6.65M,6.65M,,,,,10.02M,16.67M,1.819B,,0.288M,190.03M,59.23M,,,-1.184M,248.37M,,,
