,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,109.53M,,,,,-2.947M,17.60M,0.588M,18.18M,18.18M,-2.599M,,,,6.838M,-14.84M,6.96M,-10.07M,-32.30M,0.451M,-49.80M,79.21M,,-22.86M,,-22.86M,,18.05M,-0.622M,-5.426M,,,,,5.287M,,5.287M,,-21.84M,,9.238M,-7.32M,,715.68M,66.46M,782.14M,,5.287M,,,,,,,,
2006-03,91.41M,,,,,3.555M,17.39M,0.568M,17.96M,17.96M,-13.02M,,,,,-28.84M,-7.15M,6.20M,44.67M,1.037M,15.91M,115.82M,,-16.62M,,-16.62M,,17.75M,-1.559M,-0.432M,,,,,1.776M,,1.776M,,-21.81M,,9.442M,-10.60M,,610.89M,104.79M,715.68M,,1.776M,,,,,,,,
2005-12,76.28M,,,,,0.406M,16.80M,0.93M,17.73M,17.73M,-0.97M,,,,3.917M,16.65M,5.998M,-14.46M,-2.455M,-2.50M,3.235M,100.60M,,-23.32M,,-23.32M,,-51.20M,-0.387M,-74.91M,,,,,-2.026M,,-2.026M,,-15.88M,,17.44M,-0.463M,,585.66M,25.23M,610.89M,,-2.026M,,,,,,,,
2005-09,77.47M,,,,,0.931M,17.26M,0.746M,18.00M,18.00M,-2.175M,,,,3.613M,-7.002M,-8.938M,-1.507M,9.732M,-0.971M,-8.686M,89.15M,,-19.20M,,-19.20M,,18.91M,-0.372M,-0.659M,,,,,3.697M,,3.697M,,-15.84M,,10.35M,-1.795M,,498.97M,86.70M,585.66M,,3.697M,,,,,,,,
2005-06,82.23M,,,,,-1.194M,16.07M,0.823M,16.89M,16.89M,-2.416M,,,,5.106M,-1.338M,5.01M,4.439M,-26.90M,0.115M,-18.68M,81.94M,,-27.30M,,-27.30M,,18.77M,-1.058M,-9.589M,,,,,4.166M,,4.166M,,-15.78M,,7.614M,-4.003M,,430.62M,68.35M,498.97M,,4.166M,,,,,,,,
2005-03,70.88M,,,,,3.169M,14.79M,0.805M,15.60M,15.60M,2.316M,,,,,-19.95M,-1.562M,-2.197M,10.26M,-1.972M,-15.42M,76.54M,,-15.81M,,-15.81M,,18.69M,-0.057M,2.823M,,,,,1.492M,,1.492M,,-15.75M,,7.952M,-6.309M,,357.56M,73.06M,430.62M,,1.492M,,,,,,,,
2004-12,56.78M,,,,,-47.61M,13.94M,1.053M,15.00M,15.00M,0.071M,,,,,9.394M,6.365M,-4.459M,8.114M,,16.44M,48.43M,,-18.53M,,-18.53M,,-2.108M,-0.769M,-21.40M,,,,-0.166M,3.804M,,3.804M,,-8.861M,,,47.76M,,282.78M,74.78M,357.56M,,3.804M,,,,,,,,
2004-09,59.43M,,,,,5.093M,13.56M,0.597M,14.15M,14.15M,1.43M,,,,,-2.535M,-0.566M,36.13M,6.396M,,39.42M,119.53M,,-17.20M,,-17.20M,,-33.72M,-0.053M,-50.96M,,,,-0.401M,1.099M,,1.099M,,-8.826M,,,-8.128M,,222.34M,60.44M,282.78M,,1.099M,,,,,,,,
2004-06,57.28M,,,,,44.96M,13.12M,1.833M,14.95M,14.95M,2.854M,,,,,-3.479M,3.852M,-34.71M,-17.26M,,-51.61M,68.44M,,-22.76M,,-22.76M,,-2.109M,-0.90M,-25.76M,,,,-0.461M,0.939M,,0.939M,,-8.801M,,,-8.323M,,187.99M,34.36M,222.34M,,0.939M,,,,,,,,
2004-03,46.06M,,,,,2.071M,12.80M,0.037M,12.83M,12.83M,-0.092M,,,,,-25.30M,-11.30M,4.854M,10.30M,,-21.45M,39.42M,,-9.018M,,-9.018M,,-13.92M,-4.765M,-27.70M,,,,-0.487M,0.207M,,0.207M,,-8.578M,,,-8.858M,,185.12M,2.862M,187.99M,,0.207M,,,,,,,,
2003-12,29.60M,,,,,0.337M,,,13.15M,13.15M,4.303M,,,,,5.329M,6.869M,-13.69M,3.596M,3.018M,5.121M,52.52M,,-24.91M,,-24.91M,,-226.78M,-2.128M,-253.82M,,,,-0.641M,2.45M,,2.45M,,-6.914M,,,-5.105M,,391.53M,-206.41M,185.12M,,2.45M,,,,,,,,
2003-09,31.40M,,,,,2.294M,,,13.33M,13.33M,3.798M,,,,,11.34M,-11.35M,4.133M,-3.542M,-3.25M,-2.673M,48.15M,,-9.701M,,-9.701M,,-29.63M,-5.491M,-44.82M,,,,-2.233M,2.204M,,2.204M,,-4.594M,,,-4.623M,,392.84M,-1.301M,391.53M,,2.204M,,,,,,,,
2003-06,35.01M,,,,,2.83M,,,13.32M,13.32M,-1.566M,,,,,-5.624M,1.951M,-2.93M,9.562M,,2.959M,52.56M,,-17.58M,,-17.58M,,,3.413M,-14.17M,,,,-1.143M,3.198M,,3.198M,,-4.559M,,,-2.504M,,356.95M,35.88M,392.84M,,3.198M,,,,,,,,
2003-03,26.12M,,,,,1.942M,,,13.21M,13.21M,-3.225M,,,,,-12.78M,-0.385M,2.414M,10.64M,,-0.119M,37.93M,,-10.82M,,-10.82M,,,-3.413M,-14.23M,,,,-1.465M,0.026M,,0.026M,,-4.563M,,,-6.002M,,339.26M,17.69M,356.95M,,0.026M,,,,,,,,
2002-12,33.05M,,,,,-0.991M,,,13.00M,13.00M,1.149M,,,,,-3.947M,11.39M,-9.945M,-4.137M,,-6.64M,39.57M,,-13.81M,,-13.81M,,0.10M,0.00,-13.71M,,,,-1.224M,117.46M,,117.46M,,0.00,,,116.24M,,197.16M,142.10M,339.26M,,117.46M,,,,,,,,
2002-09,19.35M,,,,,4.786M,,,12.35M,12.35M,-9.926M,,,,,1.797M,-2.23M,10.53M,18.00M,,28.10M,54.67M,,-9.862M,,-9.862M,,105.50M,0.00,95.64M,,,,-1.288M,0.002M,,0.002M,,0.043M,,,-1.243M,,48.11M,149.06M,197.16M,,0.002M,,,,,,,,
2002-06,24.56M,,,,,-4.125M,,,12.34M,12.34M,6.328M,,,,,-5.545M,2.426M,-9.125M,1.065M,,-11.18M,27.92M,,-25.30M,,-25.30M,,-6.042M,4.621M,-26.72M,,,,-1.657M,,,,,-17.33M,,,-18.99M,,65.90M,-17.80M,48.11M,,,,,,,,,,
2002-03,17.11M,,,,,4.366M,,,10.81M,10.81M,-3.188M,,,,,-2.184M,-7.812M,-1.021M,0.90M,,-10.12M,18.98M,,-7.366M,,-7.366M,,-5.788M,-7.692M,-20.85M,,,,-1.337M,,,,,,,,-1.337M,,69.10M,-3.199M,65.90M,,,,,,,,,,
