,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,123.24M,125.88M,,,,,22.77M,,,,,,,,,35.92M,43.38M,,,,,,50.12M,20.52M,29.60M,,29.60M,29.60M,56.53M,13.15M,43.38M,,0.18,0.00,0.18,0.18,,0.174,0.00,0.174,0.174,,164.34M,170.33M,0.042,,,
2003-09,134.82M,137.26M,,,,,68.80M,,,,,,,,,82.13M,55.13M,,,,,,52.88M,21.48M,31.40M,,31.40M,31.40M,68.46M,13.33M,55.13M,,0.192,0.00,0.192,0.192,,0.186,0.00,0.186,0.186,,163.69M,169.71M,0.028,,,
2003-06,144.30M,144.30M,,,1.534M,68.17M,69.70M,,,,,,,,,83.02M,61.27M,,,,,,59.37M,24.36M,35.01M,,35.01M,35.01M,74.60M,13.32M,61.27M,,0.214,0.00,0.214,0.214,,0.206,0.00,0.206,0.206,,163.12M,169.34M,0.028,,,
2003-03,128.60M,128.60M,30.20M,98.40M,,,38.85M,,,,,,,,,52.06M,46.34M,,,,,,43.75M,17.63M,26.12M,,26.12M,26.12M,59.55M,13.21M,46.34M,,0.16,0.00,0.16,0.16,,0.154,0.00,0.154,0.154,,162.67M,169.32M,0.028,,,
2002-12,122.28M,122.28M,22.89M,99.39M,,,36.72M,,,,6.201M,,,,,49.72M,49.67M,,,,6.201M,,52.98M,19.93M,33.05M,,33.05M,29.18M,62.68M,13.00M,49.67M,,0.224,0.00,0.1981,0.224,,0.218,0.00,0.1928,0.218,,149.35M,153.64M,,,,
2002-09,129.65M,129.65M,5.881M,123.77M,,,70.67M,,,,-4.005M,,,,,83.02M,40.74M,,,,-4.005M,,32.26M,12.90M,19.35M,,19.35M,21.76M,53.10M,12.35M,40.74M,,0.134,0.00,0.1507,0.134,,0.13,0.00,0.1461,0.13,,144.10M,149.62M,,,,
2002-06,113.08M,113.08M,5.308M,107.77M,,,53.79M,,,,-5.007M,,,,,66.12M,41.65M,,,,-5.007M,,31.09M,12.15M,18.94M,,18.94M,21.99M,53.98M,12.34M,41.65M,,0.15,0.00,0.1712,0.15,,0.146,0.00,0.1666,0.146,,144.00M,148.18M,,,,
2002-03,104.07M,104.07M,9.21M,94.86M,,,52.48M,,,,,,,,,63.29M,31.57M,,,,,,28.59M,11.48M,17.11M,,17.11M,17.11M,42.38M,10.81M,31.57M,,0.118,0.00,0.118,0.118,,0.114,0.00,0.114,0.114,,143.87M,149.01M,,,,
2001-12,133.11M,107.33M,,,,,196.66M,,,,,,,,,46.50M,25.77M,,,,,,23.39M,9.569M,13.82M,,13.82M,13.82M,36.13M,10.36M,25.77M,,0.144,0.00,0.144,0.144,,0.142,0.00,0.142,0.142,,143.87M,146.00M,,,,
2001-09,90.00M,101.86M,,,2.055M,28.13M,2.055M,,,,,,,,54.09M,65.39M,36.47M,,,,,,29.94M,12.17M,17.78M,,17.78M,17.78M,45.72M,9.245M,36.47M,,0.124,0.00,0.124,0.124,,0.12,0.00,0.12,0.12,,143.87M,147.00M,,,AOR,
2001-06,87.76M,95.27M,,,0.788M,25.15M,0.788M,,,,,,,,61.24M,71.18M,24.09M,,,,,,23.52M,9.293M,14.23M,,14.23M,14.23M,33.24M,9.146M,24.09M,,0.098,0.00,0.098,0.098,,0.096,0.00,0.096,0.096,,143.87M,146.99M,,,AOR,
