,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,30.89M,,30.89M,296.64M,1.818M,,,298.46M,,20.46M,250.94M,41.54M,297.80M,,38.94M,25.19M,691.28M,,,,,,2.846B,-1.499B,1.347B,574.67M,10.31M,584.97M,,44.03M,,2007-06,92.35M,,92.35M,54.44M,146.79M,,,131.14M,,131.14M,75.44M,353.37M,1.052B,,1.052B,160.17M,160.17M,,,198.32M,,2007-06,0.417M,861.30M,72.20M,,2007-06,,
2007-03,18.11M,,18.11M,250.51M,2.294M,,,252.80M,,21.14M,234.96M,40.18M,281.47M,,38.82M,30.00M,621.21M,,,,,,2.786B,-1.471B,1.315B,575.67M,10.83M,586.50M,,38.24M,,2007-03,90.93M,,90.93M,47.36M,138.29M,,,387.96M,,387.96M,101.42M,627.67M,578.68M,,578.68M,154.32M,154.32M,,,198.73M,,2007-03,0.428M,974.11M,61.81M,,2007-03,,
2006-12,32.28M,,32.28M,242.40M,2.521M,,,244.92M,,19.27M,213.30M,37.94M,256.29M,,25.32M,33.55M,592.35M,379.92M,93.31M,2.001B,186.00M,79.21M,2.739B,-1.444B,1.295B,570.54M,10.95M,581.49M,,37.09M,,2006-12,85.24M,,85.24M,57.31M,142.54M,,,134.35M,,134.35M,38.18M,315.07M,579.31M,,579.31M,159.09M,159.09M,,,198.98M,,2006-12,0.448M,1.142B,147.49M,,2006-12,,
2006-09,22.83M,,22.83M,293.70M,2.299M,,,296.00M,40.20M,17.98M,198.54M,,244.54M,,16.02M,28.90M,608.29M,,,,,,2.696B,-1.416B,1.279B,570.34M,12.62M,582.96M,,62.08M,,2006-09,89.65M,,89.65M,71.11M,160.76M,,,147.33M,,147.33M,51.61M,359.70M,579.82M,,579.82M,144.54M,144.54M,,,186.57M,,2006-09,0.45M,1.092B,186.61M,,2006-09,,
2006-06,20.39M,,20.39M,292.56M,,,2.494M,295.05M,37.84M,18.20M,199.53M,,243.71M,,16.91M,31.71M,607.77M,,,,,,2.642B,-1.386B,1.256B,570.34M,16.85M,587.18M,,51.07M,,2006-06,99.53M,,99.53M,64.11M,163.63M,,,29.31M,,29.31M,57.63M,250.58M,705.36M,,705.36M,143.68M,143.68M,,,183.12M,,2006-06,0.453M,1.029B,205.53M,,2006-06,,
2006-03,31.15M,,31.15M,241.59M,,,3.641M,245.23M,34.38M,17.18M,201.46M,,241.44M,,16.52M,50.54M,584.88M,,,,,,2.563B,-1.358B,1.206B,570.34M,17.62M,587.96M,,56.61M,,2006-03,93.35M,,93.35M,55.65M,149.00M,,,11.93M,,11.93M,54.61M,215.53M,705.86M,,705.86M,145.86M,145.86M,,,180.70M,,2006-03,0.456M,963.47M,238.40M,,2006-03,,
2005-12,76.74M,25.00M,101.74M,225.01M,,,5.081M,230.09M,31.16M,17.99M,185.68M,,222.73M,,14.99M,32.49M,602.04M,317.80M,87.75M,1.782B,190.91M,123.32M,2.502B,-1.335B,1.166B,569.26M,18.74M,588.01M,,76.92M,,2005-12,93.44M,,93.44M,63.78M,157.23M,,,8.153M,,8.153M,34.74M,200.12M,709.16M,,709.16M,149.97M,149.97M,,,200.38M,,2005-12,0.457M,948.01M,240.54M,,2005-12,,
2005-09,111.58M,25.00M,136.58M,288.42M,,,,288.42M,,17.44M,174.64M,28.43M,209.45M,,6.088M,25.63M,666.17M,,,,,,2.453B,-1.311B,1.142B,,588.82M,588.82M,,78.32M,,2005-09,94.75M,,94.75M,69.34M,164.09M,,,14.60M,,14.60M,56.62M,235.32M,709.78M,,709.78M,135.12M,135.12M,,,193.32M,,2005-09,0.463M,910.86M,299.19M,,2005-09,,
2005-06,81.41M,10.00M,91.41M,282.84M,3.844M,,,286.69M,,17.61M,178.97M,28.79M,217.00M,,6.112M,23.05M,624.26M,,,,,,2.409B,-1.285B,1.124B,,589.66M,589.66M,,68.83M,,2005-06,103.57M,,103.57M,66.00M,169.56M,,,6.115M,,6.115M,53.78M,229.46M,711.49M,,711.49M,138.47M,138.47M,,,188.37M,,2005-06,0.462M,845.15M,301.84M,,2005-06,,
2005-03,103.10M,,103.10M,220.44M,3.90M,,,224.34M,,17.52M,187.61M,26.00M,224.92M,,5.831M,27.35M,585.54M,,,,,,2.367B,-1.260B,1.107B,,590.24M,590.24M,,71.68M,,2005-03,89.60M,,89.60M,58.89M,148.48M,,,8.723M,,8.723M,41.52M,198.72M,710.35M,,710.35M,139.63M,139.63M,,,186.86M,,2005-03,0.467M,792.97M,334.11M,,2005-03,,
2004-12,161.62M,,161.62M,219.59M,,,,219.59M,24.35M,17.41M,173.01M,,209.31M,,5.75M,27.98M,624.25M,299.73M,85.08M,1.674B,190.25M,60.01M,2.310B,-1.244B,1.065B,567.50M,18.64M,586.14M,,80.25M,,2004-12,89.95M,,89.95M,62.81M,152.76M,,,10.50M,,10.50M,40.55M,203.81M,713.66M,,713.66M,139.18M,139.18M,,,145.77M,,2004-12,0.472M,795.30M,366.63M,,2004-12,,
2004-09,135.48M,,135.48M,286.02M,,,,286.02M,,,,,208.69M,,28.74M,21.05M,679.98M,,,,,,2.270B,-1.225B,1.045B,,596.78M,596.78M,,66.57M,,2004-09,89.94M,,89.94M,75.20M,165.14M,,,6.713M,,6.713M,48.90M,220.75M,714.96M,,714.96M,141.79M,141.79M,,,143.20M,,2004-09,0.481M,767.85M,407.89M,,2004-09,,
2004-06,85.80M,,85.80M,259.89M,,,,259.89M,,13.92M,195.68M,24.59M,228.72M,,21.66M,20.80M,616.88M,,,,,,2.242B,-1.201B,1.041B,,598.91M,598.91M,,56.12M,,2004-06,77.48M,,77.48M,74.27M,151.76M,,,0.956M,,0.956M,46.32M,199.03M,713.24M,,713.24M,137.76M,137.76M,,,134.84M,,2004-06,0.482M,723.48M,412.82M,,2004-06,,
2004-03,52.78M,,52.78M,226.06M,,,,226.06M,,15.40M,196.53M,24.54M,229.66M,,21.63M,32.94M,563.07M,,,,,,2.222B,-1.184B,1.039B,,603.95M,603.95M,,60.01M,,2004-03,71.41M,,71.41M,66.10M,137.51M,,,13.04M,,13.04M,70.93M,221.47M,718.58M,,718.58M,133.64M,133.64M,,,101.29M,,2004-03,0.481M,687.43M,411.53M,,2004-03,,
2003-12,125.13M,,125.13M,231.51M,,,,231.51M,,12.54M,183.48M,23.82M,213.84M,,21.60M,18.56M,610.65M,280.93M,80.57M,1.611B,184.96M,47.61M,2.205B,-1.163B,1.042B,,602.73M,602.73M,,63.41M,,2003-12,76.58M,,76.58M,67.21M,143.79M,,,1.068M,,1.068M,77.89M,222.75M,717.07M,,717.07M,116.65M,116.65M,,,132.91M,,2003-12,0.486M,702.64M,435.41M,,2003-12,,
2003-09,53.57M,,53.57M,312.84M,,,,312.84M,,10.59M,185.90M,22.55M,212.68M,,23.80M,9.474M,612.37M,,,,,,2.191B,-1.144B,1.046B,,607.42M,607.42M,,65.05M,,2003-09,82.70M,,82.70M,77.09M,159.79M,,,1.249M,,1.249M,45.95M,206.99M,719.76M,,719.76M,119.28M,119.28M,,,162.20M,,2003-09,0.489M,682.10M,447.73M,,2003-09,,
2003-06,6.907M,,6.907M,296.52M,,,,296.52M,,9.257M,211.23M,22.35M,237.80M,,24.32M,21.21M,586.76M,,,,,,2.187B,-1.128B,1.059B,,608.15M,608.15M,,53.52M,,2003-06,74.89M,,74.89M,87.41M,162.31M,,,9.439M,,9.439M,35.72M,207.46M,746.70M,,746.70M,115.10M,115.10M,,,151.68M,,2003-06,0.489M,645.37M,447.53M,,2003-06,,
2003-03,4.226M,,4.226M,222.29M,,,,222.29M,,9.329M,221.59M,23.00M,247.87M,,23.05M,35.83M,533.26M,,,,,,2.173B,-1.106B,1.067B,,610.90M,610.90M,,57.42M,,2003-03,63.90M,,63.90M,80.58M,144.49M,,,8.96M,,8.96M,50.28M,203.72M,758.94M,,758.94M,109.67M,109.67M,,,150.38M,,2003-03,0.488M,605.72M,447.32M,,2003-03,,
2002-12,14.50M,,14.50M,232.88M,,,,232.88M,,8.967M,212.69M,23.72M,239.73M,,21.39M,32.15M,540.65M,262.40M,79.59M,1.532B,183.22M,89.07M,2.146B,-1.079B,1.068B,,609.42M,609.42M,,55.38M,,2002-12,73.19M,,73.19M,62.88M,136.07M,,,11.39M,,11.39M,64.86M,212.32M,733.47M,,733.47M,108.50M,108.50M,,,135.73M,,2002-12,0.488M,642.73M,447.15M,,2002-12,,
2002-09,6.077M,,6.077M,281.04M,,,,281.04M,,9.363M,216.92M,23.68M,241.70M,,24.17M,24.82M,577.80M,,,,,,2.120B,-1.057B,1.063B,,627.06M,627.06M,,54.60M,,2002-09,81.65M,,81.65M,85.23M,166.88M,,,9.699M,,9.699M,47.16M,223.74M,773.48M,,773.48M,106.90M,106.90M,,,126.10M,,2002-09,0.488M,645.49M,445.79M,,2002-09,,
2002-06,4.756M,,4.756M,281.78M,,,,281.78M,,6.70M,230.34M,23.54M,252.72M,,23.32M,11.15M,573.72M,,,,,,2.092B,-1.038B,1.054B,581.62M,32.92M,614.53M,,59.58M,,2002-06,80.29M,,80.29M,80.34M,160.63M,,,8.618M,,8.618M,41.29M,210.54M,801.35M,,801.35M,101.72M,101.72M,,,127.78M,,2002-06,0.488M,613.89M,445.78M,,2002-06,,
2002-03,11.14M,,11.14M,200.59M,,,,200.59M,,,,,253.52M,,28.55M,21.52M,515.31M,,,,,,2.098B,-1.023B,1.075B,,610.74M,610.74M,,35.35M,,2002-03,74.53M,,74.53M,70.76M,145.29M,,,6.119M,,6.119M,38.31M,189.72M,821.09M,,821.09M,,,,,221.87M,,2002-03,0.486M,567.36M,435.83M,,2002-03,,
2001-12,1.379M,,1.379M,215.18M,,,,215.18M,,5.659M,207.70M,23.67M,231.00M,,19.70M,28.97M,496.23M,226.94M,75.21M,1.403B,192.86M,176.44M,2.074B,-992.23M,1.082B,571.19M,35.78M,606.97M,,39.19M,,2001-12,79.57M,,79.57M,70.82M,150.39M,,,4.49M,,4.49M,37.16M,192.04M,797.38M,,797.38M,102.66M,102.66M,,,110.28M,,2001-12,0.485M,584.71M,437.02M,,2001-12,,
2001-09,,,,277.47M,,,,277.47M,6.983M,,205.74M,26.11M,232.01M,,,29.74M,539.22M,,,,,,2.032B,-965.52M,1.066B,579.39M,,579.39M,,73.40M,,2001-09,,,,,,,,,,,,213.58M,834.64M,,834.64M,,,,,211.12M,,2001-09,0.484M,566.41M,432.18M,,2001-09,,
2001-06,,,,274.56M,,,,274.56M,25.95M,7.71M,212.65M,,240.34M,,,26.35M,541.25M,,,,,,1.976B,-946.81M,1.030B,,590.42M,590.42M,,73.23M,,2001-06,,,,,,,,,,,,235.16M,854.71M,,854.71M,,,,,200.63M,,2001-06,0.481M,527.27M,416.33M,,2001-06,,
2001-03,234.53M,,234.53M,185.81M,,,,185.81M,,8.595M,196.62M,27.16M,226.52M,,,40.50M,687.36M,,,,,,1.871B,-925.72M,945.65M,394.18M,,394.18M,,129.93M,,2001-03,,,,,,,,,,,,245.34M,852.04M,,852.04M,,,,,184.96M,,2001-03,0.473M,495.00M,379.30M,,2001-03,,
2000-12,,,,180.92M,,,,180.92M,,,,,207.53M,,,36.55M,425.00M,,,,,,1.814B,-899.53M,914.07M,,409.46M,409.46M,,92.91M,,2000-12,59.03M,,59.03M,,59.03M,,,45.16M,,45.16M,84.93M,189.11M,601.58M,,601.58M,,,,,187.46M,,2000-12,0.468M,506.27M,356.55M,,2000-12,,
2000-09,5.355M,,5.355M,231.14M,,,,231.14M,,,,,192.38M,,,34.63M,463.51M,,,,,,1.765B,-873.22M,891.29M,,375.40M,375.40M,,124.08M,,2000-09,,,,,,,,,,,,216.58M,601.31M,,601.31M,,,,,187.80M,,2000-09,0.468M,492.30M,355.84M,,2000-09,,
2000-06,3.363M,,3.363M,233.39M,,,,233.39M,,,,,192.79M,,,27.72M,457.26M,,,,,,1.728B,-850.88M,877.37M,,378.97M,378.97M,,124.51M,,2000-06,,,,,,,,,,,,236.52M,601.75M,,601.75M,,,,,186.90M,,2000-06,0.468M,456.79M,355.69M,,2000-06,,
2000-03,,,,,,,,194.15M,,,,,186.92M,,,30.76M,411.84M,,,,,,1.687B,-827.81M,858.85M,,373.51M,373.51M,,122.20M,,2000-03,,,,,,,,,,,,204.83M,601.65M,,601.65M,,,,,184.03M,,2000-03,0.467M,420.75M,354.68M,,2000-03,,
1999-12,3.403M,,3.403M,197.55M,,,,197.55M,,,,,172.86M,,,29.54M,403.36M,,,,,,1.653B,-806.22M,846.99M,,375.33M,375.33M,,116.89M,,1999-12,,,,,,,,,,,,182.70M,602.01M,,602.01M,,,,,183.86M,,1999-12,0.467M,419.49M,354.05M,,1999-12,,
1999-09,0.60M,,0.60M,,,,,231.10M,,,,,172.20M,,,25.80M,429.70M,,,,,,1.597B,-787.20M,809.70M,,374.10M,374.10M,,120.00M,,1999-09,,,,,,,,,,,,219.40M,603.30M,,603.30M,,,,,171.10M,,1999-09,0.50M,392.90M,346.30M,,1999-09,,
1999-06,-0.20M,,-0.20M,,,,,224.80M,,,,,175.40M,,,27.30M,427.30M,,,,,,1.542B,-762.10M,779.90M,,345.30M,345.30M,,116.50M,,1999-06,,,,,,,,,,,,189.10M,602.20M,,602.20M,,,,,170.30M,,1999-06,0.50M,355.10M,351.90M,,1999-06,,
1999-03,9.00M,,9.00M,,,,,166.20M,,,,,172.30M,,,28.10M,375.60M,,,,,,1.524B,-743.70M,780.80M,,347.30M,347.30M,,93.10M,,1999-03,,,,,,,,,,,,156.50M,601.90M,,601.90M,,,,,168.10M,,1999-03,,319.90M,,,1999-03,,
1998-12,14.60M,,14.60M,,,,,171.50M,,,,,157.10M,,,26.20M,369.40M,,,,,,1.502B,-725.00M,777.50M,,376.00M,376.00M,,65.70M,,1998-12,57.70M,,57.70M,,57.70M,,,15.70M,,15.70M,78.80M,152.20M,602.10M,,602.10M,75.60M,75.60M,,,91.00M,,1998-12,0.50M,318.00M,349.20M,,1998-12,,
1998-09,12.20M,,12.20M,,,,,193.90M,,,,,145.90M,,,21.80M,373.80M,,,,,,1.338B,-704.10M,634.20M,,209.90M,209.90M,,18.50M,,1998-09,46.90M,,46.90M,,46.90M,,,20.70M,,20.70M,80.70M,148.30M,313.70M,,313.70M,52.00M,52.00M,,,80.60M,,1998-09,,293.50M,,,1998-09,,
1998-06,15.90M,,15.90M,,,,,178.20M,,,,,154.70M,,,23.30M,372.10M,,,,,,1.30B,-688.20M,611.80M,,197.20M,197.20M,,19.10M,,1998-06,50.10M,,50.10M,,50.10M,,,41.50M,,41.50M,66.20M,157.80M,311.70M,,311.70M,51.30M,51.30M,,,78.90M,,1998-06,,253.50M,,,1998-06,,
