,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-12,150.16M,150.16M,84.21M,65.95M,,58.28M,,,,,63.54M,2.407M,,,,,2.605M,0.99M,1.615M,,,1.615M,1.615M,7.666M,5.259M,2.407M,,0.0026,0.00,,0.0026,0.0026,,0.0026,0.00,,0.0026,0.0026,,513.74M,515.29M,0.0029,,,
2001-09,169.81M,169.81M,95.12M,74.69M,,62.66M,,,,,67.80M,6.884M,,,,,6.884M,2.616M,4.268M,,,4.268M,4.268M,12.02M,5.14M,6.884M,,0.0082,0.00,,0.0082,0.0082,,0.0082,0.00,,0.0082,0.0082,,515.59M,517.94M,0.0029,,,
2001-06,181.35M,181.35M,98.72M,82.63M,,63.31M,,,,,68.05M,14.58M,,,,,14.58M,5.539M,9.038M,,,9.038M,9.038M,19.32M,4.744M,14.58M,,0.0176,0.00,,0.0176,0.0176,,0.0174,0.00,,0.0174,0.0174,,515.64M,518.04M,0.0029,,,
2001-03,150.97M,150.97M,86.27M,64.70M,,56.34M,,,,,61.49M,3.212M,,,,,3.26M,1.239M,2.021M,,,2.021M,2.021M,8.361M,5.149M,3.212M,,0.0041,0.00,,0.0041,0.0041,,0.0041,0.00,,0.0041,0.0041,,513.67M,516.39M,0.0029,,,
2000-12,147.11M,147.11M,88.43M,58.68M,,56.78M,,,,,61.65M,-2.968M,,,,,-2.756M,-1.047M,-1.709M,,,-1.709M,-1.709M,1.905M,4.873M,-2.968M,,-0.0038,0.00,,-0.0038,-0.0038,,-0.0038,0.00,,-0.0038,-0.0038,,515.02M,515.02M,0.0029,,,
2000-09,172.37M,172.37M,99.95M,72.42M,,63.95M,,,,,68.63M,3.797M,,,,,3.811M,1.448M,2.363M,,,2.363M,2.363M,8.474M,4.677M,3.797M,,0.0047,0.00,,0.0047,0.0047,,0.0046,0.00,,0.0046,0.0046,,513.20M,513.26M,0.0029,,,
2000-06,180.53M,180.53M,99.13M,81.40M,,63.73M,,,,,68.33M,13.07M,,,,,13.07M,4.965M,8.102M,,,8.102M,8.102M,17.67M,4.604M,13.07M,,0.0158,0.00,,0.0158,0.0158,,0.0158,0.00,,0.0158,0.0158,,512.31M,512.33M,0.0029,,,
2000-03,149.55M,149.55M,87.00M,62.55M,,57.03M,,,,,61.30M,1.252M,,,,,1.281M,0.487M,0.794M,,,0.794M,0.794M,5.519M,4.267M,1.252M,,0.0018,0.00,,0.0018,0.0018,,0.0016,0.00,,0.0016,0.0016,,511.45M,511.51M,0.0029,,,
1999-12,140.30M,140.30M,85.80M,54.50M,,54.40M,,,,,58.20M,-3.70M,,,,,-3.70M,-1.40M,-2.30M,,,-2.30M,-2.30M,0.10M,3.80M,-3.70M,,-0.0041,0.00,,-0.0041,-0.0041,,-0.0041,0.00,,-0.0041,-0.0041,,481.87M,481.87M,0.0029,,,
1999-09,154.10M,154.10M,89.20M,64.90M,,60.10M,,,,,63.50M,1.40M,,,,,2.30M,0.90M,1.40M,,,1.40M,1.40M,4.80M,3.40M,1.40M,,0.0029,0.00,,0.0029,0.0029,,0.0029,0.00,,0.0029,0.0029,,477.69M,477.69M,0.0029,,,
1999-06,162.34M,162.34M,89.10M,73.24M,,58.20M,,,,,62.00M,11.24M,,,,,12.30M,4.70M,7.60M,,,7.60M,7.60M,15.04M,3.80M,11.24M,,0.0147,0.00,,0.0147,0.0147,,0.0147,0.00,,0.0147,0.0147,,518.64M,518.64M,0.0029,,,
1999-03,129.89M,129.89M,76.90M,52.99M,,51.00M,1.10M,,,,53.40M,-0.414M,,,1.10M,,0.80M,0.30M,0.50M,,,0.50M,-0.1875M,1.986M,2.40M,-0.414M,,0.0012,0.00,,-0.0029,0.0012,,0.0012,0.00,,-0.0029,0.0012,,168.43M,168.50M,0.0029,,,
1998-12,126.60M,126.60M,78.50M,48.10M,,52.10M,1.70M,,,,54.50M,-6.40M,,,1.70M,,-4.60M,-1.80M,-2.80M,,,0.60M,-3.835M,-4.00M,2.40M,-6.40M,,-0.0024,0.0097,,-0.0043,0.0073,,-0.0024,0.0097,,-0.0043,0.0073,,538.75M,538.75M,0.0029,,,
1998-09,144.50M,144.50M,85.60M,58.90M,,57.50M,2.20M,,,,59.70M,-0.80M,,,2.20M,,1.40M,0.50M,0.90M,,,0.90M,-0.5143M,1.40M,2.20M,-0.80M,,0.0018,0.00,,-0.0010,0.0018,,0.0018,0.00,,-0.0010,0.0018,,511.82M,511.82M,0.0088,,,
1998-06,155.10M,155.10M,86.70M,68.40M,,57.40M,2.40M,,,,59.60M,8.80M,,,2.40M,,11.10M,4.20M,6.90M,,,6.90M,5.408M,11.00M,2.20M,8.80M,,0.0123,0.00,,0.0096,0.0123,,0.0123,0.00,,0.0096,0.0123,,560.55M,560.55M,0.0088,,,
1998-03,123.00M,123.00M,76.90M,46.10M,,49.40M,2.60M,,,,51.50M,-5.40M,,,2.60M,,-2.90M,-1.10M,-1.80M,,,-1.80M,-3.414M,-3.30M,2.10M,-5.40M,,-0.0029,0.00,,-0.0056,-0.0029,,-0.0029,0.00,,-0.0056,-0.0029,,614.17M,614.17M,0.0088,,,
1997-12,117.00M,117.00M,112.60M,4.40M,,57.00M,-113.30M,,,,59.20M,-54.80M,,,-113.30M,,-168.20M,-63.90M,-104.30M,96.60M,,-7.70M,-34.04M,-52.60M,2.20M,-54.80M,,-0.1800,0.1665,,-0.0937,-0.0135,,-0.1800,0.1665,,-0.0937,-0.0135,,815.03M,815.03M,0.0088,,,
1997-09,140.30M,140.30M,88.70M,51.60M,,69.90M,1.50M,,,,72.20M,-20.60M,,,1.50M,,-19.20M,-7.30M,-11.90M,9.50M,,-2.40M,-12.83M,-18.30M,1.50M,-20.60M,,-0.0211,0.0170,,-0.0227,-0.0041,,-0.0211,0.0170,,-0.0227,-0.0041,,584.92M,584.92M,0.0088,,,
1997-06,177.80M,177.80M,102.10M,75.70M,,64.30M,1.20M,,,,66.70M,9.00M,,,1.20M,,10.20M,3.90M,6.30M,,,6.30M,5.559M,11.80M,2.80M,9.00M,,0.0111,0.00,,0.0098,0.0111,,0.0111,0.00,,0.0098,0.0111,,565.68M,565.68M,0.0088,,,
1997-03,127.00M,127.00M,72.30M,54.70M,,45.70M,1.20M,,,,47.60M,7.10M,,,1.20M,,8.20M,3.10M,5.10M,,,5.10M,4.354M,9.00M,1.90M,7.10M,,0.0088,0.00,,0.0075,0.0088,,0.0088,0.00,,0.0075,0.0088,,580.05M,580.05M,0.0088,,,
1996-12,49.90M,49.90M,34.60M,15.30M,,16.30M,1.70M,,,,17.20M,-1.90M,,,1.70M,,-0.20M,-0.10M,-0.10M,,,0.30M,-1.12M,-1.00M,0.90M,-1.90M,,0.0006,0.00,,-0.0011,0.0006,,0.0006,0.00,,-0.0011,0.0006,,603.20M,603.20M,0.0082,,,
1996-09,162.50M,162.50M,94.70M,67.80M,,61.60M,1.50M,,,,63.90M,3.90M,,,1.50M,,5.30M,2.00M,3.30M,,,3.30M,2.366M,6.20M,2.30M,3.90M,,0.0053,0.00,,0.0038,0.0053,,0.0053,0.00,,0.0038,0.0053,,625.54M,625.54M,0.0085,,,
1996-06,177.80M,177.80M,94.20M,83.60M,,62.40M,1.50M,,,,64.40M,19.20M,,,1.50M,,20.70M,7.90M,12.80M,,,12.80M,11.87M,21.20M,2.00M,19.20M,,0.0211,0.00,,0.0196,0.0211,,0.0211,0.00,,0.0196,0.0211,,606.59M,606.59M,0.0085,,,
1996-03,142.50M,142.50M,79.40M,63.10M,,52.30M,1.30M,,,,54.10M,9.00M,,,1.30M,,10.30M,3.90M,6.40M,,,6.40M,5.592M,10.80M,1.80M,9.00M,,0.0100,0.0006,,0.0086,0.0106,,0.0100,0.0006,,0.0086,0.0106,,606.59M,606.59M,0.0082,,,
1995-12,49.50M,49.50M,24.40M,25.10M,,27.90M,13.40M,,,,28.20M,-3.10M,,,13.40M,,10.20M,3.90M,6.30M,,,6.90M,-1.976M,-2.80M,0.30M,-3.10M,,0.0106,0.0012,,-0.0033,0.0117,,0.0106,0.0012,,-0.0033,0.0117,,595.56M,595.56M,0.0082,,,
1995-09,162.30M,162.30M,88.20M,74.10M,,56.00M,-10.60M,,,,58.00M,16.10M,,,-10.60M,,5.60M,2.10M,3.50M,,,3.50M,10.12M,18.20M,2.10M,16.10M,,0.0053,0.00,,0.0153,0.0053,,0.0053,0.00,,0.0153,0.0053,,663.45M,663.45M,0.0082,,,
1995-06,175.40M,175.40M,86.90M,88.50M,,53.80M,1.20M,,,,55.70M,32.80M,,,1.20M,,34.00M,12.90M,21.10M,,,21.10M,20.36M,34.70M,1.90M,32.80M,,0.0346,0.00,,0.0334,0.0346,,0.0346,0.00,,0.0334,0.0346,,610.12M,610.12M,0.0082,,,
1995-03,142.70M,142.70M,73.20M,69.50M,,55.90M,0.90M,,,,57.70M,11.80M,,,0.90M,,12.50M,4.70M,7.80M,,,7.80M,7.238M,13.60M,1.80M,11.80M,,0.0129,0.00,,0.0120,0.0129,,0.0129,0.00,,0.0120,0.0129,,604.87M,604.87M,0.0082,,,
1994-12,139.00M,139.00M,75.20M,63.80M,,48.90M,1.30M,,,,51.10M,12.70M,,,1.30M,,14.00M,5.40M,8.60M,,,8.60M,7.801M,14.90M,2.20M,12.70M,,0.0145,0.00,,0.0132,0.0145,,0.0145,0.00,,0.0132,0.0145,,603.93M,613.57M,0.0073,,,
1994-09,158.00M,158.00M,82.30M,75.70M,,53.50M,0.90M,,,,55.40M,20.30M,,,0.90M,,21.10M,8.10M,13.00M,,,13.00M,12.45M,22.20M,1.90M,20.30M,,0.0211,0.00,,0.0202,0.0211,,0.0211,0.00,,0.0202,0.0211,,616.07M,616.07M,0.0073,,,
1994-06,171.90M,171.90M,83.70M,88.20M,,52.30M,0.40M,,,,54.30M,33.90M,,,0.40M,,34.30M,13.20M,21.10M,,,21.10M,20.85M,35.90M,2.00M,33.90M,,0.0346,0.00,,0.0342,0.0346,,0.0346,0.00,,0.0342,0.0346,,610.12M,610.12M,0.0073,,,
1994-03,136.40M,136.40M,70.20M,66.20M,,53.60M,0.50M,,,,55.60M,10.60M,,,0.50M,,11.20M,4.30M,6.90M,,,6.90M,6.592M,12.60M,2.00M,10.60M,,0.0111,0.00,,0.0106,0.0111,,0.0111,0.00,,0.0106,0.0111,,619.56M,619.56M,0.0073,,,
1993-12,133.40M,133.40M,69.90M,63.50M,,49.20M,0.80M,,,,51.40M,12.10M,,,0.80M,,12.90M,5.00M,7.90M,,,7.90M,7.410M,14.30M,2.20M,12.10M,,0.0088,0.0041,,0.0080,0.0129,,0.0088,0.0041,,0.0080,0.0129,,610.73M,610.73M,0.0065,,,
1993-09,151.80M,151.80M,77.10M,74.70M,,53.70M,0.60M,,,,55.90M,18.80M,,,0.60M,,19.50M,7.80M,11.70M,,,11.70M,11.34M,21.00M,2.20M,18.80M,,0.0193,0.00,,0.0187,0.0193,,0.0193,0.00,,0.0187,0.0193,,604.87M,604.87M,0.0065,,,
1993-06,163.20M,163.20M,80.90M,82.30M,,49.90M,0.60M,,,,52.00M,30.30M,,,0.60M,,31.00M,11.90M,19.10M,,,19.10M,18.73M,32.40M,2.10M,30.30M,,0.0317,0.00,,0.0310,0.0317,,0.0317,0.00,,0.0310,0.0317,,603.43M,603.43M,0.0065,,,
1993-03,127.30M,127.30M,65.60M,61.70M,,50.80M,0.40M,,,,52.60M,9.10M,,,0.40M,,9.60M,3.70M,5.90M,,,5.90M,5.654M,10.90M,1.80M,9.10M,,0.0094,0.00,,0.0090,0.0094,,0.0094,0.00,,0.0090,0.0094,,629.11M,629.11M,0.0065,,,
1992-12,122.30M,122.30M,65.20M,57.10M,,45.20M,0.50M,,,,47.30M,9.80M,,,0.50M,,10.30M,4.10M,6.20M,,,6.20M,5.899M,11.90M,2.10M,9.80M,,0.0106,0.00,,0.0100,0.0106,,0.0106,0.00,,0.0100,0.0106,,594.81M,594.81M,0.0059,,,
1992-09,137.70M,137.70M,70.60M,67.10M,,48.60M,0.50M,,,,50.60M,16.50M,,,0.50M,,17.00M,6.70M,10.30M,,,10.30M,9.997M,18.50M,2.00M,16.50M,,0.0170,0.00,,0.0165,0.0170,,0.0170,0.00,,0.0165,0.0170,,605.94M,605.94M,0.0059,,,
1992-06,150.20M,150.20M,75.00M,75.20M,,46.60M,0.50M,,,,48.60M,26.60M,,,0.50M,,27.10M,10.70M,16.40M,,,16.40M,16.10M,28.60M,2.00M,26.60M,,0.0275,0.00,,0.0270,0.0275,,0.0275,0.00,,0.0270,0.0275,,595.30M,595.30M,0.0059,,,
1992-03,117.40M,117.40M,60.70M,56.70M,,46.80M,0.40M,,,,48.70M,8.00M,,,0.40M,,8.40M,3.30M,5.10M,,,5.10M,4.857M,9.90M,1.90M,8.00M,,0.0082,0.00,,0.0078,0.0082,,0.0082,0.00,,0.0078,0.0082,,621.49M,621.49M,0.0059,,,
1991-12,110.80M,110.80M,60.10M,50.70M,,40.60M,0.50M,,,,42.60M,8.10M,,,0.50M,,8.70M,3.50M,5.20M,,,5.20M,4.90M,10.10M,2.00M,8.10M,,0.0088,0.00,,0.0083,0.0088,,0.0088,0.00,,0.0083,0.0088,,596.28M,596.28M,0.0057,,,
1991-09,124.50M,124.50M,65.10M,59.40M,,43.80M,0.50M,,,,45.80M,13.60M,,,0.50M,,14.20M,5.60M,8.60M,,,8.60M,8.297M,15.60M,1.90M,13.60M,,0.0141,0.00,,0.0136,0.0141,,0.0141,0.00,,0.0136,0.0141,,611.33M,611.33M,0.0057,,,
1991-06,135.60M,135.60M,68.60M,67.00M,,43.10M,0.60M,,,,45.10M,21.90M,,,0.60M,,22.50M,8.90M,13.60M,,,13.60M,13.24M,23.90M,2.00M,21.90M,,0.0229,0.00,,0.0222,0.0229,,0.0229,0.00,,0.0222,0.0229,,594.92M,594.92M,0.0057,,,
1991-03,104.60M,104.60M,54.20M,50.40M,,42.40M,0.50M,,,,44.30M,6.10M,,,0.50M,,6.60M,2.60M,4.00M,,,4.00M,3.697M,8.00M,1.90M,6.10M,,0.0064,0.00,,0.0060,0.0064,,0.0064,0.00,,0.0060,0.0064,,620.37M,620.37M,0.0057,,,
1990-12,101.90M,101.90M,55.50M,46.40M,,38.20M,0.60M,,,,40.10M,6.30M,,,0.60M,,6.80M,2.70M,4.10M,,,4.10M,3.738M,8.20M,1.90M,6.30M,,0.0070,0.00,,0.0064,0.0070,,0.0070,0.00,,0.0064,0.0070,,593.68M,593.68M,0.0055,,,
1990-09,113.00M,113.00M,59.70M,53.30M,,39.70M,0.70M,,,,41.60M,11.70M,,,0.70M,,12.40M,4.90M,7.50M,,,7.50M,7.077M,13.60M,1.90M,11.70M,,0.0123,0.00,,0.0116,0.0123,,0.0123,0.00,,0.0116,0.0123,,609.29M,609.29M,0.0055,,,
1990-06,123.80M,123.80M,63.40M,60.40M,,39.10M,0.60M,,,,41.00M,19.40M,,,0.60M,,20.20M,8.00M,12.20M,,,12.20M,11.84M,21.30M,1.90M,19.40M,,0.0205,0.00,,0.0199,0.0205,,0.0205,0.00,,0.0199,0.0205,,594.68M,594.68M,0.0055,,,
1990-03,97.60M,97.60M,51.50M,46.10M,,38.80M,0.50M,,,,40.60M,5.50M,,,0.50M,,6.00M,2.40M,3.60M,,,3.60M,3.30M,7.30M,1.80M,5.50M,,0.0059,0.00,,0.0054,0.0059,,0.0059,0.00,,0.0054,0.0059,,614.17M,614.17M,0.0055,,,
1989-12,92.00M,92.00M,50.50M,41.50M,,34.60M,0.60M,,,,36.60M,4.90M,,,0.60M,,5.60M,1.80M,3.80M,,,3.80M,3.393M,6.90M,2.00M,4.90M,,0.0064,0.00,,0.0058,0.0064,,0.0064,0.00,,0.0058,0.0064,,593.06M,593.06M,0.0053,,,
1989-09,106.00M,106.00M,56.00M,50.00M,,38.30M,0.60M,,,,40.30M,9.70M,,,0.60M,,10.30M,4.20M,6.10M,,,6.10M,5.74M,11.70M,1.90M,9.70M,,0.0100,0.00,,0.0094,0.0100,,0.0100,0.00,,0.0094,0.0100,,612.16M,612.16M,0.0053,,,
1989-06,115.50M,115.50M,59.10M,56.40M,,37.40M,0.60M,,,,39.30M,17.10M,,,0.60M,,17.80M,7.20M,10.60M,,,10.60M,10.24M,19.00M,1.90M,17.10M,,0.0176,0.00,,0.0170,0.0176,,0.0176,0.00,,0.0170,0.0176,,602.80M,602.80M,0.0053,,,
1989-03,88.80M,88.80M,,,,,,,,,,88.80M,,,,,,,3.00M,,,3.00M,,88.80M,,88.80M,,0.0053,0.00,,0.0053,0.0053,,0.0053,0.00,,0.0053,0.0053,,603.88M,603.88M,0.0051,,,
1988-09,99.30M,99.30M,,,,,,,,,,99.30M,,,,,,,6.10M,,,6.10M,6.10M,99.30M,,99.30M,,0.0100,0.00,,0.0100,0.0100,,0.0100,0.00,,0.0100,0.0100,,612.16M,612.16M,0.0051,,,
1988-06,111.50M,111.50M,,,,,,,,,,-219.70M,,,,,,,12.40M,,,12.40M,,-219.70M,,-219.70M,,,,,,,,,,,,,,603.88M,603.88M,0.0051,,,
1988-03,84.30M,84.30M,,,,,,,,,,84.30M,,,,,,,2.90M,,,2.90M,,84.30M,,84.30M,,0.0047,0.00,,0.0047,0.0047,,0.0047,0.00,,0.0047,0.0047,,603.73M,603.73M,0.0049,,,
1987-12,81.10M,81.10M,,,,,,,,,,81.10M,,,,,,,3.20M,,,3.20M,,81.10M,,81.10M,,0.0053,0.00,,0.0053,0.0053,,0.0053,0.00,,0.0053,0.0053,,603.73M,603.73M,0.0049,,,
1987-09,93.90M,93.90M,,,,,,,,,,93.90M,,,,,,,5.80M,,,5.80M,,93.90M,,93.90M,,0.0094,0.00,,0.0094,0.0094,,0.0094,0.00,,0.0094,0.0094,,594.43M,594.43M,0.0049,,,
1987-06,101.70M,101.70M,,,,,,,,,,-196.00M,,,,,,,9.60M,,,9.60M,,-196.00M,,-196.00M,,,,,,,,,,,,,,594.43M,594.43M,0.0049,,,
1987-03,77.70M,77.70M,,,,,,,,,,77.70M,,,,,,,3.60M,,,3.60M,,77.70M,,77.70M,,0.0059,0.00,,0.0059,0.0059,,0.0059,0.00,,0.0059,0.0059,,595.47M,595.47M,0.0047,,,
1986-12,75.90M,75.90M,,,,,,,,,,75.90M,,,,,,,2.60M,,,2.60M,,75.90M,,75.90M,,0.0041,0.00,,0.0041,0.0041,,0.0041,0.00,,0.0041,0.0041,,595.47M,595.47M,0.0047,,,
1986-09,81.80M,81.80M,,,,,,,,,,81.80M,,,,,,,4.10M,,,4.10M,,81.80M,,81.80M,,0.0070,0.00,,0.0070,0.0070,,0.0070,0.00,,0.0070,0.0070,,595.47M,595.47M,0.0047,,,
1986-06,90.70M,90.70M,,,,,,,,,,-180.30M,,,,,,,7.80M,,,7.80M,,-180.30M,,-180.30M,,,,,,,,,,,,,,595.47M,595.47M,0.0047,,,
1986-03,71.60M,71.60M,,,,,,,,,,71.60M,,,,,,,3.40M,,,3.40M,,71.60M,,71.60M,,0.0053,0.00,,0.0053,0.0053,,0.0053,0.00,,0.0053,0.0053,,595.46M,595.46M,0.0045,,,
1985-12,70.30M,70.30M,,,,,,,,,,70.30M,,,,,,,3.70M,,,3.70M,,70.30M,,70.30M,,0.0064,0.00,,0.0064,0.0064,,0.0064,0.00,,0.0064,0.0064,,594.59M,594.59M,0.0045,,,
1985-09,75.70M,75.70M,,,,,,,,,,75.70M,,,,,,,3.60M,,,3.60M,,75.70M,,75.70M,,0.0064,0.00,,0.0064,0.0064,,0.0064,0.00,,0.0064,0.0064,,594.59M,594.59M,0.0045,,,
1985-06,83.70M,83.70M,,,,,,,,,,-163.60M,,,,,,,7.40M,,,7.40M,,-163.60M,,-163.60M,,,,,,,,,,,,,,594.59M,594.59M,0.0045,,,
1985-03,65.70M,65.70M,,,,,,,,,,65.70M,,,,,,,3.00M,,,3.00M,,65.70M,,65.70M,,0.0053,0.00,,0.0053,0.0053,,0.0053,0.00,,0.0053,0.0053,,622.82M,622.82M,0.0045,,,
1984-12,63.80M,63.80M,,,,,,,,,,63.80M,,,,,,,2.50M,,,2.50M,,63.80M,,63.80M,,0.0041,0.00,,0.0041,0.0041,,0.0041,0.00,,0.0041,0.0041,,622.82M,622.82M,,,,
1984-09,67.30M,67.30M,,,,,,,,,,67.30M,,,,,,,3.40M,,,3.40M,,67.30M,,67.30M,,0.0053,0.00,,0.0053,0.0053,,0.0053,0.00,,0.0053,0.0053,,622.41M,622.41M,,,,
1984-06,76.00M,76.00M,,,,,,,,,,-155.70M,,,,,,,7.20M,,,7.20M,,-155.70M,,-155.70M,,,,,,,,,,,,,,622.82M,622.82M,,,,
1984-03,60.60M,60.60M,,,,,,,,,,60.60M,,,,,,,3.00M,,,3.00M,,60.60M,,60.60M,,0.0047,0.00,,0.0047,0.0047,,0.0047,0.00,,0.0047,0.0047,,622.41M,622.41M,,,,
