,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-09,-66.80M,,,,,,51.90M,,,41.30M,41.30M,-17.80M,,,,,-2.00M,13.00M,8.20M,,-4.60M,-3.90M,11.70M,,24.40M,2.00M,33.00M,-30.90M,9.40M,-21.50M,,,,-21.50M,,,-2.00M,7.60M,,7.60M,,-2.50M,,-0.10M,3.00M,48.00M,14.50M,,62.50M,7.60M,,,,,
2004-06,42.70M,,,,,,-54.50M,,,45.60M,45.60M,-4.70M,,,,,,-19.20M,61.20M,,-15.30M,2.60M,32.30M,,61.60M,-2.00M,88.70M,-36.30M,2.00M,-34.30M,,,,-34.30M,,,-7.00M,1.80M,,1.80M,,-2.60M,,-0.10M,-7.90M,1.50M,46.50M,,48.00M,1.80M,,,,,
2004-03,9.20M,,,,,,-21.70M,,,45.50M,45.50M,-16.40M,,,,,,-18.90M,-48.40M,,-10.30M,1.70M,13.10M,,-62.80M,,-46.20M,-23.60M,2.10M,-21.50M,,,,-21.50M,,,-15.50M,,,,,-2.60M,,10.50M,-7.60M,76.80M,-75.30M,,1.50M,,,,,,
2003-12,-63.80M,,,,,,-25.90M,,,44.80M,44.80M,48.70M,,,,,2.90M,-15.20M,29.00M,,28.40M,-0.30M,7.60M,,49.50M,0.80M,57.00M,-38.30M,38.40M,0.10M,,,-0.30M,-0.20M,,,-56.40M,0.00,,0.00,,-2.60M,,23.00M,-36.00M,56.00M,20.80M,,76.80M,0.00,,,,,
2003-09,-28.10M,,,,,,-0.80M,,,42.90M,42.90M,-27.60M,,,,,-2.90M,-9.20M,-17.80M,-27.70M,4.40M,21.60M,23.50M,,-5.20M,-0.80M,-22.50M,-33.40M,0.00,-33.40M,,,0.30M,-33.10M,,,-35.50M,-0.30M,,-0.30M,,-2.30M,,-35.00M,-73.10M,184.70M,-128.70M,,56.00M,-0.30M,,,,,
2003-06,-6.90M,,,,,,-63.20M,,,43.10M,43.10M,-5.80M,,,,,,30.70M,-11.20M,27.70M,-24.40M,-0.20M,28.50M,,51.10M,0.20M,18.50M,-24.90M,57.00M,32.10M,,,,32.10M,,,-5.70M,133.40M,,133.40M,,-2.30M,,-2.40M,123.00M,11.10M,173.60M,,184.70M,133.40M,,,,,
2003-03,-36.60M,,,,,,-15.80M,,,41.10M,41.10M,-18.60M,,,,,,-22.10M,37.30M,,22.50M,0.20M,-22.20M,,15.70M,0.60M,-13.60M,-23.70M,20.60M,-3.10M,,,,-3.10M,,,-93.10M,,,,,-2.30M,,105.50M,10.10M,17.70M,-6.60M,,11.10M,,,,,,
2002-12,-75.70M,,,,,,10.60M,,,35.00M,35.00M,6.60M,,,,,,5.60M,-35.60M,,-1.40M,2.60M,-44.10M,-62.90M,-135.80M,121.10M,-38.20M,-39.90M,,-38.00M,,,-1.90M,-39.90M,,,-177.40M,0.00,-215.00M,-215.00M,,-2.30M,,401.20M,6.50M,89.30M,-71.60M,,17.70M,0.00,,,-215.00M,,
2002-09,8.10M,,,,,,-3.30M,,,43.60M,43.60M,-18.50M,,,,,,11.40M,-21.00M,,9.80M,0.30M,2.40M,62.90M,65.80M,-59.30M,36.40M,-34.60M,,-34.60M,,,-11.30M,-45.90M,,,-179.90M,0.00,0.00,0.00,,-4.60M,,66.80M,-117.70M,216.50M,-127.20M,,89.30M,0.00,,,0.00,,
2002-06,-47.40M,,,,,,-27.40M,,,43.70M,43.70M,-31.30M,,,,,,12.90M,21.80M,,-3.00M,2.40M,-13.70M,,20.40M,66.40M,24.40M,-33.80M,,-33.80M,,,-9.90M,-43.70M,,,102.60M,0.00,0.00,0.00,,0.00,,-66.80M,35.80M,200.00M,16.50M,,216.50M,0.00,,,0.00,,
2002-03,4.80M,,,,,,-2.50M,,,43.00M,43.00M,-26.50M,,,,,,8.70M,-22.00M,,-0.90M,-5.50M,-5.00M,,-24.70M,-7.10M,-13.00M,-31.70M,,-31.70M,,,0.10M,-31.60M,,,-69.70M,67.90M,-79.50M,-11.60M,,-2.30M,,79.50M,-4.10M,248.70M,-48.70M,,200.00M,67.90M,,,-79.50M,,
2001-12,-24.10M,,,,,,-27.80M,,,32.30M,32.30M,-53.90M,,,,,,-1.40M,81.10M,,-4.80M,4.30M,96.90M,-23.50M,152.60M,-2.50M,76.60M,-25.80M,,600.00M,,,-1.30M,598.70M,,,-87.20M,,,,,-4.40M,,-380.40M,-472.00M,45.40M,203.30M,,248.70M,,,,,,
2001-09,-29.30M,,,,,,-14.40M,,,39.00M,39.00M,-8.00M,,,,,,-53.50M,4.00M,,-6.30M,1.30M,-37.50M,-21.10M,-113.10M,,-125.80M,-38.30M,,-38.30M,,,0.30M,-38.00M,,,117.90M,,,,,-2.20M,,0.00,115.70M,93.50M,-48.10M,,45.40M,,,,,,
2001-06,-24.20M,,,,,,12.90M,,,42.90M,42.90M,5.90M,,,,,,-91.60M,-9.20M,,-21.70M,-1.80M,-8.10M,44.60M,-87.80M,-49.60M,-99.90M,-28.20M,,-28.20M,,,1.00M,-27.20M,,,241.10M,,,,,-2.20M,,-28.30M,210.60M,10.00M,83.50M,,93.50M,,,,,,
2001-03,11.10M,,,,,,-31.30M,,,43.00M,43.00M,19.90M,,,,,,11.40M,-35.60M,,-18.20M,-1.40M,-22.90M,,-66.70M,49.60M,25.60M,-30.80M,,-30.80M,,,,-30.80M,,,-59.00M,,,,,-8.70M,,-1.60M,-69.30M,84.50M,-74.50M,,10.00M,,,,,,
2000-12,-414.50M,,,,,,15.10M,,,8.60M,8.60M,-5.10M,,,,,,-30.80M,-53.10M,,49.60M,129.90M,13.90M,-5.90M,103.60M,,-19.00M,-13.10M,,-13.10M,,,1.20M,-11.90M,,,93.50M,,,,,32.70M,,-32.80M,93.40M,22.00M,62.50M,,84.50M,,,,,,
2000-09,-7.00M,,,,,,-30.30M,,,51.50M,51.50M,-2.70M,,,,,,69.80M,23.30M,,72.00M,6.90M,-27.40M,-2.10M,142.50M,,154.00M,-51.90M,-1.10M,-53.00M,,,3.20M,-49.80M,,,-96.30M,-0.10M,,-0.10M,,-8.80M,,1.10M,-104.10M,21.90M,0.10M,,22.00M,-0.10M,,,,,
2000-06,28.30M,,,,,,0.70M,,,55.30M,55.30M,-1.50M,,,,,,95.90M,-28.10M,,-29.40M,5.80M,-34.30M,10.00M,19.90M,,102.70M,-32.80M,1.10M,-31.70M,,,-0.50M,-32.20M,,,-69.40M,0.10M,,0.10M,,-37.00M,,,-106.30M,57.70M,-35.80M,,21.90M,0.10M,,,,,
2000-03,48.20M,,,,,,10.60M,,,56.20M,56.20M,-11.80M,,,,,,-43.50M,49.50M,,-8.80M,4.80M,22.50M,-2.00M,22.50M,,125.70M,-20.30M,,-20.30M,,,0.50M,-19.80M,,,-115.80M,,,,,-13.20M,,,-129.00M,80.80M,-23.10M,,57.70M,,,,,,
1999-12,-899.90M,,,,,,778.30M,,,28.70M,28.70M,133.40M,,,,,,24.30M,-1.60M,,28.70M,-5.20M,-51.50M,,-5.30M,,35.20M,-38.50M,49.90M,11.40M,,0.00,-16.60M,-5.20M,,,-4.70M,-0.10M,,-0.10M,,-9.10M,,0.00,-13.90M,64.70M,16.10M,,80.80M,-0.10M,,,,,
1999-09,13.20M,,,,,,-21.40M,,,68.50M,68.50M,-4.40M,,,,,,-31.70M,-19.70M,,39.70M,-7.20M,-26.90M,,-45.80M,,10.10M,-62.20M,-1.70M,-63.90M,7.40M,0.00,16.60M,-39.90M,,,53.80M,0.00,,0.00,,-2.70M,,-21.50M,29.60M,64.90M,-0.20M,,64.70M,0.00,,,,,
1999-06,52.20M,,,,,,28.60M,,,69.30M,69.30M,0.70M,,,,,,71.30M,31.90M,,-45.70M,5.60M,21.40M,-6.20M,78.30M,,229.10M,-76.40M,265.60M,189.20M,-7.40M,12.80M,-1.20M,193.40M,,,-410.20M,1.10M,,1.10M,,-10.70M,,,-419.80M,62.20M,2.70M,,64.90M,1.10M,,,,,
1999-03,68.20M,,,,,,2.80M,,,66.00M,66.00M,6.70M,,,,,,24.50M,58.20M,,-34.00M,-7.40M,-7.20M,6.20M,40.30M,,184.00M,-80.40M,,-80.40M,,,1.20M,-79.20M,,,-140.50M,1.40M,,1.40M,,-14.10M,,,-153.20M,110.60M,-48.40M,,62.20M,1.40M,,,,,
1998-12,-184.80M,,,,,,336.60M,,,57.80M,57.80M,15.20M,,,,,,-34.70M,-66.00M,,33.20M,-13.00M,-127.20M,,-207.70M,,17.10M,-115.40M,0.60M,-114.80M,,,,-114.80M,,,95.20M,0.10M,0.00,0.10M,,-2.70M,,44.10M,136.70M,71.60M,39.00M,,110.60M,0.10M,,,0.00,,
1998-09,37.80M,,,,,,11.90M,,,69.30M,69.30M,44.40M,,,,,,70.30M,-62.10M,,-31.60M,-39.40M,-23.20M,,-86.00M,,77.40M,-78.20M,5.80M,-72.40M,,,-5.10M,-77.50M,,,48.10M,0.20M,-3.10M,-2.90M,,-15.60M,,-97.70M,-68.10M,0.00,-68.20M,,71.60M,0.20M,,,-3.10M,,
1998-06,87.00M,,,,,,-90.90M,,,76.40M,76.40M,-63.00M,,,,,,-40.50M,133.40M,,-133.00M,43.20M,122.60M,,125.70M,,135.20M,-477.60M,42.50M,-435.10M,,,5.10M,-430.00M,,,325.50M,0.70M,16.20M,16.90M,,-9.20M,,-22.40M,310.80M,0.00,16.00M,,0.00,0.70M,,,16.20M,,
1998-03,48.00M,,,,,,-12.00M,,,48.20M,48.20M,6.30M,,,,,,-13.30M,-86.70M,,66.50M,-0.20M,-17.40M,,-51.10M,,39.40M,-89.70M,2.30M,-87.40M,,,,-87.40M,,,76.00M,7.90M,-16.20M,-8.30M,,-9.10M,,3.50M,62.10M,109.70M,14.10M,,0.00,7.90M,,,-16.20M,,
1997-06,88.30M,,,,,,38.10M,,,57.20M,57.20M,42.60M,,,,,-3.30M,-27.50M,167.40M,,-116.20M,-7.10M,15.10M,,31.70M,,254.60M,-54.60M,1.20M,-53.40M,,,,-102.00M,,,89.50M,2.00M,-25.30M,-23.30M,,-7.50M,,-221.20M,-162.50M,0.00,-9.90M,,0.00,2.00M,,,-25.30M,,
1997-03,39.10M,,,,,,19.80M,,,43.30M,43.30M,6.30M,,,,,0.00,-86.40M,-107.90M,,145.10M,4.00M,9.00M,,-36.20M,,72.30M,-50.40M,0.70M,-49.70M,,,,-49.70M,,,-71.50M,1.40M,-79.80M,-78.40M,,-7.50M,,124.60M,-32.80M,0.00,-10.20M,,0.00,1.40M,,,-79.80M,,
1996-12,56.00M,,,,,,27.70M,,,41.70M,41.70M,10.90M,,,,,-8.10M,-2.40M,-57.10M,,4.90M,7.40M,-10.40M,,-57.60M,,70.60M,-74.40M,0.20M,-74.20M,,,,-74.20M,,,83.90M,0.40M,,0.40M,,-7.60M,,-64.30M,12.40M,0.00,8.80M,,0.00,0.40M,,,,,
1996-09,21.10M,,,,,,58.70M,,,42.20M,42.20M,3.70M,,,,,,125.80M,-37.70M,,-14.50M,-3.80M,-20.00M,,49.80M,,175.50M,-44.00M,,-44.00M,,,,-44.00M,,,-22.10M,3.30M,,3.30M,,-7.50M,,-60.30M,-86.60M,9.60M,44.90M,,0.00,3.30M,,,,,
