,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2002-06,172.80M,172.80M,74.40M,98.40M,54.30M,16.60M,,19.30M,,,,-3.60M,67.30M,31.10M,,,,19.30M,,43.80M,13.20M,30.60M,,30.60M,17.12M,40.70M,9.60M,31.10M,,0.0433,0.00,,0.0244,0.0433,,0.0417,0.00,,0.0234,0.0417,,711.60M,738.00M,,,
2002-03,162.30M,162.30M,69.10M,93.20M,50.70M,15.40M,,3.80M,,,,-3.80M,62.30M,30.90M,,,,3.80M,,28.10M,7.30M,20.80M,,20.80M,17.99M,40.60M,9.70M,30.90M,,0.0292,0.00,,0.0252,0.0292,,0.0283,0.00,,0.0245,0.0283,,711.60M,741.60M,,,
2001-12,160.00M,160.00M,68.20M,91.80M,50.10M,14.40M,4.00M,3.00M,,,,-3.80M,64.70M,27.10M,,,,3.00M,,22.80M,5.80M,17.10M,0.00,17.10M,14.86M,39.70M,12.60M,27.10M,,0.0242,0.0008,0.00,0.0210,0.025,,0.0242,0.0008,0.0000,0.0210,0.025,,710.40M,710.40M,,,
2001-09,147.80M,147.80M,64.40M,83.40M,46.40M,14.00M,3.60M,3.70M,,,,-3.90M,60.10M,23.30M,,,,3.70M,,19.90M,5.40M,14.50M,,14.50M,11.80M,34.40M,11.10M,23.30M,,0.0208,0.00,,0.0170,0.0208,,0.02,0.00,,0.0163,0.02,,708.00M,736.80M,,,
2001-06,192.40M,192.40M,95.20M,97.20M,52.70M,13.50M,5.70M,-86.10M,,,,78.60M,150.50M,-53.30M,,,,-86.10M,,-71.70M,-16.00M,-55.70M,,-55.70M,11.19M,-36.30M,17.00M,-53.30M,,-0.0792,0.00,,0.0156,-0.0792,,-0.0792,0.00,,0.0156,-0.0792,,705.60M,705.60M,,,
2001-03,191.90M,191.90M,96.20M,95.70M,53.80M,13.10M,5.70M,2.40M,,,,-3.90M,68.70M,27.00M,,,,2.40M,,20.00M,5.80M,14.20M,-1.50M,12.70M,12.50M,43.30M,16.30M,27.00M,,0.02,-0.0017,0.00,0.0176,0.0183,,0.02,-0.0025,-0.0021,0.0176,0.0175,,704.40M,723.60M,,,
2000-12,216.50M,216.50M,142.60M,73.90M,57.60M,14.70M,,0.50M,,,,,27.90M,46.00M,,,,0.50M,,33.70M,8.90M,24.80M,,24.80M,24.43M,60.60M,14.60M,46.00M,,0.0354,,,0.0349,0.0354,,0.0354,,,0.0349,0.0354,,697.07M,697.07M,,,
2000-09,185.80M,185.80M,86.60M,99.20M,46.60M,12.90M,,-9.60M,,,,,74.90M,24.30M,,,,-9.60M,,7.20M,2.80M,4.40M,,4.40M,10.27M,39.70M,15.40M,24.30M,,0.0067,0.00,,0.0150,0.0067,,0.0058,0.00,,0.0139,0.0058,,700.80M,728.40M,,,
2000-06,205.00M,205.00M,101.00M,104.00M,59.00M,14.00M,,-313.00M,,,,,96.00M,8.00M,,,,-313.00M,,-311.00M,-2.00M,-309.00M,,-309.00M,1.987M,31.00M,23.00M,8.00M,,-0.4425,0.00,,0.0028,-0.4425,,-0.4425,0.00,,0.0028,-0.4425,,698.40M,698.40M,,,
2000-03,226.00M,226.00M,106.00M,120.00M,60.00M,14.00M,,-2.00M,,,,,95.00M,25.00M,,,,-2.00M,,23.00M,6.00M,17.00M,,17.00M,18.48M,46.00M,21.00M,25.00M,,0.0242,0.00,,0.0263,0.0242,,0.0242,0.00,,0.0263,0.0242,,697.07M,697.07M,,,
