,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,2.861B,,2.861B,2.675B,185.92M,,,37.39M,,-3.245M,,,,74.25M,111.66M,,,-3.245M,,79.70M,28.10M,51.60M,,,,51.60M,53.70M,182.09M,70.43M,111.66M,0.22,0.0,0.2288,0.22,0.2175,0.0,0.2259,0.2175,239.50M,248.92M,0.025
2001-09,3.859B,,3.859B,3.597B,261.56M,,,37.62M,,-0.307M,,,,73.22M,188.34M,,,-0.307M,,160.81M,59.80M,101.01M,,,,101.01M,101.21M,260.06M,71.72M,188.34M,0.415,0.0,0.4158,0.415,0.395,0.0,0.3958,0.395,242.90M,255.51M,0.02
2001-06,4.499B,,4.499B,3.925B,573.90M,,,52.40M,,-0.80M,,,,109.70M,464.20M,,,-0.80M,,439.60M,164.80M,274.80M,,,,274.80M,275.30M,521.50M,55.00M,464.20M,1.125,0.0,1.127,1.125,1.058,0.0,1.0590000000000002,1.058,244.40M,259.60M,0.02
2001-03,3.769B,,3.769B,3.464B,305.23M,,,36.37M,,-0.318M,,,,68.17M,237.06M,,,-0.318M,,214.68M,78.60M,136.08M,,,,136.08M,136.28M,292.25M,55.20M,237.06M,0.5575,0.0,0.5583,0.5575,0.5325,0.0,0.5333,0.5325,244.26M,255.44M,0.02
2000-12,4.121B,,4.121B,3.853B,268.10M,,,43.85M,,-1.564M,,,,97.19M,170.91M,,,-1.564M,,146.74M,53.40M,93.34M,,-3.342M,,93.34M,94.34M,224.25M,53.34M,170.91M,0.3825,0.0,0.3866,0.3825,0.37,0.0,0.3739,0.37,243.57M,252.95M,0.02
2000-09,4.249B,,4.249B,3.934B,314.65M,,,42.90M,,-0.357M,,,,90.74M,223.91M,,,-0.357M,,198.46M,71.10M,127.36M,,-3.344M,,127.36M,127.59M,271.75M,47.84M,223.91M,0.52,0.0,0.5209,0.52,0.5025,0.0,0.5034,0.5025,244.74M,252.97M,0.02
2000-06,3.373B,,3.373B,3.152B,220.80M,,,23.12M,,0.271M,,,,62.41M,158.39M,,,0.271M,,136.08M,48.40M,87.68M,,-0.11M,,87.68M,87.51M,197.67M,39.28M,158.39M,0.39,0.0,0.3892,0.39,0.3775,0.0,0.3767,0.3775,224.70M,232.45M,0.02
2000-03,2.929B,,2.929B,2.819B,109.32M,,,19.67M,,2.647M,,,,52.27M,57.05M,,,2.647M,,46.94M,16.20M,30.74M,,,,30.74M,29.01M,89.65M,32.60M,57.05M,0.1375,0.0,0.1297,0.1375,0.135,0.0,0.1274,0.135,223.50M,228.94M,0.02
1999-12,2.638B,,2.638B,2.552B,86.11M,,,19.40M,,3.00M,,,,52.20M,33.91M,,,3.00M,,23.60M,7.10M,16.50M,,,,16.50M,14.40M,66.71M,32.80M,33.91M,0.0725,0.0,0.0637,0.0725,0.0725,0.0,0.064,0.0725,237.38M,248.13M,0.02
1999-09,2.162B,,2.162B,2.063B,98.94M,,,16.40M,,2.50M,,,,51.50M,47.44M,,,2.50M,,34.80M,12.20M,22.60M,,,,22.60M,20.98M,82.54M,35.10M,47.44M,0.1,0.0,0.0928,0.1,0.1,0.0,0.0928,0.1,226.00M,226.00M,0.02
1999-06,1.824B,,1.824B,1.796B,28.10M,,,14.50M,,1.10M,,,,48.80M,-20.70M,,,1.10M,,-34.20M,-12.10M,-22.10M,,,,-22.10M,-22.81M,13.60M,34.22M,-20.70M,-0.0975,0.0,-0.1006,-0.0975,-0.0975,0.0,-0.1006,-0.0975,226.67M,226.67M,0.02
1999-03,1.337B,,1.337B,1.274B,63.58M,,,18.19M,,-0.079M,,,,55.06M,8.52M,,,-0.079M,,-4.016M,-1.30M,-2.716M,,,,-2.716M,-2.663M,45.40M,36.88M,8.52M,-0.0125,0.0,-0.0123,-0.0125,-0.0125,0.0,-0.0123,-0.0125,224.23M,224.23M,0.02
1998-12,1.390B,,1.390B,1.547B,-156.60M,,,-20.90M,,,,,,-29.70M,-126.90M,,,,,-137.60M,-51.90M,-85.70M,,,,-85.70M,-85.70M,-135.70M,-8.80M,-126.90M,-0.38,0.0,-0.38,-0.38,-0.38,0.0,-0.38,-0.38,219.60M,219.60M,0.02
1998-09,1.339B,,1.339B,1.276B,62.90M,,,16.80M,,-0.40M,,,,49.30M,13.60M,,,-0.40M,,6.10M,1.80M,4.30M,,,,4.30M,4.582M,46.10M,32.50M,13.60M,0.02,0.0,0.0213,0.02,0.02,0.0,0.0213,0.02,215.00M,215.00M,0.02
1998-06,1.448B,,1.448B,1.336B,112.30M,,,18.60M,,0.50M,,,,48.00M,64.30M,,,0.50M,,57.70M,17.70M,40.00M,,,,40.00M,39.65M,93.70M,29.40M,64.30M,0.1775,0.0,0.176,0.1775,0.175,0.0,0.1735,0.175,225.35M,228.57M,0.02
