,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-09,,604.42M,,604.42M,1.958B,,1.958B,45.49M,142.55M,,2.750B,0.00,11.10M,191.74M,406.42M,,21.77M,,631.04M,-374.90M,256.14M,924.06M,59.90M,983.96M,,,107.60M,180.30M,1.528B,4.278B,,702.09M,,,,702.09M,825.59M,1.528B,0.966M,,0.966M,,0.966M,,,48.35M,1.577B,55.68M,,55.68M,78.58M,78.58M,,6.178M,,315.66M,449.92M,2.027B,,122.70M,1.621B,631.04M,,-8.819M,-120.45M,-129.27M,2.245B,,,
2008-06,,536.22M,,536.22M,1.881B,,1.881B,40.47M,117.55M,,2.575B,0.00,11.46M,181.83M,398.58M,,31.40M,,623.27M,-372.66M,250.60M,864.23M,,864.23M,,,,331.44M,1.446B,4.022B,,659.38M,,,,659.38M,765.46M,1.425B,1.031M,,1.031M,,1.031M,,,52.76M,1.479B,38.39M,,38.39M,,,,5.887M,,265.96M,304.35M,1.783B,,122.40M,1.506B,606.98M,,,,-3.055M,2.233B,,,Restated
2008-03,,392.51M,,392.51M,1.884B,,1.884B,62.63M,105.70M,,2.445B,0.00,11.58M,173.02M,385.13M,,18.05M,,587.78M,-363.85M,223.92M,838.14M,,838.14M,,,,369.63M,1.432B,3.877B,,669.69M,,,,669.69M,758.60M,1.428B,0.431M,,0.431M,,0.431M,,,21.06M,1.450B,32.63M,,32.63M,,,,4.679M,,280.84M,313.46M,1.763B,,121.79M,1.418B,570.30M,,,,-1.104M,2.109B,,,Restated
2007-12,,398.78M,,398.78M,1.747B,,1.747B,48.04M,93.29M,,2.287B,0.00,11.04M,166.81M,370.64M,,13.72M,,562.20M,-349.74M,212.46M,803.28M,,803.28M,,,,364.31M,1.380B,3.667B,,641.58M,,,,641.58M,673.89M,1.315B,0.465M,,0.465M,,0.465M,,,50.24M,1.366B,36.52M,,36.52M,,,,0.058M,,273.88M,310.40M,1.677B,,121.23M,1.340B,533.78M,,,,-4.652M,1.991B,,,
2007-09,,613.35M,,613.35M,1.533B,,1.533B,39.13M,92.99M,,2.278B,0.00,9.581M,144.61M,351.17M,,11.40M,,516.76M,-324.27M,192.49M,626.69M,24.74M,651.43M,,,81.84M,185.58M,1.111B,3.389B,,621.97M,,,,621.97M,626.09M,1.248B,0.529M,,0.529M,,0.529M,,,27.84M,1.276B,40.45M,,40.45M,20.98M,20.98M,,0.051M,,207.85M,269.27M,1.546B,,120.22M,1.272B,460.47M,,9.837M,-19.22M,-9.38M,1.844B,,,
2007-06,,473.11M,,473.11M,1.457B,,1.457B,32.29M,66.08M,,2.029B,0.00,9.445M,137.99M,333.55M,,10.75M,,491.74M,-302.20M,189.54M,619.53M,,619.53M,,,,336.74M,1.146B,3.175B,,515.11M,,,,515.11M,573.63M,1.089B,,,,,,,,20.41M,1.109B,65.60M,,65.60M,,,,0.146M,,325.08M,390.68M,1.500B,,119.91M,1.192B,431.31M,,,,-68.18M,1.675B,,,
2007-03,,480.88M,,480.88M,1.382B,,1.382B,33.70M,52.01M,,1.949B,0.00,9.113M,133.31M,315.36M,,16.50M,,474.28M,-289.04M,185.24M,583.35M,,583.35M,,,,310.16M,1.079B,3.027B,,498.58M,,,,498.58M,568.58M,1.067B,,,,,,,,2.489M,1.070B,69.65M,,69.65M,,,,0.143M,,308.58M,378.23M,1.448B,,119.00M,1.134B,402.81M,,,,-76.37M,1.579B,,,
2006-12,,484.51M,,484.51M,1.348B,,1.348B,32.08M,47.36M,,1.912B,0.00,9.693M,129.57M,303.50M,,14.86M,,457.62M,-279.24M,178.38M,575.45M,,575.45M,,,,306.70M,1.061B,2.972B,,519.96M,,,,519.96M,495.79M,1.016B,,,,,,,,40.67M,1.056B,95.36M,,95.36M,,,,8.021M,,313.76M,409.12M,1.466B,,59.14M,1.085B,432.98M,,,,-78.12M,1.499B,,,
2006-09,,434.07M,,434.07M,1.304B,,1.304B,32.90M,46.73M,,1.818B,0.00,9.322M,125.10M,293.95M,,11.02M,,439.39M,-268.11M,171.28M,554.99M,21.63M,576.62M,,,112.79M,175.24M,1.036B,2.854B,,509.27M,,,,509.27M,495.70M,1.005B,14.47M,,14.47M,,14.47M,,,21.75M,1.041B,77.67M,,77.67M,,,,7.271M,,304.53M,382.20M,1.423B,,59.00M,1.024B,417.90M,,,,-77.66M,1.423B,,,
2006-06,,339.55M,,339.55M,1.350B,,1.350B,28.23M,49.09M,,1.767B,0.00,9.322M,120.34M,281.07M,,15.85M,,426.58M,-259.29M,167.29M,554.86M,,554.86M,,,,325.73M,1.048B,2.815B,,534.95M,,,,534.95M,475.42M,1.010B,11.20M,,11.20M,,11.20M,,,9.837M,1.031B,97.31M,,97.31M,,,,6.918M,,348.13M,445.44M,1.477B,,58.83M,967.10M,403.42M,,,,-98.52M,1.331B,,,
2006-03,,367.45M,,367.45M,1.187B,,1.187B,27.28M,44.10M,,1.626B,,,,,,,,390.60M,-230.98M,159.62M,553.27M,,553.27M,,,,332.32M,1.045B,2.671B,,481.05M,,,,481.05M,457.44M,938.49M,11.73M,,11.73M,,11.73M,,,3.171M,953.39M,100.44M,,100.44M,,,,6.752M,,329.26M,429.70M,1.383B,,58.58M,928.09M,397.16M,,,,-102.18M,1.282B,,,
2005-12,,271.16M,,271.16M,1.121B,,1.121B,23.21M,45.84M,,1.461B,,,,,,,,385.99M,-230.98M,155.02M,,549.84M,549.84M,,,,332.77M,1.038B,2.499B,,312.00M,,,,312.00M,393.26M,705.27M,9.074M,,9.074M,,9.074M,,,137.80M,852.14M,93.07M,,93.07M,,,,6.695M,,327.21M,420.28M,1.272B,,58.27M,891.64M,373.92M,,,,-104.14M,1.220B,,,
2005-09,,239.85M,,239.85M,1.030B,,1.030B,21.51M,46.15M,,1.337B,0.00,8.775M,111.77M,257.49M,,7.909M,,385.95M,-230.98M,154.97M,547.91M,41.28M,589.19M,,,126.98M,170.28M,1.041B,2.379B,,366.99M,,,,366.99M,407.77M,774.76M,6.351M,,6.351M,,6.351M,,,3.982M,785.10M,89.63M,,89.63M,,,,6.555M,,331.80M,421.43M,1.207B,,58.13M,850.06M,354.94M,,,,-97.35M,1.166B,,,
2005-06,,201.74M,,201.74M,1.044B,,1.044B,24.30M,62.08M,,1.332B,0.00,8.821M,108.02M,235.85M,,19.37M,,372.06M,-216.84M,155.22M,,547.89M,547.89M,,,,274.14M,977.24M,2.310B,,253.70M,,,,253.70M,394.45M,648.15M,11.37M,,11.37M,,11.37M,,,130.08M,789.60M,103.20M,,103.20M,,,,6.434M,,270.28M,373.48M,1.163B,,57.67M,920.04M,214.48M,,,,-52.08M,1.140B,,,
2005-03,,155.14M,,155.14M,1.021B,,1.021B,27.14M,59.16M,,1.262B,0.00,8.81M,67.91M,241.92M,53.47M,6.298M,,378.41M,-222.20M,156.21M,,547.82M,547.82M,,,,285.45M,989.49M,2.251B,,226.10M,,,,226.10M,400.16M,626.26M,11.98M,,11.98M,,11.98M,,,125.93M,764.18M,109.31M,,109.31M,,,,6.207M,,281.24M,390.55M,1.155B,,57.34M,880.48M,198.80M,,,,-46.09M,1.091B,,,
2004-12,,168.73M,,168.73M,964.11M,,964.11M,22.54M,61.61M,,1.217B,0.00,8.836M,119.84M,246.39M,,2.839M,,377.90M,-225.36M,152.54M,,547.64M,547.64M,,,,289.25M,989.43M,2.206B,,237.28M,,,,237.28M,372.74M,610.03M,1.532M,,1.532M,,1.532M,,,147.83M,759.39M,112.14M,,112.14M,,,,5.891M,,289.64M,401.78M,1.161B,,56.75M,851.06M,176.86M,,,,-45.30M,1.039B,,,
2004-09,,100.08M,,100.08M,902.44M,,902.44M,21.84M,59.16M,,1.084B,0.00,7.99M,66.05M,240.32M,38.99M,11.13M,,364.48M,-213.30M,151.18M,,596.94M,596.94M,,,82.08M,157.33M,987.53M,2.071B,,195.92M,,,,195.92M,377.17M,573.09M,1.257M,,1.257M,,1.257M,,,111.57M,685.91M,78.76M,,78.76M,25.18M,25.18M,,5.656M,,270.51M,374.45M,1.060B,,56.70M,820.47M,174.56M,,,,-46.70M,1.005B,,,
2004-06,,173.30M,,173.30M,844.61M,,844.61M,18.46M,57.17M,,1.094B,0.00,8.046M,93.35M,206.70M,,7.188M,,315.29M,-175.12M,140.17M,,390.29M,390.29M,,,,174.33M,704.79M,1.798B,,194.11M,,,,194.11M,318.79M,512.90M,1.91M,,1.91M,,1.91M,,,105.07M,619.88M,24.99M,,24.99M,,,,5.619M,,190.80M,215.80M,835.68M,,56.31M,790.00M,161.56M,,,,-50.85M,957.04M,,,
2004-03,,171.99M,,171.99M,840.16M,,840.16M,18.37M,53.03M,,1.084B,0.00,8.223M,91.50M,212.03M,,7.635M,,319.38M,-178.53M,140.86M,,390.29M,390.29M,,,,159.20M,690.34M,1.774B,,207.47M,,,,207.47M,301.85M,509.32M,0.895M,,0.895M,,0.895M,,,122.39M,632.61M,19.02M,,19.02M,,,,5.56M,,191.10M,210.11M,842.72M,,56.25M,760.23M,159.31M,,,,-50.16M,925.62M,,,
2003-12,,160.59M,,160.59M,799.77M,,799.77M,17.96M,55.81M,,1.034B,0.00,8.091M,61.19M,219.02M,30.32M,7.27M,,325.90M,-182.62M,143.28M,,388.96M,388.96M,,,,155.24M,687.48M,1.722B,,194.72M,,,,194.72M,286.41M,481.13M,2.32M,,2.32M,,2.32M,,,143.37M,626.82M,15.50M,,15.50M,,,,5.462M,,192.12M,207.63M,834.45M,,55.88M,726.33M,145.33M,,,,-45.83M,881.70M,,,
2003-09,,126.16M,,126.16M,778.06M,,778.06M,8.491M,57.40M,,970.10M,0.00,8.039M,59.65M,223.04M,29.36M,5.345M,,325.44M,-183.34M,142.10M,,395.81M,395.81M,,,,162.50M,700.41M,1.671B,,196.22M,,,,196.22M,299.69M,495.90M,0.467M,,0.467M,,0.467M,,,115.04M,611.41M,17.81M,,17.81M,,,,5.297M,,193.91M,211.72M,823.13M,,55.84M,692.94M,143.97M,,,,-50.67M,842.08M,,,
2003-06,,109.98M,,109.98M,789.51M,,789.51M,10.19M,64.60M,,974.28M,0.00,37.24M,59.32M,229.20M,,5.798M,,331.56M,-185.98M,145.59M,,395.82M,395.82M,,,,145.89M,687.30M,1.662B,,171.18M,,,,171.18M,332.08M,503.26M,34.54M,,34.54M,,34.54M,,,148.14M,685.94M,,,,,,,5.337M,,159.15M,159.15M,845.09M,,55.40M,661.12M,129.04M,,,,-34.41M,811.15M,,,
2003-03,,76.88M,,76.88M,822.36M,,822.36M,15.56M,59.52M,,974.33M,0.00,7.855M,56.10M,230.97M,29.45M,5.752M,,330.12M,-182.65M,147.47M,,393.47M,393.47M,,,,146.27M,687.21M,1.662B,,201.95M,,,,201.95M,325.69M,527.64M,37.68M,,37.68M,,37.68M,,,159.96M,725.29M,,,,,,,5.204M,,160.58M,160.58M,885.87M,,55.29M,629.44M,124.70M,,,,-38.97M,770.46M,,,
2002-12,,57.26M,,57.26M,826.73M,,826.73M,14.50M,66.65M,,965.14M,0.00,7.935M,83.95M,236.75M,,4.885M,,333.51M,-183.23M,150.29M,,393.42M,393.42M,,,,147.16M,690.86M,1.656B,,212.84M,,,,212.84M,311.00M,523.84M,0.214M,,0.214M,,0.214M,,,170.24M,694.30M,73.34M,,73.34M,,,,5.20M,,160.60M,233.94M,928.24M,,54.80M,598.76M,111.85M,,,,-42.84M,722.56M,,,
2002-09,,48.47M,,48.47M,845.36M,,845.36M,14.46M,66.61M,,974.90M,0.00,7.903M,54.01M,239.16M,27.99M,2.99M,,332.05M,-182.14M,149.90M,,390.95M,390.95M,,,,158.22M,699.08M,1.674B,,229.58M,,,,229.58M,322.62M,552.20M,5.962M,,5.962M,,5.962M,,,182.26M,740.42M,85.73M,,85.73M,,,,5.882M,,152.34M,238.07M,978.49M,,54.76M,568.96M,110.78M,,,,-44.89M,689.61M,,,
2002-06,,50.29M,,50.29M,842.48M,,842.48M,17.86M,62.70M,,973.33M,0.00,7.851M,52.82M,249.37M,27.02M,2.534M,,339.59M,-189.99M,149.60M,,380.84M,380.84M,,,,136.92M,667.37M,1.641B,,231.15M,,,,231.15M,360.41M,591.56M,2.278M,,2.278M,,2.278M,,,146.66M,740.49M,115.84M,,115.84M,,,,5.689M,,96.23M,212.08M,952.57M,,54.39M,540.86M,99.58M,2.022M,,,-10.36M,682.44M,,,
2002-03,,54.13M,,54.13M,764.47M,,764.47M,15.14M,62.23M,,895.96M,,,,,,,,324.91M,-172.59M,152.32M,,366.44M,366.44M,,,,143.87M,662.63M,1.559B,,182.22M,,,,182.22M,344.92M,527.14M,37.50M,,37.50M,,37.50M,,,136.47M,701.11M,105.61M,,105.61M,,,,5.051M,,99.26M,204.88M,905.98M,,27.14M,514.58M,123.23M,2.104M,,,-15.30M,647.55M,,,
2001-12,,45.00M,,45.00M,811.66M,,811.66M,13.19M,69.87M,,939.73M,0.00,7.042M,49.29M,240.52M,21.85M,15.27M,,333.96M,-181.52M,152.45M,,366.53M,366.53M,,,18.05M,125.26M,662.29M,1.602B,,191.48M,,,,191.48M,344.85M,536.33M,64.69M,,64.69M,,64.69M,,,163.97M,764.99M,121.48M,,121.48M,,,,5.123M,,97.39M,218.87M,983.86M,,26.93M,494.24M,110.02M,2.003M,,,-16.15M,613.04M,,,
2001-09,,49.26M,,49.26M,817.16M,,817.16M,15.08M,64.65M,,946.16M,0.00,7.106M,51.72M,231.32M,16.13M,16.29M,,322.57M,-172.59M,149.98M,,317.66M,317.66M,,,,143.24M,610.88M,1.557B,,197.71M,,,,197.71M,295.76M,493.48M,19.69M,,19.69M,,19.69M,,,187.50M,700.66M,164.31M,,164.31M,,,,5.098M,,95.17M,259.48M,960.14M,,26.87M,472.01M,105.61M,2.073M,,,-10.62M,591.80M,,,
2001-06,,99.93M,,99.93M,767.68M,,767.68M,13.20M,59.73M,,940.54M,0.00,24.32M,53.86M,221.91M,,19.32M,,319.40M,-170.86M,148.55M,,299.60M,299.60M,,,,125.11M,573.26M,1.514B,,198.85M,,,,198.85M,349.01M,547.86M,13.48M,,13.48M,,13.48M,,,157.86M,719.20M,177.75M,,177.75M,,,,4.778M,,53.59M,231.34M,950.54M,,26.85M,449.18M,99.49M,4.408M,,,-12.63M,558.48M,,,
2001-03,,97.56M,,97.56M,754.81M,,754.81M,10.62M,60.41M,,923.39M,0.00,23.04M,55.08M,216.54M,,13.13M,,307.80M,-167.48M,140.32M,264.47M,,264.47M,,,,121.28M,526.07M,1.449B,,233.09M,,,,233.09M,293.50M,526.59M,4.546M,,4.546M,,4.546M,119.17M,119.17M,28.22M,678.52M,160.56M,,160.56M,,,,5.15M,,63.19M,223.75M,902.27M,,26.69M,436.66M,92.76M,1.682M,,,-12.39M,542.04M,,,
2000-12,,80.15M,,80.15M,721.46M,,721.46M,,,76.42M,878.03M,,,,,,,,299.38M,-159.62M,139.77M,,267.07M,267.07M,,,,113.76M,520.60M,1.399B,,279.00M,,,,279.00M,,279.00M,,,2.394M,,2.394M,,,406.63M,688.02M,135.36M,,135.36M,,,,5.304M,,54.84M,190.20M,878.22M,,26.46M,419.93M,82.37M,2.21M,,,-11.46M,515.10M,,,
2000-09,,65.85M,,65.85M,710.98M,,710.98M,,,74.20M,851.02M,,,,,,,,304.10M,-153.60M,150.49M,,269.04M,269.04M,,,,113.82M,533.35M,1.384B,,224.06M,,,,224.06M,,224.06M,,,18.46M,,18.46M,,,441.34M,683.86M,146.82M,,146.82M,,,,5.204M,,52.95M,199.77M,883.63M,,26.39M,400.79M,79.35M,,,,-10.99M,495.54M,,,
2000-06,,61.92M,,61.92M,,,684.56M,,,94.81M,841.29M,,,,,,,,310.10M,-158.34M,151.76M,,250.11M,250.11M,,,,118.83M,520.70M,1.362B,,212.86M,,,,212.86M,,212.86M,,,7.742M,,7.742M,,,401.63M,622.22M,210.25M,,210.25M,,,,5.866M,,46.01M,256.26M,878.48M,,26.25M,386.50M,73.04M,,,,-8.137M,477.65M,,,
2000-03,,47.85M,,47.85M,,,643.83M,,,94.90M,786.58M,,,,,,,,288.09M,-138.82M,149.27M,,251.05M,251.05M,,,,111.91M,512.24M,1.299B,,197.83M,,,,197.83M,,197.83M,,,8.021M,,8.021M,,,387.15M,593.01M,195.39M,,195.39M,,,,6.197M,,45.16M,240.55M,833.56M,,26.18M,368.22M,71.03M,,,,-6.374M,459.06M,,,
1999-12,,55.20M,,55.20M,,,589.60M,,,90.00M,734.80M,,,,,,,,262.10M,-121.90M,140.20M,,243.50M,243.50M,,,,103.60M,487.30M,1.222B,,202.90M,,,,202.90M,,202.90M,,,7.90M,,7.90M,,,391.70M,602.50M,127.70M,,127.70M,,,,6.30M,,44.90M,172.60M,775.10M,,26.10M,353.10M,68.30M,,,,-6.70M,440.70M,,,
1999-09,,53.50M,,53.50M,,,586.00M,,,90.10M,729.60M,,,,,,,,255.60M,-115.90M,139.70M,,245.50M,245.50M,,,,105.40M,490.60M,1.220B,,186.30M,,,,186.30M,,186.30M,,,9.50M,,9.50M,,,389.20M,585.00M,135.40M,,135.40M,,,,6.20M,,44.90M,180.30M,765.30M,,26.10M,359.00M,68.00M,,,,-4.40M,448.70M,,,
1999-06,,52.00M,,52.00M,,,673.60M,,,85.40M,811.00M,,,,,,,,259.20M,-116.20M,143.00M,,230.00M,230.00M,,,,99.60M,472.60M,1.284B,,161.80M,,,,161.80M,,161.80M,,,6.00M,,6.00M,,,469.60M,637.40M,168.40M,,168.40M,,,,5.50M,,49.60M,218.00M,855.40M,,,342.30M,,,,,,422.70M,,,
1999-03,,73.50M,,73.50M,,,627.70M,,,80.00M,781.20M,,,,,,,,251.40M,-110.30M,141.10M,,231.70M,231.70M,,,,98.10M,470.90M,1.252B,,159.90M,,,,159.90M,,159.90M,,,4.60M,,4.60M,,,418.20M,582.70M,209.20M,,209.20M,,,,6.80M,,49.20M,258.40M,841.10M,,,326.70M,,,,,,404.20M,,,
1998-12,,114.20M,,114.20M,,,399.70M,,,54.70M,568.60M,,,,,,,,211.40M,-105.10M,106.30M,,74.90M,74.90M,,,,65.00M,246.20M,814.80M,,111.10M,,,,111.10M,,111.10M,,,0.30M,,0.30M,,,254.10M,365.50M,23.60M,,23.60M,,,,6.50M,,34.00M,57.60M,423.10M,,,314.90M,,,,,,385.20M,,,
1998-09,,101.30M,,101.30M,,,394.80M,,,69.90M,566.00M,,,,,,,,201.50M,-100.90M,100.60M,,77.20M,77.20M,,,,63.70M,241.50M,807.50M,,101.80M,,,,101.80M,,101.80M,,,0.20M,,0.20M,,,266.30M,368.30M,26.20M,,26.20M,,,,6.30M,,35.30M,61.50M,429.80M,,,300.30M,,,,,,371.40M,,,
1998-06,,67.20M,,67.20M,,,381.40M,,,70.40M,519.00M,,,,,,,,202.90M,-94.00M,108.90M,,73.50M,73.50M,,,,80.10M,262.50M,781.50M,,80.90M,,,,80.90M,,80.90M,,,0.90M,,0.90M,,,251.80M,333.60M,52.50M,,52.50M,,,,5.80M,,32.40M,84.90M,418.50M,,,287.40M,,,,,,357.20M,,,
1998-03,,67.90M,,67.90M,,,383.40M,,,74.90M,526.20M,,,,,,,,191.30M,-94.00M,97.30M,,73.80M,73.80M,,,,76.90M,248.00M,774.20M,,93.40M,,,,93.40M,,93.40M,,,,,,,,242.20M,335.60M,51.80M,,51.80M,,,,5.50M,,32.60M,84.40M,420.00M,,,273.60M,,,,,,348.70M,,,
1997-12,,56.10M,,56.10M,,,390.40M,,,66.80M,513.30M,,,,,,,,190.80M,-95.40M,95.40M,,75.00M,75.00M,,,,75.10M,245.50M,758.80M,,116.50M,,,,116.50M,,116.50M,,,0.50M,,0.50M,,,214.20M,331.20M,53.40M,,53.40M,,,,5.40M,,35.90M,89.30M,420.50M,,,262.60M,,,,,,332.90M,,,
1997-09,,56.00M,,56.00M,,,373.20M,,,68.20M,497.40M,,,,,,,,184.40M,-91.00M,93.40M,,75.40M,75.40M,,,,71.40M,240.20M,737.60M,,109.10M,,,,109.10M,,109.10M,,,1.40M,,1.40M,,,208.70M,319.20M,54.10M,,54.10M,,,,5.50M,,34.50M,88.60M,407.80M,,,249.80M,,,,,,324.30M,,,
1997-06,,80.30M,,80.30M,,,296.50M,,,63.40M,440.20M,,,,,,,,172.80M,-83.50M,89.30M,,48.00M,48.00M,,,,73.30M,210.60M,650.80M,,44.40M,,,,44.40M,,44.40M,,,2.90M,,2.90M,,,225.80M,273.10M,33.90M,,33.90M,,,,,,28.50M,62.40M,335.50M,,,238.80M,,,,,,315.30M,,,
1997-03,,100.30M,,100.30M,,,276.80M,,,43.50M,420.60M,,,,,,,,166.20M,-83.10M,83.10M,,42.00M,42.00M,,,,72.10M,197.20M,617.80M,,48.80M,,,,48.80M,,48.80M,,,2.50M,,2.50M,,,200.10M,251.40M,35.10M,,35.10M,,,,,,27.80M,62.90M,314.30M,,,226.90M,,,,,,303.50M,,,
1996-12,,79.80M,,79.80M,,,259.20M,,,41.10M,380.10M,,,,,,,,162.50M,-83.50M,79.00M,,40.60M,40.60M,,,,74.30M,193.90M,574.00M,,48.70M,,,,48.70M,,48.70M,,,1.50M,,1.50M,,,168.20M,218.40M,36.80M,,36.80M,,,,,,24.10M,60.90M,279.30M,,,217.60M,,,,,,294.70M,,,
1996-09,,62.90M,,62.90M,,,276.70M,,,44.00M,383.60M,,,,,,,,162.50M,-83.50M,79.00M,,40.50M,40.50M,,,,69.40M,188.90M,572.50M,,60.80M,,,,60.80M,,60.80M,,,0.70M,,0.70M,,,166.60M,228.10M,36.30M,,36.30M,,,,,,24.70M,61.00M,289.10M,,,207.60M,,,,,,283.40M,,,
1996-06,,79.90M,,79.90M,,,272.90M,,,42.00M,394.80M,,,,,,,,156.10M,-75.10M,81.00M,,40.80M,40.80M,,,,66.80M,188.60M,583.40M,,60.70M,,,,60.70M,,60.70M,,,8.50M,,8.50M,,,182.10M,251.30M,35.90M,,35.90M,,,,,,23.20M,59.10M,310.40M,,,197.30M,,,,,,273.00M,,,
1996-03,,69.30M,,69.30M,,,280.70M,,,40.10M,390.10M,,,,,,,,156.90M,-75.10M,81.80M,,41.00M,41.00M,,,,65.80M,188.60M,578.70M,,73.90M,,,,73.90M,,73.90M,,,15.90M,,15.90M,,,169.00M,258.80M,36.30M,,36.30M,,,,,,21.70M,58.00M,316.80M,,,187.10M,,,,,,261.90M,,,
1995-12,,59.50M,,59.50M,,,282.40M,,,39.20M,381.10M,,,,,,,,153.70M,-72.70M,81.00M,,41.30M,41.30M,,,,45.50M,167.80M,548.90M,,66.50M,,,,66.50M,,66.50M,,,15.40M,,15.40M,,,179.10M,261.00M,17.50M,,17.50M,,,,,,22.10M,39.60M,300.60M,,,177.70M,,,,,,248.30M,,,
1995-09,,39.10M,,39.10M,,,292.10M,,,37.40M,368.60M,,,,,,,,149.00M,-68.90M,80.10M,,41.90M,41.90M,,,,43.30M,165.30M,533.90M,,63.80M,,,,63.80M,,63.80M,,,16.60M,,16.60M,,,174.90M,255.30M,17.80M,,17.80M,,,,,,22.00M,39.80M,295.10M,,,168.20M,,,,,,238.80M,,,
1995-06,,30.10M,,30.10M,,,295.00M,,,34.30M,359.40M,,,,,,,,145.20M,-66.50M,78.70M,,37.80M,37.80M,,,,45.30M,161.80M,521.20M,,69.90M,,,,69.90M,,69.90M,,,15.80M,,15.80M,,,168.40M,254.10M,18.10M,,18.10M,,,,,,22.10M,40.20M,294.30M,,,159.20M,,,,,,226.90M,,,
1995-03,,21.70M,,21.70M,,,291.90M,,,33.60M,347.20M,,,,,,,,123.10M,-64.30M,58.80M,,38.20M,38.20M,,,,44.10M,141.10M,488.30M,,58.90M,,,,58.90M,,58.90M,,,14.40M,,14.40M,,,169.80M,243.10M,10.00M,,10.00M,,,,,,16.80M,26.80M,269.90M,,,150.90M,,,,,,218.40M,,,
1994-12,,22.10M,,22.10M,,,275.20M,,,33.00M,330.30M,,,,,,,,119.90M,-61.10M,58.80M,,38.30M,38.30M,,,,41.40M,138.50M,468.80M,,65.30M,,,,65.30M,,65.30M,,,10.40M,,10.40M,,,154.40M,230.10M,15.00M,,15.00M,,,,,,17.00M,32.00M,262.10M,,,143.50M,,,,,,206.70M,,,
1994-09,,45.60M,,45.60M,,,291.00M,,,30.90M,367.50M,,,,,,,,118.10M,-58.10M,60.00M,,38.60M,38.60M,,,,38.30M,136.90M,504.40M,,93.10M,,,,93.10M,,93.10M,,,9.20M,,9.20M,,,159.10M,261.40M,25.00M,,25.00M,,,,,,17.60M,42.60M,304.00M,,,136.20M,,,,,,200.40M,,,
1994-06,,13.90M,,13.90M,,,221.30M,,,27.20M,262.40M,,,,,,,,104.20M,-49.80M,54.40M,,,,,,,51.80M,106.20M,368.60M,,36.30M,,,,36.30M,,36.30M,,,,,,,,120.00M,156.30M,,,,,,,,,,12.50M,168.80M,,,139.30M,,,,,,199.80M,,,
1994-03,,21.10M,,21.10M,,,201.90M,,,27.60M,250.60M,,,,,,,,104.20M,-49.80M,54.40M,,,,,,,50.40M,104.80M,355.40M,,25.50M,,,,25.50M,,25.50M,,,,,,,,125.50M,151.00M,,,,,,,,,,12.60M,163.60M,,,132.30M,,,,,,191.80M,,,
1993-12,,12.70M,,12.70M,,,212.20M,,,27.20M,252.10M,,,,,,,,103.20M,-49.80M,53.40M,,,,,,,45.40M,98.80M,350.90M,,26.10M,,,,26.10M,,26.10M,,,,,,,,131.10M,157.20M,,,,,,,,,,12.80M,170.00M,,,125.10M,,,,,,180.90M,,,
1993-09,,20.50M,,20.50M,,,201.40M,,,43.00M,264.90M,,,,,,,,93.30M,-49.80M,43.50M,,14.90M,14.90M,,,,27.70M,86.10M,351.00M,,42.90M,,,,42.90M,,42.90M,,,,,,,,121.40M,164.30M,,,,,,,,,,12.90M,177.20M,,,118.60M,,,,,,173.80M,,,
1993-06,,23.50M,,23.50M,,,193.70M,,,49.70M,266.90M,,,,,,,,83.60M,-45.60M,38.00M,,15.30M,15.30M,,,,16.40M,69.70M,336.60M,,34.40M,,,,34.40M,,34.40M,,,8.50M,,8.50M,,,125.80M,168.70M,,,,1.10M,1.10M,,,,3.80M,4.90M,173.60M,,,110.40M,,,,,,163.00M,,,
