,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-12,98.37M,,,,,,-10.40M,14.35M,2.315M,16.66M,16.66M,1.112M,,,,-10.79M,-89.58M,,-0.748M,-9.157M,,-18.03M,,-117.52M,-22.57M,,-18.35M,0.065M,-18.28M,-199.85M,,15.67M,-202.46M,,,,-10.45M,9.528M,,9.528M,,,10.92M,9.993M,,613.35M,-215.04M,0.466M,398.78M,,9.528M,,,,,,
2007-09,83.89M,,,,,,1.066M,13.08M,1.276M,14.35M,14.35M,1.837M,,,,-10.23M,-40.65M,,-6.46M,80.82M,,56.19M,,89.90M,180.81M,,-16.55M,-0.937M,-17.49M,-2.958M,-2.752M,-4.382M,-27.58M,,,,-25.29M,9.307M,,9.307M,,,-3.739M,-19.72M,,473.11M,133.51M,6.731M,613.35M,,9.307M,,,,,,
2007-06,74.75M,,,,,,0.168M,13.30M,1.275M,14.57M,14.57M,-3.236M,,,,3.988M,-8.185M,,2.963M,5.362M,,-31.59M,,-31.45M,58.80M,,-13.52M,0.13M,-13.39M,-46.02M,-0.101M,-0.875M,-60.38M,,,,-7.499M,10.43M,,10.43M,,,-8.949M,-6.02M,,480.88M,-7.609M,-0.154M,473.11M,,10.43M,,,,,,
2007-03,67.23M,,,,,,-0.918M,12.45M,1.385M,13.84M,13.84M,0.269M,,,,-6.094M,-30.88M,,-1.52M,-22.94M,,27.67M,,-27.66M,46.66M,,-19.55M,1.961M,-17.59M,-15.80M,-3.359M,-4.547M,-41.30M,,,,-25.67M,8.174M,,8.174M,,,9.323M,-8.174M,,484.51M,-2.809M,-0.827M,480.88M,,8.174M,,,,,,
2006-12,61.26M,,,,,,0.979M,10.88M,2.022M,12.91M,12.91M,-0.32M,,,,4.515M,-21.93M,,1.342M,1.61M,,14.23M,,-4.751M,74.59M,,-14.99M,0.336M,-14.65M,-23.95M,3.359M,-1.288M,-36.53M,,,,2.131M,6.782M,,6.782M,,,4.71M,13.62M,,434.07M,51.68M,-1.235M,484.51M,,6.782M,,,,,,
2006-09,58.73M,,,,,,-0.812M,10.63M,1.916M,12.55M,12.55M,4.269M,,,,4.327M,48.15M,,-4.607M,-28.14M,,31.96M,,47.37M,126.42M,,-14.26M,-0.04M,-14.30M,0.00,-1.787M,-0.933M,-17.02M,,,,-17.35M,7.69M,,7.69M,,,-3.384M,-13.04M,,339.55M,96.36M,-1.843M,434.07M,,7.69M,,,,,,
2006-06,50.63M,,,,,,-0.04M,10.15M,1.917M,12.07M,12.07M,-8.609M,,,,0.921M,-139.71M,,-0.384M,42.40M,,17.52M,,-80.18M,-25.20M,,-15.28M,0.818M,-14.46M,-1.593M,0.764M,1.067M,-14.22M,,,,-9.10M,9.094M,,9.094M,,,20.48M,20.48M,,367.45M,-18.95M,-8.947M,339.55M,,9.094M,,,,,,
2006-03,44.50M,,,,,,-1.40M,19.81M,3.831M,12.09M,12.09M,4.117M,,,,0.552M,-59.67M,,-3.722M,57.92M,,37.64M,,32.17M,92.03M,,-13.60M,0.168M,-13.43M,-6.671M,-2.768M,0.96M,-21.91M,,,,8.724M,5.611M,,5.611M,,,12.15M,26.49M,,271.16M,96.61M,-0.326M,367.45M,,5.611M,,,,,,
2005-12,43.02M,,,,,,2.393M,,,11.55M,11.55M,,,,,,-93.80M,,-1.779M,54.92M,,13.97M,,-26.69M,30.28M,,-10.84M,0.356M,-10.48M,-2.691M,0.077M,-1.315M,-14.41M,,,,7.601M,6.993M,,6.993M,,,-0.199M,14.40M,,239.85M,30.26M,1.052M,271.16M,,6.993M,,,,,,
2005-09,38.31M,,,,,,0.291M,10.21M,1.909M,12.12M,12.12M,-1.746M,,,,-0.934M,15.29M,,2.777M,15.15M,,-8.792M,,24.42M,72.46M,,-10.41M,0.449M,-9.963M,,0.399M,-23.63M,-33.19M,,,,-19.18M,10.21M,,10.21M,,,4.845M,-4.131M,,201.74M,35.14M,2.969M,239.85M,,10.21M,,,,,,
2005-06,36.60M,,,,,,-14.47M,28.51M,5.727M,15.17M,15.17M,-4.733M,,,,15.94M,-43.69M,,2.164M,31.74M,,10.85M,,1.065M,49.58M,,-10.61M,0.378M,-10.23M,,1.165M,0.274M,-8.79M,,,,-0.96M,11.23M,,11.23M,,,-1.479M,8.789M,,155.14M,49.58M,-2.982M,201.74M,,11.23M,,,,,,
2005-03,24.17M,,,,,,16.03M,,,7.605M,7.605M,1.004M,,,,0.597M,-65.44M,,-4.943M,-8.489M,,-4.326M,,-83.20M,-33.80M,,-15.41M,0.083M,-15.32M,,-0.322M,-2.397M,-18.04M,,,,10.54M,15.12M,,15.12M,,,10.57M,36.23M,,168.73M,-15.61M,2.018M,155.14M,,15.12M,,,,,,
2004-12,32.53M,,,,,,0.023M,,,11.46M,11.46M,-2.292M,,,,0.311M,-33.93M,,0.207M,35.55M,,18.19M,,20.02M,62.05M,,-7.477M,0.444M,-7.033M,,0.322M,-1.597M,-8.308M,,,,26.90M,0.501M,,0.501M,,,-7.598M,19.81M,,100.08M,73.55M,-4.892M,168.73M,,0.501M,,,,,,
2004-09,17.07M,,,,,,-10.36M,,,8.712M,8.712M,-15.02M,,,,18.58M,-5.768M,,-0.203M,-14.22M,,21.42M,,1.226M,20.20M,,-12.51M,4.66M,-7.854M,,11.93M,1.599M,-158.07M,,,,47.89M,12.59M,,12.59M,,,8.174M,68.66M,,173.30M,-69.21M,-4.016M,100.08M,,12.59M,,,,,,
2004-06,29.93M,,,,,,-0.117M,,,8.216M,8.216M,-4.149M,,,,0.187M,-9.411M,,-0.175M,-11.59M,,1.935M,,-19.24M,14.82M,,-8.975M,0.561M,-8.414M,,-11.82M,-6.253M,-26.48M,,,,6.789M,1.472M,,1.472M,,,2.335M,10.60M,,171.99M,-1.063M,2.373M,173.30M,,1.472M,,,,,,
2004-03,34.78M,,,,,,0.047M,,,8.606M,8.606M,2.864M,,,,0.193M,-39.51M,,-0.478M,12.07M,,-5.749M,,-33.66M,12.82M,,-8.016M,2.522M,-5.494M,,0.211M,-4.449M,-9.732M,,,,2.12M,13.02M,,13.02M,,,0.028M,15.16M,,160.59M,18.25M,-6.854M,171.99M,,13.02M,,,,,,
2003-12,33.80M,,,,,,-0.055M,,,8.62M,8.62M,-0.146M,,,,0.204M,11.40M,,-8.876M,-10.19M,,4.212M,,-3.461M,38.96M,,-7.605M,0.072M,-7.533M,,-0.781M,-0.459M,-8.773M,,,,-1.658M,0.579M,,0.579M,,,-1.036M,-2.115M,,126.16M,28.07M,6.363M,160.59M,,0.579M,,,,,,
2003-09,33.53M,,,,,,-0.535M,,,9.538M,9.538M,2.806M,,,,,25.74M,,1.817M,-1.05M,,-40.06M,-0.65M,-14.20M,31.14M,,-5.012M,0.08M,-4.932M,,-1.431M,-5.263M,-11.63M,,,,-11.05M,12.80M,,12.80M,,,-3.44M,-1.688M,,109.98M,17.82M,-1.649M,126.16M,,12.80M,,,,,,
2003-06,32.86M,,,,,,-0.521M,,,8.981M,8.981M,-0.039M,,,,-0.462M,42.36M,,5.617M,-25.37M,,-27.93M,0.65M,-4.674M,36.14M,,-5.107M,0.371M,-4.736M,,6.845M,-2.163M,-0.054M,,,,-51.63M,1.808M,,1.808M,,,42.62M,-7.20M,,76.88M,28.89M,4.204M,109.98M,,1.808M,,,,,,
2003-03,31.48M,,,,,,-1.069M,,,9.045M,9.045M,0.249M,,,,0.269M,18.48M,,-0.693M,-19.70M,,20.19M,,18.27M,58.24M,,-7.507M,2.473M,-5.034M,,2.417M,-0.023M,-2.64M,,,,5.911M,12.87M,,12.87M,,,-52.82M,-34.04M,,57.26M,21.57M,-1.941M,76.88M,,12.87M,,,,,,
2002-12,30.14M,,,,,,-1.355M,,,8.643M,8.643M,0.02M,,,,0.193M,30.82M,,0.436M,-16.92M,,-29.95M,,-15.62M,22.02M,,-8.178M,0.383M,-7.795M,,-0.994M,5.453M,-3.336M,,,,-20.19M,0.367M,,0.367M,,,7.78M,-12.04M,,48.47M,6.642M,2.147M,57.26M,,0.367M,,,,,,
2002-09,29.02M,,,,,,-1.683M,,,9.135M,9.135M,-9.815M,,,,0.173M,-5.453M,,3.571M,6.344M,,-6.743M,,-2.281M,24.55M,,-11.20M,2.824M,-8.376M,0.00,0.809M,-13.63M,-21.20M,,,,-25.82M,10.13M,0.00,10.13M,,,9.367M,-6.329M,,50.29M,-2.98M,1.16M,48.47M,,10.13M,,,0.00,,,
2002-06,27.92M,,,,,,-0.877M,,,9.165M,9.165M,-0.622M,,,,0.193M,-52.79M,,-1.543M,48.76M,,2.166M,,-3.407M,32.37M,,-6.349M,1.821M,-4.528M,0.00,1.946M,-0.892M,-3.474M,,,,-29.17M,1.391M,0.00,1.391M,,,-3.513M,-31.29M,,54.13M,-2.395M,-1.447M,50.29M,,1.391M,,,0.00,,,
2002-03,26.88M,,,,,,-0.754M,,,8.216M,8.216M,7.741M,,,,0.169M,41.35M,,-2.244M,-7.55M,,-25.47M,,6.083M,48.34M,,-7.789M,0.457M,-7.332M,0.00,0.582M,-2.347M,-9.097M,,,,-41.65M,9.429M,0.00,9.429M,,,0.462M,-31.76M,,45.00M,7.475M,1.651M,54.13M,,9.429M,,,0.00,,,
2001-12,25.87M,,,,,,-0.608M,,,8.571M,8.571M,-0.943M,,,,0.145M,53.83M,,4.403M,-36.09M,,0.334M,,22.47M,55.51M,,-11.84M,0.274M,-11.57M,-43.53M,2.476M,-6.137M,-58.76M,,,,3.037M,0.725M,-2.003M,-1.278M,,,2.923M,4.682M,,49.26M,1.429M,-5.687M,45.00M,,0.725M,,,-2.003M,,,
2001-09,23.58M,,,,,,-0.829M,6.823M,1.969M,8.792M,8.792M,-2.293M,,,,0.145M,-47.84M,,-1.801M,-0.567M,,-25.85M,,-76.05M,-46.66M,,-9.268M,1.85M,-7.418M,0.00,-0.134M,-1.374M,-8.926M,,,,-9.268M,7.757M,-2.801M,4.956M,,,7.203M,2.891M,,99.93M,-52.69M,2.024M,49.26M,,7.757M,,,-2.801M,,,
2001-06,22.52M,,,,,,-0.925M,8.086M,1.948M,10.03M,10.03M,0.731M,,,,0.125M,22.15M,,-1.347M,-36.42M,,15.46M,,-0.16M,32.32M,,-12.97M,,-12.97M,-28.60M,1.004M,-1.466M,-42.04M,,,,24.77M,2.005M,-2.83M,-0.825M,,,-9.923M,14.02M,,97.56M,4.308M,-1.934M,99.93M,,2.005M,,,-2.83M,,,
2001-03,21.56M,,,,,,-0.867M,16.48M,3.635M,10.76M,10.76M,1.734M,,,,0.126M,-34.00M,,1.666M,-44.40M,2.215M,33.75M,,-40.76M,-7.455M,,-6.554M,-3.749M,-10.30M,,-1.926M,-5.079M,-17.31M,,,,30.53M,7.767M,-1.682M,6.085M,,,7.20M,43.82M,,80.15M,19.05M,-1.646M,97.56M,,7.767M,,,-1.682M,,,
2000-12,20.10M,,,,,,-0.697M,,,9.359M,9.359M,-0.172M,,,,0.096M,-8.987M,,,53.54M,-2.215M,-34.13M,,8.209M,36.90M,,,3.749M,3.749M,,-0.13M,1.027M,4.646M,,,,-28.91M,0.669M,-2.21M,-1.541M,,,1.874M,-28.58M,,65.85M,12.96M,1.34M,80.15M,,0.669M,,,-2.21M,,,
2000-09,19.55M,,,,,,-0.001M,,,11.28M,11.28M,13.77M,,,,0.357M,-71.44M,,,16.70M,5.90M,53.08M,,4.235M,49.18M,,-12.44M,,-9.078M,-0.36M,-7.488M,5.895M,-11.03M,,,,-40.22M,6.488M,-5.562M,0.926M,,,7.128M,-32.16M,,61.92M,5.987M,-2.059M,65.85M,,6.488M,,,-5.562M,,,
2000-06,19.10M,,,,,,-0.829M,,,9.576M,9.576M,2.495M,,,,-0.236M,-7.092M,,,15.47M,-2.196M,12.76M,,18.93M,49.04M,,-10.76M,,-10.76M,-0.84M,1.662M,-40.61M,-50.54M,,,,14.83M,1.282M,0.00,1.282M,,,0.378M,16.49M,,47.85M,14.99M,-0.917M,61.92M,,1.282M,,,0.00,,,
2000-03,18.13M,,,,,,-1.313M,,,9.846M,9.846M,-1.824M,,,,0.136M,-19.90M,,,-17.56M,-2.862M,-23.67M,-0.10M,-64.10M,-39.12M,,-12.87M,,-12.87M,-26.08M,1.123M,2.805M,-35.03M,,,,69.26M,8.036M,-8.152M,-0.116M,,,-2.229M,66.92M,,55.20M,-7.232M,-0.101M,47.85M,,8.036M,,,-8.152M,,,
1999-12,-5.80M,,,,,,-1.00M,,,9.40M,9.40M,,,,,0.10M,-7.10M,,,21.20M,-0.70M,6.00M,0.10M,19.50M,22.20M,,-8.30M,,-8.30M,,0.10M,-1.90M,-10.10M,,,,-8.60M,0.20M,,0.20M,,,,-8.40M,,53.50M,3.70M,-2.00M,55.20M,,0.20M,,,,,,
1999-09,17.30M,,,,,,-2.00M,,,8.20M,8.20M,-3.50M,,,,0.20M,91.50M,,,22.30M,5.90M,-114.40M,,5.30M,25.50M,,192.50M,,197.40M,,2.30M,1.20M,-0.20M,,,,-27.20M,5.20M,,5.20M,,,-2.00M,-24.00M,,0.00,1.30M,0.20M,53.50M,,5.20M,,,,,,
1999-06,16.80M,,,,,,-2.00M,,,9.10M,9.10M,-2.60M,,,,0.00,-50.50M,,,4.70M,-1.50M,52.80M,,5.50M,26.80M,,-10.80M,,-10.80M,,2.10M,0.40M,-8.30M,,,,-40.20M,0.90M,,0.90M,,,0.20M,-39.10M,,73.50M,-20.60M,-0.90M,0.00,,0.90M,,,,,,
1999-03,16.10M,,,,,,,,,8.30M,8.30M,-1.10M,,,,0.30M,-49.30M,,,-19.60M,-2.50M,63.90M,,-7.50M,16.10M,,-209.40M,,-209.40M,,-1.30M,-2.10M,-212.80M,,,,152.10M,6.30M,,6.30M,,,-0.80M,157.60M,,0.00,-39.10M,-1.50M,73.50M,,6.30M,,,,,,
1998-12,15.20M,,,,,,,,,6.00M,6.00M,,,,,,-2.60M,,,9.60M,-1.40M,-11.70M,,-6.10M,15.10M,,-11.30M,,-11.30M,,16.30M,-4.30M,0.70M,,,,-2.30M,0.50M,,0.50M,,,-0.10M,-1.90M,,101.30M,13.90M,-1.10M,0.00,,0.50M,,,,,,
1998-09,14.40M,,,,,,,,,5.10M,5.10M,-5.60M,,,,0.10M,-16.20M,,,17.90M,8.70M,18.60M,,29.00M,34.40M,,-12.90M,,13.90M,,3.20M,10.90M,28.00M,,,,-29.90M,3.00M,-5.90M,-2.90M,,,3.40M,-29.40M,,0.00,33.00M,1.10M,101.30M,,3.00M,,,-5.90M,,,
1998-06,13.90M,,,,,,,,,6.70M,6.70M,1.50M,,,,0.00,3.30M,,,-12.80M,-1.30M,8.10M,,-2.70M,19.40M,,-17.80M,,-17.80M,,2.20M,0.10M,-15.50M,,,,0.80M,1.70M,-7.00M,-5.30M,,,-0.10M,-4.60M,,0.00,-0.70M,0.00,0.00,,1.70M,,,-7.00M,,,
1998-03,13.30M,,,,,,,,,6.10M,6.10M,-1.00M,,,,0.20M,-1.30M,,,-3.00M,-1.20M,9.00M,,3.50M,22.10M,,-7.90M,,-7.90M,,0.10M,-1.90M,-9.70M,,,,-0.50M,5.50M,-0.80M,4.70M,,,-3.30M,0.90M,,0.00,13.30M,-1.60M,0.00,,5.50M,,,-0.80M,,,
1997-12,12.80M,,,,,,,,,5.10M,5.10M,,,,,,-10.90M,,,8.00M,-0.20M,1.00M,,-2.10M,15.80M,,-7.70M,,-7.70M,,-4.20M,-0.50M,-12.40M,,,,-0.90M,0.10M,-4.30M,-4.20M,,,1.50M,-3.60M,,56.00M,-0.20M,0.40M,0.00,,0.10M,,,-4.30M,,,
1997-09,12.60M,,,,,,0.00,,,5.00M,5.00M,,,,,-2.80M,-36.30M,,,17.90M,-0.10M,-21.80M,,-40.30M,-25.50M,,-7.80M,,-7.50M,,-1.00M,-12.30M,-20.80M,,,,22.20M,-5.90M,-4.80M,-10.70M,,,11.30M,22.80M,,0.00,-23.50M,-0.90M,56.00M,,-5.90M,,,-4.80M,,,
1997-06,12.00M,,,,,,0.00,,,4.80M,4.80M,,,,,-0.30M,-17.40M,,,-6.00M,0.10M,26.20M,,2.90M,19.40M,,-10.50M,,-10.50M,,-21.70M,-5.70M,-37.90M,,,,-1.00M,0.90M,-1.30M,-0.40M,,,0.00,-1.40M,,0.00,-19.90M,-0.10M,0.00,,0.90M,,,-1.30M,,,
1997-03,11.40M,,,,,,-0.50M,,,4.40M,4.40M,,,,,0.10M,0.60M,,,-5.10M,-0.50M,17.60M,,12.60M,28.00M,,-6.30M,,-6.30M,,0.60M,-0.70M,-6.40M,,,,-0.40M,4.70M,-4.50M,0.20M,,,0.10M,-0.10M,,0.00,21.50M,-0.90M,0.00,,4.70M,,,-4.50M,,,
1996-12,10.90M,,,,,,-0.20M,,,4.60M,4.60M,,,,,0.10M,18.30M,,,-6.00M,0.10M,-5.80M,,6.60M,22.00M,,-3.40M,,-3.40M,,3.00M,-4.00M,-4.40M,,,,0.60M,0.30M,-1.50M,-1.20M,,,-0.40M,-1.00M,,62.90M,16.60M,0.30M,0.00,,0.30M,,,-1.50M,,,
1996-09,10.60M,,,,,,-0.20M,,,4.90M,4.90M,3.60M,,,,-3.50M,-3.50M,,,-0.60M,-0.20M,-17.00M,,-21.30M,-5.90M,,-3.50M,,-2.80M,,-21.50M,21.20M,-3.10M,,,,-7.40M,3.10M,,-0.50M,,,0.10M,-7.80M,,0.00,-16.80M,-0.20M,0.00,,3.10M,,,,,,
1996-06,10.40M,,,,,,-0.20M,,,4.50M,4.50M,-2.10M,,,,0.20M,8.00M,,,-11.40M,0.20M,10.80M,,7.60M,20.40M,,-3.20M,,-3.20M,,0.10M,-0.80M,-3.90M,,,,-8.20M,0.50M,,0.50M,,,1.60M,-6.10M,,0.00,10.40M,0.20M,0.00,,0.50M,,,,,,
1996-03,9.80M,,,,,,0.10M,,,4.00M,4.00M,-0.70M,,,,-0.10M,1.40M,,,0.00,-0.10M,-2.90M,,-1.60M,11.50M,,-4.90M,,-4.90M,,,-20.60M,-25.50M,,,,19.60M,4.40M,,4.40M,,,-0.10M,23.90M,,0.00,9.90M,0.00,0.00,,4.40M,,,,,,
1995-12,9.60M,,,,,,,,,3.90M,3.90M,-0.80M,,,,-0.10M,9.40M,,,7.30M,-1.10M,0.10M,,15.70M,28.30M,,-5.10M,,-5.10M,,,-2.40M,-7.50M,,,,-0.80M,0.30M,,0.30M,,,0.10M,-0.40M,,39.10M,20.40M,-0.10M,0.00,,0.30M,,,,,,
1995-09,8.90M,,,,,,0.60M,,,3.00M,3.00M,1.00M,,,,-5.30M,-0.10M,,,1.90M,0.40M,4.60M,,6.80M,15.00M,,-11.60M,,-10.80M,,-0.40M,0.70M,-10.50M,,,,0.90M,3.10M,,3.10M,,,0.70M,4.70M,,0.00,9.20M,-0.10M,0.00,,3.10M,,,,,,
1995-06,8.40M,,,,,,-0.40M,,,4.10M,4.10M,-1.00M,,,,0.30M,-3.00M,,,10.60M,-0.40M,4.90M,,12.10M,23.50M,,-22.90M,,-22.90M,,0.00,-1.50M,-24.40M,,,,9.30M,0.20M,,0.20M,,,-0.20M,9.30M,,0.00,8.40M,0.00,0.00,,0.20M,,,,,,
1995-03,7.60M,,,,,,-0.20M,,,3.50M,3.50M,-0.30M,,,,-0.10M,-16.30M,,,-6.10M,0.20M,14.00M,,-8.20M,2.30M,,-2.90M,,-2.90M,,-1.80M,0.60M,-4.10M,,,,-1.50M,3.00M,,3.00M,,,-0.20M,1.30M,,0.00,-0.50M,0.10M,0.00,,3.00M,,,,,,
1994-12,7.30M,,,,,,,,,3.60M,3.60M,0.30M,,,,-0.10M,12.00M,,,-27.80M,0.50M,-4.60M,,-19.90M,-8.80M,,-2.30M,,-2.30M,,-0.70M,-3.00M,-6.00M,,,,-8.70M,0.20M,,0.20M,,,-0.20M,-8.70M,,45.60M,-23.50M,,0.00,,0.20M,,,,,,
1994-09,-3.10M,,,,,,1.10M,,,2.90M,2.90M,,,,,20.10M,2.00M,0.10M,,7.60M,0.50M,14.00M,,24.20M,45.20M,,-1.50M,0.40M,-1.10M,,5.30M,-45.20M,-41.00M,,,,24.70M,2.50M,,2.50M,,,0.10M,27.30M,,0.00,31.50M,0.30M,0.00,,2.50M,,,,,,
1994-06,7.30M,,,,,,0.00,,,3.60M,3.60M,,,,,,-19.00M,-0.10M,,10.70M,0.10M,-5.40M,,-13.70M,-2.80M,,-4.00M,-0.30M,-4.30M,,-0.40M,0.30M,-4.40M,,,,-0.50M,0.20M,,0.20M,,,-0.10M,-0.40M,,0.00,-7.60M,0.20M,0.00,,0.20M,,,,,,
1994-03,7.30M,,,,,,-0.20M,,,2.40M,2.40M,,,,,0.10M,10.40M,,,-0.80M,0.30M,1.00M,,10.90M,20.50M,,-6.40M,-17.30M,-23.70M,,13.00M,2.40M,-8.30M,,,,-7.40M,3.60M,,3.60M,,,,-3.80M,,0.00,8.40M,0.10M,0.00,,3.60M,,,,,,
1993-12,7.30M,,,,,,-0.90M,,,2.10M,2.10M,,,,,-0.10M,-10.90M,,,-16.60M,-0.40M,-2.10M,,-30.00M,-21.60M,,-12.40M,17.60M,5.20M,,-0.10M,-2.50M,2.60M,,,,10.80M,0.50M,,0.50M,,,,11.30M,,20.50M,-7.70M,-0.10M,0.00,,0.50M,,,,,,
1993-09,8.00M,,,,,,-0.30M,,,3.40M,3.40M,-1.00M,,,,-0.30M,-4.00M,,,6.00M,-0.90M,-3.40M,,-2.30M,7.50M,,-3.50M,1.00M,-2.50M,,-3.20M,-1.00M,-6.70M,,,,-7.50M,2.50M,,2.50M,,,,-4.90M,,0.00,-4.10M,0.10M,0.00,,2.50M,,,,,,
1993-06,7.00M,,,,,,-1.80M,,,2.50M,2.50M,-0.90M,,,,1.10M,7.70M,,,-11.40M,2.50M,1.20M,,0.00,7.90M,,-3.30M,0.20M,-3.10M,,0.70M,-4.20M,-6.60M,,,,-1.10M,0.20M,,0.20M,,,,-0.90M,,0.00,0.40M,0.00,0.00,,0.20M,,,,,,
1993-03,7.00M,,,,,,1.10M,,,1.30M,1.30M,-1.70M,,,,-1.80M,-14.40M,,,2.00M,0.10M,5.40M,,-6.90M,-1.00M,,-1.60M,,-1.60M,,-3.50M,1.00M,-4.10M,,,,1.80M,2.80M,,2.80M,,,,4.60M,,0.00,-0.50M,-0.10M,0.00,,2.80M,,,,,,
1992-12,6.70M,,,,,,-1.10M,,,1.60M,1.60M,,,,,,18.60M,,,-15.40M,-1.30M,-1.80M,,0.10M,7.30M,,-1.50M,,-1.50M,,1.20M,-6.80M,-7.10M,,,,,1.00M,,1.00M,,,,1.00M,,22.80M,1.20M,-0.30M,0.00,,1.00M,,,,,,
1992-09,6.50M,,,,,,-2.00M,,,2.70M,2.70M,-0.80M,,,,-0.80M,-19.00M,,,4.70M,0.30M,8.20M,,-5.80M,-0.20M,,-2.80M,0.10M,-2.70M,,2.30M,2.70M,2.30M,,,,,2.80M,,2.80M,,,,2.80M,,0.00,4.90M,0.10M,0.00,,2.80M,,,,,,
1992-06,6.30M,,,,,,-1.00M,,,1.80M,1.80M,-0.90M,,,,-0.10M,1.60M,,,5.80M,-0.20M,-3.40M,,3.80M,9.90M,,-5.10M,0.30M,-4.80M,,-2.80M,-1.80M,-9.40M,,,,-5.10M,0.60M,,0.60M,,,,-4.50M,,0.00,-4.00M,0.00,0.00,,0.60M,,,,,,
1992-03,8.10M,,,,,,-4.90M,,,1.20M,1.20M,-1.30M,,,,0.30M,-10.10M,,,-7.30M,0.30M,7.50M,,-9.60M,-6.20M,,-1.80M,0.30M,-1.50M,,-1.70M,-1.10M,-4.30M,,,,1.90M,2.80M,,2.80M,,,,4.70M,,0.00,-5.80M,-0.20M,0.00,,2.80M,,,,,,
1991-12,5.70M,,,,,,,,,2.00M,2.00M,-0.80M,,,,-0.30M,-16.30M,,,5.00M,-1.30M,0.40M,,-12.20M,-5.60M,,-2.40M,,-2.40M,,-0.40M,0.20M,-2.60M,,,,3.20M,0.50M,,0.50M,,,,3.70M,,31.80M,-4.50M,0.40M,0.00,,0.50M,,,,,,
1991-09,5.80M,,,,,,0.00,,,1.90M,1.90M,-0.80M,,,,-0.30M,10.90M,,,-9.20M,1.70M,-4.90M,,-1.50M,5.10M,,-2.00M,0.10M,-1.90M,,-0.10M,0.20M,-1.80M,,,,0.00,3.60M,,3.60M,,,-0.10M,3.50M,,0.00,6.80M,0.00,0.00,,3.60M,,,,,,
1991-06,5.10M,,,,,,0.00,,,1.60M,1.60M,-1.70M,,,,-0.20M,2.10M,,,-4.10M,-0.20M,-3.30M,,-5.50M,-0.70M,,-2.00M,0.10M,-1.90M,,0.20M,-1.90M,-3.60M,,,,0.00,0.10M,,0.10M,,,0.10M,0.20M,,0.00,-4.10M,0.00,0.00,,0.10M,,,,,,
1991-03,4.90M,,,,,,-0.80M,,,1.60M,1.60M,-1.90M,,,,-0.10M,6.90M,,,-6.40M,-0.10M,8.90M,,9.30M,13.00M,,-2.20M,,-2.20M,,1.10M,0.30M,-0.80M,,,,-8.50M,1.10M,,1.10M,,,,-7.40M,,0.00,4.80M,-0.60M,0.00,,1.10M,,,,,,
1990-12,4.60M,,,,,,-0.80M,,,1.80M,1.80M,0.10M,,,,-0.40M,-8.20M,,,5.20M,-0.30M,12.70M,,9.40M,14.70M,,-2.30M,,-2.30M,,0.70M,0.30M,-1.30M,,,,-8.80M,,,,,,,-8.80M,,20.20M,4.60M,0.10M,0.00,,,,,,,,
1990-09,4.00M,,,,,,-0.80M,,,1.60M,1.60M,-4.10M,,,,-0.20M,-11.00M,,,10.60M,1.10M,6.10M,,6.80M,7.30M,,-1.80M,0.10M,-1.70M,,0.10M,0.90M,-0.70M,,,,-6.80M,0.60M,,0.60M,,,0.20M,-6.00M,,0.00,0.60M,0.30M,0.00,,0.60M,,,,,,
1990-06,3.70M,,,,,,-0.10M,,,1.40M,1.40M,0.00,,,,-0.30M,-5.50M,,,-10.50M,-0.30M,-3.80M,,-20.10M,-15.40M,,-1.50M,0.00,-1.50M,,-2.00M,-0.90M,-4.40M,,,,16.00M,0.00,,0.00,,,-0.10M,15.90M,,0.00,-3.90M,1.40M,0.00,,0.00,,,,,,
1990-03,3.40M,,,,,,0.00,,,1.20M,1.20M,0.20M,,,,-0.10M,-10.60M,,,4.00M,1.00M,-1.20M,,-6.80M,-2.10M,,-1.30M,0.00,-1.30M,,0.00,0.40M,-0.90M,,,,1.40M,0.50M,,0.50M,,,,1.90M,,0.00,-1.10M,-0.20M,0.00,,0.50M,,,,,,
