,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2000-10,11.54B,11.54B,8.095B,3.45B,2.396B,,,,,2.396B,1.054B,,,,,,1.062B,412.00M,650.00M,,,650.00M,650.00M,1.208B,154.00M,1.054B,,0.28,0.00,0.28,0.28,,0.28,0.00,0.28,0.28,,2.317B,2.352B,0.04,,,
2000-07,12.62B,12.62B,8.879B,3.739B,2.38B,,,,,2.38B,1.359B,,,,,,1.369B,531.00M,838.00M,,,838.00M,838.00M,1.505B,146.00M,1.359B,,0.36,0.00,0.36,0.36,,0.36,0.00,0.36,0.36,,2.314B,2.352B,0.04,,,
2000-04,11.11B,11.11B,7.838B,3.274B,2.257B,,,,,2.257B,1.017B,,,,,,1.027B,398.00M,629.00M,,,629.00M,629.00M,1.154B,137.00M,1.017B,,0.27,0.00,0.27,0.27,,0.27,0.00,0.27,0.27,,2.308B,2.354B,0.04,,,
2000-01,9.174B,9.174B,6.127B,3.047B,1.993B,,,,,2.118B,929.00M,,,,,,939.00M,361.00M,578.00M,,,578.00M,578.00M,1.054B,125.00M,929.00M,,0.25,0.00,0.25,0.25,,0.25,0.00,0.25,0.25,,2.307B,2.357B,0.04,,,
1999-10,9.877B,9.877B,6.866B,3.011B,1.955B,,,,,2.072B,939.00M,,,,,,943.00M,370.00M,573.00M,,,573.00M,573.00M,1.056B,117.00M,939.00M,,0.25,0.00,0.25,0.25,,0.25,0.00,0.25,0.25,,2.234B,2.34B,0.0267,,,
1999-07,10.43B,10.43B,7.288B,3.143B,1.913B,,,,,2.027B,1.116B,,,,,,1.117B,438.00M,679.00M,,,679.00M,679.00M,1.23B,114.00M,1.116B,,0.31,0.00,0.31,0.31,,0.29,0.00,0.29,0.29,,2.222B,2.337B,0.0267,,,
1999-04,8.952B,8.952B,6.279B,2.673B,1.756B,,,,,1.863B,810.00M,,,,,,805.00M,316.00M,489.00M,,,489.00M,489.00M,917.00M,107.00M,810.00M,,0.22,0.00,0.22,0.22,,0.21,0.00,0.21,0.21,,2.216B,2.336B,0.02,,,
1999-01,7.258B,7.258B,4.966B,2.292B,1.51B,6.00M,,,,1.606B,686.00M,,,,6.00M,,684.00M,266.00M,418.00M,,,418.00M,414.33M,782.00M,96.00M,686.00M,,0.19,0.00,0.1883,0.19,,0.18,0.00,0.1784,0.18,,2.199B,2.323B,0.02,,,
1998-10,7.699B,7.699B,5.425B,2.274B,1.532B,9.00M,,,,1.629B,645.00M,,,,9.00M,,646.00M,254.00M,392.00M,,,392.00M,386.54M,742.00M,97.00M,645.00M,,0.18,0.00,0.1775,0.18,,0.17,0.00,0.1676,0.17,,2.178B,2.306B,0.02,,,
1998-07,8.139B,8.139B,5.783B,2.356B,1.493B,9.00M,,,,1.586B,770.00M,,,,9.00M,,769.00M,302.00M,467.00M,,,467.00M,461.53M,863.00M,93.00M,770.00M,,0.21,0.00,0.2075,0.21,,0.21,0.00,0.2075,0.21,,2.224B,2.224B,0.02,,,
1998-04,7.123B,7.123B,5.068B,2.055B,1.408B,7.00M,,,,1.495B,560.00M,,,,7.00M,,556.00M,219.00M,337.00M,,,337.00M,332.76M,647.00M,87.00M,560.00M,,0.15,0.00,0.1481,0.15,,0.15,0.00,0.1481,0.15,,2.247B,2.247B,0.0167,,,
1998-01,5.732B,5.732B,3.951B,1.781B,1.103B,-97.10M,,,,1.182B,599.00M,,,,-97.10M,,502.60M,195.20M,307.40M,,,307.40M,366.79M,677.30M,78.30M,599.00M,,0.14,0.00,0.1670,0.14,,0.13,0.00,0.1551,0.13,,2.196B,2.365B,0.0167,,,
1997-10,6.217B,6.217B,4.420B,1.797B,1.339B,12.80M,,,,1.410B,386.90M,,,,12.80M,,386.10M,150.20M,235.90M,,-3.70M,235.90M,228.08M,457.40M,70.50M,386.90M,,0.11,0.00,0.1064,0.11,,0.11,0.00,0.1064,0.11,,2.145B,2.145B,0.0167,,,
1997-07,6.550B,6.550B,4.683B,1.868B,1.213B,14.30M,,,,1.28B,587.50M,,,,14.30M,,585.80M,227.90M,357.90M,,-5.10M,357.90M,349.16M,654.30M,66.80M,587.50M,,0.16,0.00,0.1561,0.16,,0.16,0.00,0.1561,0.16,,2.237B,2.237B,0.0167,,,
1997-04,5.657B,5.657B,4.038B,1.619B,1.125B,10.00M,,,,1.193B,426.60M,,,,10.00M,,423.60M,164.80M,258.80M,,-2.10M,258.80M,252.69M,494.00M,67.40M,426.60M,,0.12,0.00,0.1172,0.12,,0.12,0.00,0.1172,0.12,,2.157B,2.157B,0.0133,,,
1997-01,4.958B,4.958B,3.456B,1.502B,1.035B,12.20M,,,,1.098B,404.00M,,,,12.20M,,405.70M,154.30M,251.40M,,,251.40M,243.84M,467.50M,63.50M,404.00M,,0.11,0.00,0.1067,0.11,,0.11,0.00,0.1067,0.11,,2.289B,2.289B,0.0133,,,
1996-10,4.922B,4.922B,3.524B,1.397B,977.20M,5.90M,,,,1.036B,361.00M,,,,5.90M,,364.10M,142.70M,221.40M,,,221.40M,217.81M,420.20M,59.20M,361.00M,,0.11,0.00,0.1082,0.11,,0.11,0.00,0.1082,0.11,,2.013B,2.013B,0.0133,,,
1996-07,5.293B,5.293B,3.800B,1.493B,995.00M,2.80M,,,,1.051B,441.90M,,,,2.80M,,444.40M,174.20M,270.20M,,,270.20M,268.50M,498.20M,56.30M,441.90M,,0.13,0.00,0.1292,0.13,,0.13,0.00,0.1292,0.13,,2.078B,2.078B,0.0133,,,
1996-04,4.362B,4.362B,3.089B,1.273B,901.00M,4.10M,,,,954.00M,318.90M,,,,4.10M,,320.70M,125.70M,195.00M,,,195.00M,192.51M,371.90M,53.00M,318.90M,,0.09,0.00,0.0888,0.09,,0.09,0.00,0.0888,0.09,,2.167B,2.167B,0.0111,,,
1996-01,3.752B,3.752B,2.612B,1.140B,785.20M,5.90M,,,,837.00M,303.30M,,,,5.90M,,308.70M,123.30M,185.40M,,,185.40M,181.86M,355.10M,51.80M,303.30M,,0.09,0.00,0.0883,0.09,,0.08,0.00,0.0785,0.08,,2.059B,2.305B,0.0222,,,
1995-10,3.998B,3.998B,2.874B,1.124B,796.30M,4.90M,,,,843.20M,280.30M,,,,4.90M,,284.90M,109.40M,175.50M,,,175.50M,172.48M,327.20M,46.90M,280.30M,,0.09,0.00,0.0885,0.09,,0.09,0.00,0.0885,0.09,,1.95B,1.95B,0.0111,,,
1995-07,4.152B,4.152B,2.986B,1.166B,780.90M,4.70M,,,,824.10M,342.10M,,,,4.70M,,345.60M,132.70M,212.90M,,,212.90M,210.00M,385.30M,43.20M,342.10M,,0.10,0.00,0.0986,0.10,,0.10,0.00,0.0986,0.10,,2.129B,2.129B,0.0111,,,
1995-04,3.569B,3.569B,2.532B,1.037B,743.40M,4.20M,,,,782.70M,254.20M,,,,4.20M,,256.20M,98.40M,157.80M,,,157.80M,155.21M,293.50M,39.30M,254.20M,,0.08,0.00,0.0787,0.08,,0.08,0.00,0.0787,0.08,,1.972B,1.972B,0.0089,,,
1995-01,3.078B,3.078B,2.142B,935.80M,663.50M,1.10M,,,,698.90M,236.90M,,,,1.10M,,233.00M,87.00M,146.00M,,,146.00M,145.31M,272.30M,35.40M,236.90M,,0.06,0.00,0.0597,0.06,,0.06,0.00,0.0597,0.06,,2.357B,2.357B,0.0089,,,
1994-10,3.240B,3.240B,2.328B,912.00M,649.20M,9.10M,,,,680.60M,231.40M,,,,9.10M,,229.30M,88.50M,140.80M,,,140.80M,135.21M,265.20M,33.80M,231.40M,,0.07,0.00,0.0672,0.07,,0.07,0.00,0.0672,0.07,,2.011B,2.011B,0.0089,,,
1994-07,3.287B,3.287B,2.361B,926.00M,604.60M,9.70M,,,,634.80M,291.20M,,,,9.70M,,289.90M,111.90M,178.00M,,,178.00M,172.04M,323.20M,32.00M,291.20M,,0.09,0.00,0.0870,0.09,,0.09,0.00,0.0870,0.09,,1.978B,1.978B,0.0089,,,
1994-04,2.872B,2.872B,2.035B,837.10M,581.00M,8.70M,,,,609.40M,227.70M,,,,8.70M,,227.60M,87.90M,139.70M,,,139.70M,134.36M,256.10M,28.40M,227.70M,,0.07,0.00,0.0673,0.07,,0.07,0.00,0.0673,0.07,,1.996B,1.996B,0.0067,,,
1994-01,2.288B,2.288B,1.599B,688.50M,488.50M,14.30M,,,,513.30M,175.20M,,,,14.30M,,182.40M,69.70M,112.70M,,,112.70M,103.86M,200.00M,24.80M,175.20M,,0.06,0.00,0.0553,0.06,,0.06,0.00,0.0553,0.06,,1.872B,1.872B,0.0067,,,
1993-10,2.317B,2.317B,1.670B,647.90M,461.60M,13.90M,,,,483.30M,164.60M,,,,13.90M,,171.80M,68.40M,103.40M,,,103.40M,95.03M,187.60M,23.00M,164.60M,,0.05,0.00,0.0460,0.05,,0.05,0.00,0.0460,0.05,,2.068B,2.068B,0.0067,,,
1993-07,2.454B,2.454B,1.771B,682.90M,455.40M,16.90M,,,,476.40M,206.50M,,,,16.90M,,215.20M,80.70M,134.50M,,,134.50M,123.94M,228.00M,21.50M,206.50M,,0.07,0.00,0.0645,0.07,,0.07,0.00,0.0645,0.07,,1.921B,1.921B,0.0067,,,
1993-04,2.180B,2.180B,1.558B,622.20M,441.40M,15.80M,,,,461.90M,160.30M,,,,15.80M,,167.50M,60.70M,106.80M,,,106.80M,96.73M,180.80M,20.50M,160.30M,,0.05,0.00,0.0453,0.05,,0.05,0.00,0.0453,0.05,,2.136B,2.136B,0.005,,,
1993-01,1.818B,1.818B,1.274B,544.20M,378.00M,15.50M,,,,396.80M,147.40M,,,,15.50M,,154.20M,57.00M,97.20M,,,97.20M,87.43M,166.20M,18.80M,147.40M,,0.06,0.00,0.0535,0.06,,0.06,0.00,0.0535,0.06,,1.508B,1.508B,0.005,,,
1992-10,1.834B,1.834B,1.322B,512.30M,370.20M,18.30M,,,,387.40M,124.90M,,,,18.30M,,133.90M,49.50M,84.40M,,,84.40M,72.87M,142.10M,17.20M,124.90M,,0.05,0.00,0.0432,0.05,,0.05,0.00,0.0432,0.05,,1.688B,1.688B,0.005,,,
1992-07,1.856B,1.856B,1.336B,520.60M,348.20M,18.50M,,,,366.40M,154.20M,,,,18.50M,,162.10M,60.20M,101.90M,,,101.90M,90.27M,172.40M,18.20M,154.20M,,0.05,0.00,0.0443,0.05,,0.05,0.00,0.0443,0.05,,2.038B,2.038B,0.0025,,,
1992-04,1.640B,1.640B,1.178B,461.30M,318.60M,10.70M,,,,333.90M,127.40M,,,,10.70M,,125.80M,46.30M,79.50M,,,79.50M,72.74M,142.70M,15.30M,127.40M,,0.03,0.00,0.0265,0.03,,0.03,0.00,0.0265,0.03,,1.910B,1.910B,0.0033,,,
1992-01,1.299B,1.299B,900.10M,398.60M,295.50M,20.00M,,,,309.80M,88.80M,,,,20.00M,,106.70M,39.00M,67.70M,,,67.70M,55.01M,103.10M,14.30M,88.80M,,0.03,0.00,0.0243,0.03,,0.03,0.00,0.0243,0.03,,2.223B,2.223B,0.0033,,,
1991-10,1.298B,1.298B,919.20M,379.10M,271.90M,1.20M,,,,285.60M,93.50M,,,,1.20M,,93.10M,34.70M,58.40M,,,58.40M,57.65M,107.30M,13.80M,93.50M,,0.03,0.00,0.0296,0.03,,0.03,0.00,0.0296,0.03,,1.947B,1.947B,0.0033,,,
1991-07,1.353B,1.353B,971.10M,381.70M,257.50M,4.60M,,,,270.10M,111.60M,,,,4.60M,,114.00M,42.20M,71.80M,,,71.80M,68.90M,124.20M,12.60M,111.60M,,0.04,0.00,0.0384,0.04,,0.04,0.00,0.0384,0.04,,1.795B,1.795B,0.0033,,,
1991-04,1.187B,1.187B,849.70M,337.20M,237.80M,1.00M,,,,249.40M,87.80M,,,,1.00M,,82.30M,31.00M,51.30M,,,51.30M,50.68M,99.40M,11.60M,87.80M,,0.03,0.00,0.0296,0.03,,0.03,0.00,0.0296,0.03,,1.71B,1.71B,0.0023,,,
1991-01,1.008B,1.008B,704.70M,302.90M,231.70M,12.40M,,,,242.00M,60.90M,,,,12.40M,,66.20M,24.80M,41.40M,,,41.40M,33.65M,71.20M,10.30M,60.90M,,0.02,0.00,0.0144,0.02,,0.02,0.00,0.0144,0.02,,1.382B,1.382B,0.0023,,,
1990-10,936.60M,936.60M,669.80M,266.80M,197.00M,2.60M,,,,205.00M,61.80M,,,,2.60M,,57.30M,21.20M,36.10M,,,36.10M,34.46M,70.70M,8.90M,61.80M,,0.03,0.00,0.0286,0.03,,0.03,0.00,0.0286,0.03,,1.203B,1.203B,0.0023,,,
1990-07,990.30M,990.30M,713.10M,277.20M,192.60M,3.40M,,,,200.70M,76.50M,,,,3.40M,,74.90M,27.70M,47.20M,,,47.20M,45.06M,84.60M,8.00M,76.50M,,0.03,0.00,0.0286,0.03,,0.03,0.00,0.0286,0.03,,1.573B,1.573B,0.0023,,,
1990-04,880.90M,880.90M,630.00M,250.90M,181.40M,3.30M,,,,188.60M,62.30M,,,,3.30M,,61.30M,22.70M,38.60M,,,38.60M,36.52M,69.50M,7.20M,62.30M,,0.03,0.00,0.0284,0.03,,0.03,0.00,0.0284,0.03,,1.287B,1.287B,0.0003,,,
1990-01,713.20M,713.20M,502.30M,210.90M,157.20M,4.30M,,,,163.50M,47.40M,,,,4.30M,,47.00M,17.40M,29.60M,,,29.60M,26.89M,53.70M,6.30M,47.40M,,0.02,0.00,0.0181,0.02,,0.02,0.00,0.0181,0.02,,1.456B,1.456B,0.0003,,,
1989-10,699.70M,699.70M,502.90M,196.80M,149.10M,5.00M,,,,154.40M,42.40M,,,,5.00M,,41.90M,16.30M,25.60M,,,25.60M,22.55M,47.70M,5.30M,42.40M,,0.02,0.00,0.0176,0.02,,0.02,0.00,0.0176,0.02,,1.28B,1.28B,0.0003,,,
1989-07,704.00M,704.00M,,,,,,,,,704.00M,,,,,,,,30.80M,,,30.80M,,704.00M,,704.00M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.536B,1.536B,0.0003,,,
1989-04,641.50M,641.50M,,,,,,,,,641.50M,,,,,,,,25.90M,,,25.90M,,641.50M,,641.50M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.510B,1.510B,0.0001,,,
1989-01,524.80M,524.80M,,,,,,,,,-1.348B,,,,,,,,18.90M,,,18.90M,,-1.348B,,-1.348B,,,,,,,,,,,,1.499B,1.499B,0.0001,,,
1988-10,510.00M,510.00M,,,,,,,,,510.00M,,,,,,,,17.10M,,,17.10M,,510.00M,,510.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.508B,1.508B,0.0001,,,
1988-07,518.20M,518.20M,,,,,,,,,518.20M,,,,,,,,21.50M,,,21.50M,,518.20M,,518.20M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.504B,1.504B,0.0001,,,
1988-04,446.60M,446.60M,,,,,,,,,446.60M,,,,,,,,19.20M,,,19.20M,,446.60M,,446.60M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.489B,1.489B,0.0007,,,
1988-01,374.00M,374.00M,,,,,,,,,-981.40M,,,,,,,,16.00M,,,16.00M,,-981.40M,,-981.40M,,,,,,,,,,,,1.496B,1.496B,0.0007,,,
1987-10,364.20M,364.20M,,,,,,,,,364.20M,,,,,,,,9.70M,,,9.70M,,364.20M,,364.20M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.489B,1.489B,0.0000,,,
1987-07,381.40M,381.40M,,,,,,,,,381.40M,,,,,,,,15.60M,,,15.60M,,381.40M,,381.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.338B,1.338B,0.0000,,,
1987-04,334.00M,334.00M,,,,,,,,,334.00M,,,,,,,,12.80M,,,12.80M,,334.00M,,334.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.263B,1.263B,,,,
1987-01,273.90M,273.90M,,,,,,,,,-679.30M,,,,,,,,7.70M,,,7.70M,,-679.30M,,-679.30M,,,,,,,,,,,,1.289B,1.289B,,,,
1986-10,251.50M,251.50M,,,,,,,,,251.50M,,,,,,,,3.90M,,,3.90M,,251.50M,,251.50M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.144B,1.144B,,,,
1986-07,263.40M,263.40M,,,,,,,,,263.40M,,,,,,,,7.10M,,,7.10M,,263.40M,,263.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.144B,1.144B,,,,
1986-04,222.60M,222.60M,,,,,,,,,222.60M,,,,,,,,5.10M,,,5.10M,,222.60M,,222.60M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.141B,1.141B,,,,
1986-01,203.70M,203.70M,,,,,,,,,-478.00M,,,,,,,,2.60M,,,2.60M,,-478.00M,,-478.00M,,,,,,,,,,,,1.142B,1.142B,,,,
1985-10,177.70M,177.70M,,,,,,,,,177.70M,,,,,,,,1.20M,,,1.20M,,177.70M,,177.70M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.138B,1.138B,,,,
1985-07,174.20M,174.20M,,,,,,,,,174.20M,,,,,,,,2.50M,,,2.50M,,174.20M,,174.20M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.138B,1.138B,,,,
1985-04,145.00M,145.00M,,,,,,,,,145.00M,,,,,,,,1.90M,,,1.90M,,145.00M,,145.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.138B,1.138B,,,,
1985-01,117.40M,117.40M,,,,,,,,,-290.30M,,,,,,,,3.60M,,,3.60M,,-290.30M,,-290.30M,,,,,,,,,,,,1.138B,1.138B,,,,
1984-10,100.50M,100.50M,,,,,,,,,100.50M,,,,,,,,3.30M,,,3.30M,,100.50M,,100.50M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.135B,1.135B,,,,
1984-07,119.10M,119.10M,,,,,,,,,119.10M,,,,,,,,3.80M,,,3.80M,,119.10M,,119.10M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.135B,1.135B,,,,
1984-04,95.90M,95.90M,,,,,,,,,95.90M,,,,,,,,3.40M,,,3.40M,,95.90M,,95.90M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.135B,1.135B,,,,
