,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2010-06,222.00M,,,,0.00,,,,366.00M,21.00M,12.00M,,,9.00M,113.00M,-57.00M,41.00M,-27.00M,,-26.00M,44.00M,,680.00M,,-512.00M,,,,,-7.00M,21.00M,-498.00M,,-108.00M,,-108.00M,,,,-73.00M,-73.00M,-44.00M,-225.00M,,1.644B,-43.00M,,1.601B,,,0.00,-108.00M,,,AOR,Restated
2010-03,-146.00M,,,,606.00M,,,,361.00M,29.00M,14.00M,,,16.00M,2.00M,0.00,-282.00M,21.00M,,-8.00M,-267.00M,,617.00M,,-428.00M,,,,,-13.00M,6.00M,-435.00M,,-232.00M,,-232.00M,,,,-64.00M,-64.00M,-109.00M,-405.00M,,1.867B,-223.00M,,1.644B,,,3.749B,-3.981B,,,AOR,Restated
2009-12,361.00M,,,,,,,,382.00M,165.00M,7.00M,-351.00M,,-106.00M,-127.00M,10.00M,143.00M,4.00M,,-109.00M,-79.00M,,814.00M,,-558.00M,,,,,132.00M,-66.00M,-492.00M,,-2.00M,,-2.00M,,,,,33.00M,-126.00M,-95.00M,,1.64B,227.00M,,1.867B,,,0.00,-2.00M,,,AOR,Restated
2009-09,55.00M,,,,,,,,361.00M,84.00M,11.00M,351.00M,,-184.00M,-65.00M,17.00M,-96.00M,37.00M,,53.00M,-54.00M,,624.00M,,-752.00M,,,,,-3.00M,0.00,-755.00M,,0.00,61.00M,61.00M,,,,,-96.00M,-47.00M,-82.00M,,1.853B,-213.00M,,1.64B,,,0.00,61.00M,,,AOR,Restated
2009-06,169.00M,,,,,,,,359.00M,38.00M,25.00M,,,-15.00M,-1.00M,-7.00M,70.00M,-21.00M,,5.00M,46.00M,,622.00M,,-465.00M,,,,,-129.00M,152.00M,-442.00M,,0.00,-20.00M,-20.00M,,,,,-96.00M,3.00M,-113.00M,,1.786B,67.00M,,1.853B,,,0.00,-20.00M,,,AOR,Restated
2009-03,-224.00M,,,,,,,,367.00M,-38.00M,,,,389.00M,245.00M,13.00M,-278.00M,-13.00M,,51.00M,18.00M,,512.00M,,-612.00M,,,,,,-9.00M,-621.00M,,564.00M,-41.00M,523.00M,,,,,-97.00M,30.00M,456.00M,,1.439B,347.00M,,1.786B,,,595.00M,-72.00M,,,AOR,Restated
2008-12,132.00M,,37.00M,,1.00M,,,,357.00M,,-2.00M,,,266.00M,51.00M,63.00M,-85.00M,2.00M,,-36.00M,-5.00M,,749.00M,,-965.00M,119.00M,119.00M,0.00,,35.00M,71.00M,-718.00M,,-31.00M,-4.00M,-35.00M,32.00M,0.00,32.00M,,-96.00M,-17.00M,-116.00M,,1.524B,-85.00M,,1.439B,,32.00M,-4.00M,-31.00M,0.00,,AOR,Restated
2008-09,523.00M,,-37.00M,,-133.00M,,,,299.00M,-329.00M,33.00M,,,523.00M,639.00M,18.00M,-335.00M,-25.00M,-102.00M,-271.00M,-76.00M,,840.00M,,-1.03B,-197.00M,1.364B,148.00M,,-61.00M,68.00M,-1.072B,,40.00M,4.00M,-11.00M,339.00M,-115.00M,224.00M,,-153.00M,-241.00M,-181.00M,,1.937B,-413.00M,,1.524B,,339.00M,678.00M,-634.00M,-115.00M,,,Restated
2008-06,398.00M,,,,66.00M,,,,352.00M,329.00M,,,,-150.00M,-299.00M,-49.00M,153.00M,-61.00M,102.00M,132.00M,-22.00M,,973.00M,,-982.00M,197.00M,-1.364B,-118.00M,,-44.00M,-32.00M,-979.00M,,15.00M,31.00M,101.00M,-339.00M,-266.00M,-605.00M,,-40.00M,247.00M,-297.00M,,2.24B,-303.00M,,1.937B,,-339.00M,-100.00M,146.00M,-266.00M,,,
2008-03,539.00M,,,,-118.00M,,,,302.00M,,,,,154.00M,-62.00M,-80.00M,19.00M,8.00M,,31.00M,-84.00M,,793.00M,,-579.00M,,,118.00M,,,47.00M,-414.00M,,-15.00M,-31.00M,-46.00M,362.00M,-93.00M,269.00M,,-83.00M,22.00M,162.00M,,1.699B,541.00M,,2.24B,,362.00M,100.00M,-146.00M,-93.00M,,,Restated
