,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2006-04,124.01M,127.90M,251.91M,112.84M,,112.84M,,6.55M,,36.39M,407.70M,,,,,,438.77M,-117.88M,320.89M,112.23M,2.063M,114.29M,,5.929M,21.06M,462.17M,869.86M,62.69M,,62.69M,,62.69M,,,,,,20.73M,29.58M,8.849M,1.418M,93.68M,,,,,,,,1.174M,94.86M,0.00,502.38M,272.34M,0.28M,775.01M
2006-01,96.83M,105.50M,202.33M,123.90M,,123.90M,,7.30M,,48.41M,381.93M,,,,,,428.82M,-117.88M,310.94M,,114.30M,114.30M,,6.157M,15.04M,446.44M,828.37M,58.31M,,58.31M,,58.31M,,,,,,23.21M,30.59M,7.379M,0.678M,89.58M,,,,,,,,1.173M,90.75M,269.56M,467.67M,,0.382M,737.62M
2005-10,105.77M,149.72M,255.49M,92.19M,,92.19M,,10.91M,,29.92M,388.51M,,,,,,424.80M,-117.88M,306.92M,,121.22M,121.22M,,0.676M,17.24M,446.05M,834.56M,62.25M,,62.25M,,62.25M,,,,,,14.99M,20.43M,5.444M,15.63M,98.31M,,,,,,,,1.094M,99.40M,274.97M,459.82M,,0.368M,735.16M
2005-07,252.55M,,252.55M,89.00M,,89.00M,,6.274M,,25.98M,373.81M,0.0,125.17M,233.41M,54.58M,,413.15M,-117.88M,295.27M,116.38M,1.938M,118.31M,,,6.138M,419.72M,793.53M,56.96M,,56.96M,,56.96M,,,,,,12.48M,15.77M,3.295M,7.375M,80.11M,,,,2.878M,2.878M,,1.159M,4.037M,84.15M,0.00,437.01M,272.02M,0.354M,709.38M
2005-04,243.90M,,243.90M,94.35M,,94.35M,,7.195M,,24.90M,370.34M,,,,,,370.00M,-94.45M,275.55M,,117.68M,117.68M,,,6.642M,399.87M,770.22M,50.42M,,50.42M,,50.42M,,,,,,12.74M,18.31M,5.564M,10.26M,78.98M,,,,7.96M,7.96M,,1.263M,9.223M,88.21M,269.68M,412.02M,,0.308M,682.01M
2005-01,0.00,207.18M,207.18M,99.71M,,99.71M,,6.972M,,29.18M,343.04M,,,,,,362.06M,-94.45M,267.61M,,114.90M,114.90M,,,6.54M,389.05M,732.09M,48.13M,,48.13M,,48.13M,,,0.1493M,,0.1493M,13.88M,20.66M,6.782M,5.846M,74.79M,0.0049M,,0.0049M,6.091M,6.091M,,1.081M,7.177M,81.96M,268.76M,381.11M,,0.2525M,650.13M
2004-10,200.04M,,200.04M,90.71M,,90.71M,,5.067M,,27.98M,323.80M,,,,,,356.11M,-94.45M,261.66M,,115.22M,115.22M,,,6.826M,383.71M,707.51M,41.92M,,41.92M,,41.92M,,,0.0076M,,0.0076M,11.35M,17.84M,6.489M,12.86M,72.62M,0.007M,,0.007M,8.377M,8.377M,,1.133M,9.518M,82.14M,267.54M,357.56M,,0.271M,625.37M
2004-07,178.32M,,178.32M,81.63M,,81.63M,,5.437M,,27.72M,293.11M,0.0,105.15M,196.23M,50.74M,,352.12M,-94.45M,257.67M,,115.63M,115.63M,,,6.613M,379.91M,673.02M,44.08M,,44.08M,,44.08M,,,,,,9.721M,15.16M,5.438M,3.984M,63.22M,,,,6.355M,6.355M,,1.182M,7.537M,70.76M,267.28M,334.89M,,0.095M,602.26M
2004-04,165.64M,,165.64M,84.39M,,84.39M,,10.86M,,31.06M,291.95M,,,,,,321.22M,-69.62M,251.60M,,115.24M,115.24M,,,,366.84M,658.79M,47.34M,,47.34M,,47.34M,,,0.0071M,,0.0071M,9.889M,16.22M,6.331M,9.845M,73.42M,0.0108M,,0.0108M,8.014M,8.014M,,1.194M,9.219M,82.63M,262.74M,313.44M,,-0.0283M,576.16M
2004-01,105.58M,,105.58M,94.92M,,94.92M,,10.66M,,38.75M,249.91M,,,,,,323.46M,-69.62M,253.83M,,115.68M,115.68M,,,,369.51M,619.41M,39.94M,,39.94M,,39.94M,,,0.007M,,0.007M,11.88M,19.83M,7.952M,0.843M,60.62M,0.013M,,0.013M,8.014M,8.014M,,1.202M,9.229M,69.85M,261.29M,288.28M,,-0.014M,549.56M
2003-10,119.46M,,119.46M,78.89M,,78.89M,,10.49M,,25.14M,233.98M,,,,,,318.12M,-69.62M,248.49M,,116.09M,116.09M,,,,364.59M,598.57M,38.83M,,38.83M,,38.83M,,,0.0067M,,0.0067M,10.72M,15.94M,5.225M,3.913M,58.69M,0.0145M,,0.0145M,8.014M,8.014M,,1.237M,9.265M,67.95M,259.64M,270.91M,,0.0646M,530.62M
2003-07,116.75M,,116.75M,71.55M,4.018M,75.57M,,10.07M,,23.38M,225.77M,0.0,85.08M,179.22M,49.69M,,313.99M,-69.62M,244.36M,,116.97M,116.97M,,,,361.33M,587.10M,38.31M,,38.31M,,38.31M,,,0.091M,,0.091M,9.708M,15.61M,5.902M,0.174M,54.18M,0.016M,,0.016M,6.014M,6.014M,,1.246M,7.276M,61.46M,269.97M,255.67M,,,525.64M
2003-04,110.90M,,110.90M,68.08M,,68.08M,,11.35M,,21.84M,212.18M,,,,,,290.20M,-47.77M,242.42M,,116.98M,116.98M,,,,359.40M,571.58M,35.11M,,35.11M,,35.11M,,,0.1743M,,0.1743M,8.958M,14.73M,5.776M,3.935M,53.95M,0.0179M,,0.0179M,4.818M,4.818M,,1.400M,6.237M,60.19M,269.06M,242.34M,,,511.39M
2003-01,94.00M,,94.00M,83.34M,,83.34M,,12.22M,,23.95M,213.52M,,,,,,288.50M,-47.77M,240.73M,,117.37M,117.37M,,,,358.10M,571.62M,33.51M,,33.51M,,33.51M,,,0.256M,,0.256M,10.14M,16.30M,6.165M,2.729M,52.79M,0.0196M,,0.0196M,1.063M,1.063M,,1.410M,2.492M,55.28M,289.42M,226.91M,,,516.34M
2002-10,125.68M,,125.68M,66.50M,,66.50M,,13.23M,,20.77M,226.19M,,,,,,261.09M,-47.77M,213.31M,108.66M,9.148M,117.81M,,,,331.12M,557.31M,32.24M,,32.24M,,32.24M,,,0.3302M,,0.3302M,8.613M,13.59M,4.974M,7.681M,53.84M,,,,1.063M,1.063M,,1.424M,2.487M,56.32M,287.73M,213.16M,,0.10M,500.99M
2002-07,132.69M,,132.69M,64.07M,,64.07M,,9.216M,,20.01M,225.99M,0.0,77.97M,124.24M,43.34M,,245.54M,-47.77M,197.77M,102.92M,9.166M,112.09M,,,,309.86M,535.85M,31.89M,,31.89M,,31.89M,,,0.3245M,,0.3245M,8.352M,12.00M,3.646M,2.83M,47.05M,0.0847M,,0.0847M,1.063M,1.063M,,1.436M,2.584M,49.63M,287.77M,198.45M,,,486.22M
2002-04,144.02M,,144.02M,64.03M,,64.03M,,10.88M,,19.83M,238.76M,,,,,,204.31M,-34.20M,170.11M,91.78M,8.112M,99.89M,,1.084M,,271.09M,509.84M,33.99M,,33.99M,,33.99M,,,0.319M,,0.319M,8.614M,12.59M,3.976M,8.673M,55.57M,0.1679M,,0.1679M,,,,1.437M,1.605M,57.18M,269.75M,182.91M,,,452.67M
2002-01,123.44M,,123.44M,76.98M,,76.98M,,10.58M,,23.73M,234.72M,,,,,,182.86M,-34.20M,148.66M,,100.29M,100.29M,,1.084M,,250.03M,484.76M,28.71M,,28.71M,,28.71M,,,0.3135M,,0.3135M,10.02M,15.50M,5.478M,4.966M,49.49M,0.2497M,,0.2497M,,,,1.420M,1.669M,51.16M,267.28M,166.31M,,,433.60M
2001-10,13.35M,,13.35M,67.40M,,67.40M,,12.06M,2.655M,20.60M,116.07M,,,,,,163.72M,-34.20M,129.53M,,100.40M,100.40M,,,,229.93M,346.00M,29.38M,,29.38M,,29.38M,,,0.3082M,,0.3082M,9.283M,9.283M,,9.854M,48.83M,0.3302M,,0.3302M,4.553M,4.553M,,1.393M,6.276M,55.10M,137.08M,153.82M,,,290.90M
2001-07,15.25M,,15.25M,64.91M,,64.91M,,7.866M,,19.85M,107.86M,0.0,115.20M,,33.99M,,149.20M,-34.20M,115.00M,82.75M,8.365M,91.12M,,1.084M,,207.20M,315.06M,26.77M,,26.77M,,26.77M,,,0.3029M,,0.3029M,8.863M,11.85M,2.982M,5.172M,44.09M,0.4092M,,0.4092M,,,,1.412M,1.822M,45.91M,128.09M,141.06M,,,269.15M
2001-04,18.10M,,18.10M,62.62M,,62.62M,,9.477M,1.708M,17.39M,109.30M,,,,,,134.41M,-25.62M,108.80M,,91.91M,91.91M,,,,200.71M,310.01M,27.79M,,27.79M,,27.79M,,,7.798M,,7.798M,8.878M,8.878M,,7.984M,52.45M,0.4869M,,0.4869M,2.834M,2.834M,,1.449M,4.770M,57.22M,124.66M,128.13M,,,252.79M
2001-01,2.522M,,2.522M,68.51M,,68.51M,,11.48M,1.708M,19.73M,103.95M,,,,,,124.05M,-25.62M,98.44M,,90.31M,90.31M,,,,188.74M,292.70M,24.63M,,24.63M,,24.63M,,,7.810M,,7.810M,9.988M,9.988M,,4.531M,46.96M,0.5633M,,0.5633M,2.834M,2.834M,,1.469M,4.867M,51.83M,124.22M,116.64M,,,240.87M
2000-10,15.68M,,15.68M,55.62M,,55.62M,,10.13M,1.708M,16.04M,99.17M,,,,,,114.05M,-25.62M,88.43M,,89.43M,89.43M,,,,177.87M,277.04M,24.25M,,24.25M,,24.25M,,,7.895M,,7.895M,8.200M,8.200M,,2.880M,43.22M,0.6384M,,0.6384M,2.834M,2.834M,,1.489M,4.962M,48.19M,121.56M,107.29M,,,228.85M
2000-07,12.16M,,12.16M,,,52.51M,,,,26.74M,91.41M,,,,,,106.13M,-25.62M,80.51M,,90.40M,90.40M,,,,170.91M,262.32M,19.98M,,19.98M,,19.98M,,,7.842M,,7.842M,,,,9.545M,37.37M,0.7122M,,0.7122M,2.834M,2.834M,,1.515M,5.062M,42.43M,121.52M,98.38M,,,219.89M
2000-04,20.60M,,20.60M,,,48.59M,,,,19.58M,88.76M,,,,,,97.77M,-23.87M,73.91M,,86.03M,86.03M,,,,159.93M,248.69M,22.73M,,22.73M,,22.73M,,,0.0807M,,0.0807M,,,,9.795M,32.60M,7.50M,,7.50M,0.8021M,0.8021M,,1.552M,9.854M,42.46M,116.02M,90.21M,,,206.23M
2000-01,15.30M,,15.30M,,,50.90M,,,,20.20M,86.40M,,,,,,85.10M,-19.00M,66.10M,,85.00M,85.00M,,,,151.10M,237.50M,20.10M,,20.10M,,20.10M,,,0.10M,,0.10M,,,,9.70M,29.90M,7.50M,,7.50M,0.80M,0.80M,,1.60M,9.90M,39.80M,115.90M,81.90M,,,197.70M
1999-10,33.00M,,33.00M,,,41.90M,,,,16.40M,91.30M,,,,,,81.40M,-20.30M,61.10M,,77.00M,77.00M,,,0.10M,138.20M,229.50M,18.10M,,18.10M,,18.10M,,,0.10M,,0.10M,,,,10.90M,29.10M,7.50M,,7.50M,0.80M,0.80M,,1.80M,10.10M,39.20M,115.10M,75.30M,,,190.30M
1999-07,37.00M,,37.00M,,,37.50M,,,,14.80M,89.30M,,,,,,70.60M,-19.00M,51.60M,,77.80M,77.80M,,,,129.40M,218.70M,16.60M,,16.60M,,16.60M,,,0.30M,,0.30M,,,,7.70M,24.60M,7.60M,,7.60M,0.80M,0.80M,,1.70M,10.10M,34.70M,115.00M,68.90M,,,184.00M
1999-04,38.10M,,38.10M,,,36.20M,,,,14.50M,88.80M,,,,,,64.80M,-17.30M,47.50M,,76.10M,76.10M,,,-0.10M,123.50M,212.30M,16.20M,,16.20M,,16.20M,,,0.40M,,0.40M,,,,8.80M,25.40M,7.60M,,7.60M,1.10M,1.10M,,1.70M,10.40M,35.80M,,62.30M,,,176.50M
1999-01,22.80M,,22.80M,,,40.70M,,,,16.30M,79.80M,,,,,,58.60M,-13.20M,45.40M,,76.80M,76.80M,,,-0.10M,122.10M,201.90M,11.70M,,11.70M,,11.70M,,,0.50M,,0.50M,,,,9.40M,21.60M,7.60M,,7.60M,1.10M,1.10M,,1.70M,10.40M,32.00M,,56.00M,,,169.90M
1998-10,22.80M,,22.80M,,,34.30M,,,,22.80M,79.90M,,,,,,53.70M,-13.20M,40.50M,,77.60M,77.60M,,,,118.10M,198.00M,12.70M,,12.70M,,12.70M,,,0.50M,,0.50M,,,,9.60M,22.80M,7.70M,,7.70M,1.10M,1.10M,,1.70M,10.50M,33.30M,,51.20M,,,164.70M
1998-07,15.70M,,15.70M,,,32.80M,,,,26.50M,75.00M,,,,,,50.80M,-13.20M,37.60M,,78.40M,78.40M,,,-0.10M,115.90M,190.90M,11.70M,,11.70M,,11.70M,,,0.60M,,0.60M,,,,7.90M,20.20M,7.80M,,7.80M,1.10M,1.10M,,1.60M,10.50M,30.70M,,47.00M,,,160.20M
1998-04,36.70M,,36.70M,,,30.80M,0.10M,,,13.30M,80.90M,,,,,,47.30M,-11.60M,35.70M,,72.30M,72.30M,,,-0.10M,107.90M,188.80M,14.70M,,14.70M,,14.70M,,,0.50M,,0.50M,,,,8.70M,23.90M,7.90M,,7.90M,1.00M,1.00M,,1.60M,10.50M,34.40M,,42.70M,,,154.40M
