,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-09,989.13M,1.163B,,,43.24M,,43.24M,77.00M,,35.46M,,,-327.99M,,,,,-1.976B,406.95M,756.21M,,,,-327.99M,,419.43M,84.93M,334.50M,,,,334.50M,596.06M,821.66M,65.45M,756.21M,,0.4433,0.00,,0.7896,0.4433,,0.4267,0.00,,0.7599,0.4267,,755.50M,784.92M,0.0333,,AOR,Restated
2005-06,1.094B,1.110B,,,36.84M,,36.84M,73.25M,,33.71M,,,-333.41M,,,,,259.79M,403.60M,706.14M,,,,-333.41M,,363.71M,101.84M,261.87M,,,,261.87M,501.92M,754.48M,48.34M,706.14M,,0.3467,0.00,,0.6644,0.3467,,0.3333,0.00,,0.6389,0.3333,,755.40M,785.62M,0.0333,,AOR,Restated
2005-03,1.034B,1.051B,,,31.11M,,31.11M,69.81M,,34.97M,,,-310.35M,,,,,294.64M,430.52M,620.66M,,,,-310.35M,,302.06M,80.79M,221.27M,,,,221.27M,448.62M,670.34M,49.68M,620.66M,,0.2933,0.00,,0.5947,0.2933,,0.2833,0.00,,0.5744,0.2833,,754.34M,780.97M,0.0333,,AOR,Restated
2004-12,970.03M,986.02M,,,26.11M,,26.11M,66.80M,,35.79M,,,-267.87M,,,,,245.81M,374.52M,611.51M,,,,-267.87M,,335.65M,95.66M,239.99M,,,,239.99M,431.52M,660.21M,48.70M,611.51M,,0.32,0.00,,0.5754,0.32,,0.3067,0.00,,0.5514,0.3067,,749.97M,782.57M,0.0333,,AOR,Restated
2004-09,865.00M,881.73M,,,27.71M,,27.71M,68.02M,,31.16M,,,-238.17M,,,,,247.00M,373.89M,507.84M,,,,-238.17M,,261.76M,74.08M,187.68M,0.00,,,187.68M,358.45M,553.83M,45.98M,507.84M,,0.2533,0.00,0.00,0.4840,0.2533,,0.2433,0.00,-0.0000,0.4647,0.2433,,740.30M,771.32M,0.0283,,AOR,Restated
2004-06,848.84M,867.82M,,,31.14M,,31.14M,67.46M,,29.09M,,,-241.41M,,,,,246.89M,374.58M,493.24M,,,,-241.41M,,243.99M,70.10M,173.90M,0.00,,,173.90M,345.95M,538.56M,45.32M,493.24M,,0.2333,0.00,0.00,0.4642,0.2333,,0.2233,0.00,0.00,0.4443,0.2233,,745.27M,778.64M,0.0283,,AOR,Restated
2004-03,859.68M,879.00M,,,31.94M,,31.94M,68.41M,,29.40M,,,-233.29M,,,,,255.98M,385.73M,493.27M,,,,-233.29M,,252.18M,79.38M,172.79M,0.00,,,172.79M,332.64M,540.38M,47.12M,493.27M,,0.23,0.00,0.00,0.4428,0.23,,0.2233,0.00,0.00,0.4299,0.2233,,751.27M,773.69M,0.0283,,AOR,Restated
2003-12,792.10M,809.67M,,,21.23M,,21.23M,69.65M,,26.85M,,,-228.54M,,,,,220.35M,338.08M,471.59M,,,,-228.54M,,235.94M,68.42M,167.52M,4.779M,,,172.30M,329.78M,516.60M,45.01M,471.59M,,0.2267,0.0067,0.00,0.4464,0.2333,,0.2167,0.0067,0.0062,0.4270,0.2233,,738.41M,771.47M,0.0283,,AOR,Restated
2003-09,714.52M,729.63M,,,23.25M,,23.25M,70.87M,,25.50M,,,-197.77M,,,,,190.94M,310.56M,419.07M,,,,-197.77M,,214.20M,62.12M,152.08M,0.00,,,152.08M,292.50M,463.88M,44.81M,419.07M,,0.2033,0.00,0.00,0.3923,0.2033,,0.20,0.00,0.00,0.3851,0.20,,743.25M,758.72M,0.025,,AOR,Restated
2003-06,659.62M,683.91M,,,22.28M,,22.28M,70.46M,,23.40M,,,-184.66M,,,,,191.32M,307.46M,376.45M,,,,-184.66M,,185.05M,53.67M,131.39M,0.00,,,131.39M,262.49M,421.13M,44.69M,376.45M,,0.1733,0.00,0.00,0.3463,0.1733,,0.1733,0.00,0.00,0.3463,0.1733,,758.01M,758.01M,0.025,,AOR,Restated
2003-03,597.37M,613.14M,,,24.23M,,24.23M,71.40M,,21.28M,,,-157.51M,,,,,183.45M,300.36M,312.77M,,,,-157.51M,,152.23M,42.62M,109.60M,0.00,,,109.60M,223.01M,357.20M,44.43M,312.77M,,0.1433,0.00,0.00,0.2916,0.1433,,0.1433,0.00,0.00,0.2916,0.1433,,764.67M,764.67M,0.025,,AOR,Restated
2002-12,585.40M,605.45M,,,22.64M,,22.64M,72.60M,,20.28M,,,-156.54M,,,,,181.63M,297.15M,308.30M,,,,-156.54M,,148.73M,38.97M,109.76M,0.00,,,109.76M,225.29M,351.80M,43.50M,308.30M,,0.1433,0.00,0.00,0.2942,0.1433,,0.1433,0.00,0.00,0.2942,0.1433,,765.77M,765.77M,0.025,,AOR,Restated
2002-09,668.44M,612.68M,,,,,,,,,,,,,,,,,,1.537B,,,,,,,,68.50M,,,,68.50M,68.50M,1.537B,,1.537B,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,769.79M,786.05M,0.0233,,AOR,Restated
2002-06,646.97M,666.05M,,,29.27M,,29.27M,75.57M,,21.92M,,,-173.57M,,,,,193.86M,320.61M,345.44M,,,,-173.57M,,168.71M,43.02M,125.69M,,,,125.69M,255.00M,392.81M,47.37M,345.44M,,0.16,0.00,,0.3246,0.16,,0.16,0.00,,0.3246,0.16,,785.56M,785.56M,0.0233,,AOR,Restated
2002-03,611.34M,625.97M,,,25.48M,,25.48M,73.20M,,21.30M,,,-162.54M,,,,,180.64M,300.62M,325.35M,,,,-162.54M,,159.99M,40.00M,120.00M,,,,120.00M,241.91M,371.08M,45.74M,325.35M,,0.1533,0.00,,0.3091,0.1533,,0.1533,0.00,,0.3091,0.1533,,782.58M,782.58M,0.0233,,AOR,Restated
2001-12,596.15M,618.21M,,,26.42M,,26.42M,74.59M,,21.12M,,,-153.94M,,,,,180.94M,303.08M,315.13M,,,,-153.94M,,158.03M,39.51M,118.52M,,,,118.52M,233.97M,360.53M,45.40M,315.13M,,0.15,0.00,,0.2961,0.15,,0.15,0.00,,0.2961,0.15,,790.13M,790.13M,0.0233,,AOR,Restated
2001-09,590.55M,603.88M,,,32.39M,,32.39M,76.19M,,36.70M,,,-146.43M,,,,,198.68M,343.96M,259.92M,,,,-146.43M,,110.35M,26.48M,83.87M,,,,83.87M,195.16M,321.94M,62.02M,259.92M,,0.1033,0.00,,0.2444,0.1033,,0.1033,0.00,,0.2441,0.1033,,788.72M,790.58M,0.0217,,AOR,Restated
2001-06,597.02M,609.47M,,,27.31M,,27.31M,70.58M,,33.03M,,,-128.28M,,,,,190.88M,321.80M,287.67M,,,,-128.28M,,157.50M,37.80M,119.70M,,,,119.70M,217.19M,346.29M,58.62M,287.67M,,0.1533,0.00,,0.2782,0.1533,,0.1533,0.00,,0.2782,0.1533,,780.67M,780.67M,0.0217,,AOR,Restated
2001-03,570.26M,577.41M,,,24.43M,,24.43M,59.00M,,27.69M,,,-130.08M,,,,,159.68M,270.81M,306.61M,,,,-130.08M,,173.27M,41.58M,131.68M,,,,131.68M,230.55M,359.49M,52.88M,306.61M,,0.18,0.00,,0.3151,0.18,,0.18,0.00,,0.3151,0.18,,731.58M,731.58M,0.0217,,AOR,Restated
2000-12,558.37M,564.07M,,,22.13M,,22.13M,57.53M,,28.14M,,,-95.73M,,,,,161.61M,269.41M,294.66M,,,,-95.73M,,196.66M,47.20M,149.46M,,,,149.46M,222.22M,345.00M,50.33M,294.66M,,0.2033,0.00,,0.3023,0.2033,,0.2033,0.00,,0.3023,0.2033,,735.07M,735.07M,0.0217,,AOR,Restated
2000-09,586.30M,593.05M,,,27.48M,,27.48M,59.89M,,29.73M,,,-126.58M,,,,,160.64M,277.74M,315.32M,,,,-126.58M,,185.32M,44.50M,140.82M,,,,140.82M,237.01M,366.06M,50.75M,315.32M,,0.19,0.00,,0.3198,0.19,,0.19,0.00,,0.3198,0.19,,741.17M,741.17M,0.02,,AOR,Restated
2000-06,564.13M,568.90M,,,25.28M,,25.28M,50.71M,,30.26M,,,-122.85M,,,,,151.13M,257.38M,311.52M,,,,-122.85M,,184.67M,44.30M,140.37M,,,,140.37M,233.75M,360.86M,49.34M,311.52M,,0.1933,0.00,,0.3219,0.1933,,0.1933,0.00,,0.3219,0.1933,,726.05M,726.05M,0.02,,AOR,Restated
2000-03,609.34M,612.53M,,,25.90M,,25.90M,51.44M,,30.88M,,,-157.12M,,,,,155.35M,263.57M,348.95M,,,,-157.12M,,188.65M,45.28M,143.37M,,,,143.37M,262.79M,399.74M,50.79M,348.95M,,0.1933,0.00,,0.3544,0.1933,,0.1933,0.00,,0.3525,0.1933,,741.59M,750.12M,0.02,,AOR,Restated
1999-12,560.04M,565.67M,,,22.54M,,22.54M,51.63M,,29.91M,,,-126.49M,,,,,150.77M,254.86M,310.80M,,,,-126.49M,,180.95M,43.43M,137.52M,,,,137.52M,233.65M,359.56M,48.76M,310.80M,,0.1833,0.00,,0.3115,0.1833,,0.1833,0.00,,0.3115,0.1833,,750.12M,750.12M,0.02,,AOR,Restated
1999-09,569.13M,573.97M,,,25.92M,,25.92M,58.08M,,33.65M,,,-133.67M,,,,,143.26M,260.91M,313.06M,,,,-133.67M,,174.26M,41.82M,132.44M,,,,132.44M,234.03M,363.10M,50.04M,313.06M,,0.1733,0.00,,0.3059,0.1733,,0.1733,0.00,,0.3059,0.1733,,766.29M,766.29M,0.0183,,AOR,Restated
1999-06,562.01M,566.78M,,,26.38M,,26.38M,53.83M,,32.88M,,,-139.13M,,,,,145.82M,258.92M,307.86M,,,,-139.13M,,163.86M,40.55M,123.31M,,,,123.31M,228.00M,343.76M,35.90M,307.86M,,0.1633,0.00,,0.3020,0.1633,,0.1633,0.00,,0.3020,0.1633,,754.94M,754.94M,0.0183,,,Restated
1999-03,548.59M,554.07M,,,25.39M,,25.39M,52.11M,,32.25M,,,-138.81M,,,,,159.90M,269.65M,284.42M,,,,-138.81M,,140.83M,38.36M,102.47M,,,,102.47M,203.47M,346.94M,62.52M,284.42M,,0.1367,0.00,,0.2714,0.1367,,0.1367,0.00,,0.2714,0.1367,,749.79M,749.79M,0.0183,,,Restated
1998-12,564.71M,567.68M,,,28.24M,,28.24M,48.48M,,34.39M,,,-152.51M,,,,,202.76M,313.87M,253.81M,,,,-152.51M,,95.13M,26.64M,68.49M,,,,68.49M,178.30M,305.36M,51.55M,253.81M,,0.09,0.00,,0.2343,0.09,,0.09,0.00,,0.2343,0.09,,761.02M,761.02M,0.0183,,,Restated
1998-09,535.79M,556.58M,,,33.54M,,-385.18M,,,,,,,,,,,,2.062B,-1.505B,,,,,,151.69M,39.44M,112.25M,,,,112.25M,112.25M,-1.453B,51.90M,-1.505B,,0.1467,0.00,,0.1467,0.1467,,0.1467,0.00,,0.1467,0.1467,,758.09M,758.09M,0.0167,,AOR,Restated
1998-06,688.03M,688.03M,,,33.78M,152.69M,186.47M,,,,,,,-504.38M,,,,,-317.91M,1.006B,,,,,,177.13M,46.12M,131.01M,,,,131.01M,131.01M,1.057B,50.59M,1.006B,,0.1733,0.00,,0.1733,0.1733,,0.1733,0.00,,0.1733,0.1733,,758.58M,759.28M,0.0167,,,
1998-03,685.29M,685.29M,,,31.24M,132.74M,163.99M,,,,,,,-510.27M,,,,,-346.28M,1.032B,,,,,,171.19M,44.52M,126.67M,,,,126.67M,126.67M,1.078B,46.44M,1.032B,,0.1667,0.00,,0.1667,0.1667,,0.1667,0.00,,0.1667,0.1667,,758.58M,759.17M,0.0167,,,
1997-12,647.37M,647.37M,,,27.36M,133.29M,160.65M,,,,,,,-464.96M,,,,,-304.30M,951.68M,,,,,,176.26M,45.75M,130.52M,,,,130.52M,130.52M,994.13M,42.45M,951.68M,,0.1733,0.00,,0.1733,0.1733,,0.1733,0.00,,0.1733,0.1733,,758.08M,759.56M,0.0167,,,
1997-09,612.70M,623.48M,,,,,-456.35M,,,,,,-697.24M,,,,,,260.49M,878.99M,,,,-697.24M,,176.11M,50.85M,125.26M,,,,125.26M,621.19M,1.049B,170.01M,878.99M,,0.1667,0.00,,0.8276,0.1667,,0.1633,0.00,,0.8090,0.1633,,750.31M,768.02M,0.015,,AOR,Restated
1997-06,577.90M,577.90M,202.30M,375.60M,,,204.10M,,16.30M,,,,8.80M,,,,,,220.40M,155.20M,,,,8.80M,,158.30M,47.10M,111.20M,,,,111.20M,105.02M,171.50M,-16.30M,155.20M,,0.1467,0.00,,0.1385,0.1467,,0.1467,0.00,,0.1385,0.1467,,758.18M,758.18M,0.015,,,
1997-03,521.90M,521.90M,177.00M,344.90M,,,184.60M,,16.20M,,,,6.10M,,,,,,200.80M,144.10M,,,,6.10M,,144.30M,42.90M,101.40M,,,,101.40M,97.11M,160.30M,-16.20M,144.10M,,0.1333,0.00,,0.1277,0.1333,,0.1333,0.00,,0.1277,0.1333,,760.50M,760.50M,0.0133,,,
1996-12,440.00M,440.00M,136.70M,303.30M,,,164.20M,,13.60M,,,,19.60M,,,,,,177.80M,125.50M,,,,19.60M,,137.00M,40.80M,96.20M,,,,96.20M,82.44M,139.10M,-13.60M,125.50M,,0.1267,0.00,,0.1085,0.1267,,0.1267,0.00,,0.1085,0.1267,,759.47M,759.47M,0.0133,,,
1996-09,382.64M,387.67M,,,,,-328.84M,,,,,,-504.96M,,,,,,153.74M,627.13M,,,,-504.96M,,119.73M,35.20M,84.53M,,,,84.53M,441.04M,721.86M,94.73M,627.13M,,0.53,0.00,,1.010,0.53,,0.5267,0.00,,1.002,0.5267,,742.58M,750.65M,0.0122,,AOR,Restated
1996-06,395.40M,395.40M,143.00M,252.40M,,,139.50M,,5.70M,,,,16.60M,,,,,,145.20M,107.20M,,,,16.60M,,121.10M,40.00M,81.10M,,,,81.10M,69.98M,112.90M,-10.20M,107.20M,,0.11,0.00,,0.0949,0.11,,0.11,0.00,,0.0949,0.11,,737.27M,737.27M,0.0122,,,
1996-03,244.60M,244.60M,5.20M,239.40M,,,138.40M,,9.70M,,,,10.00M,,,,,,148.10M,91.30M,,,,10.00M,,108.30M,33.10M,75.20M,,,,75.20M,68.26M,101.00M,-9.70M,91.30M,,0.1033,0.00,,0.0938,0.1033,,0.1033,0.00,,0.0938,0.1033,,727.74M,727.74M,0.0122,,,
1995-12,226.60M,226.60M,5.30M,221.30M,,,122.60M,,10.10M,,,,10.70M,,,,,,132.70M,88.60M,,,,10.70M,,107.20M,33.20M,74.00M,,,,74.00M,66.61M,98.70M,-10.10M,88.60M,,0.10,0.00,,0.0900,0.10,,0.10,0.00,,0.0900,0.10,,740.00M,740.00M,0.0122,,,
1995-09,603.90M,608.40M,366.80M,241.60M,,,-141.04M,,,,,,-403.52M,,,,,,106.86M,134.74M,,,,-403.52M,,100.46M,26.91M,73.50M,,,,73.54M,368.97M,206.18M,71.44M,134.74M,,0.0967,0.00,,0.4843,0.0967,,0.0922,0.00,,0.4617,0.0922,,762.20M,799.56M,0.0111,,AOR,Restated
1995-06,224.50M,224.50M,6.00M,218.50M,,,117.20M,,10.60M,,,,9.10M,,,,,,127.80M,90.70M,,,,9.10M,,101.00M,32.00M,69.00M,,,,69.00M,62.78M,101.30M,-10.40M,90.70M,,0.0933,0.00,,0.0849,0.0933,,0.0933,0.00,,0.0849,0.0933,,739.29M,739.29M,0.0111,,,
1995-03,209.30M,209.30M,6.20M,203.10M,,,107.40M,,10.80M,,,,5.30M,,,,,,118.20M,84.90M,,,,5.30M,,92.60M,29.60M,63.00M,,,,63.00M,59.39M,95.70M,-10.80M,84.90M,,0.0867,0.00,,0.0817,0.0867,,0.0867,0.00,,0.0817,0.0867,,726.92M,726.92M,0.0111,,,
1994-12,215.60M,215.60M,4.70M,210.90M,,,115.70M,,9.30M,,,,4.20M,,,,,,125.00M,85.90M,,,,4.20M,,92.40M,29.10M,63.30M,,,,63.30M,60.42M,95.20M,-9.30M,85.90M,,0.0867,0.00,,0.0827,0.0867,,0.0867,0.00,,0.0827,0.0867,,730.38M,730.38M,0.0111,,,
1994-09,85.29M,195.77M,,,,,112.06M,,,,,,6.003M,,,,,,103.17M,106.00M,,,,6.003M,,87.32M,23.61M,63.71M,,,,63.71M,59.33M,169.89M,63.89M,106.00M,,0.0833,0.00,,0.0776,0.0833,,0.0833,0.00,,0.0776,0.0833,,764.50M,764.50M,0.0089,,AOR,Restated
1994-06,204.90M,204.90M,4.10M,200.80M,,,112.30M,,8.70M,,,,5.80M,,,,,,121.00M,79.80M,,,,5.80M,,84.00M,24.00M,60.00M,,,,60.00M,55.86M,88.50M,-9.70M,79.80M,,0.08,0.00,,0.0745,0.08,,0.08,0.00,,0.0745,0.08,,750.00M,750.00M,0.0089,,,
1994-03,213.60M,213.60M,4.20M,209.40M,,,103.30M,,8.80M,,,,5.20M,,,,,,112.10M,97.30M,,,,5.20M,,102.10M,33.50M,68.60M,,,,68.60M,65.11M,106.10M,-7.80M,97.30M,,0.0933,0.00,,0.0886,0.0933,,0.0933,0.00,,0.0886,0.0933,,735.00M,735.00M,0.0089,,,
1993-12,198.50M,198.50M,5.20M,193.30M,,,100.20M,,9.70M,,,,5.70M,,,,,,109.90M,83.40M,,,,5.70M,,89.10M,30.10M,59.00M,,,,59.00M,55.23M,93.10M,-9.70M,83.40M,,0.08,0.00,,0.0749,0.08,,0.08,0.00,,0.0749,0.08,,737.50M,737.50M,0.0089,,,
1993-09,67.22M,173.14M,,,,25.61M,77.73M,,,,,,,,,,,,88.08M,101.07M,,,,,,85.00M,31.28M,53.72M,,,,53.72M,53.72M,141.35M,40.29M,101.07M,,0.0689,0.00,,0.0689,0.0689,,0.0667,0.00,,0.0667,0.0667,,788.16M,816.55M,0.0078,,,Restated
1993-06,172.00M,172.00M,5.00M,167.00M,,92.70M,92.70M,,5.00M,,,,,,,,,,97.70M,69.30M,,,,,,70.20M,25.40M,44.80M,,,,44.80M,44.80M,74.30M,-5.00M,69.30M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,746.67M,746.67M,0.0078,,,
1993-03,158.90M,158.90M,6.50M,152.40M,,86.30M,86.30M,,6.50M,,,,,,,,,,92.80M,59.60M,,,,,,62.90M,20.70M,42.20M,,,,42.20M,42.20M,66.10M,-6.50M,59.60M,,0.0567,0.00,,0.0567,0.0567,,0.0567,0.00,,0.0567,0.0567,,744.71M,744.71M,0.0078,,,
1992-12,136.70M,136.70M,4.50M,132.20M,,72.70M,72.70M,,4.50M,,,,,,,,,,77.20M,55.00M,,,,,,56.30M,21.50M,34.80M,,,,34.80M,34.80M,59.50M,-4.50M,55.00M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,696.00M,696.00M,0.0078,,,
1992-09,103.20M,103.20M,,,,,,,,,,,,-45.00M,,,,,75.70M,27.50M,,,,,,53.80M,20.80M,33.00M,,,,33.00M,33.00M,28.50M,1.00M,27.50M,,0.0467,0.00,,0.0467,0.0467,,0.0467,0.00,,0.0467,0.0467,,707.50M,707.50M,0.0072,,,
1992-06,96.60M,96.60M,,,,,,,,,,,,-43.10M,,,,,-43.10M,139.70M,,,,,,50.90M,19.70M,31.20M,,,,31.20M,31.20M,141.00M,1.30M,139.70M,,0.0467,0.00,,0.0467,0.0467,,0.0467,0.00,,0.0467,0.0467,,668.57M,668.57M,0.0072,,,
1992-03,95.80M,95.80M,,,,,,,,,,,,-40.90M,,,,,-40.90M,136.70M,,,,,,52.00M,20.90M,31.10M,,,,31.10M,31.10M,137.90M,1.20M,136.70M,,0.0467,0.00,,0.0467,0.0467,,0.0467,0.00,,0.0467,0.0467,,666.43M,666.43M,0.0072,,,
1991-12,89.30M,89.30M,,,,27.70M,27.70M,,,,,,,-38.50M,,,,,-10.80M,100.10M,,,,,,48.10M,19.30M,28.80M,,,,28.80M,28.80M,100.90M,0.80M,100.10M,,0.0433,0.00,,0.0433,0.0433,,0.0433,0.00,,0.0433,0.0433,,664.62M,664.62M,0.0072,,,
1991-09,85.40M,85.40M,8.20M,77.20M,,,26.20M,,1.70M,,,,,,,,,,27.90M,49.30M,,,,,,46.20M,19.00M,27.20M,,,,27.20M,27.20M,51.00M,-1.70M,49.30M,,0.0367,0.00,,0.0367,0.0367,,0.0367,0.00,,0.0367,0.0367,,744.42M,744.42M,0.0064,,,
1991-06,81.20M,81.20M,12.00M,69.20M,,,25.30M,,1.00M,,,,,,,,,,26.30M,42.90M,,,,,,40.20M,15.90M,24.30M,,,,24.30M,24.30M,43.90M,-0.90M,42.90M,,0.0367,0.00,,0.0367,0.0367,,0.0367,0.00,,0.0367,0.0367,,662.73M,662.73M,0.0064,,,
1991-03,76.80M,76.80M,8.10M,68.70M,,,26.40M,,1.10M,,,,,,,,,,27.50M,41.20M,,,,,,38.40M,14.70M,23.70M,,,,23.70M,23.70M,42.30M,-1.10M,41.20M,,0.0333,0.00,,0.0333,0.0333,,0.0333,0.00,,0.0333,0.0333,,711.00M,711.00M,0.0064,,,
1990-12,73.90M,73.90M,8.20M,65.70M,,,23.80M,,1.00M,,,,,,,,,,24.80M,40.90M,,,,,,37.80M,14.80M,23.00M,,,,23.00M,23.00M,41.90M,-1.00M,40.90M,,0.0333,0.00,,0.0333,0.0333,,0.0333,0.00,,0.0333,0.0333,,690.00M,690.00M,0.0064,,,
1990-09,73.60M,73.60M,8.90M,64.70M,,,23.80M,,1.20M,,,,,,,,,,25.00M,39.70M,,,,,,36.40M,13.60M,22.80M,,,,22.80M,22.80M,40.90M,-1.20M,39.70M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,756.26M,756.26M,0.0056,,,
1990-06,72.80M,72.80M,9.00M,63.80M,,,24.10M,,1.10M,,,,,,,,,,25.20M,38.60M,,,,,,35.60M,12.80M,22.80M,,,,22.80M,22.80M,39.70M,-1.10M,38.60M,,0.0333,0.00,,0.0333,0.0333,,0.0333,0.00,,0.0333,0.0333,,684.00M,684.00M,0.0056,,,
1990-03,69.60M,69.60M,7.50M,62.10M,,,21.90M,,1.10M,,,,,,,,,,23.00M,39.10M,,,,,,36.10M,14.30M,21.80M,,,,21.80M,21.80M,40.20M,-1.10M,39.10M,,0.0333,0.00,,0.0333,0.0333,,0.0333,0.00,,0.0333,0.0333,,654.00M,654.00M,0.0056,,,
1989-12,69.10M,69.10M,7.80M,61.30M,,,21.10M,,1.00M,,,,,,,,,,22.10M,39.20M,,,,,,36.20M,14.30M,21.90M,,,,21.90M,21.90M,40.20M,-1.00M,39.20M,,0.0333,0.00,,0.0333,0.0333,,0.0333,0.00,,0.0333,0.0333,,657.00M,657.00M,0.0056,,,
1989-09,68.20M,68.20M,,,,,,,,,,,,,,,,,-197.00M,267.80M,,,,,,35.50M,13.50M,22.00M,,,,22.00M,22.00M,267.80M,,267.80M,,0.0333,0.00,,0.0333,0.0333,,0.0333,0.00,,0.0333,0.0333,,651.62M,651.62M,0.0026,,,
1989-06,63.00M,63.00M,0.90M,62.10M,,,27.80M,,0.90M,,,,,,,,,,28.70M,33.40M,,,,,,32.20M,12.50M,19.70M,,,,19.70M,19.70M,34.30M,0.90M,33.40M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,656.67M,656.67M,0.0026,,,
1989-03,62.80M,62.80M,,,,,,,,,,,,,,,,,,62.80M,,,,,,,,18.80M,,,,18.80M,18.80M,62.80M,,62.80M,,0.0267,0.00,,0.0267,0.0267,,0.0267,0.00,,0.0267,0.0267,,705.00M,705.00M,0.0026,,,
1988-12,59.30M,59.30M,,,,,,,,,,,,,,,,,,59.30M,,,,,,,,18.20M,,,,18.20M,18.20M,59.30M,,59.30M,,0.0267,0.00,,0.0267,0.0267,,0.0267,0.00,,0.0267,0.0267,,682.50M,682.50M,0.0026,,,
1988-09,52.90M,52.90M,,,,,,,,,,,,,,,,,,145.80M,,,,,,,,17.60M,,,,17.60M,17.60M,145.80M,,145.80M,,0.0233,0.00,,0.0233,0.0233,,0.0233,0.00,,0.0233,0.0233,,754.29M,754.29M,0.001,,,
1988-06,50.00M,50.00M,,,,,,,,,,,,,,,,,,50.00M,,,,,,,,16.40M,,,,16.40M,16.40M,50.00M,,50.00M,,0.0233,0.00,,0.0233,0.0233,,0.0233,0.00,,0.0233,0.0233,,702.86M,702.86M,0.0015,,,
1988-03,50.30M,50.30M,,,,,,,,,,,,,,,,,,50.30M,,,,,,,,16.30M,,,,16.30M,16.30M,50.30M,,50.30M,,0.0233,0.00,,0.0233,0.0233,,0.0233,0.00,,0.0233,0.0233,,698.57M,698.57M,0.001,,,
1987-12,49.20M,49.20M,,,,,,,,,,,,,,,,,,49.20M,,,,,,,,16.00M,,,,16.00M,16.00M,49.20M,,49.20M,,0.0233,0.00,,0.0233,0.0233,,0.0233,0.00,,0.0233,0.0233,,685.71M,685.71M,0.0015,,,
1987-09,51.30M,51.30M,,,,,,,,,,,,,,,,,,143.90M,,,,,,,,14.50M,,,,14.50M,14.50M,143.90M,,143.90M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,724.04M,724.04M,0.0015,,,
1987-06,52.60M,52.60M,,,,,,,,,,,,,,,,,,52.60M,,,,,,,,15.30M,,,,15.30M,15.30M,52.60M,,52.60M,,0.0233,0.00,,0.0233,0.0233,,0.0233,0.00,,0.0233,0.0233,,655.71M,655.71M,0.0012,,,
1987-03,53.50M,53.50M,,,,,,,,,,,,,,,,,,53.50M,,,,,,,,15.80M,,,,15.80M,15.80M,53.50M,,53.50M,,0.0233,0.00,,0.0233,0.0233,,0.0233,0.00,,0.0233,0.0233,,677.14M,677.14M,0.0010,,,
1986-12,49.30M,49.30M,,,,,,,,,,,,,,,,,,49.30M,,,,,,,,13.30M,,,,13.30M,13.30M,49.30M,,49.30M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,665.00M,665.00M,0.0010,,,
1986-09,35.80M,35.80M,,,,,,,,,,,,,,,,,,112.20M,,,,,,,,8.10M,,,,8.10M,8.10M,112.20M,,112.20M,,0.0167,0.00,,0.0167,0.0167,,0.0167,0.00,,0.0167,0.0167,,714.10M,714.10M,0.0012,,,
1986-06,35.80M,35.80M,,,,,,,,,,,,,,,,,,35.80M,,,,,,,,8.00M,,,,8.00M,8.00M,35.80M,,35.80M,,0.0133,0.00,,0.0133,0.0133,,0.0133,0.00,,0.0133,0.0133,,600.00M,600.00M,0.0012,,,
1986-03,35.80M,35.80M,,,,,,,,,,,,,,,,,,35.80M,,,,,,,,8.00M,,,,8.00M,8.00M,35.80M,,35.80M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,800.00M,800.00M,0.0002,,,
