,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2009-06,4.727B,4.727B,3.154B,1.573B,923.00M,,923.00M,,,,71.00M,6.00M,-65.00M,41.00M,964.00M,609.00M,6.00M,71.00M,-65.00M,44.00M,-65.00M,544.00M,158.00M,386.00M,,,-27.00M,403.00M,403.00M,805.00M,190.00M,615.00M,,0.97,0.00,,,0.97,0.97,,0.97,0.00,,,0.97,0.97,,415.60M,415.90M,0.60,,AOR,Restated
2009-03,4.493B,4.493B,3.039B,1.454B,749.00M,,749.00M,,,,73.00M,8.00M,-65.00M,77.00M,826.00M,628.00M,8.00M,73.00M,-65.00M,,-65.00M,563.00M,164.00M,431.00M,,,-24.00M,407.00M,407.00M,813.00M,177.00M,636.00M,,0.98,0.00,,,0.98,0.98,,0.98,0.00,,,0.98,0.98,,413.70M,415.90M,0.60,,AOR,Restated
2008-12,4.598B,4.598B,3.143B,1.455B,,,817.00M,,,,,,,15.00M,832.00M,623.00M,,,,,,558.00M,125.00M,460.00M,,0.00,-35.00M,419.00M,564.00M,771.00M,179.00M,592.00M,,1.03,0.00,0.00,,1.03,1.03,,1.02,0.00,-0.0001,,1.02,1.02,,408.60M,411.70M,0.58,,,
2008-09,4.998B,4.998B,3.535B,1.463B,848.00M,,848.00M,,,,76.00M,15.00M,-61.00M,5.00M,853.00M,610.00M,15.00M,76.00M,-61.00M,,-61.00M,549.00M,154.00M,395.00M,,0.00,-35.00M,413.00M,360.00M,821.00M,196.00M,625.00M,,0.99,0.00,0.00,0.1271,0.99,0.99,,0.99,0.00,0.00,0.1268,0.99,0.99,,417.00M,418.10M,0.58,,,Restated
2008-06,5.006B,5.006B,3.522B,1.484B,827.00M,,827.00M,,,,74.00M,8.00M,-66.00M,7.00M,834.00M,650.00M,8.00M,74.00M,-66.00M,,-66.00M,584.00M,174.00M,410.00M,,-8.00M,-34.00M,417.00M,376.00M,858.00M,200.00M,658.00M,,1.01,-0.02,0.00,0.1168,1.01,0.99,,1.01,-0.02,-0.0191,0.1164,1.01,0.99,,419.50M,421.00M,0.58,,,Restated
2008-03,4.813B,4.813B,3.357B,1.456B,799.00M,,799.00M,,,,74.00M,8.00M,-66.00M,-7.00M,792.00M,664.00M,8.00M,74.00M,-66.00M,,-66.00M,598.00M,165.00M,476.00M,,,-35.00M,441.00M,441.00M,872.00M,200.00M,672.00M,,1.05,0.00,,,1.05,1.05,,1.04,0.00,,,1.04,1.04,,421.70M,423.60M,0.58,,,Restated
2007-12,4.758B,4.758B,3.296B,1.462B,,,792.00M,,,13.50M,,,,1.20M,793.20M,668.90M,,,,56.60M,,609.70M,145.40M,456.00M,,,-51.40M,456.00M,445.72M,849.00M,180.10M,668.90M,,1.08,0.00,,,1.056,1.08,,1.06,0.00,,,1.036,1.06,,421.03M,429.42M,0.53,,,
2007-09,4.621B,4.621B,3.177B,1.444B,,,783.70M,,,16.40M,,,,-22.90M,760.80M,682.70M,,,,55.50M,,606.90M,167.50M,453.10M,,,-25.40M,453.10M,441.23M,896.20M,213.50M,682.70M,,1.05,0.00,,,1.022,1.05,,1.04,0.00,,,1.013,1.04,,431.52M,435.67M,0.53,,,
2007-06,4.502B,4.502B,3.056B,1.446B,,,797.60M,,,-47.20M,,,,-0.30M,797.30M,648.70M,,,,-4.40M,,556.70M,111.50M,461.80M,,,-26.20M,461.80M,499.55M,847.00M,198.30M,648.70M,,1.01,0.00,,,1.093,1.01,,1.00,0.00,,,1.082,1.00,,457.23M,461.80M,0.53,,,
2007-03,4.385B,4.385B,3.033B,1.352B,,,732.60M,,,-31.20M,,,,3.60M,736.20M,616.10M,,,,13.80M,,544.20M,112.10M,452.00M,,,-25.10M,452.00M,476.77M,830.70M,214.60M,616.10M,,0.99,0.00,,,1.044,0.99,,0.98,0.00,,,1.034,0.98,,456.57M,461.22M,0.53,,,
