,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-09,524.10M,524.10M,2.478B,,,2.478B,511.70M,413.00M,1.639B,273.00M,2.570B,,,470.80M,6.043B,,,,,,16.14B,-8.289B,7.849B,2.907B,,2.907B,,,1.903B,12.66B,18.70B,,1.743B,,,1.743B,1.685B,3.427B,,,1.871B,,1.871B,357.20M,5.656B,4.370B,4.370B,414.30M,414.30M,,401.40M,1.011B,1.854B,7.649B,13.30B,,,,,,4.995B,4.995B,,,Restated
2008-06,545.80M,545.80M,2.599B,,,2.599B,520.70M,397.80M,1.672B,279.60M,2.630B,,,536.40M,6.311B,,,,,,16.72B,-8.491B,8.228B,3.097B,,3.097B,,,1.989B,13.31B,19.63B,,1.752B,,,1.752B,1.764B,3.516B,,,1.348B,,1.348B,350.60M,5.214B,4.996B,4.996B,463.60M,463.60M,,427.00M,1.011B,1.910B,8.381B,13.60B,,,,,,5.603B,5.603B,,,Restated
2008-03,524.70M,524.70M,2.607B,,,2.607B,500.70M,377.50M,1.685B,273.10M,2.613B,,,509.00M,6.253B,,,,,,16.57B,-8.337B,8.230B,3.014B,,3.014B,,,1.416B,12.66B,18.91B,,1.737B,,,1.737B,1.602B,3.339B,,,1.282B,,1.282B,418.40M,5.040B,4.443B,4.443B,398.50M,398.50M,,459.60M,1.011B,1.992B,7.844B,12.88B,,,,,,5.568B,5.568B,,,Restated
2007-12,472.70M,472.70M,2.561B,,,2.561B,476.30M,357.30M,1.564B,261.00M,2.444B,,217.40M,402.10M,6.097B,0.00,221.60M,2.604B,12.87B,545.20M,16.24B,-8.149B,8.094B,2.942B,,2.942B,,,1.307B,12.34B,18.44B,,1.449B,,,1.449B,1.839B,3.288B,,,1.098B,,1.098B,542.70M,4.929B,4.394B,4.394B,369.70M,369.70M,,484.10M,1.005B,2.035B,7.803B,12.73B,,598.30M,8.748B,482.40M,3.814B,-791.20M,5.224B,,,
2007-09,539.60M,539.60M,2.517B,,,2.517B,434.20M,359.90M,1.546B,265.70M,2.386B,,,568.90M,6.012B,,,,,,16.07B,-8.098B,7.976B,3.029B,,3.029B,,,1.308B,12.31B,18.32B,,1.714B,,,1.714B,1.675B,3.389B,,,1.396B,,1.396B,283.60M,5.068B,4.379B,4.379B,215.90M,215.90M,,447.80M,821.50M,2.394B,7.811B,12.88B,,,,,,4.997B,4.997B,,,
2007-06,457.00M,457.00M,2.402B,,,2.402B,425.60M,315.90M,1.462B,256.60M,2.244B,,,552.80M,5.655B,,,,,,15.89B,-8.022B,7.870B,2.956B,,2.956B,,,1.366B,12.19B,17.85B,,1.711B,,,1.711B,1.563B,3.274B,,,1.335B,,1.335B,310.30M,4.919B,2.278B,2.278B,231.90M,231.90M,,428.50M,811.90M,2.482B,5.804B,10.72B,,,,,,6.695B,6.695B,,,
2007-03,342.00M,342.00M,2.297B,,,2.297B,411.00M,294.20M,1.341B,247.40M,2.086B,,,510.40M,5.235B,,,,,,15.56B,-7.826B,7.734B,2.900B,,2.900B,,,1.312B,11.95B,17.18B,,1.540B,,,1.540B,1.460B,3.00B,,,1.289B,,1.289B,324.20M,4.613B,2.277B,2.277B,287.20M,287.20M,,405.90M,802.60M,2.441B,5.808B,10.42B,,,,,,6.355B,6.355B,,,
2006-12,360.80M,360.80M,2.337B,,,2.337B,398.30M,298.60M,1.263B,242.60M,2.004B,,219.20M,348.50M,5.270B,0.00,241.50M,2.432B,12.13B,600.40M,15.40B,-7.720B,7.685B,2.860B,,2.860B,,,1.252B,11.80B,17.07B,,1.206B,,,1.206B,1.935B,3.140B,,,1.326B,,1.326B,549.20M,5.016B,2.276B,2.276B,391.10M,391.10M,,422.60M,793.40M,2.071B,5.531B,10.55B,,598.30M,7.896B,427.60M,1.392B,-1.432B,6.097B,,,
2006-09,399.20M,399.20M,2.193B,,,2.193B,358.60M,297.60M,1.204B,238.00M,1.888B,,,560.70M,5.041B,,,,,,15.04B,-7.564B,7.481B,2.732B,,2.732B,,,1.372B,11.58B,16.63B,,1.400B,,,1.400B,1.530B,2.931B,,,1.361B,,1.361B,592.00M,4.883B,2.272B,2.272B,407.90M,407.90M,,419.60M,784.20M,1.892B,5.356B,10.24B,,,,,,5.967B,5.967B,,,
2006-06,337.40M,337.40M,2.220B,,,2.220B,369.00M,276.00M,1.188B,238.20M,1.869B,,,558.40M,4.984B,,,,,,14.96B,-7.505B,7.456B,2.735B,,2.735B,,,1.360B,11.55B,16.53B,,1.334B,,,1.334B,1.451B,2.785B,,,1.130B,,1.130B,636.40M,4.552B,2.539B,2.539B,505.20M,505.20M,,404.80M,775.00M,1.874B,5.693B,10.24B,,,,,,5.885B,5.885B,,,
2006-03,389.20M,389.20M,2.148B,,,2.148B,342.10M,249.60M,1.183B,229.80M,1.810B,,,552.80M,4.900B,,,,,,14.70B,-7.304B,7.398B,2.704B,,2.704B,,,1.389B,11.49B,16.39B,,1.339B,,,1.339B,1.365B,2.704B,,,1.198B,,1.198B,742.20M,4.644B,2.570B,2.570B,536.00M,536.00M,,397.50M,766.10M,1.806B,5.678B,10.32B,,,,,,5.672B,5.672B,,,
2005-12,364.00M,364.00M,2.102B,,,2.102B,338.90M,236.70M,1.129B,232.30M,1.752B,,,565.10M,4.783B,0.00,257.40M,2.350B,11.62B,391.30M,14.62B,-7.122B,7.495B,2.686B,,2.686B,,,1.340B,11.52B,16.30B,,1.354B,,,1.354B,1.400B,2.754B,,,1.222B,,1.222B,666.50M,4.643B,2.595B,2.595B,572.90M,572.90M,,394.50M,757.40M,1.783B,5.708B,10.35B,,710.80M,12.58B,324.60M,6.376B,-1.682B,5.558B,,,
2005-09,313.40M,313.40M,1.980B,,,1.980B,347.70M,218.30M,1.119B,231.90M,1.726B,,,577.30M,4.597B,,,,,,14.60B,-7.068B,7.529B,,2.718B,2.718B,,,1.444B,11.69B,16.29B,,1.241B,,,1.241B,1.363B,2.604B,,,906.40M,,906.40M,633.80M,4.145B,2.625B,2.625B,709.50M,709.50M,,375.00M,748.50M,1.655B,5.738B,9.882B,,,,,,6.032B,6.032B,,,
2005-06,466.10M,466.10M,1.985B,,,1.985B,342.30M,215.60M,1.122B,232.90M,1.731B,,,663.00M,4.845B,,,,,,14.62B,-6.948B,7.672B,,2.710B,2.710B,,,1.378B,11.76B,16.61B,,1.232B,,,1.232B,1.306B,2.538B,,,1.127B,,1.127B,725.30M,4.389B,2.306B,2.306B,796.70M,796.70M,,363.10M,739.80M,1.624B,5.466B,9.856B,,,,,,6.386B,6.386B,,,
2005-03,833.50M,833.50M,1.944B,,,1.944B,328.10M,228.20M,1.070B,232.80M,1.682B,,,683.20M,5.143B,,,,,,14.76B,-6.924B,7.832B,,2.688B,2.688B,,,1.370B,11.89B,17.03B,,1.235B,,,1.235B,1.303B,2.538B,,,1.436B,,1.436B,668.90M,4.643B,2.279B,2.279B,853.20M,853.20M,,378.90M,731.30M,1.649B,5.512B,10.15B,,,,,,6.500B,6.500B,,,
2004-12,594.00M,594.00M,2.038B,,,2.038B,332.70M,225.90M,1.045B,235.40M,1.671B,,,658.70M,4.962B,0.00,279.60M,2.438B,11.77B,335.00M,14.82B,-6.833B,7.990B,,2.703B,2.703B,,,1.363B,12.06B,17.02B,,1.249B,,,1.249B,1.432B,2.680B,,,1.215B,,1.215B,642.20M,4.537B,2.298B,2.298B,840.30M,840.30M,,368.40M,722.90M,1.622B,5.483B,10.02B,,710.80M,11.87B,348.60M,5.048B,-1.248B,6.630B,,,
2004-09,315.50M,315.50M,1.958B,,,1.958B,364.10M,211.20M,1.030B,246.10M,1.675B,,,598.90M,4.548B,,,,,,15.44B,-7.309B,8.130B,,2.624B,2.624B,,,1.416B,12.17B,16.72B,,1.138B,,,1.138B,1.394B,2.532B,,,990.90M,,990.90M,542.70M,4.066B,2.364B,2.364B,987.00M,987.00M,,326.00M,714.50M,1.656B,5.720B,9.786B,,,,,,6.605B,6.605B,,,
2004-06,362.30M,362.30M,1.952B,,,1.952B,338.00M,205.20M,1.018B,241.10M,1.631B,,,615.20M,4.561B,,,,,,15.33B,-7.162B,8.172B,,2.581B,2.581B,,,1.410B,12.16B,16.72B,,1.145B,,,1.145B,1.382B,2.528B,,,502.50M,,502.50M,612.60M,3.643B,2.773B,2.773B,902.20M,902.20M,,315.60M,706.20M,1.622B,6.003B,9.646B,,,,,,6.763B,6.763B,,,
2004-03,329.00M,329.00M,1.962B,,,1.962B,337.70M,197.20M,968.90M,239.40M,1.581B,,,608.40M,4.481B,,,,,,15.45B,-7.101B,8.345B,,2.650B,2.650B,,,1.412B,12.41B,16.89B,,1.134B,,,1.134B,1.326B,2.460B,,,638.40M,,638.40M,608.70M,3.708B,2.812B,2.812B,883.80M,883.80M,,305.70M,574.40M,1.612B,5.882B,9.590B,,,,,,6.993B,6.993B,,,
2003-12,290.60M,290.60M,1.955B,,,1.955B,353.80M,186.80M,935.20M,238.10M,1.563B,,281.40M,347.60M,4.438B,0.00,276.50M,2.272B,12.06B,568.90M,15.18B,-6.916B,8.263B,,2.649B,2.649B,,,1.429B,12.34B,16.78B,,857.90M,,,857.90M,1.742B,2.600B,,,864.30M,,864.30M,454.60M,3.919B,2.734B,2.734B,880.60M,880.60M,,298.30M,567.90M,1.614B,5.797B,9.715B,,710.80M,11.06B,406.90M,3.818B,-1.592B,6.766B,,,
2003-09,305.00M,305.00M,1.795B,,,1.795B,332.90M,184.90M,959.10M,234.10M,1.550B,,,597.60M,4.248B,,,,,,14.75B,-6.641B,8.105B,,2.596B,2.596B,,,1.456B,12.16B,16.41B,,1.072B,,,1.072B,1.333B,2.404B,,,971.40M,,971.40M,532.90M,3.909B,2.822B,2.822B,942.70M,942.70M,,245.50M,562.60M,1.418B,5.746B,9.654B,,,10.79B,,,-4.283B,6.506B,,,
2003-06,376.80M,376.80M,1.876B,,,1.876B,326.90M,191.00M,995.50M,227.40M,1.560B,,,512.60M,4.325B,,,,,,14.40B,-6.494B,7.910B,,2.353B,2.353B,,,1.581B,11.84B,16.17B,,1.039B,,,1.039B,1.287B,2.326B,,,1.004B,,1.004B,668.40M,3.999B,2.808B,2.808B,862.30M,862.30M,,258.10M,559.70M,1.363B,5.593B,9.592B,,,,,,6.320B,6.320B,,,
2003-03,363.80M,363.80M,1.935B,,,1.935B,320.80M,169.00M,942.60M,226.50M,1.491B,,,458.10M,4.248B,,,,,,13.87B,-6.176B,7.694B,,2.290B,2.290B,,,1.494B,11.48B,15.73B,,1.052B,,,1.052B,1.226B,2.277B,,,1.102B,,1.102B,656.60M,4.036B,2.780B,2.780B,907.30M,907.30M,,241.10M,556.70M,1.308B,5.552B,9.588B,,,,,,5.897B,5.897B,,,
2002-12,494.50M,494.50M,2.006B,,,2.006B,323.20M,186.70M,866.90M,210.70M,1.430B,205.90M,191.30M,,4.328B,0.00,266.00M,2.043B,10.81B,442.60M,13.56B,-5.945B,7.619B,,2.255B,2.255B,,,1.438B,11.31B,15.64B,,844.50M,,,844.50M,1.730B,2.574B,,,1.087B,,1.087B,431.50M,4.092B,2.844B,2.844B,854.20M,854.20M,,255.50M,553.50M,1.39B,5.642B,9.734B,,710.80M,10.05B,419.00M,3.351B,-2.183B,5.650B,,,
2002-09,489.20M,489.20M,1.786B,,,1.786B,327.80M,174.10M,858.90M,211.70M,1.399B,,,347.20M,4.021B,,,,,,13.21B,-5.758B,7.455B,,2.226B,2.226B,,,1.714B,11.40B,15.42B,,998.60M,,,998.60M,1.237B,2.235B,,,933.80M,,933.80M,524.80M,3.694B,2.846B,2.846B,1.113B,1.113B,,238.80M,549.80M,962.20M,5.470B,9.164B,,,,,,6.014B,6.014B,,,
2002-06,380.40M,380.40M,1.807B,,,1.807B,344.40M,187.00M,891.70M,214.20M,1.473B,,,337.30M,3.997B,,,,,,13.20B,-5.707B,7.496B,,2.266B,2.266B,,,1.77B,11.53B,15.53B,,1.085B,,,1.085B,1.292B,2.377B,,,895.70M,,895.70M,641.10M,3.914B,2.816B,2.816B,1.078B,1.078B,,242.30M,546.00M,942.30M,5.383B,9.297B,,,,,,5.991B,5.991B,,,
2002-03,359.70M,359.70M,1.787B,,,1.787B,343.00M,186.80M,883.40M,207.60M,1.460B,,,306.20M,3.912B,,,,,,12.74B,-5.458B,7.281B,,1.943B,1.943B,,,1.860B,11.08B,15.00B,,1.033B,,,1.033B,1.168B,2.201B,,,776.30M,,776.30M,656.90M,3.634B,2.816B,2.816B,1.033B,1.033B,,310.70M,542.30M,922.40M,5.314B,8.948B,,,,,,5.737B,5.737B,,,
2001-12,405.20M,405.20M,1.672B,,,1.672B,366.10M,179.50M,898.40M,217.50M,1.494B,,,350.50M,3.922B,0.00,242.50M,1.922B,10.07B,477.40M,12.71B,-5.388B,7.326B,,1.950B,1.950B,,,1.809B,11.09B,15.01B,,1.104B,,,1.104B,1.225B,2.330B,,,1.236B,,1.236B,602.70M,4.168B,2.424B,2.424B,1.005B,1.005B,,309.40M,538.40M,916.00M,4.883B,9.051B,,710.80M,9.000B,415.60M,2.748B,-1.731B,5.647B,,,
2001-09,336.40M,336.40M,1.811B,,,1.811B,359.10M,172.30M,891.90M,224.70M,1.474B,,,355.00M,3.976B,,,,,,12.86B,-5.539B,7.319B,2.009B,,2.009B,,,1.814B,11.14B,15.12B,,1.040B,,,1.040B,1.169B,2.209B,1.245B,,1.245B,,1.245B,778.30M,4.232B,2.114B,2.114B,1.050B,1.050B,,347.60M,533.60M,904.50M,4.601B,8.834B,,,,,,5.936B,5.936B,,,
2001-06,320.90M,320.90M,1.695B,,,1.695B,364.80M,153.00M,853.20M,210.30M,1.386B,,,379.80M,3.782B,,,,,,12.21B,-5.243B,6.963B,1.995B,,1.995B,,,1.89B,10.85B,14.63B,,1.073B,,,1.073B,1.121B,2.194B,1.200B,,1.200B,,1.200B,617.40M,4.012B,2.028B,2.028B,1.013B,1.013B,,280.60M,527.20M,873.10M,4.441B,8.453B,,,,,,5.897B,5.897B,,,
2001-03,277.50M,277.50M,1.719B,,,1.719B,375.00M,142.90M,820.00M,222.00M,1.357B,,,368.30M,3.722B,,,,,,12.05B,-5.138B,6.912B,2.029B,,2.029B,,,1.812B,10.75B,14.47B,,1.053B,,,1.053B,1.096B,2.149B,1.106B,,1.106B,,1.106B,686.50M,3.941B,2.01B,2.01B,997.80M,997.80M,,276.40M,519.90M,866.30M,4.394B,8.335B,,,,,,5.863B,5.863B,,,
2000-12,206.50M,206.50M,,,,1.810B,,,,,1.390B,,,383.40M,3.790B,,,,,,12.01B,-5.096B,6.918B,,2.010B,2.010B,,,1.762B,10.69B,14.48B,,1.176B,,,1.176B,,1.176B,,,1.490B,,1.490B,1.908B,4.574B,2.001B,2.001B,987.50M,987.50M,,281.30M,,869.20M,3.857B,8.431B,,710.80M,7.982B,412.30M,1.974B,-1.364B,5.767B,,,
2000-09,223.10M,223.10M,,,,1.713B,,,,,1.392B,,,374.60M,3.703B,,,,,,11.67B,-5.061B,6.606B,,1.973B,1.973B,,,1.683B,10.26B,13.96B,,1.059B,,,1.059B,,1.059B,,,1.404B,,1.404B,1.866B,4.329B,2.027B,2.027B,927.30M,927.30M,,321.60M,,852.70M,3.807B,8.136B,,,,,,5.507B,5.507B,,,
2000-06,222.90M,222.90M,,,,1.698B,,,,,1.385B,,,391.30M,3.698B,,,,,,11.61B,-5.027B,6.586B,,2.040B,2.040B,,,1.581B,10.21B,13.91B,,1.099B,,,1.099B,,1.099B,,,1.114B,,1.114B,1.942B,4.155B,2.051B,2.051B,914.00M,914.00M,,310.00M,,856.10M,3.821B,7.976B,,,,,,5.620B,5.620B,,,
2000-03,212.90M,212.90M,,,,1.648B,,,,,1.337B,,,388.70M,3.586B,,,,,,11.47B,-5.012B,6.462B,,1.964B,1.964B,,,1.776B,10.20B,13.79B,,1.078B,,,1.078B,,1.078B,,,989.10M,,989.10M,1.999B,4.066B,1.95B,1.95B,864.10M,864.10M,,302.30M,,862.10M,3.676B,7.742B,,,7.094B,,,,5.743B,,,
1999-12,322.80M,322.80M,,,,1.601B,,,,,1.240B,,,398.50M,3.562B,,,,,,11.08B,-4.859B,6.222B,,1.246B,1.246B,,,1.786B,9.254B,12.82B,,1.026B,,,1.026B,,1.026B,,,782.40M,,782.40M,2.038B,3.846B,1.927B,1.927B,836.90M,836.90M,,244.60M,,868.50M,3.632B,7.478B,,710.80M,6.765B,166.40M,1.420B,-1.128B,5.093B,,,
1999-09,194.30M,194.30M,,,,1.555B,,,,,1.287B,,,382.50M,3.419B,,,,,,11.05B,-4.882B,6.165B,,1.317B,1.317B,,,2.104B,9.586B,13.01B,,920.90M,,,920.90M,,920.90M,,,895.90M,,895.90M,2.135B,3.952B,1.996B,1.996B,795.70M,795.70M,,224.60M,,907.40M,3.699B,7.650B,,,,,,5.130B,5.130B,,,
1999-06,174.50M,174.50M,,,,1.502B,,,,,1.258B,,,400.40M,3.334B,,,,,,10.78B,-4.587B,6.193B,,1.622B,1.622B,,,938.60M,8.754B,12.09B,,833.60M,,,833.60M,,833.60M,,,1.093B,,1.093B,2.054B,3.981B,2.111B,2.111B,794.10M,794.10M,,223.90M,,902.60M,3.808B,7.788B,,,6.408B,,,,4.076B,,,
1999-03,105.10M,105.10M,,,,1.451B,,,,,1.266B,,,411.50M,3.234B,,,,,,10.46B,-4.649B,5.815B,,1.420B,1.420B,,,936.70M,8.172B,11.41B,,907.40M,,,907.40M,,907.40M,,,880.60M,,880.60M,2.030B,3.818B,2.087B,2.087B,681.90M,681.90M,,215.00M,,894.60M,3.663B,7.482B,,,5.913B,,,,3.709B,,,
1998-12,144.00M,144.00M,,,,1.465B,,,,,1.284B,,,492.80M,3.386B,,,,,,10.56B,-4.562B,5.998B,,1.381B,1.381B,,,922.60M,8.302B,11.69B,,1.003B,,,1.003B,,1.003B,,,635.40M,,635.40M,2.126B,3.764B,2.068B,2.068B,721.60M,721.60M,,202.50M,,899.90M,3.690B,7.454B,,,5.509B,,,,4.032B,,,
1998-09,90.00M,90.00M,,,,1.518B,,,,,1.262B,,,408.90M,3.279B,,,,,,10.71B,-4.785B,5.924B,,1.368B,1.368B,,,932.30M,8.224B,11.50B,,892.40M,,,892.40M,,892.40M,,,658.30M,,658.30M,2.186B,3.736B,2.086B,2.086B,627.80M,627.80M,,188.90M,,888.00M,3.602B,7.339B,,,5.400B,,,,3.975B,,,
1998-06,78.90M,78.90M,,,,1.501B,,,,,1.270B,,,423.20M,3.273B,,,,,,10.15B,-4.453B,5.694B,,1.388B,1.388B,,,1.087B,8.169B,11.44B,,891.40M,,,891.40M,,891.40M,,,487.40M,,487.40M,1.992B,3.370B,2.089B,2.089B,634.50M,634.50M,,189.50M,,881.90M,3.606B,6.976B,,,5.365B,,,,4.276B,,,
1998-03,99.30M,99.30M,,,,1.564B,,,,,1.296B,,,453.50M,3.413B,,,,,,9.871B,-4.249B,5.622B,,1.376B,1.376B,,,878.90M,7.876B,11.29B,,918.20M,,,918.20M,,918.20M,,,568.20M,,568.20M,2.029B,3.516B,1.806B,1.806B,602.70M,602.70M,,175.60M,,890.30M,3.299B,6.814B,,,5.038B,,,,4.299B,,,
1997-12,90.80M,90.80M,,,,1.606B,,,,,1.320B,,,472.40M,3.489B,,,,,,9.756B,-4.156B,5.601B,,594.80M,594.80M,,,1.582B,7.777B,11.27B,,747.10M,,,747.10M,,747.10M,,,663.10M,,663.10M,2.296B,3.706B,1.804B,1.804B,580.80M,580.80M,,162.60M,,887.10M,3.272B,6.978B,,,4.872B,,,,4.125B,,,
1997-09,101.50M,101.50M,,,,1.650B,,,,,1.325B,,,311.80M,3.388B,,,,,,10.30B,-4.276B,6.022B,,1.023B,1.023B,,,871.40M,7.917B,11.31B,,921.40M,,,921.40M,,921.40M,,,698.80M,,698.80M,1.901B,3.521B,1.691B,1.691B,682.40M,682.40M,,214.80M,,925.90M,3.299B,6.821B,,,5.872B,,,,4.270B,,,
1997-06,90.00M,90.00M,,,,1.602B,,,,,1.320B,,,295.00M,3.307B,,,,,,10.27B,-4.290B,5.982B,,984.60M,984.60M,,,853.00M,7.819B,11.13B,,924.00M,,,924.00M,,924.00M,,,239.00M,,239.00M,1.954B,3.117B,1.668B,1.668B,622.90M,622.90M,,212.40M,,888.50M,3.180B,6.297B,,,5.239B,,,,4.618B,,,
1997-03,161.10M,161.10M,,,,1.661B,,,,,1.318B,,,398.00M,3.539B,,,,,,10.11B,-4.229B,5.882B,,965.60M,965.60M,,,1.038B,7.885B,11.42B,,977.80M,,,977.80M,,977.80M,,,334.10M,,334.10M,2.186B,3.498B,1.726B,1.726B,624.30M,624.30M,,265.10M,,889.00M,3.239B,6.736B,,,4.876B,,,,4.422B,,,
1996-12,83.20M,83.20M,,,,1.661B,,,,,1.348B,,,446.80M,3.539B,,,,,,11.93B,-5.114B,6.813B,,942.10M,942.10M,,,551.10M,8.306B,11.85B,,849.80M,,,849.80M,,849.80M,,,576.50M,,576.50M,2.261B,3.687B,1.739B,1.739B,762.30M,762.30M,,248.70M,,926.10M,3.427B,7.114B,,,4.507B,,,,4.483B,,,
1996-09,85.10M,85.10M,,,,1.610B,,,,,1.368B,,,413.70M,3.476B,,,,,,11.42B,-4.861B,6.562B,,780.40M,780.40M,,,544.30M,7.887B,11.36B,,936.20M,,,936.20M,,936.20M,,,456.80M,,456.80M,1.947B,3.340B,1.744B,1.744B,812.50M,812.50M,,245.70M,,907.50M,3.464B,6.805B,,,5.645B,,,,4.313B,,,
1996-06,95.90M,95.90M,,,,1.650B,,,,,1.364B,,,415.60M,3.526B,,,,,,11.18B,-5.115B,6.064B,,814.50M,814.50M,,,712.80M,7.591B,11.12B,,853.80M,,,853.80M,,853.80M,,,568.70M,,568.70M,1.892B,3.314B,1.884B,1.884B,781.50M,781.50M,,218.30M,,898.30M,3.564B,6.878B,,,4.588B,,,,4.020B,,,
1996-03,180.50M,180.50M,,,,1.618B,,,,,1.459B,,,458.50M,3.716B,,,,,,10.90B,-4.712B,6.192B,,793.80M,793.80M,,,787.00M,7.773B,11.49B,,958.40M,,,958.40M,,958.40M,,,712.10M,,712.10M,1.921B,3.592B,1.983B,1.983B,745.10M,745.10M,,242.80M,,968.70M,3.697B,7.288B,,,3.909B,,,,3.958B,,,
1995-12,221.60M,221.60M,,,,1.678B,,,,,1.426B,,,488.10M,3.814B,,,,,,10.92B,-4.867B,6.053B,,828.50M,828.50M,,,743.60M,7.625B,11.44B,,888.30M,,,888.30M,,888.30M,,,817.80M,,817.80M,2.164B,3.870B,1.985B,1.985B,723.10M,723.10M,,236.50M,,974.90M,3.683B,7.552B,,,3.594B,,,,3.650B,,,
1995-09,31.20M,31.20M,,,,1.059B,,,,,917.80M,,,141.00M,2.149B,,,,,,7.030B,-2.640B,4.390B,,,,,,725.80M,5.116B,7.265B,,574.50M,,,574.50M,,574.50M,,,674.90M,,674.90M,930.90M,2.180B,976.80M,976.80M,626.20M,626.20M,,149.70M,,459.60M,2.063B,4.243B,,,3.363B,,,,2.872B,,,
1995-06,31.50M,31.50M,,,,1.061B,,,,,918.60M,,,142.90M,2.154B,,,,,,7.074B,-2.624B,4.450B,,,,,,651.80M,5.102B,7.256B,,571.80M,,,571.80M,,571.80M,,,877.80M,,877.80M,867.40M,2.317B,965.90M,965.90M,637.90M,637.90M,,144.10M,,453.10M,2.057B,4.374B,,,2.883B,,,,2.738B,,,
1995-03,43.30M,43.30M,,,,957.80M,,,,,892.10M,,,142.70M,2.036B,,,,,,6.927B,-2.528B,4.400B,,,,,,644.60M,5.044B,7.08B,,547.40M,,,547.40M,,547.40M,,,839.30M,,839.30M,871.20M,2.258B,970.90M,970.90M,632.90M,632.90M,,142.30M,,445.30M,2.049B,4.307B,,,2.753B,,,,2.631B,,,
1994-12,23.80M,23.80M,,,,847.50M,,,,,804.20M,,,134.40M,1.810B,,,,,,6.604B,-2.405B,4.199B,,,,,,706.40M,4.906B,6.716B,,358.00M,,,358.00M,,358.00M,,,771.80M,,771.80M,929.00M,2.059B,929.50M,929.50M,612.80M,612.80M,,80.10M,,438.70M,1.981B,4.040B,,,2.753B,,,,2.596B,,,
1994-09,29.10M,29.10M,,,,806.10M,,,,,823.40M,,,135.10M,1.794B,,,,,,6.533B,-2.372B,4.161B,,,,,,818.20M,4.979B,6.773B,,465.20M,,,465.20M,,465.20M,,,728.50M,,728.50M,821.90M,2.016B,934.40M,934.40M,608.30M,608.30M,,70.60M,,440.50M,1.983B,3.999B,,,2.931B,,,,2.704B,,,
1994-06,27.10M,27.10M,,,,812.00M,,,,,807.00M,,,139.10M,1.785B,,,,,,6.482B,-2.410B,4.072B,,,,,,750.70M,4.823B,6.608B,,411.20M,,,411.20M,,411.20M,,,768.30M,,768.30M,787.90M,1.967B,933.00M,933.00M,596.70M,596.70M,,67.00M,,438.70M,1.968B,3.936B,,,2.649B,,,,2.605B,,,
1994-03,63.30M,63.30M,,,,778.00M,,,,,803.20M,,,132.10M,1.777B,,,,,,6.401B,-2.368B,4.033B,,,,,,766.00M,4.799B,6.576B,,430.80M,,,430.80M,,430.80M,,,732.10M,,732.10M,828.50M,1.991B,990.90M,990.90M,588.00M,588.00M,,69.80M,,432.10M,2.011B,4.002B,,,2.568B,,,,2.503B,,,
1993-12,34.80M,34.80M,,,,738.70M,,,,,775.90M,,,125.80M,1.675B,,,,,,6.373B,-2.33B,4.043B,,,,,,662.70M,4.706B,6.381B,,322.00M,,,322.00M,,322.00M,,,684.80M,,684.80M,901.70M,1.908B,933.10M,933.10M,585.00M,585.00M,,66.90M,,430.00M,1.948B,3.857B,,,2.501B,,,,2.457B,,,
1993-09,47.70M,47.70M,,,,739.00M,,,,,751.80M,,,116.30M,1.655B,,,,,,6.318B,-2.319B,3.999B,,,,,,661.70M,4.661B,6.316B,,408.60M,,,408.60M,,408.60M,,,596.10M,,596.10M,832.60M,1.837B,1.041B,1.041B,577.50M,577.50M,,59.80M,,415.80M,2.035B,3.872B,,,2.363B,,,,2.384B,,,
1993-06,53.50M,53.50M,,,,749.50M,,,,,808.00M,,,121.10M,1.732B,,,,,,6.216B,-2.28B,3.936B,,,,,,623.40M,4.559B,6.291B,,439.80M,,,439.80M,,439.80M,,,567.10M,,567.10M,841.70M,1.849B,1.037B,1.037B,571.50M,571.50M,,56.30M,,419.50M,2.028B,3.877B,,,2.321B,,,,2.358B,,,
