,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,34.02M,,,,15.57M,15.57M,2.12M,,,,,1.958M,-3.389M,-21.36M,,7.665M,,-8.325M,-0.563M,-25.97M,27.70M,2007-09,-4.364M,,-4.364M,,-12.40M,15.76M,,-1.001M,2007-09,,,-8.099M,4.155M,-4.28M,-0.125M,,-4.214M,,-0.135M,-12.57M,2007-09,30.30M,14.12M,2.407M,,2007-09,4.155M,,,-4.28M,,,2007-09,,
2007-06,18.77M,,,,16.04M,16.04M,-14.12M,,,,,4.457M,-28.20M,23.01M,,0.068M,,24.28M,10.46M,29.62M,54.76M,2007-06,-14.88M,0.00,-14.88M,,,7.316M,,-8.565M,2007-06,,,-52.00M,10.02M,-1.545M,8.47M,,-4.195M,,1.50M,-46.23M,2007-06,34.87M,-0.03M,-4.538M,,2007-06,10.02M,,,-1.545M,,,2007-06,,
2007-03,17.06M,,,,14.32M,14.32M,17.00M,,,,,9.064M,0.679M,18.70M,,-15.22M,,-5.002M,-0.059M,-0.907M,56.53M,2007-03,-69.89M,0.00,-69.89M,,,-23.73M,,-93.62M,2007-03,,,40.41M,1.647M,-5.372M,-3.725M,,-4.165M,,0.029M,32.54M,2007-03,39.64M,-4.546M,-0.216M,,2007-03,1.647M,,,-5.372M,,,2007-03,,
2006-12,21.09M,,,,14.18M,14.18M,-3.091M,,,,,3.284M,-17.84M,2.292M,,1.751M,,9.389M,-7.008M,-11.42M,24.04M,2006-12,-11.67M,2.613M,-9.058M,,,-4.815M,,-13.87M,2006-12,,,2.632M,1.478M,-4.309M,-2.831M,,-4.177M,,-0.675M,-5.051M,2006-12,33.03M,5.115M,1.493M,,2006-12,1.478M,,,-4.309M,,,2006-12,,
2006-09,16.88M,,,,13.50M,13.50M,-1.157M,,,,,2.434M,8.55M,-25.21M,,-5.785M,,-17.60M,1.983M,-38.06M,-6.404M,2006-09,-8.113M,,-8.113M,,,-1.266M,,-9.379M,2006-09,,,40.67M,2.222M,-11.24M,-9.016M,,-3.939M,,0.616M,28.33M,2006-09,19.02M,12.55M,1.462M,,2006-09,2.222M,,,-11.24M,,,2006-09,,
2006-06,12.26M,,,-7.274M,14.45M,14.45M,-3.097M,,,,,,-22.38M,-32.88M,,19.13M,,14.84M,3.581M,-17.71M,15.90M,2006-06,-17.76M,,-17.76M,,,-19.53M,,-40.29M,2006-06,,,18.17M,2.833M,-7.842M,-5.009M,,-3.953M,,-0.099M,9.109M,2006-06,29.17M,-15.28M,5.128M,,2006-06,2.833M,,,-7.842M,,,2006-06,,
2006-03,20.86M,,,2.533M,15.40M,15.40M,4.799M,,,,,,15.14M,-10.76M,,13.70M,,-12.14M,5.851M,11.80M,55.39M,2006-03,-6.56M,,-6.56M,,,3.551M,,-3.009M,2006-03,,,-33.99M,2.217M,-4.087M,-1.87M,,-3.958M,,-0.127M,-39.94M,2006-03,15.84M,12.44M,0.884M,,2006-03,2.217M,,,-4.087M,,,2006-03,,
2005-12,25.37M,,,2.338M,12.46M,12.46M,-6.434M,,,,,,-22.29M,8.18M,,6.203M,,-1.066M,12.76M,3.789M,37.52M,2005-12,-3.884M,,-3.884M,,,4.765M,,0.881M,2005-12,,,-33.37M,1.006M,-7.843M,-6.837M,,-3.961M,,-0.135M,-44.30M,2005-12,25.12M,-5.903M,-3.375M,,2005-12,1.006M,,,-7.843M,,,2005-12,,
2005-09,12.91M,,,2.403M,14.30M,14.30M,-1.072M,,,,,,-1.559M,3.776M,,-0.723M,,-6.349M,-5.961M,-10.82M,17.72M,2005-09,-8.228M,,-8.228M,,,1.934M,,-6.294M,2005-09,,,8.896M,2.00M,-8.558M,-6.558M,,-3.741M,,-0.50M,-1.903M,2005-09,16.71M,9.525M,-1.114M,,2005-09,2.00M,,,-8.558M,,,2005-09,,
2005-06,-6.963M,,,-403.43M,11.25M,11.25M,-3.974M,,,,,,-5.583M,30.33M,,0.372M,,14.08M,-10.91M,28.28M,23.25M,2005-06,-16.81M,,-16.81M,,5.561M,14.21M,-12.57M,-9.616M,2005-06,,,-27.20M,0.894M,-2.899M,-2.005M,,-3.74M,,-0.379M,-33.32M,2005-06,40.74M,-19.69M,-4.339M,,2005-06,0.894M,,,-2.899M,,,2005-06,,
2005-03,-379.44M,,,390.60M,8.047M,8.047M,-2.893M,,,,,,13.03M,2.063M,,-1.871M,,-2.05M,5.443M,16.62M,32.94M,2005-03,-8.012M,,-8.012M,,-381.57M,169.83M,-397.52M,-617.27M,2005-03,,,618.23M,0.976M,0.00,0.976M,,-2.861M,,-0.751M,615.59M,2005-03,8.437M,31.26M,1.042M,,2005-03,0.976M,,,0.00,,,2005-03,,
2004-12,15.84M,,,1.249M,8.422M,8.422M,-2.557M,,,,,,1.189M,14.82M,,0.226M,,5.229M,0.02M,21.48M,44.43M,2004-12,-5.17M,,-5.17M,,-5.562M,-12.92M,3.522M,-20.14M,2004-12,,,0.487M,2.06M,0.00,2.06M,,-2.847M,,0.703M,0.403M,2004-12,136.54M,24.70M,0.054M,,2004-12,2.06M,,,0.00,,,2004-12,,
2004-09,17.58M,,,1.578M,7.092M,7.092M,-0.41M,,,,,,-25.54M,-6.676M,,-5.463M,,-12.05M,0.918M,-48.82M,-22.98M,2004-09,-2.394M,,-2.394M,,,6.00M,-6.00M,-2.394M,2004-09,,,-0.092M,3.101M,-0.122M,2.979M,,-2.487M,,0.118M,0.518M,2004-09,161.25M,-24.85M,0.145M,,2004-09,3.101M,,,-0.122M,,,2004-09,,
2004-06,8.085M,,,-3.848M,7.182M,7.182M,3.331M,,,,,,15.22M,-19.72M,,-2.183M,,2.264M,-1.578M,-5.991M,14.32M,2004-06,-9.656M,,-9.656M,,0.00,-80.22M,10.00M,-79.88M,2004-06,,,-0.087M,4.897M,-0.826M,4.071M,,-2.472M,,-0.941M,0.571M,2004-06,156.42M,-64.99M,0.40M,,2004-06,4.897M,,,-0.826M,,,2004-06,,
2004-03,17.74M,,,1.239M,6.903M,6.903M,0.718M,,,,,,19.61M,-12.19M,,9.828M,,3.485M,-1.666M,19.07M,45.67M,2004-03,-5.103M,,-5.103M,,0.00,10.00M,-10.00M,-5.103M,2004-03,,,1.554M,5.521M,0.00,5.521M,,-2.462M,,0.458M,5.071M,2004-03,110.81M,45.64M,-0.027M,,2004-03,5.521M,,,0.00,,,2004-03,,
2003-12,38.24M,,,1.291M,7.336M,7.336M,-0.606M,,,,,,-18.41M,15.46M,,7.685M,,-0.421M,-0.23M,4.09M,50.35M,2003-12,-8.542M,,-8.542M,,-12.06M,-10.00M,9.00M,-21.60M,2003-12,,,0.866M,1.99M,-1.597M,0.393M,,-2.451M,,0.355M,-0.837M,2003-12,83.05M,27.91M,-0.143M,,2003-12,1.99M,,,-1.597M,,,2003-12,,
2003-09,16.51M,,,1.318M,7.031M,7.031M,-0.077M,,,,,,-12.35M,10.28M,,-4.439M,,-3.758M,-6.312M,-16.58M,8.195M,2003-09,-4.993M,,-4.993M,,,,-11.00M,-15.99M,2003-09,,,-1.631M,0.40M,-0.343M,0.057M,,-1.751M,,,-3.325M,2003-09,93.83M,-11.12M,0.342M,,2003-09,0.40M,,,-0.343M,,,2003-09,,
2003-06,4.324M,,,1.226M,6.349M,6.349M,-9.955M,,,,,,-1.582M,-3.944M,,-1.579M,,5.144M,-1.682M,-3.643M,-1.699M,2003-06,-12.84M,,-12.84M,,,,0.253M,-81.93M,2003-06,,,-0.136M,5.941M,0.00,5.941M,,-1.747M,,-0.749M,3.309M,2003-06,105.23M,-80.32M,-0.431M,,2003-06,5.941M,,,0.00,,,2003-06,,
2003-03,14.13M,,,1.331M,6.257M,6.257M,2.77M,,,,,,17.31M,-2.849M,,4.708M,,7.951M,-7.186M,19.93M,44.42M,2003-03,-7.436M,,-7.436M,,,,-1.233M,-8.669M,2003-03,,,-0.331M,0.294M,-1.015M,-0.721M,,-1.737M,,0.211M,-2.578M,2003-03,71.77M,33.18M,0.283M,,2003-03,0.294M,,,-1.015M,,,2003-03,,
2002-12,15.58M,,,2.667M,6.708M,6.708M,0.338M,,,,,,3.064M,10.25M,,-9.456M,-10.59M,8.106M,2.07M,3.445M,28.74M,2002-12,-7.072M,,-7.072M,,,,,-7.072M,2002-12,,,0.714M,0.916M,-0.642M,0.274M,,,,-0.117M,0.871M,2002-12,49.21M,22.54M,0.021M,,2002-12,0.916M,,,-0.642M,,,2002-12,,
2002-09,20.01M,,,,6.812M,6.812M,,,,,,,-23.22M,-8.111M,,3.998M,10.59M,-8.106M,6.798M,-18.05M,8.77M,2002-09,-4.95M,,-4.95M,,,,,-4.95M,2002-09,,,0.393M,0.143M,-32.02M,-31.88M,,,,0.059M,-31.43M,2002-09,76.82M,-27.61M,,,2002-09,0.143M,,,-32.02M,,,2002-09,,
2002-06,-0.071M,,,18.13M,7.645M,7.645M,1.619M,,,,,,19.40M,-10.27M,,13.30M,,0.571M,0.752M,23.76M,51.08M,2002-06,-10.14M,0.00,-10.14M,,,,0.028M,-10.11M,2002-06,,,1.048M,1.22M,0.00,1.22M,,,,-3.122M,-0.854M,2002-06,36.67M,40.11M,0.039M,,2002-06,1.22M,,,0.00,,,2002-06,,
2002-03,17.91M,,,3.562M,5.656M,5.656M,14.41M,,,,,,13.52M,16.35M,,-7.298M,,-4.89M,-4.369M,13.32M,54.86M,2002-03,-7.655M,0.00,-7.655M,,,,0.00,-7.655M,2002-03,,,-1.013M,0.196M,-10.47M,-10.27M,,,,-0.011M,-11.30M,2002-03,0.814M,35.90M,-0.045M,,2002-03,0.196M,,,-10.47M,,,2002-03,,
2001-12,13.86M,,,3.033M,5.504M,5.504M,-14.32M,,,,,,6.07M,9.439M,,-16.44M,1.115M,2.046M,8.282M,10.52M,18.60M,2001-12,-4.945M,14.16M,9.216M,,,,-0.426M,8.79M,2001-12,,,-22.14M,0.251M,-8.214M,-7.963M,,,,3.233M,-26.87M,2001-12,0.297M,0.517M,,,2001-12,0.251M,,,-8.214M,,,2001-12,,
2001-09,13.09M,,,,6.808M,6.808M,,,,,,,-24.70M,-10.01M,,0.477M,-1.115M,,-4.665M,-40.01M,-20.11M,2001-09,-4.786M,,-4.786M,,,,,-4.786M,2001-09,,,17.60M,9.785M,-13.24M,-3.455M,,,,0.031M,14.18M,2001-09,11.02M,-10.72M,,,2001-09,9.785M,,,-13.24M,,,2001-09,,
2001-06,2.959M,,,,4.967M,4.967M,-31.77M,,,,,-1.774M,-4.431M,-24.80M,,8.197M,,29.62M,,8.589M,-11.21M,2001-06,-9.431M,,-9.431M,,,,,-55.16M,2001-06,,,0.921M,7.069M,-0.029M,7.04M,,,,-0.796M,7.165M,2001-06,70.23M,-59.21M,,,2001-06,7.069M,,,-0.029M,,,2001-06,,
2001-03,10.10M,,,,6.289M,6.289M,21.87M,,,,,1.774M,9.37M,-10.04M,,2.268M,-19.02M,2.237M,,-15.19M,24.84M,2001-03,-7.257M,,-7.257M,,,,,-7.257M,2001-03,,,1.371M,0.128M,-0.558M,-0.43M,,,,0.059M,1.00M,2001-03,51.64M,18.58M,,,2001-03,0.128M,,,-0.558M,,,2001-03,,
2000-12,0.82M,,,,5.59M,5.59M,-22.21M,,,,,,12.60M,5.462M,,-1.769M,18.16M,3.917M,,38.37M,22.57M,2000-12,-4.306M,,-4.306M,,,,,-4.306M,2000-12,,,0.402M,0.007M,-0.502M,-0.495M,,,,0.058M,-0.035M,2000-12,33.41M,18.23M,,,2000-12,0.007M,,,-0.502M,,,2000-12,,
2000-09,10.53M,,,,6.176M,6.176M,22.21M,,,,,,-22.50M,,,8.879M,0.861M,6.484M,,-6.278M,32.64M,2000-09,-5.81M,,-5.81M,,,,,-5.81M,2000-09,,,-0.558M,0.027M,,0.027M,,,,0.059M,-0.472M,2000-09,7.055M,26.36M,,,2000-09,0.027M,,,,,,2000-09,,
2000-06,-8.066M,,,,5.258M,5.258M,12.78M,,,,,-5.156M,8.126M,12.21M,,16.33M,3.312M,-16.54M,,23.44M,31.74M,2000-06,-3.73M,0.00,-3.73M,,,,3.704M,-0.026M,2000-06,,,-25.49M,-0.029M,,-0.029M,,,,-0.026M,-25.54M,2000-06,0.883M,6.172M,,,2000-06,-0.029M,,,,,,2000-06,,
2000-03,6.364M,,,,5.987M,5.987M,14.36M,,,,,5.212M,27.28M,31.59M,,-11.60M,-10.67M,-5.947M,,30.65M,62.57M,2000-03,-3.034M,-0.014M,-3.048M,,,,0.10M,-2.948M,2000-03,,,-62.55M,0.034M,,0.034M,,,,0.078M,-62.44M,2000-03,3.70M,-2.812M,,,2000-03,0.034M,,,,,,2000-03,,
1999-12,11.00M,,,,5.60M,5.60M,,,,,,,5.20M,19.70M,,-14.80M,5.80M,-1.70M,,14.20M,30.80M,1999-12,-3.80M,0.00,-3.80M,,,,-0.10M,-3.90M,1999-12,,,-25.40M,0.00,,0.00,,,,1.00M,-24.40M,1999-12,1.30M,2.50M,,,1999-12,0.00,,,,,,1999-12,,
1999-09,10.00M,,,,5.40M,5.40M,,,,,,,-39.70M,7.00M,,5.00M,7.30M,-2.30M,,-22.70M,-7.30M,1999-09,-3.80M,31.20M,27.40M,,,,,27.40M,1999-09,,,-19.70M,0.10M,,0.10M,,,,-1.00M,-20.60M,1999-09,1.70M,-0.50M,,,1999-09,0.10M,,,,,,1999-09,,
1999-06,-3.00M,,,9.10M,4.60M,4.60M,-5.30M,,,,,0.30M,30.90M,8.00M,,-23.20M,-8.70M,7.00M,,14.00M,19.70M,1999-06,-4.20M,,-1.30M,,,,11.30M,10.00M,1999-06,,,-29.60M,0.00,0.00,0.00,,,,,-29.60M,1999-06,1.50M,0.10M,,,1999-06,0.00,,,0.00,,,1999-06,,
1999-03,9.80M,,,0.10M,4.90M,4.90M,1.90M,,,,,-0.30M,26.70M,6.20M,,-29.30M,-1.50M,-2.80M,,-0.70M,15.70M,1999-03,-5.90M,,-5.90M,,,,-1.50M,-7.40M,1999-03,,,-7.60M,0.00,0.00,0.00,,,,0.10M,-7.50M,1999-03,0.00,0.80M,,,1999-03,0.00,,,0.00,,,1999-03,,
1998-12,7.10M,,,-0.10M,6.00M,6.00M,3.90M,,,,,0.00,-64.00M,-5.40M,,24.20M,-5.90M,-1.40M,,-52.50M,-35.60M,1998-12,-6.90M,,-6.90M,,,,0.00,-6.90M,1998-12,,,40.50M,0.10M,0.00,0.10M,,,,-0.10M,40.50M,1998-12,0.00,-2.00M,,,1998-12,0.10M,,,0.00,,,1998-12,,
1998-09,-12.40M,,,14.20M,5.60M,5.60M,-3.90M,,,,,0.10M,-11.80M,-26.20M,,17.70M,5.40M,-3.90M,,-18.80M,-15.20M,1998-09,-15.30M,,-15.30M,,,,-5.10M,-20.40M,1998-09,,,51.70M,,-14.80M,-14.80M,,,,,36.90M,1998-09,1.50M,1.30M,,,1998-09,,,,-14.80M,,,1998-09,,
1998-06,-88.70M,,,,6.90M,6.90M,,,,,,1.70M,1.60M,-30.20M,,21.50M,,,,-11.90M,-4.50M,1998-06,-20.60M,,-20.60M,,,,-0.20M,-20.80M,1998-06,,,24.10M,0.10M,0.00,0.10M,,,,0.40M,24.60M,1998-06,0.00,-0.70M,,,1998-06,0.10M,,,0.00,,,1998-06,,
1998-03,9.40M,,,,7.70M,7.70M,,,,,,-5.00M,15.10M,-14.20M,,1.90M,,,,2.80M,14.90M,1998-03,-31.80M,,-31.80M,,,,13.80M,-18.00M,1998-03,,,3.30M,0.00,-0.30M,-0.30M,,,,,3.00M,1998-03,0.00,-0.10M,,,1998-03,0.00,,,-0.30M,,,1998-03,,
