,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-03,190.90M,190.90M,144.47M,46.43M,,,28.23M,5.202M,,0.538M,,,,-0.538M,32.90M,13.53M,,,,0.538M,,15.22M,5.116M,10.10M,,19.82M,6.289M,13.53M,,2001-03,0.1351,0.14,,2001-03,0.14,0.14,,2001-03,,,2001-03,,
2000-12,189.55M,189.55M,138.79M,50.76M,,,26.60M,3.47M,,-19.74M,,,,-0.457M,29.62M,21.15M,,,,-19.74M,,1.909M,1.089M,0.82M,,26.74M,5.59M,21.15M,,2000-12,0.1711,0.01,,2000-12,0.01,0.01,,2000-12,,,2000-12,,
2000-09,193.33M,193.33M,140.22M,53.12M,,,26.55M,3.958M,,,,,,,36.68M,16.43M,,,,,,16.61M,6.073M,10.53M,,22.61M,6.176M,16.43M,,2000-09,0.14,0.14,,2000-09,0.14,0.14,,2000-09,,,2000-09,,
2000-06,146.75M,146.75M,151.23M,-4.478M,,,20.40M,6.122M,,,,,,12.83M,22.37M,-26.85M,,,,,,-11.38M,-3.316M,-8.066M,,-21.59M,5.258M,-26.85M,,2000-06,-0.14,-0.14,,2000-06,-0.14,-0.14,,2000-06,,,2000-06,,
2000-03,184.53M,184.53M,142.28M,42.25M,,,23.48M,2.799M,,,,,,-5.987M,26.28M,15.97M,,,,,,9.977M,3.602M,6.375M,,21.96M,5.987M,15.97M,,2000-03,0.09,0.09,,2000-03,0.09,0.09,,2000-03,,,2000-03,,
1999-12,200.70M,200.70M,147.00M,53.70M,,,25.20M,3.90M,,,,,,,34.70M,19.00M,,,,,,17.00M,6.00M,11.00M,,24.60M,5.60M,19.00M,,1999-12,0.15,0.15,,1999-12,0.15,0.15,,1999-12,,,1999-12,,
1999-09,212.30M,212.30M,157.10M,55.20M,,,28.50M,3.50M,,,,,,,37.40M,17.80M,,,,,,15.30M,5.30M,10.00M,,23.20M,5.40M,17.80M,,1999-09,0.14,0.14,,1999-09,0.14,0.14,,1999-09,,,1999-09,,
1999-06,207.67M,207.67M,199.03M,8.636M,,,20.79M,3.867M,,1.392M,,,,,4.207M,4.429M,,,,1.392M,,-3.204M,-0.25M,-3.00M,,9.029M,4.60M,4.429M,,1999-06,-0.0571,-0.04,,1999-06,-0.04,-0.04,,1999-06,,,1999-06,,
1999-03,251.43M,251.43M,188.70M,62.73M,,,35.00M,3.50M,,-2.00M,,,,,43.40M,19.33M,,,,-2.00M,,14.30M,4.60M,9.70M,,24.23M,4.90M,19.33M,,1999-03,0.1482,0.13,,1999-03,0.13,0.13,,1999-03,,,1999-03,,
1998-12,226.10M,226.10M,165.80M,60.30M,,,36.90M,3.90M,,-0.70M,,,,,46.80M,13.50M,,,,-0.70M,,10.00M,2.90M,7.10M,,19.50M,6.00M,13.50M,,1998-12,0.107,0.10,,1998-12,0.10,0.10,,1998-12,,,1998-12,,
1998-09,212.30M,212.30M,171.40M,40.90M,,,44.80M,3.60M,,-1.00M,,,,,54.00M,-13.10M,,,,-1.00M,,-17.30M,-4.90M,-12.40M,,-7.50M,5.60M,-13.10M,,1998-09,-0.1602,-0.17,,1998-09,-0.17,-0.17,,1998-09,,,1998-09,,
1998-06,214.40M,214.40M,157.70M,56.70M,,,171.70M,6.60M,,,,,,,185.20M,-128.50M,,,,,,-124.90M,-36.20M,-88.70M,,-121.60M,6.90M,-128.50M,,1998-06,-1.14,-1.14,,1998-06,-1.14,-1.14,,1998-06,,,1998-06,,
