,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,46.84M,32.49M,79.32M,283.44M,5.596M,289.04M,85.12M,78.70M,150.77M,,314.60M,20.26M,,41.37M,2.746M,747.34M,,,,,,665.24M,-343.03M,322.21M,199.73M,187.47M,387.20M,,,49.18M,1.947B,,2007-09,170.64M,,170.64M,92.78M,263.42M,11.68M,,15.31M,26.99M,,26.99M,15.21M,15.21M,38.42M,344.05M,642.63M,,642.63M,101.42M,87.32M,831.38M,1.175B,,2007-09,521.12M,,,47.86M,771.23M,,2007-09,,
2007-06,30.30M,49.11M,79.42M,282.04M,,282.04M,81.90M,77.24M,135.97M,,295.11M,18.34M,,41.40M,2.746M,719.06M,0.00,27.68M,238.47M,397.94M,,664.10M,-333.02M,331.07M,196.22M,156.59M,352.80M,,,54.91M,1.925B,,2007-06,164.32M,,164.32M,125.01M,289.33M,11.78M,,15.38M,27.16M,,27.16M,17.12M,17.12M,46.23M,379.84M,650.76M,,650.76M,103.78M,36.31M,790.85M,1.171B,,2007-06,519.42M,54.37M,2.304M,56.68M,754.47M,,2007-06,,
2007-03,34.87M,58.22M,93.09M,246.58M,,246.58M,84.59M,75.50M,150.19M,,310.27M,23.83M,,39.12M,,712.90M,,,,,,641.34M,-320.67M,320.67M,189.45M,155.90M,345.35M,,,42.62M,1.891B,,2007-03,158.50M,,158.50M,104.84M,263.34M,3.763M,,14.91M,18.67M,,18.67M,13.89M,13.89M,43.59M,339.49M,709.34M,,709.34M,102.13M,34.35M,845.82M,1.185B,,2007-03,507.02M,,,34.43M,705.26M,,2007-03,,
2006-12,39.64M,34.03M,73.66M,246.60M,,246.60M,84.30M,81.29M,157.04M,,322.62M,24.52M,,50.36M,,717.76M,,,,,,629.32M,-309.00M,320.33M,188.27M,134.19M,322.46M,,,46.04M,1.854B,,2006-12,173.01M,,173.01M,113.08M,286.08M,18.33M,,,18.33M,,18.33M,6.193M,6.193M,41.05M,351.66M,668.78M,,668.78M,106.70M,34.65M,810.13M,1.162B,,2006-12,509.91M,,,31.46M,692.27M,,2006-12,,
2006-09,33.03M,27.92M,60.95M,230.24M,,230.24M,85.52M,77.22M,163.79M,,326.54M,21.07M,,52.22M,,691.01M,,,,,,617.81M,-298.26M,319.55M,183.20M,134.08M,317.28M,,,43.38M,1.816B,,2006-09,172.68M,,172.68M,103.75M,276.43M,5.74M,,,5.74M,,5.74M,9.837M,9.837M,41.46M,333.46M,678.27M,,678.27M,105.43M,36.92M,820.62M,1.154B,,2006-09,510.13M,,,17.46M,661.59M,,2006-09,,
2006-06,19.02M,26.73M,45.75M,240.13M,,240.13M,83.36M,70.97M,148.60M,,302.94M,16.30M,,52.06M,,657.18M,0.00,30.72M,228.71M,347.47M,,606.91M,-287.55M,319.36M,152.18M,132.43M,284.61M,,,43.14M,1.751B,,2006-06,179.74M,,179.74M,109.00M,288.74M,20.08M,,,20.08M,,20.08M,8.456M,8.456M,54.15M,371.43M,621.72M,,621.72M,81.92M,34.81M,738.45M,1.110B,,2006-06,516.10M,,,3.593M,640.74M,,2006-06,,
2006-03,29.17M,6.685M,35.85M,220.42M,,220.42M,68.19M,60.08M,145.40M,,273.67M,16.01M,,47.09M,,593.04M,,,,599.70M,,599.70M,-281.73M,317.97M,147.63M,138.04M,285.68M,,,32.72M,1.671B,,2006-03,163.49M,,163.49M,99.86M,263.35M,26.97M,,,26.97M,,26.97M,9.002M,9.002M,48.63M,347.95M,594.36M,,594.36M,68.92M,35.27M,698.56M,1.047B,,2006-03,,,,-7.377M,624.36M,,2006-03,,
2005-12,15.84M,10.72M,26.56M,235.67M,,235.67M,73.03M,56.99M,132.84M,,262.86M,21.84M,,52.14M,,599.06M,,,,,,594.80M,-282.20M,312.61M,,291.15M,291.15M,,,36.13M,1.684B,,2005-12,149.54M,,149.54M,118.21M,267.75M,20.98M,,,20.98M,,20.98M,13.73M,13.73M,42.02M,344.48M,634.96M,,634.96M,64.18M,34.81M,733.94M,1.078B,,2005-12,,,,-8.645M,605.66M,,2005-12,,
2005-09,25.12M,15.82M,40.94M,212.43M,,212.43M,75.64M,60.71M,133.35M,,269.70M,39.27M,,49.87M,,612.21M,,,,,,594.46M,-275.76M,318.71M,,288.68M,288.68M,,,26.83M,1.691B,,2005-09,142.36M,,142.36M,122.85M,265.21M,19.30M,,,19.30M,,19.30M,10.98M,10.98M,37.79M,333.28M,670.81M,,670.81M,56.59M,37.72M,765.12M,1.098B,,2005-09,,,,-4.402M,592.64M,,2005-09,,
2005-06,16.71M,17.76M,34.47M,210.31M,,210.31M,78.44M,58.59M,135.96M,,272.98M,35.06M,,55.99M,,608.81M,0.00,14.64M,231.40M,340.27M,,586.31M,-262.50M,323.80M,150.29M,147.97M,298.26M,,,26.96M,1.705B,,2005-06,142.79M,,142.79M,120.42M,263.21M,25.34M,,,25.34M,,25.34M,9.659M,9.659M,42.33M,340.54M,656.13M,,656.13M,74.38M,43.09M,773.60M,1.114B,,2005-06,527.75M,,,-1.687M,590.84M,,2005-06,,
2005-03,40.74M,33.20M,73.94M,203.85M,,203.85M,82.09M,71.62M,147.56M,,301.27M,28.69M,,47.38M,,655.12M,,,,,,576.05M,-253.32M,322.73M,,292.28M,292.28M,,,13.92M,1.731B,,2005-03,141.62M,,141.62M,121.00M,262.62M,22.33M,,20.00M,42.33M,,42.33M,9.01M,9.01M,48.16M,362.12M,666.71M,,666.71M,59.74M,33.64M,760.08M,1.122B,,2005-03,,,,1.387M,608.97M,,2005-03,,
2004-12,175.70M,3.533M,179.24M,110.93M,,110.93M,47.46M,58.57M,60.58M,,166.62M,11.27M,,32.24M,,500.29M,,,,,,468.72M,-248.14M,220.58M,,35.92M,35.92M,,,7.899M,786.42M,,2004-12,83.30M,,83.30M,54.40M,137.70M,9.758M,,,9.758M,,9.758M,3.079M,3.079M,23.75M,174.28M,,,,29.63M,7.499M,37.13M,211.41M,,2004-12,,,,3.314M,575.00M,,2004-12,,
2004-09,136.54M,5.27M,141.81M,112.62M,,112.62M,47.38M,59.41M,75.04M,,181.84M,11.02M,,29.31M,,476.60M,,,,,,463.24M,-240.14M,223.10M,,35.92M,35.92M,,,8.761M,762.13M,,2004-09,83.52M,,83.52M,52.17M,135.68M,9.465M,,,9.465M,,9.465M,4.044M,4.044M,20.86M,170.05M,,,,29.26M,6.898M,36.16M,206.21M,,2004-09,,,,1.742M,555.92M,,2004-09,,
2004-06,8.392M,163.31M,171.70M,86.04M,,86.04M,43.59M,58.78M,71.88M,,174.25M,11.36M,,29.88M,,473.23M,0.00,14.36M,196.03M,251.80M,,462.18M,-234.54M,227.64M,,35.92M,35.92M,,,8.137M,759.09M,,2004-06,88.86M,,88.86M,43.69M,132.55M,9.528M,,,9.528M,,9.528M,4.024M,4.024M,41.39M,187.49M,,,,29.61M,5.77M,35.38M,222.86M,,2004-06,,,,2.378M,536.23M,,2004-06,,
2004-03,156.42M,,156.42M,102.30M,,102.30M,39.15M,51.38M,64.32M,,154.85M,19.85M,,30.04M,,463.45M,,,,,,468.06M,-241.72M,226.33M,,35.92M,35.92M,,,8.062M,746.65M,,2004-03,89.29M,,89.29M,49.31M,138.60M,9.746M,,,9.746M,,9.746M,4.095M,4.095M,35.53M,187.97M,,,,26.32M,5.49M,31.80M,219.77M,,2004-03,,,,3.17M,526.87M,,2004-03,,
2003-12,110.81M,,110.81M,123.83M,,123.83M,38.79M,48.54M,55.30M,,142.63M,9.358M,,30.46M,,417.08M,,,,,,459.40M,-233.71M,225.69M,,35.92M,35.92M,,,6.976M,707.24M,,2003-12,81.49M,,81.49M,53.01M,134.50M,8.109M,,,8.109M,,8.109M,2.975M,2.975M,28.34M,173.92M,,,,26.06M,5.128M,31.19M,205.10M,,2003-12,,,,0.932M,502.14M,,2003-12,,
2003-09,83.05M,,83.05M,99.20M,,99.20M,37.98M,53.61M,58.28M,,149.87M,10.84M,,30.36M,,373.32M,,,,,,431.78M,-216.39M,215.39M,,35.92M,35.92M,,,6.677M,650.44M,,2003-09,67.62M,,67.62M,41.28M,108.89M,7.191M,,,7.191M,,7.191M,2.965M,2.965M,37.62M,156.67M,,,,25.54M,4.727M,30.26M,186.93M,,2003-09,,,,0.131M,463.51M,,2003-09,,
2003-06,93.83M,,93.83M,87.02M,,87.02M,42.15M,58.63M,59.55M,,160.33M,5.383M,,32.64M,,379.20M,0.00,13.96M,188.51M,226.64M,,429.12M,-210.34M,218.78M,,35.92M,35.92M,,,3.968M,643.97M,,2003-06,72.19M,,72.19M,36.59M,108.78M,8.98M,,,8.98M,,8.98M,,,48.79M,166.54M,,,,25.48M,3.52M,29.00M,195.55M,,2003-06,,,,1.171M,448.42M,,2003-06,,
2003-03,105.23M,,105.23M,84.97M,,84.97M,39.36M,58.56M,58.12M,,156.04M,6.064M,,23.60M,,375.92M,,,,,,417.67M,-206.91M,210.77M,,35.92M,35.92M,,,,628.73M,,2003-03,73.49M,,73.49M,36.47M,109.96M,8.741M,,,8.741M,,8.741M,,,43.35M,162.05M,,,,25.15M,3.193M,28.34M,190.39M,,2003-03,,,,0.086M,438.34M,,2003-03,,
2002-12,71.77M,,71.77M,102.72M,,102.72M,37.31M,58.80M,57.37M,,153.48M,6.907M,,21.66M,,356.54M,,,,,,411.86M,-201.76M,210.10M,,35.92M,35.92M,,,,607.23M,,2002-12,68.97M,,68.97M,41.93M,110.90M,9.469M,,,9.469M,,9.469M,,,37.76M,158.13M,,,,20.43M,3.212M,23.64M,181.77M,,2002-12,,,,0.476M,425.47M,,2002-12,,
2002-09,49.21M,,49.21M,105.78M,,105.78M,37.31M,59.63M,66.76M,,163.70M,8.635M,,19.86M,,347.19M,,,,,,405.26M,-195.49M,209.77M,,35.92M,35.92M,,,,597.18M,,2002-09,78.43M,,78.43M,39.74M,118.17M,8.729M,,,8.729M,,8.729M,,,41.10M,168.00M,,,,21.14M,3.079M,24.22M,192.22M,,2002-09,,,,0.453M,404.96M,,2002-09,,
2002-06,76.82M,,76.82M,82.56M,,82.56M,35.38M,57.87M,62.36M,,155.61M,6.896M,,23.48M,,345.38M,0.00,13.70M,182.96M,202.80M,,399.46M,-188.42M,211.04M,,35.92M,35.92M,,,3.964M,601.38M,,2002-06,74.45M,,74.45M,32.72M,107.17M,8.338M,,,8.338M,,8.338M,,,43.05M,158.56M,,,,22.26M,2.396M,24.66M,183.21M,,2002-06,,,,-0.235M,418.16M,,2002-06,,
2002-03,36.67M,,36.67M,98.76M,,98.76M,34.47M,53.86M,57.04M,,145.38M,8.936M,,19.36M,,309.11M,,,,,,396.40M,-184.94M,211.46M,47.47M,,47.47M,,,,573.19M,,2002-03,61.11M,,61.11M,31.81M,92.92M,7.321M,,,7.321M,,7.321M,,,37.87M,138.11M,,,,18.05M,2.685M,20.73M,158.84M,,2002-03,,,,-0.137M,414.35M,,2002-03,,
2001-12,0.814M,,0.814M,112.21M,,112.21M,38.28M,58.56M,64.83M,,161.68M,10.61M,,23.46M,,308.78M,,,,,,388.10M,-178.59M,209.51M,,47.47M,47.47M,,,,569.02M,,2001-12,68.43M,,68.43M,33.85M,102.28M,6.631M,,,6.631M,,6.631M,,,33.21M,142.12M,1.60M,,1.60M,17.52M,2.426M,21.55M,163.67M,,2001-12,,,,-0.483M,405.35M,,2001-12,,
2001-09,0.297M,,0.297M,120.52M,,120.52M,37.87M,57.01M,76.24M,,171.12M,11.54M,,19.20M,16.21M,338.89M,,,,,,382.06M,-171.99M,210.06M,,47.04M,47.04M,,,,599.82M,,2001-09,84.86M,,84.86M,31.14M,116.00M,8.979M,,,8.979M,,8.979M,,,38.03M,163.01M,21.38M,,21.38M,17.78M,2.353M,41.52M,204.53M,,2001-09,,,,-0.26M,395.29M,,2001-09,,
2001-06,11.02M,,11.02M,96.83M,,96.83M,34.54M,52.57M,74.00M,,161.11M,8.771M,,19.20M,16.21M,313.14M,0.00,12.79M,164.90M,199.57M,,377.27M,-165.18M,212.09M,47.20M,,47.20M,,,,575.91M,,2001-06,84.38M,,84.38M,27.92M,112.30M,12.76M,,,12.76M,,12.76M,,,46.70M,171.76M,,,,17.42M,0.859M,18.28M,190.04M,,2001-06,,,,-0.037M,385.88M,,2001-06,,
2001-03,70.23M,,70.23M,87.41M,,87.41M,29.62M,47.93M,53.97M,,131.52M,5.966M,,11.46M,18.38M,324.96M,0.00,354.64M,,,,354.64M,-160.85M,193.79M,17.35M,,17.35M,,,,541.52M,,2001-03,72.55M,,72.55M,51.73M,124.28M,10.10M,,,10.10M,,10.10M,15.06M,15.06M,,149.44M,,,,18.97M,,18.97M,168.41M,,2001-03,,,,-0.397M,372.22M,,2001-03,,
2000-12,51.64M,,51.64M,,,96.78M,,,,,121.47M,,,,35.52M,305.42M,,,,,,349.15M,-156.60M,192.55M,,17.63M,17.63M,,,,521.02M,,2000-12,70.28M,,70.28M,,70.28M,,,,8.728M,,8.728M,,,59.29M,138.30M,,,,18.97M,,18.97M,157.27M,,2000-12,,,,-0.125M,362.82M,,2000-12,,
2000-09,33.41M,,33.41M,,,109.43M,,,,,126.07M,,,,35.73M,304.64M,,,,,,343.96M,-150.44M,193.52M,,17.92M,17.92M,,,,521.50M,,2000-09,72.05M,,72.05M,,72.05M,,,,8.326M,,8.326M,,,58.63M,139.01M,,,,18.97M,,18.97M,157.98M,,2000-09,,,,-0.017M,362.60M,,2000-09,,
2000-06,7.055M,,7.055M,88.22M,,88.22M,,,,,126.94M,,,,46.44M,268.64M,,,,,,338.45M,-144.87M,193.58M,,18.20M,18.20M,,,,486.06M,,2000-06,63.17M,,63.17M,,63.17M,,,,8.884M,,8.884M,,,41.86M,113.92M,,,,19.46M,,19.46M,133.38M,,2000-06,,,,-0.294M,351.76M,,2000-06,,
2000-03,0.883M,,0.883M,,,96.14M,,,,,139.15M,,,,47.78M,283.95M,,,,,,335.64M,-141.40M,194.24M,,18.48M,18.48M,,,,506.88M,,2000-03,46.84M,,46.84M,,46.84M,,,,7.47M,,7.47M,,,46.37M,100.68M,26.90M,,26.90M,18.60M,,45.50M,146.18M,,2000-03,,,,0.318M,359.85M,,2000-03,,
1999-12,3.70M,,3.70M,,,123.50M,,,,,170.70M,,,,53.50M,351.40M,,,,,,333.20M,-136.30M,196.90M,,18.80M,18.80M,,,,581.70M,,1999-12,58.40M,,58.40M,,58.40M,,,,6.90M,,6.90M,,,57.40M,122.70M,90.00M,,90.00M,14.30M,-0.10M,104.20M,226.90M,,1999-12,,,,0.90M,354.10M,,1999-12,,
1999-09,1.30M,,1.30M,,,128.80M,,,,,190.50M,,,,56.40M,377.00M,,,,,,330.00M,-131.70M,198.30M,,19.10M,19.10M,,,,609.50M,,1999-09,73.20M,,73.20M,,73.20M,,,,7.00M,,7.00M,,,55.40M,135.60M,115.40M,,115.40M,15.20M,-0.10M,130.50M,266.10M,,1999-09,,,,0.60M,342.70M,,1999-09,,
1999-06,1.70M,89.10M,90.80M,,,197.40M,,,,,,,,,94.40M,382.60M,,,,,,325.50M,-125.80M,199.70M,,19.30M,19.30M,,,,615.90M,,1999-06,68.20M,,68.20M,,68.20M,,,,7.00M,,7.00M,,,58.00M,133.20M,135.00M,,135.00M,14.70M,,149.70M,282.90M,,1999-06,,,,0.30M,332.40M,,1999-06,,
1999-03,1.50M,,1.50M,,,120.40M,,,,,205.40M,,,,119.40M,446.70M,,,,,,331.10M,-128.00M,203.10M,,20.00M,20.00M,,,,684.60M,,1999-03,91.40M,,91.40M,,91.40M,,,,6.90M,,6.90M,,,60.20M,158.50M,164.70M,,164.70M,28.10M,,192.80M,351.30M,,1999-03,,,,,332.80M,,1999-03,,
1998-12,0.90M,,0.90M,,,147.10M,,,,,211.60M,,,,121.20M,480.80M,,,,,,325.20M,-123.50M,201.70M,,20.20M,20.20M,,,,710.40M,,1998-12,120.70M,,120.70M,,120.70M,,,,5.50M,,5.50M,,,55.80M,182.00M,173.70M,,173.70M,29.10M,0.10M,202.90M,384.90M,,1998-12,,,,,325.10M,,1998-12,,
1998-09,2.80M,,2.80M,,,83.10M,,,,,206.30M,,,,113.10M,405.30M,,,,,,318.30M,-117.70M,200.60M,,20.60M,20.60M,,,,634.10M,,1998-09,96.50M,,96.50M,,96.50M,,,,4.70M,,4.70M,,,51.40M,152.60M,134.00M,,134.00M,29.20M,,163.20M,315.80M,,1998-09,,,,,317.90M,,1998-09,,
1998-06,1.50M,,1.50M,,,74.60M,,,,,181.50M,,,,114.90M,372.50M,,,,,,303.00M,-112.40M,190.60M,,20.70M,20.70M,,,,595.90M,,1998-06,78.80M,,78.80M,,78.80M,,,,5.40M,,5.40M,,,57.30M,141.50M,81.60M,,81.60M,27.30M,,108.90M,250.40M,,1998-06,,,,,345.10M,,1998-06,,
