,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2002-03,335.00M,4.042B,4.377B,3.995B,,3.995B,8.372B,973.00M,1.26B,,1.26B,5.628B,76.58B,,88.58B,112.26B,,,,,142.00M,142.00M,142.00M,142.00M,3.968B,3.968B,61.00M,61.00M,60.70B,7.974B,,200.00M,72.90B,95.04B,9.00M,19.32B,2.595B,5.981B,,,,,,1.477B,17.22B
2001-12,,,,,,,,,,,,,,,,109.18B,,,,,227.00M,227.00M,227.00M,227.00M,3.694B,3.694B,,,,,,,3.694B,91.98B,,,,,,,,,,,17.20B
2001-09,219.00M,3.213B,3.432B,4.087B,,4.087B,7.519B,969.00M,1.296B,,1.296B,5.477B,73.50B,,86.63B,108.61B,,,,,359.00M,359.00M,359.00M,359.00M,3.123B,3.123B,299.00M,299.00M,58.52B,8.033B,,750.00M,70.73B,91.31B,9.00M,18.92B,2.599B,5.893B,,,,,,1.868B,17.29B
2001-06,204.00M,3.063B,3.267B,3.971B,,3.971B,7.238B,989.00M,1.314B,,1.314B,5.107B,72.00B,,84.61B,108.26B,,,,,254.00M,254.00M,254.00M,254.00M,3.122B,3.122B,278.00M,278.00M,57.00B,7.804B,,750.00M,68.96B,90.70B,9.00M,18.83B,2.599B,5.514B,,,,,,1.865B,17.57B
2001-03,144.00M,3.852B,3.996B,3.863B,,3.863B,7.859B,999.00M,1.231B,,1.231B,4.782B,72.52B,,83.44B,106.45B,,,,,321.00M,321.00M,321.00M,321.00M,3.112B,3.112B,270.00M,270.00M,55.57B,7.573B,,750.00M,67.27B,88.91B,9.00M,18.80B,2.604B,5.478B,,,,,,1.838B,17.54B
2000-12,222.00M,1.831B,2.053B,3.802B,,3.802B,5.855B,1.00B,1.247B,,1.247B,4.599B,68.68B,,95.53B,104.81B,,,,,219.00M,219.00M,219.00M,219.00M,3.112B,3.112B,348.00M,348.00M,54.20B,7.607B,,750.00M,66.01B,87.36B,9.00M,18.43B,2.604B,5.314B,,,,,,1.926B,17.45B
2000-09,231.00M,4.459B,4.69B,3.942B,,3.942B,8.632B,989.00M,,,,4.474B,70.07B,3.00M,80.16B,105.70B,,,,,216.00M,216.00M,216.00M,216.00M,3.099B,3.099B,,,53.75B,7.809B,,750.00M,65.40B,88.91B,9.00M,18.01B,2.624B,5.066B,,,,,,1.403B,16.79B
2000-06,238.00M,3.875B,4.113B,3.962B,,3.962B,8.075B,989.00M,,,,4.359B,68.30B,88.00M,79.08B,103.41B,,,,,213.00M,213.00M,213.00M,213.00M,3.098B,3.098B,,,52.60B,7.639B,,964.00M,64.30B,87.28B,9.00M,17.49B,2.646B,5.083B,,,,,,1.247B,16.12B
2000-03,290.00M,3.226B,3.516B,3.945B,,3.945B,7.461B,956.00M,,,,4.248B,65.85B,80.00M,75.95B,100.21B,,,,,249.00M,249.00M,249.00M,249.00M,2.186B,2.186B,,,51.77B,7.545B,964.00M,964.00M,62.46B,82.83B,9.00M,17.16B,2.654B,4.692B,,,,,,1.501B,16.42B
1999-12,254.00M,2.422B,2.676B,3.927B,,3.927B,6.603B,916.00M,1.245B,,1.245B,4.068B,64.45B,211.00M,74.94B,98.12B,,,,,665.00M,665.00M,665.00M,665.00M,2.186B,2.186B,,,50.61B,7.671B,,964.00M,61.43B,81.52B,9.00M,16.73B,2.664B,3.929B,,,,-24.00M,1.369B,1.345B,16.60B
1999-09,,,,,,,,822.00M,,,,3.837B,,,74.17B,90.32B,,,,,600.00M,600.00M,600.00M,600.00M,1.356B,1.356B,,,803.00M,6.737B,,,8.896B,73.71B,9.00M,16.42B,3.098B,4.679B,,,,,,,16.62B
1999-06,,,,,,,,834.00M,,,,3.743B,,,72.84B,89.41B,,,,,219.00M,219.00M,219.00M,219.00M,1.355B,1.355B,,,17.50B,6.535B,750.00M,,25.39B,71.45B,9.00M,16.05B,3.101B,3.575B,,,,,,,17.22B
1999-03,,,,,,,,818.00M,,,,3.602B,,,74.89B,89.42B,,,,,327.00M,327.00M,327.00M,327.00M,1.353B,1.353B,,,25.07B,6.404B,750.00M,,32.83B,71.26B,9.00M,15.40B,3.099B,3.285B,,,,,,,17.41B
1998-12,258.00M,2.477B,2.735B,3.082B,,3.082B,5.817B,803.00M,,,,3.458B,62.46B,0.00,80.50B,87.69B,,,,,393.00M,393.00M,393.00M,393.00M,1.353B,1.353B,461.00M,461.00M,45.62B,6.425B,,750.00M,54.60B,70.45B,9.00M,14.49B,3.102B,3.065B,,,,,,2.956B,17.24B
1998-09,,,,,,,,775.00M,,,,5.768B,,,72.90B,85.40B,,,,,224.00M,224.00M,224.00M,224.00M,1.341B,1.341B,,,25.64B,6.505B,,,33.48B,68.05B,9.00M,13.84B,3.108B,2.905B,,,,,,,17.35B
1998-06,,,,,,,,762.00M,,,,3.164B,,,72.26B,85.12B,,,,,250.00M,250.00M,250.00M,250.00M,1.341B,1.341B,,,25.43B,6.333B,,,33.10B,67.90B,9.00M,13.24B,3.104B,2.493B,,,,,,,17.22B
1998-03,,,,,,,,754.00M,,,,5.067B,,,72.44B,84.54B,,,,,251.00M,251.00M,251.00M,251.00M,1.497B,1.497B,,,24.52B,6.223B,,,32.24B,67.60B,5.00M,12.47B,3.106B,2.063B,,,,,,,16.94B
