,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-12,2.519B,,2.519B,16.22B,,16.22B,18.74B,777.00M,1.62B,,1.62B,5.123B,,,61.49B,81.06B,,,,,,6.359B,,,0.00,0.00,0.00,6.359B,1.438B,1.438B,,,32.52B,,,,33.95B,75.86B,,40.00M,3.679B,2.36B,540.00M,,,,,-336.00M,5.203B,,AOR,Restated
2004-09,2.925B,17.26B,20.18B,2.701B,19.65B,22.35B,42.53B,816.00M,1.62B,,1.62B,5.216B,17.26B,,26.70B,88.82B,,,,,,6.565B,,,,,,6.565B,1.438B,1.438B,,,40.12B,385.00M,,,41.94B,84.22B,,69.00M,10.64B,3.329B,9.058B,,,-13.00M,-366.00M,-379.00M,4.602B,,AOR,Restated
2004-06,3.033B,17.23B,20.27B,2.672B,21.76B,24.43B,44.70B,868.00M,1.62B,,1.62B,5.292B,17.23B,,27.14B,92.01B,,,,,,7.46B,,,,,,7.46B,1.438B,1.438B,,,42.14B,357.00M,,,43.93B,87.74B,,69.00M,10.32B,3.331B,8.856B,,,-16.00M,-581.00M,-597.00M,4.272B,,AOR,Restated
2004-03,1.491B,29.00B,30.49B,2.71B,6.289B,8.999B,39.48B,936.00M,1.62B,,1.62B,10.12B,29.00B,,43.99B,92.79B,,,,,,6.181B,,,,,,6.181B,1.513B,1.513B,,,43.18B,327.00M,,,45.02B,88.16B,,69.00M,9.813B,3.322B,8.577B,,,-5.00M,6.00M,1.00M,4.628B,,AOR,Restated
2003-12,1.392B,,1.392B,8.579B,,8.579B,9.971B,973.00M,1.62B,,1.62B,10.23B,,,79.18B,90.20B,,,,,,6.284B,,,,,,6.284B,1.50B,1.50B,,,42.39B,263.00M,,,44.16B,85.59B,,69.00M,9.502B,3.647B,8.557B,,,,,-54.00M,4.607B,,AOR,Restated
2003-09,1.961B,29.96B,31.92B,2.888B,6.434B,9.322B,41.24B,985.00M,1.62B,,1.62B,10.30B,29.96B,,44.75B,90.17B,,,,,,6.43B,,,0.00,0.00,0.00,6.43B,1.50B,1.50B,,,44.88B,280.00M,,,46.66B,85.94B,,69.00M,9.538B,3.263B,8.558B,,,-16.00M,-61.00M,-77.00M,4.235B,,AOR,Restated
2003-06,1.775B,30.24B,32.01B,3.006B,6.567B,9.573B,41.58B,1.013B,1.62B,,1.62B,10.99B,30.24B,,45.50B,91.34B,,,,,,6.298B,,,0.00,0.00,0.00,6.298B,1.50B,1.50B,,,45.82B,261.00M,,,47.58B,87.13B,,68.00M,9.39B,3.246B,8.543B,,,-12.00M,62.00M,50.00M,4.211B,,AOR,Restated
2003-03,2.061B,29.30B,31.36B,3.053B,6.682B,9.735B,41.09B,1.039B,1.62B,,1.62B,10.91B,29.30B,,44.58B,88.98B,,,,,,6.241B,,,10.00M,10.00M,10.00M,6.251B,1.50B,1.50B,,,45.50B,266.00M,,,47.26B,84.85B,,68.00M,9.489B,3.241B,8.538B,,,-18.00M,-107.00M,-125.00M,4.135B,,AOR,Restated
2002-12,,,,,,,,,,,,,,,,89.02B,,,,,,,,,,,,,1.50B,1.50B,,,,,,,1.50B,85.08B,,,,,,,,,,,3.936B,,AOR,Restated
2002-09,2.477B,26.76B,29.24B,3.229B,6.848B,10.08B,39.32B,1.14B,1.648B,,1.648B,11.52B,26.76B,,42.96B,89.61B,,,,,,5.011B,,,130.00M,130.00M,130.00M,5.141B,1.50B,1.50B,,,45.46B,210.00M,,,47.17B,85.16B,,68.00M,9.298B,3.205B,8.51B,,,,,397.00M,4.458B,,AOR,
2002-06,1.288B,25.46B,26.75B,3.137B,7.015B,10.15B,36.90B,1.111B,1.652B,,1.652B,12.11B,25.46B,,42.37B,89.24B,,,,,,4.692B,,,132.00M,132.00M,132.00M,4.824B,1.50B,1.50B,,,43.33B,213.00M,,,45.05B,84.04B,,68.00M,10.22B,3.201B,8.465B,,,,,182.00M,5.207B,,AOR,
2002-03,1.625B,25.51B,27.14B,3.166B,7.043B,10.21B,37.35B,1.092B,1.652B,,1.652B,12.34B,25.51B,,42.30B,92.29B,,,,,,5.089B,,,151.00M,151.00M,151.00M,5.24B,1.51B,1.51B,,,43.31B,231.00M,,,45.05B,87.24B,,68.00M,10.05B,3.157B,8.297B,,,,,61.00M,5.042B,,AOR,
2001-12,,25.57B,25.57B,2.798B,,2.798B,28.36B,986.00M,,2.198B,2.198B,12.69B,25.57B,,51.61B,91.64B,,,,,,,,,49.00M,49.00M,49.00M,49.00M,1.626B,1.626B,,,,237.00M,,,1.863B,86.53B,,68.00M,9.882B,3.093B,8.135B,,,-26.00M,,-26.00M,5.105B,,AOR,Restated
2001-09,1.585B,25.83B,27.41B,2.838B,6.973B,9.811B,37.22B,1.031B,,1.824B,1.824B,12.54B,25.83B,,42.95B,88.67B,,,,,,5.075B,,,140.00M,140.00M,140.00M,5.215B,1.377B,1.377B,,,43.43B,273.00M,,,45.08B,83.35B,,68.00M,9.737B,3.095B,7.859B,,,-26.00M,308.00M,282.00M,5.323B,,AOR,
2001-06,1.674B,24.60B,26.27B,2.78B,7.002B,9.782B,36.05B,966.00M,,1.842B,1.842B,12.28B,24.60B,,42.13B,91.49B,,,,,,4.682B,,,161.00M,161.00M,161.00M,4.843B,1.377B,1.377B,,,43.00B,276.00M,,,44.65B,86.21B,,68.00M,9.513B,3.08B,7.537B,,,-24.00M,181.00M,157.00M,5.281B,,AOR,
2001-03,2.052B,24.05B,26.10B,2.765B,7.076B,9.841B,35.94B,916.00M,,1.86B,1.86B,12.55B,24.05B,,41.77B,88.32B,,,,,,4.873B,,,135.00M,135.00M,135.00M,5.008B,1.408B,1.408B,,,42.86B,303.00M,,,44.57B,83.00B,,68.00M,9.309B,3.073B,7.375B,,,-16.00M,266.00M,250.00M,5.325B,,AOR,
2000-12,,27.05B,27.05B,2.814B,,2.814B,29.87B,879.00M,,1.878B,1.878B,12.76B,27.05B,,53.70B,95.12B,,,,,,,,,146.00M,146.00M,146.00M,146.00M,1.162B,1.162B,,,,589.00M,,,1.751B,89.68B,,67.00M,9.081B,2.966B,6.922B,,,4.00M,,4.00M,5.444B,,AOR,Restated
2000-09,2.017B,26.66B,28.68B,2.834B,6.911B,9.745B,38.43B,811.00M,,1.896B,1.896B,12.76B,26.66B,,43.87B,96.72B,,,,,,5.032B,,,46.00M,46.00M,46.00M,5.078B,1.315B,1.315B,,,45.47B,557.00M,,,47.34B,91.35B,,67.00M,8.851B,2.918B,6.667B,,,7.00M,201.00M,208.00M,5.377B,,AOR,
2000-06,2.219B,26.12B,28.34B,2.732B,6.96B,9.692B,38.04B,759.00M,,1.913B,1.913B,12.84B,26.12B,,43.45B,96.53B,,,,,,5.139B,,,25.00M,25.00M,25.00M,5.164B,1.336B,1.336B,,,44.94B,661.00M,,,46.94B,91.06B,,67.00M,8.621B,2.883B,6.233B,,,8.00M,120.00M,128.00M,5.466B,,AOR,
2000-03,2.51B,24.84B,27.35B,2.653B,6.792B,9.445B,36.79B,735.00M,,1.937B,1.937B,12.86B,24.84B,,42.79B,97.00B,,,,,,5.034B,,,21.00M,21.00M,21.00M,5.055B,1.342B,1.342B,,,44.01B,663.00M,,,46.01B,91.16B,,67.00M,8.51B,2.862B,5.751B,,,10.00M,140.00M,150.00M,5.838B,,AOR,
1999-12,2.232B,26.09B,28.32B,2.475B,6.768B,9.243B,37.56B,715.00M,,1.955B,1.955B,12.82B,26.09B,,43.25B,95.33B,,,,,,4.552B,,,57.00M,57.00M,57.00M,4.609B,1.359B,1.359B,,,44.03B,674.00M,,,46.07B,89.18B,,67.00M,8.29B,2.825B,5.199B,,,18.00M,148.00M,166.00M,6.149B,,AOR,Restated
1999-09,,23.91B,23.91B,2.423B,,2.423B,26.33B,1.501B,,1.974B,1.974B,13.17B,23.91B,,53.37B,92.77B,,,,,,,,,68.00M,68.00M,68.00M,68.00M,1.36B,1.36B,,,3.86B,540.00M,,,5.76B,85.60B,,67.00M,8.049B,2.821B,3.929B,,,6.00M,,6.00M,7.176B,,,
1999-06,,23.66B,23.66B,,,,23.66B,1.498B,,2.05B,2.05B,13.79B,23.66B,,55.94B,93.45B,,,,,,,,,307.00M,307.00M,307.00M,307.00M,1.361B,1.361B,,,3.639B,496.00M,,,5.496B,86.10B,,,7.045B,,,,,-223.00M,,-223.00M,7.341B,,,
1999-03,,33.49B,33.49B,4.664B,,4.664B,38.15B,1.712B,,2.461B,2.461B,14.28B,33.49B,,70.39B,112.45B,,,,,,,,,293.00M,293.00M,293.00M,293.00M,1.404B,1.404B,,,17.85B,1.933B,,,21.18B,104.58B,,,6.873B,,,,,-221.00M,,-221.00M,7.869B,,,
1998-12,1.986B,25.16B,27.14B,2.481B,6.666B,9.147B,36.29B,701.00M,,2.09B,2.09B,15.78B,25.16B,,48.60B,95.89B,,,,,,4.385B,,,272.00M,272.00M,272.00M,4.657B,1.428B,1.428B,,,47.10B,589.00M,,,49.12B,87.61B,,66.00M,6.746B,2.719B,2.096B,,,-114.00M,956.00M,842.00M,8.277B,,AOR,Restated
1998-09,,35.05B,35.05B,4.963B,,4.963B,40.02B,1.611B,,2.462B,2.462B,16.10B,35.05B,,71.98B,109.30B,,,,,,,,,245.00M,245.00M,245.00M,245.00M,1.44B,1.44B,,,17.90B,1.897B,,,21.23B,101.14B,,,6.567B,,,,,,,,8.156B,,,
1998-06,,35.32B,35.32B,4.528B,,4.528B,39.85B,858.00M,,2.49B,2.49B,16.08B,35.32B,,72.13B,110.93B,,,,,,,,,254.00M,254.00M,254.00M,254.00M,1.44B,1.44B,,,17.84B,1.839B,,,21.12B,102.59B,,,6.376B,,,,,,,,8.34B,,,
1998-03,,35.63B,35.63B,4.416B,,4.416B,40.05B,847.00M,,2.517B,2.517B,15.98B,35.63B,,72.78B,111.22B,,,,,,,,,266.00M,266.00M,266.00M,266.00M,1.463B,1.463B,,,17.70B,1.864B,,,21.03B,102.89B,,,6.129B,,,,,,,,8.325B,,,
1997-12,,37.70B,37.70B,4.265B,,4.265B,41.96B,1.626B,,2.542B,2.542B,18.11B,37.70B,,72.18B,108.20B,,,,,,,,,690.00M,690.00M,690.00M,690.00M,1.465B,1.465B,,,,1.774B,,,3.239B,100.27B,,,5.696B,,,,,,,,7.932B,,AOR,
1997-09,,38.71B,38.71B,4.441B,,4.441B,43.15B,868.00M,,2.545B,2.545B,18.06B,38.71B,,71.32B,106.43B,,,,,,,,,444.00M,444.00M,444.00M,444.00M,1.499B,1.499B,,,18.43B,1.852B,,,21.78B,98.44B,,,5.517B,,,,,,,,7.991B,,,
1997-06,,37.46B,37.46B,4.415B,,4.415B,41.88B,870.00M,,2.563B,2.563B,18.23B,37.46B,,70.66B,103.66B,,,,,,,,,735.00M,735.00M,735.00M,735.00M,1.50B,1.50B,,,18.53B,1.853B,,,21.88B,96.11B,,,5.299B,,,,,,,,7.548B,,,
1997-03,,37.68B,37.68B,4.055B,,4.055B,41.73B,789.00M,,1.053B,1.053B,18.29B,37.68B,,69.08B,98.75B,,,,,,,,,433.00M,433.00M,433.00M,433.00M,910.00M,910.00M,,,18.40B,1.946B,,,21.26B,91.64B,,,5.082B,,,,,,,,7.117B,,,
1996-12,1.287B,38.31B,39.60B,4.229B,7.287B,11.52B,51.11B,802.00M,1.068B,,1.068B,18.22B,38.31B,,61.40B,98.93B,,5.326B,221.00M,5.547B,,5.547B,,,289.00M,289.00M,289.00M,5.836B,1.021B,1.021B,,,62.44B,1.94B,,,65.40B,91.72B,,88.00M,4.855B,2.572B,889.00M,,,,,,7.208B,,AOR,
1996-09,,36.81B,36.81B,4.398B,,4.398B,41.20B,798.00M,,1.078B,1.078B,18.58B,36.81B,,69.81B,97.35B,,,,,,,,,268.00M,268.00M,268.00M,268.00M,1.037B,1.037B,,,19.16B,2.065B,,,22.26B,90.34B,,,4.609B,,,,,,,,7.008B,,,
1996-06,,36.99B,36.99B,4.254B,,4.254B,41.25B,814.00M,,1.097B,1.097B,18.49B,36.99B,,69.05B,95.90B,,,,,,,,,406.00M,406.00M,406.00M,406.00M,1.037B,1.037B,,,19.00B,2.059B,,,22.10B,89.01B,,,4.388B,,,,,,,,6.885B,,,
1996-03,,35.45B,35.45B,4.229B,,4.229B,39.68B,831.00M,,1.107B,1.107B,18.41B,35.45B,,69.67B,95.42B,,,,,,,,,435.00M,435.00M,435.00M,435.00M,1.037B,1.037B,,,19.16B,2.187B,,,22.38B,88.55B,,,4.219B,,,,,,,,6.863B,,,
1995-12,1.559B,39.59B,41.15B,4.268B,7.12B,11.39B,52.54B,864.00M,1.118B,,1.118B,18.12B,39.59B,,62.71B,95.90B,,5.408B,187.00M,5.595B,,5.595B,,,414.00M,414.00M,414.00M,6.009B,1.066B,1.066B,,,63.54B,2.176B,,,66.78B,88.75B,,87.00M,4.041B,2.536B,578.00M,,,,,,7.157B,,AOR,
1995-09,,38.81B,38.81B,4.169B,,4.169B,42.98B,885.00M,,1.135B,1.135B,16.74B,38.81B,,70.02B,93.75B,,,,,,,,,571.00M,571.00M,571.00M,571.00M,1.068B,1.068B,,,19.86B,2.409B,,,23.33B,87.36B,,,3.817B,,,,,,,,6.394B,,,
1995-06,,35.21B,35.21B,4.207B,,4.207B,39.42B,899.00M,,1.142B,1.142B,16.26B,35.21B,,69.09B,91.73B,,,,,,,,,249.00M,249.00M,249.00M,249.00M,1.467B,1.467B,,,18.81B,2.518B,,,22.80B,84.90B,,,4.439B,,,,,,,,6.829B,,,
1995-03,,33.42B,33.42B,4.202B,,4.202B,37.62B,901.00M,,1.152B,1.152B,15.69B,33.42B,,67.40B,88.85B,,,,,,,,,232.00M,232.00M,232.00M,232.00M,1.426B,1.426B,,,18.96B,2.498B,,,22.88B,82.66B,,,4.289B,,,,,,,,6.187B,,,
1994-12,1.693B,35.59B,37.29B,3.986B,7.486B,11.47B,48.76B,914.00M,1.165B,,1.165B,5.355B,35.59B,,56.42B,86.10B,,4.726B,156.00M,4.882B,,4.882B,,,271.00M,271.00M,271.00M,5.153B,1.389B,1.389B,,,59.27B,2.575B,,,63.24B,80.29B,,83.00M,4.052B,2.248B,564.00M,,,,,,5.811B,,AOR,
1994-09,,35.78B,35.78B,3.999B,,3.999B,39.78B,913.00M,,1.188B,1.188B,14.27B,35.78B,,65.32B,86.00B,,,,,,,,,324.00M,324.00M,324.00M,324.00M,1.378B,1.378B,,,19.88B,2.634B,,,23.89B,80.10B,,,3.924B,,,,,,,,5.90B,,,
1994-06,,35.67B,35.67B,3.854B,,3.854B,39.52B,921.00M,,1.207B,1.207B,14.05B,35.67B,,64.75B,84.32B,,,,,,,,,299.00M,299.00M,299.00M,299.00M,1.379B,1.379B,,,20.00B,2.62B,,,23.99B,78.47B,,,3.856B,,,,,,,,5.85B,,,
1994-03,,35.86B,35.86B,4.246B,,4.246B,40.10B,923.00M,,1.231B,1.231B,13.83B,35.86B,,64.78B,84.89B,,,,,,,,,290.00M,290.00M,290.00M,290.00M,1.379B,1.379B,,,20.15B,2.746B,,,24.28B,78.79B,,,3.776B,,,,,,,,6.096B,,,
1993-12,,37.04B,37.04B,4.065B,,4.065B,41.11B,930.00M,,1.262B,1.262B,13.68B,37.04B,,65.38B,84.98B,,,,,,,,,351.00M,351.00M,351.00M,351.00M,1.235B,1.235B,,,20.14B,2.711B,,,24.09B,78.40B,,,3.717B,,,,,,,,6.575B,,,
1993-09,,34.58B,34.58B,3.631B,,3.631B,38.22B,941.00M,,1.305B,1.305B,13.11B,34.58B,,62.92B,82.16B,,,,,,,,,476.00M,476.00M,476.00M,476.00M,1.275B,1.275B,,,19.90B,2.711B,,,23.88B,76.53B,,,3.578B,,,,,,,,5.632B,,,
1993-06,,33.80B,33.80B,3.722B,,3.722B,37.52B,952.00M,,1.331B,1.331B,13.25B,33.80B,,62.16B,80.14B,,,,,,,,,514.00M,514.00M,514.00M,514.00M,1.279B,1.279B,,,19.62B,2.645B,,,23.54B,74.33B,,,3.727B,,,,,,,,5.805B,,,
1993-03,,46.02B,46.02B,4.407B,,4.407B,50.42B,965.00M,,1.367B,1.367B,,46.02B,,59.93B,78.22B,,,,,,,,,380.00M,380.00M,380.00M,380.00M,1.28B,1.28B,,,19.29B,2.73B,,,23.30B,72.44B,,,3.693B,,,,,,,,5.788B,,,
1992-12,,32.11B,32.11B,3.564B,,3.564B,35.67B,945.00M,,1.384B,1.384B,12.98B,32.11B,,52.22B,69.83B,,,,,,,,,438.00M,438.00M,438.00M,438.00M,929.00M,929.00M,,,12.31B,2.056B,,,15.29B,64.08B,,,3.702B,,,,,,,,5.744B,,,
1992-09,,31.99B,31.99B,3.443B,,3.443B,35.43B,974.00M,,1.407B,1.407B,12.96B,31.99B,,51.37B,68.30B,,,,,,,,,462.00M,462.00M,462.00M,462.00M,884.00M,884.00M,,,12.36B,2.151B,,,15.40B,62.55B,,,3.731B,,,,,,,,5.751B,,,
1992-06,,31.39B,31.39B,3.648B,,3.648B,35.04B,967.00M,,1.44B,1.44B,12.99B,31.39B,,50.55B,67.53B,,,,,,,,,399.00M,399.00M,399.00M,399.00M,948.00M,948.00M,,,12.00B,2.184B,,,15.13B,61.83B,,,3.731B,,,,,,,,5.699B,,,
1992-03,,30.74B,30.74B,3.821B,,3.821B,34.56B,964.00M,,1.463B,1.463B,12.94B,30.74B,,50.19B,67.05B,,,,,,,,,392.00M,392.00M,392.00M,392.00M,948.00M,948.00M,,,12.06B,2.319B,,,15.33B,61.30B,,,3.661B,,,,,,,,5.748B,,,
1991-12,,29.57B,29.57B,3.931B,,3.931B,33.50B,947.00M,,1.487B,1.487B,13.02B,29.57B,,49.39B,66.74B,,,,,,,,,385.00M,385.00M,385.00M,385.00M,848.00M,848.00M,,,12.13B,2.329B,,,15.30B,60.87B,,,3.609B,,,,,,,,5.863B,,,
1991-09,,29.04B,29.04B,4.055B,,4.055B,33.10B,915.00M,,1.479B,1.479B,12.83B,29.04B,,47.98B,64.79B,,,,,,,,,424.00M,424.00M,424.00M,424.00M,944.00M,944.00M,,,11.77B,2.301B,,,15.02B,59.22B,,,3.555B,,,,,,,,5.566B,,,
1991-06,,28.85B,28.85B,4.12B,,4.12B,32.97B,902.00M,,1.61B,1.61B,12.93B,28.85B,,47.49B,65.63B,,,,,,,,,462.00M,462.00M,462.00M,462.00M,847.00M,847.00M,,,11.82B,2.273B,,,14.94B,60.19B,,,3.487B,,,,,,,,5.432B,,,
1991-03,,28.39B,28.39B,4.285B,,4.285B,32.68B,871.00M,,1.639B,1.639B,12.77B,28.39B,,47.13B,65.53B,,,,,,,,,524.00M,524.00M,524.00M,524.00M,881.00M,881.00M,,,12.03B,2.464B,,,15.37B,60.07B,,,3.371B,,,,,20.00M,,20.00M,5.455B,,,
1990-12,,27.55B,27.55B,4.167B,,4.167B,31.72B,850.00M,,1.646B,1.646B,12.54B,27.55B,,46.22B,63.69B,,,,,,,,,599.00M,599.00M,599.00M,599.00M,832.00M,832.00M,,,12.04B,2.471B,,,15.34B,58.45B,,,3.377B,,,,,,,,5.242B,,,
1990-09,,26.54B,26.54B,4.117B,,4.117B,30.66B,840.00M,,1.54B,1.54B,12.12B,26.54B,,45.05B,61.91B,,,,,,,,,616.00M,616.00M,616.00M,616.00M,692.00M,692.00M,,,11.81B,2.493B,,,15.00B,56.82B,,,3.312B,,,,,,,,5.09B,,,
1990-06,,26.31B,26.31B,4.025B,,4.025B,30.33B,817.00M,,1.548B,1.548B,11.74B,26.31B,,44.09B,60.72B,,,,,,,,,600.00M,600.00M,600.00M,600.00M,663.00M,663.00M,,,11.66B,2.347B,,,14.67B,55.18B,,,3.359B,,,,,,,,5.542B,,,
1990-03,,25.88B,25.88B,4.927B,,4.927B,30.80B,801.00M,,1.563B,1.563B,11.55B,25.88B,,43.00B,60.17B,,,,,,,,,721.00M,721.00M,721.00M,721.00M,672.00M,672.00M,,,11.50B,2.485B,,,14.66B,54.77B,,,3.259B,,,,,,,,5.408B,,,
1989-12,,25.58B,25.58B,3.559B,,3.559B,29.14B,678.00M,,1.023B,1.023B,11.39B,25.58B,,42.13B,57.78B,,,,,,,,,296.00M,296.00M,296.00M,296.00M,640.00M,640.00M,,,11.25B,2.421B,,,14.31B,52.26B,,,3.276B,,,,,,,,5.52B,,,
1989-09,,25.43B,25.43B,3.512B,,3.512B,28.94B,671.70M,,1.037B,1.037B,11.16B,25.43B,,41.16B,56.27B,,,,,,,,,303.20M,303.20M,303.20M,303.20M,624.00M,624.00M,,,11.20B,2.417B,,,14.24B,50.88B,,,3.164B,,,,,,,,5.396B,,,
1988-12,,,,,,,,,,,,,,,,55.82B,,,,,,,,,,,,,643.20M,643.20M,,,,,,,643.20M,50.59B,,,3.146B,,,,,,,,5.238B,,,
1987-12,,,,,,,,,,,,,,,,53.50B,,,,,,,,,,,,,315.90M,315.90M,,,,,,,315.90M,48.52B,,,2.932B,,,,,,,,4.973B,,,
1986-12,,,,,,,,,,,,,,,,50.02B,,,,,,,,,,,,,511.60M,511.60M,,,,,,,511.60M,45.39B,,,2.468B,,,,,,,,4.625B,,,
1985-12,,,,,,,,,,,,,,,,44.74B,,,,,,,,,,,,,338.00M,338.00M,,,,,,,338.00M,40.98B,,,1.903B,,,,,,,,3.754B,,,
1984-12,,,,,,,,,,,,,,,,39.04B,,,,,,,,,,,,,344.00M,344.00M,,,,,,,344.00M,34.51B,,,2.869B,,,,,,,,4.529B,,,
