,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,273.00M,,,,,53.00M,53.00M,70.00M,-158.00M,175.00M,-17.00M,-228.00M,,,,-70.00M,168.00M,,-37.00M,0.00,-37.00M,,360.00M,-155.00M,168.00M,,5.00M,,5.00M,18.00M,-873.00M,-855.00M,-3.00M,-3.00M,0.00,-853.00M,,1.904B,-517.00M,1.00M,1.388B,,18.00M,5.00M,0.00,-873.00M,,,,AOR,Restated
2006-03,352.00M,,,,,54.00M,54.00M,-78.00M,-260.00M,31.00M,-21.00M,-165.00M,,,,-155.00M,-87.00M,,-30.00M,,-30.00M,,298.00M,389.00M,657.00M,,-34.00M,,-34.00M,162.00M,-400.00M,-238.00M,-3.00M,-3.00M,-100.00M,-375.00M,,1.709B,195.00M,,1.904B,,162.00M,66.00M,-100.00M,-400.00M,,,,AOR,Restated
2005-12,210.00M,,7.00M,,7.00M,51.00M,51.00M,144.00M,-104.00M,450.00M,-26.00M,56.00M,93.00M,-345.00M,,157.00M,465.00M,,-29.00M,,-29.00M,,565.00M,-1.00M,535.00M,,3.00M,,3.00M,45.00M,-584.00M,-539.00M,-3.00M,-3.00M,,-539.00M,,1.251B,461.00M,-3.00M,1.709B,,45.00M,,3.00M,-584.00M,,,,AOR,Restated
2005-09,259.00M,,19.00M,,19.00M,58.00M,58.00M,182.00M,-399.00M,-46.00M,-16.00M,-493.00M,21.00M,220.00M,,-285.00M,-166.00M,,19.00M,,19.00M,,230.00M,-18.00M,231.00M,,-354.00M,,-354.00M,121.00M,-458.00M,-337.00M,-4.00M,-4.00M,,-695.00M,,1.879B,-630.00M,2.00M,1.251B,,121.00M,,-354.00M,-458.00M,,,,AOR,Restated
2005-06,371.00M,,-19.00M,,-19.00M,50.00M,50.00M,-102.00M,52.00M,99.00M,-12.00M,-21.00M,-21.00M,-220.00M,,-204.00M,148.00M,,-28.00M,,-28.00M,,-426.00M,,-454.00M,,36.00M,,36.00M,86.00M,-334.00M,-248.00M,-3.00M,-3.00M,,-215.00M,,2.40B,-521.00M,0.00,1.879B,,86.00M,,36.00M,-334.00M,,,,AOR,Restated
2005-03,436.00M,,,,,62.00M,62.00M,170.00M,-441.00M,-52.00M,-17.00M,113.00M,,,,44.00M,271.00M,,-23.00M,,-23.00M,,-31.00M,,-54.00M,,-185.00M,,-185.00M,94.00M,-242.00M,-148.00M,-3.00M,-3.00M,,-336.00M,,2.519B,-119.00M,,2.40B,,94.00M,,-185.00M,-242.00M,,,,AOR,Restated
2004-12,419.00M,,447.00M,,447.00M,56.00M,56.00M,30.00M,-1.288B,140.00M,-27.00M,-257.00M,-127.00M,781.00M,,582.00M,246.00M,,-6.00M,,-6.00M,18.00M,-451.00M,0.00,-439.00M,,-57.00M,23.00M,-34.00M,40.00M,-150.00M,-110.00M,-46.00M,-46.00M,-23.00M,-213.00M,,2.925B,-406.00M,0.00,2.519B,,40.00M,,-57.00M,-150.00M,,,,AOR,Restated
2004-09,308.00M,,-11.00M,,-11.00M,61.00M,61.00M,129.00M,-276.00M,-60.00M,-23.00M,-122.00M,-28.00M,-19.00M,,-275.00M,-64.00M,,0.00,,0.00,0.00,372.00M,1.00M,373.00M,,-696.00M,-23.00M,-719.00M,0.00,-254.00M,-254.00M,-4.00M,-4.00M,560.00M,-417.00M,,3.033B,-108.00M,0.00,2.925B,,0.00,,-696.00M,-254.00M,,,,AOR,Restated
2004-06,504.00M,,-436.00M,,-436.00M,51.00M,51.00M,-194.00M,527.00M,401.00M,-22.00M,-30.00M,155.00M,-762.00M,,-307.00M,145.00M,,-14.00M,,-14.00M,2.103B,-114.00M,-176.00M,1.799B,,-76.00M,,-76.00M,5.00M,-272.00M,-267.00M,-3.00M,-3.00M,-56.00M,-402.00M,,1.491B,1.542B,,3.033B,,5.00M,,-76.00M,-272.00M,,,,AOR,Restated
2004-03,207.00M,,,,,62.00M,62.00M,-37.00M,851.00M,95.00M,-27.00M,-28.00M,,,,40.00M,1.123B,,-18.00M,,-18.00M,,-648.00M,151.00M,-515.00M,,,,,19.00M,0.00,19.00M,-47.00M,-47.00M,-481.00M,-509.00M,,1.392B,99.00M,,1.491B,,19.00M,,,0.00,,,,AOR,Restated
2003-12,254.00M,,,,,59.00M,59.00M,97.00M,659.00M,50.00M,-31.00M,379.00M,,,,398.00M,1.467B,,-40.00M,,-40.00M,4.00M,-934.00M,16.00M,-954.00M,,-1.386B,0.00,-1.386B,6.00M,0.00,6.00M,-46.00M,-46.00M,344.00M,-1.082B,,1.961B,-569.00M,,1.392B,,6.00M,,-1.386B,0.00,,,,AOR,Restated
2003-09,195.00M,,,,,70.00M,70.00M,-7.00M,165.00M,70.00M,-16.00M,-276.00M,,,,-222.00M,201.00M,,-21.00M,,-21.00M,18.00M,76.00M,-16.00M,57.00M,,0.00,0.00,0.00,0.00,0.00,0.00,-47.00M,-47.00M,-25.00M,-72.00M,,1.775B,186.00M,,1.961B,,0.00,,0.00,0.00,,,,AOR,Restated
2003-06,-53.00M,,,,,54.00M,54.00M,-87.00M,183.00M,69.00M,-14.00M,-64.00M,,,,-9.00M,88.00M,,-20.00M,,-20.00M,0.00,-293.00M,,-313.00M,,-10.00M,0.00,-10.00M,0.00,0.00,0.00,-46.00M,-46.00M,-5.00M,-61.00M,,2.061B,-286.00M,,1.775B,,0.00,,-10.00M,0.00,,,,AOR,Restated
2003-03,188.00M,,,,,63.00M,63.00M,165.00M,102.00M,59.00M,-19.00M,-6.00M,,,,34.00M,552.00M,,-26.00M,,-26.00M,209.00M,231.00M,,414.00M,,-117.00M,-3.00M,-120.00M,0.00,,0.00,-46.00M,-46.00M,-314.00M,-480.00M,,1.575B,486.00M,,2.061B,,0.00,,-117.00M,,,,,AOR,Restated
2002-12,44.00M,,,,,62.00M,62.00M,51.00M,1.455B,-199.00M,,-1.272B,62.00M,525.00M,,-928.00M,684.00M,,-107.00M,,-107.00M,,-634.00M,-784.00M,-1.525B,,331.00M,-9.00M,322.00M,6.00M,0.00,6.00M,,-47.00M,-332.00M,-51.00M,,2.469B,-892.00M,-2.00M,1.575B,,6.00M,,13.00M,0.00,,,,AOR,Restated
2002-09,-873.00M,,,,,56.00M,56.00M,-47.00M,-1.91B,167.00M,,1.505B,167.00M,1.505B,,3.341B,567.00M,,-196.00M,,-196.00M,,-228.00M,611.00M,187.00M,,-4.00M,,-4.00M,3.00M,-57.00M,-54.00M,,-46.00M,545.00M,441.00M,,1.288B,1.195B,1.00M,2.469B,,3.00M,,-4.00M,-57.00M,,,,AOR,
2002-06,214.00M,,,,,43.00M,43.00M,0.00,205.00M,30.00M,,-363.00M,30.00M,-363.00M,,-686.00M,-224.00M,,68.00M,,68.00M,,-1.00M,-91.00M,-24.00M,,-45.00M,16.00M,-29.00M,34.00M,-164.00M,-130.00M,,-46.00M,110.00M,-95.00M,,1.616B,-343.00M,0.00,1.288B,,34.00M,,-45.00M,-164.00M,,,,AOR,
2002-03,218.00M,,,,,60.00M,60.00M,-45.00M,-511.00M,-98.00M,,418.00M,-98.00M,418.00M,,629.00M,351.00M,,-68.00M,,-68.00M,,-285.00M,229.00M,-124.00M,,,-16.00M,-16.00M,25.00M,-134.00M,-109.00M,,-46.00M,-359.00M,-530.00M,,1.918B,-303.00M,1.00M,1.616B,,25.00M,,,-134.00M,,,,AOR,
2001-12,173.00M,,,,,56.00M,56.00M,75.00M,626.00M,-10.00M,36.00M,-368.00M,-10.00M,-192.00M,,-559.00M,371.00M,,,,,-83.00M,-265.00M,362.00M,-352.00M,,144.00M,,157.00M,5.00M,-294.00M,-289.00M,143.00M,-47.00M,519.00M,340.00M,,1.585B,359.00M,1.00M,1.918B,,5.00M,246.00M,-102.00M,-294.00M,,,,AOR,Restated
2001-09,270.00M,,,,,64.00M,64.00M,101.00M,-312.00M,3.00M,-12.00M,132.00M,3.00M,132.00M,,246.00M,369.00M,,,,,0.00,-346.00M,-126.00M,-472.00M,,-20.00M,,-20.00M,10.00M,-303.00M,-293.00M,-47.00M,-47.00M,373.00M,13.00M,,1.674B,-90.00M,1.00M,1.585B,,10.00M,0.00,-20.00M,-303.00M,,,,AOR,
2001-06,252.00M,,,,,56.00M,56.00M,-20.00M,-54.00M,6.00M,-11.00M,84.00M,-28.00M,-92.00M,,-52.00M,182.00M,,,,,0.00,-848.00M,-88.00M,-936.00M,,-6.00M,,-6.00M,4.00M,-171.00M,-167.00M,-49.00M,-49.00M,600.00M,378.00M,,2.052B,-376.00M,-2.00M,1.674B,,4.00M,0.00,-6.00M,-171.00M,,,,AOR,
2001-03,276.00M,,,,,59.00M,59.00M,49.00M,-132.00M,-32.00M,-13.00M,-19.00M,2.00M,-19.00M,,-94.00M,158.00M,,,,,83.00M,72.00M,-406.00M,-251.00M,,231.00M,,231.00M,19.00M,-371.00M,-352.00M,-47.00M,-47.00M,108.00M,-60.00M,,2.206B,-153.00M,-1.00M,2.052B,,19.00M,247.00M,-16.00M,-371.00M,,,,AOR,
2000-12,271.00M,,,,,55.00M,55.00M,-1.00M,-801.00M,-365.00M,124.00M,1.157B,-365.00M,411.00M,,922.00M,446.00M,,,,,-45.00M,54.00M,68.00M,-236.00M,,-46.00M,,-46.00M,30.00M,-251.00M,-221.00M,152.00M,-48.00M,292.00M,-23.00M,,2.017B,187.00M,-5.00M,2.179B,,30.00M,,-46.00M,-251.00M,,,,AOR,Restated
2000-09,278.00M,,,,,51.00M,51.00M,-4.00M,-292.00M,0.00,-15.00M,112.00M,0.00,194.00M,,276.00M,309.00M,,,,,0.00,-121.00M,-147.00M,-268.00M,,0.00,0.00,0.00,26.00M,-453.00M,-427.00M,-49.00M,-49.00M,235.00M,-241.00M,,2.219B,-200.00M,-2.00M,2.017B,,26.00M,,0.00,-453.00M,,,,AOR,
2000-06,161.00M,,,,,59.00M,59.00M,-21.00M,-402.00M,-43.00M,-66.00M,58.00M,67.00M,722.00M,,672.00M,469.00M,,,,,45.00M,-760.00M,-62.00M,-777.00M,,-2.00M,0.00,-2.00M,13.00M,-478.00M,-465.00M,-52.00M,-52.00M,539.00M,20.00M,,2.51B,-288.00M,-3.00M,2.219B,,13.00M,,-2.00M,-478.00M,,,,AOR,
2000-03,271.00M,,,,,56.00M,56.00M,-43.00M,-202.00M,-45.00M,-43.00M,326.00M,-155.00M,326.00M,,366.00M,448.00M,,,,,,436.00M,-57.00M,379.00M,,-53.00M,0.00,-53.00M,3.00M,-514.00M,-511.00M,-51.00M,-51.00M,86.00M,-529.00M,,2.232B,298.00M,-20.00M,2.51B,,3.00M,,-53.00M,-514.00M,,,,AOR,
1999-12,292.00M,,,,,53.00M,53.00M,165.00M,168.00M,331.00M,,-836.00M,331.00M,315.00M,,-24.00M,654.00M,,,,,,4.417B,-3.134B,1.39B,,-11.00M,-1.00M,-12.00M,3.00M,-1.432B,-1.429B,,-58.00M,-310.00M,-1.809B,,1.851B,382.00M,8.00M,2.232B,,3.00M,,-11.00M,-1.432B,,,,AOR,Restated
1999-09,-132.00M,,,,,74.00M,74.00M,-90.00M,581.00M,-358.00M,,364.00M,-358.00M,364.00M,,-16.00M,417.00M,,,,,,-2.937B,4.494B,1.557B,,-16.00M,-224.00M,-240.00M,4.00M,-963.00M,-959.00M,,-60.00M,-140.00M,-1.399B,,1.262B,575.00M,14.00M,1.851B,,4.00M,,-16.00M,-963.00M,,,,,
1999-06,303.00M,,,,,43.00M,43.00M,-47.00M,-901.00M,46.00M,,383.00M,46.00M,383.00M,,812.00M,210.00M,,,,,,1.16B,-1.193B,-33.00M,,,-26.00M,-26.00M,13.00M,-429.00M,-416.00M,,-61.00M,121.00M,-382.00M,,1.468B,-205.00M,-1.00M,1.262B,,13.00M,,,-429.00M,,,,,
1999-03,236.00M,,,,,55.00M,55.00M,19.00M,137.00M,-118.00M,,176.00M,-118.00M,176.00M,,89.00M,536.00M,,,,,,-145.00M,-274.00M,-419.00M,,,-6.00M,-6.00M,22.00M,-204.00M,-182.00M,,-59.00M,-376.00M,-623.00M,,1.986B,-506.00M,-12.00M,1.468B,,22.00M,,,-204.00M,,,,,
1998-12,234.00M,,,,,45.00M,45.00M,-29.00M,-161.00M,117.00M,,186.00M,117.00M,186.00M,,479.00M,568.00M,,,,,,1.161B,-1.197B,924.00M,,-9.00M,24.00M,15.00M,6.00M,-79.00M,-73.00M,,-59.00M,197.00M,80.00M,,456.00M,1.522B,30.00M,1.986B,,6.00M,,-9.00M,-79.00M,,,,AOR,Restated
1998-09,264.00M,,,,,65.00M,65.00M,16.00M,-103.00M,-212.00M,,200.00M,-212.00M,200.00M,,-77.00M,165.00M,,,,,,-2.842B,2.047B,-795.00M,,0.00,-10.00M,-10.00M,3.00M,-388.00M,-385.00M,,-62.00M,320.00M,-137.00M,,1.229B,-767.00M,-6.00M,456.00M,,3.00M,,0.00,-388.00M,,,,,
1998-06,193.00M,,,,,30.00M,30.00M,5.00M,-684.00M,103.00M,,339.00M,-64.00M,339.00M,,690.00M,234.00M,,,,,,2.80B,-2.595B,205.00M,,-33.00M,-2.00M,-35.00M,5.00M,-258.00M,-253.00M,,-62.00M,-394.00M,-744.00M,,,-298.00M,5.00M,1.229B,,5.00M,,-33.00M,-258.00M,,,,,
1998-03,495.00M,,,,,78.00M,78.00M,-159.00M,-557.00M,-167.00M,,131.00M,,131.00M,,62.00M,-81.00M,,,,,,-797.00M,1.334B,537.00M,,-66.00M,-360.00M,-426.00M,12.00M,-108.00M,-96.00M,,-60.00M,-170.00M,-752.00M,,2.625B,-303.00M,-7.00M,,,12.00M,,-66.00M,-108.00M,,,,,
1997-12,-34.00M,,,,,179.00M,179.00M,-155.00M,-578.00M,44.00M,,956.00M,97.00M,814.00M,,1.701B,1.113B,,,,,,32.00M,-300.00M,-648.00M,,-42.00M,358.00M,316.00M,8.00M,-280.00M,-272.00M,,-63.00M,291.00M,272.00M,,,756.00M,7.00M,1.832B,,8.00M,0.00,-42.00M,-280.00M,,,,AOR,
1997-09,279.00M,,,,,,,62.00M,-161.00M,36.00M,,37.00M,-63.00M,179.00M,,189.00M,369.00M,,,,,,-960.00M,1.508B,-377.00M,,-250.00M,-146.00M,-396.00M,11.00M,0.00,11.00M,,-60.00M,230.00M,-215.00M,,,-219.00M,4.00M,,,11.00M,0.00,-250.00M,0.00,,,,,
1997-06,279.00M,,,,,-54.00M,-54.00M,8.00M,-779.00M,-181.00M,,348.00M,-36.00M,348.00M,,523.00M,-23.00M,,,,,,536.00M,-1.218B,-682.00M,,599.00M,42.00M,641.00M,-2.00M,0.00,-2.00M,,-62.00M,350.00M,927.00M,,,207.00M,-15.00M,,,-2.00M,600.00M,-1.00M,0.00,,,,,
1997-03,288.00M,,,,,54.00M,54.00M,39.00M,664.00M,145.00M,,-385.00M,,-385.00M,,-669.00M,376.00M,,,,,,424.00M,-290.00M,134.00M,,-25.00M,104.00M,79.00M,2.00M,-55.00M,-53.00M,,-60.00M,-273.00M,-307.00M,,1.76B,195.00M,-8.00M,,,2.00M,,-25.00M,-55.00M,,,,,
1996-12,306.00M,,,,,,,3.00M,237.00M,-101.00M,,-4.00M,-78.00M,-4.00M,,-187.00M,359.00M,,,,,,-1.137B,42.00M,-1.095B,,0.00,5.00M,5.00M,1.00M,-131.00M,-130.00M,,-62.00M,137.00M,-50.00M,,,-779.00M,-15.00M,1.287B,,1.00M,0.00,0.00,-131.00M,,,,AOR,
1996-09,281.00M,,,,,,,1.00M,-341.00M,70.00M,,159.00M,70.00M,159.00M,,458.00M,399.00M,,,,,,33.00M,107.00M,140.00M,,-150.00M,13.00M,-137.00M,4.00M,-120.00M,-116.00M,,-58.00M,418.00M,107.00M,,,654.00M,8.00M,,,4.00M,,-150.00M,-120.00M,,,,,
1996-06,231.00M,,,,,,,78.00M,322.00M,-59.00M,,-246.00M,-59.00M,-246.00M,,-610.00M,21.00M,,,,,,548.00M,-289.00M,259.00M,,-5.00M,-24.00M,-29.00M,0.00,-41.00M,-41.00M,,-62.00M,28.00M,-104.00M,,,165.00M,-11.00M,,,0.00,-4.00M,-1.00M,-41.00M,,,,,
1996-03,238.00M,,,,,,,44.00M,213.00M,-50.00M,,-237.00M,-50.00M,-237.00M,,-574.00M,-79.00M,,,,,,343.00M,-4.00M,339.00M,,-3.00M,,-3.00M,7.00M,,7.00M,,-60.00M,-490.00M,-546.00M,,1.559B,-290.00M,-4.00M,,,7.00M,4.00M,-7.00M,,,,,,
1995-12,282.00M,,,,,,,64.00M,-179.00M,496.00M,,-40.00M,178.00M,-40.00M,,594.00M,761.00M,,,,,,-1.634B,453.00M,-1.181B,,-6.00M,3.00M,-3.00M,,,,,-58.00M,286.00M,246.00M,,,-213.00M,-42.00M,1.559B,,,0.00,-6.00M,,,,,AOR,
1995-09,-566.00M,,,,,,,-382.00M,-837.00M,-331.00M,,969.00M,-197.00M,969.00M,,1.41B,-375.00M,,,,,,-6.164B,5.798B,-366.00M,,0.00,13.00M,13.00M,,,,,-56.00M,862.00M,819.00M,,,68.00M,-10.00M,,,,0.00,0.00,,,,,,
1995-06,205.00M,,,,,,,24.00M,64.00M,-47.00M,,22.00M,-47.00M,22.00M,,-50.00M,243.00M,,,,,,5.051B,-6.375B,-1.324B,,38.00M,17.00M,55.00M,,,,,-55.00M,496.00M,496.00M,,,-536.00M,49.00M,,,,41.00M,-3.00M,,,,,,
1995-03,290.00M,,,,,,,76.00M,-755.00M,244.00M,,188.00M,244.00M,188.00M,,864.00M,475.00M,,,,,,-814.00M,-28.00M,-842.00M,,47.00M,-46.00M,1.00M,,,,,-53.00M,969.00M,917.00M,,1.693B,550.00M,,,,,47.00M,,,,,,,
1994-12,182.00M,,,,,,,72.00M,246.00M,719.00M,,-870.00M,709.00M,-870.00M,,-312.00M,188.00M,,,,,,-1.336B,-56.00M,-1.334B,,6.415B,-33.00M,6.382B,,,,,-54.00M,-5.143B,1.185B,,,-1.00M,-8.00M,1.693B,,,6.438B,-23.00M,,,,,AOR,
1994-09,123.00M,,,,,,,-37.00M,-233.00M,-89.00M,,171.00M,-89.00M,171.00M,,164.00M,17.00M,,,,,,-57.00M,-91.00M,-148.00M,,-3.00M,27.00M,24.00M,,,,,-55.00M,607.00M,576.00M,,,477.00M,32.00M,,,,0.00,-3.00M,,,,,,
1994-06,135.00M,,,,,,,-10.00M,363.00M,283.00M,,-488.00M,283.00M,-488.00M,,-410.00M,78.00M,,,,,,-601.00M,-14.00M,-615.00M,,0.00,9.00M,9.00M,,,,,-55.00M,381.00M,335.00M,,,-196.00M,6.00M,,,,0.00,0.00,,,,,,
1994-03,114.00M,,,,,,,2.00M,-252.00M,-51.00M,,215.00M,-51.00M,215.00M,,328.00M,192.00M,,,,,,42.00M,-32.00M,10.00M,,124.00M,-41.00M,83.00M,,,,,-55.00M,-62.00M,-34.00M,,1.211B,170.00M,2.00M,,,,144.00M,-20.00M,,,,,,
1993-12,194.00M,,,,,,,-155.00M,-873.00M,-585.00M,,1.356B,-585.00M,1.356B,,1.542B,708.00M,,,,,,-1.446B,-24.00M,-1.47B,,-81.00M,-97.00M,-178.00M,,,,,-55.00M,1.147B,914.00M,,,142.00M,-10.00M,,,,0.00,-81.00M,,,,,,
1993-09,-94.00M,,,,,,,-240.00M,-788.00M,399.00M,,247.00M,399.00M,247.00M,,1.292B,170.00M,,,,,,-423.00M,4.00M,-419.00M,,-67.00M,49.00M,-18.00M,,,,,-55.00M,178.00M,105.00M,,,-152.00M,-8.00M,,,,0.00,-67.00M,,,,,,
1993-06,88.00M,,,,,,,-47.00M,-314.00M,467.00M,,-304.00M,307.00M,-304.00M,,166.00M,-107.00M,,,,,,-798.00M,-27.00M,-825.00M,,1.00M,115.00M,116.00M,,,,,-54.00M,986.00M,1.048B,,,121.00M,5.00M,,,,1.00M,,,,,,,
1993-03,46.00M,,,,,,,-37.00M,26.00M,-160.00M,,237.00M,,237.00M,,314.00M,349.00M,,,,,,-469.00M,-22.00M,-491.00M,,326.00M,-115.00M,211.00M,,,,,-55.00M,88.00M,244.00M,,1.011B,89.00M,-13.00M,,,,326.00M,,,,,,,
1992-12,51.00M,,,,,,,,-1.368B,-74.00M,,919.00M,,919.00M,,1.764B,112.00M,,,,,,-293.00M,115.00M,-178.00M,,-11.00M,-42.00M,-53.00M,,,,,-54.00M,-42.00M,-149.00M,,,-247.00M,-32.00M,,,,0.00,,,,,,,
1992-09,55.00M,,85.00M,,85.00M,,,,976.00M,128.00M,,-447.00M,-255.00M,-447.00M,,-1.021B,95.00M,,,,,,-497.00M,-45.00M,-542.00M,,0.00,7.00M,7.00M,,,,,-55.00M,478.00M,430.00M,,,-3.00M,14.00M,,,,0.00,,,,,,,
1992-06,125.00M,,-85.00M,,-85.00M,,,,-263.00M,207.00M,,-44.00M,255.00M,-44.00M,,374.00M,151.00M,,,,,,-636.00M,-155.00M,-791.00M,,0.00,7.00M,7.00M,,,,,-55.00M,337.00M,289.00M,,,-363.00M,-12.00M,,,,0.00,,,,,,,
1992-03,106.00M,,,,,,,,-122.00M,48.00M,,153.00M,,153.00M,,354.00M,338.00M,,,,,,-1.197B,78.00M,-1.119B,,111.00M,-4.00M,107.00M,,,,,-54.00M,491.00M,544.00M,,1.863B,-239.00M,-2.00M,,,,111.00M,,,,,,,
1991-12,112.00M,,,,,,,,-223.00M,172.00M,,255.00M,,255.00M,,682.00M,571.00M,,,,,,-1.405B,119.00M,-1.286B,,-63.00M,-84.00M,-147.00M,,,,,-54.00M,671.00M,470.00M,,,-193.00M,52.00M,,,,7.00M,,,,,,,
1991-09,123.00M,,,,,,,,-15.00M,-8.00M,,6.00M,,6.00M,,4.00M,112.00M,,,,,,87.00M,8.00M,95.00M,,126.00M,-56.00M,70.00M,,,,,-55.00M,351.00M,366.00M,,,565.00M,-8.00M,,,,126.00M,,,,,,,
1991-06,170.00M,,,,,,,,121.00M,114.00M,,-130.00M,,-130.00M,,-146.00M,145.00M,,,,,,-526.00M,-165.00M,-691.00M,,0.00,-79.00M,-79.00M,,,,,-54.00M,589.00M,456.00M,,,-139.00M,-49.00M,,,,0.00,,,,,,,
1991-03,48.00M,,,,,,,,-44.00M,-124.00M,,18.00M,,18.00M,,-88.00M,-84.00M,,,,,,-701.00M,-172.00M,-873.00M,,86.00M,-112.00M,-26.00M,,,,,-54.00M,770.00M,690.00M,,1.148B,-266.00M,1.00M,,,,86.00M,,,,,,,
1990-12,107.00M,,,,,,,,-1.264B,-35.00M,,751.00M,,751.00M,,1.467B,310.00M,,,,,,-891.00M,-43.00M,-934.00M,,156.00M,20.00M,176.00M,,-83.00M,-83.00M,,-57.00M,475.00M,511.00M,,,-100.00M,13.00M,,,,167.00M,,-83.00M,,,,,
1990-09,11.00M,,,,,,,,171.00M,-71.00M,,279.00M,,279.00M,,487.00M,669.00M,,,,,,-773.00M,-43.00M,-816.00M,,20.00M,-54.00M,-34.00M,,-151.00M,-151.00M,,-59.00M,728.00M,484.00M,,,314.00M,-23.00M,,,,20.00M,,-151.00M,,,,,
1990-06,158.00M,,,,,,,,306.00M,-83.00M,,-245.00M,,-245.00M,,-573.00M,-109.00M,,,,,,-482.00M,933.00M,451.00M,,,-121.00M,-121.00M,,-39.00M,-39.00M,,-59.00M,486.00M,267.00M,,,627.00M,18.00M,,,,,,-39.00M,,,,,
1990-03,42.00M,,,,,,,,-304.00M,-163.00M,,283.00M,,283.00M,,403.00M,141.00M,,,,,,-280.00M,-664.00M,-944.00M,,,381.00M,381.00M,,-29.00M,-29.00M,,-58.00M,81.00M,375.00M,,733.00M,-426.00M,2.00M,,,,,,-29.00M,,,,,
