,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,5.892M,,,,,,,19.89M,19.89M,,-0.465M,,,0.529M,3.43M,10.58M,3.43M,6.228M,-10.24M,13.43M,39.27M,,-36.56M,0.288M,-36.28M,,0.06M,-2.354M,-38.57M,,-15.98M,-40.26M,-56.24M,87.32M,,74.29M,,,,-14.97M,-3.491M,-18.46M,,,-0.409M,,11.07M,0.293M,11.37M,,87.32M,0.00,-15.98M,,,,,AOR,Restated
2006-03,5.126M,,,,,,,19.12M,19.12M,,-0.465M,,,1.391M,,-5.128M,,,1.359M,-3.769M,21.41M,,-60.00M,0.801M,-59.20M,,0.077M,-0.665M,-59.79M,,-1.424M,41.92M,40.49M,,,13.03M,,,,-14.64M,-3.49M,-18.13M,,,35.39M,,14.06M,-2.991M,11.07M,,,13.24M,-14.66M,,,,,AOR,Restated
2005-12,3.723M,,,,,,,20.50M,20.50M,,-0.465M,,,2.235M,-3.50M,-1.427M,-1.233M,-1.396M,4.927M,-2.629M,23.36M,,-10.86M,-0.101M,-10.96M,,-14.80M,14.90M,-10.85M,,-1.012M,0.88M,-0.132M,9.626M,,9.626M,,,,1.899M,-3.491M,-1.592M,,-16.44M,-8.541M,,10.09M,3.971M,14.06M,,9.626M,8.365M,-9.377M,,,,,AOR,
2005-09,3.615M,,,,,,,19.48M,19.48M,,-0.465M,,,8.755M,-4.33M,5.799M,-6.597M,5.923M,-10.84M,-10.04M,21.34M,,-64.25M,1.358M,-62.89M,,0.04M,,-62.85M,,-0.967M,54.68M,53.72M,8.882M,,8.882M,,,,34.05M,-3.49M,30.56M,,-48.17M,44.99M,,6.616M,3.477M,10.09M,,8.882M,0.00,-0.967M,,,,,AOR,Restated
2005-06,8.193M,,0.318M,,0.318M,,,18.58M,18.58M,,-0.465M,,,-16.66M,4.428M,8.081M,4.428M,8.274M,,25.21M,35.17M,,-6.422M,8.408M,1.986M,,14.76M,-0.218M,16.52M,,-0.826M,-38.46M,-39.29M,5.872M,,5.872M,,,,-14.03M,-3.635M,-17.67M,,,-51.09M,,6.009M,0.607M,6.616M,,5.872M,0.00,-0.826M,,,,,AOR,Restated
2005-03,4.326M,,-0.318M,,-0.318M,,,18.51M,18.51M,,-0.467M,,,3.784M,-0.098M,-3.042M,-0.098M,-2.782M,,-6.02M,19.81M,,-51.41M,0.024M,-51.39M,,,0.218M,-51.17M,,18.50M,12.13M,30.63M,15.08M,,15.08M,,,,-13.76M,-3.713M,-17.47M,,,28.23M,,9.133M,-3.124M,6.009M,,15.08M,19.49M,-0.987M,,,,,AOR,Restated
2004-12,11.84M,,,,,,,18.04M,18.04M,,-0.277M,,,-9.339M,2.161M,-7.242M,2.161M,-6.713M,5.081M,-4.552M,15.71M,,-86.93M,11.11M,-75.83M,,,6.661M,-69.17M,,34.19M,27.91M,62.11M,10.20M,,10.14M,,,,-60.32M,-3.706M,-64.03M,,46.32M,54.54M,,9.406M,1.084M,9.133M,,10.20M,55.05M,-20.86M,,,,,AOR,
2004-09,3.314M,,,,,,,17.62M,17.62M,,-0.17M,,,0.894M,-9.988M,6.174M,-9.988M,6.294M,3.17M,-4.338M,17.32M,,-34.65M,0.215M,-34.44M,,0.00,-0.684M,-35.12M,,-61.87M,60.68M,-1.189M,6.693M,,6.693M,,,,32.83M,-3.707M,29.12M,,-46.32M,-11.70M,,38.91M,-29.50M,9.406M,,6.693M,-34.42M,-27.45M,,,,,AOR,Restated
2004-06,4.992M,,,,,,,17.28M,17.28M,,-0.358M,,,5.744M,5.785M,0.366M,5.785M,6.517M,-11.79M,6.667M,34.32M,,-25.94M,2.028M,-23.91M,,,0.396M,-23.52M,,-3.14M,39.31M,36.17M,0.619M,,0.619M,,,,-13.28M,-3.706M,-16.99M,,,19.80M,,8.30M,30.61M,38.91M,,0.619M,48.70M,-51.84M,,,,,AOR,Restated
2004-03,5.055M,,,,,,,17.47M,17.47M,,-0.77M,,,-7.166M,5.951M,0.04M,5.951M,-5.94M,0.288M,6.29M,20.88M,,-43.19M,2.33M,-40.86M,,,0.288M,-40.58M,,-34.84M,61.59M,26.75M,7.901M,,7.901M,,,,-13.10M,-3.706M,-16.80M,,,17.85M,,10.15M,-1.852M,8.30M,,7.901M,22.10M,-56.94M,,,,,AOR,Restated
2003-12,3.974M,,,,,,,17.52M,17.52M,,,,,0.525M,,1.333M,,,-1.992M,-5.711M,16.31M,,-50.38M,1.097M,-49.28M,,,-26.17M,-49.21M,,0.713M,218.40M,219.11M,,,60.04M,,0.006M,149.89M,44.73M,-4.027M,40.70M,,-432.27M,37.47M,,5.576M,4.576M,10.15M,,,11.34M,-10.63M,-0.041M,,,,AOR,Restated
2003-09,6.801M,,,,,,,14.49M,14.49M,,0.00,,,-3.005M,,-0.90M,,,0.033M,-0.867M,17.42M,,-39.26M,4.847M,-34.41M,,,-21.79M,-56.20M,,-5.482M,-175.40M,-180.88M,,,-2.848M,,-148.50M,-148.50M,-11.57M,-3.542M,-15.12M,,373.94M,26.59M,,17.77M,-12.19M,5.576M,,,0.001M,-5.483M,-148.50M,,,,AOR,Restated
2003-06,5.105M,,,,,,,14.53M,14.53M,,0.00,,,0.346M,,8.536M,,,1.116M,9.652M,29.63M,,-29.88M,20.30M,-9.579M,,,-0.112M,-9.691M,,0.905M,5.00M,5.905M,,,2.156M,,,,-12.07M,-3.925M,-15.99M,,,-7.931M,,5.759M,12.01M,17.77M,,,14.73M,-13.82M,,,,,AOR,Restated
2003-03,4.326M,,,,,,,14.54M,14.54M,,0.00,,,0.272M,,-4.913M,,,1.656M,-3.257M,15.88M,,-25.26M,,-25.26M,,,0.42M,-24.84M,,-151.00M,170.40M,19.40M,,,0.692M,,,,-12.04M,-3.925M,-15.97M,,,4.12M,,10.59M,-4.835M,5.759M,,,0.00,-151.00M,,,,,AOR,Restated
2002-12,4.386M,,-5.964M,,-5.964M,,,14.56M,14.56M,,,,,6.565M,6.201M,-2.171M,6.201M,3.655M,-9.994M,3.892M,23.44M,,-30.79M,36.89M,6.097M,,,-27.37M,15.62M,,-21.49M,-0.217M,-21.71M,0.489M,0.00,0.489M,,,,-12.01M,-3.944M,-15.96M,,21.28M,-42.64M,,14.18M,-3.584M,10.59M,,21.77M,11.90M,-33.39M,-48.04M,,,,AOR,Restated
2002-09,3.796M,,5.964M,,5.964M,,,14.94M,14.94M,,,,,-5.593M,-2.998M,4.249M,-2.998M,-1.814M,4.713M,1.152M,20.26M,,-26.46M,0.00,-26.46M,,,-14.08M,-40.54M,,-10.98M,44.82M,33.84M,0.386M,0.17M,0.556M,,,,-12.01M,-4.028M,-16.04M,,,18.36M,,16.10M,-1.925M,14.18M,,0.386M,0.00,-10.98M,0.17M,,,,AOR,
2002-06,4.998M,,,,,,,14.19M,14.19M,,,,,-3.055M,-2.813M,5.298M,-2.813M,5.427M,0.805M,5.904M,22.03M,,-5.971M,,-5.971M,,,0.155M,-5.816M,,-12.09M,16.02M,3.926M,-0.565M,-0.17M,-0.735M,,,,-23.85M,-8.057M,-15.97M,,0.143M,-12.64M,,12.52M,3.582M,16.10M,,-0.565M,-5.00M,-7.094M,-0.17M,,,,AOR,
2002-03,4.30M,,,,,,,14.29M,14.29M,,,,,3.336M,0.504M,-3.794M,0.504M,-3.794M,,-6.58M,15.35M,,-3.41M,,-3.41M,,,-0.034M,-3.444M,,3.943M,,3.943M,0.565M,,0.565M,,,,,,-15.94M,,-0.143M,-11.57M,,12.19M,0.329M,12.52M,,0.565M,5.00M,-1.057M,,,,,AOR,
2001-12,6.552M,,,,,,,13.70M,13.70M,,,,,-1.497M,5.702M,-4.737M,5.702M,-4.822M,-0.965M,0.88M,19.64M,,-6.356M,0.326M,-6.03M,,,-0.025M,-6.055M,,10.12M,-6.999M,3.125M,0.50M,0.269M,0.769M,,,,-11.90M,-4.028M,-15.93M,,,-12.04M,,10.65M,1.546M,12.19M,,0.50M,22.28M,-12.15M,0.269M,,,,AOR,Restated
2001-09,13.27M,,,,,,,13.45M,13.45M,,,,,-7.827M,-3.506M,13.14M,-3.506M,13.01M,-9.632M,9.508M,28.40M,,-8.289M,12.26M,3.966M,,,0.061M,4.027M,,-8.671M,-7.707M,-16.38M,0.45M,-0.671M,-0.221M,,,,-11.91M,-4.028M,-15.94M,,,-32.53M,,10.75M,-0.107M,10.65M,,0.45M,47.63M,-56.30M,-0.671M,,,,AOR,
2001-06,5.045M,,,,,,,13.73M,13.73M,,,,,0.196M,0.341M,4.213M,0.341M,4.315M,-4.554M,4.656M,23.63M,,-12.36M,-0.60M,-12.96M,,,0.087M,-12.87M,,6.587M,2.274M,8.861M,0.096M,-0.04M,0.056M,,,,-11.92M,-4.029M,-15.95M,,-11.84M,-18.87M,,18.86M,-8.11M,10.75M,,0.096M,29.32M,-22.73M,-0.04M,,,,AOR,
2001-03,4.861M,,,,,,,13.53M,13.53M,,,,,0.209M,6.757M,-6.385M,6.757M,-6.375M,-0.372M,0.382M,18.98M,,-9.112M,0.60M,-8.512M,,,0.166M,-8.346M,,-1.289M,,-1.289M,0.42M,-2.838M,-2.418M,,,,-11.97M,-4.028M,-15.99M,,11.84M,-7.864M,,16.10M,2.768M,18.86M,,0.42M,11.42M,-12.71M,-2.838M,,,,AOR,
2000-12,6.20M,,,,,,,13.60M,13.60M,,,,,-0.639M,-0.227M,-3.102M,-0.227M,-3.232M,3.329M,-3.459M,15.70M,,-14.81M,7.794M,-7.014M,,,-58.35M,-6.934M,,-12.77M,16.92M,4.148M,0.695M,-0.006M,0.689M,0.00,,0.00,-11.85M,-4.027M,-15.88M,,,-11.04M,,18.37M,-2.278M,16.10M,,0.695M,-10.74M,-2.029M,-0.006M,,,,AOR,Restated
2000-09,5.627M,,,,,,,13.36M,13.36M,,,,,-0.753M,-4.899M,6.249M,-4.899M,6.192M,-1.35M,1.293M,19.52M,,-8.285M,6.071M,-2.214M,,,-7.538M,-9.752M,,83.25M,-72.72M,10.54M,0.332M,-2.404M,-2.072M,,,,-11.85M,-4.029M,-15.88M,,,-7.412M,,16.01M,2.36M,18.37M,,0.332M,85.74M,-2.488M,-2.404M,,,,AOR,
2000-06,10.79M,,,,,-14.17M,-0.137M,13.34M,13.34M,,,,,-4.882M,-2.146M,2.20M,-2.146M,2.271M,-0.054M,0.125M,19.38M,,-41.19M,31.79M,-9.404M,,,7.73M,-1.674M,,-11.76M,23.40M,11.64M,1.274M,-2.959M,-1.685M,0.00,,0.00,-11.96M,-4.028M,-15.99M,,-13.92M,-19.96M,,18.27M,-2.257M,16.01M,,1.274M,0.00,-11.76M,-2.959M,,,,AOR,
2000-03,7.372M,,,,,14.17M,0.137M,14.31M,14.31M,,,,,-2.41M,-0.138M,-2.554M,-0.138M,-2.566M,2.692M,-2.704M,16.57M,,-21.37M,12.77M,-8.597M,,,-0.005M,-8.602M,,-1.465M,,-1.465M,0.433M,-0.721M,-0.288M,,,,-11.93M,-4.03M,-15.96M,,13.92M,-3.788M,,14.09M,4.178M,18.27M,,0.433M,0.00,-1.465M,-0.721M,,,,AOR,
1999-12,9.40M,,,,,,,13.50M,13.50M,,,,,6.10M,-7.20M,-2.90M,-7.20M,-2.90M,,-20.20M,8.80M,,42.40M,,42.40M,,,-27.20M,15.20M,,-30.70M,,25.70M,2.20M,,-30.90M,,,,,,-9.80M,,-9.20M,-24.20M,,14.40M,-0.20M,14.10M,,2.20M,0.00,-30.70M,,,,,AOR,
1999-09,10.50M,,,,,,,13.30M,13.30M,,,,,-11.80M,0.40M,7.20M,0.40M,7.20M,,15.20M,27.20M,,-23.60M,,-23.60M,,,26.20M,2.60M,,-10.70M,,-10.70M,-1.60M,,-1.60M,,,,,,-20.00M,,3.30M,-29.00M,,13.60M,0.80M,14.40M,,-1.60M,0.00,-10.70M,,,,,,
1999-06,2.70M,,,,,,,13.30M,13.30M,,,,,1.10M,1.30M,1.50M,1.30M,1.50M,,5.60M,22.70M,,-28.40M,,-28.40M,,,31.20M,2.80M,,-10.90M,,-10.90M,1.90M,,1.90M,,,,,,-13.20M,,-4.00M,-26.20M,,14.20M,-0.70M,13.60M,,1.90M,0.00,-10.90M,,,,,,
1999-03,11.00M,,,,,,,13.20M,13.20M,,,,,0.90M,-2.40M,-2.00M,-2.40M,-2.00M,,-8.80M,16.30M,,-24.80M,,-24.80M,,,43.30M,18.50M,,-11.90M,,-11.90M,1.00M,,1.00M,,,,,,-16.60M,,-0.30M,-27.80M,,7.20M,7.00M,14.20M,,1.00M,11.80M,-23.70M,,,,,,
1998-12,6.847M,,,,,,,12.87M,12.87M,,,,,4.067M,-1.60M,-5.045M,-1.60M,-1.80M,,-4.478M,19.30M,,-52.83M,,-47.41M,,,-5.40M,-52.81M,,-57.77M,,14.02M,0.686M,,0.686M,24.82M,,24.82M,,,-15.45M,,5.15M,29.23M,,11.50M,-4.268M,7.237M,,25.51M,-44.40M,-13.37M,,,,,AOR,Restated
1998-09,7.10M,,,,,,,12.10M,12.10M,,,,,-2.80M,-0.70M,4.10M,-0.70M,4.10M,,6.80M,23.20M,,-82.70M,,-82.70M,,,-0.10M,-82.80M,,74.10M,,74.10M,0.30M,,0.30M,-0.30M,,-0.30M,,,-18.60M,,2.90M,58.40M,,12.70M,-1.20M,11.50M,,0.00,58.40M,15.70M,,,,,,
1998-06,6.80M,,,,,,,11.90M,11.90M,,,,,-3.70M,3.00M,1.00M,3.00M,1.00M,,8.00M,23.00M,,-31.40M,,-31.40M,,,5.50M,-25.90M,,-31.90M,,-31.90M,6.10M,,6.10M,48.30M,,48.30M,,,-12.50M,,-6.80M,3.20M,,,-2.10M,12.70M,,54.40M,9.20M,-41.10M,,,,,,
1998-03,7.00M,,,,,,,11.50M,11.50M,,,,,4.40M,-0.70M,-3.30M,-0.70M,-3.30M,,-8.00M,14.90M,,-37.10M,,-37.10M,,,,-37.10M,,30.70M,,30.70M,2.50M,,2.50M,,,,,,-12.00M,,-1.40M,19.80M,,14.80M,,,,2.50M,209.60M,-178.90M,,,,,,
1997-12,7.10M,,,,,,,8.80M,8.80M,,,,,9.60M,-0.40M,-8.40M,-0.40M,-8.40M,,-17.60M,7.90M,,0.10M,,0.10M,,,,-41.70M,,-101.90M,14.80M,-87.10M,99.20M,,99.20M,,,,,,-6.70M,,-9.20M,42.80M,,,,14.80M,,145.80M,146.40M,-248.30M,,,,,AOR,
1997-09,4.30M,,,,,,,7.00M,7.00M,,,,,-1.10M,-2.10M,3.70M,-2.10M,3.70M,,3.20M,13.40M,,-17.40M,,-17.40M,,,,-17.40M,,23.60M,-9.80M,13.80M,0.10M,,0.10M,,,,,,-12.30M,,2.90M,4.50M,,,,,,0.10M,41.10M,-17.50M,,,,,,
1997-06,4.50M,,,,,,,6.70M,6.70M,,,,,-2.00M,0.10M,3.10M,0.10M,3.10M,,6.40M,15.60M,,-41.20M,,-41.20M,,,,-41.20M,,23.70M,9.80M,33.50M,4.00M,,4.00M,,,,,,-8.40M,,-1.40M,27.70M,,,,,,4.00M,,23.70M,,,,,,
1997-03,3.90M,,,,,,,6.20M,6.20M,,,,,3.80M,-0.20M,-2.80M,-0.20M,-2.80M,,-6.00M,7.90M,,-38.00M,,-38.00M,,,,-38.00M,,-24.90M,,-24.90M,62.60M,,62.60M,,,,,,-7.00M,,-1.50M,29.20M,,4.10M,,,,62.60M,,-24.90M,,,,,,
1996-12,3.86M,,,,,,,5.943M,5.943M,,,,,-0.927M,2.20M,-0.658M,2.20M,-0.70M,,3.042M,11.92M,,-26.23M,,-26.23M,,17.10M,-9.104M,-18.24M,,-43.68M,,-31.28M,0.071M,,0.071M,,,,,,-6.812M,,-2.356M,7.425M,,,,4.053M,,47.87M,-37.95M,-5.727M,,,,,AOR,
1996-09,2.90M,,,,,,,5.60M,5.60M,,,,,-8.00M,6.10M,2.50M,6.10M,2.50M,,17.20M,17.70M,,-47.00M,,-47.00M,,-16.80M,20.00M,-43.80M,,32.50M,,32.50M,0.10M,,0.10M,,,,,,-9.30M,,3.30M,26.60M,,,,,,0.10M,32.30M,0.20M,,,,,,
1996-06,4.50M,,,,,,,5.40M,5.40M,,,,,4.30M,-7.20M,2.00M,-7.20M,2.00M,,-10.40M,3.80M,,0.10M,,0.10M,,16.80M,-6.50M,10.40M,,-7.00M,,-7.00M,0.00,,0.00,,,,,,-5.60M,,-1.20M,-13.80M,,,,,,0.00,-16.80M,9.80M,,,,,,
1996-03,3.00M,,,,,,,5.30M,5.30M,,,,,5.10M,-2.60M,-1.80M,-2.60M,-1.80M,,-8.80M,4.60M,,-14.40M,,-14.40M,,,-4.40M,-18.80M,,20.80M,,20.80M,0.10M,,0.10M,,,,,,-5.60M,,-2.10M,13.20M,,3.00M,,,,0.10M,39.50M,-18.70M,,,,,,
1995-12,3.10M,,,,,,,5.10M,5.10M,,,,,3.30M,-0.80M,-1.90M,-0.80M,-1.90M,,-5.40M,6.10M,,-19.40M,,-19.40M,,,69.40M,50.00M,,8.90M,,8.90M,-58.10M,,-58.10M,,,,,,-4.50M,,-1.80M,-55.50M,,,,,,-58.10M,14.50M,-5.60M,,,,,,
1995-09,2.70M,,,,,,,4.70M,4.70M,0.10M,,,,-6.90M,5.70M,2.10M,5.70M,2.10M,,15.60M,16.20M,,0.00,,0.00,,,-6.20M,-6.20M,,-4.10M,,-4.10M,0.00,,0.00,,,,,,-5.20M,,-1.20M,-10.50M,,,,,,0.00,-3.30M,-0.80M,,,,,,
1995-06,2.20M,,,,,,,3.80M,3.80M,-0.10M,,,,0.10M,0.90M,-0.50M,0.90M,-0.50M,,0.80M,6.80M,,-0.10M,,-0.10M,,,-63.00M,-63.10M,,2.90M,,2.90M,58.40M,,58.40M,,,,,,-4.30M,,-1.30M,55.70M,,,,,,58.40M,7.00M,-4.10M,,,,,,
1995-03,1.80M,,,,,,,3.70M,3.70M,,,,,0.80M,-0.70M,0.50M,-0.70M,0.50M,,-0.40M,5.90M,,-15.50M,,-15.50M,,,-5.00M,-20.50M,,18.70M,,18.70M,,,,,,,,,-4.30M,,-1.20M,13.20M,,5.00M,,,,,19.10M,-0.40M,,,,,,
