,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-06,77.53M,72.52M,,,2.163M,2.163M,18.24M,0.489M,-0.09M,-54.02M,,,,81.50M,48.38M,24.13M,,,,3.069M,,,,18.99M,-0.047M,,-0.778M,3.635M,8.193M,6.399M,42.87M,18.58M,24.13M,,0.22,-0.01,,,0.1338,0.21,,0.21,-0.01,,,0.1248,0.21,,21.35M,21.62M,0.585,,AOR,Restated
2005-03,72.17M,71.69M,,,2.656M,2.656M,18.05M,0.46M,,-53.60M,,,,80.11M,47.68M,24.02M,,,,0.321M,,,,18.55M,-0.254M,,-0.26M,3.713M,4.326M,4.387M,42.53M,18.51M,24.02M,,0.04,-0.01,,,0.0308,0.03,,0.04,-0.01,,,0.0309,0.03,,20.93M,21.21M,0.585,,AOR,Restated
2004-12,72.48M,68.69M,,,2.401M,2.401M,17.59M,0.452M,,-51.61M,,,,77.85M,46.68M,22.01M,,,,3.636M,,,,-30.32M,5.611M,,-0.846M,3.706M,12.02M,4.227M,40.05M,18.04M,22.01M,,0.14,0.27,,,0.0342,0.41,,0.13,0.27,,,0.0260,0.40,,20.61M,20.97M,0.585,,AOR,
2004-09,67.97M,67.53M,,,1.953M,1.953M,17.18M,0.436M,,-51.45M,,,,78.48M,46.60M,20.93M,,,,0.286M,,,,16.57M,-0.054M,,-0.464M,3.707M,3.131M,3.013M,38.54M,17.62M,20.93M,,-0.03,0.00,,,-0.0384,-0.03,,-0.03,0.00,,,-0.0384,-0.03,,20.34M,20.34M,0.585,,AOR,Restated
2004-06,67.10M,66.07M,,,2.515M,2.515M,16.87M,0.405M,,-50.02M,,,,74.30M,44.08M,21.98M,,,,0.896M,,,,16.46M,0.473M,,0.534M,3.706M,4.992M,3.981M,39.26M,17.28M,21.98M,,0.04,0.02,,,0.0135,0.06,,0.04,0.02,,,0.0139,0.06,,20.28M,20.58M,0.585,,AOR,Restated
2004-03,67.31M,65.50M,,,2.371M,2.371M,17.01M,0.46M,,-49.42M,,,,73.62M,44.04M,21.46M,,,,1.669M,,,,16.54M,-0.076M,,0.42M,3.706M,5.055M,4.130M,38.93M,17.47M,21.46M,,0.07,0.00,,,0.0200,0.07,,0.07,0.00,,,0.0208,0.07,,20.04M,20.36M,0.585,,AOR,Restated
2003-12,59.42M,59.42M,,,,,15.00M,,,,,,,,-56.71M,116.13M,,,,,,,,-29.48M,,,,,4.305M,5.895M,133.66M,17.52M,116.13M,,-0.02,0.03,,,-0.02,0.01,,-0.02,0.03,,,-0.02,0.01,,19.61M,19.61M,0.585,,AOR,Restated
2003-09,59.33M,59.33M,,,,1.749M,14.60M,0.461M,,,,,,23.54M,40.34M,18.99M,,,,,,,,15.02M,1.744M,,,,6.47M,4.726M,34.05M,14.49M,18.99M,,-0.26,0.09,,,-0.26,-0.17,,-0.26,0.09,,,-0.26,-0.17,,18.30M,18.30M,0.585,,AOR,Restated
2003-06,58.08M,58.08M,,,,1.774M,13.98M,0.504M,,,,,,21.48M,37.74M,20.34M,,,,,,,,16.27M,-0.061M,,-0.206M,3.925M,5.105M,5.166M,34.86M,14.53M,20.34M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,17.82M,18.05M,0.585,,AOR,Restated
2003-03,57.78M,57.78M,,,,1.826M,13.88M,0.624M,,,,,,20.61M,36.93M,20.84M,,,,,,,,16.76M,0.009M,,-0.133M,3.925M,4.326M,4.317M,35.38M,14.54M,20.84M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,17.75M,17.92M,0.585,,AOR,Restated
2002-12,55.23M,55.66M,,,,,,,,,,,,,,176.27M,,,,,,,,2.335M,,,-0.022M,3.944M,3.074M,3.02M,190.83M,14.56M,176.27M,,-0.21,0.04,,,-0.21,-0.17,,-0.21,0.04,,,-0.21,-0.17,,17.71M,17.71M,0.585,,AOR,Restated
2002-09,58.07M,58.19M,,,1.686M,1.686M,14.25M,0.69M,,-41.58M,,,,66.54M,41.58M,16.61M,,,,-0.128M,,,,3.796M,,0.001M,-0.028M,4.028M,3.797M,3.872M,31.55M,14.94M,16.61M,,-0.01,0.00,0.00,0.0001,-0.0056,-0.01,,-0.01,0.00,0.0001,0.0001,-0.0056,-0.01,,17.58M,17.58M,0.585,,AOR,
2002-06,57.36M,56.86M,,,1.511M,1.511M,13.65M,0.664M,,-39.75M,,,,63.68M,39.75M,17.11M,,,,0.501M,,,,4.998M,,-0.028M,-0.251M,4.029M,4.97M,4.725M,31.42M,14.19M,17.11M,,0.06,-0.01,0.00,-0.0016,0.0428,0.05,,0.05,-0.01,-0.0016,-0.0016,0.0331,0.05,,17.50M,17.75M,0.585,,AOR,
2002-03,57.23M,57.23M,,,6.485M,6.485M,,,,-40.48M,,,,,-34.00M,91.23M,,,,0.064M,,,,4.30M,,,0.087M,4.028M,4.30M,4.262M,105.52M,14.29M,91.23M,,0.02,0.00,,,0.0178,0.02,,0.02,0.00,,,0.0178,0.02,,17.46M,17.60M,0.585,,AOR,
2001-12,56.12M,56.12M,,,,,,,,,,,,,,172.47M,,,,,,,,5.51M,,,-0.313M,4.028M,6.145M,5.51M,186.17M,13.70M,172.47M,,0.08,0.04,,,0.08,0.12,,0.08,0.04,,,0.08,0.12,,17.43M,17.57M,0.585,,AOR,Restated
2001-09,57.18M,57.18M,,,1.514M,1.514M,12.92M,0.53M,,,,,,23.97M,38.93M,18.25M,,,,,,,,13.27M,,-0.183M,-1.853M,4.028M,13.09M,13.27M,31.70M,13.45M,18.25M,,0.53,-0.01,0.00,,0.53,0.52,,0.53,-0.01,-0.0105,,0.53,0.52,,17.41M,17.57M,0.585,,AOR,
2001-06,58.10M,58.11M,,,1.472M,1.472M,13.09M,0.636M,,-39.06M,,,,62.93M,39.06M,19.04M,,,,-0.005M,,,,5.045M,,-0.443M,-0.149M,4.029M,4.602M,5.491M,32.77M,13.73M,19.04M,,0.06,-0.03,0.00,-0.0255,0.0602,0.03,,0.06,-0.03,-0.0255,-0.0255,0.0602,0.03,,17.40M,17.48M,0.585,,AOR,
2001-03,56.78M,56.61M,,,1.441M,1.441M,13.00M,0.529M,,-38.36M,,,,61.75M,38.36M,18.25M,,,,0.169M,,,,4.861M,,,0.102M,4.028M,4.861M,4.760M,31.78M,13.53M,18.25M,,0.05,0.00,,,0.0442,0.05,,0.05,0.00,,,0.0442,0.05,,17.48M,17.51M,0.585,,AOR,
2000-12,54.18M,54.18M,,,,,12.04M,,,,,,,,-63.94M,118.12M,,,,,,,,5.793M,,,-0.307M,4.027M,6.20M,5.793M,131.72M,13.60M,118.12M,,0.10,0.03,,,0.10,0.13,,0.10,0.03,,,0.10,0.13,,17.48M,17.51M,0.58,,AOR,Restated
2000-09,58.06M,56.94M,,,3.70M,3.70M,12.74M,0.62M,,-39.09M,,,,61.12M,39.09M,17.85M,,,,1.119M,,,,5.627M,,0.00,-0.337M,4.028M,5.627M,4.956M,31.21M,13.36M,17.85M,,0.09,0.00,0.00,,0.0516,0.09,,0.09,0.00,0.00,,0.0518,0.09,,17.48M,17.57M,0.58,,AOR,
2000-06,55.60M,55.60M,,,3.746M,3.746M,12.66M,0.819M,,,,,,20.26M,37.48M,18.12M,,,,,,,,10.79M,,-0.148M,,4.029M,10.64M,10.79M,31.60M,13.34M,18.12M,,0.38,-0.01,0.00,,0.38,0.37,,0.38,-0.01,-0.0084,,0.38,0.37,,17.58M,17.65M,0.58,,AOR,
2000-03,55.41M,55.41M,,,3.78M,3.78M,13.46M,0.714M,,,,,,32.53M,50.49M,4.921M,,,,,,,,7.372M,,,,4.03M,7.316M,7.316M,19.23M,14.31M,4.921M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,17.63M,17.66M,0.58,,AOR,
1999-12,66.00M,66.00M,,,20.60M,20.60M,,,,-38.40M,,,,,-17.80M,83.80M,,,,4.70M,,,,9.40M,,,0.80M,4.00M,9.40M,9.40M,97.30M,13.50M,83.80M,,0.29,0.00,,-0.0000,0.29,0.29,,0.29,0.00,,-0.0000,0.29,0.29,,18.59M,18.59M,0.575,,AOR,
1999-09,57.00M,57.00M,,,6.30M,6.30M,,,5.10M,-38.60M,,,,,-32.30M,89.30M,,,,5.10M,,,,10.50M,,,0.90M,4.00M,10.50M,7.44M,102.60M,13.30M,89.30M,,0.34,0.00,,,0.1799,0.34,,0.34,0.00,,,0.1799,0.34,,19.12M,19.12M,0.575,,,
1999-06,52.00M,52.00M,,,6.30M,6.30M,,,,-37.50M,,,,,-31.20M,83.20M,,,,-4.40M,,,,2.70M,,,-0.40M,4.00M,2.70M,5.34M,96.50M,13.30M,83.20M,,-0.07,0.00,,,0.0722,-0.07,,-0.07,0.00,,,0.0722,-0.07,,18.57M,18.57M,0.575,,,
1999-03,61.81M,61.81M,,,6.50M,6.50M,,,,-37.60M,,,,,-31.10M,92.91M,,,,4.70M,,,,11.00M,,,1.20M,4.00M,10.90M,8.18M,106.11M,13.20M,92.91M,,0.37,0.00,,-0.0054,0.2188,0.37,,0.37,0.00,,-0.0054,0.2188,0.37,,18.65M,18.65M,0.575,,,
1998-12,55.84M,55.84M,,,,-5.84M,,,,,,,,,225.15M,-169.30M,,,,,,,,6.847M,,,0.454M,3.43M,6.857M,6.847M,-156.43M,12.87M,-169.30M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,19.12M,19.30M,0.55,,AOR,Restated
1998-09,56.10M,56.10M,,,6.30M,6.30M,,,,-36.70M,,,,,-30.40M,86.50M,,,,,,,,7.20M,,,0.60M,3.40M,7.20M,7.20M,98.60M,12.10M,86.50M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,19.00M,19.00M,0.55,,,
1998-06,52.60M,52.60M,,,6.00M,6.00M,,,,-33.50M,,,,,-27.50M,80.10M,,,,0.40M,,,,6.70M,,,0.70M,2.30M,6.10M,6.46M,92.00M,11.90M,80.10M,,0.24,-0.04,,-0.0316,0.2274,0.20,,0.24,-0.04,,-0.0316,0.2274,0.20,,19.00M,19.00M,0.55,,,
1998-03,51.00M,51.00M,,,5.50M,5.50M,,,,-32.50M,,,,,-27.00M,78.00M,,,,,,,,7.00M,,,0.40M,2.30M,6.60M,7.00M,89.50M,11.50M,78.00M,,0.26,-0.02,,-0.0223,0.26,0.24,,0.26,-0.02,,-0.0223,0.26,0.24,,17.92M,17.92M,0.55,,,
1997-12,42.10M,42.10M,,,6.20M,6.20M,,,,-26.20M,,,,,-20.00M,62.10M,,,,,,,,7.10M,,,0.10M,1.70M,-1.50M,7.10M,70.90M,8.80M,62.10M,,-0.1732,,,,-0.1732,-0.1732,,-0.1732,,,,-0.1732,-0.1732,,18.48M,18.48M,0.535,,AOR,
1997-09,34.40M,34.40M,,,5.40M,5.40M,,,,-22.10M,,,,,-16.70M,51.10M,,,,,,,,4.30M,,,0.80M,1.20M,4.30M,4.30M,58.10M,7.00M,51.10M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,11.32M,11.32M,0.535,,,
1997-06,32.70M,32.70M,,,5.10M,5.10M,,,,-20.70M,,,,,-15.60M,48.30M,,,,,,,,4.60M,,,0.90M,1.20M,4.60M,4.60M,55.00M,6.70M,48.30M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,12.59M,12.59M,0.535,,,
1997-03,29.80M,29.80M,,,4.50M,4.50M,,,,-18.60M,,,,,-14.10M,43.90M,,,,,,,,3.90M,,,0.80M,1.20M,3.90M,3.90M,50.10M,6.20M,43.90M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,10.38M,10.38M,0.535,,,
1996-12,29.50M,27.28M,,,-6.946M,-6.946M,,,,-18.30M,,,,,135.99M,-108.71M,,,,0.30M,,,,3.86M,,,0.90M,,3.86M,3.68M,-102.77M,5.943M,-108.71M,,0.26,0.00,,,0.2437,0.26,,0.26,0.00,,,0.2437,0.26,,11.03M,11.03M,0.51,,AOR,
1996-09,28.30M,28.30M,,,4.50M,4.50M,,,,-18.10M,,,,,-13.60M,41.90M,,,,,,,,2.80M,,,0.60M,,2.80M,2.80M,47.50M,5.60M,41.90M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,10.77M,10.77M,0.51,,,
1996-06,29.30M,29.30M,,,4.20M,4.20M,,,,-17.20M,,,,,-13.00M,42.30M,,,,2.00M,,,,4.60M,,,1.00M,,4.60M,3.40M,47.70M,5.40M,42.30M,,0.42,0.00,,,0.3104,0.42,,0.42,0.00,,,0.3104,0.42,,10.95M,10.95M,0.51,,,
1996-03,27.10M,27.10M,,,4.40M,4.40M,,,,-17.30M,,,,,-12.90M,40.00M,,,,,,,,3.00M,,,0.70M,,3.00M,3.00M,45.30M,5.30M,40.00M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,11.11M,11.11M,0.51,,,
1995-12,27.10M,27.10M,,,4.10M,4.10M,,,,-17.00M,,,,,-12.90M,40.00M,,,,,,,,3.10M,,,0.70M,,3.10M,3.10M,45.10M,5.10M,40.00M,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,10.89M,10.89M,0.50,,,
1995-09,26.40M,26.40M,,,4.00M,4.00M,,,,-17.00M,,,,,-13.00M,39.40M,,,,,,,,2.70M,,,0.60M,,2.70M,2.70M,44.10M,4.70M,39.40M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,10.80M,10.80M,0.50,,,
1995-06,21.10M,21.10M,,,3.20M,3.20M,,,,-13.00M,,,,,-9.80M,30.90M,,,,,,,,2.20M,,,0.70M,,2.20M,2.20M,34.70M,3.80M,30.90M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,8.80M,8.80M,0.50,,,
1995-03,20.30M,20.30M,,,3.20M,3.20M,,,,-12.80M,,,,,-9.60M,29.90M,,,,,,,,1.80M,,,0.50M,,1.80M,1.80M,33.60M,3.70M,29.90M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,8.571M,8.571M,0.50,,,
1994-12,18.60M,18.60M,,,,,,,,,,,,,,41.90M,,,,,,,,2.40M,,,,,2.40M,2.40M,41.90M,,41.90M,,0.26,0.00,,-0.0094,0.26,0.26,,0.26,0.00,,-0.0094,0.26,0.26,,9.323M,9.323M,0.50,,,
1994-09,14.50M,14.50M,,,,,,,,,,,,,,14.50M,,,,,,,,1.60M,,,,,1.60M,1.60M,14.50M,,14.50M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,6.40M,6.40M,0.45,,,
1994-06,10.60M,10.60M,,,,,,,,,,,,,,10.60M,,,,,,,,1.30M,,,,,1.30M,1.30M,10.60M,,10.60M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,7.50M,7.50M,0.26,,,
1994-03,7.70M,7.70M,,,,,,,,,,,,,,7.70M,,,,,,,,1.30M,,,,,1.80M,1.30M,7.70M,,7.70M,,0.17,0.07,,0.0667,0.17,0.24,,0.17,0.07,,0.0667,0.17,0.24,,7.50M,7.50M,,,,
