,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2002-06,97.70M,,,,,127.80M,127.80M,2.70M,,282.70M,,282.70M,,383.00M,611.20M,,,0.00,-576.40M,-2.90M,-579.30M,400.00M,-400.40M,-400.40M,18.80M,-45.00M,-26.20M,,,,-35.80M,386.10M,-76.30M,139.30M,-44.40M,0.50M,95.40M,18.80M,400.00M,,-45.00M
2002-03,87.90M,,,,,136.00M,136.00M,-672.30M,,414.70M,,414.70M,,655.70M,207.30M,,,-2.80M,-157.30M,-8.10M,-168.20M,,2.20M,2.20M,,,,,,,-35.80M,10.10M,-23.50M,123.90M,15.60M,-0.20M,139.30M,,,,
2001-12,86.00M,,,,,,,-2.044B,,,,,,,806.80M,,,-9.00M,-328.20M,-365.60M,-702.80M,-138.60M,149.20M,-391.90M,,,,,,,-36.50M,344.60M,-63.30M,100.60M,40.70M,0.30M,117.90M,,-8.10M,272.90M,
2001-09,127.10M,,,,,,,18.80M,,,,,,,145.90M,,,0.00,-274.60M,45.70M,-228.90M,-33.90M,150.10M,691.20M,,,,,,,-35.00M,-566.50M,89.70M,94.60M,6.70M,-0.70M,100.60M,,8.10M,-445.40M,
2001-06,146.10M,,,,,,,326.70M,,,,,,,472.80M,,,0.00,-448.90M,-11.60M,-460.50M,6.40M,-21.80M,-590.40M,,,,,,,-35.60M,576.40M,-49.60M,130.40M,-37.30M,1.50M,94.60M,,-2.60M,9.00M,
2001-03,182.00M,,,,,,,163.10M,,,,,,,345.10M,,,-10.20M,-303.60M,-12.90M,-326.70M,568.60M,-531.70M,36.90M,,,,,,,-35.50M,5.30M,6.70M,107.10M,25.10M,-1.80M,130.40M,,577.60M,-9.00M,
2000-12,149.60M,,,,,,,-2.17B,,,,,,,314.20M,-94.20M,-94.20M,172.40M,-58.10M,-90.10M,-70.00M,139.60M,-170.10M,-30.50M,,,,,,,-35.60M,-183.40M,-237.90M,100.40M,6.30M,0.40M,107.10M,,-30.80M,170.40M,
2000-09,137.00M,,,,,,,227.30M,,,,,,,364.30M,,,0.00,-248.50M,-10.80M,-259.30M,-62.00M,-19.20M,-81.20M,,,,,,,-35.60M,2.70M,-114.10M,110.30M,-9.10M,-0.80M,100.40M,,8.50M,-70.50M,
2000-06,143.10M,,,,,,,135.20M,,,,,,,278.30M,78.20M,78.20M,-6.20M,260.10M,-383.00M,-50.90M,-44.80M,-171.00M,-215.80M,,,,,,,-35.20M,0.50M,-250.50M,134.10M,-23.10M,-0.70M,110.30M,,9.60M,-54.40M,
2000-03,134.50M,,,,,,,120.20M,,,,,,,254.70M,-78.20M,-78.20M,-166.20M,-589.20M,348.10M,-485.50M,-32.80M,136.50M,103.70M,,,,,,,-35.70M,4.50M,72.50M,292.40M,-158.30M,0.00,134.10M,,12.70M,-45.50M,
1999-12,136.00M,,,,,,,-4.609B,,,,,,,413.50M,,,,-1.730B,1.003B,-726.60M,-454.60M,510.90M,73.00M,,,,,,,-35.50M,359.00M,466.20M,139.10M,153.10M,0.20M,292.40M,,-24.90M,-429.70M,
1999-09,-217.00M,,,,,,,630.10M,,,,,,,413.10M,,,,-421.00M,-5.40M,-426.40M,0.00,32.20M,32.20M,,,,,,,-35.30M,-34.00M,-37.10M,186.80M,-50.40M,2.70M,139.10M,,383.30M,-383.30M,
1999-06,-191.20M,,,,,,,549.30M,,,,,,,358.10M,,,,-161.40M,-29.40M,-190.80M,16.70M,36.70M,36.70M,,,,,,,-34.10M,-116.70M,-114.10M,133.90M,53.20M,-0.30M,186.80M,,-183.30M,200.00M,
1999-03,89.30M,,,,,,,292.70M,,,,,,,382.00M,,,,-191.40M,-19.40M,-210.80M,,112.80M,112.80M,,,,,,,-34.00M,-226.90M,-148.10M,111.20M,23.10M,-0.40M,133.90M,,,,
1998-12,93.00M,,,,,,,-2.228B,-48.90M,1.475B,-48.90M,1.475B,,2.150B,507.10M,,,,-1.817B,1.433B,-326.50M,-846.50M,-115.20M,-1.075B,-288.10M,156.20M,-131.90M,0.00,-156.20M,,-34.00M,1.227B,-170.20M,99.10M,10.40M,1.70M,111.20M,-288.10M,434.30M,-1.281B,0.00
1998-09,186.30M,,,,,,,392.10M,,,,,,,578.40M,,,,-255.80M,-8.50M,-264.30M,400.00M,-507.90M,-507.90M,300.00M,-1.90M,298.10M,300.00M,300.00M,,-34.00M,-388.60M,-332.40M,117.40M,-18.30M,0.00,99.10M,600.00M,400.00M,0.00,-1.90M
1998-06,244.60M,,,,,,,554.50M,51.00M,-263.90M,51.00M,-263.90M,,-345.70M,453.40M,25.70M,25.70M,,88.80M,16.10M,130.60M,-562.70M,542.80M,542.80M,,-190.30M,-190.30M,,,,-51.40M,-861.10M,-560.00M,56.00M,24.00M,-0.30M,117.40M,,200.30M,-763.00M,-190.30M
