,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2002-09,112.80M,524.90M,637.70M,1.709B,6.007B,7.716B,8.354B,,667.00M,,667.00M,3.366B,26.94B,,33.13B,44.49B,933.50M,,933.50M,933.50M,,35.00M,35.00M,35.00M,968.50M,2.133B,2.133B,,,33.01B,,300.00M,300.00M,35.44B,37.52B,24.30M,4.982B,1.085B,54.20M,,,-70.40M,703.60M,633.20M,6.670B
2002-06,95.40M,220.90M,316.30M,2.382B,6.176B,8.559B,8.875B,,666.80M,,666.80M,3.341B,25.17B,,31.26B,43.36B,642.90M,,642.90M,642.90M,,35.00M,35.00M,35.00M,677.90M,2.133B,2.133B,,,32.72B,,300.00M,300.00M,35.15B,36.92B,24.30M,4.908B,1.083B,54.20M,,,-67.20M,242.10M,174.90M,6.136B
2002-03,139.30M,320.80M,460.10M,1.901B,6.217B,8.118B,8.578B,,677.00M,,677.00M,3.503B,24.57B,,30.75B,42.38B,413.60M,,413.60M,413.60M,,162.40M,162.40M,162.40M,576.00M,2.006B,2.006B,,,32.34B,,300.00M,300.00M,34.64B,36.35B,24.30M,4.854B,1.078B,9.20M,,,-102.60M,-108.40M,-211.00M,5.736B
2001-12,,,,1.789B,,1.789B,1.789B,386.90M,,674.70M,674.70M,3.458B,,,37.33B,42.44B,,,,,,161.80M,161.80M,161.80M,161.80M,2.004B,2.004B,,,,328.30M,300.00M,,2.332B,36.20B,24.20M,4.753B,1.064B,9.20M,,,-91.10M,202.40M,111.30M,5.940B
2001-09,100.60M,82.90M,183.50M,2.003B,5.780B,7.783B,7.967B,59.90M,678.30M,,678.30M,3.482B,24.85B,,31.11B,42.26B,562.10M,,562.10M,562.10M,,172.50M,172.50M,172.50M,734.60M,2.017B,2.017B,,,31.65B,,300.00M,300.00M,33.96B,35.93B,24.20M,4.729B,1.059B,9.20M,,,,,223.30M,6.026B
2001-06,94.60M,201.50M,296.10M,1.896B,5.611B,7.508B,7.804B,99.40M,683.50M,,683.50M,3.478B,23.81B,,30.11B,40.89B,396.40M,,396.40M,396.40M,,0.00,0.00,0.00,396.40M,2.039B,2.039B,,,30.91B,2.541B,300.00M,300.00M,35.79B,34.83B,24.20M,4.637B,1.057B,9.20M,,,,,43.70M,5.752B
2001-03,130.40M,267.60M,398.00M,1.939B,5.825B,7.764B,8.162B,,688.80M,,688.80M,3.506B,23.67B,,30.06B,41.05B,534.20M,,534.20M,534.20M,,200.00M,200.00M,200.00M,734.20M,1.861B,1.861B,,,30.77B,26.40B,300.00M,300.00M,59.33B,34.94B,24.20M,4.526B,1.050B,9.20M,,,,,223.10M,5.814B
2000-12,,,,1.851B,,1.851B,1.851B,387.50M,,683.30M,683.30M,3.679B,,,35.49B,40.36B,,,,,,402.20M,402.20M,402.20M,402.20M,1.616B,1.616B,,,,332.80M,300.00M,,1.948B,34.49B,24.10M,4.380B,1.040B,9.20M,,,-72.10M,238.10M,166.00M,5.576B
2000-09,100.40M,307.20M,407.60M,1.938B,5.837B,7.775B,8.183B,162.00M,689.20M,,689.20M,3.507B,22.71B,,28.96B,40.20B,370.10M,,370.10M,370.10M,,1.021B,1.021B,1.021B,1.391B,1.166B,1.166B,,,30.20B,,300.00M,300.00M,31.66B,34.73B,24.10M,4.230B,1.036B,9.20M,,,,,-104.70M,5.177B
2000-06,110.30M,221.00M,331.30M,1.934B,5.244B,7.177B,7.509B,165.70M,695.10M,,695.10M,3.496B,22.76B,,29.03B,39.79B,325.70M,,325.70M,325.70M,,1.039B,1.039B,1.039B,1.365B,1.166B,1.166B,,,30.18B,,300.00M,300.00M,31.65B,34.40B,24.10M,4.129B,1.034B,9.20M,,,,,-93.50M,5.084B
2000-03,134.10M,247.80M,381.90M,1.904B,5.447B,7.351B,7.733B,191.60M,701.00M,,701.00M,3.550B,22.99B,,29.37B,40.31B,360.30M,,360.30M,360.30M,,1.212B,1.212B,1.212B,1.572B,1.166B,1.166B,,,30.48B,,300.00M,300.00M,31.94B,34.90B,24.10M,4.021B,1.033B,9.20M,,,,,38.30M,5.107B
1999-12,292.40M,321.50M,613.90M,764.70M,4.741B,5.506B,6.120B,399.70M,706.40M,,706.40M,3.595B,22.72B,,29.26B,38.45B,271.60M,,271.60M,271.60M,,1.075B,1.075B,1.075B,1.347B,1.166B,1.166B,,,28.58B,380.60M,300.00M,300.00M,30.43B,33.17B,24.10M,3.958B,1.029B,9.20M,,,-38.70M,38.70M,0.00,4.982B
1999-09,,,,792.80M,,792.80M,792.80M,833.10M,,739.20M,739.20M,3.568B,,,33.96B,38.07B,,,,,,531.00M,531.00M,531.00M,531.00M,1.216B,1.216B,,,1.601B,,300.00M,,2.817B,32.83B,24.00M,3.822B,1.021B,9.20M,,,,,,4.938B
1999-06,,,,749.40M,,749.40M,749.40M,866.90M,,772.30M,772.30M,3.568B,,,33.95B,37.92B,,,,,,490.00M,490.00M,490.00M,490.00M,1.226B,1.226B,,,1.470B,,300.00M,,2.696B,32.23B,23.90M,4.109B,1.002B,9.20M,,,,,,5.392B
1999-03,,,,636.40M,,636.40M,636.40M,378.80M,,,,1.410B,,,13.20B,15.38B,,,,,,,,,,961.10M,961.10M,,,6.958B,,,,7.919B,12.71B,,2.440B,,,,,,,,2.667B
1998-12,111.20M,245.10M,356.30M,570.10M,4.871B,5.441B,5.797B,367.80M,814.70M,,814.70M,3.548B,23.32B,,30.07B,38.60B,969.80M,,969.80M,969.80M,,323.70M,323.70M,323.70M,1.294B,1.225B,1.225B,,,27.62B,360.40M,300.00M,300.00M,29.50B,32.16B,23.80M,4.279B,959.20M,9.20M,,,-54.70M,33.20M,-21.50M,6.146B
1998-09,,,,584.00M,,584.00M,584.00M,225.90M,,,,1.354B,,,12.96B,14.93B,,,,,,,,,,740.10M,740.10M,,,6.641B,,,,7.381B,12.18B,,2.399B,,,,,,,,2.747B
1998-06,,,,570.20M,,570.20M,570.20M,219.60M,,,,1.256B,,,12.39B,14.31B,,,,,,,,,,717.80M,717.80M,,,6.283B,,,,7.001B,11.73B,,2.315B,,,,,,,,2.584B
1998-03,,,,501.40M,,501.40M,501.40M,213.70M,,,,1.245B,,,12.03B,13.82B,,,,,,,,,,691.30M,691.30M,,,5.940B,,,,6.631B,11.34B,,2.236B,,,,,,,,2.478B
1997-12,,,,390.90M,,390.90M,390.90M,196.20M,,,,1.260B,,,11.83B,13.44B,,,,,,,,,,635.80M,635.80M,,,,,,,635.80M,11.01B,,2.162B,,,,,,,,2.435B
